<br><font color=teal>*Hassan, Trilliam(ZaVante) says: How have you been? - Tue Dec  8 02:13:58 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: I took some time off. With the Kazekage's permission, o' course. - Tue Dec  8 06:13:45 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: Hmm. - Tue Dec  8 06:14:36 2015
<br><br><font color=teal>*Ari, Momura(JustCallMeGnar) says: U-Uhuh.. - Tue Dec  8 06:15:28 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: ....Anyone could predict that, though - Tue Dec  8 06:16:19 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Of course her baby will be healthy, if she's lived a healthy life. - Tue Dec  8 06:16:19 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Silly. - Tue Dec  8 06:16:19 2015
<br><br><font color=teal>*Ari, Momura(JustCallMeGnar) says: Y-Yea. - Tue Dec  8 06:16:19 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: That is not always the case. - Tue Dec  8 06:16:19 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: Call it merchant's intuition. - Tue Dec  8 06:16:19 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: I've got the right stuff to guarentee you to have a perfect birth. - Tue Dec  8 06:17:10 2015
<br><br><font color=teal>*Ari, Momura(JustCallMeGnar) says: I-I'm ifne. - Tue Dec  8 06:17:10 2015
<br><br><font color=teal>*Ari, Momura(JustCallMeGnar) says: I-It's fine m-mitsu. - Tue Dec  8 06:18:01 2015
<br><br><font color=teal>*Ari, Momura(JustCallMeGnar) says: I-I don't need anything. - Tue Dec  8 06:18:01 2015
<br><br><font color=yellow>*Marco(Gtgoku55) blinks as he's given a glance.

"Huh? And I see. Good to have you back," he quips, before watching the exchange.* - Tue Dec  8 06:18:01 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: No, I'm not trying to scam anyone. - Tue Dec  8 06:18:01 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: What would I get out of scamming someone?  - Tue Dec  8 06:18:01 2015
<br><br><font color=teal>*Ari, Momura(JustCallMeGnar) says: M-Money. - Tue Dec  8 06:18:52 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: Yes, but bad rep. - Tue Dec  8 06:18:52 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: And I'm not about to get bad rep. - Tue Dec  8 06:18:52 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: .... - Tue Dec  8 06:18:52 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: I'm a man with honor. - Tue Dec  8 06:18:52 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: So, Chikyu, how you been? - Tue Dec  8 06:18:52 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) thinks: I wonder where those two are. It feels weird doing this alone. - Tue Dec  8 06:19:44 2015
<br><br><font color=teal>*Ari, Momura(JustCallMeGnar) says: W-What do you sell? - Tue Dec  8 06:19:44 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Deez nuts - Tue Dec  8 06:19:44 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: --omit- - Tue Dec  8 06:19:44 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: I sell just about everything. Clothes, basic weapons, spices, toys. - Tue Dec  8 06:20:35 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Marco-san. Is my order completed? - Tue Dec  8 06:20:35 2015
<br><br><font color=teal>*Ari, Momura(JustCallMeGnar) says: I-I can spar you.. - Tue Dec  8 06:20:35 2015
<br><br><font color=teal>*Ari, Momura(JustCallMeGnar) says: B-But my t-tummy.. - Tue Dec  8 06:20:35 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: D-Don't spar. - Tue Dec  8 06:21:26 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: I-I'll spar in your place until you've delivered the b-baby. - Tue Dec  8 06:21:26 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: II've got to agree. - Tue Dec  8 06:21:26 2015
<br><br><font color=teal>*Chikyu Kasanari(TempusKing) says: I'm too tired, and theres no way I risk every hurting my friend especially when shes pregnant. - Tue Dec  8 06:21:26 2015
<br><br><font color=teal>*Ari, Momura(JustCallMeGnar) says: N-No it's fine. - Tue Dec  8 06:21:26 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: You should keep active though. - Tue Dec  8 06:21:26 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Yeah. But not by fighting people like my and Chikyu. - Tue Dec  8 06:21:26 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: Perhaps I can offer you some night time medicine, if you know what I mean. - Tue Dec  8 06:22:17 2015
<br><br><font color=teal>*Ari, Momura(JustCallMeGnar) says: ...? - Tue Dec  8 06:22:17 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: ... What, Viagra? - Tue Dec  8 06:22:17 2015
<br><br><font color=teal>*Ari, Momura(JustCallMeGnar) says: V-Viagara...? - Tue Dec  8 06:22:17 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: . . . - Tue Dec  8 06:22:17 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: I-It's alright. - Tue Dec  8 06:23:08 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: I-I don't need it. - Tue Dec  8 06:23:08 2015
<br><br><font color=teal>*Chikyu Kasanari(TempusKing) says: Hanai doesn't need viagra, if he had it. He die in 30 minutes from his blood volume being too low -omit- - Tue Dec  8 06:23:08 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: It's a aphrodisiac. It'll make the both of you crazy, and make the nights pleasurable.  Trust me, I've tried it before. Wooh! Wild nights I tell you. - Tue Dec  8 06:24:00 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: But, let's not speak more for there's children around. - Tue Dec  8 06:24:00 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: Don't take it. - Tue Dec  8 06:24:00 2015
<br><br><font color=teal>*Ari, Momura(JustCallMeGnar) says: Oh. - Tue Dec  8 06:24:00 2015
<br><br><font color=teal>*Ari, Momura(JustCallMeGnar) says: I m-mean.. - Tue Dec  8 06:24:00 2015
<br><br><font color=teal>*Ari, Momura(JustCallMeGnar) says: W-We don't need t-that. - Tue Dec  8 06:24:00 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: An aphrodisiac makes you highly. . . susceptible to sexual acts. Often times, its hard to control. - Tue Dec  8 06:24:51 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: ... - Tue Dec  8 06:24:51 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: So that wouldn't be wise. - Tue Dec  8 06:24:51 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Uh... - Tue Dec  8 06:24:51 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: -- - Tue Dec  8 06:24:51 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: Your Katana is made, of course. - Tue Dec  8 06:24:51 2015
<br><br><font color=yellow>*Marco(Gtgoku55) 750k ye - ???
gimme a sec - ???
(ADMIN HELP)(Polo)(Marco): Do it and slide it onto Izanami. KK, take ur time.* - Tue Dec  8 06:24:51 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Sweet.  - Tue Dec  8 06:24:51 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: That'll be about. - Tue Dec  8 06:24:51 2015
<br><br><font color=teal>*Chikyu Kasanari(TempusKing) says: Actually if you lay her on the side, damage is pretty much impossible.-omit- - Tue Dec  8 06:24:51 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: One-point-one million. - Tue Dec  8 06:24:51 2015
<br><br><font color=teal>*Chikyu Kasanari(TempusKing) says: Leave my friend alone, they're clearly not interested in any of your wares. Go bother someone else. - Tue Dec  8 06:25:42 2015
<br><br><font color=teal>*Chikyu Kasanari(TempusKing) says: It be more beneficial to go tell other people about your business anyways. - Tue Dec  8 06:25:42 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: You may go to pick it up at the shop. - Tue Dec  8 06:26:33 2015
<br><br><font color=teal>*Ari, Momura(JustCallMeGnar) says: B-Baby clothes? - Tue Dec  8 06:26:33 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Thank you. - Tue Dec  8 06:26:33 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: I was kiddin, I was kiddin.. - Tue Dec  8 06:26:33 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: Hey Marco. - Tue Dec  8 06:26:33 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: Buddy pal. - Tue Dec  8 06:27:24 2015
<br><br><font color=teal>*Chikyu Kasanari(TempusKing) says: We have a probably cheaper market place for that just over there. - Tue Dec  8 06:27:24 2015
<br><br><font color=teal>*Ari, Momura(JustCallMeGnar) says: O-Oh..hm.. - Tue Dec  8 06:27:24 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: I've limited stock, so what I have is what I have left. - Tue Dec  8 06:28:16 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) thinks: I really how this doesn't turn out to be another Kirigakure. - Tue Dec  8 06:28:16 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Anyway.. - Tue Dec  8 06:28:16 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Baby Clothes, that's fine. - Tue Dec  8 06:29:07 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: But tryin to sell someone an Aphrodisiac? Really? Heh.. - Tue Dec  8 06:29:07 2015
<br><br><font color=teal>*Ari, Momura(JustCallMeGnar) says: D-Do you have watermelon clothing b-baby clothes? - Tue Dec  8 06:29:07 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: Trilliam? - Tue Dec  8 06:29:07 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Mrm.. So, not in the mood to spar, Chikyu? - Tue Dec  8 06:29:07 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: And.. Lera, how you doin? - Tue Dec  8 06:29:07 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: Can you make me some light weight amour I feel since I take more crazy jobs due to  my promotion I'll need some. - Tue Dec  8 06:29:58 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: Hey, I have a little bit of everything.  I got to get someone's interest. - Tue Dec  8 06:29:58 2015
<br><br><font color=teal>*Chikyu Kasanari(TempusKing) says: A quick one, if thats alright with you. - Tue Dec  8 06:29:58 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: And I might have something. - Tue Dec  8 06:29:58 2015
<br><br><font color=teal>*Ari, Momura(JustCallMeGnar) says: H-Hm? - Tue Dec  8 06:29:58 2015
<br><br><font color=teal>*Ari, Momura(JustCallMeGnar) thinks: I-I'm hungry.. - Tue Dec  8 06:29:58 2015
<br><br><font color=teal>*Ari, Momura(JustCallMeGnar) thinks: K-Ketchup and k-kiwii sandwiches.. - Tue Dec  8 06:29:58 2015
<br><br><font color=teal>*Ari, Momura(JustCallMeGnar) thinks: Y-Yesss... - Tue Dec  8 06:29:58 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: Ah. I was supposed to make that. I'll get to you in a bit. - Tue Dec  8 06:29:58 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: Its fine take your time buddy have some fun all you do is work. - Tue Dec  8 06:30:49 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: Understood. - Tue Dec  8 06:30:49 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: It's on the list. - Tue Dec  8 06:30:49 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Hrm? Oh, a'right Chikyu... - Tue Dec  8 06:30:49 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: MRm. - Tue Dec  8 06:30:49 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Let's head over' n. Yeah? - Tue Dec  8 06:30:49 2015
<br><br><font color=yellow>*Marco(Gtgoku55) moves on over to observe the battles as per usual.

He leans against the wall, arms folded.* - Tue Dec  8 06:35:56 2015
<br><br><font color=teal>*Marco(Gtgoku55) thinks: Impressive. THey both are experiencing growth. - Tue Dec  8 06:51:18 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: ...Chikyu, we may have to cut this short!~ - Tue Dec  8 06:57:16 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) thinks: Hrnghghgh YESSS! - Tue Dec  8 06:57:16 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: I-It'll be over soon. - Tue Dec  8 07:04:06 2015
<br><br><font color=teal>*Ari, Momura(JustCallMeGnar) says: I-I hope. - Tue Dec  8 07:04:06 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: ... - Tue Dec  8 07:14:20 2015
<br><br><font color=teal>*Hokuma, Manami(JustTheTip) says: Mamami~ - Tue Dec  8 07:16:03 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: ---Wow. She's good. - Tue Dec  8 07:19:28 2015
<br><br><font color=teal>*Hokuma, Manami(JustTheTip) says: Mamamiii~ Nnoooke~ Mama~ Brabaa~ S-sa-sssssnnnnnd~ Miii~ - Tue Dec  8 07:21:10 2015
<br><br><font color=teal>*Hokuma, Manami(JustTheTip) says: D-dannooke~ - Tue Dec  8 07:22:01 2015
<br><br><font color=teal>*Hokuma, Manami(JustTheTip) says: Th-t-Thaku.. - Tue Dec  8 07:25:26 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: <*Smiles*> This is great. - Tue Dec  8 07:27:08 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: She's very smart. Didn't expect her to be talking this quickly. - Tue Dec  8 07:27:08 2015
<br><br><font color=teal>*Hokuma, Manami(JustTheTip) says: Nnoooke~ - Tue Dec  8 07:28:00 2015
<br><br><font color=teal>*Hokuma, Manami(JustTheTip) says: CHORTLE CHORTLE!~ - Tue Dec  8 07:28:51 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: ... - Tue Dec  8 07:29:42 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: <*Shook hi-- *> Bah, what the heck. - Tue Dec  8 07:30:33 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: <*Slips into Tobi outfit*> - Tue Dec  8 07:31:24 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: You look weird. - Tue Dec  8 07:33:07 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Me? - Tue Dec  8 07:34:49 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Yes. - Tue Dec  8 07:34:49 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Wow, how rude> - Tue Dec  8 07:38:14 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: .* - Tue Dec  8 07:38:14 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: It does feel weird, though.. - Tue Dec  8 07:38:14 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Not having my glasses one. - Tue Dec  8 07:38:14 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: What. .? - Tue Dec  8 07:39:56 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: -- - Tue Dec  8 07:39:56 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: I'll go put her to sleep. - Tue Dec  8 07:40:48 2015
<br><br><font color=teal>*Hokuma, Manami(JustTheTip) says: Goo~ - Tue Dec  8 08:02:08 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Hey Sanoke!~ - Tue Dec  8 08:02:59 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: How are the babies? I haven't seen them yet. - Tue Dec  8 08:02:59 2015
<br><br><font color=teal>*Hokuma, Manami(JustTheTip) says: Mimami~ - Tue Dec  8 08:03:50 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Hrm? Good. - Tue Dec  8 08:03:50 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: My little boy is a sleep. - Tue Dec  8 08:03:50 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: But Manami is awake. - Tue Dec  8 08:03:50 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) thinks: Did that baby just call Kinami?  How did it know her name already?  *gasp* Psychic baby. . .  - Tue Dec  8 08:03:50 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Manami? Why Manami? - Tue Dec  8 08:03:50 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) thinks: Oh. . He name is Minami. . . Darn, that was exciting. - Tue Dec  8 08:04:41 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: I didn't know you had kids buddy! - Tue Dec  8 08:04:41 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: I can't help but think she's named after me. Haha. - Tue Dec  8 08:06:24 2015
<br><br><font color=teal>*Hokuma, Manami(JustTheTip) says: Zzzz... - Tue Dec  8 08:06:24 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Hrm? It was Mizora's idea. - Tue Dec  8 08:06:24 2015
<br><br><font color=teal>*Hokuma, Manami(JustTheTip) says: zzZZ - Tue Dec  8 08:07:15 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: To name the baby after me, or just to name her...? - Tue Dec  8 08:07:15 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Mirai* - Tue Dec  8 08:08:57 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Mirai chose to just name her. - Tue Dec  8 08:08:57 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: I see. I almost got my hopes up. - Tue Dec  8 08:08:57 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: *laughs* - Tue Dec  8 08:09:48 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Her name means beautiful love. - Tue Dec  8 08:09:48 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: That's what she means to me. - Tue Dec  8 08:09:48 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: So I thought it was fitting. - Tue Dec  8 08:09:48 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: I bet! - Tue Dec  8 08:10:40 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Yeah, it's pretty good! My other baby name is Taku. - Tue Dec  8 08:10:40 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: I did that 'cause that's what Grandpa name aws. - Tue Dec  8 08:10:40 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Oh you got two man? - Tue Dec  8 08:10:40 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: was* - Tue Dec  8 08:10:40 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: I don't know what I'm going to name my kid... - Tue Dec  8 08:11:31 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: I'm sure we will think of something Nami. - Tue Dec  8 08:11:31 2015
<br><br><font color=teal>*Hokuma, Manami(JustTheTip) says: Mamimi~ - Tue Dec  8 08:12:22 2015
<br><br><font color=teal>*Hokuma, Manami(JustTheTip) says: ZzzzZzzz... - Tue Dec  8 08:12:22 2015
<br><br><font color=teal>*Hokuma, Manami(JustTheTip) says: Sumiiisuu... - Tue Dec  8 08:12:22 2015
<br><br><font color=teal>*Hokuma, Manami(JustTheTip) says: Smiiitsssuu - Tue Dec  8 08:13:13 2015
<br><br><font color=teal>*Hokuma, Manami(JustTheTip) says: Zzz.zzzZZzzz - Tue Dec  8 08:13:13 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Your baby seems pretty talkative Sanoke. *laughs* - Tue Dec  8 08:13:13 2015
<br><br><font color=teal>*Hokuma, Manami(JustTheTip) says: Goo goo..Gaa gaa..Yeaaaaa..HA HA~~ - Tue Dec  8 08:15:47 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Hey Sanoke, can I play with her a little bit? - Tue Dec  8 08:20:03 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Hrm? Mirai is holding her. - Tue Dec  8 08:22:36 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Sure you can hold her for a bit. - Tue Dec  8 08:22:36 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) thinks: and before she cries. - Tue Dec  8 08:23:28 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: *smiles*  You two are so cute Nami!~ - Tue Dec  8 08:25:10 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) thinks: Ohhhh that's nasty. . . .  - Tue Dec  8 08:27:44 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: .... - Tue Dec  8 08:28:35 2015
<br><br><font color=teal>*Hokuma, Manami(JustTheTip) says: Gooo~ - Tue Dec  8 08:29:26 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: That was close Nami. - Tue Dec  8 08:29:26 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: I'm sorry Kinami. - Tue Dec  8 08:29:26 2015
<br><br><font color=teal>*Hokuma, Manami(JustTheTip) says: Agoo goo~ - Tue Dec  8 08:29:26 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: It's fine. Can I play with her now? Show her a little bit of acrobatics? - Tue Dec  8 08:30:17 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Throw her a thousand feet into the air. ONE THOUSAND FEET! - Tue Dec  8 08:30:17 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: . . .  - Tue Dec  8 08:30:17 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: ....... - Tue Dec  8 08:30:17 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Of course I'm joking, you people. - Tue Dec  8 08:30:17 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) thinks: Even I find that dangerous. . . .  - Tue Dec  8 08:30:17 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: That. . Is. . .Hilarious. . *laughs* - Tue Dec  8 08:31:08 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Kinami don't drop my baby. . .  - Tue Dec  8 08:38:49 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: This is my great great great grandmother's sister's uncle's best friend's uncle, twice removed. - Tue Dec  8 08:39:40 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: What are you talking about? - Tue Dec  8 08:39:40 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: MARCO! - Tue Dec  8 08:40:32 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Marco, I need that sword. - Tue Dec  8 08:40:32 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: That I paid for last year. - Tue Dec  8 08:41:23 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Please.~ - Tue Dec  8 08:41:23 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: Oh! Sure thing. - Tue Dec  8 08:50:46 2015
<br><br><font color=teal>*Hiroshi(Marchie15) says: Me too! Don't forget i paid for one too~ - Tue Dec  8 08:54:11 2015
<br><br><font color=teal>*Hiroshi(Marchie15) says: Like same day. - Tue Dec  8 08:54:11 2015
<br><br><font color=yellow>*Marco(Gtgoku55) nods.

He comes back with the iron sword, and hands it over. "There you go."* - Tue Dec  8 08:55:02 2015
<br><br><font color=teal>*Hokuma, Manami(JustTheTip) says: + - Tue Dec  8 09:09:32 2015
<br><br><font color=teal>*Watanabe, Fujiko(Lil Neicey) says: Hello,Bryson. - Tue Dec  8 11:03:53 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Oh, Fujiko... welcome back to the realm of the awake... I hope your well rested - Tue Dec  8 11:05:36 2015
<br><br><font color=teal>*Watanabe, Fujiko(Lil Neicey) says: I was out for quite some time. - Tue Dec  8 11:06:27 2015
<br><br><font color=teal>*Watanabe, Fujiko(Lil Neicey) says: How are you? - Tue Dec  8 11:06:27 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Im doing good thanks... I have been relaing for most of the day - Tue Dec  8 11:07:18 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: You missed alot - Tue Dec  8 11:07:18 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Ah... I'm glad to hear that. - Tue Dec  8 11:08:09 2015
<br><br><font color=teal>*Watanabe, Fujiko(Lil Neicey) says: What is going on? - Tue Dec  8 11:09:00 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: -- Hrm? - Tue Dec  8 11:09:00 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: A war! - Tue Dec  8 11:09:00 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: LD - Tue Dec  8 11:09:00 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: :D - Tue Dec  8 11:09:00 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Wars... - Tue Dec  8 11:09:00 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: *glances at Bryson* - Tue Dec  8 11:09:52 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Fujiko... come here for a second - Tue Dec  8 11:09:52 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Meaningless, stupid wars. - Tue Dec  8 11:09:52 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Yeah... I'll agree that it's stupid and meaningless... still. - Tue Dec  8 11:09:52 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: I wish I'd gotten to fight. - Tue Dec  8 11:09:52 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Ah, well. - Tue Dec  8 11:09:52 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Werent u the chick who snapped a nigga dick? - Tue Dec  8 11:09:52 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: -omit- - Tue Dec  8 11:09:52 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Ayyyy. - Tue Dec  8 11:10:43 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: -omit- - Tue Dec  8 11:10:43 2015
<br><br><font color=teal>*Chikyu Kasanari(TempusKing) says: I'm sure you'll get the chance to fight people the longer this goes on.  - Tue Dec  8 11:10:43 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Who knows what... - Tue Dec  8 11:11:34 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Mrm.. - Tue Dec  8 11:12:25 2015
<br><br><font color=teal>*Chikyu Kasanari(TempusKing) says: Good girl, Manami! -omit- - Tue Dec  8 11:26:56 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Hey.. - Tue Dec  8 11:26:56 2015
