<br><font color=teal>***Hokage**(LionHunter) says: Becasue of the rebuilding - Sun Dec  6 04:21:07 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Well, if she's game. - Sun Dec  6 06:19:44 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: And.. Marco. You keep askign to study my sword- I've got a proposition for you. - Sun Dec  6 06:19:44 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: I'll help you study it- with me always there, supervising and such... - Sun Dec  6 06:20:35 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: And if you do manage your hair brained replication scheme? I want the first result. - Sun Dec  6 06:20:35 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: Agree-able. - Sun Dec  6 06:21:26 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: Kinami dazed off? - Sun Dec  6 06:24:00 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Possibly so.. - Sun Dec  6 06:24:00 2015
<br><br><font color=teal>*Hiroshi(Marchie15) thinks: Wonder what that was all about? - Sun Dec  6 06:24:00 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Seems so... how about we go and get to those studies then, in your workshop? - Sun Dec  6 06:28:16 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: I'd suppose. - Sun Dec  6 06:39:21 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: A'right,t hen. - Sun Dec  6 06:41:04 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: Shall we? - Sun Dec  6 06:53:00 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Ayup. - Sun Dec  6 06:53:00 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Well, Marco? - Sun Dec  6 06:56:25 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Heh, I'd like to think so. - Sun Dec  6 06:56:25 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: I like it more that you're in charge of it though. - Sun Dec  6 06:56:25 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Many have taken the role or been put up to it, most corrupt. - Sun Dec  6 06:56:25 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Well, seeing having you as my teacher has kept me on the right track Fujitora. Yesterday I might have seen the path i'd be on.. - Sun Dec  6 06:57:16 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Had I'd not met ya. - Sun Dec  6 06:58:08 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: .... - Sun Dec  6 06:58:59 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Oh?..A dangerous one I take ? - Sun Dec  6 06:58:59 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: ....... Marco..? - Sun Dec  6 06:58:59 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: And... Oh! - Sun Dec  6 06:59:50 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Is that guy we captured still around? - Sun Dec  6 06:59:50 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Yes, he had connections with Edge. Yep Mitsunara. We're currently trying to get information from him. - Sun Dec  6 06:59:50 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Of course he won't being going anywhere anytime soon. - Sun Dec  6 07:00:41 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Ahh... - Sun Dec  6 07:00:41 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: He awake right now? - Sun Dec  6 07:00:41 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: He's taken down I take it? - Sun Dec  6 07:00:41 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: No, I guess the damage he received was greater than we thought. - Sun Dec  6 07:02:24 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Ah. - Sun Dec  6 07:02:24 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Shame... - Sun Dec  6 07:02:24 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: You'll tell me when he wakes,w on't you? - Sun Dec  6 07:02:24 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Hehe.. - Sun Dec  6 07:03:15 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Mrm. - Sun Dec  6 07:03:15 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Anyway, yeah. Let's head off, Marco. - Sun Dec  6 07:03:15 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: Hmm. - Sun Dec  6 07:03:15 2015
<br><br><font color=yellow>*Marco(Gtgoku55) ||Cue a brisk walk to the blacksmithing shop.

The front room possess a counter and a display for customers. Shurikens, Windmills, Katanas, and so forth. It's late, and just as they arrive, two of Marco's clerks are stepping out. 

A brief wave is given.

"We'll head to the backroom." Naturally, both parties would have moved beyond the table and push through a door. In the back, the room is dimly lit, with a few candles being the only source of light.  . . Well, save for the furnance that burned in the back. Opting not to go further, Marco manuevers to a seat and pulls a chair out for Mitsunara's sake.

A slew of tools were set on the table for appraise and testing. Hammers, blow torches, magnifying glasses, thermometers, and an assortment of other items. Particularly, some ores are also around -- you guessed it, the very same ores he planned to use to replicate and craft a sword beyond Mitsunara's.* - Sun Dec  6 07:12:38 2015
<br><br><font color=yellow>*Marco(Gtgoku55) raised a brow.

"Have a bad time? I didn't intend to break it, but hrm. . How am I going to test it's properties?" A blow torch was in hand, and flares briefly. Azure flames were secrated out for just a moment, before ceasing.

"Can it not be burned? If not I can simply look at the other properties not related to physical things."* - Sun Dec  6 07:20:19 2015
<br><br><font color=yellow>*Marco(Gtgoku55) 's lips cracked into a smile.

"Of course. I know what I'm doing. . .Didn't expect you to be so protective over the weapon. But yes, I'll act with care."

With that, Marco began with his examination of the blade. Carefully, his tool for measuring heat is pressed forward as he aimed to examine and validate each property of the new material. Just at first glance, he could tell that the item was foreign --- completely. Perhaps even from a different world. 

The consistent glowing released a slight aura of malice, and coupled with Mitsunara's potective nature over the blade, he couldn't help but feel that there was more to the tool's power."Alright. . .Carefully. . . "

With that, the blow torch is at last brought forward, and moves to incinerate the tip of the bladed contraption. Each second iscontrolled, forcing the tool's energy levels to rise, and the temperatures to take a stark incline as a direct result. As the time ticked on, the recorder was enable to note the and record each of the attributes taken. Once that had been done, the process is just another half hour or so of testings.

The tensile strength, it's malleability, and of course the it's durability. In no time, Marco is more or less completed with the physical tests. Now? All that was left was to check the Huevo-based weapon would respond to actual chakra. He gives a wary glance to Mitsunara. "So, you can activate this blade's ability by sending chakra to command whatever is stored in, yes?" Conveniently, he has tools just for the task -- supplied by some grand Fuuinjutsu master. 

From seals, chakra pours out, lathering the base of the weaponry in order to gauge how it'd react. Based on that, Marco jots down notes too. He'd hope for input from the defacto assistant. In no time, the male arises, gathering his own notes from a filing cabinent. As it's opened, the swordswoman would take notice of an assortment of data revolvintg around chakra-based metals. Mostly the ones that could absorb natures, or even block chakra.

It was these types of items that he'd hope could be fused in addition with carbon and other elements to form special alloys. The alloys preferably would work to absorb ethereal materials. . And given chakra's close connection to the soul? Maybe the proposed weapon could take that as well.

Along the side of the file was a complete and detailed diagram of the mind-body concept, that gave information of chi, the body's relation to chi, and the soul.* - Sun Dec  6 07:52:44 2015
<br><br><font color=yellow>*Marco(Gtgoku55) ||
Indeed. The comparisons were made, linking it to various average-day materials. Still, her weapon was an anomally, and it baffled Marco's very understanding of blacksmith-ing or crafting in general. The look of confusion was obvious, while also being laced with intrigue.

"This is amazing. I only have one more question before I collect my data and work on a prototype to my weapon later. Is manipulating the shape of the tool all you can do?" Curious, brown eyes settle onto Mitsunara's face, clearly desperate for an answer.* - Sun Dec  6 08:02:59 2015
<br><br><font color=yellow>*Marco(Gtgoku55) rubs his nose in thought.

So souls made it grow in power and efficiency? That is noted, and all of the information is hastily stored back away.

"That's a lot of good data. I should be able to get a nice prototype of my mission completed within a month's time at the most. Where did you get that blade again? It's beyond anything I've ever seen before."* - Sun Dec  6 08:06:24 2015
<br><br><font color=yellow>*Marco(Gtgoku55) 's eyes followed her hips along the way.

He bit down onto his lip, as the motions came off as clear taunts -- as if Mitsunara sought to tempt him.

"And. . The blade is something you were born with?" He asks after taking a moment to regain composure.* - Sun Dec  6 08:09:48 2015
<br><br><font color=yellow>*Marco(Gtgoku55) nods. It made sense.

"I see. Well good research -- But what have you to do after this? I looking to redeem myself after that crushing defeat at the bar," He replies casually, of course with less than honorable intent available in his eyes.* - Sun Dec  6 08:13:13 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Hah! I'm going the fuck to sleep, why? - Sun Dec  6 08:14:04 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: Ah. If you intend to sleep, I suppose I can try to redeem myself in gambling later. - Sun Dec  6 08:17:29 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Ah, I suppose you can.. but y'know. - Sun Dec  6 08:17:29 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: I've got the devils own luck. Heh. - Sun Dec  6 08:17:29 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Fuji?? - Sun Dec  6 09:30:52 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Where've you been?? - Sun Dec  6 09:30:52 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Want some Rive cakes sis? - Sun Dec  6 09:30:52 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Rice* - Sun Dec  6 09:30:52 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Er...yes? - Sun Dec  6 09:30:52 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Enjoyin your days at the Labyrinth? - Sun Dec  6 09:34:17 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) says: Hai Love.~ - Sun Dec  6 09:36:00 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Fuji. I want you to meet my Fiance. This is Kiyoko~ - Sun Dec  6 09:36:00 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Oh well hellooo nice young lady! - Sun Dec  6 09:36:00 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: This is my brother hun. - Sun Dec  6 09:36:51 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) thinks: I wonder if he knows about father... - Sun Dec  6 09:36:51 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: But yeah, to answer your question. I can't say I really...-enjoyed- the labyrinth brother. - Sun Dec  6 09:39:24 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: It was necessary though. - Sun Dec  6 09:39:24 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Hm...I enjoy the strife back then and adventure. - Sun Dec  6 09:41:07 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) thinks: THough looking through my telescope and ending up seeing your breast wasn't intended... - Sun Dec  6 09:41:07 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) thinks: -omit- - Sun Dec  6 09:41:07 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Eh...I prefer to stay settled with Kiyoko. - Sun Dec  6 09:41:07 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: But Brother...there is something I need to tell you. - Sun Dec  6 09:42:49 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) thinks: Labyrinth? - Sun Dec  6 09:43:40 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: What is it sis? - Sun Dec  6 09:44:32 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: ...Our father has passed on. - Sun Dec  6 09:44:32 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: ... - Sun Dec  6 09:44:32 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Tetsumi..Father..Ushinawa..Kastya..Seisuke...Many we love but not yet forgotten...Their stories live on through us ,yes?.. - Sun Dec  6 09:48:48 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Hassan became one with the force. - Sun Dec  6 09:48:48 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: -omit- - Sun Dec  6 09:48:48 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Anyway.... - Sun Dec  6 09:57:20 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Its been a helluva long time since we had a spar Fuji - Sun Dec  6 09:58:11 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: I sort of want to test myself a bit - Sun Dec  6 09:58:11 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Oh? - Sun Dec  6 09:58:11 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Hehe well..I think both our long and close range fighting styles have changed. - Sun Dec  6 09:58:11 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Oh yeah, definitely. - Sun Dec  6 09:58:11 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: How old were we back then?...15? 16? - Sun Dec  6 09:58:11 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Something like that. - Sun Dec  6 09:59:02 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: I bet I could destroy that golem of yours now. - Sun Dec  6 10:00:44 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Oh and Fuji. - Sun Dec  6 10:01:36 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Those things I gave you to look after. - Sun Dec  6 10:01:36 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: May I take them back? - Sun Dec  6 10:01:36 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Hehe, I wouldn't doubt it..Perhaps a nice old spar on the Labyrinth will settle ya desire.. - Sun Dec  6 10:01:36 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: On the labyrinth...? Ugh, I don't really wanna travel that far from Kiyoko ya know. - Sun Dec  6 10:02:27 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Hm? Oh those things...I was gonna hand em down to Iza, but if you insist I think thats better then. - Sun Dec  6 10:02:27 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: I have a plan for them in the future. Iza might be the best for them yeah, but not just yet. - Sun Dec  6 10:03:18 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Oh and uh... - Sun Dec  6 10:03:18 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Very well. - Sun Dec  6 10:03:18 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: If we fight in your labyrinth. - Sun Dec  6 10:03:18 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: There won't be much left of the forest ya know...? - Sun Dec  6 10:03:18 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: We can also spar here then. - Sun Dec  6 10:04:09 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Outside the village, where we can't break anything. - Sun Dec  6 10:04:09 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Okay then. But it'll be watched for safety, too many deaths coming from the outside as of late. - Sun Dec  6 10:05:00 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Mhm. - Sun Dec  6 10:05:00 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Let's go then. - Sun Dec  6 10:05:00 2015
<br><br><font color=yellow>*Marco(Gtgoku55) is just observing.* - Sun Dec  6 10:42:33 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: It was a wild night. - Sun Dec  6 10:51:05 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Looks like everyone else is still asleep. - Sun Dec  6 12:18:08 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Maybe Sanoke and Momura are still fighting... - Sun Dec  6 12:18:08 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Mhm, welp..goodnight to you sis and all others, I'll be sleeping. - Sun Dec  6 12:20:41 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Hm.. - Sun Dec  6 12:21:32 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Marco. Are you there? - Sun Dec  6 12:21:32 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Yo Marco. - Sun Dec  6 12:56:32 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: Evening. - Sun Dec  6 12:57:23 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Are you free to examine some weapons for me? - Sun Dec  6 12:58:14 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: Sure. - Sun Dec  6 12:59:56 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Sweet. - Sun Dec  6 12:59:56 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Lets go somewhere private. - Sun Dec  6 13:00:48 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: Lead. - Sun Dec  6 13:02:30 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Two weapons I want you to look at. - Sun Dec  6 13:03:21 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: because I'm curious to know if you could replicate them. - Sun Dec  6 13:03:21 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: Which? - Sun Dec  6 13:03:21 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: First things first...I'll ask you to keep this a secret. - Sun Dec  6 13:03:21 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Nobody alive has seen this. - Sun Dec  6 13:03:21 2015
<br><br><font color=yellow>*Marco(Gtgoku55) nods.

"Indeed. I've heard of them given my time in Kirigakure. . Such fine craftsmanship. . . The 'Samehade' in particularly." He glances them over. 

"What is that you require of me?"* - Sun Dec  6 13:07:37 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: I want to know if you can...copy them. - Sun Dec  6 13:07:37 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: Hrm? Perhaps possible. But certainly not something Icould do on the spot. . Nor in a day. - Sun Dec  6 13:09:20 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: Why do you require this? - Sun Dec  6 13:10:11 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: No, I expect not. - Sun Dec  6 13:10:11 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Because - Sun Dec  6 13:10:11 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Imagine a group of people wielding this blade.. - Sun Dec  6 13:10:11 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Shall I tell you their abilities? - Sun Dec  6 13:10:11 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: I suppose. - Sun Dec  6 13:10:11 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: The Kiba blades channel Lightning at an extremely high level, an accomplished user could cut through anything; or even use the blades as a conduit for powerful Ninjutsu. - Sun Dec  6 13:11:02 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Samehada can absorb an infinite amount of chakra from any source. - Sun Dec  6 13:11:02 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Ninjutsu is useless against this blade. - Sun Dec  6 13:11:53 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: It can also absorb chakra directly from a persons body. - Sun Dec  6 13:11:53 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: On top of this, it can give that chakra to the wielder. - Sun Dec  6 13:11:53 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: Powerful. - Sun Dec  6 13:13:36 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Mhm. - Sun Dec  6 13:13:36 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: So. What do you think? Is it possible? - Sun Dec  6 13:14:27 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Though, I have no idea how you might re-produce Samehada...a living blade, I don't know how that could be made. - Sun Dec  6 13:14:27 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: Anything is possible. - Sun Dec  6 13:17:00 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Mhm. - Sun Dec  6 13:17:52 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Do you need to examine them for longer? - Sun Dec  6 13:17:52 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Though...I can't really let them leave my person. They're highly sort after. - Sun Dec  6 13:18:43 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: I'd need to be able to look them after in a while. But for now, I can attemp;t to get a prototype going. - Sun Dec  6 13:22:59 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Sure. - Sun Dec  6 13:22:59 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: This is more to satisfy my curiosity. So you don't need to rush. - Sun Dec  6 13:22:59 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: Roger. It's on the list. - Sun Dec  6 13:28:06 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Sure....that Zanbatou takes priority though. I owe Paine one. - Sun Dec  6 13:28:06 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: Nearly done with that. i'll bring it within a day or two. - Sun Dec  6 13:32:22 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Cool, Thank you. - Sun Dec  6 13:32:22 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: That's all? - Sun Dec  6 13:34:04 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Thats about it, yeah - Sun Dec  6 13:34:56 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Well, I'll head back to the square. - Sun Dec  6 13:38:20 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Thanks for your time. - Sun Dec  6 13:38:20 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: E-Eh.. - Sun Dec  6 18:58:20 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: I-I g-guess.. - Sun Dec  6 18:58:20 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: S-Sanoke-san said h-he was going to g-give me some t-training.. - Sun Dec  6 18:58:20 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: Oh? You'll be stronger in no time then. - Sun Dec  6 18:58:20 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: B-But kinami..h-has that new s-spinny move.. - Sun Dec  6 18:59:12 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: I-I barely got out o-of it.. - Sun Dec  6 18:59:12 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: A-And she has s-several of those "g-gates" - Sun Dec  6 18:59:12 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: A-And she d-didn't even use t-two of them to b-beat me.. - Sun Dec  6 18:59:12 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: Can she sense you? - Sun Dec  6 18:59:12 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: N-No.. - Sun Dec  6 19:00:54 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: S-She just moves f-faster.. - Sun Dec  6 19:00:54 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: I-Is stronger..m-more durable.. - Sun Dec  6 19:00:54 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: T-Tried that.. - Sun Dec  6 19:04:19 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: S-She hit me into the a-air before I c-could. - Sun Dec  6 19:04:19 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: T-Then put me in b-bandages and t-tried to slam me in the g-ground.. - Sun Dec  6 19:04:19 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: B-But I broke out..o-only to have her a-appear next to me.. - Sun Dec  6 19:04:19 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: A-And beat m-me.. - Sun Dec  6 19:05:10 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: Did you use the wires? - Sun Dec  6 19:05:10 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: W-Wires? - Sun Dec  6 19:05:10 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: Mhm. - Sun Dec  6 19:05:10 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: N-No. - Sun Dec  6 19:05:10 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: I-I didn't have time.. - Sun Dec  6 19:05:10 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: T-To do anything.. - Sun Dec  6 19:05:10 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: B-Because I'm w-weak.. - Sun Dec  6 19:05:10 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Hey Marco, have ya finished those badges? - Sun Dec  6 19:05:10 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: The moment she kicked you. - Sun Dec  6 19:06:01 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: You should have used the wires. - Sun Dec  6 19:06:01 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: T-They wouldn't of done a-anything. - Sun Dec  6 19:06:01 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: Bind her. - Sun Dec  6 19:06:01 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: It would have bought you the time you needed. - Sun Dec  6 19:06:52 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: I-I guess.. - Sun Dec  6 19:06:52 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: I-I stil lost.. - Sun Dec  6 19:06:52 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: See why I was training you before? - Sun Dec  6 19:07:44 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: Y-Yea.. - Sun Dec  6 19:07:44 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: B-Before the e-exam.. - Sun Dec  6 19:07:44 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: I-I broke m-mitsunara's nose on a-accident.. - Sun Dec  6 19:07:44 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: A-And after i-it I fought s-sanoke.. - Sun Dec  6 19:07:44 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: A-And he summoned this h-huge turtle.. - Sun Dec  6 19:08:35 2015
