<br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: Appreciated. - Sun Dec  6 23:10:56 2015
<br><br><font color=yellow>*Minatabi Eiyu(Dragonfile) <I see.. So she was telling the truth...Or perhaps... Hmmm..> "Tell me this, are you loyal to Kumogakure, or your brother, and what do you think of the Raikage himself, do you wish to harm me? Do you resent me? Hate me?"* - Mon Dec  7 23:37:48 2015
<br><br><font color=yellow>*Minatabi Eiyu(Dragonfile) <Forgive me, Kari-Chan...> Most of what Eiyu was attempting to extract was for the benefit of Kumogakure, and he had gotten all the answers he required, but now he was just being selfish. He wanted to know how Kari felt - and while this probably wasn't the best way to go about it had deemed that he had no choice. He upholds the jutsu attempting to draw it out as long as he could. <Not much longer now...> He holds it, much to her distress, and his. "Tell me, Kari....."* - Mon Dec  7 23:46:20 2015
<br><br><font color=teal>*Akito(KazutoAyamu) thinks: ..... - Mon Dec  7 23:51:28 2015
<br><br><font color=teal>*Akito(KazutoAyamu) thinks: And here I thought that I was the only one that is fucked in the head - Mon Dec  7 23:52:19 2015
<br><br><font color=yellow>*Minatabi Eiyu(Dragonfile) <So she is loyal, I must say I didn't expect this at all.> Eiyu's hand deforms now, no longer holding the seal in question. His arms drop to his sides, his blue eyes scanning the Fuuinjutsu formulas on his desk, and while he tried to give the impression nothing happened he could not. 

It was like he was frozen in his own state of mind.
"Forgive me."* - Mon Dec  7 23:53:10 2015
<br><br><font color=yellow>*Minatabi Eiyu(Dragonfile) ||"I'm sorry..."  He watches her crumble to the ground. Haku's advance went unnoticed up until the time he gripped his shoulder. "I can tell you right now that wasn't my sole intention. But I don't think you should judge me so freely, Haku-San."

Eiyu shakes his head knowing full well Kariudo might be enraged.* - Tue Dec  8 00:06:49 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) thinks: Haku-san? - Tue Dec  8 00:08:32 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) thinks: Who the fuck is Haku-san? - Tue Dec  8 00:09:23 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: .... - Tue Dec  8 00:16:12 2015
<br><br><font color=teal>*Akito(KazutoAyamu) thinks: ....... - Tue Dec  8 00:25:36 2015
<br><br><font color=teal>*Akito(KazutoAyamu) thinks: Interesting... - Tue Dec  8 00:25:36 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ....Nothing. - Tue Dec  8 00:50:20 2015
<br><br><font color=yellow>*Minatabi Eiyu(Dragonfile) nods softly. "The interrogation is over." The male had ventured into the depths of her mind, a place that he had no place being, although he was able to catch a glimpse from someone who gave him great difficulty reading. 

"Everything is in order.. Kari-.Chan.. Erm.." His right hand adjusts the headband slung over his head.* - Tue Dec  8 00:58:01 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) thinks: It was needed. - Tue Dec  8 00:58:52 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Do you rescend relieving me of duty.... - Tue Dec  8 00:59:44 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: I do. - Tue Dec  8 00:59:44 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ....alright..... - Tue Dec  8 01:00:35 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: .... - Tue Dec  8 01:00:35 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: Fun is over? - Tue Dec  8 01:00:35 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: What. - Tue Dec  8 01:00:35 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: I thought you two were going to consumate those feelings for each other. - Tue Dec  8 01:00:35 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: It wasn't fun... I - Oh. - Tue Dec  8 01:00:35 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: I have missions. - Tue Dec  8 01:00:35 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: That need completion. - Tue Dec  8 01:00:35 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: And I have some homework. - Tue Dec  8 01:00:35 2015
<br><br><font color=teal>*Takuma(Brosis55) says: -- - Tue Dec  8 01:01:26 2015
<br><br><font color=teal>*Takuma(Brosis55) says: So Kariduo is leaving? - Tue Dec  8 01:01:26 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Forever? - Tue Dec  8 01:01:26 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: No. - Tue Dec  8 01:01:26 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Oh. - Tue Dec  8 01:01:26 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Hm. - Tue Dec  8 01:01:26 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ....No.... jeez. - Tue Dec  8 01:01:26 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) thinks: Fucking dramatic. - Tue Dec  8 01:01:26 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Oh Eiyu. - Tue Dec  8 01:02:17 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Hm? - Tue Dec  8 01:02:17 2015
<br><br><font color=teal>*Takuma(Brosis55) says: I heard the Mizukage got some tits. - Tue Dec  8 01:02:17 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Kana...... - Tue Dec  8 01:03:08 2015
<br><br><font color=yellow>*Minatabi Eiyu(Dragonfile) shudders.* - Tue Dec  8 01:03:08 2015
<br><br><font color=teal>*Takuma(Brosis55) says: The Kazekage told me that. - Tue Dec  8 01:03:08 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Bout to get Eiji in on it. - Tue Dec  8 01:03:08 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: . . . Eiji might very well be killed. - Tue Dec  8 01:03:08 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Yeah, if that pussy bomb. - Tue Dec  8 01:03:08 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Kana is not a peoples p- - Tue Dec  8 01:04:00 2015
<br><br><font color=yellow>*Minatabi Eiyu(Dragonfile) nose bleed no jutsu.* - Tue Dec  8 01:04:00 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: @_@ - Tue Dec  8 01:04:00 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: ... - Tue Dec  8 01:04:00 2015
<br><br><font color=teal>*Takuma(Brosis55) says: . . . - Tue Dec  8 01:04:00 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Yes. .  - Tue Dec  8 01:04:00 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: I do not think of such things. - Tue Dec  8 01:04:00 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: I am a noble man. - Tue Dec  8 01:04:00 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Lies. - Tue Dec  8 01:04:51 2015
<br><br><font color=teal>*Takuma(Brosis55) says: And. - Tue Dec  8 01:04:51 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Slander. - Tue Dec  8 01:04:51 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) thinks: I'll be sure to seal away my stash from now on. - Tue Dec  8 01:04:51 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: Judging by the fact that you had a female confess their love to you determined that was a lie - Tue Dec  8 01:04:51 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) thinks: Can't risk being found out... But Misa-Chan is so endowed..~ - Tue Dec  8 01:04:51 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: -- - Tue Dec  8 01:04:51 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: ..Well. - Tue Dec  8 01:05:42 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Lit. - Tue Dec  8 01:05:42 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: It will fade in time. - Tue Dec  8 01:05:42 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: I can asure you it wont. - Tue Dec  8 01:05:42 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: Rai-san. - Tue Dec  8 01:07:24 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: It will...  - Tue Dec  8 01:08:16 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Hm? - Tue Dec  8 01:08:16 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: What rank am I? - Tue Dec  8 01:08:16 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Genin. - Tue Dec  8 01:08:16 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: For now. - Tue Dec  8 01:09:07 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: Hm...I see. - Tue Dec  8 01:09:07 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: Could I get a Mission that isn't busy work? - Tue Dec  8 01:09:07 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Hmmm. - Tue Dec  8 01:09:07 2015
<br><br><font color=yellow>*Minatabi Eiyu(Dragonfile) snickers widely as he reaches for a mission scroll to assign his favorite task.

"My steps need a good sweeping.." <Oh, he wants a higher ranking mission..>
"I have to start you off small for now.. Then you will work you way up like these lot have."* - Tue Dec  8 01:10:49 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: .... - Tue Dec  8 01:10:49 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: Eh. - Tue Dec  8 01:10:49 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: I guess. - Tue Dec  8 01:10:49 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: I'll assign you five missions. - Tue Dec  8 01:12:32 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Hm, all of you. - Tue Dec  8 01:12:32 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: I suppose. - Tue Dec  8 01:12:32 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: When you are done, return to me. - Tue Dec  8 01:12:32 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: Sounds good.. - Tue Dec  8 01:14:14 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: ..... - Tue Dec  8 01:14:14 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: I told you I have homework - Tue Dec  8 01:14:14 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: -- - Tue Dec  8 01:15:56 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: Aren't we naming things we werent going to do? - Tue Dec  8 01:15:56 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: But we must do these missions.. It helps build revnue, and I know you love it secretly.~ - Tue Dec  8 01:16:48 2015
<br><br><font color=teal>*Takuma(Brosis55) whispers: Whats our troop count? - Tue Dec  8 01:16:48 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) whispers: Three thousand. - Tue Dec  8 01:16:48 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: Do me a favor as well Rai-san? - Tue Dec  8 01:17:39 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Hm? - Tue Dec  8 01:17:39 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: Could you see if you can order me a decent sword? For about Five Million? - Tue Dec  8 01:17:39 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: I'll donate the rest of my money to the village. - Tue Dec  8 01:17:39 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: I w-.. I see... - Tue Dec  8 01:17:39 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: I will see what I can do. - Tue Dec  8 01:17:39 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: That is a -large- amount of money. - Tue Dec  8 01:17:39 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) thinks: Good, they are learning. - Tue Dec  8 01:32:09 2015
<br><br><font color=yellow>*Minatabi Eiyu(Dragonfile) shunshins into a nearby wall.* - Tue Dec  8 01:33:00 2015
<br><br><font color=yellow>*Minatabi Eiyu(Dragonfile) formulates several handseals within a period of a few seconds. But not before biting into the pad of his forefinger - when all was said and done he transfers his palm on the ground letting a massive plum of smoke to arise in his stead. Though, once the smoke begins to depart a massive frog with horns mounted atop it's blood-orange had, and slitted irises observes the male before him. His massive body bearing the scars from it's trials and tribulations, and in reality Eiyu's head had to ascend to simply observe it's entirety.

"Did you summon me again... Hmph, I am so ungraceful...." He looks at the Minatabi with a critical eye. "But you seem to be unfit to even summon me, tell me why you've brought me here."* - Tue Dec  8 01:41:32 2015
<br><br><font color=yellow>*Minatabi Eiyu(Dragonfile) forces his foot to ascend so that he was able to scale the beasts form, and it didn't seem to mind all that much. "What are you doing?" "Well, I need to speak to you." When Eiyu was standing on it's crown he out-stretches his arm to expose the massive splendor of Kumogakure in all of it's beauty. Now, at this moment in time it was looking as if the restoration process was in full force. Buildings that were destroyed in the past were now repaired, and the wounds that Edge left in his wake were starting to heal.

"This is my home, Mr.Gamaken... My people who I wish to protect, and by inheritance whom I wish for you to protect, because these people need me as much as I need you.... Please..."

"But why? You humans are ungraceful creatues with excessive violence."* - Tue Dec  8 01:44:57 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: Rai-san. - Tue Dec  8 01:53:29 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: I've finished. - Tue Dec  8 01:53:29 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: I see. - Tue Dec  8 01:53:29 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Hm. - Tue Dec  8 01:55:12 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Your brother say's that he's attempting to restore. - Tue Dec  8 01:55:12 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Your native home. - Tue Dec  8 01:56:03 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: So he will be out. - Tue Dec  8 01:56:03 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Is this where the revealing of the landmark is? - Tue Dec  8 01:56:03 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: No. - Tue Dec  8 01:56:54 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: It will be. - Tue Dec  8 01:56:54 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: The center of the village. - Tue Dec  8 01:56:54 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: It's why that portion has been covered for sometime. - Tue Dec  8 01:57:45 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: Hm.. - Tue Dec  8 01:57:45 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Let's view it now. - Tue Dec  8 01:57:45 2015
<br><br><font color=yellow>*Minatabi Eiyu(Dragonfile) ||Men and women begin to file in. The massive construct was hidden by long drapes. The Raikage of Kumogakure wore all black - a sign to show that he was grieving for all of those who had been lost. There was a moment of silence wherein not a single soul of Kumogakure spoke. 

Then, the fabric was pulled away from the structure to reveal a -giant- crimson memorial stone bearing the name of all of the shinobi who had been killed and recorded as Kia, as well as shinobi who went Mia - The Yondaime wasn't mentioned at all.

Lastly, the Raikage spoke. Now adorning his sartorial robes of elegance. 

This speech would determine the fate for the rest of his people. 

* - Tue Dec  8 02:02:52 2015
<br><br><font color=yellow>***Raikage**(Dragonfile) ||It wouldn't be hidden any longer - over the loud speaker Eiyu spoke, his voice magnified by the loud-speakers indicating the message to be spread throughout the masses. "I call on all of you here today because I am bearing a message. I know Sunagakure occupies these lands but it won't be for much longer, I know they are here to protect, but we are now at the point where I am confident in our abilities, and thanks to the joint effort of our allies in Konohagakure working together I can finally say it's about time Kumogakure become an independent nation."

"It is what I, Minatabi, Eiyu planned to do from the start, and while this may cause tensions to flare from the outside world I want you to know nothing will stop me from this goal of mine. I swear it."

Yes, the Raikage had openly voiced his desire to seperate from Sunagakure, and it would happen within these span of years. Word would begin to spread like wildfire, how would the surrounding nations take it?* - Tue Dec  8 02:06:17 2015
<br><br><font color=teal>***Raikage**(Dragonfile) says: I will not doubt be in danger from here on out. - Tue Dec  8 02:17:23 2015
<br><br><font color=teal>***Raikage**(Dragonfile) says: But what I intend to pass down to you. - Tue Dec  8 02:18:14 2015
<br><br><font color=teal>***Raikage**(Dragonfile) says: Is the fact that we are to be a free people, and even if Sunagakure intends to subjugate us. - Tue Dec  8 02:18:14 2015
<br><br><font color=teal>***Raikage**(Dragonfile) says: It will fail. - Tue Dec  8 02:18:14 2015
<br><br><font color=teal>***Raikage**(Dragonfile) says: For our people demand to be free, and they will have to kill us all before they can call us Sunagakure. - Tue Dec  8 02:18:14 2015
<br><br><font color=teal>*Takuma(Brosis55) thinks: Missions can wait. - Tue Dec  8 02:20:48 2015
<br><br><font color=teal>*Hokuma, Kuro(Ichigo10101) says: Me? I'm just a wandering monk. I used to live here a while ago. - Tue Dec  8 02:39:34 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Alright. - Tue Dec  8 02:39:34 2015
<br><br><font color=teal>*Hokuma, Kuro(Ichigo10101) says: You? - Tue Dec  8 02:39:34 2015
<br><br><font color=teal>*Hokuma, Kuro(Ichigo10101) says: I recall seeing you in Suna not too long ago. - Tue Dec  8 02:39:34 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Yeah, was there for awhile. - Tue Dec  8 02:39:34 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Got taught a technique, and left. - Tue Dec  8 02:40:25 2015
<br><br><font color=teal>*Aiyana(PrisonerOfWar) thinks: What is the point of serving a village...Everyone around me is dead... - Tue Dec  8 02:40:25 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: ...... - Tue Dec  8 02:42:08 2015
<br><br><font color=teal>***Raikage**(Dragonfile) says: Hm... - Tue Dec  8 02:46:24 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: You've returned, Kuro. - Tue Dec  8 02:46:24 2015
<br><br><font color=teal>*Takuma(Brosis55) thinks: What kind of name is Kuro. - Tue Dec  8 02:47:15 2015
<br><br><font color=teal>*Takuma(Brosis55) thinks: This man is a fuckboy. - Tue Dec  8 02:47:15 2015
<br><br><font color=teal>*Hokuma, Kuro(Ichigo10101) says: Yes, I have. I haven't visited in a while, so I figured I'd see how things are going. - Tue Dec  8 02:47:15 2015
<br><br><font color=teal>*Hokuma, Kuro(Ichigo10101) says: After all, this is still my home. - Tue Dec  8 02:47:15 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: I suppose it is. - Tue Dec  8 02:47:15 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: I take it you've gotten word? - Tue Dec  8 02:47:15 2015
<br><br><font color=teal>*Hokuma, Kuro(Ichigo10101) says: Word of? - Tue Dec  8 02:48:06 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Kumogakure will remain on high alert. - Tue Dec  8 02:52:22 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: For the time being. - Tue Dec  8 02:52:22 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Sunagakure shinobi who are present - do not harm them, simply keep an eye on them with our forces, along with Konohagakures. We will ensure everything goes down smoothly. - Tue Dec  8 02:53:13 2015
<br><br><font color=teal>*Hokuma, Kuro(Ichigo10101) says: What's going on? - Tue Dec  8 02:53:13 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Are you going to request their forces to leave? - Tue Dec  8 02:53:13 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: That is a thought. - Tue Dec  8 02:54:04 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: I'm conflicted. - Tue Dec  8 02:54:04 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: I suppose so. - Tue Dec  8 02:54:04 2015
<br><br><font color=teal>*Hokuma, Kuro(Ichigo10101) says: What's going on for the village to be on high alert? - Tue Dec  8 02:54:56 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Kumogakure's independence. - Tue Dec  8 02:55:47 2015
<br><br><font color=teal>*Hokuma, Kuro(Ichigo10101) says: Kumogakure's independence? - Tue Dec  8 02:57:29 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Yes. - Tue Dec  8 02:57:29 2015
<br><br><font color=teal>*Hokuma, Kuro(Ichigo10101) says: I haven't been keeping up with village news, but can you explain to me what do you mean? Independence from what? - Tue Dec  8 02:57:29 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Lord Raikage. - Tue Dec  8 02:57:29 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Yes, and I will explain in a second? - Tue Dec  8 02:57:29 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: This goes back to my request from earlier. - Tue Dec  8 02:58:20 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Hmm. - Tue Dec  8 02:58:20 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: I wish to travel the lands. - Tue Dec  8 02:58:20 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Even if it's Konohagakure and back. - Tue Dec  8 02:58:20 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: I think such a task is dangerous for you right now, though I will permit it under one ondition. - Tue Dec  8 02:58:20 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Condition being? - Tue Dec  8 02:59:12 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Should you find the Hokage. - Tue Dec  8 02:59:12 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Tell them I need to speak to them. - Tue Dec  8 02:59:12 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Of course. - Tue Dec  8 02:59:12 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Consider it done. - Tue Dec  8 02:59:12 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Then your request is granted. - Tue Dec  8 02:59:12 2015
<br><br><font color=teal>*Hokuma, Kuro(Ichigo10101) says: There's a Hokage now? - Tue Dec  8 02:59:12 2015
<br><br><font color=teal>*Hokuma, Kuro(Ichigo10101) says: Hm..Is it that woman with the blonde hair? - Tue Dec  8 03:00:03 2015
<br><br><font color=teal>*Hokuma, Kuro(Ichigo10101) says: I forget her name. - Tue Dec  8 03:00:03 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: I don't know. - Tue Dec  8 03:00:03 2015
<br><br><font color=teal>*Aiyana(PrisonerOfWar) thinks: I rememeber the last Hokage...He wanted to train me since i reminded of him... - Tue Dec  8 03:00:03 2015
<br><br><font color=teal>*Uchiha, Mitarashi(Maruka) says: The new Hokage has Red Hair. - Tue Dec  8 03:00:03 2015
<br><br><font color=teal>*Aiyana(PrisonerOfWar) thinks: More shattered bonds... - Tue Dec  8 03:00:54 2015
<br><br><font color=teal>*Ambrocio(XenoKuthric) thinks: New Hokage?.. Mm', atleast now I have something interesting to go off of now. - Tue Dec  8 03:00:54 2015
<br><br><font color=teal>*Ambrocio(XenoKuthric) thinks: Guess my time here is done, nothing interesting for me. - Tue Dec  8 03:00:54 2015
<br><br><font color=teal>*Hokuma, Kuro(Ichigo10101) says: Red hair? - Tue Dec  8 03:00:54 2015
<br><br><font color=teal>*Uchiha, Mitarashi(Maruka) says: Mhm. - Tue Dec  8 03:00:54 2015
<br><br><font color=teal>*Hokuma, Kuro(Ichigo10101) says: What do they look like? - Tue Dec  8 03:01:45 2015
<br><br><font color=yellow>*Minatabi Eiyu(Dragonfile) ||The forces of Kumogakure, and Konohagakure shinobi who remained inside of the Land Of Clouds had dialogue with the Sunagakure shinobi. Formal requests handed in by the Raikage himself request they leave Kumogakure at once.* - Tue Dec  8 03:03:28 2015
<br><br><font color=teal>*Hokuma, Kuro(Ichigo10101) says: ... - Tue Dec  8 03:06:01 2015
<br><br><font color=teal>*Uchiha, Mitarashi(Maruka) says: I don't know. A female? - Tue Dec  8 03:06:52 2015
<br><br><font color=teal>*Uchiha, Mitarashi(Maruka) says: Wears the Hokage clothing? - Tue Dec  8 03:06:52 2015
<br><br><font color=teal>*Hokuma, Kuro(Ichigo10101) says: Hm.. - Tue Dec  8 03:06:52 2015
<br><br><font color=teal>*Hokuma, Kuro(Ichigo10101) says: Oh, that reminds me! - Tue Dec  8 03:06:52 2015
<br><br><font color=teal>*Hokuma, Kuro(Ichigo10101) says: I saw the previous Raikage in Konoha not too long ago. - Tue Dec  8 03:07:44 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: To say she was a leader is an insult to Kumogakure. We let her go where she wishes. - Tue Dec  8 03:07:44 2015
<br><br><font color=teal>*Aiyana(PrisonerOfWar) thinks: She? How many Kages has this village has seen. - Tue Dec  8 03:08:35 2015
<br><br><font color=teal>*Hokuma, Kuro(Ichigo10101) says: But she was still a Raikage. You can't erase history. - Tue Dec  8 03:09:26 2015
<br><br><font color=teal>*Aiyana(PrisonerOfWar) says: A lot of things in this village should be erased. - Tue Dec  8 03:09:26 2015
<br><br><font color=teal>*Hokuma, Kuro(Ichigo10101) says: I think the opposite.  We must accept the past and present, our flaws and assets.  - Tue Dec  8 03:10:17 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Hmm. - Tue Dec  8 03:11:08 2015
<br><br><font color=teal>*Aiyana(PrisonerOfWar) says: I wonder how far you will get those naive principles. - Tue Dec  8 03:11:08 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: That's foolish. A person that abandoned their village shouldn't have the honor to be claimed.. She left Kumogakure in the midst of danger, she was no Raikage. - Tue Dec  8 03:14:33 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Hmm? What? - Tue Dec  8 03:17:07 2015
<br><br><font color=teal>*Aiyana(PrisonerOfWar) thinks: I wonder how many people has he lost....probably none. - Tue Dec  8 03:17:58 2015
<br><br><font color=teal>*Aiyana(PrisonerOfWar) thinks: Shit...where is my nephew. - Tue Dec  8 03:17:58 2015
<br><br><font color=teal>*Uchiha, Mitarashi(Maruka) says: Raikage. - Tue Dec  8 03:18:49 2015
<br><br><font color=teal>*Aiyana(PrisonerOfWar) thinks: Heiwa... - Tue Dec  8 03:18:49 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Yes? - Tue Dec  8 03:19:40 2015
<br><br><font color=teal>*Uchiha, Mitarashi(Maruka) says: Did you recive my Pidgeon? - Tue Dec  8 03:20:32 2015
<br><br><font color=teal>***Raikage**(Dragonfile) says: I did. - Tue Dec  8 03:20:32 2015
<br><br><font color=teal>***Raikage**(Dragonfile) says: I informed your kin. - Tue Dec  8 03:20:32 2015
<br><br><font color=teal>*Uchiha, Mitarashi(Maruka) says: Thank you. - Tue Dec  8 03:20:32 2015
<br><br><font color=teal>*Uchiha, Mitarashi(Maruka) says: Where is he now? - Tue Dec  8 03:20:32 2015
<br><br><font color=teal>*Uchiha, Mitarashi(Maruka) says: receive* - Tue Dec  8 03:21:23 2015
<br><br><font color=teal>***Raikage**(Dragonfile) says: The training field. - Tue Dec  8 03:21:23 2015
<br><br><font color=teal>***Raikage**(Dragonfile) says: - - Tue Dec  8 03:21:23 2015
<br><br><font color=teal>***Raikage**(Dragonfile) says: Oh. - Tue Dec  8 03:21:23 2015
