<br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: ... - Sun Oct  4 04:46:17 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: mhm. - Sun Oct  4 13:20:51 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Yep. - Sun Oct  4 13:20:51 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Yep. - Sun Oct  4 13:20:51 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Yep. - Sun Oct  4 13:22:33 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Have. - Sun Oct  4 13:24:16 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Have. - Sun Oct  4 13:24:16 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Do you have Genjutsu Kai? - Sun Oct  4 13:24:16 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I'll take. - Sun Oct  4 13:24:16 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I'm acting on. - Sun Oct  4 13:25:58 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: A Referral bonus. - Sun Oct  4 13:25:58 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Referr someone to me, and the next scroll you give me I'll pay 50% more. - Sun Oct  4 13:25:58 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: But they have to donate something themselves. - Sun Oct  4 13:25:58 2015
<br><br><font color=teal>*Kilm(Vysasi) thinks: . . . Welp . . . Basically gave away so much jutsu . . . Ain't ever giving him storm jutsu if I make some . . . They're going to be for Storm users and storm users alone. - Sun Oct  4 13:26:49 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Oh, Lera. - Sun Oct  4 13:26:49 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Muhhamed-san, stated he'd start up my training again. - Sun Oct  4 13:26:49 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: Anywho, Seisuke. - Sun Oct  4 13:27:40 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: If I give you this jutsu, which ones are you going to let me borrow? - Sun Oct  4 13:27:40 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Any of the same rank. - Sun Oct  4 13:27:40 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: But it is as you said. - Sun Oct  4 13:27:40 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Borrowing. - Sun Oct  4 13:27:40 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: You are to return it once you learn it, That's fine right? - Sun Oct  4 13:28:32 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: And I assume if I only turn in one, I can only borrow one? - Sun Oct  4 13:28:32 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I'm going to act on an honor system more or less. - Sun Oct  4 13:28:32 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I'll let you borrow one. - Sun Oct  4 13:28:32 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: And you have to return it when you're done. - Sun Oct  4 13:28:32 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: If it is returned by the deadline. - Sun Oct  4 13:28:32 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I'll let you borrow two. - Sun Oct  4 13:29:23 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Next time. - Sun Oct  4 13:29:23 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Fair enough? - Sun Oct  4 13:29:23 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Once a Month, I'll ask for a New Scroll from you as well. - Sun Oct  4 13:29:23 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Any extra is appreciated but not required. - Sun Oct  4 13:29:23 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: Hm. - Sun Oct  4 13:30:14 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: So if I were to turn in this C ranked one. - Sun Oct  4 13:31:05 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: I'd have accesss to C ranked jutsu for a month? - Sun Oct  4 13:31:05 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: If you return them at the correct times. - Sun Oct  4 13:31:56 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Yes. - Sun Oct  4 13:31:56 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: I see. - Sun Oct  4 13:31:56 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Alternatively you can only receive Three Jutsu a Month. - Sun Oct  4 13:31:56 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: As a limitation. - Sun Oct  4 13:31:56 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: I see. - Sun Oct  4 13:33:39 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: Give me a bit of time to think about it? - Sun Oct  4 13:33:39 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Mhm. - Sun Oct  4 13:33:39 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Also. - Sun Oct  4 13:34:30 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: You can set a clause that. - Sun Oct  4 13:35:21 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: You don't want your jutsu taught to other people. - Sun Oct  4 13:35:21 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Or handed out. - Sun Oct  4 13:35:21 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: That works as well. - Sun Oct  4 13:35:21 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: They why have the scroll at all? - Sun Oct  4 13:35:21 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Collection. - Sun Oct  4 13:35:21 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: Hm. - Sun Oct  4 13:37:04 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: I still want to think it over. - Sun Oct  4 13:37:55 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Oh yes. - Sun Oct  4 13:38:46 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I almost forgot. - Sun Oct  4 13:38:46 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Any Kekkei Genkai, or Advanced Elemental Techniques. - Sun Oct  4 13:39:37 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I'll pay double. - Sun Oct  4 13:39:37 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Never giving those out. - Sun Oct  4 13:39:37 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Even if you pay double. - Sun Oct  4 13:39:37 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Never said you were. - Sun Oct  4 13:39:37 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Just putting it out there., - Sun Oct  4 13:39:37 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I also buy. - Sun Oct  4 13:39:37 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Information. - Sun Oct  4 13:39:37 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Information on what? - Sun Oct  4 13:40:28 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Everyone, everything. - Sun Oct  4 13:40:28 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: If you know someone's abilities. - Sun Oct  4 13:40:28 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Medical History. - Sun Oct  4 13:40:28 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Past. - Sun Oct  4 13:40:28 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Etcetera. - Sun Oct  4 13:40:28 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I'll buy it based on how much it's worth - Sun Oct  4 13:40:28 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: Hm. . .does this work the other way around too? - Sun Oct  4 13:41:20 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: Like. - Sun Oct  4 13:41:20 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: Can we give you money for things? - Sun Oct  4 13:41:20 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Mhm. - Sun Oct  4 13:41:20 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: And what do you have for sale? - Sun Oct  4 13:42:11 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: Information? Items? Out of curiousity. - Sun Oct  4 13:44:44 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I can get information, Items or anything else. - Sun Oct  4 13:46:27 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: At the same token. - Sun Oct  4 13:47:18 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I'll even relay purchases to the Gezo if you have the Money for a bit extra. - Sun Oct  4 13:47:18 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: Eh? - Sun Oct  4 13:47:18 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: And what sorts of items do you have> - Sun Oct  4 13:48:09 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: *? - Sun Oct  4 13:48:09 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Probably none of interest. - Sun Oct  4 13:48:09 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Probably none of interest. - Sun Oct  4 13:49:00 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: And how do you know what I would be interested in? - Sun Oct  4 13:49:00 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I'l sell you this blade on my Back. - Sun Oct  4 13:49:00 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: For Two Hundred And Fifty Million. - Sun Oct  4 13:49:00 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: . . . - Sun Oct  4 13:49:00 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: Anything cheaper? - Sun Oct  4 13:49:52 2015
<br><br><font color=teal>*Kilm(Vysasi) says: . . . I should go train now. - Sun Oct  4 14:47:02 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: Why didn't you train while I was training? - Sun Oct  4 14:47:02 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Lazy. - Sun Oct  4 14:47:53 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: Seems like wasted time if you ask me. - Sun Oct  4 14:47:53 2015
<br><br><font color=teal>*Kilm(Vysasi) says: You don't know how many people i've been friends with have passed their lazy habits to me. - Sun Oct  4 14:47:53 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Anyone else up for training? - Sun Oct  4 14:48:44 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: . . . - Sun Oct  4 14:49:36 2015
<br><br><font color=teal>*Kilm(Vysasi) says: . . . Guess not. - Sun Oct  4 14:50:27 2015
<br><br><font color=teal>*Kilm(Vysasi) says: I'll probably be back later then. - Sun Oct  4 14:50:27 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Still better than Amegakure. - Sun Oct  4 15:07:31 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: True. - Sun Oct  4 15:08:22 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Taiga. - Sun Oct  4 15:20:19 2015
<br><br><font color=teal>*Kilm(Vysasi) says: We should get moving now. - Sun Oct  4 15:20:19 2015
<br><br><font color=teal>*Lera(Bailey42) says: Does anyone feel like a short spar..? - Sun Oct  4 15:28:51 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Taiga. - Sun Oct  4 15:32:16 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Let's get going. - Sun Oct  4 15:32:16 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: Sure. - Sun Oct  4 15:33:07 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Kang, You up to join us as well? - Sun Oct  4 15:33:58 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: Where are you going? - Sun Oct  4 15:33:58 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Kumogakure temporarily. - Sun Oct  4 15:33:58 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: Hm. - Sun Oct  4 15:34:49 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: And why is that? - Sun Oct  4 15:36:32 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Some business. - Sun Oct  4 15:36:32 2015
<br><br><font color=teal>*Kilm(Vysasi) says: If you're not up to come then it's fine. - Sun Oct  4 15:36:32 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) thinks: She'll be leaving anyway. - Sun Oct  4 15:37:23 2015
<br><br><font color=teal>*Katsune(Shimizu3598) whispers: Hm. Good. - Sun Oct  4 16:01:16 2015
<br><br><font color=teal>*Katsune(Shimizu3598) whispers: You? - Sun Oct  4 16:01:16 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) says: Well, the environment here is... different. - Sun Oct  4 16:02:08 2015
<br><br><font color=yellow>*Nakahara, Setsuko(TheOfficialMidknights) stretched some, peering at the two females nearby, then past them to Lera and Seisuke. She'd take a few steps, gazing at more of her surroundings.* - Sun Oct  4 16:03:50 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) thinks: Doesn't seem too lively compared to Kirigakure... - Sun Oct  4 16:03:50 2015
<br><br><font color=yellow>*Nakahara, Setsuko(TheOfficialMidknights) looped around the statue of the Kazekage, distancing herself from it then proceeding to stand near Violet once more. Things seemed to be going slow today.* - Sun Oct  4 16:05:32 2015
<br><br><font color=teal>*Lera(Bailey42) says: ... - Sun Oct  4 16:26:01 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Yo. We're busy ruining someone's plans and I'm busy seeing whether or not I need to brutally murder someone. Do you -mind-? - Sun Oct  4 16:26:01 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Oh, my apologies, I was waiting for your partner to answer but I guess thats it. I will not bother you then. Sorry... - Sun Oct  4 16:27:44 2015
<br><br><font color=teal>*Lera(Bailey42) thinks: Feel a little sorry for the guy - Sun Oct  4 16:27:44 2015
<br><br><font color=teal>*Lera(Bailey42) says: ... - Sun Oct  4 16:31:08 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) says: Lera. - Sun Oct  4 16:32:51 2015
<br><br><font color=teal>*Lera(Bailey42) says: Hrm? - Sun Oct  4 16:32:51 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) says: Can we train somewhere..? - Sun Oct  4 16:32:51 2015
<br><br><font color=teal>*Lera(Bailey42) says: One second. - Sun Oct  4 16:32:51 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) says: Okay. - Sun Oct  4 16:35:24 2015
<br><br><font color=teal>*Lera(Bailey42) says: Good luck, don't let the naysayers get you down. - Sun Oct  4 16:42:14 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: I thank you my sister - Sun Oct  4 16:42:14 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: God bless - Sun Oct  4 16:42:14 2015
<br><br><font color=teal>*Lera(Bailey42) says: And you. I think? - Sun Oct  4 16:43:05 2015
<br><br><font color=teal>*Lera(Bailey42) says: Alright, you wanna train? - Sun Oct  4 16:43:05 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) says: Mhm - Sun Oct  4 16:43:05 2015
<br><br><font color=teal>*Lera(Bailey42) says: Alright. Lead the way - Sun Oct  4 16:43:56 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: I see you girls are trying to be active - Sun Oct  4 16:43:56 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) says: Uhuh. - Sun Oct  4 16:43:56 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) says: Wanna tag along, Violet? - Sun Oct  4 16:43:56 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: Have f- oh, sure if you dont mind... - Sun Oct  4 16:43:56 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) says: I don't. Come on! - Sun Oct  4 16:43:56 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) says: This should be a good place, right? - Sun Oct  4 16:45:39 2015
<br><br><font color=teal>*Lera(Bailey42) says: Alright. - Sun Oct  4 16:46:30 2015
<br><br><font color=teal>*Lera(Bailey42) says: Gonna guess you wanna learn a new jutsu right? - Sun Oct  4 16:46:30 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) says: Yeah. - Sun Oct  4 16:47:21 2015
<br><br><font color=teal>*Lera(Bailey42) says: Any specific element? - Sun Oct  4 16:47:21 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) says: Anything you can teach me. - Sun Oct  4 16:47:21 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) says: So anything other than Raiton.. - Sun Oct  4 16:47:21 2015
<br><br><font color=teal>*Lera(Bailey42) says: Alright. Uh...you have wind right? - Sun Oct  4 16:48:12 2015
<br><br><font color=teal>*Lera(Bailey42) says: I'll teach you some Fuuton and Katon then. - Sun Oct  4 16:48:12 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) says: Uh... could you teach me Doton.. perhaps? - Sun Oct  4 16:48:12 2015
<br><br><font color=teal>*Lera(Bailey42) says: Ehh, I guess. Sure - Sun Oct  4 16:48:12 2015
<br><br><font color=teal>*Lera(Bailey42) says: Do you know Mud Silhouette? - Sun Oct  4 16:49:04 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) says: I only know how to course Doton chakra through weapons. - Sun Oct  4 16:49:04 2015
<br><br><font color=teal>*Lera(Bailey42) says: Oh. Really? Would you teach me that later? - Sun Oct  4 16:49:04 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) says: I can teach you it now if you like. - Sun Oct  4 16:49:55 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: I could have taught you...  taught her <pouts like a little girl> - Sun Oct  4 16:49:55 2015
<br><br><font color=teal>*Lera(Bailey42) says: Oh? You can teach me it now?~ - Sun Oct  4 16:49:55 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) says: Indeed. - Sun Oct  4 16:49:55 2015
<br><br><font color=teal>*Lera(Bailey42) says: Sorry Vi, i didn't realise you knew it. - Sun Oct  4 16:50:46 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: No... no... she can teach you... if she has master it that is... - Sun Oct  4 16:50:46 2015
<br><br><font color=yellow>*Nakahara, Setsuko(TheOfficialMidknights) removed a kunai from the confines of her backpouch, allowing it to gyrate throughout the air as she whipped it from said pouch. She'd catch it by it's handle, explaining how to utilize the technique. "So... basically... try coursing a high volume of Doton chakra throughout the weapon's blade." She'd state, pluming her chakra.

The kunai shimmered some, the glint to it's blade becoming brown to indicate she'd successfully done it. The female halted the flow of chakra, stepping forth and handing Lera the kunai.

"Now you try."* - Sun Oct  4 16:52:28 2015
<br><br><font color=teal>*Lera(Bailey42) says: Okay. - Sun Oct  4 16:52:28 2015
<br><br><font color=teal>*Lera(Bailey42) says: Hrm - Sun Oct  4 16:52:28 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: When did you guys leave Kirigakure? - Sun Oct  4 16:56:44 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) says: Four days ago. - Sun Oct  4 16:57:36 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: I see. - Sun Oct  4 16:57:36 2015
<br><br><font color=yellow>*Nakahara, Setsuko(TheOfficialMidknights) nodded lightly. "Alright then.." The female would face her right, proceeding to plume her chakra. The blonde would clasp her hands together, kneading chakra into the form of Doton. She'd attempt to spew a decent amount of mud from her mouth, but instead nothing came out, and thus she ended up wasting chakra.

Setsuko attempted to keep her hands together. She'd utilize a decent flow of chakra and attempt to knead it into Doton. Instead of before, she attempted to take it a step further. This time the blonde would try to infuse the Doton-composed chakra into mud. At that point, she would try launching the mud from her mouth in the form of a wave.

The blonde grew sour when she noticed that the amount of mud exiting her mouth was insufficient compared to Lera. The blonde would keep her hands clasped, proceeding to focus a plume of chakra in her throat. She puffed up her cheeks and kneaded the chakra into mud, releasing it in the form of a stream of mud down at the ground.* - Sun Oct  4 16:58:27 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) says: Was that good? - Sun Oct  4 17:01:00 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: But we are only here temorarily - Sun Oct  4 17:01:00 2015
<br><br><font color=teal>*Lera(Bailey42) says: Mhm, not bad, - Sun Oct  4 17:01:00 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: I resigned to Kirigakure several days ago. - Sun Oct  4 17:01:52 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: Why? - Sun Oct  4 17:02:43 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: It was time to move on. - Sun Oct  4 17:02:43 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) says: I'm only here for Ninjutsu. I'm heading back to get training in Medical Ninjutsu after. - Sun Oct  4 17:03:34 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: Well Im going to miss you... I guess we couldnt be together forever... that was unrealistic - Sun Oct  4 17:03:34 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: .... - Sun Oct  4 17:04:25 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) thinks: Be together forever? - Sun Oct  4 17:04:25 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Yeah... - Sun Oct  4 17:04:25 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) says: Eh? Alright... - Sun Oct  4 17:04:25 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: I'll drop by every now and again - Sun Oct  4 17:04:25 2015
<br><br><font color=teal>*Lera(Bailey42) says: Next one? - Sun Oct  4 17:06:59 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: Thats good, I would like to see you every now and then - Sun Oct  4 17:06:59 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Yeah. - Sun Oct  4 17:07:50 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: And Lera your leaving Kirigakure also? - Sun Oct  4 17:07:50 2015
<br><br><font color=teal>*Lera(Bailey42) says: I dunno - Sun Oct  4 17:07:50 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: That village is not what it used to be - Sun Oct  4 17:07:50 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) thinks: Sigh.. she said nothing about missing me when I planned on heading back to Kirigakure. - Sun Oct  4 17:08:41 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: Well as ninja come and go... I will stay with Lady Koeki... - Sun Oct  4 17:08:41 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) says: Alright.. - Sun Oct  4 17:09:32 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: I hope that decision doesn't bite you in the ass later on. - Sun Oct  4 17:09:32 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: I'll be going now.  - Sun Oct  4 17:09:32 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: I'll see you around. - Sun Oct  4 17:10:24 2015
<br><br><font color=teal>*Lera(Bailey42) thinks: And while she's learning that. I'll practice... - Sun Oct  4 17:11:15 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: Sigh* Everyone is leaving me... - Sun Oct  4 17:11:15 2015
<br><br><font color=teal>*Lera(Bailey42) says: We're still friends, Doesn't matter where we ar.e - Sun Oct  4 17:11:15 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: Yea... your right... but invite me to your wedding ok? - Sun Oct  4 17:12:06 2015
<br><br><font color=teal>*Lera(Bailey42) says: Mhm, Will do~ - Sun Oct  4 17:12:06 2015
<br><br><font color=teal>*Lera(Bailey42) says: I did need some bridesmaids.... - Sun Oct  4 17:12:06 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) says: I'm not leaving you. Am I -that- irrelevant in your life? - Sun Oct  4 17:12:06 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) thinks: Can't grace everyone with my existence..~ - Sun Oct  4 17:12:57 2015
<br><br><font color=teal>*Lera(Bailey42) thinks: Oh jeez, Someone wants a piece of Vi. - Sun Oct  4 17:12:57 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: Setsuko, i sorry; its just that I have known them longer... especially Lera... she was my first friend when I came to kirigakure - Sun Oct  4 17:13:48 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) says: Hnnn.. - Sun Oct  4 17:17:13 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) says: Hn..? - Sun Oct  4 17:18:56 2015
<br><br><font color=yellow>*Nakahara, Setsuko(TheOfficialMidknights) watched what Lera just did.

"Is that pure strength.... or..?"* - Sun Oct  4 17:22:20 2015
<br><br><font color=teal>*Lera(Bailey42) says: That. Is a secret - Sun Oct  4 17:24:03 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) says: Pleaaaaaaase teach me.. - Sun Oct  4 17:24:03 2015
<br><br><font color=teal>*Lera(Bailey42) says: Nope. Sorry, but this is one technique I won't teach anyone - Sun Oct  4 17:24:03 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) says: Guarantee it has to do with Doton. - Sun Oct  4 17:26:36 2015
<br><br><font color=teal>*Lera(Bailey42) says: *shrug* you can make whatever assumptions you want. - Sun Oct  4 17:26:36 2015
<br><br><font color=teal>*Lera(Bailey42) says: Anyways. I'm gonna go see if my sensei is awake. - Sun Oct  4 17:27:28 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) says: C'moooon.. teach me more. - Sun Oct  4 17:27:28 2015
<br><br><font color=teal>*Lera(Bailey42) says: I just showed you one - Sun Oct  4 17:27:28 2015
<br><br><font color=teal>*Lera(Bailey42) says: Hiding like a mole - Sun Oct  4 17:28:19 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) says: Oh, right... - Sun Oct  4 17:28:19 2015
<br><br><font color=teal>*Lera(Bailey42) says: Gonna go before he dozes off again! - Sun Oct  4 17:28:19 2015
<br><br><font color=teal>*Lera(Bailey42) says: Cya - Sun Oct  4 17:28:19 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: I think I will go back to Kirigakure sooner rather then later... - Sun Oct  4 17:32:35 2015
