<br><font color=yellow>*Sabara, Izutora(Get Jazzy) eagerly regained his footing after performing the twin kicks. He'd take one cartwheel, well aware of his surroundings while doing such. The male would fish throughout his backpouch, demoralized when he found that he couldn't find a kunai knife. He clutched onto something that seemed to be much more useful for his tactics.

Suddenly, his hand would emerge from his backpouch...holding.... a fish. He'd whip the fish directly at Amon, and without a second thought he'd bound off of his feet, performing a quick spin backward throughout the air, before shooting toward Amon, his left leg tucked in and his right leg extended out. He aimed to smack his sole into Amon's jaw.

"Dynamic Entry!"* - Tue Oct  6 02:16:06 2015
<br><br><font color=teal>*Sabara, Izutora(Get Jazzy) says: -omit- - Tue Oct  6 03:11:34 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Soon to be diagnosed for stroke. - Tue Oct  6 03:12:25 2015
<br><br><font color=teal>*Sabara, Izutora(Get Jazzy) says: square up lil nigga. - Tue Oct  6 03:12:25 2015
<br><br><font color=teal>*Sabara, Izutora(Get Jazzy) says: -omit- - Tue Oct  6 03:12:25 2015
<br><br><font color=teal>*Tokisaki, Chiharu(Cheesy Cakey) says: Alright.. - Tue Oct  6 03:13:16 2015
<br><br><font color=teal>*Asteroth(Lordlol45) thinks: Amusing. That man. . seemed very powerful. Are these shinobi not alarmed at his growth of strength? - Tue Oct  6 03:13:16 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: .. Yo, Raikage fam-... - Tue Oct  6 03:14:08 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: ..... - Tue Oct  6 03:14:08 2015
<br><br><font color=yellow>*Sabara, Izutora(Get Jazzy) tanks it and dynamic entries the shit out of him.* - Tue Oct  6 03:14:08 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Chiharu. - Tue Oct  6 03:15:50 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: Curious. - Tue Oct  6 03:15:50 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: Why did you? - Tue Oct  6 03:15:50 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: I dont't fight. - Tue Oct  6 03:15:50 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: don't* - Tue Oct  6 03:15:50 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: You're the shinobi here. - Tue Oct  6 03:15:50 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Who was to say that he would power up from eating a sword. - Tue Oct  6 03:16:41 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: We're going to go train. - Tue Oct  6 03:16:41 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Misa, do you want to come? - Tue Oct  6 03:16:41 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Ah well. - Tue Oct  6 03:16:41 2015
<br><br><font color=yellow>*Sabara, Izutora(Get Jazzy) approached the Raikage, bowing.

"I am the Green Beast of Sunagakure! I've arrived with intentions of learning hand to hand combat! If you wish not for me to be here I will leave immediately! Empower my taijutsu capabilities with your wisdom, I beg of you, Lord Raikage!"* - Tue Oct  6 03:16:41 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: It is what it is. - Tue Oct  6 03:16:41 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: Hm... - Tue Oct  6 03:16:41 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: Yo', Raikage fam'.. - Tue Oct  6 03:16:41 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: You want to learn...From me? - Tue Oct  6 03:16:41 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: A test.... - Tue Oct  6 03:16:41 2015
<br><br><font color=teal>*Sabara, Izutora(Get Jazzy) says: Yes. One of your shinobi sparred with me earlier! - Tue Oct  6 03:17:32 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: He threw a fish at my face. - Tue Oct  6 03:17:32 2015
<br><br><font color=yellow>*Sabara, Izutora(Get Jazzy) pointed toward Amon.

"I don't think it was fair though! I think he's allergic to fish!"* - Tue Oct  6 03:17:32 2015
<br><br><font color=teal>*Lyala(BoyFlareon) says: Yeah, sure. - Tue Oct  6 03:18:24 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Misa! - Tue Oct  6 03:18:24 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Do you want to come with me and Chiharu? - Tue Oct  6 03:18:24 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Guess not. - Tue Oct  6 03:21:48 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Chiharu, let's go. - Tue Oct  6 03:21:48 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: This spear is pretty cool. - Tue Oct  6 03:32:03 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Hey. - Tue Oct  6 03:34:36 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Anyone know who was friends with Flexus. - Tue Oct  6 03:34:36 2015
<br><br><font color=teal>*Reguel(Airide) says: I don't know who that is, are you close with the Mizukage? - Tue Oct  6 03:35:28 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: What type of retarded name is Flexus? - Tue Oct  6 03:35:28 2015
<br><br><font color=yellow>*Sabara, Izutora(Get Jazzy) couldn't perceive the attack at all. As a result, the bowlcut-loving individual was effortlessly flung over Niza by his strength alone. Izutora thrashed into the earth behind Niza, groaning. Pain resonated throughout his torso. He'd struggle to stand, attempting to distance himself from the Raikage, his beaty eyes set upon the male. He'd bend his right arm slightly, his back palm facing the male while his left arm was folded behind his back. He stood with an arch to his knees.

<G..Gah....> His stance was faltering from the pain he was experiencing.* - Tue Oct  6 03:36:19 2015
<br><br><font color=teal>*Reguel(Airide) says: I could say the same about your name, now be nice. - Tue Oct  6 03:37:10 2015
<br><br><font color=teal>*Sabara, Izutora(Get Jazzy) says: I..Indeed... - Tue Oct  6 03:39:44 2015
<br><br><font color=teal>*Sabara, Izutora(Get Jazzy) says: I will do... my hardest... - Tue Oct  6 03:39:44 2015
<br><br><font color=teal>*Sabara, Izutora(Get Jazzy) says: Try...my hardest... - Tue Oct  6 03:40:35 2015
<br><br><font color=teal>*Sabara, Izutora(Get Jazzy) says: In the name of yo...youth! - Tue Oct  6 03:40:35 2015
<br><br><font color=teal>*Reguel(Airide) says: ... - Tue Oct  6 03:40:35 2015
<br><br><font color=teal>*Reguel(Airide) says: We got another weird one. - Tue Oct  6 03:40:35 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: .... - Tue Oct  6 03:41:26 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: Right. - Tue Oct  6 03:41:26 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: Good. - Tue Oct  6 03:41:26 2015
<br><br><font color=teal>*Niza(Chevy Malibu) thinks: Another one dead... - Tue Oct  6 03:41:26 2015
<br><br><font color=teal>*Sabara, Izutora(Get Jazzy) thinks: My back is burning more than my youth! - Tue Oct  6 03:41:26 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: Which one of you females shall be joining the Raikage tonight? - Tue Oct  6 03:44:00 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: omit - Tue Oct  6 03:44:00 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: Lord Raikage...Is it true the Mizukage is a medical shinobi? - Tue Oct  6 03:45:42 2015
<br><br><font color=teal>*Reguel(Airide) says: Guess you're thinking the same thing I am, Misa. I already asked and he said yes, however I also heard she only accepts those within her village. - Tue Oct  6 03:46:33 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: Bummer.. - Tue Oct  6 03:46:33 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Meh. - Tue Oct  6 03:46:33 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: Why do you need a medic. - Tue Oct  6 03:46:33 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: The Mizukage is whack. - Tue Oct  6 03:46:33 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: A traitor. - Tue Oct  6 03:46:33 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: Although I would much rather stay here if anything. - Tue Oct  6 03:46:33 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: ---- - Tue Oct  6 03:47:24 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: Im out - Tue Oct  6 03:47:24 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: And prone to terrible decisions. - Tue Oct  6 03:47:24 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: Why do you need a medic. - Tue Oct  6 03:47:24 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: I don't need a medic... - Tue Oct  6 03:47:24 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: unafk - Tue Oct  6 03:48:16 2015
<br><br><font color=teal>*Reguel(Airide) says: We're both medics. - Tue Oct  6 03:48:16 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: - - Tue Oct  6 03:48:16 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: The Mizukage. - Tue Oct  6 03:48:16 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: Dislikes me. - Tue Oct  6 03:48:16 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: Did you deny her thirst? - Tue Oct  6 03:48:16 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: -omit- - Tue Oct  6 03:48:16 2015
<br><br><font color=teal>*Reguel(Airide) says: So we're at fault? - Tue Oct  6 03:48:16 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: Oh. - Tue Oct  6 03:48:16 2015
<br><br><font color=teal>*Sabara, Izutora(Get Jazzy) thinks: she denied his. - Tue Oct  6 03:48:16 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: No, I attempted to spar a relationship. - Tue Oct  6 03:48:16 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: I'm bad at flirting. - Tue Oct  6 03:49:07 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: If you hadn't assumed such. - Tue Oct  6 03:49:07 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: ---- - Tue Oct  6 03:49:58 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: That one guy wants training? - Tue Oct  6 03:51:40 2015
<br><br><font color=yellow>*Sabara, Izutora(Get Jazzy) extended his legs out beneath him, folding his left arm behind his back. He'd suspend his body upright utilizing his right arm. He'd bend his arm, pumping it outward after going down. He'd continue performing the pushups, exclaiming.

"If I cannot accomplish four hundred it shall be eight hundred!" The male hollared, proceeding to start doing eight pushups a second.* - Tue Oct  6 03:51:40 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: ///// - Tue Oct  6 03:51:40 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: ...... - Tue Oct  6 03:51:40 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: ---- - Tue Oct  6 03:51:40 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) thinks: I'll keep that in mind. - Tue Oct  6 03:51:40 2015
<br><br><font color=teal>*Niza(Chevy Malibu) thinks: All these hooligans yelling in my village. - Tue Oct  6 03:51:40 2015
<br><br><font color=teal>*Heiwa(PythonJedi) thinks: I wonder why he's looking for Uncle Hideki.. - Tue Oct  6 03:51:40 2015
<br><br><font color=teal>*Asteroth(Lordlol45) thinks: Dedication. .. I wonder, how powerful he will become. - Tue Oct  6 03:52:32 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) thinks: Have we been placed in groups? - Tue Oct  6 03:52:32 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Oh, Suitengu. - Tue Oct  6 03:53:23 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) thinks: ---^ooc---- - Tue Oct  6 03:53:23 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) thinks: Mischan no jutsu - Tue Oct  6 03:53:23 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) thinks: Theres a lot of people here...at least they're more lively than the bunch behind me... - Tue Oct  6 03:54:14 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: I see you're doing well- Oh, you're here too. Wh- .. That is, quite the spear. - Tue Oct  6 03:54:14 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: How did you manage that? - Tue Oct  6 03:54:14 2015
<br><br><font color=teal>*Reguel(Airide) says: However don't let your past relationship with the Mizukage conflict with your medics progression. - Tue Oct  6 03:54:14 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Well. I challenged him to a battle to the death for the title of Mankiller. - Tue Oct  6 03:55:05 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Since Urek is well, my idol. - Tue Oct  6 03:55:05 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: ... - Tue Oct  6 03:55:56 2015
<br><br><font color=yellow>*Sabara, Izutora(Get Jazzy) suddenly lifted his palm for a brief moment, thrashing it against the ground to bounce into a standing position. Izutora would start doing jumping jack-esque movements, his arched legs thrusting off the earth. He'd throw right and left punches forth, alternating between each. Sweat danced off of his glistening, well-toned frame.* - Tue Oct  6 03:55:56 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: No clue. We've got a month of preparation time. - Tue Oct  6 03:55:56 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: A month. I'll be sure to remember that, I'd enjoy to see the moment you claim the spear as your own then. - Tue Oct  6 03:56:48 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: As does Kumogakure. They want to sponsor the fight, make a quick buck. - Tue Oct  6 03:56:48 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: Oh?.. - Tue Oct  6 03:56:48 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: Very interesting.. - Tue Oct  6 03:56:48 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: ... - Tue Oct  6 03:57:39 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) thinks: Okay, ignore me. - Tue Oct  6 03:57:39 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: Do you plan on being here when the month is up? - Tue Oct  6 03:57:39 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: No idea where i'll be. - Tue Oct  6 03:59:21 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: I just know the terrain won't be the same. - Tue Oct  6 03:59:21 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: Well.. If you won't be here, I'd love to know where this will take place. It will certainly be a battle to see. - Tue Oct  6 03:59:21 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: So. You won't be staying here too long then, I take it? - Tue Oct  6 04:01:55 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: You're going to be fighting Tetsujin? - Tue Oct  6 04:02:46 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Yes. - Tue Oct  6 04:03:37 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: Hmm.. - Tue Oct  6 04:07:53 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) thinks: This guy is creeping on the little kid. - Tue Oct  6 04:07:53 2015
<br><br><font color=yellow>*Sabara, Izutora(Get Jazzy) suddenly came to a stop. The bushy browed taijutsu specialist peered at the wall nearby. One of his beaty orbs glistened as he approached the mountain, cracking his knuckles then bending his knees. He'd launch himself into the air, soaring a decent distance high before unraveling the gauze around his hands, clasping to any rock that he could get a good grip on. Izutora would hang from a low distance on the mountain, at least fourteen feet up.

To give himself more of a challenge the bowl-cut loving teen would fold his right arm behind his back, suspending himself high up with his left hand. Izutora would bend and extend his left arm, though he couldn't sustain this for long, and thus his right arm unfolded from behind his back. He'd start extending and arching his arms, before letting go and descending to the ground in several spins throughout the air.* - Tue Oct  6 04:07:53 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) thinks: That kid is creeping on that other kid. - Tue Oct  6 04:08:44 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Officially bored. - Tue Oct  6 04:09:36 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Someone give me something to do. - Tue Oct  6 04:09:36 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: Well. - Tue Oct  6 04:09:36 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: I must take my leave now. - Tue Oct  6 04:10:27 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: A Raikage needs his rest. - Tue Oct  6 04:10:27 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: Or rather. - Tue Oct  6 04:10:27 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: Meditation. - Tue Oct  6 04:10:27 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: Otherwise I'll die from starvation. - Tue Oct  6 04:10:27 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: C'mon guys. - Tue Oct  6 04:12:09 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Don't be scared. - Tue Oct  6 04:12:09 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: Glad you caught up. - Tue Oct  6 04:14:43 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: As am I. - Tue Oct  6 04:14:43 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: Seems like a lively...gathering. - Tue Oct  6 04:14:43 2015
<br><br><font color=teal>*Odelia(BoyUmbreon) says: You were slow. - Tue Oct  6 04:14:43 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: I was elsewhere. - Tue Oct  6 04:15:34 2015
<br><br><font color=teal>*Odelia(BoyUmbreon) says: Ah. - Tue Oct  6 04:15:34 2015
<br><br><font color=teal>*Sabara, Izutora(Get Jazzy) says: So many youthful newcomers... - Tue Oct  6 04:16:25 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Uhh. - Tue Oct  6 04:17:16 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Yo. - Tue Oct  6 04:17:16 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: You're very familiar. I just can't remember. - Tue Oct  6 04:17:16 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: Me? - Tue Oct  6 04:17:16 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Yes. - Tue Oct  6 04:17:16 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: I am Sabo. - Tue Oct  6 04:17:16 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: Well. - Tue Oct  6 04:18:59 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: Now that we are acquainted, I suppose we can relax now that we're here. - Tue Oct  6 04:18:59 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: Of course. - Tue Oct  6 04:19:50 2015
<br><br><font color=teal>*Odelia(BoyUmbreon) says: Ah, so that's your name, Sabo.  - Tue Oct  6 04:21:32 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Peopled seemed to have cleared quickly as soon as we emerged. - Tue Oct  6 04:21:32 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Always seems to be the way... - Tue Oct  6 04:22:24 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: I guess they have things to do. - Tue Oct  6 04:22:24 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: Yes m'lady. - Tue Oct  6 04:22:24 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: I apologize for not introducing myself earlier. - Tue Oct  6 04:22:24 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Oh! - Tue Oct  6 04:23:15 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: I fucking remember. - Tue Oct  6 04:23:15 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: The swordsman. - Tue Oct  6 04:23:15 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Crazy skills. - Tue Oct  6 04:23:15 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: Yes. - Tue Oct  6 04:23:15 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Wanted to kill Amai. - Tue Oct  6 04:23:15 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: There we go. - Tue Oct  6 04:23:15 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: You're a funny guy. - Tue Oct  6 04:23:15 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Wow, I have terrible memory. - Tue Oct  6 04:24:06 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: It's understandable. - Tue Oct  6 04:24:06 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: It's been quite a while. - Tue Oct  6 04:24:06 2015
<br><br><font color=teal>*Odelia(BoyUmbreon) says: Oh, don't apologize it is fine. Hah.  - Tue Oct  6 04:25:48 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: The name doesn't ring a bell. - Tue Oct  6 04:25:48 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) thinks: That guy is worse than me at small talk... - Tue Oct  6 04:25:48 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: And no I was not. - Tue Oct  6 04:25:48 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: Meh. Well, Takeda. Feel free to rest wherever. - Tue Oct  6 04:25:48 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Ok, I'll find myself a nice inn or something. - Tue Oct  6 04:26:40 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: I was usually around Jin and Mitsuru. - Tue Oct  6 04:26:40 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: Both of which have passed. - Tue Oct  6 04:26:40 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: If it wasn't you, then who was iit? Eh, I kind of don't remember. - Tue Oct  6 04:26:40 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: Or went into hiding. - Tue Oct  6 04:26:40 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: One of the two. - Tue Oct  6 04:26:40 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: More than likely death. - Tue Oct  6 04:27:31 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: I know Jin was killed by Erebus. As for Mitsuru, I don't know of his status. Last I saw of him was when we came to Kumo after Zetsumo's death. - Tue Oct  6 04:28:22 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Himura disappeared. - Tue Oct  6 04:28:22 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: No one has seen him - Tue Oct  6 04:28:22 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: He returned back to Kirigakure, but after that, I have no idea what happened. - Tue Oct  6 04:28:22 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: He is pressumed dead. - Tue Oct  6 04:28:22 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: .... - Tue Oct  6 04:28:22 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: It's safe to assume so. - Tue Oct  6 04:28:22 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) thinks: It seems I hear my fathers name every other damn day. - Tue Oct  6 04:28:22 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Zetsumo - Tue Oct  6 04:29:13 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Zetsumo - Tue Oct  6 04:29:13 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: -omit- - Tue Oct  6 04:29:13 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Is Koeki still running the village to the ground? - Tue Oct  6 04:29:13 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: She is indeed. - Tue Oct  6 04:29:13 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Figures. - Tue Oct  6 04:29:13 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Himura was killed. - Tue Oct  6 04:30:04 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Is that confirmed? - Tue Oct  6 04:30:04 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: That does not surprise me what so ever. - Tue Oct  6 04:30:04 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: He was a disgrace to the chunnin rank - Tue Oct  6 04:30:04 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: And a disgrace to kirigakure. - Tue Oct  6 04:30:04 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) thinks: Well things go quiet. - Tue Oct  6 04:33:29 2015
<br><br><font color=yellow>*Sabara, Izutora(Get Jazzy) falls asleep.* - Tue Oct  6 04:36:03 2015
<br><br><font color=teal>*Odelia(BoyUmbreon) says: OH. - Tue Oct  6 04:36:54 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: ..... - Tue Oct  6 04:36:54 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: This place certainly knows how to clear out. - Tue Oct  6 04:37:45 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: It does. - Tue Oct  6 04:37:45 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: Indeed. - Tue Oct  6 04:38:36 2015
<br><br><font color=yellow>*Sabara, Izutora(Get Jazzy) approached the duo in a handstand.* - Wed Oct  7 20:08:19 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: But I'm still going to kill her. - Wed Oct  7 20:09:10 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: Sorry Niza, wil you forgive me if I do?~ - Wed Oct  7 20:10:01 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: I can never stay mad at you Misa. - Wed Oct  7 20:13:26 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: But do know. - Wed Oct  7 20:13:26 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: If I see this act. - Wed Oct  7 20:13:26 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: I will have to stop it. - Wed Oct  7 20:13:26 2015
<br><br><font color=yellow>*Sabara, Izutora(Get Jazzy) was clucked upon the top of his bowlcut-adorned hair, his concentration faltering as he fell on his stomach. It'd be a brief moment before he folded his left arm behind his back, pressing his right against the earth below. He suspended the entirety of his body weight down upon his right palm, proceeding to arch his arm and then extend it outward. He'd perform pushups quickly, the prodigious taijutsu specialist recognizing the fault in his training regime.

<While I increased my speed, I've yet to increase my muscle!> He'd think as he shoved downward, sustaining his body weight upon his right arm. He'd shove back up after one point five seconds of holding the descension. The bushy browed male would shoot up once more, placing a half second gap between his next descension.

"One hundred pushups, followed by ninety six seconds of sustained ascension upon the mountain! It shall be two hundred pushups, and one hundred and ninety two seconds if I cannot accomplish either!" The jumpsuit wearing male hollared.

"Youth!"* - Wed Oct  7 20:15:08 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) thinks: What. - Wed Oct  7 20:16:00 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: Work upon your senses and reflexes. - Wed Oct  7 20:16:51 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: They're important as well. - Wed Oct  7 20:16:51 2015
