<br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: You not up for it? - Fri Oct  2 23:36:57 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) thinks: =omit= - Sat Oct  3 06:19:44 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: We did it! - Sat Oct  3 06:19:44 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: Woo! - Sat Oct  3 06:19:44 2015
<br><br><font color=teal>*Hideki(Assassin241) says: ------- - Sat Oct  3 06:19:44 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: Niza did. - Sat Oct  3 06:19:44 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: Nothing. - Sat Oct  3 06:19:44 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: I'm so glad I taught ya'll everything I know. - Sat Oct  3 06:20:35 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: Omit - - Sat Oct  3 06:20:35 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: It's fine... - Sat Oct  3 06:20:35 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: Ok guys! - Sat Oct  3 06:20:35 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: Party in the shower - Sat Oct  3 06:20:35 2015
<br><br><font color=yellow>*Masayoshi, Mamoru(KingSoraHearts) coughs out blood. He was still injured. And had to fucking fight. Fuck you Hideki.* - Sat Oct  3 06:20:35 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: Mamoru, Chiharu. - Sat Oct  3 06:20:35 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: Good job. - Sat Oct  3 06:20:35 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: Orange head. - Sat Oct  3 06:21:26 2015
<br><br><font color=teal>*Tokisaki, Chiharu(Cheesy Cakey) thinks: All of Kumogakure sat and looked instead of actually fighting... - Sat Oct  3 06:21:26 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: Fuck you. - Sat Oct  3 06:21:26 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: omit - Sat Oct  3 06:21:26 2015
<br><br><font color=teal>*Hideki(Assassin241) says: LOL - Sat Oct  3 06:21:26 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: . . . - Sat Oct  3 06:21:26 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: BITCH. - Sat Oct  3 06:22:17 2015
<br><br><font color=teal>*Hideki(Assassin241) says: ----- - Sat Oct  3 06:22:17 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: FUCK YOU. - Sat Oct  3 06:22:17 2015
<br><br><font color=teal>*Tokisaki, Chiharu(Cheesy Cakey) says: Err.... can I hold onto it..? There's something ominous about it.. - Sat Oct  3 06:22:17 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: I was in a wheel chair. - Sat Oct  3 06:22:17 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: And coudn't do shit. - Sat Oct  3 06:22:17 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: I trust you. - Sat Oct  3 06:22:17 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: And your family name. - Sat Oct  3 06:22:17 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: . . . - Sat Oct  3 06:22:17 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: It's yours. - Sat Oct  3 06:23:08 2015
<br><br><font color=teal>*Hideki(Assassin241) says: ---- - Sat Oct  3 06:23:08 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: I could... - Sat Oct  3 06:23:08 2015
<br><br><font color=teal>*Tokisaki, Chiharu(Cheesy Cakey) whispers: (When I reach C Rank I can buy a B Rank that'll let me absorb kubikiribocho) - Sat Oct  3 06:23:08 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Use some help, yeah. - Sat Oct  3 06:23:08 2015
<br><br><font color=teal>*Tokisaki, Chiharu(Cheesy Cakey) whispers: (Hue hue hue) - Sat Oct  3 06:23:08 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) whispers: (Much amazing.) - Sat Oct  3 06:23:08 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: She is going to go suck his dick now. - Sat Oct  3 06:23:08 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Probably. - Sat Oct  3 06:23:08 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: ..Is it over? - Sat Oct  3 06:23:08 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: Mamoru... - Sat Oct  3 06:24:51 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: Kitchen.. - Sat Oct  3 06:24:51 2015
<br><br><font color=yellow>*Masayoshi, Mamoru(KingSoraHearts) passes the blade to Chiharu.* - Sat Oct  3 06:26:33 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: I need... - Sat Oct  3 06:27:24 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: To go get some treatment. - Sat Oct  3 06:27:24 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: As for his life? - Sat Oct  3 06:27:24 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: I agree with him... - Sat Oct  3 06:27:24 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: A shinobi's life is a shinobi's life. - Sat Oct  3 06:27:24 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: I can't be a pacifistic samaritan like you, Kuro. - Sat Oct  3 06:27:24 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: And I don't want to pretend to be. . . . - Sat Oct  3 06:27:24 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: All I want to do. - Sat Oct  3 06:27:24 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Is protect the ones I care about. - Sat Oct  3 06:27:24 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: If that means I have to take a life. - Sat Oct  3 06:27:24 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Then so be it. - Sat Oct  3 06:27:24 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: I sympathize. - Sat Oct  3 06:28:16 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Hey... - Sat Oct  3 06:28:16 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Chiharu. - Sat Oct  3 06:28:16 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: I'll be with you later.... - Sat Oct  3 06:28:16 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: But he's a human just like the rest of us. - Sat Oct  3 06:28:16 2015
<br><br><font color=teal>*Tokisaki, Chiharu(Cheesy Cakey) thinks: I don't see why Mamoru was the only one fighting. That guy went down quickly. - Sat Oct  3 06:28:16 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: I'm.. going to get...healed. - Sat Oct  3 06:28:16 2015
<br><br><font color=teal>*Tokisaki, Chiharu(Cheesy Cakey) says: Ok. - Sat Oct  3 06:28:16 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: Also..It's very easy Chiharu... - Sat Oct  3 06:28:16 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Kuro.... - Sat Oct  3 06:28:16 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Not every human is the same. - Sat Oct  3 06:29:07 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: Humans can be reasoned with. That's what make us humans. - Sat Oct  3 06:29:07 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: We're all unique in some way. - Sat Oct  3 06:29:07 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Our uniqueness is what makes us human. - Sat Oct  3 06:29:07 2015
<br><br><font color=yellow>*Masayoshi, Mamoru(KingSoraHearts) walks over to the table and lays on it.* - Sat Oct  3 06:32:32 2015
<br><br><font color=yellow>*Masayoshi, Mamoru(KingSoraHearts) takes the milk and drinks it. He notices her extending her arm, so he grabs hold of her hand as though that was what she wanted.

"Yeah, sure. That'll be fine." He stated quietly.* - Sat Oct  3 06:35:56 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: You givin' sloppy toppy? - Sat Oct  3 06:39:21 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: omit - Sat Oct  3 06:39:21 2015
<br><br><font color=yellow>*Masayoshi, Mamoru(KingSoraHearts) // "Oh. My bad." Mamoru stated. He is suddenly struck by snakes. His chest was stung and his body was pierced by mini teeth. He winces lightly, but slowly relaxes in relief after the painkiller sets in.

"Yeah."* - Sat Oct  3 06:39:21 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: Ok. - Sat Oct  3 06:40:12 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Will that be enough? - Sat Oct  3 06:41:04 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Or do I need more injections? - Sat Oct  3 06:41:04 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: Are you in pain right now? - Sat Oct  3 06:41:04 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: *pokes him* - Sat Oct  3 06:41:04 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Not at the moment... at least. - Sat Oct  3 06:41:04 2015
<br><br><font color=yellow>*Masayoshi, Mamoru(KingSoraHearts) is poked. His facial expression seems stoic.

However, his entire body is fatigued. That much is clear from muscle tension.* - Sat Oct  3 06:41:04 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) thinks: His body is a lot harder than Hideki's...that's for sure.. - Sat Oct  3 06:41:55 2015
<br><br><font color=yellow>*Masayoshi, Mamoru(KingSoraHearts) flinches briefly. "My muscles are tired everywhere. But I guess I'd say it hurts the most in my right arm." He indicates his bicep with a head nod upwards. "Right there." He states. His flinch derived from Misa's cold hands running across his body. 


"Gh... You could say that it hurts everywhere, in terms of my injuries." He states, still laying on the table. He waits patiently for the treatment to be done.* - Sat Oct  3 06:48:44 2015
<br><br><font color=yellow>*Masayoshi, Mamoru(KingSoraHearts) nodded. "Yeah, my right arm. It's the sword I use for swinging my blade."* - Sat Oct  3 06:51:18 2015
<br><br><font color=teal>*Tokisaki, Chiharu(Cheesy Cakey) says: Mamoruuuuu. I can't pick up that guy's weapon for some reason.. - Sat Oct  3 06:51:18 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: --Oh right. - Sat Oct  3 06:51:18 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: I'll be there in a bit, Chiharu. - Sat Oct  3 06:51:18 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: I'll carry it for you. - Sat Oct  3 06:51:18 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: Hm... - Sat Oct  3 06:52:09 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: I wonder how much those healing tanks Kirigakure has costs... - Sat Oct  3 06:52:09 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: I'll invest in some. - Sat Oct  3 06:52:09 2015
<br><br><font color=teal>*Tokisaki, Chiharu(Cheesy Cakey) thinks: Why don't I get credit..? - Sat Oct  3 06:54:43 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: Chiharu. - Sat Oct  3 06:55:34 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: Deserves credit as well. - Sat Oct  3 06:55:34 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: She is his partner after all. - Sat Oct  3 06:55:34 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: Mhm, right. - Sat Oct  3 06:55:34 2015
<br><br><font color=yellow>*Masayoshi, Mamoru(KingSoraHearts) glances up at the ceiling. "Well, I mean... I was working with Niza and Chiharu. I didn't do everything." Mamoru stated, just stating what he felt was true. 

After Misa moved off of him, he sat up.

"Thanks. I'll get some rest then."* - Sat Oct  3 06:55:34 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: I appreciate your treatments. - Sat Oct  3 06:56:25 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: I haven't even paid you a lick of money. - Sat Oct  3 06:56:25 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: How much do I owe you? - Sat Oct  3 06:56:25 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: You said only the first time was free. - Sat Oct  3 06:56:25 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: I did say that...didn't I... - Sat Oct  3 06:56:25 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: Well...You saved m-...Us...That's payment I suppose. - Sat Oct  3 06:56:25 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: I have about five-thousand yen on me. - Sat Oct  3 06:56:25 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: ....You chargin' my shinobi? - Sat Oct  3 06:56:25 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) thinks: I technically haven't charged anyone...but...okay. - Sat Oct  3 06:57:16 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: No? - Sat Oct  3 06:57:16 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: I feel good as fuck. - Sat Oct  3 06:58:08 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: ....... - Sat Oct  3 06:58:08 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: Hideki came to get top too. - Sat Oct  3 06:58:08 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: omit - Sat Oct  3 06:58:08 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: ......................................... - Sat Oct  3 06:58:08 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Why the hell aren't you in a wheelchair? - Sat Oct  3 06:58:08 2015
<br><br><font color=teal>*Hideki(Assassin241) says: I got healed. - Sat Oct  3 06:58:08 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: .... - Sat Oct  3 06:58:08 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: -How- aren't you in a whe-... - Sat Oct  3 06:58:08 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: How? - Sat Oct  3 06:58:08 2015
<br><br><font color=teal>*Hideki(Assassin241) says: I got healed. - Sat Oct  3 06:58:59 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: By...? - Sat Oct  3 06:58:59 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: .............. - Sat Oct  3 06:58:59 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Suitengu, he's a close friend. - Sat Oct  3 06:58:59 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: Came in clutch. - Sat Oct  3 06:58:59 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: .... - Sat Oct  3 06:59:50 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: . . . . . - Sat Oct  3 06:59:50 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: The fuck is a Suitengu. - Sat Oct  3 06:59:50 2015
<br><br><font color=teal>*Hideki(Assassin241) says: . . .. - Sat Oct  3 06:59:50 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: ..... - Sat Oct  3 06:59:50 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: He's scheming behind our backs. - Sat Oct  3 06:59:50 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: RESTRAIN HIM GUARDS. - Sat Oct  3 06:59:50 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: -omit- - Sat Oct  3 06:59:50 2015
<br><br><font color=teal>*Hideki(Assassin241) says: I'll tell you later. - Sat Oct  3 06:59:50 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: .... - Sat Oct  3 06:59:50 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: -omit- - Sat Oct  3 06:59:50 2015
<br><br><font color=teal>*Hideki(Assassin241) says: -- - Sat Oct  3 06:59:50 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: .... - Sat Oct  3 07:00:41 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Who's Suitengu? - Sat Oct  3 07:00:41 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Are you... - Sat Oct  3 07:00:41 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Are you being hired by an old lady for money? - Sat Oct  3 07:00:41 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: ---Are you... - Sat Oct  3 07:00:41 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Are you doing that sort of job? - Sat Oct  3 07:00:41 2015
<br><br><font color=teal>*Hideki(Assassin241) says: ---- - Sat Oct  3 07:00:41 2015
<br><br><font color=teal>*Hideki(Assassin241) says: What. - Sat Oct  3 07:00:41 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: . . . . - Sat Oct  3 07:00:41 2015
<br><br><font color=teal>*Hideki(Assassin241) says: ---- - Sat Oct  3 07:01:32 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) thinks: Shit. - Sat Oct  3 07:01:32 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: Who the fuck. - Sat Oct  3 07:01:32 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) thinks: I need money. - Sat Oct  3 07:01:32 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: Is this guy. - Sat Oct  3 07:01:32 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: I think it's too crammed in here... - Sat Oct  3 07:01:32 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: I'm getting claustrophobic. - Sat Oct  3 07:01:32 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: I should be getting home anyways... - Sat Oct  3 07:01:32 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: Mamoru... - Sat Oct  3 07:01:32 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Yes? - Sat Oct  3 07:02:24 2015
<br><br><font color=yellow>*Masayoshi, Mamoru(KingSoraHearts) takes the bottle of milk. With a quizzical look, he nods.

"Sure."* - Sat Oct  3 07:02:24 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Alright... - Sat Oct  3 07:03:15 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: I'll take the next Private Exams, once I heal up, Lord Niza. - Sat Oct  3 07:04:06 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: .... - Sat Oct  3 07:04:06 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: I'm going... to go get some rest in the meantime. - Sat Oct  3 07:04:06 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: I see. - Sat Oct  3 07:04:06 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Good luck, Mamoru. - Sat Oct  3 07:04:06 2015
<br><br><font color=yellow>*Masayoshi, Mamoru(KingSoraHearts) exchanges a quick glare with Hideki.* - Sat Oct  3 07:04:06 2015
<br><br><font color=teal>*Hideki(Assassin241) says: ---- - Sat Oct  3 07:04:06 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Right. - Sat Oct  3 07:04:06 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: .......... - Sat Oct  3 07:04:06 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: However. - Sat Oct  3 07:04:06 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: Would like me to see... - Sat Oct  3 07:04:06 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: If I could get your partner in as well? - Sat Oct  3 07:04:06 2015
<br><br><font color=teal>*Tokisaki, Chiharu(Cheesy Cakey) thinks: Private exams.. - Sat Oct  3 07:04:06 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: That'd be great. - Sat Oct  3 07:04:06 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Yeah. - Sat Oct  3 07:04:06 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: Alright. - Sat Oct  3 07:04:57 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Maybe I should fight Galahad. - Sat Oct  3 07:04:57 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: I'll see what I can do. - Sat Oct  3 07:04:57 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: - - Sat Oct  3 07:04:57 2015
<br><br><font color=teal>*Hideki(Assassin241) says: -- - Sat Oct  3 07:04:57 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: Don't. - Sat Oct  3 07:04:57 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Why not? - Sat Oct  3 07:04:57 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: He's a Knight of Round---those are Privates and Sergeants. - Sat Oct  3 07:04:57 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: He couldn't be that strong. - Sat Oct  3 07:04:57 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: Your partner would break trying to cut that man. - Sat Oct  3 07:04:57 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: --- - Sat Oct  3 07:04:57 2015
<br><br><font color=teal>*Tokisaki, Chiharu(Cheesy Cakey) says: ... - Sat Oct  3 07:04:57 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: What? - Sat Oct  3 07:05:48 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: He's incredibly durable. - Sat Oct  3 07:05:48 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: ...i'll keep that in mind. - Sat Oct  3 07:05:48 2015
<br><br><font color=teal>*Tokisaki, Chiharu(Cheesy Cakey) says: Erm..... it doesn't surprise me.. - Sat Oct  3 07:05:48 2015
<br><br><font color=teal>*Tokisaki, Chiharu(Cheesy Cakey) says: I'm more durable than steel though.. - Sat Oct  3 07:06:40 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: ..... - Sat Oct  3 07:06:40 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Anyways... - Sat Oct  3 07:07:31 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: We'll talk more tomorrow when I get rest. - Sat Oct  3 07:07:31 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Misa. - Sat Oct  3 07:07:31 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Thank you for all the help, I appreciate it. - Sat Oct  3 07:07:31 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Chiharu, let's get going. - Sat Oct  3 07:07:31 2015
<br><br><font color=teal>*Niza(Chevy Malibu) thinks: God I love that combo... - Sat Oct  3 07:08:22 2015
<br><br><font color=teal>*Niza(Chevy Malibu) thinks: They're the greatest... - Sat Oct  3 07:08:22 2015
<br><br><font color=yellow>*Masayoshi, Mamoru(KingSoraHearts) catches hold of Chiharu. He brings her to his waistline and starts walking off towards his house. * - Sat Oct  3 07:08:22 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: I'm... - Sat Oct  3 07:12:38 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Tired as hell. - Sat Oct  3 07:12:38 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: What about you? - Sat Oct  3 07:12:38 2015
<br><br><font color=teal>*Tokisaki, Chiharu(Cheesy Cakey) says: I used lots of chakra transforming... but I'm a little worn down I guess. - Sat Oct  3 07:12:38 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Yeah. - Sat Oct  3 07:14:20 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: I'm glad you weren't hurt at least. - Sat Oct  3 07:14:20 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: That guy was deadly. - Sat Oct  3 07:14:20 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: He broke my saber too. - Sat Oct  3 07:14:20 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: I'm just lucky you didn't get broken. - Sat Oct  3 07:14:20 2015
<br><br><font color=teal>*Tokisaki, Chiharu(Cheesy Cakey) says: His sword is heavy but it lacks the durability to make up for it... - Sat Oct  3 07:14:20 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Mmm. - Sat Oct  3 07:16:54 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Seems to be just a really large version of a normal iron blade to me. - Sat Oct  3 07:16:54 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: However, it was strong. - Sat Oct  3 07:16:54 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: It broke my sword with ease. - Sat Oct  3 07:16:54 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: The way he swung it too... - Sat Oct  3 07:16:54 2015
<br><br><font color=teal>*Tokisaki, Chiharu(Cheesy Cakey) says: He definitely was a good swordsman.. - Sat Oct  3 07:17:45 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: I didn't think I'd survive. - Sat Oct  3 07:17:45 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: I'm lucky you appeared. - Sat Oct  3 07:17:45 2015
<br><br><font color=teal>*Tokisaki, Chiharu(Cheesy Cakey) says: I had a feeling something was going on. - Sat Oct  3 07:18:36 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Womanly instinct it appears. - Sat Oct  3 07:19:28 2015
<br><br><font color=yellow>*Masayoshi, Mamoru(KingSoraHearts) lays there on his bed.* - Sat Oct  3 07:19:28 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: I really should get Misa something to thank her for all the healing she's done for me. - Sat Oct  3 07:19:28 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: No need for her to have done all of that.  - Sat Oct  3 07:19:28 2015
<br><br><font color=teal>*Tokisaki, Chiharu(Cheesy Cakey) says: Hey, she's a medic. I guess it's part of her duties.. - Sat Oct  3 07:22:01 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Right. - Sat Oct  3 07:23:44 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: You think we can tackle the Private Exam? - Sat Oct  3 07:24:35 2015
<br><br><font color=teal>*Tokisaki, Chiharu(Cheesy Cakey) says: Uh... I'm not sure.. - Sat Oct  3 07:25:26 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: I think we can... - Sat Oct  3 07:25:26 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: If only I could cure myself somehow. - Sat Oct  3 07:25:26 2015
