<br><font color=yellow>*Ryujin, Marrisa [Ghost](Roxas The Hokage) fondles evil Samurai* - Fri Dec  4 21:09:45 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Whats up? - Thu Dec 10 02:52:22 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Eh? Yumiko? - Thu Dec 10 02:52:22 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: They claim to know you. - Thu Dec 10 02:52:22 2015
<br><br><font color=teal>*Yumiko(Sekara) says: Hey there. - Thu Dec 10 02:52:22 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Yeah, I know them. - Thu Dec 10 02:52:22 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: .... - Thu Dec 10 02:52:22 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: Ah they are delviring fish. - Thu Dec 10 02:52:22 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Well, I know Yumiko anyway - Thu Dec 10 02:52:22 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Fish? - Thu Dec 10 02:53:13 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: Yes. - Thu Dec 10 02:53:13 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: The other guys says his name is gon. - Thu Dec 10 02:53:13 2015
<br><br><font color=teal>*Yumiko(Sekara) says: It's what we were told to do. - Thu Dec 10 02:53:13 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: IT'S A GHOST KILL IT *omit* - Thu Dec 10 02:53:13 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: You know. I don't exactly have the authority to let people in - Thu Dec 10 02:53:13 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: We're not asking for entry. - Thu Dec 10 02:53:13 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: You're the jounin Trill. - Thu Dec 10 02:53:13 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: Just trying to drop off the fish. - Thu Dec 10 02:53:13 2015
<br><br><font color=teal>*Yumiko(Sekara) says: Just as he said. - Thu Dec 10 02:54:04 2015
<br><br><font color=teal>*Ryujin, Marrisa [Ghost](Roxas The Hokage) says: IT"S A TRAP! - Thu Dec 10 02:54:04 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: Yeah Aunt lera I know I was just making shure their story checks out. - Thu Dec 10 02:54:04 2015
<br><br><font color=teal>*Ryujin, Marrisa [Ghost](Roxas The Hokage) says: THEY ARE HERE TO KILL YOU ALL! - Thu Dec 10 02:54:04 2015
<br><br><font color=teal>*Ryujin, Marrisa [Ghost](Roxas The Hokage) says: . . .  - Thu Dec 10 02:54:04 2015
<br><br><font color=teal>*Ryujin, Marrisa [Ghost](Roxas The Hokage) says: I hate being a ghost - Thu Dec 10 02:54:04 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: Eh abraxs Mind helping the hokuma bring the fish in. - Thu Dec 10 02:54:56 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Just a sec. - Thu Dec 10 02:54:56 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: .... - Thu Dec 10 02:55:47 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: . . . . - Thu Dec 10 02:56:38 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: It's fish...What did you expect? - Thu Dec 10 02:56:38 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: Whoa Whoa Whoa Trill. - Thu Dec 10 02:56:38 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Eh, in this day and age. You never know. - Thu Dec 10 02:56:38 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: I'm not technically part of this village. - Thu Dec 10 02:56:38 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: .... - Thu Dec 10 02:56:38 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: And, You tried to run from teaching me. - Thu Dec 10 02:56:38 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: Abra. - Thu Dec 10 02:56:38 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: So, you can do the work. - Thu Dec 10 02:56:38 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: . . . - Thu Dec 10 02:56:38 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: I swear if yo d ont not help bring in these fish. - Thu Dec 10 02:57:29 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Did I tell you how my great grandfather died when his apple exploded in his mouth? Tragic. - Thu Dec 10 02:57:29 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: Oh. - Thu Dec 10 02:59:12 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: Shit, thanks. - Thu Dec 10 02:59:12 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: A'ight...have fun with your....fish? - Thu Dec 10 03:00:03 2015
<br><br><font color=teal>*Aoi(ByeFelicia) says: I never found a teacher to teach me Taijutsu. - Thu Dec 10 03:03:28 2015
<br><br><font color=teal>*Aoi(ByeFelicia) says: So i've been slumming it. - Thu Dec 10 03:03:28 2015
<br><br><font color=teal>*Ryujin, Marrisa [Ghost](Roxas The Hokage) says: Hi Sanoke. .Just nod instead of talking, I know how you feel - Thu Dec 10 03:03:28 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Yo, Lera got free time? - Thu Dec 10 03:03:28 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Yeah? - Thu Dec 10 03:03:28 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Whats up. - Thu Dec 10 03:03:28 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: I sent Paine and Izananmi on an escort mission to seek the audience of the Hokage. Mind checking on them? - Thu Dec 10 03:04:19 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Sure I guess. - Thu Dec 10 03:05:10 2015
<br><br><font color=teal>***Concealed Figure**(TheSecretary) says: umm...w-we u-uhh...l-left the umm.....invite... - Thu Dec 10 03:06:52 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Uhm, I'm going to the hospital to get a checkup on my arm. - Thu Dec 10 03:06:52 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Sounds good here is your reward. - Thu Dec 10 03:06:52 2015
<br><br><font color=teal>*Hokuma, Kuro(Ichigo10101) says: Really? - Thu Dec 10 03:07:44 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Thank you. - Thu Dec 10 03:07:44 2015
<br><br><font color=teal>*Hokuma, Kuro(Ichigo10101) says: I'm sure Paine can help you with Taijutsu. - Thu Dec 10 03:07:44 2015
<br><br><font color=teal>*Hokuma, Kuro(Ichigo10101) says: Right? - Thu Dec 10 03:07:44 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Was there anything worth reporting? - Thu Dec 10 03:08:35 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Guess I don't need to go after all. - Thu Dec 10 03:08:35 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: I know my worries were over nothing haha. - Thu Dec 10 03:08:35 2015
<br><br><font color=teal>***Concealed Figure**(TheSecretary) says: the v-villagers...are m-more umm...f-frendly that k-kiri.... - Thu Dec 10 03:08:35 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: Yo. . .Trill. - Thu Dec 10 03:08:35 2015
<br><br><font color=teal>*Aoi(ByeFelicia) says: I don't know who Paine is. - Thu Dec 10 03:08:35 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: Let's get to work! - Thu Dec 10 03:08:35 2015
<br><br><font color=teal>*Hokuma, Kuro(Ichigo10101) says: The female with the hat over there. - Thu Dec 10 03:09:26 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Tha'ts good news, then thank you Paine. I appreciate your help mySister. - Thu Dec 10 03:09:26 2015
<br><br><font color=teal>*Aoi(ByeFelicia) says: Oh. - Thu Dec 10 03:10:17 2015
<br><br><font color=teal>***Concealed Figure**(TheSecretary) says: umm..n-no...u-uhh...problem.... - Thu Dec 10 03:10:17 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: Trill, man come on. - Thu Dec 10 03:11:08 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: hwat you talking about abra show me the move i taught you lst time. - Thu Dec 10 03:12:00 2015
<br><br><font color=teal>***Concealed Figure**(TheSecretary) says: is...t-there umm...a-anything e-else i can u-umm...d-do for y-you? - Thu Dec 10 03:12:51 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: Man, you said if she said it was okay you would teach me other stuff! - Thu Dec 10 03:12:51 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: So c'mon man. - Thu Dec 10 03:13:42 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Not at the moment, rest up for now. - Thu Dec 10 03:15:24 2015
<br><br><font color=teal>*Hokuma, Kuro(Ichigo10101) says: .. - Thu Dec 10 03:20:32 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Hahhh.... - Thu Dec 10 03:22:14 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Doing another chuunins at some point Koji...? - Thu Dec 10 03:23:05 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: The key word in  that sentece was seems. - Thu Dec 10 03:23:56 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Yep. - Thu Dec 10 03:23:56 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Hopefully we'll get some villages in. - Thu Dec 10 03:23:56 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Righto...I'll have to actually take part this time. - Thu Dec 10 03:23:56 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: About time I ranked up. - Thu Dec 10 03:23:56 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Mhm, i'm keeping the robes warm for ya. - Thu Dec 10 03:24:48 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: The robes? - Thu Dec 10 03:24:48 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Just a joke haha. - Thu Dec 10 03:25:39 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: A bad one apparently.... - Thu Dec 10 03:26:30 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Uh huh... - Thu Dec 10 03:26:30 2015
<br><br><font color=teal>*Hokuma, Kuro(Ichigo10101) says: I should go train some. - Thu Dec 10 03:28:12 2015
<br><br><font color=teal>*Hokuma, Kuro(Ichigo10101) says: I'll be off. - Thu Dec 10 03:28:12 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Take it easy Kuro. - Thu Dec 10 03:29:04 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Be safe fam. - Thu Dec 10 03:29:04 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: They attacked our units stationed there but it was resolved. - Thu Dec 10 03:34:11 2015
<br><br><font color=teal>*Hokuma, Kuro(Ichigo10101) says: What was the reason behind the tension? - Thu Dec 10 03:35:02 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: They wanted freedom but Sanoke felt they went about it the wrong way. So, he asked the leaders of the ursurp to leave. - Thu Dec 10 03:38:27 2015
<br><br><font color=teal>*Hokuma, Kuro(Ichigo10101) says: And what happened afterwards? - Thu Dec 10 03:38:27 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: They didn't like that and attacked the stationed units there. So, then Suna marched there. Once stationed we asked again to stop. - Thu Dec 10 03:40:09 2015
<br><br><font color=teal>*Hokuma, Kuro(Ichigo10101) says: I see..Such a shame. - Thu Dec 10 03:41:52 2015
<br><br><font color=teal>*Hokuma, Kuro(Ichigo10101) says: What's the status of Kumogakure right now? - Thu Dec 10 03:41:52 2015
<br><br><font color=teal>*Ryujin, Marrisa [Ghost](Roxas The Hokage) says: Hi Sanoke - Thu Dec 10 04:09:10 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Hey. - Thu Dec 10 04:11:44 2015
<br><br><font color=teal>*Ryujin, Marrisa [Ghost](Roxas The Hokage) says: I miss helping people. .  - Thu Dec 10 04:11:44 2015
<br><br><font color=teal>*Ryujin, Marrisa [Ghost](Roxas The Hokage) says: Is their anything you can do? I'd be forever indebted to you! - Thu Dec 10 04:11:44 2015
<br><br><font color=teal>*Ryutou, Mizora(Dandere-chan) says: Are you okay Sanoke..? - Thu Dec 10 04:12:35 2015
<br><br><font color=teal>*Ryutou, Mizora(Dandere-chan) thinks: Why'd he just say hey out of nowhere? Maybe he was saying hey to us..? - Thu Dec 10 04:12:35 2015
<br><br><font color=teal>*Ryujin, Marrisa [Ghost](Roxas The Hokage) says: come on man. . Don't blow me off - Thu Dec 10 04:16:00 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) whispers: Do you enjoy making me look crazy? - Thu Dec 10 04:16:00 2015
<br><br><font color=teal>*Ryujin, Marrisa [Ghost](Roxas The Hokage) says: . . No. .  - Thu Dec 10 04:17:42 2015
<br><br><font color=teal>*Ryujin, Marrisa [Ghost](Roxas The Hokage) says: Wait! - Thu Dec 10 04:17:42 2015
<br><br><font color=teal>*Ryujin, Marrisa [Ghost](Roxas The Hokage) says: Let's go to my house! - Thu Dec 10 04:18:33 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) whispers: So. . How long are you going to be a ghost? Don't you want to rest in peace? - Thu Dec 10 04:26:14 2015
<br><br><font color=teal>*Ryujin, Marrisa [Ghost](Roxas The Hokage) says: I keep trying . .  - Thu Dec 10 04:27:05 2015
<br><br><font color=teal>*Ryujin, Marrisa [Ghost](Roxas The Hokage) says: but I have to much left undone. .  - Thu Dec 10 04:27:56 2015
<br><br><font color=teal>*Ryujin, Marrisa [Ghost](Roxas The Hokage) says: Please. . Sanoke. .  - Thu Dec 10 04:28:48 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) whispers: I'm unsure how I can help. - Thu Dec 10 04:28:48 2015
<br><br><font color=teal>*Ryujin, Marrisa [Ghost](Roxas The Hokage) says: Zenaki has my blood. . So does Fuji. .  - Thu Dec 10 04:29:39 2015
<br><br><font color=teal>*Ryujin, Marrisa [Ghost](Roxas The Hokage) says: I was there that day. . I know you can bring me back with some bit of me. .  - Thu Dec 10 04:30:30 2015
<br><br><font color=teal>*Ryujin, Marrisa [Ghost](Roxas The Hokage) says: Please. .  - Thu Dec 10 04:30:30 2015
<br><br><font color=teal>*Ryujin, Marrisa [Ghost](Roxas The Hokage) says: I'll owe you man. .  - Thu Dec 10 04:31:21 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: <*Shook his head*> - Thu Dec 10 04:33:04 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) whispers: I don't have that ability. - Thu Dec 10 04:33:04 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) whispers: Perhaps my eyes haven't developed enough. - Thu Dec 10 04:33:04 2015
<br><br><font color=teal>*Ryujin, Marrisa [Ghost](Roxas The Hokage) says: but you CAN do it. . With enough effort. .  - Thu Dec 10 04:33:55 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Maybe. - Thu Dec 10 04:34:46 2015
<br><br><font color=teal>*Ryujin, Marrisa [Ghost](Roxas The Hokage) says: Please. . I. . I want to be here for suna! I can't pass on yet!. .  - Thu Dec 10 04:35:37 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Time fo' work - Thu Dec 10 04:35:37 2015
<br><br><font color=teal>*Ryujin, Marrisa [Ghost](Roxas The Hokage) says: Their is so much I have left to do! - Thu Dec 10 04:38:11 2015
<br><br><font color=teal>*Ryujin, Marrisa [Ghost](Roxas The Hokage) says: I have to pass on Hassan's techniqes! I have to teach my craft,. . I have to defend Suna! - Thu Dec 10 04:39:02 2015
<br><br><font color=teal>*Ryujin, Marrisa [Ghost](Roxas The Hokage) says: Please!  - Thu Dec 10 04:39:02 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: I'll try, that's all I can say. - Thu Dec 10 04:39:02 2015
<br><br><font color=teal>*Ryujin, Marrisa [Ghost](Roxas The Hokage) says: . . . I'll do anything. .  - Thu Dec 10 04:39:02 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: There's nothing for you to be able to do. - Thu Dec 10 04:41:36 2015
<br><br><font color=teal>*Ryujin, Marrisa [Ghost](Roxas The Hokage) says: Hmm. .  - Thu Dec 10 04:42:27 2015
<br><br><font color=teal>*Ryujin, Marrisa [Ghost](Roxas The Hokage) says: You know. . I wish others could see me. . .  - Thu Dec 10 04:42:27 2015
<br><br><font color=teal>***Concealed Figure**(TheSecretary) says: u-umm....koji? - Fri Dec 11 01:01:52 2015
<br><br><font color=teal>*Watanabe, Fujiko(Lil Neicey) says: 14? - Fri Dec 11 01:01:52 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Hey what's up? - Fri Dec 11 01:02:43 2015
<br><br><font color=teal>***Concealed Figure**(TheSecretary) says: do...y-you...umm...s-still w-want me...to g-go to k-kiri? - Fri Dec 11 01:02:43 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Hey Koji, those gang dudes are handled. - Fri Dec 11 01:03:34 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: No more problems from them. - Fri Dec 11 01:03:34 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Hey Sensei. - Fri Dec 11 01:04:25 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Well we need to know more about you dear... may we please go see your sister... I promise she will cause us no harm - Fri Dec 11 01:05:16 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: No, we're okay there Paine. But, if you want to train some of our shinobi for the Exams. I'll reward ya handsomely. - Fri Dec 11 01:05:16 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Good job homies! - Fri Dec 11 01:06:08 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Well, I was goign to ask Sensei to train but if she is busy. - Fri Dec 11 01:06:08 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Thanks Koji. - Fri Dec 11 01:06:08 2015
<br><br><font color=teal>***Concealed Figure**(TheSecretary) says: im...n-not busy...a-at umm...a-all.. - Fri Dec 11 01:06:08 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Your not? - Fri Dec 11 01:06:08 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Please Kikumi, we need answers - Fri Dec 11 01:07:50 2015
<br><br><font color=teal>*Watanabe, Fujiko(Lil Neicey) says: You're rally eager to meet her sister. - Fri Dec 11 01:07:50 2015
<br><br><font color=teal>***Concealed Figure**(TheSecretary) says: mm...s-sure....then l-lets umm...h-head to the a-arena... - Fri Dec 11 01:09:32 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Oh, this is my Bro Sensei. - Fri Dec 11 01:09:32 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Say hi man. - Fri Dec 11 01:09:32 2015
<br><br><font color=yellow>*Ryujin, Marrisa [Ghost](Roxas The Hokage) walked over the fields, passing through man women and children. Each person she passed through would stop momentairly and shiver. She had come to enjoy these moments when people knew she was there, even if it was without knowing. She ended her walk right before Fuji and sigh, She would stand next to him and begin to speak.

"Fuji-Sensei!. . If you can hear me. . Please. . I don't wanna be dead! I have to much left to do! Help me!"* - Sun Dec 13 19:53:45 2015
<br><br><font color=teal>*Ryujin, Marrisa [Ghost](Roxas The Hokage) says: FUJI-SENSI! PAY ATTENTION TO ME! - Sun Dec 13 19:57:10 2015
<br><br><font color=teal>*Ryujin, Marrisa [Ghost](Roxas The Hokage) says: . . Or GO TO ZENAKI! - Sun Dec 13 19:57:10 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Hm? Marrisa? - Sun Dec 13 19:57:10 2015
<br><br><font color=teal>*Ryujin, Marrisa [Ghost](Roxas The Hokage) says: AH! - Sun Dec 13 19:57:10 2015
<br><br><font color=teal>*Ryujin, Marrisa [Ghost](Roxas The Hokage) says: Good. . Sensei! I am here! - Sun Dec 13 19:58:01 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Some crazy shit this week..I can not bring back the dead.. - Sun Dec 13 19:58:01 2015
<br><br><font color=teal>*Ryujin, Marrisa [Ghost](Roxas The Hokage) says: . . .  - Sun Dec 13 19:58:52 2015
<br><br><font color=teal>*Ryujin, Marrisa [Ghost](Roxas The Hokage) says: You are amazing! You can do it! - Sun Dec 13 19:58:52 2015
<br><br><font color=teal>*Ryujin, Marrisa [Ghost](Roxas The Hokage) says: Or better yet! - Sun Dec 13 19:58:52 2015
<br><br><font color=teal>*Ryujin, Marrisa [Ghost](Roxas The Hokage) says: get Zenaki to clone my body! You  can make a Seal to put me back into it! - Sun Dec 13 19:59:44 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Hm, I'll try. - Sun Dec 13 19:59:44 2015
<br><br><font color=teal>*Ryujin, Marrisa [Ghost](Roxas The Hokage) says: Okay. . .  - Sun Dec 13 20:00:35 2015
<br><br><font color=teal>*Ryujin, Marrisa [Ghost](Roxas The Hokage) says: Oh! - Sun Dec 13 20:00:35 2015
<br><br><font color=teal>*Ryujin, Marrisa [Ghost](Roxas The Hokage) says: Sanoke can see me. .  - Sun Dec 13 20:00:35 2015
<br><br><font color=teal>*Ryujin, Marrisa [Ghost](Roxas The Hokage) says: Where is Iza? - Sun Dec 13 20:01:26 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: No clue. - Sun Dec 13 20:01:26 2015
<br><br><font color=teal>*Ryujin, Marrisa [Ghost](Roxas The Hokage) says: Tch. .  - Sun Dec 13 20:02:17 2015
<br><br><font color=teal>*Ryujin, Marrisa [Ghost](Roxas The Hokage) says: Ortho? - Sun Dec 13 20:02:17 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Dead likely. - Sun Dec 13 20:04:00 2015
<br><br><font color=teal>*Ryujin, Marrisa [Ghost](Roxas The Hokage) says: I havn't seen him. .  - Sun Dec 13 20:04:00 2015
<br><br><font color=teal>*Ryujin, Marrisa [Ghost](Roxas The Hokage) says: I saw Hassan. .  - Sun Dec 13 20:04:51 2015
<br><br><font color=teal>*Ryujin, Marrisa [Ghost](Roxas The Hokage) says: Wow.  . - Sun Dec 13 20:11:40 2015
<br><br><font color=teal>*Ryujin, Marrisa [Ghost](Roxas The Hokage) says: You have gotten good with the Sharingan. .  - Sun Dec 13 20:11:40 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: I remembered all Hideki would do..So I thought of how he controlled others with it. - Sun Dec 13 20:12:32 2015
<br><br><font color=teal>*Ryujin, Marrisa [Ghost](Roxas The Hokage) says: I am gonna go for a bit. .  - Sun Dec 13 20:15:56 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Okay. - Sun Dec 13 20:15:56 2015
<br><br><font color=teal>*Ryujin, Marrisa [Ghost](Roxas The Hokage) says: Please. . Work on bringing me back. . I want to keep helping people. .  - Sun Dec 13 20:15:56 2015
