<br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Y - Sat Dec  5 07:47:12 2015
<br><br><font color=teal>*Hiroshi(Marchie15) says: Bad... I have a REALLY hard time getting better and jutsus that aren't Raiton... still trying tho~ - Wed Dec  9 03:15:50 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Ok, so what are you standing there for then huh? - Wed Dec  9 03:16:41 2015
<br><br><font color=teal>*Hiroshi(Marchie15) says: Cause... you know... what do you want me to do shoot jutsus at you guys? - Wed Dec  9 03:16:41 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: No, I want you to work on the jutsu I taught you. - Wed Dec  9 03:17:32 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: I am not teaching you anything else until you have that one at least in your control. - Wed Dec  9 03:17:32 2015
<br><br><font color=teal>*Hiroshi(Marchie15) says: But bro~ - Wed Dec  9 03:17:32 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: But nothing. - Wed Dec  9 03:17:32 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Get to work. - Wed Dec  9 03:17:32 2015
<br><br><font color=teal>*Hiroshi(Marchie15) says: Awh~ *grumble mumble* - Wed Dec  9 03:18:24 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: *glares at Green*  What was that? - Wed Dec  9 03:18:24 2015
<br><br><font color=teal>*Hiroshi(Marchie15) says: * flinches* Nothing~ I'm getting to work! - Wed Dec  9 03:18:24 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: *smiles* Thought so. - Wed Dec  9 03:18:24 2015
