<br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Are you a sex slave? - Thu Oct  1 02:47:15 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: I could teach you something. - Fri Oct  2 16:50:46 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: B-But I don't know...who they are... - Fri Oct  2 16:50:46 2015
<br><br><font color=teal>*Erebus(DhatBoiNick) says: They'll feel forced if I approach them- - Fri Oct  2 16:50:46 2015
<br><br><font color=teal>*Erebus(DhatBoiNick) says: There you ar- - Fri Oct  2 16:51:37 2015
<br><br><font color=teal>*Erebus(DhatBoiNick) says: Doesn't matter, that's when 'taking' comes in.. - Fri Oct  2 16:51:37 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: O-Ok... - Fri Oct  2 16:52:28 2015
<br><br><font color=yellow>*Takeda Hideyoshi(Theodysseygamer) turns to Kohaku, recalling what she said just minutes ago. "W...What can you teach me..?" he asked, now more timid than before* - Fri Oct  2 16:55:53 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: Katon, If I like you. - Fri Oct  2 16:55:53 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Ok...I can use that... - Fri Oct  2 16:56:44 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: But I don't know you. - Fri Oct  2 16:56:44 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: So. - Fri Oct  2 16:56:44 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: O-Oh...Ok... - Fri Oct  2 16:58:27 2015
<br><br><font color=yellow>*Takeda Hideyoshi(Theodysseygamer) slumps back to looking at Erebus, Not confident enough to continue talking to the her.* - Fri Oct  2 16:58:27 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Mr...Erebus...Could you atleast tell me some of those Ninjutsu users names..? - Fri Oct  2 17:01:00 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: ... - Fri Oct  2 17:05:16 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: ... - Fri Oct  2 17:12:57 2015
<br><br><font color=teal>*Erebus(DhatBoiNick) says: Now why would I do that..? - Fri Oct  2 17:14:40 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: ...You said...you owed me one... - Fri Oct  2 17:14:40 2015
<br><br><font color=teal>*Erebus(DhatBoiNick) says: ..Fine. - Fri Oct  2 17:15:31 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: ... - Fri Oct  2 17:24:03 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: ... - Fri Oct  2 17:58:11 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Guess...He'll just have to tell me later... - Fri Oct  2 17:58:11 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: Mmmhm. - Fri Oct  2 17:59:02 2015
<br><br><font color=yellow>*Takeda Hideyoshi(Theodysseygamer) turns to Kohaku again, "So uh...Will you show me anything..?"* - Fri Oct  2 17:59:02 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: Why should I? - Fri Oct  2 17:59:02 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: ... - Fri Oct  2 17:59:53 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: I'll get Erebus to beat you. - Fri Oct  2 17:59:53 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: -omit- - Fri Oct  2 17:59:53 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: And? - Fri Oct  2 17:59:53 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: ...Um...I-I don't know... - Fri Oct  2 17:59:53 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: Right. - Fri Oct  2 18:01:36 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: I'll teach you a jutsu. - Fri Oct  2 18:01:36 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: ... - Fri Oct  2 18:01:36 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: If you can dodge one of my techniques. - Fri Oct  2 18:02:27 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: Alright? - Fri Oct  2 18:02:27 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: ... - Fri Oct  2 18:02:27 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: W-Why would I do that..? - Fri Oct  2 18:02:27 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: Guess you don't want to learn. - Fri Oct  2 18:02:27 2015
<br><br><font color=yellow>*Takeda Hideyoshi(Theodysseygamer) smirked to himself a little bit, his inner self coming uo with a plan. He became slightly more confident for some reason, being less of a recluse when speaking now, "I guess that's ok...I mean you probably have nothing to teach me anyway."* - Fri Oct  2 18:04:09 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: I know.. - Fri Oct  2 18:05:00 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: Eightish..Nine-ish.. - Fri Oct  2 18:05:00 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: Ninjutsu techniques. - Fri Oct  2 18:05:00 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: But alright. - Fri Oct  2 18:05:00 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: How do I know that? - Fri Oct  2 18:06:43 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: I just told you. - Fri Oct  2 18:06:43 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: For all I know that could be a lie. - Fri Oct  2 18:06:43 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: 9and master fire run - Fri Oct  2 18:09:16 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: ... - Fri Oct  2 18:22:56 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: ... - Fri Oct  2 18:22:56 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: So are you going to prove that you know so much? - Fri Oct  2 18:23:47 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: Fight me. - Fri Oct  2 18:23:47 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: And I'll show you. - Fri Oct  2 18:23:47 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: That's counter productive - Fri Oct  2 18:23:47 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: No. - Fri Oct  2 18:23:47 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: It's training. - Fri Oct  2 18:23:47 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: No it's not, you just want to hurt me. - Fri Oct  2 18:23:47 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: Not really. - Fri Oct  2 18:24:38 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: I do not like violence that much. - Fri Oct  2 18:24:38 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: ...Then why are you trying to fight me..? - Fri Oct  2 18:24:38 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: Training. - Fri Oct  2 18:25:29 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: ... - Fri Oct  2 18:25:29 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: I'm just going to...Train on my own... - Fri Oct  2 18:27:12 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: But. - Fri Oct  2 18:27:12 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: Training with others is good. - Fri Oct  2 18:28:03 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: ...I don't know you. - Fri Oct  2 18:28:03 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: I don't know you either. - Fri Oct  2 18:28:03 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: Do you only utilize ninjutsu techniques? -@Takeda- - Fri Oct  2 18:28:54 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: I do... - Fri Oct  2 18:28:54 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: Come closer then. - Fri Oct  2 18:28:54 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: ... - Fri Oct  2 18:29:45 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: What...are you going to do..? - Fri Oct  2 18:29:45 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: You will see when you come over here. - Fri Oct  2 18:29:45 2015
<br><br><font color=yellow>*Takeda Hideyoshi(Theodysseygamer) cautiously walked over to Suitengu, "S-So..?"* - Fri Oct  2 18:32:19 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: 9so - Fri Oct  2 18:33:10 2015
<br><br><font color=yellow>*Takeda Hideyoshi(Theodysseygamer) had two jutsu scrolls pushed into his chest, he lifted his arms up and took one in each hand, giving a slightly confused look to Suitengu, "Uh...T-Thanks..."* - Fri Oct  2 18:37:26 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: Hm. - Fri Oct  2 18:42:33 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: Know any katon kid? - Fri Oct  2 18:42:33 2015
<br><br><font color=yellow>*Takeda Hideyoshi(Theodysseygamer) looked down at each jutsu scroll, reading their names, clearly they were earth style techniques. "S-So you use earth too..?" he asked, trying to be nice.* - Fri Oct  2 18:42:33 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: Nothing for you. - Fri Oct  2 18:42:33 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: What'cha mean nothing for me? - Fri Oct  2 18:42:33 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: That's cool...I like earth jutsu... - Fri Oct  2 18:46:49 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: Good, you have something to practice on now then. - Fri Oct  2 18:50:14 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Yeah...I'll be doing that now...thanks again. - Fri Oct  2 18:51:05 2015
<br><br><font color=yellow>*Takeda Hideyoshi(Theodysseygamer) does the same, turning away to find a shady spot to train in.* - Fri Oct  2 18:53:39 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: .. - Fri Oct  2 18:54:30 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: Mmm. - Fri Oct  2 19:08:09 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: Kid. - Fri Oct  2 19:09:00 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: What's your name? - Fri Oct  2 19:09:00 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: M-Me? - Fri Oct  2 19:09:00 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: Yes. - Fri Oct  2 19:09:52 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Uh...T-Takeda... - Fri Oct  2 19:10:43 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: Kohaku. - Fri Oct  2 19:10:43 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: H-Hi Kohaku... - Fri Oct  2 19:10:43 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: When you learn those jutsus. - Fri Oct  2 19:11:34 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: Spar me. - Fri Oct  2 19:11:34 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: Alright? - Fri Oct  2 19:11:34 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Uh...M-Maybe... - Fri Oct  2 19:11:34 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: I have lot's of things... to practise though... - Fri Oct  2 19:11:34 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: W-Why do you like sparring so much... - Fri Oct  2 19:13:16 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: ? - Fri Oct  2 19:13:16 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: I need to train while here. - Fri Oct  2 19:15:50 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: Or else Kenshin-sama will be disappointed. - Fri Oct  2 19:15:50 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Kenshin..? - Fri Oct  2 19:16:41 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: My master. - Fri Oct  2 19:16:41 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: Teacher. - Fri Oct  2 19:16:41 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Oh...What does he teach you..? - Fri Oct  2 19:16:41 2015
<br><br><font color=teal>*Lyala(BoyFlareon) says: Train? - Fri Oct  2 19:16:41 2015
<br><br><font color=teal>*Lyala(BoyFlareon) says: Sure. - Fri Oct  2 19:16:41 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: Speed. - Fri Oct  2 19:17:32 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: How want train. . ? - Fri Oct  2 19:17:32 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Speed..? - Fri Oct  2 19:17:32 2015
<br><br><font color=teal>*Lyala(BoyFlareon) says: Well, we fight? Yes? - Fri Oct  2 19:18:24 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: Speed. - Fri Oct  2 19:19:15 2015
<br><br><font color=yellow>*Takeda Hideyoshi(Theodysseygamer) blinks, that was fast. "O-Oh...I see...or I don't see...Or...That was fast..."* - Fri Oct  2 19:19:15 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: Yep. - Fri Oct  2 19:20:06 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: My teacher's nickname is uh.. - Fri Oct  2 19:20:06 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: Speedstar or something. - Fri Oct  2 19:20:06 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: R-Right...I'll have to remember him... - Fri Oct  2 19:20:06 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: How do you...move that fast..? - Fri Oct  2 19:21:48 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: Training. - Fri Oct  2 19:21:48 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: I can go even faster. - Fri Oct  2 19:21:48 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: I see... - Fri Oct  2 19:21:48 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: But Kenshin-sama is much faster. - Fri Oct  2 19:21:48 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Theres...No point in us sparing then... - Fri Oct  2 19:21:48 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: Why not? - Fri Oct  2 19:21:48 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Because I can't move...as fast as you can... - Fri Oct  2 19:22:40 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Not even close... - Fri Oct  2 19:22:40 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: And? - Fri Oct  2 19:22:40 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: You'd beat me within...seconds... - Fri Oct  2 19:22:40 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: Nah. - Fri Oct  2 19:22:40 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: That'd be boring. - Fri Oct  2 19:22:40 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: B-But then you're not pushing yourself...so you're not training... - Fri Oct  2 19:23:31 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: I would use ninjutsu. - Fri Oct  2 19:23:31 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: I am a Nintaijutsu user. - Fri Oct  2 19:24:22 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: ...Ok then... - Fri Oct  2 19:24:22 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Sounds kinda weird... - Fri Oct  2 19:24:22 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: Not really. - Fri Oct  2 19:27:47 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: I can use Ninjutsu, and Taijutsu. - Fri Oct  2 19:27:47 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: So can most people... - Fri Oct  2 19:29:29 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: S-Sorry... - Fri Oct  2 19:29:29 2015
<br><br><font color=yellow>*Takeda Hideyoshi(Theodysseygamer) twiddles his thumbs a little, looking at the ground before looking back up at Kohaku, "S-So how did you become so fast..? Some special kind of training..?"* - Fri Oct  2 19:32:54 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: Well. - Fri Oct  2 19:35:28 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: Running around the village a lot helped. - Fri Oct  2 19:35:28 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: I was going to be doing some super training. - Fri Oct  2 19:35:28 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: But that was ruined. - Fri Oct  2 19:35:28 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Why..? - Fri Oct  2 19:35:28 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: I am here now. - Fri Oct  2 19:36:19 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Y-You're not from this village..? - Fri Oct  2 19:36:19 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: Kirigakure. - Fri Oct  2 19:36:19 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: O-Oh...Why did you leave..? - Fri Oct  2 19:37:10 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: I can't say.. - Fri Oct  2 19:37:10 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: Let's just say.. - Fri Oct  2 19:37:10 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: Uh.. - Fri Oct  2 19:37:10 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: You can't trust people. - Fri Oct  2 19:37:10 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: At all. - Fri Oct  2 19:37:10 2015
<br><br><font color=yellow>*Takeda Hideyoshi(Theodysseygamer) looks down at his feet again, feeling a little bad for asking, he kicks the ground slightly with his foot before looking back up to Kohaku once more, "I-I see how it is...Sorry..."* - Fri Oct  2 19:38:01 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: It's fine. - Fri Oct  2 19:38:52 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: ...So what do you do here then..? - Fri Oct  2 19:40:35 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: Train. - Fri Oct  2 19:41:26 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: Run. - Fri Oct  2 19:41:26 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: At least...you can still train right..? - Fri Oct  2 19:42:17 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: I guess. - Fri Oct  2 19:44:00 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Do you...know many people here..? - Fri Oct  2 19:44:51 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: No. - Fri Oct  2 19:44:51 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Me either... - Fri Oct  2 19:45:42 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: I'm a little bit younger than everyone here so...I find it hard to talk to people... - Fri Oct  2 19:45:42 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: Mmm. - Fri Oct  2 19:49:58 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: ... - Fri Oct  2 19:53:23 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: Mmm... - Fri Oct  2 19:54:14 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: So. - Fri Oct  2 19:54:14 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: So... - Fri Oct  2 19:55:05 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: ...Uh...What else do you do..? - Fri Oct  2 19:57:39 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: I used to hangout with a man named fujitora. - Fri Oct  2 19:58:30 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: A lot. - Fri Oct  2 19:59:21 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: That's all besides train. - Fri Oct  2 19:59:21 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Was he...someone close to you..? - Fri Oct  2 19:59:21 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: Yes. - Fri Oct  2 20:00:12 2015
<br><br><font color=yellow>*Takeda Hideyoshi(Theodysseygamer) started acting a little timid again, he wanted to ask another kind of personal question but he didn't know her that well...then again he didn't get many chances to talk to people. Cautiously he fiddled with his fingers for a few seconds before returning his attention to Kohaku, "B-B...Boyfriend..?" he asked shyly, never really having asked anyone that before coupled with the fact he was only twelve years old made him instantly regret ever even thinking asking that, let alone actually asking it.* - Fri Oct  2 20:03:37 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: Nah. - Fri Oct  2 20:03:37 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: He was like twenty eight or something. - Fri Oct  2 20:03:37 2015
<br><br><font color=teal>*Lyala(BoyFlareon) says: But she had sex with him.  - Fri Oct  2 20:04:28 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: Why do you ask? - Fri Oct  2 20:06:11 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) thinks: Aint a soul around here besides them. - Fri Oct  2 20:08:44 2015
<br><br><font color=yellow>*Takeda Hideyoshi(Theodysseygamer) was relieved when Kohaku took that so lightly, his heart no longer threatening to jump out of his chest, it started back up again though when she hit him with that question of 'why'. "I-It's nothing really....you just said he was special but he didn't sound like a family member of yours...So I just thought i'd ask is all..." He said rather quickly, further embarrasing himself.* - Fri Oct  2 20:08:44 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: He's like a distant cousin of mine..But alright. - Fri Oct  2 20:09:36 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Ok...I guess that makes sense... - Fri Oct  2 20:09:36 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: It must be nice to have family to hang out with... - Fri Oct  2 20:10:27 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: Eh. - Fri Oct  2 20:12:09 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: Well all of my blood-related family si dead. - Fri Oct  2 20:12:09 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Oh...I'm sorry... - Fri Oct  2 20:12:09 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: Oh it's fine. - Fri Oct  2 20:13:52 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: R-Right... - Fri Oct  2 20:16:25 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: So Fuji was your carer then..? - Fri Oct  2 20:16:25 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: fujitora* - Fri Oct  2 20:16:25 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: No. - Fri Oct  2 20:16:25 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: I was my own carer. - Fri Oct  2 20:16:25 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Oh...I thought you were younger... - Fri Oct  2 20:17:16 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: I am fourteen. - Fri Oct  2 20:17:16 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: ...And you looked after yourself? - Fri Oct  2 20:18:08 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: Yes. - Fri Oct  2 20:18:08 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Huh...That's pretty...cool. - Fri Oct  2 20:18:59 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: I guess. - Fri Oct  2 20:21:32 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: So what hobbies do you have...or is it just more training? - Fri Oct  2 20:23:15 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: Training. - Fri Oct  2 20:24:06 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: You don't do anything else? - Fri Oct  2 20:24:57 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: I will once I am strong enough. - Fri Oct  2 20:24:57 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Strong enough for what..? - Fri Oct  2 20:25:48 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: To impress my family. - Fri Oct  2 20:26:40 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: Make them proud. - Fri Oct  2 20:26:40 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: I guess that makes sense... - Fri Oct  2 20:27:31 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Well uh...It was nice talking to you... - Fri Oct  2 20:30:56 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: Mmhmm. - Fri Oct  2 20:30:56 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: I'm just going to go train a while if you don't mind... - Fri Oct  2 20:30:56 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: Alright, goodbye. - Fri Oct  2 20:30:56 2015
<br><br><font color=yellow>*Takeda Hideyoshi(Theodysseygamer) turns and walks to a more spacious area so he wouldn't be disturbed.* - Fri Oct  2 20:31:47 2015
<br><br><font color=yellow>*Takeda Hideyoshi(Theodysseygamer) began building up chakra in preperation to begin practising his fireball jutsu again. He had many other things to train and really wanted to get this down so he could start training his other jutsu as soon as possible. When he was ready he formed each handseal for the jutsu, pushing his built up chakra up and out all at once. He focused on his chakra, moulding it into a fireball shape as best he could which was difficult since he was uping the power of it. Eventually the fireball burned out but he got a decent feel of how it should be.

Again he would be building up chakra to practise the jutsu once more, he had more of an idea on how he could better form the fireball at full power now he got a practise in. When he was once again ready he formed each handseal and pushed his chakra up to his chest as he inhaled, releasing all his built up chakra as he exhaled. He focused on that chakra, moulding it into a fireball, he concentrated, trying to refine his control over his chakra. The resulting fireball looked a little more stable than before, though it was still wonky and all over the place.

Once that fireball had burned out he began building up chakra again straight away, wanting to get this down as soon as possible. Once he was done building his chakra up he went through each handseal for the jutsu quickly and breathed in. As he did he pushed all his built up chakra to his chest and released it as he breathed out. He concentrated on his chakra as he released it, quickly forming another fireball, he focused on the fireball, trying to control the chakra inside it to refine it and keep it at bay. The fireball had it's own little mini flares like the sun from his lack of control which quickly decreased it's size and burnt it out, though he was getting better.

