<br><font color=teal>*Lera(Bailey42) whispers: heh, you could call it that yes. - Sun Nov  8 10:58:46 2015
<br><br><font color=yellow>*Tetsumi Jiki(Bloodline Killer X) sat on one of the many pillows scattered about around the table within the home. He'd place trilliam's scroll off to the side, it wasn't his concern at the time. His main concern was getting a hang at unsealing the scrolls that Fuji left him, and so he'd do just that. His left hand reached out for one of the six scrolls that remained on the table, with one in his grasp he'd channel chakra through out the scroll. His chakra flowed through out the scroll, causing it to unravel though the chakra didn't seep into the seal. He tried to continue to flow of chakra, using the chakra he channeled to retrieve what ever was inside of the scroll but failed.

"Doesn't matter, I'll continue." he knew failure was apart of the drill, he had accepted this and had an open mind to it all. He'd channeled more chakra into the scroll, it daned along the seal. Utilizing the chakra inserted, the chakra flowed into the seal. He invisioned himself reaching and pulling something out, as if unlocking a code to a locker then reaching in. And so he did this, he'd finally unlocked the second scroll out of the batch of seven scrolls. It wasn't much but Tetsumi felt accomplished, smoke was produced as whatever was inside of the said scroll was released on to the table.






* - Sun Nov  8 21:44:44 2015
<br><br><font color=yellow>*Tetsumi Jiki(Bloodline Killer X) sat on one of the many pillows scattered about around the table within the home. He'd place trilliam's scroll off to the side, it wasn't his concern at the time. His main concern was getting a hang at unsealing the scrolls that Fuji left him, and so he'd do just that. His left hand reached out for one of the six scrolls that remained on the table, with one in his grasp he'd channel chakra through out the scroll. His chakra flowed through out the scroll, causing it to unravel though the chakra didn't seep into the seal. He tried to continue to flow of chakra, using the chakra he channeled to retrieve what ever was inside of the scroll but failed.

"Doesn't matter, I'll continue." he knew failure was apart of the drill, he had accepted this and had an open mind to it all. He'd channeled more chakra into the scroll, it daned along the seal. Utilizing the chakra inserted, the chakra flowed into the seal. He invisioned himself reaching and pulling something out, as if unlocking a code to a locker then reaching in. And so he did this, he'd finally unlocked the second scroll out of the batch of seven scrolls. It wasn't much but Tetsumi felt accomplished, smoke was produced as whatever was inside of the said scroll was released on to the table. [Repost]* - Sun Nov  8 21:45:36 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) whispers: What were you saying now?! - Sun Nov  8 22:02:40 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) whispers: BEND OVER AND COUGH! - Sun Nov  8 22:03:31 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) whispers: NOW! - Sun Nov  8 22:03:31 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) whispers: N-Nani? - Sun Nov  8 22:03:31 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) whispers: TOUCH YOUR FUCKING TOES! - Sun Nov  8 22:03:31 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: -omit- - Sun Nov  8 22:03:31 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: -omit- - Sun Nov  8 22:03:31 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: -Worldstar- - Sun Nov  8 22:03:31 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) whispers: I'm coming back for that booty *taps ass and shunshins* - Sun Nov  8 22:04:22 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: -omit- - Sun Nov  8 22:04:22 2015
<br><br><font color=yellow>*Tetsumi Jiki(Bloodline Killer X) "All right, on to scroll five.." he'd reach out for yet another scroll amoung the cluster of them that were layed out on the table infront of him. With the scroll in his grasp, he'd channel the flow of chakra through out the scroll. The flow of chakra unraveled the scroll, it flapped open revealing the seal within. He'd attempt to do the same thing he'd down in his attempts with the two other scrolls. He continued the flow of chakra through out the scroll, but this time focused towards the seal. But he was unsuccessful in reaching in for whatever may have been inside, that was a bummer.

'Knock Knock' there were two audible knocks on the door, but he'd ignore it. His attention was drawn towards the scroll and only there. He was going to get the hang of unsealing whatever may have been in the scrolls that remained. The teen channeled yet another flow of chakra through out the scroll, the chakra worked towards the seal on the scroll.. Utilizing the chakra that flowed towards the seal, he'd reach in for whatever was inside of the scroll, scroll dials went off in his mind as he unlocked the seal. Smoke was produced as whatever was inside of the scroll was undone and released on to the table along the other things he'd released. "I don't want to be bothered." he'd thought, his eyes focused towards the door but he'd remain quiet inside.* - Sun Nov  8 22:29:07 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: Ya-heellloooo?! - Sun Nov  8 22:29:07 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: If nobody is there ... - Sun Nov  8 22:29:07 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: I'll piss on the door! - Sun Nov  8 22:29:58 2015
<br><br><font color=yellow>*Tetsumi Jiki(Bloodline Killer X) heard Shira's threats at the door but continued to ignore him. "Not my house anyway." he'd thought while reaching out for yet another scroll among the bunch. He was at scroll number four this time around, focusing on nothing but the scroll in his grasp he'd channel chakra through out it. The scroll unraveled itself as the chakra worked along the edges, undoing it for him. With the scroll revealing its seal to him he'd attempt to work chakra into the seal but failed to crack the seal and retrieve what ever may have been sealed inside.

He'd continue, his eyes drifted away from the scroll towards the butom of the door. He still saw Shira's feet present at the door."He's still there." he'd release a low sigh before continuing in his drill. He'd channel more chakra towards the scroll, the chakra flowed towards the seal working around it. The chakra flowed into ths seal, it seeped into it unlocking the code of the scroll while retrieving whatever may have been inside. Smoke was produced as whatever was sealed inside of the scroll was released on to the table, joining the stack of items he'd unsealed so far.* - Sun Nov  8 22:51:18 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: Oppppeeennnnn. - Sun Nov  8 22:54:43 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: Pu-leeeeaassee. - Sun Nov  8 22:55:34 2015
<br><br><font color=yellow>*Tetsumi Jiki(Bloodline Killer X) released a sigh, his eyes focused towards the door. He heard Shira's pleas on top of pleas to get inside. Though he wasn't in control of that, nore was he planning to let anyone come inside. He'd just remain quiet and train, it wasn't like Shira could see him from outside, right? His left hand reached out for scroll number three on the table infront of himself, with the scroll in his grasp he'd channel a flow of chakra through out the scroll. The flow of chakra unraveled the scroll, its contents were revealed to his eyes, though only the fuuinjutsu marking of the scroll.  He'd continue to channel chakra into the scroll, the chakra worked towards the seal but he couldn't unlock the sealing formula of the scroll. "Tch... Still can't do this in one go." he'd mumble.

His eyes did two things, it went towards the door."He's still there." he'd thought, after this his eyes refocused on the unraveled scroll in his grasp. He'd focused more chakra through out the scroll and towards the sealing formula on the scroll. In his mind he imagined himself unlocking degits to a specific number dial or something along that line. He'd by passed the first section of the seal, his chakra continued to force its way through the seal until he grabbed a hold of whatever was sealed inside. His chakra drew out this thing, smoke was produced as the item was released, clattering on to the table along with the other items. 
* - Sun Nov  8 23:09:13 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: Come on. - Sun Nov  8 23:09:13 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: Is it because i'm a hobo? - Sun Nov  8 23:09:13 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: I'm too old for the ophanage again. - Sun Nov  8 23:10:04 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: Jail is too ... - Sun Nov  8 23:10:04 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: Cool. - Sun Nov  8 23:10:04 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) thinks: He'll go away soon... - Sun Nov  8 23:10:56 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: Come on! - Sun Nov  8 23:11:47 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: I got nothing to do! - Sun Nov  8 23:11:47 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: I can stay here for hours! - Sun Nov  8 23:11:47 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: Hassan had to pull me away from a house after sitting outside of it for half a day. - Sun Nov  8 23:11:47 2015
<br><br><font color=yellow>*Tetsumi Jiki(Bloodline Killer X) ignored Shira's voice at the door, if he really desired to drag him away from the door he'd have done it ages ago. But he didn't care as much to do so, he'd reach out for the second to last scroll that remained. With the scroll in his grasp, he'd continue to channel chakra through out the scroll. The scroll unraveled revealing the fuuinjutsu marking at the center of the scroll. The flow of chakra didn't stop there, he continued the flow of chakra towards the seal attempting to unlock it and release whatever may have been inside but he'd fail. The seal didn't budge for nothing.

"Just.. concentrate." he'd repeat to himself, he'd apply another flow of chakra towards the scroll. The chakra flowed through out the scroll, until working towards the fuuinjutsu markings. He continued the flow of chakra, the chakra danced along the seals undoing it in the process. Once he broke the seal, his chakra reached in for whatever may have been sealed inside. Smoke was produced as the item sealed inside was released, it fell on to the table with the stack of other things that were sealed inside."He's.. still there.." he saw the imprint of his feet still present at the door. * - Sun Nov  8 23:39:05 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: Come oooooooooonnnnnnnnnn. - Sun Nov  8 23:40:48 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: Come onnnn. - Sun Nov  8 23:40:48 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) whispers: Told you that mofo Hanae would kill me eventually.) - Sun Nov  8 23:42:30 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) whispers: Dunno what I wanna make now.) - Sun Nov  8 23:42:30 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) whispers: (LMAOOOOO) - Sun Nov  8 23:42:30 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) whispers: 5.5k DR.) - Sun Nov  8 23:42:30 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) whispers: (She killed you in bed or?...) - Sun Nov  8 23:42:30 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) whispers: Really stupid, long story.) - Sun Nov  8 23:42:30 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) whispers: Don't wanna talk about it lol.) - Sun Nov  8 23:42:30 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) whispers: (JESUS CHRIST O_O) - Sun Nov  8 23:43:21 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) whispers: What should I make?) - Sun Nov  8 23:44:12 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) whispers: (Idk :( - Sun Nov  8 23:44:12 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) whispers: *Sigh* Kinda depressed xD.) - Sun Nov  8 23:45:04 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) whispers: I think Zenaki talked her into it tbh.) - Sun Nov  8 23:45:04 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) whispers: She loved Remy too much.) - Sun Nov  8 23:45:04 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) whispers: Like.) - Sun Nov  8 23:45:04 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) whispers: No suggestion what so ever?) - Sun Nov  8 23:45:55 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) whispers: I got 5.5k to spend bruh.) - Sun Nov  8 23:45:55 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) whispers: (See what element you got.) - Sun Nov  8 23:46:46 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) whispers: Water.) - Sun Nov  8 23:48:28 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) whispers: (Damn..) - Sun Nov  8 23:48:28 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) whispers: YEa.) - Sun Nov  8 23:48:28 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) whispers: *Yea) - Sun Nov  8 23:48:28 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) whispers: I'm not going elementalist obv.) - Sun Nov  8 23:48:28 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) whispers: I assume we have a puppet user.) - Sun Nov  8 23:49:20 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) whispers: (Mhmm... What p-Yeah) - Sun Nov  8 23:49:20 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) whispers: (Any other proff you'd like to try?) - Sun Nov  8 23:49:20 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) whispers: Idk man.) - Sun Nov  8 23:49:20 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) whispers: I might even just go a clan, idfk.) - Sun Nov  8 23:50:11 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) whispers: (Mhmm... No one went full gen spec as yet this wipe.) - Sun Nov  8 23:50:11 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) whispers: Hanae is.) - Sun Nov  8 23:50:11 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) whispers: And I was a Lyzerg remember?) - Sun Nov  8 23:50:11 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) whispers: (Oh... well fuck.) - Sun Nov  8 23:50:11 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) whispers: (And true.) - Sun Nov  8 23:50:11 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) whispers: (And now.. I'm more afraid of Hanae) - Sun Nov  8 23:51:02 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) whispers: wtf is an Ender blade?) - Sun Nov  8 23:51:02 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) whispers: (Idk) - Sun Nov  8 23:51:53 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) whispers: Ah.) - Sun Nov  8 23:53:36 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) whispers: Get a mastered C rank summon.) - Sun Nov  8 23:53:36 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) whispers: And go Lycan.) - Sun Nov  8 23:53:36 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) whispers: Idk.) - Sun Nov  8 23:53:36 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) whispers: (You could lmao) - Sun Nov  8 23:54:27 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) whispers: Knowing my luck.) - Sun Nov  8 23:54:27 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) whispers: (What are your genes?) - Sun Nov  8 23:54:27 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) whispers: It'd be a shitty summon.) - Sun Nov  8 23:54:27 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) whispers: Average.) - Sun Nov  8 23:54:27 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) whispers: I got jack shit.) - Sun Nov  8 23:54:27 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) whispers: (Damn) - Sun Nov  8 23:56:09 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) whispers: (Like... I'm dead ass afraid of Zenaki.) - Sun Nov  8 23:57:00 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) whispers: Zenaki didn't do it lol.) - Sun Nov  8 23:57:00 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) whispers: Hanae killed me.) - Sun Nov  8 23:57:00 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) whispers: (I know but the shit i've seen about Zenaki. I'm scared oocly. Hanae.. I was afraid of her since she wanted to rape me ooc) - Sun Nov  8 23:57:52 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) whispers: Fuck, I might just go Inuzuka.) - Mon Nov  9 00:02:08 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) whispers: (Mhmmm A'ight. I don't think there are any of em' anyway.) - Mon Nov  9 00:02:08 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) whispers: Or Aburame/Beekeeper.) - Mon Nov  9 00:03:50 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) whispers: (Mhmm... I heard there is a new Aburame. And Idk how op Beekeepers are on here.) - Mon Nov  9 00:04:41 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) whispers: Akimichi?) - Mon Nov  9 00:04:41 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) whispers: (Heard there is one.) - Mon Nov  9 00:04:41 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) whispers: Fml.) - Mon Nov  9 00:05:32 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) whispers: Idfk.) - Mon Nov  9 00:07:15 2015
<br><br><font color=yellow>*Tetsumi Jiki(Bloodline Killer X) reached out for the last scroll that remained on the table, at this point it was burried under all of the other things he'd unsealed previously. Reaching through the various things he'd unsummoned he'd retrieve the scroll It was held tight in his left hand's grasp, concentrating the teen sent a steady flow of chakra through out the scroll. The scroll unraveled, revealing its fuuijutsu imprint to the teen's eyes. It was the last scroll, this made him eager. The flow of chakra continued, pressing on while it worked against the fuuinjutsu seal but he'd failed.

"...I gunned it... that's all." he'd say while focusing more chakra towards the seal, his chakra danced along the scroll. The flow of chakra forced its way into the seal, undoing the fuuinjutsu lock on the scroll. His chakra continued to flow through the seal once by passing the fuuinjutsu sealing. The chakra reached in, grabbing a hold of whatever was sealed inside. Pulling out, smoke was produced as the item fell on to the stack of items he'd unsealed. The teen had done it, he'd unsealed everything Fujitora gave him to unseal. Hell he'd just leave the cluster of items there for his step father to stumble across.

His accomplishment soon fadded away, his attention focused on Shira whom still was at the door. "Why doesn't he leave me alone? Why not bother Fuji." the teen complained while planning and plotting his escape route to avoid confrontation with Shira.* - Mon Nov  9 00:08:57 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: Yooo. - Mon Nov  9 00:08:57 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: Let meeee. - Mon Nov  9 00:08:57 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: .. - Mon Nov  9 00:10:40 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: please. - Mon Nov  9 00:11:31 2015
<br><br><font color=yellow>*Tetsumi Jiki(Bloodline Killer X) goes through the back door and flees.* - Mon Nov  9 00:24:19 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) whispers: (Idk :( - Mon Nov  9 00:24:19 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: ? - Mon Nov  9 00:53:20 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: .... - Mon Nov  9 01:21:29 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Uh...  - Mon Nov  9 01:37:42 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: ... - Mon Nov  9 01:38:33 2015
<br><br><font color=yellow>*Tetsumi Jiki(Bloodline Killer X) retrieved a scroll from his pouch, it was one of the wind styled techniques izanami tasked the teen with learning. "This'll be a drag. Mhmm.." he'd unraveled the scroll, its contents revealed to the teen. Line for line the teen brushed up on the information, trying to gather as much information on how to perform the technique.* - Mon Nov  9 01:49:39 2015
<br><br><font color=yellow>*Tetsumi Jiki(Bloodline Killer X) back was pressed against the wall behind of him. A scroll was present in his grasp, his eyes scanning the pages of said scroll. "Mhmm.. So.. I'd have to clasp my hands, then use that chakra.. I see." he'd mumbled to himself while continuing in his read on the scroll in his possession.* - Mon Nov  9 01:54:46 2015
<br><br><font color=yellow>*Tetsumi Jiki(Bloodline Killer X) body lowered towards the ground, his body sliding against the wall. He'd come to a stop the moment he sat on the ground, the scroll still in his grasp.  His eyes looking over the scroll in his possession. Taking a break from reading he'd clasp his hands gathering chakra. He'd inhale air, while he did this he thought about the properties of wind. Blowing out, it didn't even manage a little gust of wind. Just an ordinary amount of wind expelled. It was as if the teen just blew out air from within, nothing special about it.* - Mon Nov  9 02:03:18 2015
<br><br><font color=yellow>*Tetsumi Jiki(Bloodline Killer X) "Tch... that was... depressing." he'd noticed the three present in the area but wasn't bothered by their presence. In a sense, it made him work harder to get a grasp on the technique.  He'd pick back up the scroll, line for line he'd go over the information gathered about the technique in his mind. While he did this, he invisioned sharp and thin. That's how he needed his chakra to be, just sharp and thin.

"I'll get it." he'd promised silently.* - Mon Nov  9 02:06:43 2015
<br><br><font color=yellow>*Tetsumi Jiki(Bloodline Killer X) went over the information within the scroll once more.  So far he'd gotten the general idea of the technique, hell he even had a bright idea to combine the technique with his iron sand based weapons. "If I get this, this'll go right!" he sounded delighted while continuing his read. He'd put the scroll off to the side of himself. 

Clasping his hands, he'd gather wind natured chakra within himself. In doing so, he'd expand the volume of the wind based chakra gathered within himself. Once he thought it was enough, he'd release the stored amount of wind based chakra, send a weak surge of wind out infront of himself. Though, he only managed to kick up some sand, nothing impressive.* - Mon Nov  9 02:22:04 2015
<br><br><font color=yellow>*Tetsumi Jiki(Bloodline Killer X) "I understand...I think... If I..." hed roll back up the scroll while standing to his feet. The scroll was placed in his back pouch, his hands motioned towards the mid-section of his body. Clasping his hands, he'd gather wind based chakra within himself. It was a large amount of wind based chakra forming within himself, he still hadn't grasped the ideal amount of chakra to use for this technique. Compressing the wind based chakra within himself, the wind was controlled from within himself transformed into a powerful gale that raced forward, kicking up sand in the process.

"Woah!... I actually did it. Heh."* - Mon Nov  9 02:32:19 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Can't find her. - Mon Nov  9 02:40:00 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Marissa. - Mon Nov  9 02:40:51 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: There you go. - Mon Nov  9 02:40:51 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: You needed Paine? - Mon Nov  9 02:40:51 2015
<br><br><font color=teal>*Ryujin, Marrisa(Roxinea) says: Yes! - Mon Nov  9 02:40:51 2015
<br><br><font color=teal>*Ryujin, Marrisa(Roxinea) says: Thanks. .  - Mon Nov  9 02:40:51 2015
<br><br><font color=teal>*Ryujin, Marrisa(Roxinea) says: Lady Paine. .  - Mon Nov  9 02:40:51 2015
<br><br><font color=teal>*Dissida, Paine(TheSecretary) says: y-yes? - Mon Nov  9 02:40:51 2015
<br><br><font color=teal>*Ryujin, Marrisa(Roxinea) says: I wish to submit myself to you for a spar, of only Taijutsu!  - Mon Nov  9 02:40:51 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: O - Mon Nov  9 02:41:42 2015
<br><br><font color=teal>*Dissida, Paine(TheSecretary) says: u-uhh...umm...s-sure.. - Mon Nov  9 02:41:42 2015
<br><br><font color=teal>*Ryujin, Marrisa(Roxinea) says: I doub't I'll be as much of a match for you as Maloth was. .  - Mon Nov  9 02:41:42 2015
<br><br><font color=teal>*Ryujin, Marrisa(Roxinea) says: but I wish to learn from you! - Mon Nov  9 02:41:42 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) thinks: Oh wow, she wants to learn from her.... and shes the one who gave me all those jutsus. - Mon Nov  9 02:42:33 2015
<br><br><font color=teal>*Dissida, Paine(TheSecretary) says: oh....u-umm....i do not m-mind...but you will too g-go though two t-tests.... - Mon Nov  9 02:43:24 2015
<br><br><font color=teal>*Dissida, Paine(TheSecretary) says: o-one now.. - Mon Nov  9 02:43:24 2015
<br><br><font color=teal>*Ryujin, Marrisa(Roxinea) says: ok - Mon Nov  9 02:44:16 2015
<br><br><font color=teal>*Dissida, Paine(TheSecretary) says: and the o-other when i r-return.. - Mon Nov  9 02:44:16 2015
<br><br><font color=teal>*Ryujin, Marrisa(Roxinea) says: Lay it on me Lady Paine.  - Mon Nov  9 02:45:58 2015
<br><br><font color=yellow>*Tetsumi Jiki(Bloodline Killer X) sat on the sand below, he'd retrieve a scroll from his pouch. This time a new technique. Probably the last one he'd try to get a hang of today. Unraveling the scroll, the contents of the scroll and information on the technique was visible to him. "I see..." this was similar to the last technique he'd learn, well judging from the information he'd gathered on it so far that is.* - Mon Nov  9 03:03:53 2015
<br><br><font color=yellow>*Tetsumi Jiki(Bloodline Killer X) continued to read from the scroll in his possession, he'd take out an ordinary kunai. Holding the kunai over the scroll he'd focus.. The teen channeled his wind based chakra through the blade, while doing this he'd think about keeping it sharp and thin. Though the chakra channeled to the kunai wasn't near that at all, chakra wise it wasn't thin jagged and bulky, far from thin.* - Mon Nov  9 03:09:00 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) thinks: Ughhh.... I hate this. - Mon Nov  9 03:09:52 2015
<br><br><font color=teal>*Ryujin, Marrisa(Roxinea) says: good luck all. - Mon Nov  9 03:10:43 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Jiki! - Mon Nov  9 03:35:28 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: Hi there... and welcome back *@Marrisa* did you find your rock. - Mon Nov  9 03:37:10 2015
<br><br><font color=teal>*Ryujin, Marrisa(Roxinea) says: Not yet. . - Mon Nov  9 03:37:10 2015
<br><br><font color=teal>*Ryujin, Marrisa(Roxinea) says: I have to get permission to leave the village from Lord Hassan to even search for it - Mon Nov  9 03:38:01 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: Ahh! Then, what are you doing her- Oh...well thats awful. - Mon Nov  9 03:38:01 2015
<br><br><font color=teal>*Ryujin, Marrisa(Roxinea) says: It's the price I pay for being a Jounin of the Sand.  - Mon Nov  9 03:38:01 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Rock? - Mon Nov  9 03:38:52 2015
<br><br><font color=teal>*Ryujin, Marrisa(Roxinea) says: I'll see you all in a bit - Mon Nov  9 03:38:52 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: Shes gotta find a rock for a test. - Mon Nov  9 03:38:52 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Sounds like a boring test. - Mon Nov  9 03:38:52 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Sounds like a philosophical one. - Mon Nov  9 03:39:44 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Phil o soft cycle? - Mon Nov  9 03:40:35 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: What type of test is this! - Mon Nov  9 03:40:35 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: ...Philo...phi-whatever. She needs to find a rock with a cute face that was thrown. - Mon Nov  9 03:41:26 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Oh. - Mon Nov  9 03:41:26 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Huh. Interesting. Anyway.. - Mon Nov  9 03:41:26 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: Is that what a philo-..philo test is. - Mon Nov  9 03:41:26 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Would you accept my challenge? - Mon Nov  9 03:41:26 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: What challenge? - Mon Nov  9 03:41:26 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: And ... not so much, nevermind. That's wierd. - Mon Nov  9 03:41:26 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Hrm? I asked my fellow swordswoman if she'd like to spar. - Mon Nov  9 03:42:17 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Oh. - Mon Nov  9 03:42:17 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: I'll spar you. - Mon Nov  9 03:42:17 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: I could, but I'm pretty weak. Don't know if you be interested in fighting me. - Mon Nov  9 03:42:17 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: If you want. - Mon Nov  9 03:42:17 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Ah, I am but a Genin myself.. so I'm unsure.  - Mon Nov  9 03:42:17 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Either of you is fine, I suppose. - Mon Nov  9 03:42:17 2015
