<br><font color=teal>*Alastor(LordxPatrick) says: Would you like to hear it? - Thu Oct  8 03:12:25 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) thinks: Though, i'll make it a bit easier for em'..depending on their skill.  - Thu Oct  8 23:07:56 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: You in, newcommer? - Thu Oct  8 23:08:48 2015
<br><br><font color=teal>*Beth(Ej900) says: Nah I'll just watch. - Thu Oct  8 23:10:30 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Mhmmm.. Boring. All right, you may have the first move Trill. - Thu Oct  8 23:12:12 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Ah, there you are Ai.. - Fri Oct  9 01:12:32 2015
<br><br><font color=teal>*Ai(Sennalove) says: Hola. - Fri Oct  9 01:12:32 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Slept well I take it?... - Fri Oct  9 01:14:14 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Are you ready to reward us my Lord? - Fri Oct  9 01:56:03 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Koji! Tell gramps about how we got rid of those scoripains. - Fri Oct  9 01:57:45 2015
<br><br><font color=yellow>*Tetsumi Jiki(Bloodline Killer X) observed his step father from a far, he'd shake his head in disbelief.."...Fucking Whore..." the teen thought before leaving the scene.* - Fri Oct  9 01:59:28 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Hmm. - Fri Oct  9 02:08:51 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: One at a time...He's a busy man.. - Fri Oct  9 02:10:33 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Go away farmer. - Fri Oct  9 02:10:33 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) thinks: I need to discuss a few things with him, yet it seems that will not happen. Oh well. - Fri Oct  9 02:11:24 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: I have me own business here... - Fri Oct  9 02:11:24 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Ahhh oh really... - Fri Oct  9 02:12:16 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: She's a student of mine father..She's very well trusted.. - Fri Oct  9 02:13:07 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) thinks: I wonder if Fuji Hana is eatable?? I do prefer Ramen... - Fri Oct  9 02:13:07 2015
<br><br><font color=yellow>*Tetsumi Jiki(Bloodline Killer X) stormed off from the village square, most likely no one would understand him nore the reason in which the jounin left in such a funk. He'd release steam from within, "Doesn't he even care about her memory?" the teen questioned himself, maybe that's what made him different? He held every memory of those close to his heart, dead or not intact. Why were other humans the opposite of this, it didn't matter shinobi or none shinobi. Most he'd met were like this, "Are all humans like this?" he'd shake his head in disbelief, there had to be some with light in their hearts still. 

The teen climbed a top an idle rock within the village of sunagakure, a top this rock he sat crossing his legs as well as closing his eyes, it was as if he was a monk meditating to achieve furher enlightenment. His breathing slowed down, his heart rate decreased meaning he'd calmed himself down a little. He hadn't been able to contact the beast in a while, maybe he'd attempt this feat once again.

Despite the beast's nature, he felt alone and it didn't matter to him even if he'd get yelled at, passed events thrown in his face, failures..It didn't matter to the teen, he longed for attention, companionship even? Then again, this may have been foolish. His hands motioned up to the mid-section of his body, at this point in his body he clasped his hands as he focused attempting to reach out to the beast. "Hey, Tanuki."

If he was successful in this the beast's dimension would come into focus, such a dimension or world that looked as if it contained royalty do to the golden floor of the plain, the ancient letters that binded him in his place, the usual look..Unless the place changed since he'd been here last, then he'd see something entirely different.* - Fri Oct  9 03:30:46 2015
<br><br><font color=yellow>*Tetsumi Jiki(Bloodline Killer X) though this attempt to felt as if it was a failure. He didn't get a reply nore an invitation into the tanuki's world. * - Fri Oct  9 03:31:37 2015
<br><br><font color=teal>*Susumu(JustCallMeGromp) says: I tend to keep to myself. - Fri Oct  9 03:52:57 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I see. Well, it's nice to meet you. - Fri Oct  9 03:52:57 2015
<br><br><font color=teal>*Susumu(JustCallMeGromp) says: It's a pleasure to meet you to, Yan. - Fri Oct  9 03:53:48 2015
<br><br><font color=teal>*Susumu(JustCallMeGromp) says: What're you studying there? - Fri Oct  9 03:53:48 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Oh, just reading up on some information. - Fri Oct  9 03:54:40 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: By the way, Tetsumi, if you want Alastor's sand..I can get it for you. I have it hidden. - Fri Oct  9 03:54:40 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Wouldn't be of any use to me. - Fri Oct  9 03:54:40 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Fair enough. - Fri Oct  9 03:55:31 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: We live on sand. - Fri Oct  9 03:55:31 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I thought maybe you'd want the gourd as back up.. - Fri Oct  9 03:55:31 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: In case something happens to yours. - Fri Oct  9 03:55:31 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Huh? - Fri Oct  9 03:56:22 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Izanami, you are now in my squadron. - Fri Oct  9 03:56:22 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Alongside Kilm and Bryson. - Fri Oct  9 03:56:22 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Uhm. - Fri Oct  9 03:56:22 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Okay. - Fri Oct  9 03:56:22 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: New squad... great... our squad washit with unforseen circumstance - Fri Oct  9 03:58:04 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) thinks: New Squads?... - Fri Oct  9 03:58:04 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: I'd like a mission actually. - Fri Oct  9 03:58:56 2015
<br><br><font color=teal>*Isshin(Psychic_Warrior) says: . . . . . . . - Fri Oct  9 03:58:56 2015
<br><br><font color=teal>*Isshin(Psychic_Warrior) says: Sorry. - Fri Oct  9 03:58:56 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Or...can we go on a mission? - Fri Oct  9 03:58:56 2015
<br><br><font color=teal>*Susumu(JustCallMeGromp) says: Mmm.. - Fri Oct  9 03:58:56 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Hello Lord Hassan, what task do you require of Ravenscrotum? - Fri Oct  9 03:58:56 2015
<br><br><font color=teal>*Susumu(JustCallMeGromp) says: I'd be useless on any mission. - Fri Oct  9 03:58:56 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: We have a mission to perform. - Fri Oct  9 03:58:56 2015
<br><br><font color=teal>*Isshin(Psychic_Warrior) thinks: Ravenscrotum? - Fri Oct  9 03:58:56 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: ThunderChicken, you know your mission. - Fri Oct  9 03:59:47 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Would you like us to do it without Kilm? - Fri Oct  9 03:59:47 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Grandpa.. - Fri Oct  9 03:59:47 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Yan catch them up on the task once you are outside of the village. - Fri Oct  9 03:59:47 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: He's not completely necessary. - Fri Oct  9 03:59:47 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Yeah. - Fri Oct  9 03:59:47 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: These squad names are lame.. - Fri Oct  9 03:59:47 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: *:T* - Fri Oct  9 03:59:47 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Iza. - Fri Oct  9 03:59:47 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: I'll give you three shoes. - Fri Oct  9 03:59:47 2015
<br><br><font color=teal>*Susumu(JustCallMeGromp) says: Glad I'm not in one. - Fri Oct  9 03:59:47 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Two on your feet, and one in your ass. - Fri Oct  9 03:59:47 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Mhmm.. I'd like a mission. - Fri Oct  9 03:59:47 2015
<br><br><font color=teal>*Susumu(JustCallMeGromp) says: Mmm..Gourd guy. - Fri Oct  9 04:00:38 2015
<br><br><font color=teal>*Susumu(JustCallMeGromp) says: Wanna do a mission together? - Fri Oct  9 04:00:38 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: With jumpman on probation, and denying his tai-jutsu training i would like to request a new member my Lord... - Fri Oct  9 04:00:38 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Mhmm... - Fri Oct  9 04:00:38 2015
<br><br><font color=teal>*Isshin(Psychic_Warrior) says: What squad will I be in, sir? - Fri Oct  9 04:00:38 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Take Isshin with you. - Fri Oct  9 04:01:29 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Koji. - Fri Oct  9 04:01:29 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Yes sir. - Fri Oct  9 04:01:29 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: I want Revnscrotum to venture out north and kill the giant animal peope have been complaining about, Apparently it's a 20 foot scorpion. - Fri Oct  9 04:01:29 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: I thought it would be fitting. - Fri Oct  9 04:02:20 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: What are we going to do? - Fri Oct  9 04:02:20 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Since you killed it's babies. - Fri Oct  9 04:02:20 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Yan will brief you. - Fri Oct  9 04:02:20 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Now move out. - Fri Oct  9 04:02:20 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Oh. - Fri Oct  9 04:02:20 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Alright. - Fri Oct  9 04:02:20 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: *._.* - Fri Oct  9 04:02:20 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: The mother shall know the taste of Ravenscrotum. - Fri Oct  9 04:02:20 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) thinks: Killed its babies? - Fri Oct  9 04:02:20 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Good. - Fri Oct  9 04:03:12 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Lets get go White Eyed Devil. - Fri Oct  9 04:03:12 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Exellent~. - Fri Oct  9 04:03:12 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: *Mr Burns style* - Fri Oct  9 04:03:12 2015
<br><br><font color=teal>*Susumu(JustCallMeGromp) says: Do we all have nicknames or something? - Fri Oct  9 04:03:12 2015
<br><br><font color=teal>*Isshin(Psychic_Warrior) says: So, you are Sir Koji? - Fri Oct  9 04:03:12 2015
<br><br><font color=teal>*Isshin(Psychic_Warrior) says: My name is Isshin. - Fri Oct  9 04:03:12 2015
<br><br><font color=teal>*Isshin(Psychic_Warrior) says: I will be working with you. - Fri Oct  9 04:03:12 2015
<br><br><font color=teal>*Susumu(JustCallMeGromp) says: Do we need nicknames for missions? - Fri Oct  9 04:04:03 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Welcome Isshin, before we head out you mind telling me about yourself? Only a little I like to know the people I turn my back to. - Fri Oct  9 04:04:54 2015
<br><br><font color=teal>*Isshin(Psychic_Warrior) says: Ah. - Fri Oct  9 04:04:54 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Jiki. - Fri Oct  9 04:04:54 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Mhmm? - Fri Oct  9 04:04:54 2015
<br><br><font color=teal>*Isshin(Psychic_Warrior) says: Well. - Fri Oct  9 04:04:54 2015
<br><br><font color=teal>*Isshin(Psychic_Warrior) says: I'm a ninja. - Fri Oct  9 04:05:45 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Ohhh I wanna try and nick name somethin Ishin you are now HorseShoe. - Fri Oct  9 04:05:45 2015
<br><br><font color=teal>*Isshin(Psychic_Warrior) says: I enjoy gardening in my spare time. - Fri Oct  9 04:05:45 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: I want you to go to every ore mine and make sure they are stil able to mine ore without problems. - Fri Oct  9 04:05:45 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: If you run into a bandit that hasnt aligned with us. - Fri Oct  9 04:05:45 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Kill them. - Fri Oct  9 04:05:45 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: *sigh* All right. Easy enough. - Fri Oct  9 04:05:45 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: I won't have anything more to do with these terrorists. - Fri Oct  9 04:05:45 2015
<br><br><font color=teal>*Susumu(JustCallMeGromp) says: Can I be given a mission..or something? - Fri Oct  9 04:05:45 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Go with Koji. - Fri Oct  9 04:05:45 2015
<br><br><font color=teal>*Susumu(JustCallMeGromp) says: Scorpion? - Fri Oct  9 04:06:36 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Mhm. - Fri Oct  9 04:06:36 2015
<br><br><font color=teal>*Susumu(JustCallMeGromp) says: I won't be able to do anything. - Fri Oct  9 04:06:36 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Ohhhh we gonna name you Licorish - Fri Oct  9 04:06:36 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Then no mission. - Fri Oct  9 04:06:36 2015
<br><br><font color=teal>*Susumu(JustCallMeGromp) says: *Sigh* - Fri Oct  9 04:06:36 2015
<br><br><font color=teal>*Susumu(JustCallMeGromp) says: Fine. - Fri Oct  9 04:06:36 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: I wont have you getting smart with me child. - Fri Oct  9 04:06:36 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Turn that frown up side down Licorish. - Fri Oct  9 04:07:28 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Does not hurt to try Licorish. - Fri Oct  9 04:07:28 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Move out, do your briefing outide o the village. - Fri Oct  9 04:08:19 2015
<br><br><font color=yellow>*Tetsumi Jiki(Bloodline Killer X) once receiving his mission briefing from Hassan he'd head out, he wasn't planning on wasting time. There was a mission to be completed, so he'd complete it as swiftly as possibly. He'd leave the village, a mask was produced from one of his many pouches around his waist. He'd gaze at the mask for a moment, it was the same mask he traveled on his journey with. Once more he'd equip the mask, his face was hidden. The gourd on his back shook for a moment, within it the material inside churned. The iron cork from his gourd slackened, this was removed as it momenteriely levitated in the air while the desired amount of the material slithered out of the gourd. The blackened sand lined itself over Tetsumi's clothing foming a hoodie out of the blackened sand, it looked so real it even swayed from side to as if it were alive, a trait the manipulator did himself..It was time to get to buisness.

The first of many mines under his village's control was one west of his current location.  That was the first of ore mines he'd visit. Though he didn't intend to travel by foot, it'd waste to much time for the masked teen. He'd clasp his hands gathering chakra, more of the blackened sand erupted from within the object that confined it. The sand formed below his feet, it became dense to support his weight before sending him off towards the sky, his destination the western mine.

Arriving at the western mine he'd notice workers mining away to obtain the ore that the earthern mountain yieded. "Mhmm.." his head went back and fourth examining everything about the place. This mine seemed okay, it didn't weild any threats to sunagakure, plus the ore hunt seemed to be fruitful. He'd take his leave. Where he'd left it, the platform of iron remained. Both of his feet were placed firmly on the platform, a strip of iron latched his feet down fastening him from potentially being bucked off. After this action the platform took over and traversed the dessert this time heading towards the southern mine. 

The platform lowered once the place came into focus, right outside of the entrance he landed. The strip of iron sand that binded his feet to it undid itself granting him mobility and freedom to utilize his feet. He'd look around again, this mine didn't yield as much ore as the previous one. Though the workers bickered amongst each other, he'd shrug his shoulders at least they were finishing up the work, right? 

He'd leave the bickering within slowly dying down the further he got away. He'd step on the platform of iron once more, it strapped his feet down before it prepared for lift off. The platform jerked skyward then forward in the direction of the eastern mines. It wasn't hard, especially with the map he was provided for the task at hand. It came into focus, though something caught his attention someone leaving the mine. The platform dipped downward hard and fast, it landed directly infront of the fleeing man. Both of his hands were folded, sunagakure's insignia etched on his gourd. The strip of iron that secured him retreated back into the platform as he dismounted from it. "Where are you going?" the mask teen question, it was obvious the man he questioned wasn't a worker.

//Myserious man, "What's it to you?" at this moment his eyes gazed apon the masked individual's gourd noticing sunagakure's insignia."Ahh I see. I was warning the workers here. The mine were I work at..its been seized by foerign shinobi."

"Mhmm.." he did seem shaken up, his clothing was ruffled up slight freash wounds. His story added up, the teen shook his head before yet again checking up on this mine either way. 

//The workers worked at double time, though they seemed a bit shaken up. Their voices seemed frantic, the chatter between them easily caught his attetion."W-What if they came here?!" the others individual replied, "We'll just leave..I have a wife and kids, its not worth it."

//Masked teen, "I see..i'll just have to take care of that." he knew if this proceeded it'd decrease the worker's moral and sunagakure would be in serious trouble. No one was going to prevent problems for sunagakure, he was determined to stop this threat. After leaving the mine he'd look in the escape worker, "Stay here, i'll look after your mine. You'll be able to return soon." with that he'd step on the platform of iron. A strip of iron secured his footing before he ventured towards the sky with the aid of his platform. The northern mine was his destination. 

The northern mine came into focus, from above smoke was seen from within."..Huh?.." the teen questioned, the platform lowered. He landed outside but to the side of the entrace, the strip of sand retreated back into the platform as he stepped off of it. He had confidence in his abilities though it was best he made a plan, he needed to know how much enemy shinobi there were inside and find out the best course of action quickly before any of the workers were injured or killed. He'd brought his left hand up to his left eye channeling chakra. As he did this iron sand formed out of what seemed to be thin air, this sand shaped itself into a mole. Its eye sockets were blank for a moment before its sockets were filled with iron sand that soon granted the mole sight. It looked like an ordinary mole, it dugg beneath the earth, his vision changed into earth being pushed away easily. It eventually dug towards the surface making a point of entry for it to emerge from, as it emerged the scene painted itself out. 

There were five foreign shinobi within, from them his sight focused on the workers. Three laid dead, while the others worked not having time to morn the deaths of the workers. It was a deperessing scene, one you'd see in a slave movie. One of the shinobi piped up barking orders, though he wasn't able to read his lips thanks to the smoke within distorting his ability to read lips properly, though he caught the man slapping a worker. The force knocked the worker to the ground, blood trickeled from the worker's mouth, as the worker's face came into focus it seemed as if it was a woman. Anger rushed through his being, "...They're dead." honestly he was going to defy hassan's orders at first, instead of killing them he planned to detain them and throw them into a prison. But actions like this, plus the bodies that laid on the ground..It was obvious they hadn't any remorse or care for human life or life in general, death was the only option for those five. 

The mole of iron converted back into iron, the jutsu was canceled and his sight was returned. He was once again outside of the mine, he'd retrieve two smoke bombs from his back pouch. These smoke bombs were thrown out from his grasp, they rolled along the mine's floor towards the shinobi's feet. "Huh?" in unison was heard as the smoke bombs went off, sending more smoke through the cave. This was Tetsumi's chance, a large amount of sand flowed from his gourd right into the cave while he followed behind. The figures of the shinobi were seen in the smoke, though bearly. It was time to corner each one of them, five clones exact formed out of the iron sand, each one for the shinobi causing havoc.

The smoke cleared up revealing himself, as well as the clones. Each clone stod stationed infront a shinobi,  One of the shinobi piped up"This isn't a place for children, you'll meet your end here." Each of the clones laughed, including the original. "Its funny you said that." the clones spoke in unison, though the shinobi didn't take kindly to this and tried to destroy each clone. This feat, they succeeded in...to an extent. The clones looked shocked, though they reformed being able to trap each shinboi's hand within themselfes.

"You were saying?" the original said, they fought to free themselves. One even managed to do this, he'd make handgesture trapping the others in the sand that formed the iron sand clone. A large portion of their body was consumed by the blackened sand, at ths time the lone shinobi that got freed raced forward. It swung a pickaxe at the teen's head, his sand raced forward forming a shield of sand above his head while launching him backwards a little. It was as if the man hit solid metal, the clashing of metal was obvious. His eyes flew open, "You're" before he even got to finish his words more sand gushed forward encasing him in its essence. 

A few more seconds passed, he hoped each of them reflected on the bad they've done through out their lifes. With that he forcefully shot his hand, a signal meaning the end. The pressure through out sand intensified until it imploded showering sand and blood alike across the cave. Workers screamed, horror evident on their faces. His job was finished, "You're all saved..no one will mess with you guys again." silently he morned the deaths of the workers before his sand returned funneling back into his gourd. He'd leave with out another word, he stepped on the platform, a strip of iron secured his footing as he raced towards the sky in the direction of sunagakure, his mission was complete.* - Fri Oct  9 06:24:51 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Thank you sister... your kind words have lifted my spirits...  - Fri Oct  9 06:30:49 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: That's assuming you have no competence in combat at all too. I still can't imagine how. - Fri Oct  9 06:31:40 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Whats with the paper? - Fri Oct  9 06:33:23 2015
<br><br><font color=yellow>*Tetsumi Jiki(Bloodline Killer X) arrived back on the scene, he held a scroll within his grasp."Finished." he'd extend his hand out which contained the scroll. If Hassan cared enough for the mission briefing, every detail of it was written on it. * - Fri Oct  9 06:33:23 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: I have some skill in tai but not enough to be a fighter - Fri Oct  9 06:34:14 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Pce love and Happiness_ - Fri Oct  9 06:36:48 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: You might be able to be bait, depending on how your allies fight. - Fri Oct  9 06:37:39 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Truth is any enemies would be best off ignoring you and they'll realize that too. - Fri Oct  9 06:37:39 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Bait...? - Fri Oct  9 06:39:21 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Why would they ignore me? - Fri Oct  9 06:39:21 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Because they'd rather kill the person throwing lightning balls at them than the person standing there cowering behind a bible. - Fri Oct  9 06:40:12 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: There you are. - Fri Oct  9 18:02:01 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: HEad north. - Fri Oct  9 18:02:52 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Into the desert. - Fri Oct  9 18:02:52 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: To one of the last outposts. - Fri Oct  9 18:02:52 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: BearTaint, let's roll out. - Fri Oct  9 18:02:52 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: <omit> - Fri Oct  9 18:02:52 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Mhmm..Sorry..All right.. - Fri Oct  9 18:02:52 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Saddam Gdaffy is the leader's name... - Fri Oct  9 18:11:24 2015
<br><br><font color=yellow>*Tetsumi Jiki(Bloodline Killer X) sighed a little hearing the briefing from the mission, it seemed like it'd be a pest a total nuisance at best."The puppeteer, it may be best if I disposed of her quickly. She's the medic after all, my sand with render her puppets useless." the teen seemed to be deep in thought for a moment, deductive plan in his mind while Sanoke and Koki did their jobs.

"Mhmm...this'll be somethin' else." the teen commented below his breath, he wasn't into the mission at all.* - Fri Oct  9 18:20:48 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) thinks: The three of us, against em'..This'll be intresting. - Fri Oct  9 18:23:21 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) thinks: Wonder if I should speak with the geezer..Maybe i'm not that threatening...  - Fri Oct  9 18:41:16 2015
<br><br><font color=yellow>*Tetsumi Jiki(Bloodline Killer X) "My defenses are good enough, are you sure its a threat?" the teen had to clearify this before even reacting. If he reacted rashly, the innocent would be killed. He'd monitor the scene from location behind, he had faith in Koji if things became a bit sour -his- defenses he'd seen before in him and others of his lienage in the past. Either way he wasn't alone, himself and his sand was on stand by.* - Fri Oct  9 19:10:17 2015
<br><br><font color=teal>***Concealed Figure**(Guest-2873063307) says: Ohoho, so little boy wants to battle me? - Fri Oct  9 19:20:32 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Hmm.. Come for me if you dare... - Fri Oct  9 19:23:05 2015
<br><br><font color=teal>***Concealed Figure**(Guest-2873063307) says: You got balls, i'll tell you that. - Fri Oct  9 19:23:56 2015
<br><br><font color=yellow>*Tetsumi Jiki(Bloodline Killer X) "Don't die." the teen left Koji with these words, the iron cork on his gourd was releasing, it flew into the air as blackened sand seeped out from within. The sand formed below his feet becoming dense to support his weight, a strip of iron secured his footing. With the aid of his sand he soared through the air, the sand enhanced his natural speed he'd use this asset to catch up with the fleeing shinobi rather quickly than normal. 

While Sanoke attempted to utilize an unseen technique from his view he pursued to cut off their path.* - Fri Oct  9 19:26:30 2015
<br><br><font color=teal>*Orien, Megan(Meekee) says: Damn they caught back up. - Fri Oct  9 19:42:43 2015
<br><br><font color=teal>***KazeKage**(Ziare1) says: They stand no chance. - Fri Oct  9 19:43:34 2015
<br><br><font color=yellow>*Tetsumi Jiki(Bloodline Killer X) "You won't escape my sand." the teen voice seemed cold, he levitated from above aided by his sand. He had to react quickly or the daimyo's life would surely come to an end, he had to mercy for these individuals. An eruption of blackened sand was seen from above, it was enormous a bast gathering of the material from above.. It spread from above, hopefully sanoke would close the gap or fill in to he could've prepared his technique. 

The sky seemed to be dark over the individuals, danger crepted.* - Fri Oct  9 19:46:08 2015
<br><br><font color=yellow>*Tetsumi Jiki(Bloodline Killer X) eyes widened as the man that carried the basket vanished from his sight, he was gone along with the basket. He cursed in his mind, the only people remained on the battle field was Megan, her puppets, Sanoke, and himself..He couldn't waste time fighting here, not at all. His voice bellowed from above, "Sanoke! Go after him, i'll handle her." Hopefully the shinobi followed and respected his call, he'd just have to deal with the female's puppets.

Anger welled up inside, more of the multiplied it continued to spread until its formation above changed into droplets of the material. It seemed as if the sky was raining iron sand, the blackened sand rained from above, it rained over Megan as well as the puppets summoned.

(Strategem Perk.) As the rain of iron sand continued he'd attempt to command the iron sand to get into the puppets joints making its useless. As it got into its joints he'd once again attempt to destroy the puppets, giant spikes formed from within the puppets, it erupted outward hopefully destroying the threats and sending parts that remained of the puppets about. It was all up to Sanoke at this point.* - Fri Oct  9 20:08:19 2015
<br><br><font color=yellow>*Tetsumi Jiki(Bloodline Killer X) witnessed the incoming cloud of poison?"...Poison..." the child thought, his eyes widened in fear. He couldn't allow himself to be trapped in such a threat. On its own sand materialized out of what seemed to be thin air, the sand moved swiftly encasing the teen in the sand to prevent him from inhaling it. He sat in the darkness for a moment.

