<br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: ........... - Wed Oct  7 03:46:59 2015
<br><br><font color=teal>*Reguel(Psychic_Warrior) says: ..... - Wed Oct  7 05:31:56 2015
<br><br><font color=teal>*Reguel(Psychic_Warrior) says: It's a turtle. - Wed Oct  7 05:31:56 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: Just like that boy... - Wed Oct  7 05:31:56 2015
<br><br><font color=teal>*Reguel(Psychic_Warrior) says: And he can walk. - Wed Oct  7 05:31:56 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Uhh.. - Wed Oct  7 05:31:56 2015
<br><br><font color=teal>*Reguel(Psychic_Warrior) says: This village is filled with unique things. - Wed Oct  7 05:31:56 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: He.. - Wed Oct  7 05:31:56 2015
<br><br><font color=teal>*Reguel(Psychic_Warrior) says: I didn't know turtle human hybrids exist. - Wed Oct  7 05:31:56 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: He passed in Kirigakure along with Koeki?... - Wed Oct  7 05:31:56 2015
<br><br><font color=teal>*Reguel(Psychic_Warrior) says: Does that mean you can have sex with turtles and procreate? - Wed Oct  7 05:31:56 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: He had eyes like that boy! - Wed Oct  7 05:31:56 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: ---... - Wed Oct  7 05:31:56 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: ...... - Wed Oct  7 05:32:48 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: KILL THE BOY - Wed Oct  7 05:32:48 2015
<br><br><font color=teal>*Reguel(Psychic_Warrior) says: But. - Wed Oct  7 05:32:48 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: <omit> - Wed Oct  7 05:32:48 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: HELL NO - Wed Oct  7 05:32:48 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: It must of been that one weird guy.. - Wed Oct  7 05:32:48 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: - omit - Wed Oct  7 05:32:48 2015
<br><br><font color=teal>*Reguel(Psychic_Warrior) says: Look at that shell. - Wed Oct  7 05:32:48 2015
<br><br><font color=teal>*Reguel(Psychic_Warrior) says: He's part turtle. - Wed Oct  7 05:32:48 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: You know who I'm talking about right, Suitengu? - Wed Oct  7 05:32:48 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: Yes. - Wed Oct  7 05:32:48 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: Did he die in Kirigakure? - Wed Oct  7 05:32:48 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: But it doesnt matter - Wed Oct  7 05:32:48 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Huh. . Who died? - Wed Oct  7 05:33:39 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) thinks: This..Matters.. Hnnggh... count to three... - Wed Oct  7 05:33:39 2015
<br><br><font color=teal>*Reguel(Psychic_Warrior) says: THE TURTLE HYBRID SPEAKS. - Wed Oct  7 05:33:39 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) thinks: One... - Wed Oct  7 05:33:39 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) thinks: Two... - Wed Oct  7 05:33:39 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: As koeki dies... something was awakened... - Wed Oct  7 05:33:39 2015
<br><br><font color=teal>*Reguel(Psychic_Warrior) says: So people -can- procreate with turtles. - Wed Oct  7 05:33:39 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) thinks: Three... - Wed Oct  7 05:33:39 2015
<br><br><font color=teal>*Reguel(Psychic_Warrior) says: And the offspring is viable. - Wed Oct  7 05:33:39 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: What? I'm not actually a turtle-- - Wed Oct  7 05:33:39 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Koeki. . ? You're lying. - Wed Oct  7 05:33:39 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: Fujitora. - Wed Oct  7 05:33:39 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) thinks: They're doing shinobi talk...I should leave.. - Wed Oct  7 05:34:30 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Koeki what?.. - Wed Oct  7 05:34:30 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: I would like to speak with the village leaders... in private - Wed Oct  7 05:34:30 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: I'll be leaving. - Wed Oct  7 05:34:30 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: Please tell my Aunt to send me a message. - Wed Oct  7 05:34:30 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Oi. - Wed Oct  7 05:34:30 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Kid. - Wed Oct  7 05:34:30 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Baen went to Kiri. - Wed Oct  7 05:34:30 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: I'll tell her when I get back to hell. - Wed Oct  7 05:34:30 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Why must you leave? - Wed Oct  7 05:34:30 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: -omit- - Wed Oct  7 05:34:30 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: He told me to give you that message. - Wed Oct  7 05:34:30 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: He's not available. - Wed Oct  7 05:34:30 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: ... - Wed Oct  7 05:35:21 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: I'm going then - Wed Oct  7 05:35:21 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Violet, you are good to stay here until you speak with him. - Wed Oct  7 05:35:21 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: ..Baen went to Kiri. - Wed Oct  7 05:35:21 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: ..... - Wed Oct  7 05:35:21 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Gotta run - Wed Oct  7 05:35:21 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: Ok... thank you... - Wed Oct  7 05:35:21 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: Kirie... - Wed Oct  7 05:35:21 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: ....I will not leave the village without permission. - Wed Oct  7 05:36:12 2015
<br><br><font color=teal>*Reguel(Psychic_Warrior) says: . . . . . - Wed Oct  7 05:36:12 2015
<br><br><font color=teal>*Reguel(Psychic_Warrior) thinks: The blonde seems very honorable. - Wed Oct  7 05:37:04 2015
<br><br><font color=teal>*Reguel(Psychic_Warrior) thinks: Devoted to his village. - Wed Oct  7 05:37:04 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: ... is there a medic here? - Wed Oct  7 05:37:04 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I will be guarding the village gates myself. - Wed Oct  7 05:37:55 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: I- I wish i wasnt - Wed Oct  7 05:37:55 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) thinks: That strong one..she's finished huh... - Wed Oct  7 05:38:46 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Bullshit. Would there still be a body in tact? - Wed Oct  7 05:38:46 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: ... - Wed Oct  7 05:38:46 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) thinks: He didnt no... - Wed Oct  7 05:39:37 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) thinks: that roar... shook me... it will hauntme... - Wed Oct  7 05:39:37 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: .... - Wed Oct  7 05:40:28 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Anyone wanna buy some Sushi plates? - Wed Oct  7 05:40:28 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: No thank you. - Wed Oct  7 05:40:28 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) thinks: You think you're escaping the sushi.. - Wed Oct  7 05:40:28 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Do you want to spar? - Wed Oct  7 05:40:28 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: Im sorry... but she is gone - Wed Oct  7 05:40:28 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) thinks: Folloish daughter...Rice awaits for you at home.. - Wed Oct  7 05:40:28 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Mhmm? Err.. Sure sis. - Wed Oct  7 05:40:28 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) thinks: Foolish* - Wed Oct  7 05:40:28 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Mkay.~ - Wed Oct  7 05:40:28 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Where do you want to spar? - Wed Oct  7 05:41:20 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Doesn't matter, its up to you. - Wed Oct  7 05:41:20 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Uhhhhmm..Follow me! - Wed Oct  7 05:41:20 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: ... - Wed Oct  7 05:41:20 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Right in here.~ - Wed Oct  7 05:42:11 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Mhmm... - Wed Oct  7 05:42:11 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: You can have the first move. - Wed Oct  7 05:42:11 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Okay. - Wed Oct  7 05:42:11 2015
<br><br><font color=yellow>*Tetsumi Jiki(Bloodline Killer X) observed as Izanami formed those seals, the same seals she formed all those years ago, the time he first sparred against his sister. Though he didn't expect her to actually acccomplish such a feat, from the girl a massive ball of flame raced forward. A smile was visible on the teen's face before his sand got into action, on its own his sand reacted as if it had a mind of its own, as if it was alive. The iron cork from his gourd was released, it shot skyward as a massive amount of the blackened sand formed around Tetsu encasing him completely in it hopefully protecting him from the flames.

After the flames died down the shield undid itself revealing a much serious Tetsumi from just a moment ago. At this time a large amount of sand erupted from the gourd, as well as the utilized in the shield burst forward racing at a fast pace for the young shinobi.(10 tiles speed.)* - Wed Oct  7 05:54:08 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) thinks: She's gotten better. - Wed Oct  7 05:54:08 2015
<br><br><font color=yellow>*Tetsumi Jiki(Bloodline Killer X) "That's the technique Fuji uses, how bothersome." the shuriken weren't an issue. Though he couldn't allow himself to get trapped, there was to of them, then there was him and his sand. A section of the sand broke off, it molded instantly creating ten shuriken forged from his unique sand. He'd extended all of his finger forward, the power of his magnetism propelled these tools forward at a fast pace, two of these shuriken were aimed at the incoming projectiles coming his way, while the remaining four broke its aparent patern, four shuriken went for one clone, while four went for another clone.* - Wed Oct  7 06:08:38 2015
<br><br><font color=yellow>*Tetsumi Jiki(Bloodline Killer X) smiled as his shuriken were easily knocked aside, as if it was child's play it seemed. His sand reacted on its own, it rose at two sides of the teen, to his left and right hopefully protecting its manipulator against such projectiles. Maybe it was time he'd given his sister a bit of a challenge. The sand continued forward, speading across the battlefield easily it was a lot of sand Tetsumi seemed to be manipulating a feat he wouldn't have been able to do in the past.

Along the sand four clones molded out of the sand, they were spitting images of the manipulator but crafted out of the manipulated material.* - Wed Oct  7 06:18:01 2015
<br><br><font color=yellow>*Tetsumi Jiki(Bloodline Killer X) each of the clones smiled, they slowly approached Izanami though her lines that they weren't able to detect attached to their bodies. Which would be the downfall end end to these assets of sand, fire ran along the wire destroying each clone down the middle easily. The flames, they'd too reach to Tetsumi's current location.  He didn't expect this for his sister, but it was time to turn the tables on the Ryujin. 

His shield of sand raced forward, out infront of the teen a large shield was crafted from the autmatic defense hoping to keep the flames at bay there before it reached Tetsumi's locatio. His sand continued forward, at this time it'd arrived at Izanami's being. Those same clones of iron sand that she defeated.. Those four were crafted out of the iron sand once more, all four surrounded Izanami at all sides of her. Each spoke in sequence, "Give up?"* - Wed Oct  7 06:29:58 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) thinks: Hes way too good! - Wed Oct  7 06:34:14 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) thinks: I cant find anyone to get past the sand! - Wed Oct  7 06:34:14 2015
<br><br><font color=yellow>*Tetsumi Jiki(Bloodline Killer X) didn't do anything at all, he'd allow Izanami to cut through the clone. Though the moment she did this it was over, her hand would've been logged or trapped in the clone's being. At this time the four clones burst into iron sand, each clone's being aimed at specific points. One of the clone's sand was aimed at Izanami's legs, while the other aimed at the base of her body, each clone of sand attempted to encase the female completely until it reached to her neck of course. "At least you aren't willing to give up so easily as the other shinobi in this land."* - Wed Oct  7 06:39:21 2015
<br><br><font color=yellow>*Tetsumi Jiki(Bloodline Killer X) "I'm proud of ya sis." the teen smiled while giving the female a thumbs up, as he did this the sand fell to the floor lifeless, it was over. Every last inch of the sand returned, so much of it retracting. It soon was forced airborne where it funneled itself back into the teen's gourd, a cork of iron was formed this sealed off the gourd from potential spills or anything entering or exiting it.* - Wed Oct  7 06:43:37 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: *nod* Its nothing. - Wed Oct  7 06:47:02 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: You've earned it. - Wed Oct  7 06:47:02 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Hehe..thanks. - Wed Oct  7 06:47:53 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Mhmm.. If you need me, i'll be around. I have to track our idiot father down. - Wed Oct  7 06:48:44 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: E-er. - Wed Oct  7 06:48:44 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Okay. - Wed Oct  7 06:48:44 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: At least convine him. - Wed Oct  7 06:48:44 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Thanks for sparring me.~ - Wed Oct  7 06:48:44 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Ehehe, no problem. - Wed Oct  7 06:48:44 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Alastor? - Wed Oct  7 06:53:52 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: ... - Wed Oct  7 06:54:43 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) thinks: Who is alastor... - Wed Oct  7 06:55:34 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Uh.. - Wed Oct  7 06:55:34 2015
<br><br><font color=teal>*Reguel(Psychic_Warrior) says: Mmmmmm. - Wed Oct  7 06:55:34 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: You have some balls coming after you attempted to attack me from behind. - Wed Oct  7 06:55:34 2015
<br><br><font color=teal>*Reguel(Psychic_Warrior) says: This fish is goo--- - Wed Oct  7 06:55:34 2015
<br><br><font color=teal>*Reguel(Psychic_Warrior) says: Speaking of balls. - Wed Oct  7 06:55:34 2015
<br><br><font color=teal>*Reguel(Psychic_Warrior) says: Why do you get dumplings and I don't?! - Wed Oct  7 06:55:34 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) thinks: Oh...Him. - Wed Oct  7 06:55:34 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) thinks: Is that him? - Wed Oct  7 06:55:34 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Because. . .You asked for seafood! Tch. .  - Wed Oct  7 06:56:25 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: No taking back your order. - Wed Oct  7 06:56:25 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) thinks: Would I be welcomed if i executed the traitor? - Wed Oct  7 06:58:08 2015
<br><br><font color=teal>*Reguel(Psychic_Warrior) says: ------Woah, woah, woah! - Wed Oct  7 06:58:59 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: . . . - Wed Oct  7 07:01:32 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: <*Inadvertently farts while infront of Izanami*> - Wed Oct  7 07:14:20 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) thinks: Oi. . . those dumplings.. - Wed Oct  7 07:14:20 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) thinks: May have been spoiled. - Wed Oct  7 07:14:20 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) thinks: I shall wait... I dont want to be jailed again... im alrady emotionally drained - Wed Oct  7 07:14:20 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Mhmm.. - Wed Oct  7 07:16:03 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: he* - Wed Oct  7 07:20:19 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) thinks: Im not killing him... im just taking a body part... - Wed Oct  7 07:46:46 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Rice Cake anyone? - Wed Oct  7 07:51:02 2015
<br><br><font color=teal>*Reguel(Airide) says: I'll take it - Wed Oct  7 07:51:53 2015
<br><br><font color=teal>*Reguel(Airide) says: I am a visitor. - Wed Oct  7 07:51:53 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Would you like a Meat pie as well? - Wed Oct  7 07:51:53 2015
<br><br><font color=teal>*Reguel(Airide) says: I don't mind. - Wed Oct  7 07:51:53 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: 20 Pounder, 20 yen. - Wed Oct  7 07:52:44 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Great! - Wed Oct  7 07:52:44 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) thinks: I just... touched him.... - Wed Oct  7 07:53:36 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Mhmm.. - Wed Oct  7 08:07:15 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Oi. Violet, are you okay? - Wed Oct  7 08:07:15 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: *sigh* I'll have to deal with the red head later. - Wed Oct  7 08:08:06 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: Yea... im fine... thanks - Wed Oct  7 08:08:06 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Hm.. - Wed Oct  7 08:08:06 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: What red head? The guy that he was henged as? - Wed Oct  7 08:08:06 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: *nod* - Wed Oct  7 08:08:57 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: I see. Fujitora, anywho. I believe we had some arrangements? - Wed Oct  7 08:08:57 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: I need to expand my repetoire. You said you'd help me with some things. - Wed Oct  7 08:09:48 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Hm?...Oh yes. - Wed Oct  7 08:09:48 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: ... - Wed Oct  7 08:09:48 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) thinks: I need to learn more Fuuin myself ...Case a tailed beast strikes.. - Wed Oct  7 08:11:31 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: . . .Uh . .Why are you talking like that? - Wed Oct  7 08:12:22 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: And uh. We only have a priest as our healer. No medics. - Wed Oct  7 08:12:22 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Tetsumi, do you want to detain this guy? I don't have any techniques to capture, only to kill. - Wed Oct  7 18:56:38 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) thinks: Mhmm...Who again? - Wed Oct  7 18:56:38 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Who again?.. - Wed Oct  7 18:56:38 2015
<br><br><font color=teal>*Alastor(LordxPatrick) says: Ah. So the chuunin is angry he got duped, so he'll make false charges. Got it. - Wed Oct  7 18:56:38 2015
<br><br><font color=teal>*Alastor(LordxPatrick) says: How are you even a shinobi again? - Wed Oct  7 18:56:38 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) thinks: Oh yeah.. - Wed Oct  7 18:57:29 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Alastor attacked me from behind during my fight with Baen. - Wed Oct  7 18:57:29 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Soo... Can you explain yourself on that..issue Alastor? - Wed Oct  7 18:57:29 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I should kill him, but instead, I'll let Hassan deal with him. - Wed Oct  7 18:57:29 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: That's a serious crime, ya'know. - Wed Oct  7 18:57:29 2015
<br><br><font color=teal>*Alastor(LordxPatrick) says: If it was behind like he said, how would he know? - Wed Oct  7 18:57:29 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Don't play games. - Wed Oct  7 18:58:20 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: I've known Yan for some time now, one thing he doesn't do is lie. - Wed Oct  7 18:58:20 2015
<br><br><font color=teal>*Alastor(LordxPatrick) says: Obviously he's mistaken then. - Wed Oct  7 18:59:12 2015
<br><br><font color=teal>*Alastor(LordxPatrick) says: If one man was disguised as me, why not two? - Wed Oct  7 18:59:12 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Mhmm... - Wed Oct  7 18:59:12 2015
<br><br><font color=teal>*Alastor(LordxPatrick) says: I'm more curious how the man was disguised as me... - Wed Oct  7 18:59:12 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Because he came from within the village.  - Wed Oct  7 18:59:12 2015
<br><br><font color=teal>*Alastor(LordxPatrick) says: Several foreigners were here last night. - Wed Oct  7 18:59:12 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: That would be impossible given our guards. - Wed Oct  7 18:59:12 2015
<br><br><font color=teal>*Alastor(LordxPatrick) says: That Sui-whatever, the man with a giant fan, and several others. - Wed Oct  7 19:00:03 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Suitengu was gone before, and so was Kirie. We will find out if you are telling the truth when you are detained for questioning. - Wed Oct  7 19:00:03 2015
<br><br><font color=teal>*Alastor(LordxPatrick) says: So you lose a fight and need a patsy. - Wed Oct  7 19:00:54 2015
<br><br><font color=teal>*Alastor(LordxPatrick) says: Gotcha. - Wed Oct  7 19:00:54 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: If I am wrong, I'll offer apologies. But I can't have an assassin looking to kill me. - Wed Oct  7 19:00:54 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Walk around freely. - Wed Oct  7 19:00:54 2015
<br><br><font color=teal>*Alastor(LordxPatrick) says: And while I am wrongfully imprisoned, one will be doing just that. - Wed Oct  7 19:01:45 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: ....We will see. - Wed Oct  7 19:01:45 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: .... - Wed Oct  7 19:01:45 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) thinks: Shinobi... - Wed Oct  7 19:02:36 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Fujitora, you've been head of the police for a while. Do you have a method of getting information from ninja? - Wed Oct  7 19:06:01 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) thinks: Mhmm...That was Edge's job. - Wed Oct  7 19:06:01 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Mhm..It requires one to be captured or willingly co-operate though.. - Wed Oct  7 19:06:52 2015
<br><br><font color=teal>*Alastor(LordxPatrick) says: Of course I'm willing. - Wed Oct  7 19:06:52 2015
<br><br><font color=teal>*Alastor(LordxPatrick) says: I assume this is a Fuuinjutsu? - Wed Oct  7 19:06:52 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) thinks: ........Am I wrong? - Wed Oct  7 19:06:52 2015
<br><br><font color=teal>*Alastor(LordxPatrick) says: I will gladly work to clear my name. Especially if someone is masquerading as me. - Wed Oct  7 19:07:44 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Okay.. - Wed Oct  7 19:08:35 2015
<br><br><font color=teal>*Alastor(LordxPatrick) says: Yes. - Wed Oct  7 19:14:33 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: ..... - Wed Oct  7 19:17:58 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: ... - Wed Oct  7 19:17:58 2015
<br><br><font color=yellow>*Tetsumi Jiki(Bloodline Killer X) "..That's enough for me.." with this thought in his mind, sand spewed from his gourd. This spewed blackened sand quickly changed its form into a rather large hand. This hand if successful would wrap around the manipulator's body.

(Strategem perk) Another portion of the sand was released, this portio of sand formed into another hand, this iron hand grabbed a hold of Alastor's gourd whitch it ripped it apart from the weilder seperating him from his supply..It wasn't as if he was himself, if he was as skilled it'd be an issue in the long run but he was confident in his action. * - Wed Oct  7 19:22:14 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I think we should let Hassan dish out his punishment. - Wed Oct  7 19:26:30 2015
<br><br><font color=yellow>*Tetsumi Jiki(Bloodline Killer X) the large arm of iron soon spread across the manipulator's entire figure. Soon he'd be consumed in the blackened material, from the buttom of his feet to the crown of his head. Though he'd feel a little leanient and made two holes for the red head's nostrils enabling him to breath through this.* - Wed Oct  7 19:28:12 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Mhmm..Where to? - Wed Oct  7 19:29:55 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: The jail. - Wed Oct  7 19:31:37 2015
<br><br><font color=teal>*Zenaki(Kumaki) thinks: Might use him later on if I am allowed... Perfect..  - Wed Oct  7 19:33:20 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: If he was guilty....why would he come back and try to get away with it? - Wed Oct  7 19:34:11 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I almost doubted myself. - Wed Oct  7 19:34:11 2015
