<br><font color=teal>*Hanae(Ej900) says: This shell is nothing to me now. - Mon Nov  9 13:04:38 2015
<br><br><font color=teal>*Leo(XvXvXvX) says: Someone has angery problems. - Mon Nov  9 20:54:49 2015
<br><br><font color=teal>*Leo(XvXvXvX) says: anger* - Mon Nov  9 20:54:49 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Uhh,, - Mon Nov  9 20:54:49 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Oh hey tetsu. - Mon Nov  9 20:54:49 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: ..... - Mon Nov  9 20:54:49 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: When are you going to come vist me? - Mon Nov  9 20:54:49 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: I'm visiting you now. - Mon Nov  9 20:54:49 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: How are you? - Mon Nov  9 20:54:49 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Im alright sorta been talking to myself alot lately but eh... - Mon Nov  9 20:59:05 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: I see... - Mon Nov  9 20:59:05 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Hrm..? - Mon Nov  9 20:59:05 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: I get free grilled cheese Sandwhichs so thats a plus. - Mon Nov  9 20:59:56 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Just think of happy thoughts, don't give in. And you'll be fine. - Mon Nov  9 20:59:56 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Eh..? What's goin on..? - Mon Nov  9 21:00:48 2015
<br><br><font color=teal>*Leo(XvXvXvX) says: Yeah jail is a pain. - Mon Nov  9 21:00:48 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Nothing from what I see. - Mon Nov  9 21:00:48 2015
<br><br><font color=teal>*Leo(XvXvXvX) says: But I'm happy to say im a free man now - Mon Nov  9 21:01:39 2015
<br><br><font color=yellow>*Tetsumi Jiki(Bloodline Killer X) saying this, he'd walk towards Trill. Once infront of the boy, he'd place his hand on the crown of his head, while ruffling his hair a little. After doing such, he'd leave with out another word.* - Mon Nov  9 21:01:39 2015
<br><br><font color=teal>*Leo(XvXvXvX) says: Of course. - Mon Nov  9 21:02:30 2015
<br><br><font color=teal>*Leo(XvXvXvX) says: I'll kepe out of trouble. - Mon Nov  9 21:02:30 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Mrm.. Yan, how goes it? - Mon Nov  9 21:03:21 2015
<br><br><font color=teal>*Hanae(Ej900) says: Wow a party. - Mon Nov  9 21:05:04 2015
<br><br><font color=yellow>*Tetsumi Jiki(Bloodline Killer X) had the sudden urge to give someone the finger, but kept walking, leaving the scene instead.* - Mon Nov  9 21:05:55 2015
<br><br><font color=teal>*Hanae(Ej900) says: Going to pay up? - Mon Nov  9 21:06:46 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Roll over and die. - Mon Nov  9 21:06:46 2015
<br><br><font color=teal>*Hanae(Ej900) says: So fire. - Mon Nov  9 21:06:46 2015
<br><br><font color=teal>*Hanae(Ej900) says: Such* - Mon Nov  9 21:06:46 2015
<br><br><font color=yellow>*Tetsumi Jiki(Bloodline Killer X) turns around to face Hanae.* - Mon Nov  9 21:07:37 2015
<br><br><font color=teal>*Hanae(Ej900) says: I mean you did lose the bet. - Mon Nov  9 21:08:28 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Will do, buddy. Be safe...don't get ass raped. - Mon Nov  9 21:09:20 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: <omit last part> - Mon Nov  9 21:09:20 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: ..... - Mon Nov  9 21:09:20 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: You won that bet by cheatin', I won't pay up on those grounds. - Mon Nov  9 21:09:20 2015
<br><br><font color=teal>*Kurt(Zygman) says: They'll solve their problems soon enough. - Mon Nov  9 21:10:11 2015
<br><br><font color=teal>*Hanae(Ej900) says: Not really cheating..It's more you didn't read teh fine print. But fine go ahead with your day. - Mon Nov  9 21:10:11 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Tch. - Mon Nov  9 21:11:02 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: If you have an issue, take it up with the Hokuma clan's Koji. - Mon Nov  9 21:11:02 2015
<br><br><font color=yellow>*Tetsumi Jiki(Bloodline Killer X) kept walking away, he didn't want to take up his personal issues with anyone. Only with the individual alone." either way he'd to leave to be alone once again.* - Mon Nov  9 21:14:27 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) thinks: *voice* "I could always destroy this place, think of it as a deal for allowing me to stretch my legs for a second or two.. Haha." - Mon Nov  9 21:16:09 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) thinks: Shut Up. - Mon Nov  9 21:16:09 2015
<br><br><font color=teal>*Leo(XvXvXvX) says: Hmm - Mon Nov  9 21:18:43 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Peace out, man... - Mon Nov  9 21:18:43 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Yo, Gourd-Guy. You a'right? - Mon Nov  9 21:18:43 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Yep. - Mon Nov  9 21:18:43 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Cus you don't look a'right. If you need someone to talk to, I'm a part time Psychologist yo. - Mon Nov  9 21:19:34 2015
<br><br><font color=teal>*Kurt(Zygman) says: He just lost a bullshit of a bet, He'll be alright though. - Mon Nov  9 21:19:34 2015
<br><br><font color=teal>*Leo(XvXvXvX) says: THIS IS GETTING ANNOYING! - Mon Nov  9 21:19:34 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) thinks: . . .These people are ann- - Mon Nov  9 21:19:34 2015
<br><br><font color=teal>*Leo(XvXvXvX) says: -pants- - Mon Nov  9 21:19:34 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) thinks: Seems I'm not the only one who thinks so. - Mon Nov  9 21:20:25 2015
<br><br><font color=yellow>*Tetsumi Jiki(Bloodline Killer X) shifted a glance over towards Mitsunara's direction, "I'm fine." but it was obvious his voice held anger, hell it was visible on his face.* - Mon Nov  9 21:21:16 2015
<br><br><font color=teal>*Leo(XvXvXvX) says: I really need something to do with my hnds. - Mon Nov  9 21:22:08 2015
<br><br><font color=teal>*Leo(XvXvXvX) says: my time i mean. - Mon Nov  9 21:22:08 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) whispers: Fam, give me a reason to ditch these losers D:) - Mon Nov  9 21:22:08 2015
<br><br><font color=teal>*Kana(Zoey-Lover) says: An angry loner, now I've seen it all. - Mon Nov  9 21:22:59 2015
<br><br><font color=teal>*Leo(XvXvXvX) thinks: fire, fire, fire.. - Mon Nov  9 21:23:50 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) thinks: WRRRRRRRRRRRRYYYYYYYYYY. - Mon Nov  9 21:23:50 2015
<br><br><font color=yellow>*Tetsumi Jiki(Bloodline Killer X) sighed and left. He wasn't in the right mind frame.* - Mon Nov  9 21:23:50 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) thinks: Is the lack of sleep getting to me again?... No No... I'm just overeacting. - Mon Nov  9 21:24:41 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) thinks: I need to release my stress on someone again. . . - Mon Nov  9 21:24:41 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: ... Fair enough, Yo. - Mon Nov  9 21:24:41 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Keep the offer in mind if you ever change your mind. - Mon Nov  9 21:24:41 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: ...Anyway, if I'm not doin that.. - Mon Nov  9 21:25:32 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Anyone game for a freindly sparring match? - Mon Nov  9 21:25:32 2015
<br><br><font color=teal>*Kurt(Zygman) says: Sorry but limited on time again. - Mon Nov  9 21:25:32 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: Friendly match? - Mon Nov  9 21:25:32 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: Hm. . . - Mon Nov  9 21:25:32 2015
<br><br><font color=yellow>*Tetsumi Jiki(Bloodline Killer X) kept on walking away from the area, he didn't even pay any mind to Kana at all.* - Mon Nov  9 21:25:32 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: I probably shouldn't. - Mon Nov  9 21:25:32 2015
<br><br><font color=yellow>*Tetsumi Jiki(Bloodline Killer X) heard Kana's voice, he'd mumble a few words, his stride slowing down until he neared the rock north west of the village.* - Mon Nov  9 21:28:06 2015
<br><br><font color=yellow>*Tetsumi Jiki(Bloodline Killer X) turned around to face Kana, his face seemed bland.. He didn't even show case any type of emotions even with Kana this near."It doesn't matter."* - Mon Nov  9 21:31:31 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) thinks: I fucking hate... people... - Mon Nov  9 21:31:31 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) thinks: I've never felt like this in... ages. - Mon Nov  9 21:31:31 2015
<br><br><font color=teal>*Kana(Zoey-Lover) says: Talk to me. - Mon Nov  9 21:33:13 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Tch... - Mon Nov  9 21:33:13 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: I hate people... - Mon Nov  9 21:33:13 2015
<br><br><font color=teal>*Kana(Zoey-Lover) says: And you're taking it out on me because . . .? - Mon Nov  9 21:34:56 2015
<br><br><font color=yellow>*Tetsumi Jiki(Bloodline Killer X) though as he said that, he'd caught himself... How would Kana take that? Would she take it as an insult? Overeacting he'd storm over towards the large boulder and attempt to punch it. Though in doing so, iron sand materlized out of thin air, protecting him from potentially harming himself."Fuckin' Sand."* - Mon Nov  9 21:35:47 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: I.. Didn't mean to.. - Mon Nov  9 21:36:38 2015
<br><br><font color=teal>*Kana(Zoey-Lover) says: . . . . - Mon Nov  9 21:36:38 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: I'm.. just a bit upset. I guess the lack of sleep is messin' with me again. - Mon Nov  9 21:37:29 2015
<br><br><font color=teal>*Kana(Zoey-Lover) says: Then go to sleep. - Mon Nov  9 21:38:20 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Can't... - Mon Nov  9 21:38:20 2015
<br><br><font color=teal>*Kana(Zoey-Lover) says: Explain. - Mon Nov  9 21:39:12 2015
<br><br><font color=yellow>*Tetsumi Jiki(Bloodline Killer X) turned around from the large stone, his back sliding against it until he was seated on the sand below.* - Mon Nov  9 21:40:03 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: When ever I sleep, I'm plagued with bad dreams.. Nasty dreams. - Mon Nov  9 21:40:54 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Its better off not sleeping. - Mon Nov  9 21:40:54 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) thinks: That's the run down, i'll give em'. - Mon Nov  9 21:41:45 2015
<br><br><font color=teal>*Kana(Zoey-Lover) says: Oh, right. - Mon Nov  9 21:42:36 2015
<br><br><font color=teal>*Kana(Zoey-Lover) says: Whatever. - Mon Nov  9 21:42:36 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Mmmm. - Mon Nov  9 21:43:28 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: *sigh* - Mon Nov  9 21:45:10 2015
<br><br><font color=yellow>*Tetsumi Jiki(Bloodline Killer X) closed his eyes, that was the closest thing he'd gotten to sleep. Though, the teen was still awake, his eyes were just closed.* - Mon Nov  9 21:47:44 2015
<br><br><font color=yellow>*Tetsumi Jiki(Bloodline Killer X) continued to act as if he was sleeping, a trick Kana herself played on him in the past.* - Mon Nov  9 21:51:08 2015
<br><br><font color=yellow>*Tetsumi Jiki(Bloodline Killer X) heard Kana's voice, he wondered what the hell he'd done. Right before the rock would've hit his face, sand materialized protecting the aparent sleeping teen. In his mind he exclaimed, "HA!" and continued the act.* - Mon Nov  9 21:54:33 2015
<br><br><font color=teal>*Kana(Zoey-Lover) says: Oh? Even when sleeping? - Mon Nov  9 21:55:24 2015
<br><br><font color=yellow>*Tetsumi Jiki(Bloodline Killer X) opened his eyes, on opening it seemed to be an angered glare, though a litle bit jelous than anything. "Oh?"* - Mon Nov  9 21:57:58 2015
<br><br><font color=yellow>*Tetsumi Jiki(Bloodline Killer X) looked away while folding his arms across his chest."I told you, I don't sleep."* - Mon Nov  9 22:00:32 2015
<br><br><font color=teal>*Kana(Zoey-Lover) says: I'll remember that. - Mon Nov  9 22:01:23 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Mmmm. I so will I... - Mon Nov  9 22:01:23 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: And so will I* - Mon Nov  9 22:01:23 2015
<br><br><font color=teal>*Kana(Zoey-Lover) says: Jealous? - Mon Nov  9 22:02:14 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: No... - Mon Nov  9 22:02:14 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: *continued to look away* - Mon Nov  9 22:02:14 2015
<br><br><font color=teal>*Kana(Zoey-Lover) says: Oh? Is that so? I guess I'll just go speak to him now. - Mon Nov  9 22:03:05 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: ...... - Mon Nov  9 22:03:56 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Fine! - Mon Nov  9 22:03:56 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Go look for him... - Mon Nov  9 22:04:48 2015
<br><br><font color=teal>*Kana(Zoey-Lover) says: . . . - Mon Nov  9 22:04:48 2015
<br><br><font color=teal>*Kana(Zoey-Lover) says: Fine then. - Mon Nov  9 22:04:48 2015
<br><br><font color=teal>*Kana(Zoey-Lover) says: I will. - Mon Nov  9 22:04:48 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Humph! - Mon Nov  9 22:05:39 2015
<br><br><font color=yellow>*Tetsumi Jiki(Bloodline Killer X) reached out for Kana's hand the moment she tried to leave, "No..I was joking.."* - Mon Nov  9 22:06:30 2015
<br><br><font color=yellow>*Tetsumi Jiki(Bloodline Killer X) looked into Kana's eyes, as he did he'd stand up to face her."I.. didn't mean it.." his hand still holding on to hers while he looked dead into her eyes.* - Mon Nov  9 22:09:04 2015
<br><br><font color=teal>*Kana(Zoey-Lover) says: I know. Are you calm now? - Mon Nov  9 22:10:46 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: .... - Mon Nov  9 22:10:46 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: ...Yes... - Mon Nov  9 22:10:46 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: You're here... - Mon Nov  9 22:10:46 2015
<br><br><font color=yellow>*Tetsumi Jiki(Bloodline Killer X) continued to look her dead in her face, even when she'd looked away. He'd take a step forward, attempting to wrap his arms around her for a hug. If allowed to, he'd whisper."Why aren't you in a good mood?" he discarded his own emotions to tend to Kana's own. Though he wondered what Kana was going to say before she stopped, or caught herself before messing up her outward appearance she so dared to keep.* - Mon Nov  9 22:16:44 2015
<br><br><font color=yellow>*Tetsumi Jiki(Bloodline Killer X) let go of Kana, "We're a couple right? We should be able to speak about certain things now an' again. But, I guess you wouldn't even if I asked. Safe Travels." his arms went back to his side as he watched Kana leave, most likely towards the village's gates.* - Mon Nov  9 22:24:25 2015
<br><br><font color=teal>*Kana(Zoey-Lover) says: Don't be emo. - Mon Nov  9 22:25:16 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Tch... I'll try not to... - Mon Nov  9 22:25:16 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: Regardless. - Mon Nov  9 22:27:50 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: Let's go Nari. - Mon Nov  9 22:27:50 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Shall we, then? - Mon Nov  9 22:27:50 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: Ready when you are. - Mon Nov  9 22:27:50 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: H-Hey jiki.. - Mon Nov  9 22:28:41 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: I-I need to t-talk with you.. - Mon Nov  9 22:28:41 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: .... - Mon Nov  9 22:28:41 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Mhmm? What for? - Mon Nov  9 22:28:41 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: S-Someone pretended to b-be you..A-And threatened me.. - Mon Nov  9 22:28:41 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: A-And hanai.. - Mon Nov  9 22:28:41 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: ... - Mon Nov  9 22:28:41 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: What?... - Mon Nov  9 22:28:41 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: ...... - Mon Nov  9 22:29:32 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: Y-Yea.. - Mon Nov  9 22:29:32 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: Work time.. - Mon Nov  9 22:29:32 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: Their voice w-was changed..a-and they said their name w-was jiki. - Mon Nov  9 22:29:32 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: A-And dashed o-off.. - Mon Nov  9 22:29:32 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) thinks: I'm.. going... to pummel whomever it is.... I'm destroying... them... - Mon Nov  9 22:30:24 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: T-They probably had a m-mask on.. - Mon Nov  9 22:30:24 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: Their voice was changed? As in--... - Mon Nov  9 22:30:24 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: F-From how their v-voice was.. - Mon Nov  9 22:30:24 2015
<br><br><font color=teal>*Mana(Mirandawashere) says: H-hey...d-do you w-want to...s-spar? - Mon Nov  9 22:30:24 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: ... - Mon Nov  9 22:31:15 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) thinks: SHUKAKU, SQUARE UP! - Mon Nov  9 22:31:15 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: How did their mask looks...? - Mon Nov  9 22:31:15 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: I-I didn't see it...They were at m-my door.. - Mon Nov  9 22:32:06 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) thinks: Shukaku:FIGHT ME BITCH! - Mon Nov  9 22:32:06 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: And I-I didn't let them in.. - Mon Nov  9 22:32:06 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) thinks: -omit- - Mon Nov  9 22:32:06 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: Smart.. - Mon Nov  9 22:32:06 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: ...... - Mon Nov  9 22:32:06 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: You didn't get a look at them, right? - Mon Nov  9 22:32:06 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: N-No..b-but their voice was s-sort of distorted..L-Like a voice c-changer.. - Mon Nov  9 22:32:57 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) thinks: Notice me, Tetsumi. - Mon Nov  9 22:32:57 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) thinks: -omit- - Mon Nov  9 22:32:57 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: I see... - Mon Nov  9 22:33:48 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: Jiki. - Mon Nov  9 22:33:48 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: Be careful with who you talk with.. - Mon Nov  9 22:33:48 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Mmmm?... - Mon Nov  9 22:33:48 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: I barely talk to people.. - Mon Nov  9 22:34:40 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: But whomever it is... - Mon Nov  9 22:34:40 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: Knows you well. - Mon Nov  9 22:34:40 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: ...*smiled*.... - Mon Nov  9 22:34:40 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: ...Your sadist aren't you... - Mon Nov  9 22:34:40 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Mhmm... - Mon Nov  9 22:35:31 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: S-Sadist..? - Mon Nov  9 22:35:31 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: Meh..Doesn't matter to me, kill them if you want whenever they reveal themself. - Mon Nov  9 22:35:31 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Mmmm. - Mon Nov  9 22:36:22 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Honestly, If I did... I'd be further up a creek with this village. - Mon Nov  9 22:36:22 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Anyway... tell me more. - Mon Nov  9 22:37:13 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: Sounds hot.. - Mon Nov  9 22:37:13 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: H-Huh? - Mon Nov  9 22:37:13 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: O-Oh uhm. - Mon Nov  9 22:37:13 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: T-There isn't much more..T-They said that uhm.. - Mon Nov  9 22:37:13 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: They'd k-kill hanai.. - Mon Nov  9 22:37:13 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: A-And be k-kazekage. - Mon Nov  9 22:37:13 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: .... - Mon Nov  9 22:38:04 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Is that all? - Mon Nov  9 22:38:04 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: ... - Mon Nov  9 22:38:04 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: Y-Yea..for the m-most part.. - Mon Nov  9 22:38:04 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Okay... Good to know. - Mon Nov  9 22:38:04 2015
<br><br><font color=yellow>*Tetsumi Jiki(Bloodline Killer X) storms off.* - Mon Nov  9 22:38:56 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) thinks: Well...Seems I got myself a another mission... - Mon Nov  9 22:38:56 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: 9so - Mon Nov  9 22:38:56 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: U-Uhm.. - Mon Nov  9 22:39:47 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: Jiki.. - Mon Nov  9 22:39:47 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: You're going to report aren't you... - Mon Nov  9 22:39:47 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Report? Sure Sure. Let's go with that. - Mon Nov  9 22:40:38 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: .... - Mon Nov  9 22:40:38 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: Meh.. - Mon Nov  9 22:40:38 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) thinks: Less work.. - Mon Nov  9 22:40:38 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: *leaves* - Mon Nov  9 22:40:38 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) whispers: (if u want - Mon Nov  9 22:41:29 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) whispers: (i'll make an alt 4 u to spread the sabaku clan with - Mon Nov  9 22:41:29 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) whispers: (?) - Mon Nov  9 22:41:29 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) whispers: (:3 - Mon Nov  9 22:41:29 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) whispers: (SPREAD DA CLAN - Mon Nov  9 22:41:29 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) whispers: (Nah. I'll most likely die with my techs.) - Mon Nov  9 22:41:29 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) whispers: (ah well oki - Mon Nov  9 22:41:29 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) whispers: (remember to be my child >;3 - Mon Nov  9 22:41:29 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) whispers: (u can have my clan and stuff - Mon Nov  9 22:41:29 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) whispers: (which is op - Mon Nov  9 22:42:20 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Both of you...Bend over and cough. I want to see those cheeks. - Mon Nov  9 23:07:56 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Now. - Mon Nov  9 23:07:56 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Spread Em'! - Mon Nov  9 23:07:56 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: You can't handle them! - Mon Nov  9 23:08:48 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Bitch please, this ten inch dick will fit in your breast while you suck on the tip. Now, open wide. - Mon Nov  9 23:09:39 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: -omit before he's merked- - Mon Nov  9 23:10:30 2015
<br><br><font color=yellow>*Tetsumi Jiki(Bloodline Killer X) appeared back on the scene."Couldn't find the bastard."* - Mon Nov  9 23:13:55 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: I generally prefer not to use this, too.... Heh. - Mon Nov  9 23:27:34 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: ..... - Mon Nov  9 23:33:32 2015
<br><br><font color=teal>*Mana(Mirandawashere) thinks: He has eyes like that one guy... - Mon Nov  9 23:39:31 2015
<br><br><font color=teal>*Mana(Mirandawashere) thinks: The one that died. - Mon Nov  9 23:39:31 2015
