<br><font color=yellow>*Katsune(Shimizu3598) picks up the glass and eyes it absent-mindedly for a while as she speaks.

"Never wearing a headband again. I get restless sometimes though. Been to war. . .been forced to kill a lot of people. That made me restless." she says, careful to not say "bloodthirsty."

She reaches up to pour tea into her mouth. Eyes wander while she sips, visibly gulping once or twice. Her glass is emptied by an inch or two, showing that she really did drink it.

She sets the glass down afterwords.* - Sun Oct  4 05:23:50 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: With the worst economy and a GDP that made me cough up blood. - Sun Oct  4 17:24:54 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Started from the Bottom, Now we're here. - Sun Oct  4 17:24:54 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: -omit- - Sun Oct  4 17:24:54 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Where do you think I can get 50 million yen from? - Sun Oct  4 17:24:54 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Hm. - Sun Oct  4 17:24:54 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Well. - Sun Oct  4 17:24:54 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: There's an easy method. - Sun Oct  4 17:25:45 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: You'd probably get a free promotion for it as well. - Sun Oct  4 17:25:45 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: But you'll oppose it. - Sun Oct  4 17:25:45 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: And what's that? - Sun Oct  4 17:25:45 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Continue Noriko's witch hunt. - Sun Oct  4 17:25:45 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: Eh, so. . . About a katana from the Gezo? - Sun Oct  4 17:25:45 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: And send the bodies to the Gezo. - Sun Oct  4 17:25:45 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Sir Hassan who do I give this money to for the construction of rebuilding and  furnishing the church... - Sun Oct  4 17:26:36 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) thinks: Witch hunt? - Sun Oct  4 17:26:36 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: That goes against what the village stands for. - Sun Oct  4 17:26:36 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Exactly. - Sun Oct  4 17:26:36 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Give it to an investor. - Sun Oct  4 17:26:36 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Would you accept. - Sun Oct  4 17:27:28 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Shinobi Donations? - Sun Oct  4 17:27:28 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: OR constructor. - Sun Oct  4 17:27:28 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: No. - Sun Oct  4 17:27:28 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: How much do you need? - Sun Oct  4 17:27:28 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: This is a village, not a charity case. - Sun Oct  4 17:27:28 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) thinks: A baptism tub, holy water supply, a bible for every member ... My attendence will skyrocket - Sun Oct  4 17:27:28 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I mean, Isn't it natural I'm a shinobi of this Village. - Sun Oct  4 17:28:19 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I'd like to donate some funds to help it get back on it's feet. - Sun Oct  4 17:28:19 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: I won't take anything from you guys. - Sun Oct  4 17:28:19 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Thats like a father taking money from his kid. - Sun Oct  4 17:28:19 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Completely out of the question. - Sun Oct  4 17:28:19 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I'll buy you a years supply of cigarrettes. - Sun Oct  4 17:29:10 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) thinks: And this entire conversation started just because I asked about a katana. Sheesh. - Sun Oct  4 17:29:10 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: *cough* - Sun Oct  4 17:29:10 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: As good as that sounds...I will have to decline. - Sun Oct  4 17:29:10 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Hm? - Sun Oct  4 17:29:10 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Well I think I should start on that construction... - Sun Oct  4 17:30:01 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: You were safer back in Kirigakure. - Sun Oct  4 17:30:01 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Plus Koeki is really angry. - Sun Oct  4 17:30:01 2015
<br><br><font color=teal>*Lera(Bailey42) says: I don't blame her. Everyone has upped and left, come here instead. - Sun Oct  4 17:30:01 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: She wants all Kiri ninja back in the village. - Sun Oct  4 17:30:01 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: She wrote me a letter. - Sun Oct  4 17:30:01 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: All caps. - Sun Oct  4 17:30:01 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Bold. - Sun Oct  4 17:30:01 2015
<br><br><font color=teal>*Lera(Bailey42) says: Anyway... - Sun Oct  4 17:30:52 2015
<br><br><font color=teal>*Lera(Bailey42) says: Pops... - Sun Oct  4 17:30:52 2015
<br><br><font color=teal>*Lera(Bailey42) says: I got something real important to tell you... - Sun Oct  4 17:30:52 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Pops? - Sun Oct  4 17:30:52 2015
<br><br><font color=teal>*Lera(Bailey42) says: Well, you're basically my dad now. - Sun Oct  4 17:30:52 2015
<br><br><font color=teal>*Lera(Bailey42) says: So pops. - Sun Oct  4 17:30:52 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) thinks: She's definitely gotten bolder. - Sun Oct  4 17:30:52 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) thinks: She used to be too shy to speak... - Sun Oct  4 17:30:52 2015
<br><br><font color=teal>*Lera(Bailey42) says: Anyways.. - Sun Oct  4 17:30:52 2015
<br><br><font color=teal>*Lera(Bailey42) says: Reaaaall important. - Sun Oct  4 17:30:52 2015
<br><br><font color=teal>*Lera(Bailey42) says: ..... - Sun Oct  4 17:34:17 2015
<br><br><font color=teal>*Lera(Bailey42) thinks: Did he just pretend I didn't say anything? - Sun Oct  4 17:35:08 2015
<br><br><font color=teal>*Kilm(Vysasi) thinks: I'm backing off . . . - Sun Oct  4 17:35:08 2015
<br><br><font color=yellow>*Katsune(Shimizu3598) wanders up to Kilm with arms crossed. She whispers something.* - Sun Oct  4 17:36:51 2015
<br><br><font color=teal>*Katsune(Shimizu3598) whispers: Spar....? - Sun Oct  4 17:36:51 2015
<br><br><font color=teal>*Katsune(Shimizu3598) whispers: Testing out a new jutsu. Don't want anyone watching. - Sun Oct  4 17:37:42 2015
<br><br><font color=teal>*Kilm(Vysasi) whispers: Right now . . .Yes . . . Good idea . . . Let's leave before . . .  - Sun Oct  4 17:37:42 2015
<br><br><font color=teal>*Kilm(Vysasi) whispers: Okay. - Sun Oct  4 17:37:42 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: U-Uh.... - Sun Oct  4 17:37:42 2015
<br><br><font color=yellow>*Katsune(Shimizu3598) nods. She wanders off.* - Sun Oct  4 17:37:42 2015
<br><br><font color=teal>*Kilm(Vysasi) whispers: But wait . . . I want to see the reactions. - Sun Oct  4 17:38:33 2015
<br><br><font color=teal>*Katsune(Shimizu3598) whispers: (u realize u can't hear her whispering without t2 hearing tho right?) - Sun Oct  4 17:38:33 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Well this has become dangerous *Medic on standby - Sun Oct  4 17:38:33 2015
<br><br><font color=teal>*Katsune(Shimizu3598) whispers: 9that makes this pretty boring) - Sun Oct  4 17:39:24 2015
<br><br><font color=teal>*Kilm(Vysasi) whispers: (i did hear he's gonna kill him tho) - Sun Oct  4 17:39:24 2015
<br><br><font color=teal>*Kilm(Vysasi) whispers: (so got curious) - Sun Oct  4 17:39:24 2015
<br><br><font color=teal>*Katsune(Shimizu3598) whispers: (ohisee) - Sun Oct  4 17:40:16 2015
<br><br><font color=teal>*Kilm(Vysasi) whispers: Yeah, Alright, Let's go. - Sun Oct  4 17:41:58 2015
<br><br><font color=teal>*Katsune(Shimizu3598) whispers: Na. Apparently sparring with me isn't all that interesting for you. Don't wanna bore you. - Sun Oct  4 17:42:49 2015
<br><br><font color=yellow>*Katsune(Shimizu3598) takes a few steps away from Kilm. Her expression's a bit sour.* - Sun Oct  4 17:43:40 2015
<br><br><font color=teal>*Kilm(Vysasi) whispers: I'm sorry. - Sun Oct  4 17:43:40 2015
<br><br><font color=teal>*Kilm(Vysasi) whispers: I just got curious. - Sun Oct  4 17:43:40 2015
<br><br><font color=teal>*Kilm(Vysasi) whispers: Let's go. - Sun Oct  4 17:43:40 2015
<br><br><font color=teal>*Katsune(Shimizu3598) whispers: Naaaaa. - Sun Oct  4 17:43:40 2015
<br><br><font color=teal>*Katsune(Shimizu3598) whispers: You're Fujitora's buddy now anyway right? - Sun Oct  4 17:44:32 2015
<br><br><font color=teal>*Katsune(Shimizu3598) whispers: How do I know you won't tell him what my jutsus are? And elemental affinities? - Sun Oct  4 17:44:32 2015
<br><br><font color=yellow>*Katsune(Shimizu3598) says all of this in a way that suggests sarcasm or passive-aggression.* - Sun Oct  4 17:44:32 2015
<br><br><font color=teal>*Kilm(Vysasi) whispers: We've made an agreement towards eachother . . . That does not mean me and him are best friends. - Sun Oct  4 17:45:23 2015
<br><br><font color=teal>*Kilm(Vysasi) whispers: He gets something for me and I get something for him . . . Simple as that. - Sun Oct  4 17:45:23 2015
<br><br><font color=teal>*Katsune(Shimizu3598) whispers: Fine. Let's spar. I need to master this jutsu. - Sun Oct  4 17:46:14 2015
<br><br><font color=teal>*Katsune(Shimizu3598) whispers: Right now it nearly knocks me out just using it once. - Sun Oct  4 17:46:14 2015
<br><br><font color=yellow>*Katsune(Shimizu3598) wanders off, leading the way to where they're gonna spar.* - Sun Oct  4 17:47:05 2015
<br><br><font color=yellow>*Katsune(Shimizu3598) sighs, looking Kilm up and down for a bit. "As much chakra as this fucking jutsu takes...." she says.

"I have no idea how I'll ever master it."

The girl slowly slides her right foot backwards through the sand then. Arms rise and hands clench partially, as if to mimic claws.

Blankly, she stares ahead at her sparring partner.

"Anyway I'm ready whenever."* - Sun Oct  4 17:50:30 2015
<br><br><font color=yellow>*Katsune(Shimizu3598) shakes her head. "I want to spar -you- in specific for a reason." she says.

"I'm positive that -your- body can take it. You're durable enough."* - Sun Oct  4 17:54:46 2015
<br><br><font color=teal>*Kilm(Vysasi) says: To be honest . . . I almost burned myself but we'll see. - Sun Oct  4 17:55:37 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Hm. We'll see, yeah. - Sun Oct  4 17:55:37 2015
<br><br><font color=teal>*Kilm(Vysasi) says: I also didn't want to say what Ushinawa's will was in front of the people there. - Sun Oct  4 17:55:37 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Hmm....? - Sun Oct  4 17:55:37 2015
<br><br><font color=teal>*Kilm(Vysasi) says: But, I never knew all he wanted . . . Was peace. - Sun Oct  4 17:56:28 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Hmmm. Well. - Sun Oct  4 17:56:28 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Spar? - Sun Oct  4 17:56:28 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Sure. - Sun Oct  4 17:57:20 2015
<br><br><font color=yellow>*Katsune(Shimizu3598) nods. The girl then lifts her arms, quickly. She forms the tiger seal. Quite suddenly, the girl then kneels down. Palms smack against the ground, hard and face.

Suddenly, a wall begins rising up all around Kilm. An earthen, rocky wall hard as steel. It starts roughly fifty feet away from him in all directions, making it impossible for even him to out-run it at the speed it's rising. Even the floor would turn to stone, presumably making hiding like a mole impossible since the floor has chakra in it.

It'd form a dome. Kat intends to trap him in it.* - Sun Oct  4 17:59:02 2015
<br><br><font color=yellow>*Katsune(Shimizu3598) sighs. She senses Kilm escaping. The girl realizes though, she can't catch him in the trap she planned.

In response, Kat simply begins sprinting forwards, running directly over the corridor. Kilm is leaving as the corridor rises so kat simply....never lets the corridor finish forming entirely. She stops feeding it chakra and chases after him, eager to not let him to too far. She needs to out-run him.

Mid-stride, after taking only a few steps, Kat places her hands together to form the tiger seal. Abruptly, chakra is shoved throughout her body. And with that, she uses the shunshin jutsu.

As a result, the girl would end up directly behind Kilm. She comes skidding to a stop, and she's falling backwards as she does so. Legs are aimed to ram into Kilm's own legs and trip him.

She needs him off-balance. At her speed, it's questionable as to whether or not her shunshin speed isn't what determines how fast her kick is.* - Sun Oct  4 18:10:08 2015
<br><br><font color=yellow>*Katsune(Shimizu3598) turns mid-slide as Kilm tries to stumble up to his feet. Even as he's forming his handseal, Kat's aiming to plant her fist into his side. She shoves it as quickly as she can while attempting to throw herself out of the way of his fireball.

Kat's fist will probably hit him since he's tripping but...maybe not. If it doesn't, her fist instead meets the earth.

And then....an extremely loud, ear-splittingly loud bang is heard. An explosion is made, from this point blank range.

It streams forwards like a wave. Likely, Kilm is caught since he simply can not out-run her by much even outside of shunshin.

Should Kilm get caught in it....he's probably left hardly able to even move.

He'd also be sent flying backwards, by maybe fifty or sixty feet...unless he has certain balance-related perks.

Even so. Kilm's blast is a danger, but Kat's landmine fist explosion probably eats it entirely.* - Sun Oct  4 18:16:57 2015
<br><br><font color=yellow>*Katsune(Shimizu3598) slowly pulls herself up from the ground, with limbs trembling a bit. A weak, half-hearted, apologetic smirk is produced. One that suggests it's forced.

Judging by body language though, the sheer chakra cost hurt her about as much as the blast hurt him.

"Hmph." she scoffs.

"Well. Looks like you're hurt as much as I hoped. Finally."* - Sun Oct  4 18:25:29 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Made that jutsu for Erebus. - Sun Oct  4 18:26:20 2015
<br><br><font color=teal>*Kilm(Vysasi) says: And now that he's gone? - Sun Oct  4 18:27:12 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Now...gotta find other uses for it. - Sun Oct  4 18:28:03 2015
<br><br><font color=teal>*Kilm(Vysasi) says: You've already found one. - Sun Oct  4 18:28:03 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Yeah. - Sun Oct  4 18:28:03 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: That was exhausting though. - Sun Oct  4 18:28:03 2015
<br><br><font color=teal>*Kilm(Vysasi) says: By that I mean . . . You can kick my ass even easier. - Sun Oct  4 18:28:03 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Well....hmmm. - Sun Oct  4 18:28:54 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: No. Never "kicked your ass" before. - Sun Oct  4 18:28:54 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: I'm surprised....you didn't dodge my kick. - Sun Oct  4 18:28:54 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Must not have heard or sensed me coming. - Sun Oct  4 18:29:45 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Was too focused on leaving the dome. - Sun Oct  4 18:29:45 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Yeah . . . Gotta train that hearing . . .  - Sun Oct  4 18:29:45 2015
<br><br><font color=teal>*Kilm(Vysasi) says: But not for my ears to explode from the sound that jutsu produces . . . - Sun Oct  4 18:29:45 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Either way....today I learned....my jutsu's practical. - Sun Oct  4 18:29:45 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Then again...I already knew you had no taijutsu talent. - Sun Oct  4 18:30:36 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Normally getting that close is suicide. - Sun Oct  4 18:30:36 2015
<br><br><font color=teal>*Kilm(Vysasi) says: . . . I should get some more taijutsu talent. - Sun Oct  4 18:30:36 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Should we go to the square? - Sun Oct  4 18:31:28 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Hmm. Yes. - Sun Oct  4 18:31:28 2015
<br><br><font color=yellow>*Katsune(Shimizu3598) turns to lead the way to Sunagakure with a nod. She sprints.* - Sun Oct  4 18:31:28 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) thinks: Big line. . . - Sun Oct  4 18:33:10 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Alright. - Sun Oct  4 18:33:10 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: If you want to be a ninja that represents Sunagakure. - Sun Oct  4 18:34:01 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Stay in this line. - Sun Oct  4 18:34:01 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: If not. - Sun Oct  4 18:34:01 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Leave now. - Sun Oct  4 18:34:01 2015
<br><br><font color=teal>*Lera(Bailey42) thinks: Too late to go back now... - Sun Oct  4 18:34:01 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) thinks: Been one for a while now. - Sun Oct  4 18:34:01 2015
<br><br><font color=yellow>*Katsune(Shimizu3598) turns on her heel to leave.* - Sun Oct  4 18:34:52 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Anyone else? - Sun Oct  4 18:34:52 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Hmmm. - Sun Oct  4 18:34:52 2015
<br><br><font color=teal>*Kilm(Vysasi) says: I wonder what that was about. - Sun Oct  4 18:35:44 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Wonder if he meant leave the square or leave the village. - Sun Oct  4 18:35:44 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: We'll assume square. Seems like a reasonable guy. - Sun Oct  4 18:35:44 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Probably square. - Sun Oct  4 18:35:44 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Not psychotically dangerous like Erebus. - Sun Oct  4 18:35:44 2015
<br><br><font color=teal>*Kilm(Vysasi) says: He said I can keep my citizenship so yeah . . . Square. - Sun Oct  4 18:35:44 2015
<br><br><font color=teal>*Kilm(Vysasi) says: God damn . . . My side hurts -a lot-. - Sun Oct  4 18:35:44 2015
<br><br><font color=teal>*Kilm(Vysasi) says: . . . I forgot to ask Niza if he had any hostile intentions towards you . . . But oh well. - Sun Oct  4 18:36:35 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Probably not. - Sun Oct  4 18:37:26 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: I think... - Sun Oct  4 18:37:26 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: When I master my jutsu.... - Sun Oct  4 18:37:26 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Na. Still got a long way to go. - Sun Oct  4 18:37:26 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Still weak. - Sun Oct  4 18:37:26 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Nah, You're not weak. - Sun Oct  4 18:37:26 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: I can maybe fight some people. Not kage-tier yet. - Sun Oct  4 18:37:26 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Hm . . . Wonder what else we can do to train right now despite these wounds. - Sun Oct  4 18:42:33 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Hmmm. - Sun Oct  4 18:54:30 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Wounds? - Sun Oct  4 18:54:30 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: You're still wounded? From what, that mission? - Sun Oct  4 18:54:30 2015
<br><br><font color=teal>*Kilm(Vysasi) says: The side. - Sun Oct  4 18:55:21 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Anyway. - Sun Oct  4 18:55:21 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Well. - Sun Oct  4 18:55:21 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Gonna go do some stuff. - Sun Oct  4 18:55:21 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Thanks for the spar. - Sun Oct  4 18:56:12 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: I needed it, for testing. - Sun Oct  4 18:56:12 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Anytime. - Sun Oct  4 18:56:12 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: And you were the only person durable enough. - Sun Oct  4 18:56:12 2015
<br><br><font color=yellow>*Katsune(Shimizu3598) nods and turns to lazily wander off.* - Sun Oct  4 18:56:12 2015
<br><br><font color=teal>*Kilm(Vysasi) says: See ya. - Sun Oct  4 18:56:12 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Mhmmmm. - Sun Oct  4 18:57:04 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Arashi, - Sun Oct  4 19:35:28 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Kilm i'll gladly take you. - Sun Oct  4 19:35:28 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Alright. - Sun Oct  4 19:36:19 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Arashi, squads were reformatted due to the soldier influx. - Sun Oct  4 19:36:19 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: D-Kilm is on your squad and so is Mirai. - Sun Oct  4 19:36:19 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Pleasure to meet you, Arashi. - Sun Oct  4 19:36:19 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: I don't want to be in a squad. - Sun Oct  4 19:40:35 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: I'm not some charity case. - Sun Oct  4 19:40:35 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: So sir Hassan. - Sun Oct  4 19:40:35 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: About that katana. - Sun Oct  4 19:41:26 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: I'd like to prove myself now. - Sun Oct  4 19:41:26 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: Arashi, did you just call me a girl? - Sun Oct  4 19:42:17 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: Oh, right. - Sun Oct  4 19:42:17 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: . . . - Sun Oct  4 19:43:08 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) thinks: Dear lord Jashin. - Sun Oct  4 19:43:08 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) thinks: Please stop this. - Sun Oct  4 19:43:08 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Shall we go ahead and get to know each other more? - Sun Oct  4 19:44:51 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Alright. - Sun Oct  4 19:44:51 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Hm? - Sun Oct  4 19:47:24 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: How are you going to prove it to me? - Sun Oct  4 19:47:24 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: A fight, right? - Sun Oct  4 19:48:16 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Do you think you could beat me? - Sun Oct  4 19:48:16 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: Don't worry about is Alastor.  . - Sun Oct  4 19:48:16 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Matter of fact. - Sun Oct  4 19:48:16 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: . .  No, but I can certainly last longer than last time. - Sun Oct  4 19:48:16 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Fight Alastr. - Sun Oct  4 19:48:16 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Lasting will only prove you got slightly better. - Sun Oct  4 19:49:07 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: . .  Eh, alright then. - Sun Oct  4 19:49:07 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Alastor. - Sun Oct  4 19:49:07 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: He uses ninjutsu. - Sun Oct  4 19:49:07 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Fire ninjutsu. - Sun Oct  4 19:49:07 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Loot out for that. - Sun Oct  4 19:49:07 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: HE also has a Katana. - Sun Oct  4 19:49:07 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Fight him in mid range. - Sun Oct  4 19:49:07 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: Tanto, I have a tanto. - Sun Oct  4 19:49:07 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: And keep up a constant flow of attacks. - Sun Oct  4 19:49:07 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Make him unable to use handseals. - Sun Oct  4 19:49:58 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: . .  Well damn. - Sun Oct  4 21:39:12 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: Oi, Seisuke-Sensei if you can hear me. Teach me how to bring forth a dragon! - Sun Oct  4 21:39:12 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) thinks: Dragons are awesome. - Sun Oct  4 21:39:12 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) thinks: Wonder if there is like a Lightning Dragon. - Sun Oct  4 21:40:03 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Wow you guys have to teach me to do some of that stuff. - Sun Oct  4 22:08:12 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Its was all like Roar.. Pew pew..Slice boom bang crash slice ahhhhhh falll. - Sun Oct  4 22:08:12 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Yeah. . . - Sun Oct  4 22:10:46 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Kinda bored. - Sun Oct  4 22:10:46 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Considering asking for a headband just to get to some action. - Sun Oct  4 22:11:37 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: Oh? - Sun Oct  4 22:11:37 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: 'Considering' it, yes. - Sun Oct  4 22:11:37 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: I see. - Sun Oct  4 22:11:37 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: My fighting style's a mess though. - Sun Oct  4 22:11:37 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: Why not ask one of the people around to a spar? I'd offer but we both know how it'll end. - Sun Oct  4 22:11:37 2015
