<br><font color=yellow>*Katsune(Shimizu3598) slowly pulls herself off of Index. Carefully, Kat then rolls over to face the east. Kat pulls her legs close. Once they're close, she reaches forwards and wraps her arms around them snuggly.

For a brief moment, Kat burries her face into her legs.

"I thought I could trust Kilm. After...Zetsumo beated me...one time. A really bad beating. Kilm was the only one I could turn to....even though I knew he was twisted."* - Wed Nov  4 02:48:57 2015
<br><br><font color=yellow>*Katsune(Shimizu3598) slowly sits up in bed. Her legs are left sprawled out underneath her form. Palms rest on the mattress inbetween her legs. Eyes wander.

"He asked me...to find a way to bring him back." Kat says.* - Wed Nov  4 04:42:27 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: No.... - Wed Nov  4 04:43:18 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Even if it's possible.... - Wed Nov  4 04:43:18 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: That's not right. - Wed Nov  4 04:43:18 2015
<br><br><font color=teal>*Index(Jjking217) says: I agree... - Wed Nov  4 04:44:09 2015
<br><br><font color=teal>*Index(Jjking217) says: If you did manage.. - Wed Nov  4 04:44:09 2015
<br><br><font color=teal>*Index(Jjking217) says: That wouldn't be your Kilm. - Wed Nov  4 04:44:09 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: He wanted.... - Wed Nov  4 04:45:52 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: To kill Edge. - Wed Nov  4 04:45:52 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: That was his dying wish. - Wed Nov  4 04:45:52 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Edge's death. - Wed Nov  4 04:45:52 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: He wanted to protect....Sunagakure. - Wed Nov  4 04:45:52 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Actually...I dunno what he wanted. - Wed Nov  4 04:46:43 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: I never talked to him. - Wed Nov  4 04:46:43 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Never learned what he wanted. - Wed Nov  4 04:46:43 2015
<br><br><font color=teal>*Index(Jjking217) says: He wanted your happiness. - Wed Nov  4 04:46:43 2015
<br><br><font color=teal>*Index(Jjking217) says: I think you already knew that. - Wed Nov  4 04:46:43 2015
<br><br><font color=teal>*Index(Jjking217) says: That's what he lived for. - Wed Nov  4 04:46:43 2015
<br><br><font color=teal>*Index(Jjking217) says: That's what his group was probably 'intended' for. - Wed Nov  4 04:46:43 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: ... - Wed Nov  4 04:47:34 2015
<br><br><font color=teal>*Index(Jjking217) says: The more I think about it, I can't help but feel, that this group was intended to make the world he thought you wanted. - Wed Nov  4 04:47:34 2015
<br><br><font color=teal>*Index(Jjking217) says: Kilm....He loved you to the point it killed him, It wasn't natural. He was your friend, but I don't ---Nevermind. - Wed Nov  4 04:49:16 2015
<br><br><font color=teal>*Index(Jjking217) says: I shouldn't have said this much. - Wed Nov  4 04:49:16 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: I could blame him like that. - Wed Nov  4 04:50:08 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: But we spent five years together. - Wed Nov  4 04:50:08 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: He was so loyal. - Wed Nov  4 04:50:08 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: For the longest time, he was all that kept me alive. - Wed Nov  4 04:50:08 2015
<br><br><font color=teal>*Index(Jjking217) says: Can you say honestly. - Wed Nov  4 04:50:08 2015
<br><br><font color=teal>*Index(Jjking217) says: He was altruistic? - Wed Nov  4 04:50:08 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: I think...he might have been. - Wed Nov  4 04:50:59 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: When I was trying not to think of the rape, that wasn't clear. - Wed Nov  4 04:50:59 2015
<br><br><font color=teal>*Index(Jjking217) says: I don't believe he was. - Wed Nov  4 04:50:59 2015
<br><br><font color=teal>*Index(Jjking217) says: It's not possible in Humans. - Wed Nov  4 04:50:59 2015
<br><br><font color=teal>*Index(Jjking217) says: That is one characteristic, no living organism possesses. - Wed Nov  4 04:51:50 2015
<br><br><font color=teal>*Index(Jjking217) says: Maybe I'm just cranky. - Wed Nov  4 04:51:50 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Why? - Wed Nov  4 04:52:41 2015
<br><br><font color=teal>*Index(Jjking217) says: I definately didn't know Kilm as long as you did. - Wed Nov  4 04:52:41 2015
<br><br><font color=teal>*Index(Jjking217) says: But the more I think about him. - Wed Nov  4 04:52:41 2015
<br><br><font color=teal>*Index(Jjking217) says: And the more you tell me. - Wed Nov  4 04:52:41 2015
<br><br><font color=teal>*Index(Jjking217) says: It's all fitting together. - Wed Nov  4 04:52:41 2015
<br><br><font color=teal>*Index(Jjking217) says: -To- clearly. - Wed Nov  4 04:52:41 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Hmm....? - Wed Nov  4 04:52:41 2015
<br><br><font color=yellow>*Katsune(Shimizu3598) sits up. She wipes tears off of her face.

Afterwords Kat turns to face him.

She lifts an eyebrow at him. Her expression's pretty relaxed.* - Wed Nov  4 04:53:32 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: You jealous? - Wed Nov  4 04:54:24 2015
<br><br><font color=teal>*Index(Jjking217) says: Hell yeah, I am. - Wed Nov  4 04:54:24 2015
<br><br><font color=teal>*Index(Jjking217) says: I wish....I could've been with you back then. - Wed Nov  4 04:55:15 2015
<br><br><font color=teal>*Index(Jjking217) says: Known you for that long....helped you through those times. - Wed Nov  4 04:56:06 2015
<br><br><font color=teal>*Index(Jjking217) says: I'm jealous. - Wed Nov  4 04:56:06 2015
<br><br><font color=teal>*Index(Jjking217) says: Definately. - Wed Nov  4 04:56:06 2015
<br><br><font color=teal>*Index(Jjking217) says: But at the same time... - Wed Nov  4 04:56:06 2015
<br><br><font color=teal>*Index(Jjking217) says: I can't help but, be against him. - Wed Nov  4 04:56:57 2015
<br><br><font color=teal>*Index(Jjking217) says: Jealousy is definately a main portion. - Wed Nov  4 04:56:57 2015
<br><br><font color=teal>*Index(Jjking217) says: But....He spent all of what Six years....Trying to date you? - Wed Nov  4 04:57:48 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Hmmm. - Wed Nov  4 04:57:48 2015
<br><br><font color=teal>*Index(Jjking217) says: I've been waiting for the longest time....To hear you say those words to me..But Kilm...I feel like he played around too much....With the time he had. - Wed Nov  4 04:59:31 2015
<br><br><font color=teal>*Index(Jjking217) says: He could've done so much more and gotten to know you better, if he didn't have the 'end game', in his mind. - Wed Nov  4 05:00:22 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: That...may be true. - Wed Nov  4 05:00:22 2015
<br><br><font color=teal>*Index(Jjking217) says: I feel like...He let that run his life. - Wed Nov  4 05:00:22 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: That 'is' true.... - Wed Nov  4 05:01:13 2015
<br><br><font color=teal>*Index(Jjking217) says: But. - Wed Nov  4 05:01:13 2015
<br><br><font color=teal>*Index(Jjking217) says: If he stopped. - Wed Nov  4 05:01:13 2015
<br><br><font color=teal>*Index(Jjking217) says: In a moment like this. - Wed Nov  4 05:01:13 2015
<br><br><font color=teal>*Index(Jjking217) says: Just relaxed. - Wed Nov  4 05:01:13 2015
<br><br><font color=teal>*Index(Jjking217) says: And focused on the now. - Wed Nov  4 05:01:13 2015
<br><br><font color=teal>*Index(Jjking217) says: I feel like he wouldn't have been so fixated. - Wed Nov  4 05:01:13 2015
<br><br><font color=teal>*Index(Jjking217) says: I was thinking. - Wed Nov  4 05:02:04 2015
<br><br><font color=teal>*Index(Jjking217) says: You were his drug. - Wed Nov  4 05:02:04 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: I...'was' the thing that motivated him - Wed Nov  4 05:02:04 2015
<br><br><font color=teal>*Index(Jjking217) says: Exactly.. - Wed Nov  4 05:02:04 2015
<br><br><font color=teal>*Index(Jjking217) says: You gave him his excitment. - Wed Nov  4 05:02:04 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: You're right. That really -isn't- natural. - Wed Nov  4 05:02:04 2015
<br><br><font color=teal>*Index(Jjking217) says: That's probably because. - Wed Nov  4 05:03:47 2015
<br><br><font color=teal>*Index(Jjking217) says: He saw. - Wed Nov  4 05:03:47 2015
<br><br><font color=teal>*Index(Jjking217) says: What I see in you. - Wed Nov  4 05:03:47 2015
<br><br><font color=teal>*Index(Jjking217) says: What draws everyone in closer, and scares some. - Wed Nov  4 05:03:47 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: I did...feed that. I let him keep that drive. That unhealthy drive. - Wed Nov  4 05:04:38 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Because I was using him. - Wed Nov  4 05:04:38 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: I didn't want to die. - Wed Nov  4 05:04:38 2015
<br><br><font color=teal>*Index(Jjking217) says: Katsune do you know what they say. - Wed Nov  4 05:04:38 2015
<br><br><font color=teal>*Index(Jjking217) says: About a dying man? - Wed Nov  4 05:04:38 2015
<br><br><font color=teal>*Index(Jjking217) says: He reveals his true nature in his final moments. - Wed Nov  4 05:05:29 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: No. - Wed Nov  4 05:05:29 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Oh. - Wed Nov  4 05:05:29 2015
<br><br><font color=teal>*Index(Jjking217) says: From what I understand. - Wed Nov  4 05:05:29 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: He did do that. I asked him....to let me kill. I gave him the chance to fight back a second time. - Wed Nov  4 05:06:20 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: I opened his cage. - Wed Nov  4 05:06:20 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: I told him.... - Wed Nov  4 05:06:20 2015
<br><br><font color=teal>*Index(Jjking217) says: Kilm's being was dependent upon yours, he was willing to die if it'd bring you happiness.  - Wed Nov  4 05:06:20 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Yeah.... - Wed Nov  4 05:06:20 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: He.... - Wed Nov  4 05:06:20 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Shouldn't just let me do....what I wanted to do. - Wed Nov  4 05:06:20 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: What I thought was good for myself. - Wed Nov  4 05:07:12 2015
<br><br><font color=teal>*Index(Jjking217) says: Mind if I.. - Wed Nov  4 05:07:12 2015
<br><br><font color=teal>*Index(Jjking217) says: Say something blunt? - Wed Nov  4 05:07:12 2015
<br><br><font color=teal>*Index(Jjking217) says: You can hate me for it. - Wed Nov  4 05:07:12 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Okay. - Wed Nov  4 05:07:12 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Say it. - Wed Nov  4 05:07:12 2015
<br><br><font color=teal>*Index(Jjking217) says: Kilm, was a Parasite. - Wed Nov  4 05:07:12 2015
<br><br><font color=teal>*Index(Jjking217) says: That is how I feel about his existence in this moment. - Wed Nov  4 05:08:03 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: So. - Wed Nov  4 05:08:03 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: There really was nothing I could do. - Wed Nov  4 05:08:54 2015
<br><br><font color=teal>*Index(Jjking217) says: I don't believe so.. - Wed Nov  4 05:08:54 2015
<br><br><font color=teal>*Index(Jjking217) says: I noticed it when I first met you. - Wed Nov  4 05:08:54 2015
<br><br><font color=teal>*Index(Jjking217) says: And do you remember what you told em? - Wed Nov  4 05:08:54 2015
<br><br><font color=teal>*Index(Jjking217) says: me* - Wed Nov  4 05:08:54 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Hmmm. - Wed Nov  4 05:08:54 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: No. - Wed Nov  4 05:08:54 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: I don't. - Wed Nov  4 05:08:54 2015
<br><br><font color=teal>*Index(Jjking217) says: .."If I leave Kilm alone, He'll probably die without me." - Wed Nov  4 05:08:54 2015
<br><br><font color=teal>*Index(Jjking217) says: A Parasite without it's host will die. - Wed Nov  4 05:09:45 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: That's....true. - Wed Nov  4 05:09:45 2015
<br><br><font color=teal>*Index(Jjking217) says: If he couldn't get that 'buzz' he desired. - Wed Nov  4 05:09:45 2015
<br><br><font color=teal>*Index(Jjking217) says: He would've died. - Wed Nov  4 05:09:45 2015
<br><br><font color=teal>*Index(Jjking217) says: If anything. - Wed Nov  4 05:09:45 2015
<br><br><font color=teal>*Index(Jjking217) says: What you did. - Wed Nov  4 05:09:45 2015
<br><br><font color=teal>*Index(Jjking217) says: Was Humane. - Wed Nov  4 05:09:45 2015
<br><br><font color=teal>*Index(Jjking217) says: He did with a since of euphoria. - Wed Nov  4 05:09:45 2015
<br><br><font color=teal>*Index(Jjking217) says: Knowing he made you happy with his death. - Wed Nov  4 05:10:36 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Hmmm. - Wed Nov  4 05:11:28 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Things...are starting to make more sense. - Wed Nov  4 05:14:01 2015
<br><br><font color=teal>*Index(Jjking217) says: That's good. - Wed Nov  4 05:14:52 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: I think...I understand why I'm doing this. - Wed Nov  4 05:14:52 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Talking. - Wed Nov  4 05:14:52 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: It's how I've always lived. I have to understand everything, so that I can make the perfect plan....to stay alive. - Wed Nov  4 05:14:52 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Because if someone comes to ask about Kilm's death.... - Wed Nov  4 05:15:44 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: I have to explain it, or I'll get overwhelmed by the numbers of people. - Wed Nov  4 05:15:44 2015
<br><br><font color=teal>*Index(Jjking217) says: I have one final suggestion. - Wed Nov  4 05:16:35 2015
<br><br><font color=teal>*Index(Jjking217) says: Before you return to Sunagakure. - Wed Nov  4 05:16:35 2015
<br><br><font color=teal>*Index(Jjking217) says: Use a clone. - Wed Nov  4 05:16:35 2015
<br><br><font color=teal>*Index(Jjking217) says: Kilm said Ikaro shared the same summoning animal as himself. - Wed Nov  4 05:16:35 2015
<br><br><font color=teal>*Index(Jjking217) says: Therefore Ikaro may've asked the summoning regarding Kilm's wearabout. - Wed Nov  4 05:17:26 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: ..... - Wed Nov  4 05:18:17 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: That's.... - Wed Nov  4 05:19:08 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Why Kilm... - Wed Nov  4 05:19:08 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Had a raccoon on his shoulder.... - Wed Nov  4 05:19:08 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: While I killed him. - Wed Nov  4 05:19:08 2015
<br><br><font color=teal>*Index(Jjking217) says: .... - Wed Nov  4 05:19:08 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: He... - Wed Nov  4 05:19:08 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Was planning....he.... - Wed Nov  4 05:19:08 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Was planning revenge. - Wed Nov  4 05:19:08 2015
<br><br><font color=teal>*Index(Jjking217) says: That....Bastard... - Wed Nov  4 05:20:00 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: He....wait.... - Wed Nov  4 05:20:00 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: He mentioned...something about revival. That message wasn't for me!!! - Wed Nov  4 05:20:51 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: It was for Ikaro! - Wed Nov  4 05:20:51 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Okay.... - Wed Nov  4 05:24:16 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: I can stop being traumatized. - Wed Nov  4 05:24:16 2015
<br><br><font color=yellow>*Katsune(Shimizu3598) makes eye contact. Her expression is almost cold.

"I really did...kill a sub-human monster didn't I?" she inquires.* - Wed Nov  4 05:24:16 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: He...was playing me... - Wed Nov  4 05:27:40 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: As he died. - Wed Nov  4 05:27:40 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: But....we can get through this. - Wed Nov  4 05:28:32 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: We can come up....with the perfect plan. - Wed Nov  4 05:28:32 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Because we talked things out. - Wed Nov  4 05:28:32 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Now, I know....what's going on. - Wed Nov  4 05:29:23 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Now I understand eveything.... - Wed Nov  4 05:29:23 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Well. - Wed Nov  4 05:37:55 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Now I can explain to people. - Wed Nov  4 05:38:46 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: I killed a psychopath. - Wed Nov  4 05:38:46 2015
<br><br><font color=teal>*Index(Jjking217) says: Kat. - Wed Nov  4 05:49:52 2015
<br><br><font color=teal>*Index(Jjking217) says: I was thinking for a while now. - Wed Nov  4 05:50:43 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Hmm...? - Wed Nov  4 05:50:43 2015
<br><br><font color=teal>*Index(Jjking217) says: We have this giant Base. - Wed Nov  4 05:50:43 2015
<br><br><font color=teal>*Index(Jjking217) says: Why not.... - Wed Nov  4 05:50:43 2015
<br><br><font color=teal>*Index(Jjking217) says: Make our own Village? - Wed Nov  4 05:50:43 2015
<br><br><font color=yellow>*Katsune(Shimizu3598) nods, staring at Index.

"I like that idea. Before Kilm's unhealthy obsession scared me half to death....so hard, I was thinking...I was ready to break the rules. Finally have fun. That's when I opened the door and saw Kilm standing there with mania in his eyes, because he wanted me so badly. Like a rabid animal. He was there, waiting for me the second I woke up. But before then....I wanted....to have fun for a change. Finally relax. Let's....do that, Index."* - Wed Nov  4 05:53:16 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Hmm. - Wed Nov  4 05:57:32 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: I'm not sure. - Wed Nov  4 05:57:32 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Maybe.... - Wed Nov  4 05:57:32 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: "The Village Hidden within..... - Wed Nov  4 05:58:24 2015
<br><br><font color=teal>*Index(Jjking217) says: Hugs and Kisses? - Wed Nov  4 06:00:06 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: -- It's funny. - Wed Nov  4 06:00:06 2015
<br><br><font color=teal>*Index(Jjking217) says: Hm? - Wed Nov  4 06:00:06 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: I was trying to think of something that gave that vibe. - Wed Nov  4 06:00:57 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: The village hidden within.....something that says "sanity". - Wed Nov  4 06:00:57 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Because me and you Index.... - Wed Nov  4 06:00:57 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Are the only sane people in this entire world. - Wed Nov  4 06:00:57 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: It's terrifying. - Wed Nov  4 06:00:57 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Hey. - Wed Nov  4 06:01:48 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Know what? - Wed Nov  4 06:01:48 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Since we have the village plan.... - Wed Nov  4 06:01:48 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: That means I can relax, right? - Wed Nov  4 06:01:48 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: It means I'm safe. - Wed Nov  4 06:01:48 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: No need to plan. - Wed Nov  4 06:01:48 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: We're hidden. - Wed Nov  4 06:01:48 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Wait.... - Wed Nov  4 06:01:48 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Plan....stress.... - Wed Nov  4 06:01:48 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Planning too much stresses me out. I'm trying to do everything by myself. That's it. - Wed Nov  4 06:02:40 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Maybe we need.....allies, Index. - Wed Nov  4 06:02:40 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Allies to help us plan. - Wed Nov  4 06:02:40 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: To help us shoulder this weight. - Wed Nov  4 06:02:40 2015
<br><br><font color=teal>*Index(Jjking217) says: Maybe. - Wed Nov  4 06:02:40 2015
<br><br><font color=teal>*Index(Jjking217) says: But for now. - Wed Nov  4 06:02:40 2015
<br><br><font color=teal>*Index(Jjking217) says: We can relax. - Wed Nov  4 06:02:40 2015
<br><br><font color=teal>*Index(Jjking217) says: In the safety of -our- village. - Wed Nov  4 06:02:40 2015
<br><br><font color=teal>*Index(Jjking217) says: We can have fun. - Wed Nov  4 06:02:40 2015
<br><br><font color=teal>*Index(Jjking217) says: If even for one day. - Wed Nov  4 06:03:31 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Okay. - Wed Nov  4 06:03:31 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Just give me.... - Wed Nov  4 06:03:31 2015
<br><br><font color=yellow>*Katsune(Shimizu3598) 's eyes are wandering off as she says "To calm down. Kilm's maniacal genius plan for revenge.....is a lot to take in. So I need....to calm down for a second."

Kat nods. Afterwords she takes a slow and deep breath. With that done, she turns around and lies back down. Kat faces the opposite direction. Her legs are pulled close, and her palms rest sandwhiched inbetween her legs.

"But...what'd you have in mind?"* - Wed Nov  4 06:05:13 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Hmmm. - Wed Nov  4 06:07:47 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Lemme....think. - Wed Nov  4 06:07:47 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Okay. - Wed Nov  4 06:07:47 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: My intuition tells me that if we keep going like this, I'll die. - Wed Nov  4 06:07:47 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: But... - Wed Nov  4 06:07:47 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: I can't stress either so. - Wed Nov  4 06:07:47 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: I need....other people....to help me plan. - Wed Nov  4 06:08:38 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: You're not.....concerned enough. I see. You're not afraid of dying. - Wed Nov  4 06:08:38 2015
<br><br><font color=teal>*Index(Jjking217) says: You're wrong.. - Wed Nov  4 06:08:38 2015
<br><br><font color=teal>*Index(Jjking217) says: I'm terrified. - Wed Nov  4 06:08:38 2015
<br><br><font color=teal>*Index(Jjking217) says: That's why I want.. - Wed Nov  4 06:08:38 2015
<br><br><font color=teal>*Index(Jjking217) says: Just one day. - Wed Nov  4 06:09:29 2015
<br><br><font color=teal>*Index(Jjking217) says: Because I know...We may never get another one. - Wed Nov  4 06:09:29 2015
<br><br><font color=yellow>*Katsune(Shimizu3598) nods. Afterwords she sits up, slowly. Kat then turns around to face Index and stares down at him.

"Alright." she says.

"One day...to relax. We'll have that."* - Wed Nov  4 06:10:20 2015
<br><br><font color=yellow>*Katsune(Shimizu3598) 's eyes wander off.

"Actually...." Kat says.

"I need sleep. Kilm's beyond terrifying, due to what's driving him. His obsession with me, and his heartbreak over me not loving him. It's so terrifying....that I need some sleep. Just some time to rest.....and stuff."* - Wed Nov  4 06:14:36 2015
<br><br><font color=yellow>*Katsune(Shimizu3598) nods. Afterwords she crawls into the covers and curls up into a ball.

"Good night." Kat says.* - Wed Nov  4 06:16:19 2015
<br><br><font color=yellow>*Katsune(Shimizu3598) sends a shadowclone out into the world.* - Wed Nov  4 11:06:27 2015
