<br><font color=yellow>*Katsune(Shimizu3598) looks over at him.

"I did?" she asks.

"Who?"* - Mon Oct  5 02:05:26 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Good night, doctor. - Mon Oct  5 05:14:01 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: Well then. . . - Mon Oct  5 05:14:01 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: ...Honestly though, Tetsu? - Mon Oct  5 05:14:01 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: I need sleep. - Mon Oct  5 05:14:01 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: Oh? You mean you aren't going to help me break out of here? - Mon Oct  5 05:14:52 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: No fun. - Mon Oct  5 05:14:52 2015
<br><br><font color=yellow>*Katsune(Shimizu3598) shrugs. "You get sleep too." she says as she turns to walk away, eager to escape anymore cheesey jokes.* - Mon Oct  5 05:15:44 2015
<br><br><font color=yellow>*Katsune(Shimizu3598) shuts the door behind her, ignoring Tetsu's last question and she walks away.* - Mon Oct  5 05:21:42 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Mornin'. - Mon Oct  5 15:03:40 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: 'Morning. - Mon Oct  5 15:03:40 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Did anything happen yesterday? - Mon Oct  5 15:06:14 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Yeah. - Mon Oct  5 15:07:05 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Hm? - Mon Oct  5 15:07:05 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Some news about an "Anarchist Syndicate." - Mon Oct  5 15:07:05 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Anarchist Syndicate? - Mon Oct  5 15:07:05 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Yeah I dunno. - Mon Oct  5 15:07:56 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Sounds like trouble. - Mon Oct  5 15:12:12 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Anyway . . . Training is a pain these days . . .  - Mon Oct  5 15:19:02 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: "These days"? - Mon Oct  5 15:20:44 2015
<br><br><font color=teal>*Kilm(Vysasi) says: You gotta put way more effort now to achieve only a little bit of progress. - Mon Oct  5 15:21:36 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Hey Zenaki. - Mon Oct  5 15:21:36 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Hey.. - Mon Oct  5 15:23:18 2015
<br><br><font color=yellow>*Katsune(Shimizu3598) wanders over to Zenaki with a scroll in hand. Upon stopping in front of the woman, Kat opens the scroll up, leaving it facing the doctor.

A faint, cheeky smile is on Kat's face when she leans to the side and peers over at her from around the scroll.* - Mon Oct  5 15:33:32 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: I got that this morning. - Mon Oct  5 15:33:32 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Mornin' new guy and Hassan. - Mon Oct  5 15:34:24 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Mhmmm. - Mon Oct  5 15:35:15 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Just letting you know I didn't get it. - Mon Oct  5 15:36:06 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Mhm. No worries about it. It's good you have it now.  - Mon Oct  5 15:36:06 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Mhmmm. - Mon Oct  5 15:36:57 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Morning. - Mon Oct  5 15:36:57 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Goodmorning. - Mon Oct  5 15:36:57 2015
<br><br><font color=yellow>*Katsune(Shimizu3598) pockets the scroll and turns to face the south. Arms cross and her weight shifts a bit. Back to loitering.* - Mon Oct  5 15:37:48 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: The desert mornings have always been beautiful. - Mon Oct  5 15:37:48 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Mmmhm. - Mon Oct  5 15:37:48 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: The way the sun hits the expanse of sand is just breathtaking. - Mon Oct  5 15:37:48 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: The light blue hue of the world mixed with the cool morning breeze make it so relaxing. - Mon Oct  5 15:37:48 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Mhm.. - Mon Oct  5 15:38:40 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Do any of you guys need anything? - Mon Oct  5 15:38:40 2015
<br><br><font color=teal>*Kilm(Vysasi) says: I don't at the moment. - Mon Oct  5 15:39:31 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: No. I don't, atleast. - Mon Oct  5 15:39:31 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Alright then. - Mon Oct  5 15:39:31 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: I might just go an train soon..  - Mon Oct  5 15:39:31 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Do you need anything? - Mon Oct  5 15:39:31 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Sharpen your skills, expect the unexpected. - Mon Oct  5 15:40:22 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Mhm. - Mon Oct  5 15:40:22 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: The new crime syndacate is out for me, and they will be targeting you all. - Mon Oct  5 15:40:22 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Look out for yourselves, but more importantly...Look out for each other. - Mon Oct  5 15:41:13 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Mhm.. - Mon Oct  5 15:41:13 2015
<br><br><font color=teal>*Zenaki(Kumaki) thinks: He talks to much. - Mon Oct  5 15:41:13 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: I have paperwork to fill out and the Gezo refuses to stop bothering me.. - Mon Oct  5 15:41:13 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Lera, can you come with me for a bit? - Mon Oct  5 15:42:04 2015
<br><br><font color=teal>*Lera(Bailey42) says: Hrm? Sure - Mon Oct  5 15:42:04 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Kat, Kilm. Wanna train soon? Both of you or one of you guys? - Mon Oct  5 15:43:47 2015
<br><br><font color=teal>*Kilm(Vysasi) says: I'm up fori t. - Mon Oct  5 15:44:38 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: I could. - Mon Oct  5 15:46:20 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Not sure how much I'll have to hold back though. - Mon Oct  5 15:47:12 2015
<br><br><font color=teal>*Katsune(Shimizu3598) whispers: Tentacles run in the family? - Mon Oct  5 15:47:12 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Oh.. I'm not really the person to spar with.  - Mon Oct  5 15:47:12 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: I just need to.. Kinda train hm. - Mon Oct  5 15:48:03 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: And no.  - Mon Oct  5 15:48:03 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: I see. - Mon Oct  5 15:48:03 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Uh.. My house?  - Mon Oct  5 15:51:28 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Don't worry Kilm. I kind of, cleaned it up.  - Mon Oct  5 15:51:28 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Train...? In your house? - Mon Oct  5 15:51:28 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Mhm. - Mon Oct  5 15:51:28 2015
<br><br><font color=teal>*Kilm(Vysasi) says: I assume we're not training in the basement? - Mon Oct  5 15:51:28 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Alright then. - Mon Oct  5 15:51:28 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: We are. - Mon Oct  5 15:51:28 2015
<br><br><font color=teal>*Kilm(Vysasi) says: . . . - Mon Oct  5 15:51:28 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: As I said. I kind of cleaned it. - Mon Oct  5 15:51:28 2015
<br><br><font color=teal>*Kilm(Vysasi) says: How cleaned up is it? - Mon Oct  5 15:52:19 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: .. - Mon Oct  5 15:52:19 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Hm.. - Mon Oct  5 15:52:19 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Atleast . . .  - Mon Oct  5 15:52:19 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Give me the remaining corpse number. - Mon Oct  5 15:52:19 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: .. Hm... Three? - Mon Oct  5 15:52:19 2015
<br><br><font color=teal>*Kilm(Vysasi) says: . . .  - Mon Oct  5 15:52:19 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: I removed the body parts. - Mon Oct  5 15:52:19 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: .... - Mon Oct  5 15:52:19 2015
<br><br><font color=teal>*Kilm(Vysasi) says: I didn't count when I went in the first time . . . How many were there back then? - Mon Oct  5 15:52:19 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: And cleaned a bit the blood. - Mon Oct  5 15:52:19 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Sort of. - Mon Oct  5 15:52:19 2015
<br><br><font color=yellow>*Katsune(Shimizu3598) sighs through the nose.* - Mon Oct  5 15:52:19 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Five?  - Mon Oct  5 15:52:19 2015
<br><br><font color=teal>*Kilm(Vysasi) says: . . . - Mon Oct  5 15:52:19 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Fine, We can train in the basement. - Mon Oct  5 15:53:10 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Mhhmm. - Mon Oct  5 15:53:10 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: I set up the corpses as dummies. So that'll work.  - Mon Oct  5 15:53:10 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Should we take this new guy to train with us? - Mon Oct  5 15:54:01 2015
<br><br><font color=yellow>*Katsune(Shimizu3598) eventually follows with a shrug.* - Mon Oct  5 15:54:01 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Ah we probably can. - Mon Oct  5 15:54:52 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: I do not mind. - Mon Oct  5 15:54:52 2015
<br><br><font color=teal>*Kilm(Vysasi) says: New guy, What's your name? - Mon Oct  5 15:54:52 2015
<br><br><font color=teal>*Learius(Josh1220) says: Learius. - Mon Oct  5 15:55:44 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Learius, Want to come train with us? - Mon Oct  5 15:55:44 2015
<br><br><font color=teal>*Learius(Josh1220) says: Sure, I guess. - Mon Oct  5 15:56:35 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Alright, Follow us. - Mon Oct  5 15:56:35 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) thinks: Ugh, training. - Mon Oct  5 15:57:26 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: . . . - Mon Oct  5 16:05:07 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: three* - Mon Oct  5 16:05:07 2015
<br><br><font color=yellow>*Katsune(Shimizu3598) senses Zenaki's hand moving in motions that suggests the locking of a door, having been sensing her out due to her back being turned. She continues lazily walking though as if she'd noticed nothing. After all, it's probably not a big deal, legitimately.

Arms cross as she makes her way down.

Rather than sitting, Kat only stares blankly at the blood.

This 'is' Kat. She's seen much worse.* - Mon Oct  5 16:11:05 2015
<br><br><font color=teal>*Kilm(Vysasi) says: What jutsu? - Mon Oct  5 16:26:27 2015
<br><br><font color=yellow>*Katsune(Shimizu3598) lifts her right fist to her mouth and quietly clears her throat. A weak, cheeky smile is on her face for the moment.

Katsune backs away, opting out of this test. She plants her back to the wall somewhere and watches the three of them.* - Mon Oct  5 16:29:52 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Chakra scalpels. Zetsumo wanted me to learn this a while back. But I am still testing it. No worries. I can heel you if you get hurt.  - Mon Oct  5 16:30:43 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: heal* - Mon Oct  5 16:30:43 2015
<br><br><font color=teal>*Kilm(Vysasi) says: . . . - Mon Oct  5 16:30:43 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: ...? So? - Mon Oct  5 16:32:25 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: If...it makes you feel any better, no lock or walls in the world can hold me. - Mon Oct  5 16:35:50 2015
<br><br><font color=yellow>*Katsune(Shimizu3598) says this to Learius with her eyes averted.* - Mon Oct  5 16:35:50 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) thinks: To enter or not to enter. - Mon Oct  5 16:37:32 2015
<br><br><font color=yellow>*Katsune(Shimizu3598) says nothing. She studies Zenaki's body language though.* - Mon Oct  5 16:47:47 2015
<br><br><font color=teal>*Kilm(Vysasi) says: We should really get to know you, Learius. - Mon Oct  5 16:49:29 2015
<br><br><font color=teal>*Kilm(Vysasi) says: There is no one creepier than you, Zenaki. - Mon Oct  5 16:52:03 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: .. Mmm.. Looks powerfull. - Mon Oct  5 16:58:01 2015
<br><br><font color=yellow>*Katsune(Shimizu3598) flinches a bit. The girl gently pulls herself off of the wall in the same motion, and she stares. Her nose turns up a bit, as if she's assessing the situation. Eyes are locked onto Taiga's arm. Senses begin focusing on him, though not until after the damage is done -- meaning she learns nothing at this time.

Eyes then find Larius's.

She stares.* - Mon Oct  5 16:59:44 2015
<br><br><font color=teal>*Kilm(Vysasi) says: So . . . What can you do, Learius? - Mon Oct  5 17:06:33 2015
<br><br><font color=teal>*Learius(Josh1220) says: I tend to hold back a lot of my words. - Mon Oct  5 17:06:33 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Fighting wise . . . What can you do? - Mon Oct  5 17:06:33 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) thinks: Well the screams stopped, things must be okay. . - Mon Oct  5 17:07:24 2015
<br><br><font color=teal>*Learius(Josh1220) says: Well.. My fire jutsu is very strong.. I have the ability to use storm release.. And I kinda have a little affinity for Earth... - Mon Oct  5 17:09:58 2015
<br><br><font color=teal>*Zenaki(Kumaki) thinks: Storm release hm? Great. - Mon Oct  5 17:10:49 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) thinks: What's that bumping sound I hear? - Mon Oct  5 17:10:49 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) thinks: Should I knock? Hm.  - Mon Oct  5 17:13:23 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Do not give her your blood. - Mon Oct  5 17:14:14 2015
<br><br><font color=teal>*Kilm(Vysasi) says: That's the same as asking me to give her my blood. - Mon Oct  5 17:14:14 2015
<br><br><font color=teal>*Kilm(Vysasi) says: . . . I wouldn't be surprised if you were a distant or close relative towards me since I have no idea what my family is or was. - Mon Oct  5 17:14:14 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: .. - Mon Oct  5 17:15:05 2015
<br><br><font color=yellow>*Katsune(Shimizu3598) shakes her head. With that, Kat begins walking forwards, even with a swagger.

Without any hesitation or pause whatsoever, Kat lifts her left arm with a hand clenched into a fist. She plants the fist to the side of Zenaki's head if allowed.

Right on it.

Kat's weight shifts a bit. With a cold expression on her face she says.

"I'm sorry what Zenaki? You're....making demands now?"

Her head tilts a bit.* - Mon Oct  5 17:15:05 2015
<br><br><font color=teal>*Learius(Josh1220) says: I do not see myself being able to stop her from taking it, besides you just shoved me into this experiment. Why should I listen to you? - Mon Oct  5 17:15:56 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Because I'm getting you out of it. - Mon Oct  5 17:15:56 2015
<br><br><font color=teal>*Learius(Josh1220) says: Too late it already happened did it not? - Mon Oct  5 17:15:56 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Was only a cut . . . It's healed now . . .  - Mon Oct  5 17:16:48 2015
<br><br><font color=teal>*Kilm(Vysasi) says: The true experiment would be you giving her your blood. - Mon Oct  5 17:16:48 2015
<br><br><font color=teal>*Learius(Josh1220) says: Only a cut? - Mon Oct  5 17:16:48 2015
<br><br><font color=teal>*Learius(Josh1220) says: Maybe you should ask her to do it to you so you see how it feels? - Mon Oct  5 17:16:48 2015
<br><br><font color=teal>*Kilm(Vysasi) says: I will consider it. - Mon Oct  5 17:16:48 2015
<br><br><font color=teal>*Kilm(Vysasi) says: As for your elements . . .  - Mon Oct  5 17:16:48 2015
<br><br><font color=teal>*Kilm(Vysasi) says: They're exactly the same as mine. - Mon Oct  5 17:16:48 2015
<br><br><font color=teal>*Learius(Josh1220) says: No, do it now. - Mon Oct  5 17:17:39 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Considering that you have storm release. - Mon Oct  5 17:17:39 2015
<br><br><font color=teal>*Learius(Josh1220) says: As in right now. - Mon Oct  5 17:17:39 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Naw . . . I'm not doing it. - Mon Oct  5 17:17:39 2015
<br><br><font color=teal>*Kilm(Vysasi) says: These arms had enough trouble recently. - Mon Oct  5 17:17:39 2015
<br><br><font color=teal>*Kilm(Vysasi) says: . . . I almost lost them. - Mon Oct  5 17:17:39 2015
<br><br><font color=teal>*Learius(Josh1220) says: Then I see no reason to withold my blood. - Mon Oct  5 17:17:39 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Fine, Zenaki, Cut me. - Mon Oct  5 17:17:39 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Zenaki. - Mon Oct  5 17:19:21 2015
<br><br><font color=teal>*Kilm(Vysasi) says: You had your fun with fujitora recently . . . Should be enough for the month. - Mon Oct  5 17:19:21 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Not reallgy. - Mon Oct  5 17:19:21 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: really* - Mon Oct  5 17:20:12 2015
<br><br><font color=yellow>*Katsune(Shimizu3598) lets Zenaki take her gauntlet-clad wrist. Her stare doesn't break.

She simply lifts her right arm in response, and keeps her right fist aimed at the woman instead.

It's not pressed to her skin, but it's there. One may wonder what she thinks she's going to do with it.

Judging by her eyes, nothing pleasant.* - Mon Oct  5 17:20:12 2015
<br><br><font color=teal>*Kilm(Vysasi) thinks: I know what she's going to do . . . That explosion fist that she destroyed my side with yesterday. - Mon Oct  5 17:21:04 2015
<br><br><font color=teal>*Zenaki(Kumaki) thinks: Who in the world, dares to knock. - Mon Oct  5 17:21:55 2015
<br><br><font color=yellow>*Katsune(Shimizu3598) begins slowly shaking her head as her hand is moved. She allows it.

"If you...." she begins, pausing dramatically.

"'Ever'....touch my hands like that again when I'm giving you friendly warnings....you'll regret it, close friend and former comreade Zenaki." * - Mon Oct  5 17:22:46 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Former? - Mon Oct  5 17:23:37 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Work. On. Your social skills. - Mon Oct  5 17:23:37 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Friendly warnings, hm? - Mon Oct  5 17:23:37 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Someone's feeling confident today. - Mon Oct  5 17:24:28 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Oh? - Mon Oct  5 17:24:28 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: I'm trying not to kill you. - Mon Oct  5 17:24:28 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: I like you. - Mon Oct  5 17:24:28 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Stop...puffing....your -chest-. - Mon Oct  5 17:24:28 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: My chest? You need more -puff- in it then I do. - Mon Oct  5 17:25:20 2015
<br><br><font color=teal>*Kilm(Vysasi) thinks: Nope . . . - Mon Oct  5 17:25:20 2015
<br><br><font color=teal>*Kilm(Vysasi) thinks: Okay . . . Time to bet. - Mon Oct  5 17:25:20 2015
<br><br><font color=teal>*Kilm(Vysasi) thinks: Her explosion jutsu to my side . . . Then Zenaki cuts me in the right arm. - Mon Oct  5 17:26:11 2015
<br><br><font color=teal>*Kilm(Vysasi) thinks: Then I get pushed to the side. - Mon Oct  5 17:26:11 2015
<br><br><font color=teal>*Kilm(Vysasi) thinks: Mhm . . . Greatest idea to stand in between them. - Mon Oct  5 17:26:11 2015
<br><br><font color=teal>*Learius(Josh1220) thinks: Hmm.. If he dies to them, then he wont have to worry what happens to my blood. - Mon Oct  5 17:26:11 2015
<br><br><font color=yellow>*Katsune(Shimizu3598) is pushed back by Kilm apparently, considering her's and Zenaki's arms were joined.

They part at this time, only to rest at her sides.

Briefly she glances between Zenaki and the boy, though she rests her eyes on Kilm, as if to silently ask "Wtf are you doin?"

She says no words though.* - Mon Oct  5 17:26:11 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Please don't fight. - Mon Oct  5 17:27:02 2015
<br><br><font color=yellow>*Katsune(Shimizu3598) has bigger breasts though. . .* - Mon Oct  5 17:27:53 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: ....Fine. - Mon Oct  5 17:28:44 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Anyway, since I don't like peoples' tones..... - Mon Oct  5 17:28:44 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: We should leave. - Mon Oct  5 17:28:44 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Don't break my door. - Mon Oct  5 17:28:44 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: That's my advice anyway. 'I' am leaving either way. - Mon Oct  5 17:29:36 2015
<br><br><font color=teal>*Kilm(Vysasi) says: . . . Yeah. - Mon Oct  5 17:29:36 2015
<br><br><font color=yellow>*Katsune(Shimizu3598) turns on her heel and begins walking, at a lazy pace. The girl makes her way to the door. Considering Zenaki had locked it from the inside, it's probably easy for Kat to unlock it herself?

If so, she does so. If so, she then opens the door and walks out, leaving said door open behind her.* - Mon Oct  5 17:30:27 2015
<br><br><font color=teal>*Kilm(Vysasi) says: It's best I leave as well . . . Maybe you too Learius. - Mon Oct  5 17:31:18 2015
<br><br><font color=teal>*Learius(Josh1220) says: You didnt get cut yet - Mon Oct  5 17:31:18 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Fine . . . Cut me Zenaki - Mon Oct  5 17:31:18 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Cause this guy will give you blood if you don't cut me. - Mon Oct  5 17:33:00 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Good. - Mon Oct  5 17:33:00 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Cut me? - Mon Oct  5 17:33:00 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Then I will not cut you. - Mon Oct  5 17:33:00 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Fuck. - Mon Oct  5 17:33:00 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Or can I have your blood? - Mon Oct  5 17:33:00 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Nope. Can't have it. - Mon Oct  5 17:33:52 2015
<br><br><font color=teal>*Learius(Josh1220) says: First. - Mon Oct  5 17:33:52 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Says me. The 'boss'. - Mon Oct  5 17:33:52 2015
<br><br><font color=teal>*Learius(Josh1220) says: Why do you want it? - Mon Oct  5 17:33:52 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Boy. Don't give this woman what she wants. - Mon Oct  5 17:33:52 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Maybe you don't have reason to tell her no but we do. - Mon Oct  5 17:33:52 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) thinks: . . . He sure had a nope face. - Mon Oct  5 17:34:43 2015
<br><br><font color=yellow>*Katsune(Shimizu3598) had stopped in the doorway. Both hands had found her hips, and her weight shifted a bit. Eyes remain to the south.

She resumes walking though, should she sense people following.* - Mon Oct  5 17:34:43 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Taiga, Leave and don't look back. - Mon Oct  5 17:34:43 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: . . So, the training didn't work out? - Mon Oct  5 17:34:43 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: .. - Mon Oct  5 17:34:43 2015
<br><br><font color=teal>*Kilm(Vysasi) says: The training did not work out. - Mon Oct  5 17:35:34 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) thinks: I'm so confused right now. - Mon Oct  5 17:35:34 2015
<br><br><font color=yellow>*Katsune(Shimizu3598) raises her voice to make sure Zenaki can hear her, as she leaves. "Have a good day, Zenaki." she says.

"See you tommorrow."* - Mon Oct  5 17:35:34 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: Uhm, Zenaki. .  Is everything alright? - Mon Oct  5 17:35:34 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: I'm fine. - Mon Oct  5 17:36:25 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Do not provoke her, Taiga. - Mon Oct  5 17:36:25 2015
<br><br><font color=yellow>*Katsune(Shimizu3598) pauses for a moment to wait for Kilm and Learius. Eventually though, she shakes her head and resumes walking away, alone.* - Mon Oct  5 17:37:16 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Why are you guys scared? - Mon Oct  5 17:37:16 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: I didn't do anything? - Mon Oct  5 17:37:16 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: If I wanted. I would've done it already/ - Mon Oct  5 17:37:16 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: .* - Mon Oct  5 17:37:16 2015
<br><br><font color=teal>*Katsune(Shimizu3598) thinks: Amateurs. . . - Mon Oct  5 17:37:16 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: Eh, right.  . - Mon Oct  5 17:37:16 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: Could you explain to me what happened Zenaki? - Mon Oct  5 17:37:16 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Rule number one, Learius . . . Don't give Zenaki your blood. - Mon Oct  5 17:38:08 2015
<br><br><font color=yellow>*Katsune(Shimizu3598) plants herself behind Kilm and Learius. About two seconds too late unfortunately. Either way, she whispers a few words to them.* - Mon Oct  5 17:38:08 2015
<br><br><font color=teal>*Katsune(Shimizu3598) whispers: 'Ey. You two. - Mon Oct  5 17:38:59 2015
<br><br><font color=teal>*Katsune(Shimizu3598) whispers: Say nothing about what happened. Alright? - Mon Oct  5 17:38:59 2015
<br><br><font color=teal>*Katsune(Shimizu3598) whispers: Nothing at all. "Zenaki's a nice and unsuspicious lady." Got it? - Mon Oct  5 17:38:59 2015
<br><br><font color=teal>*Learius(Josh1220) says: I have no idea about anything that just happened. - Mon Oct  5 17:39:50 2015
<br><br><font color=teal>*Kilm(Vysasi) whispers: Okay. - Mon Oct  5 17:39:50 2015
<br><br><font color=yellow>*Katsune(Shimizu3598) nods and walks away.* - Mon Oct  5 17:39:50 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Seems you guys are okay. - Mon Oct  5 17:40:41 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Hmm...? - Mon Oct  5 17:40:41 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: I'll just head back to training. - Mon Oct  5 17:40:41 2015
