<br><font color=teal>*Rokujou, Kida(Shiziru101) says: Why do you believe that? - Sun Dec  6 21:38:46 2015
<br><br><font color=teal>*Roman(DagonWarhead) says: Not you. - Mon Dec  7 01:16:22 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: Spearman. - Mon Dec  7 02:21:13 2015
<br><br><font color=teal>*Roman(DagonWarhead) says: Hm? - Mon Dec  7 02:22:56 2015
<br><br><font color=teal>*Roman(DagonWarhead) says: What does thou want? - Mon Dec  7 02:22:56 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: Wish to engage in combat? - Mon Dec  7 02:23:47 2015
<br><br><font color=teal>*Roman(DagonWarhead) says: I do. - Mon Dec  7 02:26:20 2015
<br><br><font color=teal>*Kyubishu(Dillion13) thinks: This is the person I'm looking for. - Mon Dec  7 02:46:49 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: I've got next. - Mon Dec  7 02:46:49 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Heiwa, do me a favor. - Mon Dec  7 02:48:32 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Pull out this spear from me? - Mon Dec  7 02:49:23 2015
<br><br><font color=teal>*Meinu, Sekitsui(TheButtNekkidBandit) thinks: Does he not see we are in the middle of something? - Mon Dec  7 02:50:14 2015
<br><br><font color=teal>*Meinu, Sekitsui(TheButtNekkidBandit) thinks: Why does Nori -want- to do it? - Mon Dec  7 02:54:30 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: But who? - Mon Dec  7 02:55:21 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: .......But why? - Mon Dec  7 02:56:12 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) thinks: They're just going to execute that man as he is? A poor death. - Mon Dec  7 03:27:47 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) thinks: If he should die, he should do so on his feet, not grovelling on the floor. - Mon Dec  7 03:28:38 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) thinks: Lame. - Mon Dec  7 03:28:38 2015
<br><br><font color=teal>*Roman(DagonWarhead) whispers: I see no reason not to. - Mon Dec  7 03:29:29 2015
<br><br><font color=teal>*Meinu, Sekitsui(TheButtNekkidBandit) says: ..... - Mon Dec  7 03:41:26 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) thinks: Squad one doesn't look very happy to be doing this. - Mon Dec  7 03:46:33 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: ..... - Mon Dec  7 03:55:05 2015
<br><br><font color=teal>*Tengoku(Punka) thinks: Death. - Mon Dec  7 03:58:30 2015
<br><br><font color=teal>*Tengoku(Punka) thinks: Too common. People do stupid things to deserve it. - Mon Dec  7 04:00:12 2015
<br><br><font color=teal>*Tengoku(Punka) thinks: Then again, shinobi encounter death way too many times. - Mon Dec  7 04:01:04 2015
<br><br><font color=teal>*Tengoku(Punka) thinks: Guess that makes me stupid, heh. - Mon Dec  7 04:01:04 2015
<br><br><font color=teal>*Meinu, Sekitsui(TheButtNekkidBandit) says: ..... - Mon Dec  7 04:18:08 2015
<br><br><font color=teal>*Meinu, Sekitsui(TheButtNekkidBandit) thinks: Since when did we not bury the dead...even if they were terrorists...this is so disrespectful. - Mon Dec  7 04:18:08 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) thinks: Looks like i'm going to be getting rid of a third corpse. - Mon Dec  7 04:22:24 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: ... - Mon Dec  7 04:28:22 2015
<br><br><font color=teal>*Hogo, Tethys(Uptown Realest) thinks: ..How.. am I here..? - Mon Dec  7 04:42:52 2015
<br><br><font color=teal>*Hogo, Tethys(Uptown Realest) thinks: Thought I was done with this world... - Mon Dec  7 04:42:52 2015
<br><br><font color=teal>*Hogo, Tethys(Uptown Realest) thinks: Is this the newer generation of Kirigakure shinobi..? - Mon Dec  7 04:42:52 2015
<br><br><font color=teal>*Hogo, Tethys(Uptown Realest) thinks: ..I can't even.. talk out loud.. - Mon Dec  7 04:45:26 2015
<br><br><font color=teal>*Hogo, Tethys(Uptown Realest) thinks: What.. is going on..? - Mon Dec  7 04:46:17 2015
<br><br><font color=teal>*Tengoku(Punka) says: ... - Mon Dec  7 04:53:07 2015
<br><br><font color=yellow>*Tengoku(Punka) looked over to the ominous being. He recognized his face and looks among the crowds, his image painted in the academy textbooks. He stared with awkward eyes, watching the man's severely altered apperance. <Lord Tethys?> He thought, truly wondering if that was him. It had to be, who would transform into a dead body, right?* - Mon Dec  7 05:05:55 2015
<br><br><font color=teal>*Heiwa(Wantpark) says: .... - Mon Dec  7 05:14:27 2015
<br><br><font color=teal>*Heiwa(Wantpark) thinks: The..what was that even about? - Mon Dec  7 05:14:27 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: ... - Mon Dec  7 05:27:15 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: The Mizukage isn't here. - Mon Dec  7 05:27:15 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: Ah, I see. - Mon Dec  7 05:28:06 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: Nothing that concerns others anymore. - Mon Dec  7 05:30:40 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: Is that so? - Mon Dec  7 05:31:31 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: Well, back to business I suppose. - Mon Dec  7 05:31:31 2015
<br><br><font color=teal>*Yakato, Midori(MadameShredder) says: We're selling.  - Mon Dec  7 05:31:31 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: We're merchants, and we've come to sell our goods.  - Mon Dec  7 05:31:31 2015
<br><br><font color=teal>*Yakato, Midori(MadameShredder) says: Toys. - Mon Dec  7 05:31:31 2015
<br><br><font color=teal>*Yakato, Midori(MadameShredder) says: Because this village is filled with children. - Mon Dec  7 05:31:31 2015
<br><br><font color=teal>*Yakato, Midori(MadameShredder) says: We have dolls too. - Mon Dec  7 05:31:31 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: We also have weapons for your shinobi needs. - Mon Dec  7 05:32:22 2015
<br><br><font color=teal>*Yakato, Midori(MadameShredder) says: Like dolls. - Mon Dec  7 05:32:22 2015
<br><br><font color=teal>*Heiwa(Wantpark) says: ..We have a market you can get yourself situated in. - Mon Dec  7 05:32:22 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) thinks: Merchant with an eyepatch. - Mon Dec  7 05:32:22 2015
<br><br><font color=teal>*Yakato, Midori(MadameShredder) says: But does that market have dolls? - Mon Dec  7 05:32:22 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) thinks: Interesting. - Mon Dec  7 05:32:22 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: Yes. - Mon Dec  7 05:33:13 2015
<br><br><font color=teal>*Heiwa(Wantpark) says: Probably. - Mon Dec  7 05:33:13 2015
<br><br><font color=teal>*Yakato, Midori(MadameShredder) says: Our dolls are better. - Mon Dec  7 05:33:13 2015
<br><br><font color=teal>*Geo Dude(Wynokx) thinks: Don't trust anything about this.... - Mon Dec  7 05:33:13 2015
<br><br><font color=teal>*Yakato, Midori(MadameShredder) says: They're made with sheepskin.  - Mon Dec  7 05:33:13 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: Sounds dull. - Mon Dec  7 05:33:13 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: I bet they don't have our dolls. They are crafted with the finest goods! AND they are hand made! - Mon Dec  7 05:33:13 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: Hand made I say! - Mon Dec  7 05:33:13 2015
<br><br><font color=teal>*Yakato, Midori(MadameShredder) says: We import them from Amegakure. - Mon Dec  7 05:33:13 2015
<br><br><font color=teal>*Yakato, Midori(MadameShredder) says: We enforce child labor. - Mon Dec  7 05:33:13 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: ... - Mon Dec  7 05:34:04 2015
<br><br><font color=teal>*Heiwa(Wantpark) says: .... - Mon Dec  7 05:34:04 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: You think that matters here? We have a -child army.- - Mon Dec  7 05:34:04 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: Look at all the children here. - Mon Dec  7 05:34:04 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: We all all shinobi. - Mon Dec  7 05:34:04 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: And you wish to sell us dolls? - Mon Dec  7 05:34:56 2015
<br><br><font color=teal>*Yakato, Midori(MadameShredder) says: Not just any dolls. - Mon Dec  7 05:34:56 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: Maybe they're puppets. - Mon Dec  7 05:34:56 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: For combat. - Mon Dec  7 05:34:56 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: Are they? - Mon Dec  7 05:34:56 2015
<br><br><font color=teal>*Yakato, Midori(MadameShredder) says: ....Yeah totally. - Mon Dec  7 05:34:56 2015
<br><br><font color=teal>*Tengoku(Punka) thinks: Please don't get kidnapped. - Mon Dec  7 05:34:56 2015
<br><br><font color=teal>*Tengoku(Punka) thinks: -Please- don't kidnap me. - Mon Dec  7 05:34:56 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: We've got weapons too. - Mon Dec  7 05:34:56 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: What kind of weapons. - Mon Dec  7 05:34:56 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: You said you enforce child labor? - Mon Dec  7 05:35:47 2015
<br><br><font color=teal>*Tengoku(Punka) says: What kinda w--What he said. - Mon Dec  7 05:35:47 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: Tantos, kunai, senbon, the usual stuff. - Mon Dec  7 05:35:47 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: So, those thing smust not be of very high value right? - Mon Dec  7 05:35:47 2015
<br><br><font color=teal>*Yakato, Midori(MadameShredder) says: We also have salmon hammers.  - Mon Dec  7 05:35:47 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: ...So nothing we need to go out of the way to purch- - Mon Dec  7 05:35:47 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: Salmon Hammers? - Mon Dec  7 05:35:47 2015
<br><br><font color=teal>*Yakato, Midori(MadameShredder) says: We make hammers out of fish. - Mon Dec  7 05:35:47 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: The hell is that? - Mon Dec  7 05:35:47 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: ..... - Mon Dec  7 05:35:47 2015
<br><br><font color=teal>*Yakato, Midori(MadameShredder) says: Do you want to try a swing? - Mon Dec  7 05:35:47 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: No..Why would I want that? - Mon Dec  7 05:36:38 2015
<br><br><font color=teal>*Yakato, Midori(MadameShredder) says: It's really strong. - Mon Dec  7 05:36:38 2015
<br><br><font color=teal>*Yakato, Midori(MadameShredder) says: It knocks out -anyone-. - Mon Dec  7 05:36:38 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) thinks: Slowly remembering why I hate people now. - Mon Dec  7 05:36:38 2015
<br><br><font color=teal>*Geo Dude(Wynokx) thinks: Slowly understanding why Ryo hates people now... - Mon Dec  7 05:36:38 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: We also have clothes and spices. - Mon Dec  7 05:37:29 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: Including the person unfortunate enough to touch the thing? - Mon Dec  7 05:37:29 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: You! - Mon Dec  7 05:37:29 2015
<br><br><font color=teal>*Heiwa(Wantpark) thinks: Is this why Kana dislikes foreigners? - Mon Dec  7 05:37:29 2015
<br><br><font color=teal>*Yakato, Midori(MadameShredder) says: Maybe. - Mon Dec  7 05:37:29 2015
<br><br><font color=teal>*Yakato, Midori(MadameShredder) says: Oh, by the way, what's the name of your current Mizukage?  - Mon Dec  7 05:38:20 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: None of your concern. - Mon Dec  7 05:38:20 2015
<br><br><font color=teal>*Yakato, Midori(MadameShredder) says: Lord, someone's mad.  - Mon Dec  7 05:38:20 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: For once I agree. - Mon Dec  7 05:38:20 2015
<br><br><font color=teal>*Yakato, Midori(MadameShredder) says: It's like a name has become the biggest deal. - Mon Dec  7 05:38:20 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: It is actually. - Mon Dec  7 05:38:20 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: I'm eight. - Mon Dec  7 05:38:20 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: I care not for women. - Mon Dec  7 05:39:12 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: It's never too early to woo the women. - Mon Dec  7 05:39:12 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: You're an idiot. - Mon Dec  7 05:39:12 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: Hey, that's a bit rude. - Mon Dec  7 05:39:12 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: I'm a rude person. - Mon Dec  7 05:40:03 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: Women? There's already two girls in my life... - Mon Dec  7 05:40:03 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: Really now? - Mon Dec  7 05:40:03 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: My Sensei and my best friend. - Mon Dec  7 05:40:03 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: Well aren't you lucky. - Mon Dec  7 05:40:03 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: Oh ho, what do we have here? A youthful man about to express his love? - Mon Dec  7 05:40:54 2015
<br><br><font color=teal>*Heiwa(Wantpark) thinks: She's Eight.. - Mon Dec  7 05:40:54 2015
<br><br><font color=teal>*Geo Dude(Wynokx) thinks: But that TS tho. - Mon Dec  7 05:40:54 2015
<br><br><font color=teal>*Yakato, Midori(MadameShredder) thinks: God. - Mon Dec  7 05:41:45 2015
<br><br><font color=teal>*Meinu, Sekitsui(TheButtNekkidBandit) says: ... - Mon Dec  7 05:41:45 2015
<br><br><font color=teal>*Yakato, Midori(MadameShredder) thinks: Everywhere I look. - Mon Dec  7 05:41:45 2015
<br><br><font color=teal>*Yakato, Midori(MadameShredder) thinks: These children look so weak. I don't know how Kirigakure operates. - Mon Dec  7 05:42:36 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: ... - Mon Dec  7 05:42:36 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) thinks: Calm...calm... - Mon Dec  7 05:42:36 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: Merchant people. - Mon Dec  7 05:44:19 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: Take your wares to the market. - Mon Dec  7 05:45:10 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: As you can plainly see, we're not interested. - Mon Dec  7 05:45:10 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: Tough crowd huh? - Mon Dec  7 05:45:10 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: Well we'll be in the village for a couple of days.  Is there someone we can talk to in order to prepare lodging? - Mon Dec  7 05:46:52 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) whispers: Heiwa, was that good? - Mon Dec  7 05:46:52 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: Yes. - Mon Dec  7 05:46:52 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: An inn keeper. - Mon Dec  7 05:46:52 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: I'll inform the Mizukage you're here. - Mon Dec  7 05:46:52 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: Can you show us? We're quite new to the village. - Mon Dec  7 05:47:44 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: There is an inn just north of here, I believe. Can take you there. - Mon Dec  7 05:47:44 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: Ah, thank you. It'll be quite helpful. - Mon Dec  7 05:47:44 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: No, it's not hard to find. - Mon Dec  7 05:47:44 2015
<br><br><font color=teal>*Heiwa(Wantpark) says: Nori, direct them there. - Mon Dec  7 05:47:44 2015
<br><br><font color=teal>*Heiwa(Wantpark) says: Tengoku, Ryo and I will clean up the mess. - Mon Dec  7 05:47:44 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: What are your names if I may ask? - Mon Dec  7 05:47:44 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: Heiwa.. - Mon Dec  7 05:47:44 2015
<br><br><font color=teal>*Yakato, Midori(MadameShredder) says: They won't give names--- - Mon Dec  7 05:47:44 2015
<br><br><font color=teal>*Yakato, Midori(MadameShredder) says: Oh look. - Mon Dec  7 05:48:35 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: What are -your- names? - Mon Dec  7 05:48:35 2015
<br><br><font color=teal>*Yakato, Midori(MadameShredder) says: A name. - Mon Dec  7 05:48:35 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: I'm Tetsu Itsujin. - Mon Dec  7 05:48:35 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: Hey..Send someone with her...Don't want her going alone. - Mon Dec  7 05:48:35 2015
<br><br><font color=teal>*Yakato, Midori(MadameShredder) says: Lord. These people are so suspicious. - Mon Dec  7 05:48:35 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: Well, they are shinobi. - Mon Dec  7 05:48:35 2015
<br><br><font color=teal>*Heiwa(Wantpark) says: ... - Mon Dec  7 05:48:35 2015
<br><br><font color=teal>*Heiwa(Wantpark) says: Tengoku, handle the clean up if you will. - Mon Dec  7 05:49:26 2015
<br><br><font color=teal>*Heiwa(Wantpark) says: Ryo, we're moving with Nori. - Mon Dec  7 05:49:26 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: What about a storage house for our wagon? - Mon Dec  7 05:49:26 2015
<br><br><font color=teal>*Fujimoro, Ren(Master Roku) says: ...Huh... - Mon Dec  7 05:49:26 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: Fine. - Mon Dec  7 05:49:26 2015
<br><br><font color=teal>*Yakato, Midori(MadameShredder) says: The suspicion is real here. - Mon Dec  7 05:50:17 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: Will the Inn provide that with our lodging, or is that going to be something separate? - Mon Dec  7 05:50:17 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: The inn will take care of your storage. - Mon Dec  7 05:50:17 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: Ah, I see. - Mon Dec  7 05:50:17 2015
<br><br><font color=teal>*Yakato, Midori(MadameShredder) says: Hey, Ren. - Mon Dec  7 05:50:17 2015
<br><br><font color=teal>*Fujimoro, Ren(Master Roku) says: Yeah? - Mon Dec  7 05:51:08 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: You're ready, or? - Mon Dec  7 05:51:08 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: I'd feel bad if you walked and we just drove on the side. - Mon Dec  7 05:53:42 2015
<br><br><font color=teal>*Yakato, Midori(MadameShredder) says: ...God. - Mon Dec  7 05:53:42 2015
<br><br><font color=teal>*Yakato, Midori(MadameShredder) says: I'm going to be so bored. - Mon Dec  7 05:53:42 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: There's a whole bunch of culture here. I'm sure we won't be bored. - Mon Dec  7 05:53:42 2015
<br><br><font color=teal>*Heiwa(Wantpark) whispers: Just walk with us. - Mon Dec  7 05:54:33 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: I'll walk thanks. - Mon Dec  7 05:54:33 2015
<br><br><font color=teal>*Yakato, Midori(MadameShredder) says: There's....water... - Mon Dec  7 05:54:33 2015
<br><br><font color=teal>*Yakato, Midori(MadameShredder) says: And fish.... - Mon Dec  7 05:54:33 2015
<br><br><font color=teal>*Yakato, Midori(MadameShredder) says: And water and fish..... - Mon Dec  7 05:54:33 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: And people. - Mon Dec  7 05:54:33 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: And food. - Mon Dec  7 05:54:33 2015
<br><br><font color=teal>*Fujimoro, Ren(Master Roku) says: .... - Mon Dec  7 05:54:33 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: And alchohol! - Mon Dec  7 05:54:33 2015
<br><br><font color=teal>*Yakato, Midori(MadameShredder) says: What I got out of that was one thing. - Mon Dec  7 05:54:33 2015
<br><br><font color=teal>*Yakato, Midori(MadameShredder) says: Because all of those are the same thing. - Mon Dec  7 05:55:24 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: They aren't. - Mon Dec  7 05:56:16 2015
<br><br><font color=teal>*Yakato, Midori(MadameShredder) thinks: God that girl is so much better than the rest of these fucks. - Mon Dec  7 05:58:49 2015
<br><br><font color=teal>*Fujimoro, Ren(Master Roku) thinks: Unecessary ass explanations....A no would've been fine. - Mon Dec  7 05:59:40 2015
<br><br><font color=teal>*Meinu, Sekitsui(TheButtNekkidBandit) says: Whaaaa. - Mon Dec  7 06:26:08 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: Where is everyone? - Mon Dec  7 06:26:08 2015
<br><br><font color=teal>*Yumiko(Sekara) says: They all left.... - Mon Dec  7 06:26:59 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: Weird.... - Mon Dec  7 06:26:59 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: Should we go look elsewhere? - Mon Dec  7 06:26:59 2015
<br><br><font color=teal>*Yumiko(Sekara) says: I'll radio him... - Mon Dec  7 06:27:50 2015
<br><br><font color=yellow>*Tengoku(Punka) || A puff of smoke erupted in the near area, Tengoku emerging from it. He'd notice the two boys, stopping near them. "Hey," he would greet.* - Mon Dec  7 23:37:48 2015
<br><br><font color=teal>*Gravel Dude(S3an) says: Uhh..Hai. - Mon Dec  7 23:39:31 2015
<br><br><font color=teal>*Tengoku(Punka) says: What's up? - Mon Dec  7 23:41:13 2015
<br><br><font color=teal>*Gravel Dude(S3an) says: Nothing much, you? - Mon Dec  7 23:42:04 2015
<br><br><font color=teal>*Tengoku(Punka) says: Eh, just roaming around. - Mon Dec  7 23:42:04 2015
<br><br><font color=teal>*Gravel Dude(S3an) says: Yeah..i'm waiting for my Brother to wake up. - Mon Dec  7 23:42:56 2015
<br><br><font color=teal>*Tengoku(Punka) says: Your brother? - Mon Dec  7 23:42:56 2015
<br><br><font color=teal>*Gravel Dude(S3an) says: Yeah..over there. - Mon Dec  7 23:42:56 2015
<br><br><font color=teal>*Tengoku(Punka) says: Geo's your brother? - Mon Dec  7 23:43:47 2015
<br><br><font color=teal>*Gravel Dude(S3an) says: Yeah, don't you think we look similar? - Mon Dec  7 23:43:47 2015
<br><br><font color=teal>*Tengoku(Punka) says: Erm.... - Mon Dec  7 23:43:47 2015
<br><br><font color=teal>*Tengoku(Punka) says: I do--N--I mean, I guess so. - Mon Dec  7 23:44:38 2015
<br><br><font color=teal>*Gravel Dude(S3an) says: I know right. - Mon Dec  7 23:44:38 2015
<br><br><font color=teal>*Gravel Dude(S3an) says: Haha. - Mon Dec  7 23:44:38 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: Yawn - Mon Dec  7 23:50:36 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: Let's go Gravel. - Mon Dec  7 23:50:36 2015
<br><br><font color=teal>*Tengoku(Punka) says: ... - Mon Dec  7 23:50:36 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: .... - Mon Dec  7 23:50:36 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: Has anyone seen the Mizukage...? - Mon Dec  7 23:50:36 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: Nope. - Mon Dec  7 23:51:28 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: She's MIA like normal. - Mon Dec  7 23:51:28 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: Hng... - Mon Dec  7 23:51:28 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: Anguo... - Mon Dec  7 23:51:28 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: I have to talk to you though.. - Mon Dec  7 23:51:28 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: Huh? - Mon Dec  7 23:51:28 2015
<br><br><font color=teal>*Tengoku(Punka) says: ..? - Mon Dec  7 23:51:28 2015
<br><br><font color=teal>*Gravel Dude(S3an) says: Should we head off Geo? - Mon Dec  7 23:51:28 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: Thanks Anguo. You're a lifesaver. I'll pay you back someday. - Mon Dec  7 23:53:10 2015
<br><br><font color=teal>*Tengoku(Punka) thinks: What was that about? - Mon Dec  7 23:54:01 2015
<br><br><font color=teal>*Tengoku(Punka) says: Hey, Sensei. - Mon Dec  7 23:54:52 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: ...Huh? - Mon Dec  7 23:54:52 2015
<br><br><font color=teal>*Tengoku(Punka) says: Just saying hi. - Mon Dec  7 23:54:52 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: Oh...Hey. - Mon Dec  7 23:54:52 2015
<br><br><font color=teal>*Tengoku(Punka) says: Maybe we can have the spar? - Tue Dec  8 00:05:07 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: Sure. - Tue Dec  8 00:05:07 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: Ready whenever you are. Unless you want to go somewhere else. - Tue Dec  8 00:09:23 2015
<br><br><font color=teal>*Tengoku(Punka) says: Alright. - Tue Dec  8 00:09:23 2015
<br><br><font color=yellow>*Tengoku(Punka) looked at the little boy, one who was too young to even be a high-ranking official. Then again, Tengoku was a little too young to be a Genin himself. He took in a deep breath, his eyes deadset on his adversary. Tengoku took a deep breath, momentarily closing his eyes as a rish of chakra flowed through his brain and straight into his eyes. He knew of Anguo's prowess in battle, and the Genin was willing to give it all he could against the Jounin. After a few moments, his eyes were opened, revealing his thickened red irises and pitch black pupils. A single tomoe rotated around the pupil, settling in place right under it. He looked on with intent, showing a seriousness he had never shown before.

Anguo's very faded chakra system came into view. He wouldn't have been able to tell him apart from others, since he wasn't that advanced, but he could tell that it was there. Tengoku raised his hand, performing a single hand seal as a transparent layer of chakra surrounded his body, especially concentrated at bis feet, if Anguo could sense that. He took a step toward his master, waiting on what he would do.* - Tue Dec  8 00:24:44 2015
<br><br><font color=yellow>*Tengoku(Punka) || Once Anguo took that first step, the jutsu activated. The boy was able to notice that first step, with the slight help of his doujutsu in aid with bis above-average sight and reflexes. Tengoku disappeard in a puff of smoke that engulfed him. Immediately, he reappeared right behind Anguo, attempting to deliver a strong kick to the back of his knees to render him to the ground unexpectedly. Then the boy followed up by "teleporting" once more, reappearing at his side. He attempted to send a strong elbow toward his gut to reinforce the surprise leg attack and send him to his knees. For the final execution in the combo, Tengoku sped around his sensei once more, ending up at his other side in an attempt to thrust both of his palms forcefully on his back to send him flat to the ground.

