<br><font color=teal>*Alastor(LordxPatrick) says: Yes. - Wed Oct  7 19:14:33 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: I'm sorry. - Wed Oct  7 22:34:14 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: I do not know names. I've seen people with those eyes. - Wed Oct  7 22:35:56 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: Appearance, maybe? - Wed Oct  7 22:36:48 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Not that I can remember that quick, sorry. - Wed Oct  7 22:38:30 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: You have time to think. - Wed Oct  7 22:40:12 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Mmm.. - Wed Oct  7 22:41:04 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: You know what. Once I see people. I will send you a letter with a description of them alright? - Wed Oct  7 22:41:04 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: .... - Wed Oct  7 22:41:55 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: Right, then. - Wed Oct  7 22:41:55 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: omit - - Wed Oct  7 22:41:55 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: -omit- - Wed Oct  7 22:42:46 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Mmmhm. - Wed Oct  7 22:44:28 2015
<br><br><font color=yellow>*Ryujin, Fujitora(Tre sanders) simply waved, the villager asked "Greetings , did y' manage to finish up that solid I asked for?" he asked the woman before him as he pushed his crates of rice cakes and other sweets of old fashion japan.* - Thu Oct  8 02:39:08 2015
<br><br><font color=yellow>*Ryujin, Fujitora(Tre sanders) eyes soon widened! Being tackled by the  lass, his question to Mirai went unanswered, but Fujitora looked at Ai and said "It's been a great while Ai! How's it been eh?!" he asked the girl with a soft grin..But he knew the truth! "Hope you've trained alittle at the least." he teased.* - Thu Oct  8 02:47:40 2015
<br><br><font color=teal>*Ai(Sennalove) says: Nope! - Thu Oct  8 02:48:32 2015
<br><br><font color=teal>*Ai(Sennalove) says: But I missed ya! - Thu Oct  8 02:48:32 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Hehe, me too kiddo..  - Thu Oct  8 02:49:23 2015
<br><br><font color=yellow>*Ryujin, Fujitora(Tre sanders) removed le farmer hat .* - Thu Oct  8 02:49:23 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: I sitll want that hat. - Thu Oct  8 02:50:14 2015
<br><br><font color=yellow>*Ryujin, Fujitora(Tre sanders) glides finger upon the surface of the hats round blade "This hat is priceless." he  chuckles lightly.. * - Thu Oct  8 02:51:05 2015
<br><br><font color=yellow>*Ryujin, Fujitora(Tre sanders) did not want or expect so much affection from Ai "Oi, Oi...I know its been long but I can probably go to prison behind this haha.." he didn't know how old Ai was, all he knew was that he was Senpai PLUS Sensei.. "Perhaps we can work on the Fuuin soon as well.." the Locksmith said.* - Thu Oct  8 02:52:48 2015
<br><br><font color=teal>*Ai(Sennalove) says: Mmhm, I guess it's time for me to man up a bit, right? - Thu Oct  8 02:54:30 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Just a bit.. - Thu Oct  8 02:57:04 2015
<br><br><font color=yellow>*Ryujin, Fujitora(Tre sanders) ruffles Ai's hair "You're still my same old Ai..That's what matters." the man then gave her a hug to show that he did not chance too much. * - Thu Oct  8 02:57:55 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Hey gramops said you were good at sealing things could you teach me how please? - Thu Oct  8 03:00:28 2015
<br><br><font color=yellow>*Ryujin, Fujitora(Tre sanders) soon turned his attention to Trilliam "Well...Such depends..I don't come out of my vows of retirement just for the sake of teaching all who beg...Complete the the Labyrinth and I'll surely teach y' how...But untill then, I can not.." Fujitora wanted worthy students , he couldn't risk getting involved too much into the shinobi world.. He looks back at Ai "You havn't changed a bit, hehe.. What have you planned on doing though?" he asked calmly.* - Thu Oct  8 03:04:44 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Coma?...It makes much more sense then as to why you'd want to train yourself.. - Thu Oct  8 03:10:43 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Very well then, I'll allow it. - Thu Oct  8 03:10:43 2015
<br><br><font color=teal>*Lera(Bailey42) says: Brother, You got your memories back? - Thu Oct  8 03:11:34 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Only a certain few..I remember faces..Names little..But not about the effects I've had on those said peoples lives. - Thu Oct  8 03:12:25 2015
<br><br><font color=teal>*Ai(Sennalove) says: Thanks Sensei, I want to understand a little more about my paper techniques and improve a little more! But I still want to train under you! - Thu Oct  8 03:12:25 2015
<br><br><font color=teal>*Lera(Bailey42) says: Oh. - Thu Oct  8 03:12:25 2015
<br><br><font color=teal>*Lera(Bailey42) says: Speaking of techniques, do you have any other Katon Jutsu you can spare? - Thu Oct  8 03:13:16 2015
<br><br><font color=teal>*Lera(Bailey42) says: I'm willing to trade~ - Thu Oct  8 03:13:16 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Oh? Hmm... - Thu Oct  8 03:13:16 2015
<br><br><font color=teal>*Lera(Bailey42) says: I've gotten much better with Katon recently. - Thu Oct  8 03:13:16 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: And Ai, just continue to become great , and I'll be proud...Now then, what sort of Katon is this? - Thu Oct  8 03:14:08 2015
<br><br><font color=teal>*Lera(Bailey42) says: Anything. - Thu Oct  8 03:14:08 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Any form of sealing? - Thu Oct  8 03:14:08 2015
<br><br><font color=teal>*Lera(Bailey42) says: Er...no, I'm not good at Fuuinjutsu - Thu Oct  8 03:14:59 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Hm, how about the Phoenix Flower eh? - Thu Oct  8 03:14:59 2015
<br><br><font color=teal>*Lera(Bailey42) says: Mhm! I don't know that one - Thu Oct  8 03:15:50 2015
<br><br><font color=teal>*Lera(Bailey42) says: Do you want any in return...uh...You know the Mist Flames Dance? - Thu Oct  8 03:15:50 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: I thought you did know it haha...I am looking to teach ya something you can use along side your niece..And No I do not. - Thu Oct  8 03:16:41 2015
<br><br><font color=teal>*Lera(Bailey42) says: Cool~ - Thu Oct  8 03:16:41 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Now,  what I am going to teach you will require personal training. - Thu Oct  8 03:17:32 2015
<br><br><font color=teal>*Lera(Bailey42) says: Ah. - Thu Oct  8 03:17:32 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: So please bother me greatly for such when you have time. - Thu Oct  8 03:17:32 2015
<br><br><font color=teal>*Lera(Bailey42) says: Okay~ - Thu Oct  8 03:17:32 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Otherwise , I'd forget haha. - Thu Oct  8 03:17:32 2015
<br><br><font color=teal>*Lera(Bailey42) says: *nod* - Thu Oct  8 03:18:24 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: So will you teach me. - Thu Oct  8 03:18:24 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: I jsut want to know the basics. - Thu Oct  8 03:18:24 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Will you complete my Labyrinth?... - Thu Oct  8 03:18:24 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Is Hassan gone? - Thu Oct  8 03:19:15 2015
<br><br><font color=yellow>*Ryujin, Fujitora(Tre sanders) tosses farmer hat back on "Even the basics are deadly kiddo...And I do not teach anyone just for giggles..Complete the Labyrinth and I'll partially break my vow to retire to teach y' the basics as you call it.." he looked over ,sensing his daughter Izanami.

"Heyya Sweetie...Wanna do daddy a solid?" there was the mission coming.* - Thu Oct  8 03:21:48 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: i do not know what that is I'll just get graps to make you .... - Thu Oct  8 03:24:22 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: My father knows my strict rules.. - Thu Oct  8 03:24:22 2015
<br><br><font color=teal>*Lera(Bailey42) thinks: Its like we're all related somehow... - Thu Oct  8 03:24:22 2015
<br><br><font color=yellow>*Ryujin, Fujitora(Tre sanders) looking to young Izanami, he'd gesture her to come towards him, as Fujitora reached into the kimono sleeve he wears to hand her a scroll which was inscribed by fuuinjutsu markings to mix the words into the letters he wanted but for someone else to try and read it without the giftees permission, they'd scramble.

Then he said to Trilliam "As I said...My teaching is not something I do for giggles..Certain task must be completed."
* - Thu Oct  8 03:25:13 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Because every action has a major reaction.. - Thu Oct  8 03:25:13 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: NOw you are just being a Hater for some reason and don't wat a oyung ninja like me to prosper. - Thu Oct  8 03:27:47 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Hater?...*sigh* Youngins always want it easy... - Thu Oct  8 03:28:38 2015
<br><br><font color=teal>*Ai(Sennalove) says: I'll be back sensei. - Thu Oct  8 03:28:38 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Uhhh. - Thu Oct  8 03:31:12 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: What do I do with this? - Thu Oct  8 03:31:12 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Read it. - Thu Oct  8 03:32:03 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: You teach her but not me... - Thu Oct  8 03:32:03 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Once you are done..Use these here three sealing tags to seal away the caves they made. - Thu Oct  8 03:32:54 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Thats showing Favortsim, - Thu Oct  8 03:32:54 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: She completed my task.. - Thu Oct  8 03:32:54 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Mmm.. - Thu Oct  8 03:32:54 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Iza you dad sucks. - Thu Oct  8 03:32:54 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Okay, got it. - Thu Oct  8 03:32:54 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Everyone ask for me to train them...But everyone also has to go through my trial.. - Thu Oct  8 03:33:45 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Guesss I'll just find out away one my own. - Thu Oct  8 03:33:45 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: *Glances over at Trilliam* - Thu Oct  8 03:33:45 2015
<br><br><font color=yellow>*Ryujin, Fujitora(Tre sanders) sighs.. <Kids these days..>* - Thu Oct  8 03:34:36 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Am I doing this by myself? - Thu Oct  8 03:34:36 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: You may bring a friend or two. - Thu Oct  8 03:34:36 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Okay. - Thu Oct  8 03:34:36 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Uh... - Thu Oct  8 03:35:28 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: *glances around* - Thu Oct  8 03:35:28 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Ill go with you if you want. - Thu Oct  8 03:35:28 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Hm.. - Thu Oct  8 03:35:28 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: I pronballly wont be much help bbut eh. - Thu Oct  8 03:35:28 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Sure, I guess you can come. - Thu Oct  8 03:36:19 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Alright, let's get our stuff ready.~ - Thu Oct  8 03:37:10 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Pack up and be sure to stay within the shadows and disguised... - Thu Oct  8 03:37:10 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Do you have any nifty disguises? - Thu Oct  8 03:38:01 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Nope none. - Thu Oct  8 03:39:44 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: I have one... - Thu Oct  8 03:39:44 2015
<br><br><font color=teal>*Lera(Bailey42) says: ... - Thu Oct  8 03:39:44 2015
<br><br><font color=teal>*Lera(Bailey42) says: Use henge - Thu Oct  8 03:39:44 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) thinks: The one thing everyone ignores.. - Thu Oct  8 03:40:35 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Id use it if i had it - Thu Oct  8 03:41:26 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: -omit- - Thu Oct  8 03:41:26 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Oi, its time for our mission Lera and Trill-guy. - Thu Oct  8 03:42:17 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: I mean... - Thu Oct  8 03:42:17 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: *stares at the scroll* - Thu Oct  8 03:42:17 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) thinks: What should I henge into? - Thu Oct  8 03:42:17 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: But I suppsoed to be helping Iza, - Thu Oct  8 03:42:17 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: I can do it by myself no worries. - Thu Oct  8 03:42:17 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) thinks: If I give her a hat, it'd be good enough right?...Everyone has a farmer hat but this one...Has blades... - Thu Oct  8 03:43:08 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Hmmm, I see. - Thu Oct  8 03:43:08 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) thinks: If he give her that hhat ill make him a clay sandwich - Thu Oct  8 03:44:51 2015
<br><br><font color=teal>*Lera(Bailey42) says: ... - Thu Oct  8 03:44:51 2015
<br><br><font color=teal>*Lera(Bailey42) thinks: Thats just creepy. - Thu Oct  8 03:44:51 2015
<br><br><font color=yellow>*Ryujin, Fujitora(Tre sanders) smiling softly at his daughter, the man would soon place his hat upon her head .

--The Farmers daughter--

"Just incase the henge runs out of time...Use the hat wisely.."  He nods now awaiting for her to leave out on her mission or bring friends just in case.

"There are about 50 workers in the field and caves..You do this alone, it'll be double the reward..With a comrade or so, the normal..Depeding on the performance." he nods.* - Thu Oct  8 03:46:33 2015
<br><br><font color=teal>*Reguel(Psychic_Warrior) says: Heeey. - Thu Oct  8 03:47:24 2015
<br><br><font color=teal>*Reguel(Psychic_Warrior) says: Does anyone want to spar me? - Thu Oct  8 03:47:24 2015
<br><br><font color=teal>*Reguel(Psychic_Warrior) says: I'll give you one-hundred thousand yen if you win. - Thu Oct  8 03:47:24 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Bring me this hat back though haha. - Thu Oct  8 03:47:24 2015
<br><br><font color=teal>*Lera(Bailey42) says: No thanks - Thu Oct  8 03:47:24 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: -omit my earlier statement- - Thu Oct  8 03:48:16 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Badass hat Iza.. - Thu Oct  8 03:49:07 2015
<br><br><font color=teal>*Reguel(Psychic_Warrior) says: Yan! - Thu Oct  8 03:50:49 2015
<br><br><font color=teal>*Reguel(Psychic_Warrior) says: Yan-san. - Thu Oct  8 03:50:49 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Hm? - Thu Oct  8 03:50:49 2015
<br><br><font color=teal>*Reguel(Psychic_Warrior) says: Nice arm wrestle we had earlier. - Thu Oct  8 03:50:49 2015
<br><br><font color=teal>*Reguel(Psychic_Warrior) says: Do you think we could train together? - Thu Oct  8 03:50:49 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: ...Is he asleep? - Thu Oct  8 03:53:23 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I suppose that's that. - Thu Oct  8 03:55:56 2015
<br><br><font color=teal>*Reguel(Psychic_Warrior) says: Alright. - Thu Oct  8 03:56:48 2015
<br><br><font color=teal>*Reguel(Psychic_Warrior) says: Let's train then. - Thu Oct  8 03:56:48 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: If Hassan awakens, let him know im in the training groud=. - Thu Oct  8 03:57:39 2015
<br><br><font color=yellow>*Ryujin, Fujitora(Tre sanders) soon began to read on through the very scroll he was given of the mystic flame dance by his sister so that he may begin learning what properties to be used when tampering with such an ability..He looked forward , reading along while he pushed his crate of rice cakes, offering them to the people "Rice cakes anyone?" he asked with a happy smile, reading the scroll on the slick, this Fujitora showed much focus on this topic, while waiting for some to answer.. He thought about what Hassan said of being a councilmen, perhaos he, his sister and other close ones will become such.. 

"What do you plan to do with Alastor by the way pops?..He did try to kill Yan and admitted to such once asked with my genjutsu to get the answer.." he explained as he read more.* - Thu Oct  8 04:09:36 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) thinks: I think I might have to learn anatomy on my own... - Thu Oct  8 04:12:09 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Oi, Bry-guy baptise meh. - Thu Oct  8 04:14:43 2015
<br><br><font color=yellow>*Ryujin, Fujitora(Tre sanders) soon conintinued to read on through the scroll of the misty flame dance to gain a better understanding, thus rubbing his chin . <Hm...Interesting method..> he thought to himself while his eyes soon were focused on about the fields before him, looking to train one of the key elements he possessed..Perhaps being Fire...Or purely the mans chakra control to be increased by a higher number, he figured that he'd probably be best off trying to advance on to higher controls and fire elemental training as well..Only if he needed such but for now he focused on his fuuinjutsu arts to advance.* - Thu Oct  8 04:16:25 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Hmm? - Thu Oct  8 04:19:50 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Yes Koji? - Thu Oct  8 04:22:24 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: You want to be baptized... are you christian? - Thu Oct  8 04:24:57 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: I like to see myself as one. - Thu Oct  8 04:24:57 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: I practice forgiveness. - Thu Oct  8 04:24:57 2015
<br><br><font color=teal>*Ai(Sennalove) says: Sensei, who's in charge? - Thu Oct  8 04:25:48 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Well if you are christin then I can baptise you - Thu Oct  8 04:26:40 2015
<br><br><font color=yellow>*Ryujin, Fujitora(Tre sanders) was pushing his carts ,answering Ai  "Hassan is.." he then looked to Mirai and asked "Did you and your friend finish the favor I ased for?"* - Thu Oct  8 04:26:40 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Shh... - Thu Oct  8 04:28:22 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) thinks: Saying its a mission gives me away... - Thu Oct  8 04:28:22 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) thinks: This dude is crazy. - Thu Oct  8 04:28:22 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Well, lets do this. - Thu Oct  8 04:30:56 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: I'm doing well. - Thu Oct  8 04:30:56 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: I'm glad to have actually meant her. - Thu Oct  8 04:30:56 2015
<br><br><font color=yellow>*Ryujin, Fujitora(Tre sanders) continues his casual cart pushing "Egg rolls anyone? Extra meaty and large egg rolls with a side of dumpling for 5.99 Yen." * - Thu Oct  8 04:30:56 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: She's interesting and seems to have some insight on our clans fighting style. - Thu Oct  8 04:30:56 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Guessin' the training is gonna be put on hold. - Thu Oct  8 04:31:47 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: We gonna handle that favor now? - Thu Oct  8 04:31:47 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Sure. - Thu Oct  8 04:31:47 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Koji! How much longer will you be awake? - Thu Oct  8 04:31:47 2015
<br><br><font color=teal>*Ai(Sennalove) says: Sensei. - Thu Oct  8 04:35:12 2015
<br><br><font color=teal>*Ai(Sennalove) whispers: Show me the person please, I need to talk with them about my headband. - Thu Oct  8 04:36:03 2015
<br><br><font color=teal>*Ai(Sennalove) whispers: And other things. - Thu Oct  8 04:36:03 2015
<br><br><font color=yellow>*Ryujin, Fujitora(Tre sanders) nods to Ai..* - Thu Oct  8 04:38:36 2015
<br><br><font color=yellow>*Ryujin, Fujitora(Tre sanders) leads her to Hassan.* - Thu Oct  8 04:39:28 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: I will follow. - Thu Oct  8 04:53:07 2015
<br><br><font color=teal>*Ai(Sennalove) says: Yep... - Thu Oct  8 04:58:14 2015
<br><br><font color=teal>*Ai(Sennalove) says: Day dreaming.. - Thu Oct  8 04:58:14 2015
<br><br><font color=yellow>*Ryujin, Fujitora(Tre sanders) began to ponder on the abilities of awakening the very eyes of his, coming to the theory and conclusion of a cold fate..<I must..Cut all emotional..heart  filled ties from this world to gain power?..So be it..> he tried to do such day be day, placing a single hand upon his forehead to release the cold truth upon himself , to remember all that he did and caused, only to not allow such feelings to get in the way or tamper with his mind set now as a retired shinobi looking to become a beacon of their clan..He knew Ushinawa loved his siblings, he followed in what traces Ushinawa left behind as well as Kohaku and Hideki, all with the sharingan, now following his own path to break away from the rest..Taking his own steps away from the loved ones he cherished this day, each step further than the last as he was looking to make himself more empty hearted than ever in this project, trying to see how such would go..<Forgive me..> this was his attempt, on finding the will of he Uchiha to inherit within the very eyes of his.* - Thu Oct  8 05:09:20 2015
<br><br><font color=yellow>*Ryujin, Fujitora(Tre sanders) thinking back on how much he has lost..Though some still remained, he had to force himself to destroy such old emotions..To not forget but to become heartless, just as many of his cousins were..He had to become something he'd never become, something he'd hate himself..Fujitora had to become someone else, other than himself.. * - Thu Oct  8 05:18:43 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: I will be with you Yan - Thu Oct  8 05:40:03 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Bahhk* - Thu Oct  8 05:44:19 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: I am aware - Thu Oct  8 05:47:44 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Thanks. - Thu Oct  8 05:57:07 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) thinks: He's training so hard..mhmm. - Thu Oct  8 06:09:04 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) thinks: Guess i'll do my own training. - Thu Oct  8 06:09:04 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: ... - Thu Oct  8 07:48:03 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Yo. Violet, what did you and Lera talk about earlier? - Thu Oct  8 07:49:45 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: Nothing important... just about Koeki... - Thu Oct  8 07:52:19 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: Did you go back to Kirigakure? - Thu Oct  8 07:55:44 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Not yet. - Thu Oct  8 07:56:35 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: One more question on a ... unrelated note... who is that girl that is always with you - Thu Oct  8 07:57:26 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Mirai? That's girlfriend. Why? - Thu Oct  8 07:59:08 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: .... oh... just asking... I was curious - Thu Oct  8 08:00:00 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: What's with the tone? - Thu Oct  8 08:00:00 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: Im sorry tone? - Thu Oct  8 08:00:00 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Yeah. You're speaking like. . . this. . . - Thu Oct  8 08:00:51 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) thinks: I used to have a girlfriend... RIP my love... - Thu Oct  8 08:00:51 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: Nothing... im just ... thinking - Thu Oct  8 08:00:51 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: Have you ever lost something precious to you - Thu Oct  8 08:01:42 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Hrm. . ? Plenty of times. - Thu Oct  8 08:03:24 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: Have you felt like it was all your fault and you could have prevented it> - Thu Oct  8 08:04:16 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Always. - Thu Oct  8 08:04:16 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: How so you cope with it? - Thu Oct  8 08:05:07 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) thinks: I... dont think I can... - Thu Oct  8 08:05:58 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Indeed. I try to look at the positive things. . . and use it to empower myself. - Thu Oct  8 08:05:58 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: Just deal with it - Thu Oct  8 08:05:58 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: ? - Thu Oct  8 08:05:58 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: To make me grow stronger as motivation. - Thu Oct  8 08:05:58 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) thinks: Motivation... - Thu Oct  8 08:06:49 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) thinks: Use it as a driving tool... - Thu Oct  8 08:06:49 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: I see... - Thu Oct  8 08:06:49 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: I thank you two for your help... - Thu Oct  8 08:08:32 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: I think I know what to do now... - Thu Oct  8 08:08:32 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) thinks: He is very wise for a child... but then again he looks like a seasoned warrior... someone that been through years of pain... - Thu Oct  8 08:10:14 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) thinks: Sanoke... he defected from kirigakure... he left but he loved it. I wonder why... I shall trust his judgement alway - Thu Oct  8 08:11:56 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) thinks: Sanoke, a smart ninja even when he plays around alot. He was loyal to Kiri but left kiri... As a long standing member I will respect his in world - Thu Oct  8 08:14:30 2015
