<br><font color=teal>*Lyan, Bryson (Ninjagangster90210) says: -like- - Fri Oct  2 08:23:02 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Tell me about it... - Fri Oct  2 18:13:32 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: This place is quieter than usual. - Fri Oct  2 18:55:21 2015
<br><br><font color=teal>*Durn(Vysasi) says: Mhm. - Fri Oct  2 18:55:21 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: You all excited for that colloseum? - Fri Oct  2 18:57:04 2015
<br><br><font color=teal>*Durn(Vysasi) says: Colloseum? - Fri Oct  2 18:57:04 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Yeah. Apparently the old coot is building up a giant arena. - Fri Oct  2 18:58:46 2015
<br><br><font color=teal>*Durn(Vysasi) says: Are the fights there to the death? - Fri Oct  2 18:58:46 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: I wouldn't think so. That would be pretty stupid. - Fri Oct  2 19:01:20 2015
<br><br><font color=teal>*Durn(Vysasi) says: Alright. - Fri Oct  2 19:02:11 2015
<br><br><font color=teal>*Mirai(Rakkatta) says: ... - Fri Oct  2 19:03:53 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: . . . - Fri Oct  2 19:04:44 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: What? - Fri Oct  2 19:04:44 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Helllooo? - Fri Oct  2 19:05:36 2015
<br><br><font color=teal>*Mirai(Rakkatta) says: Hi. - Fri Oct  2 19:10:43 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Yo - Fri Oct  2 19:11:34 2015
<br><br><font color=teal>*Durn(Vysasi) says: Hello. - Fri Oct  2 19:12:25 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: . . . - Fri Oct  2 19:12:25 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Three greetings in a row. - Fri Oct  2 19:12:25 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Anyone got anythin' on their agenda today? - Fri Oct  2 19:14:59 2015
<br><br><font color=teal>*Durn(Vysasi) says: Not really. - Fri Oct  2 19:16:41 2015
<br><br><font color=teal>*Uzumaki, Arashiyama(HidariOP) says: Hassan. - Fri Oct  2 19:16:41 2015
<br><br><font color=teal>*Uzumaki, Arashiyama(HidariOP) says: We completed the mission. - Fri Oct  2 19:16:41 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: That we did. - Fri Oct  2 19:17:32 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) thinks: A long time ago, but sure. - Fri Oct  2 19:17:32 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) thinks: It sure is crowded in here. - Fri Oct  2 19:18:24 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: Hm, you really think so? - Fri Oct  2 19:22:40 2015
<br><br><font color=teal>*Durn(Vysasi) says: Yeah. - Fri Oct  2 19:22:40 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: I think this is normal. - Fri Oct  2 19:22:40 2015
<br><br><font color=teal>*Durn(Vysasi) says: I see. - Fri Oct  2 19:23:31 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: Well, whatever. - Fri Oct  2 19:25:13 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Sanoke. - Fri Oct  2 19:25:13 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: Hm, the guy who just said today's a slow day. Could you come with me for a moment? - Fri Oct  2 19:48:16 2015
<br><br><font color=teal>*Durn(Vysasi) says: Why? - Fri Oct  2 19:48:16 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: I just want to ask something. - Fri Oct  2 19:48:16 2015
<br><br><font color=teal>*Durn(Vysasi) says: Alright. - Fri Oct  2 19:48:16 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: What? - Fri Oct  2 19:50:49 2015
<br><br><font color=teal>*Keiko(Shimizu3598) says: . . . - Fri Oct  2 20:07:53 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: . . . - Fri Oct  2 20:08:44 2015
<br><br><font color=yellow>*Ryujin, Fujitora(Tre sanders) yawns.. * - Fri Oct  2 20:19:50 2015
<br><br><font color=teal>*Lyan, Bryson (Ninjagangster90210) says: This is a good passage... - Fri Oct  2 20:23:15 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Goodmorning hun. - Fri Oct  2 20:24:06 2015
<br><br><font color=teal>*Berith(BoyUmbreon) thinks: I wonder which one he is talking too.. - Fri Oct  2 20:24:06 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: *is looking at Berith* - Fri Oct  2 20:26:40 2015
<br><br><font color=teal>*Berith(BoyUmbreon) says: Oh, goodmorning. - Fri Oct  2 20:26:40 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: How is the training going?  - Fri Oct  2 20:27:31 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: ... - Fri Oct  2 20:27:31 2015
<br><br><font color=teal>*Berith(BoyUmbreon) says: Good! Mhm. - Fri Oct  2 20:28:22 2015
<br><br><font color=teal>*Zenaki(Kumaki) thinks: So that's his ''wife''... Good to know. - Fri Oct  2 20:28:22 2015
<br><br><font color=teal>*Berith(BoyUmbreon) says: How is yours going? - Fri Oct  2 20:28:22 2015
<br><br><font color=teal>*Keiko(Shimizu3598) says: Good morning. - Fri Oct  2 20:29:13 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: It's well...You shouldn't behave so distantly hun..Where's the high spirit of yours we both know eh? Hehe. - Fri Oct  2 20:29:13 2015
<br><br><font color=yellow>*Ryujin, Fujitora(Tre sanders) walks on by her.* - Fri Oct  2 20:29:13 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: You ah, sleep alright? - Fri Oct  2 20:30:04 2015
<br><br><font color=teal>*Berith(BoyUmbreon) says: What? I'm not distant... - Fri Oct  2 20:30:56 2015
<br><br><font color=teal>*Keiko(Shimizu3598) says: Honestly? - Fri Oct  2 20:30:56 2015
<br><br><font color=teal>*Keiko(Shimizu3598) says: No. - Fri Oct  2 20:30:56 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: Oh. . .Eh, I'm sorry. - Fri Oct  2 20:31:47 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Kidding ,kidding.. - Fri Oct  2 20:31:47 2015
<br><br><font color=teal>*Keiko(Shimizu3598) says: Did you? - Fri Oct  2 20:31:47 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: Eh? I don't exactly sleep much, I just nap when needed, but I guess for the time I did, it was alright. - Fri Oct  2 20:32:38 2015
<br><br><font color=yellow>*Ryujin, Fujitora(Tre sanders) places a single hand behind Beriths head and pulls her in for his forehead to meet hers "Though I can't help but to think you're a bit pissed at me over something...Not sure why.." he then looks over to see Zenaki.

"Oh...That's right, you two have never met...Zenaki, this is my wife Berith..Berith this is Zenaki.." he nods.* - Fri Oct  2 20:33:29 2015
<br><br><font color=teal>*Keiko(Shimizu3598) says: Must be nice. - Fri Oct  2 20:33:29 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: Not really. - Fri Oct  2 20:34:20 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: ..... - Fri Oct  2 20:34:20 2015
<br><br><font color=teal>*Berith(BoyUmbreon) says: Hey Zenaki. - Fri Oct  2 20:34:20 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: If I didn't have to sleep, I wouldn't. - Fri Oct  2 20:35:12 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: Hm. - Fri Oct  2 20:35:12 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: Anyway. . . - Fri Oct  2 20:36:54 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: You wanna do something? Anything is better than standing around. - Fri Oct  2 20:36:54 2015
<br><br><font color=teal>*Keiko(Shimizu3598) thinks: Should move again...just in case. Again. - Fri Oct  2 20:37:45 2015
<br><br><font color=teal>*Keiko(Shimizu3598) says: Like what? - Fri Oct  2 20:37:45 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Hi* - Fri Oct  2 20:37:45 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: I'm not angry at all. Master made the right choice. For him and you. - Fri Oct  2 20:40:19 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: So good luck. - Fri Oct  2 20:40:19 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: Up to you. - Fri Oct  2 20:40:19 2015
<br><br><font color=teal>*Berith(BoyUmbreon) says: He made the right choice? -raises an eyebrow- Are you trying to imply something? Because you may be his-- but I am not going to just stand here whi-- Ohhhh. Not today.  - Fri Oct  2 20:41:10 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: ..... - Fri Oct  2 20:41:10 2015
<br><br><font color=yellow>*Ryujin, Fujitora(Tre sanders) sighs and just folds his arms "Will you two be quiet...I've only just woken up..." he demands.* - Fri Oct  2 20:42:01 2015
<br><br><font color=teal>*Berith(BoyUmbreon) says: Whatever 'master'.  - Fri Oct  2 20:43:44 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) thinks: So bored. - Fri Oct  2 20:43:44 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: .. Quiet? Tsch. C'mon Master. We're just chatting in a female like way. A way you will never understand hm~  - Fri Oct  2 20:43:44 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) thinks: Bitch fight. - Fri Oct  2 20:43:44 2015
<br><br><font color=teal>*Berith(BoyUmbreon) says: I'm pretty sure he does. - Fri Oct  2 20:43:44 2015
<br><br><font color=teal>*Lyan, Bryson (Ninjagangster90210) says: Lets not fight please...  - Fri Oct  2 20:44:35 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: Maybe later. You need to do something other than spar and train. At least, that's what I think. - Fri Oct  2 20:44:35 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: Though, I did say it was your choice. - Fri Oct  2 20:44:35 2015
<br><br><font color=teal>*Keiko(Shimizu3598) says: Someone else once said that to me too. - Fri Oct  2 20:45:26 2015
<br><br><font color=teal>*Keiko(Shimizu3598) says: They tried to calm me down. - Fri Oct  2 20:45:26 2015
<br><br><font color=teal>*Keiko(Shimizu3598) says: Sometimes...it's best to just let people do what they want to do. - Fri Oct  2 20:45:26 2015
<br><br><font color=yellow>*Ryujin, Fujitora(Tre sanders) sips tea. "Well chatting is chatting I guess....  "he did not like  Beriths attitude as of late.. mocking him with the word Master.* - Fri Oct  2 20:45:26 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: It was simply a suggestion. - Fri Oct  2 20:46:17 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: If you really want to spar, we can. - Fri Oct  2 20:46:17 2015
<br><br><font color=teal>*Berith(BoyUmbreon) says: I'm gonna go walk around. - Fri Oct  2 20:46:17 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: See. He does not.  - Fri Oct  2 20:46:17 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) thinks: That relationship drama, though. - Fri Oct  2 20:46:17 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Oh well.. - Fri Oct  2 20:46:17 2015
<br><br><font color=teal>*Berith(BoyUmbreon) says: Whatever. - Fri Oct  2 20:46:17 2015
<br><br><font color=teal>*Lyan, Bryson (Ninjagangster90210) thinks: Isaiah 1:18 "Come now, let us reason together," says the LORD. "Though your sins are like scarlet, they shall be as white as snow; though they are red as crimson, they shall be like wool. - Fri Oct  2 20:46:17 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: I wonder. - Fri Oct  2 20:47:08 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Why couldn't I just simply look at you? - Fri Oct  2 20:47:08 2015
<br><br><font color=teal>*Lyan, Bryson (Ninjagangster90210) says: Well I hope we can all forgive each other - Fri Oct  2 20:48:00 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: .. - Fri Oct  2 20:48:00 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: . . . - Fri Oct  2 20:48:00 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: .. Sure... - Fri Oct  2 20:48:51 2015
<br><br><font color=yellow>*Ryujin, Fujitora(Tre sanders) followed Berith. "Hold up.."* - Fri Oct  2 20:48:51 2015
<br><br><font color=teal>*Berith(BoyUmbreon) says: Huh? - Fri Oct  2 20:48:51 2015
<br><br><font color=teal>*Berith(BoyUmbreon) whispers: Your slave went with another guy, hurry along before she leaves.  - Fri Oct  2 20:48:51 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) whispers: ....She's not mine anymore...I've told her this.. - Fri Oct  2 20:49:42 2015
<br><br><font color=teal>*Berith(BoyUmbreon) whispers: Seeems like she is. - Fri Oct  2 20:50:33 2015
<br><br><font color=teal>*Berith(BoyUmbreon) whispers: I mean, that glare though. All over it. - Fri Oct  2 20:50:33 2015
<br><br><font color=teal>*Berith(BoyUmbreon) whispers: I do not want no damn love triangle, if this is where it is going. - Fri Oct  2 20:51:24 2015
<br><br><font color=teal>*Berith(BoyUmbreon) whispers: I love you, you are my husband, so you will have to choose. - Fri Oct  2 20:51:24 2015
<br><br><font color=teal>*Berith(BoyUmbreon) whispers: Either you stay with me, or you go and have sex with other women. - Fri Oct  2 20:51:24 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) whispers: I'm staying with you Berith... - Fri Oct  2 20:52:16 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) whispers: Please remember the struggles I've gone through just to find you alive here... - Fri Oct  2 20:52:16 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) whispers: Don't destroy them over this.. - Fri Oct  2 20:52:16 2015
<br><br><font color=teal>*Berith(BoyUmbreon) says: ME?! - Fri Oct  2 20:52:16 2015
<br><br><font color=teal>*Berith(BoyUmbreon) says: I didn't do nothing. - Fri Oct  2 20:52:16 2015
<br><br><font color=teal>*Berith(BoyUmbreon) says: It was that chick. - Fri Oct  2 20:52:16 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) whispers: You just tried to make me choose...Knowing I'd pick you. - Fri Oct  2 20:53:07 2015
<br><br><font color=teal>*Berith(BoyUmbreon) whispers: Well, DUH. - Fri Oct  2 20:53:07 2015
<br><br><font color=teal>*Berith(BoyUmbreon) whispers: I do not want to be in a love triangle. - Fri Oct  2 20:53:07 2015
<br><br><font color=teal>*Berith(BoyUmbreon) whispers: Is either me or them, simple. - Fri Oct  2 20:53:07 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) whispers: Them?.... - Fri Oct  2 20:53:58 2015
<br><br><font color=teal>*Berith(BoyUmbreon) whispers: Yeah, as in women. - Fri Oct  2 20:54:49 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) whispers: I am not a man whore...If I love a woman its not for fucks and lust..I love you Berith.. - Fri Oct  2 20:54:49 2015
<br><br><font color=teal>*Berith(BoyUmbreon) whispers: [ brb relogging - Fri Oct  2 20:55:40 2015
<br><br><font color=teal>*Mirai(Rakkatta) says: .. - Fri Oct  2 20:59:05 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: . . .? - Fri Oct  2 20:59:05 2015
<br><br><font color=teal>*Mirai(Rakkatta) says: You seem interested. - Fri Oct  2 21:00:48 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: I am. This is the most action the square has seen all day. - Fri Oct  2 21:00:48 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: On another note. You oughta go get a mission or two. - Fri Oct  2 21:00:48 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: He's right though. - Fri Oct  2 21:00:48 2015
<br><br><font color=teal>*Mirai(Rakkatta) says: and who are you? - Fri Oct  2 21:01:39 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: Your average teenager. - Fri Oct  2 21:06:46 2015
<br><br><font color=teal>*Mirai(Rakkatta) says: .. - Fri Oct  2 21:07:37 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: His name's Taiga. - Fri Oct  2 21:09:20 2015
<br><br><font color=teal>*Mirai(Rakkatta) says: Hello, Taiga. - Fri Oct  2 21:10:11 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: Hello ma'm. - Fri Oct  2 21:10:11 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) thinks: Who is he calling ma'am? - Fri Oct  2 21:11:02 2015
<br><br><font color=teal>*Mirai(Rakkatta) says: Nice to meet you. - Fri Oct  2 21:11:53 2015
<br><br><font color=teal>*Berith(BoyUmbreon) whispers: Sooooooooooooooo, you choosing? - Fri Oct  2 21:13:36 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: Likewise. - Fri Oct  2 21:14:27 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Oi. - Fri Oct  2 21:14:27 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: What is going on here? - Fri Oct  2 21:14:27 2015
<br><br><font color=teal>*Lyan, Bryson (Ninjagangster90210) says: Nothing... constant bickering and spars - Fri Oct  2 21:15:18 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Berith-san. - Fri Oct  2 21:15:18 2015
<br><br><font color=teal>*Berith(BoyUmbreon) says: What? - Fri Oct  2 21:16:09 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: We need to talk. - Fri Oct  2 21:16:09 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I've decided to train you all individually. - Fri Oct  2 21:16:09 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: It'll be more proficient. - Fri Oct  2 21:16:09 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: And since the other two aren't here, you're first. - Fri Oct  2 21:17:00 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) whispers: Course, you. Hehe.. - Fri Oct  2 21:17:00 2015
<br><br><font color=teal>*Lyan, Bryson (Ninjagangster90210) says: Who do you need to talk to Kirie? - Fri Oct  2 21:17:00 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) whispers: Give me a bit. - Fri Oct  2 21:17:00 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Training eh? - Fri Oct  2 21:17:00 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) whispers: Need to handle some stuff. - Fri Oct  2 21:17:00 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: Wait, who is he talking to? - Fri Oct  2 21:17:52 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: Who is he training? - Fri Oct  2 21:17:52 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Not you bible guy. - Fri Oct  2 21:17:52 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I'm both your Daughter and wife's squad leader. - Fri Oct  2 21:17:52 2015
<br><br><font color=teal>*Berith(BoyUmbreon) whispers: Then why did that chick said good-luck? If she tries to kill me and I die. I will somehow get revived and kill you myself. - Fri Oct  2 21:17:52 2015
<br><br><font color=teal>*Lyan, Bryson (Ninjagangster90210) says: Very well - Fri Oct  2 21:17:52 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) thinks: Not this guy again. - Fri Oct  2 21:17:52 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: I think some time traning will ease your mind hun.. - Fri Oct  2 21:17:52 2015
<br><br><font color=teal>*Berith(BoyUmbreon) says: I don't want to train. - Fri Oct  2 21:18:43 2015
<br><br><font color=yellow>*Ryujin, Fujitora(Tre sanders) points to the lucky lockpick he gave her "I'll be reading scrolls...You go and get whatever orders you have done." kissed her on the head .* - Fri Oct  2 21:19:34 2015
<br><br><font color=teal>*Berith(BoyUmbreon) whispers: What, can't kiss me on the lips or something? - Fri Oct  2 21:19:34 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) thinks: Poor guy. - Fri Oct  2 21:20:25 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) whispers: You'll have to do it to prove you're not mad.. - Fri Oct  2 21:20:25 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) thinks: His mistress and his wife in the same village. - Fri Oct  2 21:20:25 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) thinks: This is almost like a soap opera. - Fri Oct  2 21:20:25 2015
<br><br><font color=yellow>*Ryujin, Fujitora(Tre sanders) frowns a bit.. <Damn...> he slowly turns around and opens a scroll to study upon.* - Fri Oct  2 21:21:16 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: That's good. - Fri Oct  2 21:21:16 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: It's only a test. - Fri Oct  2 21:21:16 2015
<br><br><font color=teal>*Lyan, Bryson (Ninjagangster90210) says: The 8 commandment by god... Thy shall not bear false witness - Fri Oct  2 21:21:16 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Lesson to learn here. - Fri Oct  2 21:22:08 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Keep it in your pants and your wife and mistress away from each other - Fri Oct  2 21:22:08 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) thinks: Is she really mad I did not kiss her on the lips? Last time I did that when she was pissed she kicked me in the dick! - Fri Oct  2 21:22:08 2015
<br><br><font color=teal>*Zenaki(Kumaki) thinks: I hope he'll get it done. - Fri Oct  2 21:22:59 2015
<br><br><font color=teal>*Lyan, Bryson (Ninjagangster90210) thinks: 9 and 10... Thy shall not covet your neighbors wife or goods - Fri Oct  2 21:22:59 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) thinks: Oh well...Gonna have to face it...Retired...Wifes a shinobi..Kids a shinobi...Student leading them.. - Fri Oct  2 21:22:59 2015
<br><br><font color=yellow>*Ryujin, Fujitora(Tre sanders) walks on south "I'll be at my mountain..." nigga owned land scapes like Piccolo* - Fri Oct  2 21:26:24 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: So, anyone seen where Berith went off to? - Fri Oct  2 21:32:22 2015
<br><br><font color=teal>*Durn(Vysasi) says: Not really. - Fri Oct  2 21:33:13 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: East of here. - Fri Oct  2 21:33:13 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Thanks. - Fri Oct  2 21:34:04 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: yo - Fri Oct  2 21:35:47 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Eh? - Fri Oct  2 21:35:47 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Howd it go? - Fri Oct  2 21:35:47 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Howd what go? - Fri Oct  2 21:36:38 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: I do not know. - Fri Oct  2 21:36:38 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: I thought you were going to be pist or something. - Fri Oct  2 21:36:38 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: I'm looking for my wife at the moment. - Fri Oct  2 21:36:38 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Later,kay? - Fri Oct  2 21:36:38 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Seisuke went off with her I think - Fri Oct  2 21:36:38 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: .... - Fri Oct  2 21:36:38 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: I would have helped you look but whatever - Fri Oct  2 21:36:38 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Later. - Fri Oct  2 21:37:29 2015
<br><br><font color=yellow>*Ryujin, Fujitora(Tre sanders) soon checked by the hospital asking the desk or whoever was attending the desk , if someone arrived to answer his question he'd ask "Hey, I'm looking for my wife..Have you seen her?" he'd ask whichever person was at the hospital check in desk.* - Fri Oct  2 22:03:05 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: desklady: No I have not.  - Fri Oct  2 22:03:56 2015
<br><br><font color=yellow>*Ryujin, Fujitora(Tre sanders) sighing he said "I see..Well thanks.." he figured Berith must of really been pissed with him, or ran off on some mission with Seisuke someplace..He continued his search around the village, waiting for her arrival patiently.* - Fri Oct  2 22:05:39 2015
<br><br><font color=yellow>*Ryujin, Fujitora(Tre sanders) was still at central waiting, going home now where'd he would be in his study, waiting on Berith or some news of her well being, seeing that it must of been a long mission, he looked to the window and thought ho himself <Is she really going to be away for half a day that long and not send me any letters?..> he thought to himself while standing up to put out formulation marks on a scroll, thinking about his wife...* - Fri Oct  2 22:48:19 2015
<br><br><font color=yellow>*Ryujin, Fujitora(Tre sanders) still being home with the kids, he himself was unaware of what was going on, the man looking out the window once more, waiting for his wife to arrive..She was gone for a long time period now, and Fujitora was becoming impatient, so he decided to walk around Sunagakure once more, scouting for her and not even worried about his training at the moment.

"Where could she be?..." trying to find a trace of her , trying to track her down, it only lead him to central once more and once again from the spot she left off to and the spot of which they spoke and kissed..He was concerned for such, but the man soon went to speak to his daughter so that the two would betraining later...However he also needed to tend to his search yet again as well, and because of such, Fujitora did not stop his wait for her, some piece of form of her to appear, he worried...<Can't be going away like this without warning me..> he had no clue..* - Fri Oct  2 23:08:48 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Back - Fri Oct  2 23:11:21 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Mhm. I'd say rest a little bit more. I'll take the bandage away in 30 minutes. - Fri Oct  2 23:19:02 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: It should be fine. By then. - Fri Oct  2 23:19:53 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Don't get scared. I am going to heal your eye once more. - Fri Oct  2 23:19:53 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Well... The first attempt didn't go well. I had to replace it. But it works now. - Fri Oct  2 23:24:09 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: So both....My eyes are fine? - Fri Oct  2 23:24:09 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Kinda yea. - Fri Oct  2 23:25:00 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Fujitora. - Fri Oct  2 23:42:56 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: I am tired of Kirigakure. - Fri Oct  2 23:42:56 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Eh? - Fri Oct  2 23:43:47 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Why don't you stay here then? - Fri Oct  2 23:43:47 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Mizumi attacked Violet, Setsuko and I. - Fri Oct  2 23:44:38 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: And because Hassan does not want me here. - Fri Oct  2 23:44:38 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: .... - Fri Oct  2 23:44:38 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Damn.. - Fri Oct  2 23:44:38 2015
