<br><font color=teal>*Sanoke(Gamuhz2) says: Come.. - Sat Nov  7 10:47:15 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) thinks: You are making me look insane, and that fuckin' hurt. - Sat Nov  7 13:45:36 2015
<br><br><font color=teal>*Ghost Kilm(Vysasi) thinks: Everyone realizes you're possessed by me. - Sat Nov  7 13:45:36 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: #I'unno. I think Kilm is like. . in purgatory? - Sat Nov  7 13:45:36 2015
<br><br><font color=teal>*Ghost Kilm(Vysasi) thinks: Atleast now that I've hit my brother. - Sat Nov  7 13:45:36 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: ... - Sat Nov  7 13:45:36 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) thinks: Ughhhhh, man. She's looking at me weird. - Sat Nov  7 13:45:36 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) thinks: Look what you did? - Sat Nov  7 13:45:36 2015
<br><br><font color=teal>*Ghost Kilm(Vysasi) thinks: It'll be alright after I leave. They all know i'm doing this in you. - Sat Nov  7 13:46:27 2015
<br><br><font color=teal>*Lera(Bailey42) says: .... - Sat Nov  7 13:46:27 2015
<br><br><font color=teal>*Lera(Bailey42) says: Kilm? Thats Kilm? - Sat Nov  7 13:46:27 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: <*Shrugs*> Maybe. - Sat Nov  7 13:46:27 2015
<br><br><font color=teal>*Ghost Kilm(Vysasi) says: Yeah, That's me. - Sat Nov  7 13:46:27 2015
<br><br><font color=teal>*Lera(Bailey42) says: ...... - Sat Nov  7 13:47:18 2015
<br><br><font color=teal>*Mashai(Novaraven747) says: ...Your dead? What happened man? - Sat Nov  7 13:47:18 2015
<br><br><font color=teal>*Ghost Kilm(Vysasi) says: Sorry, I want to borrow this girl for a bit. - Sat Nov  7 13:47:18 2015
<br><br><font color=teal>*Lera(Bailey42) says: This shit just gets weirder and weirder. - Sat Nov  7 13:47:18 2015
<br><br><font color=teal>*Ghost Kilm(Vysasi) says: And I ain't going to talk about what happened, That's for you guys to find out. - Sat Nov  7 13:47:18 2015
<br><br><font color=teal>*Ghost Kilm(Vysasi) says: Oh and Lera. - Sat Nov  7 13:48:09 2015
<br><br><font color=teal>*Lera(Bailey42) says: ...What. - Sat Nov  7 13:48:09 2015
<br><br><font color=teal>*Ghost Kilm(Vysasi) says: You got your ass handed to you yesterday. - Sat Nov  7 13:48:09 2015
<br><br><font color=teal>*Lera(Bailey42) says: ... - Sat Nov  7 13:48:09 2015
<br><br><font color=teal>*Ghost Kilm(Vysasi) says: I was watching. - Sat Nov  7 13:49:00 2015
<br><br><font color=teal>*Ghost Kilm(Vysasi) says: I didn't watch Index and that other guy battle it out though . . . Who won? Do you know? - Sat Nov  7 13:49:00 2015
<br><br><font color=teal>*Lera(Bailey42) says: No idea. - Sat Nov  7 13:49:52 2015
<br><br><font color=teal>*Lera(Bailey42) says: Well. I did hear that they killed a girl by accident - Sat Nov  7 13:49:52 2015
<br><br><font color=teal>*Lera(Bailey42) says: And ortho 'broke' - Sat Nov  7 13:49:52 2015
<br><br><font color=teal>*Ghost Kilm(Vysasi) says: I also saw Koeki. She tried crushing you. - Sat Nov  7 13:49:52 2015
<br><br><font color=teal>*Lera(Bailey42) says: Mentally. - Sat Nov  7 13:49:52 2015
<br><br><font color=teal>*Lera(Bailey42) says: Did she? Huh. - Sat Nov  7 13:49:52 2015
<br><br><font color=teal>*Ghost Kilm(Vysasi) says: And I tried poking you. - Sat Nov  7 13:49:52 2015
<br><br><font color=teal>*Lera(Bailey42) says: .... - Sat Nov  7 13:49:52 2015
<br><br><font color=teal>*Lera(Bailey42) says: Oh great. Are you going to be one of those Pervert ghosts? - Sat Nov  7 13:49:52 2015
<br><br><font color=teal>*Ghost Kilm(Vysasi) says: Nope. - Sat Nov  7 13:49:52 2015
<br><br><font color=teal>*Lera(Bailey42) says: You better not be. - Sat Nov  7 13:50:43 2015
<br><br><font color=teal>*Ghost Kilm(Vysasi) says: I also saw Tethys, Niklaus and Kronos. - Sat Nov  7 13:50:43 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) thinks: Liiiiiiiiieeeessss. - Sat Nov  7 13:50:43 2015
<br><br><font color=teal>*Lera(Bailey42) says: ... - Sat Nov  7 13:50:43 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) thinks: Getting all up inside a girl. - Sat Nov  7 13:50:43 2015
<br><br><font color=teal>*Ghost Kilm(Vysasi) thinks: I ain't, Else I'd be doing things alone with your body. - Sat Nov  7 13:50:43 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) thinks: W-wha.... - Sat Nov  7 13:50:43 2015
<br><br><font color=teal>*Ghost Kilm(Vysasi) thinks: I was never a pervert anyway. - Sat Nov  7 13:51:34 2015
<br><br><font color=teal>*Ghost Kilm(Vysasi) says: My death was somewhat for the better though, You might not have known but I had dozens of personalities and I was both mentally and emotionally unstable. - Sat Nov  7 13:54:08 2015
<br><br><font color=teal>*Ghost Kilm(Vysasi) says: Guess this ain't working on Zole. - Sat Nov  7 13:54:59 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) thinks: ...oh great, a crazy ghost is in me. - Sat Nov  7 13:55:50 2015
<br><br><font color=yellow>*Nakano, Kiyoko(HypnoticEssence) gasped as he left, "Fucking....weird...crazy ass.... ghost!" Her voice cracked in a squeak as she was clearly past being freaked out.* - Sat Nov  7 13:56:41 2015
<br><br><font color=teal>*Lera(Bailey42) says: ... - Sat Nov  7 13:56:41 2015
<br><br><font color=yellow>*Nakano, Kiyoko(HypnoticEssence) shook some as the arm was wrapped around her and she darted her gaze around trying to figure out if she could see the foreign spirit that had embodied her. "...why couldn't he just... go into someone that actually knew him. I've never even heard of a Kilm."* - Sat Nov  7 13:58:24 2015
<br><br><font color=teal>*Lera(Bailey42) says: Because he's an ass. - Sat Nov  7 13:59:15 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) says: Hmph... - Sat Nov  7 14:01:48 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: WEll that was something. - Sat Nov  7 14:14:36 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) says: That was crazy... - Sat Nov  7 14:14:36 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Indeed. Never seen anything like it. - Sat Nov  7 14:14:36 2015
<br><br><font color=teal>*Kana(Zoey-Lover) says: Oi. - Sat Nov  7 14:16:19 2015
<br><br><font color=teal>*Lera(Bailey42) says: Hmmm. - Sat Nov  7 14:36:48 2015
<br><br><font color=teal>*Lera(Bailey42) says: mhm...want to spar? Swords only, I need the practice. - Sat Nov  7 14:41:55 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: Sure! Want to head to the training grounds? - Sat Nov  7 14:42:46 2015
<br><br><font color=teal>*Lera(Bailey42) says: Mhm, lets go. - Sat Nov  7 14:42:46 2015
<br><br><font color=yellow>*Nakano, Kiyoko(HypnoticEssence) stood and watched le sparring!* - Sat Nov  7 14:58:08 2015
<br><br><font color=teal>*Lera(Bailey42) says: ...Are you...okay? - Sat Nov  7 15:44:12 2015
<br><br><font color=teal>*Lera(Bailey42) thinks: Dead people should stay dead... - Sat Nov  7 15:45:55 2015
<br><br><font color=teal>*Ghost Kilm(Vysasi) thinks: Maybe . . . I'm not sure if I would regain those personalities. I do like to fuck around though now. - Sat Nov  7 15:47:37 2015
<br><br><font color=teal>*Lera(Bailey42) says: I uh...have a lot of experience. - Sat Nov  7 15:47:37 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: I can see! Hahaha! - Sat Nov  7 15:48:28 2015
<br><br><font color=teal>*Lera(Bailey42) says: You're rather cheerfuk. - Sat Nov  7 15:48:28 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: Dad says if you lose and your still alive, thats enough to cheer for. You just gotta make sure you improve by the next time you fight! - Sat Nov  7 15:49:20 2015
<br><br><font color=teal>*Lera(Bailey42) says: I see. - Sat Nov  7 15:49:20 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: Why aren't you happy. You beat me fair and square. Cheer up a little, its a shame for a girl cute as yourself not to smile! - Sat Nov  7 15:51:02 2015
<br><br><font color=teal>*Lera(Bailey42) says: Cute? Why thank you, but I'm not satified until I have the strength to beat anyone soundly. - Sat Nov  7 15:51:02 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: You said, you were elementalist right? You were holding back. Nothing is wrong with your victory, so celebrate. Not that a loser like me can request anything.  - Sat Nov  7 15:52:44 2015
<br><br><font color=teal>*Lera(Bailey42) says: You just need practice and you'll be good to go. - Sat Nov  7 15:52:44 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: I think I need a bit more then practice. But, I never stop training so someday I'll get strong!  - Sat Nov  7 15:54:27 2015
<br><br><font color=teal>*Lera(Bailey42) says: Mhm, Some day. - Sat Nov  7 15:55:18 2015
<br><br><font color=teal>*Lera(Bailey42) says: Have you ever considered learning any ninjutsu? - Sat Nov  7 15:55:18 2015
<br><br><font color=yellow>*Nakano, Kiyoko(HypnoticEssence) felt tired but simply watched, she just was sort of in zombie mode now.* - Sat Nov  7 15:55:18 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: I'm not a fan of complicated things like that! - Sat Nov  7 15:57:00 2015
<br><br><font color=teal>*Lera(Bailey42) says: I see...well I would reccomend learning a few at least. They are quite useful after all. - Sat Nov  7 15:57:52 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: Hehe, I guess so but... I want to master my dads swordmanship. Its where all my cocnetration goes, so while it may be helpful. My path is set for now. - Sat Nov  7 15:59:34 2015
<br><br><font color=teal>*Lera(Bailey42) says: Alright. The offer is there if you ever need it...I know quite a wide range. So i'll be happy to teach you a few. - Sat Nov  7 16:00:25 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: Hehe, thanks. - Sat Nov  7 16:02:08 2015
<br><br><font color=teal>*Lera(Bailey42) says: Shall we go back? - Sat Nov  7 16:02:08 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: Sure. - Sat Nov  7 16:02:59 2015
<br><br><font color=teal>*Lera(Bailey42) says: ... - Sat Nov  7 16:06:24 2015
<br><br><font color=teal>*Ghost Kilm(Vysasi) says: You will never feel this if I don't try to talk with you telepathically, Fun. - Sat Nov  7 16:08:06 2015
<br><br><font color=yellow>*Nakano, Kiyoko(HypnoticEssence) snapped out of her daze...somehow...someway...she was back at the bench with Lera. Slowly she peered over to the woman looking rather sleepy and confused. "H-how....?"* - Sat Nov  7 16:10:40 2015
<br><br><font color=teal>*Lera(Bailey42) says: ...Magic. - Sat Nov  7 16:11:31 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) says: I don't remember moving... - Sat Nov  7 16:11:31 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: She carried you. - Sat Nov  7 16:11:31 2015
<br><br><font color=teal>*Lera(Bailey42) says: You must have blanked out - Sat Nov  7 16:11:31 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) says: ....Oh... thank...you? - Sat Nov  7 16:11:31 2015
<br><br><font color=teal>*Lera(Bailey42) says: You're welcome. - Sat Nov  7 16:11:31 2015
<br><br><font color=teal>*Zole(-The Creepy SoulHunter-) says: You can do magic here ? - Sat Nov  7 16:11:31 2015
<br><br><font color=teal>*Lera(Bailey42) says: I can fly. Thats close enough right? - Sat Nov  7 16:12:22 2015
<br><br><font color=teal>*Zole(-The Creepy SoulHunter-) says: Nope. - Sat Nov  7 16:12:22 2015
<br><br><font color=teal>*Lera(Bailey42) says: Its magic if you believe it is. - Sat Nov  7 16:12:22 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) says: ....you...what? - Sat Nov  7 16:13:13 2015
<br><br><font color=yellow>*Nakano, Kiyoko(HypnoticEssence) blinked several times and then rubbed her eyes, "I think I'm still asleep."* - Sat Nov  7 16:13:13 2015
<br><br><font color=teal>*Lera(Bailey42) says: Hm? Why? - Sat Nov  7 16:14:56 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) says: You just said you can fly. - Sat Nov  7 16:14:56 2015
<br><br><font color=teal>*Lera(Bailey42) says: Mhm. - Sat Nov  7 16:14:56 2015
<br><br><font color=teal>*Zole(-The Creepy SoulHunter-) says: My bro could fly aswell. - Sat Nov  7 16:14:56 2015
<br><br><font color=teal>*Lera(Bailey42) says: Yeah, who do you think taught him? - Sat Nov  7 16:15:47 2015
<br><br><font color=teal>*Zole(-The Creepy SoulHunter-) says: I don't know ? - Sat Nov  7 16:15:47 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) says: Can I learn how to fly? - Sat Nov  7 16:15:47 2015
<br><br><font color=teal>*Lera(Bailey42) says: ,,,Ut was a rhetorical question. I taught him how to fly. - Sat Nov  7 16:15:47 2015
<br><br><font color=teal>*Zole(-The Creepy SoulHunter-) says: So . . You taught Kilm ? - Sat Nov  7 16:15:47 2015
<br><br><font color=teal>*Lera(Bailey42) says: Yeah and it depends Kiyoko. - Sat Nov  7 16:15:47 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) says: On what? - Sat Nov  7 16:16:38 2015
<br><br><font color=teal>*Lera(Bailey42) says: It takes some skill with the Doton element to fly. - Sat Nov  7 16:16:38 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) says: ....o-oh.... - Sat Nov  7 16:17:29 2015
<br><br><font color=yellow>*Nakano, Kiyoko(HypnoticEssence) lowered her head, "hah...guess I won't be learning then."* - Sat Nov  7 16:18:20 2015
<br><br><font color=teal>*Zole(-The Creepy SoulHunter-) says: Doton . .  - Sat Nov  7 16:18:20 2015
<br><br><font color=teal>*Lera(Bailey42) says: Well, if you have the element. You can learn it, hell you can learn it without the element...if you work hard at it that is. - Sat Nov  7 16:18:20 2015
<br><br><font color=teal>*Zole(-The Creepy SoulHunter-) says: Really ? - Sat Nov  7 16:18:20 2015
<br><br><font color=teal>*Lera(Bailey42) says: Yes its possible. - Sat Nov  7 16:18:20 2015
<br><br><font color=teal>*Zole(-The Creepy SoulHunter-) says: Hoow ? - Sat Nov  7 16:19:12 2015
<br><br><font color=teal>*Lera(Bailey42) says: Learn the element. - Sat Nov  7 16:20:03 2015
<br><br><font color=teal>*Zole(-The Creepy SoulHunter-) says: You just said you can learn it without the element . .  - Sat Nov  7 16:20:03 2015
<br><br><font color=teal>*Lera(Bailey42) says: You can - Sat Nov  7 16:20:03 2015
<br><br><font color=teal>*Lera(Bailey42) says: And you do it by learning the element. - Sat Nov  7 16:20:03 2015
<br><br><font color=teal>*Zole(-The Creepy SoulHunter-) says: . . . - Sat Nov  7 16:20:03 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) thinks: He's annoying. - Sat Nov  7 16:20:03 2015
<br><br><font color=teal>*Zole(-The Creepy SoulHunter-) says: Okay okay. - Sat Nov  7 16:20:03 2015
<br><br><font color=teal>*Mashai(Novaraven747) says: Because maybe it's someting i'll enjoy listening to from you.? - Sat Nov  7 16:21:45 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Hum? - Sat Nov  7 16:22:36 2015
<br><br><font color=teal>*Zole(-The Creepy SoulHunter-) says: Oh well . .I will go and look for Trill, Bye guys ! - Sat Nov  7 16:23:28 2015
<br><br><font color=teal>*Mashai(Novaraven747) says: That may have come out a little... wrong? I mean like... I'm a little weird alright. I just guess what evert it was is something entertaining to hear? - Sat Nov  7 16:24:19 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: ...  - Sat Nov  7 16:26:52 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Not intrested. - Sat Nov  7 16:26:52 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: I am not allowed to let in more people into my house from Master. - Sat Nov  7 16:26:52 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: Master? - Sat Nov  7 16:27:44 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: H-Huh.. Yea.. Master.  - Sat Nov  7 16:27:44 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: Ah! Do you live at some sort of Dojo?! - Sat Nov  7 16:28:35 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: No? - Sat Nov  7 16:28:35 2015
<br><br><font color=teal>*Mashai(Novaraven747) says: No I mean I just want to know what happened really? - Sat Nov  7 16:29:26 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: Ahh.... Wait... then why do you call that person, master? - Sat Nov  7 16:30:17 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: My Master is my Master.  - Sat Nov  7 16:30:17 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: And I did medical stuff at home.  - Sat Nov  7 16:30:17 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: That doesn't make sense.... - Sat Nov  7 16:31:08 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: It got a bit bloody.  - Sat Nov  7 16:31:08 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: That's why. - Sat Nov  7 16:31:08 2015
<br><br><font color=yellow>*Nakano, Kiyoko(HypnoticEssence) started to drift off again, her head drooping faintly as her hands rested in her lap and between her legs.* - Sat Nov  7 16:33:42 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: ... - Sat Nov  7 16:34:33 2015
<br><br><font color=teal>*Mashai(Novaraven747) says: Anyway. I see. I wasn't asking to like visit or anything. I just wanted to know where the blood came from. that was all Zenaki. - Sat Nov  7 16:35:24 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: I just told you. - Sat Nov  7 16:36:16 2015
<br><br><font color=teal>*Mashai(Novaraven747) thinks: Do not say your a Masochist whatever you do! - Sat Nov  7 16:36:16 2015
<br><br><font color=teal>*Mashai(Novaraven747) says: Mhmm. I know. - Sat Nov  7 16:36:16 2015
<br><br><font color=teal>*Mashai(Novaraven747) says: So... Anyway. It was nice talking to you Zenaki. - Sat Nov  7 16:37:58 2015
<br><br><font color=teal>*Lera(Bailey42) whispers: You tired? - Sat Nov  7 16:38:49 2015
<br><br><font color=yellow>*Nakano, Kiyoko(HypnoticEssence) jerked her head up suddenly from the whisper. "Eh?"* - Sat Nov  7 16:40:32 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) whispers: Oh...n-no... I'm fine. - Sat Nov  7 16:40:32 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Mhm.. - Sat Nov  7 16:40:32 2015
<br><br><font color=teal>*Lera(Bailey42) whispers: If you're tired, then feel free to rest your head on my shoulder. I don't mind. - Sat Nov  7 16:40:32 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) whispers: ...thats... I don't think that's a good idea. I mean you hardly know me. - Sat Nov  7 16:41:23 2015
<br><br><font color=teal>*Lera(Bailey42) whispers: Hm? Why so? We are friends now, are we not? - Sat Nov  7 16:42:14 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) whispers: ...We are friends? - Sat Nov  7 16:42:14 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) whispers: So quickly? - Sat Nov  7 16:42:14 2015
<br><br><font color=teal>*Lera(Bailey42) whispers: Is that strange? - Sat Nov  7 16:43:05 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) whispers: I'm not used to making friends so quickly. - Sat Nov  7 16:43:05 2015
<br><br><font color=teal>*Mashai(Novaraven747) says: I'll talk to you again soon i suppose? - Sat Nov  7 16:43:05 2015
<br><br><font color=yellow>*Nakano, Kiyoko(HypnoticEssence) bit down on her lip and rolled it around for a moment before leaning in against Lera's shoulder and closing her eyes. Course now she couldn't sleep because all she could think about was what was just said. Regardless she tried to get a bit of rest, if even just for a few minutes.* - Sat Nov  7 16:43:56 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: Hassan awake..? - Sat Nov  7 17:09:32 2015
<br><br><font color=teal>*Lera(Bailey42) says: Probably not... - Sat Nov  7 17:14:40 2015
<br><br><font color=teal>*Zole(-The Creepy SoulHunter-) says: Yo! Guys. - Sat Nov  7 18:01:36 2015
<br><br><font color=teal>*Zole(-The Creepy SoulHunter-) says: ? - Sat Nov  7 18:06:43 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: . . . . . - Sat Nov  7 18:06:43 2015
<br><br><font color=teal>*Zole(-The Creepy SoulHunter-) says: . . . huh - Sat Nov  7 18:06:43 2015
<br><br><font color=teal>*Zole(-The Creepy SoulHunter-) says: Hey . . Zenaki. - Sat Nov  7 18:09:16 2015
<br><br><font color=teal>*Zole(-The Creepy SoulHunter-) says: huuh ? - Sat Nov  7 18:12:41 2015
<br><br><font color=teal>*Zole(-The Creepy SoulHunter-) says: Yea, just saying hi. - Sat Nov  7 18:13:32 2015
<br><br><font color=teal>*Zole(-The Creepy SoulHunter-) says: As if I got something to do now . .  - Sat Nov  7 18:13:32 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: You can train! Thats always an option! - Sat Nov  7 18:14:24 2015
<br><br><font color=teal>*Zole(-The Creepy SoulHunter-) says: Train with who ? - Sat Nov  7 18:14:24 2015
<br><br><font color=teal>*Zole(-The Creepy SoulHunter-) says: The only one I could train with, is dead. - Sat Nov  7 18:14:24 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: Just train by yourself! Oh...wait...dead... Oh I'm sorry, I should've thought more before speaking. - Sat Nov  7 18:15:15 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: M-Momura! - Sat Nov  7 18:15:15 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: U-Um, I have to tell you something.... - Sat Nov  7 18:15:15 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: U-Uh..... - Sat Nov  7 18:15:15 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: Y-You know that d-dog person? - Sat Nov  7 18:15:15 2015
<br><br><font color=teal>*Zole(-The Creepy SoulHunter-) says: Yes . .  - Sat Nov  7 18:17:48 2015
<br><br><font color=teal>*Zole(-The Creepy SoulHunter-) says: Training by my self . . ? - Sat Nov  7 18:17:48 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: Well...I do it all the time, when my dads too busy. - Sat Nov  7 18:17:48 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: H-He..... - Sat Nov  7 18:18:40 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: H-He....um.... - Sat Nov  7 18:18:40 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: Got knocked out.... - Sat Nov  7 18:18:40 2015
<br><br><font color=teal>*Zole(-The Creepy SoulHunter-) says: Well . . Someone gotta teach me some jutsus. - Sat Nov  7 18:18:40 2015
<br><br><font color=teal>*Zole(-The Creepy SoulHunter-) says: You don't learn that by your self. - Sat Nov  7 18:19:31 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: B-By accident. - Sat Nov  7 18:19:31 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: H-Hi lera.. - Sat Nov  7 18:22:04 2015
<br><br><font color=teal>*Lera(Bailey42) says: Hm? - Sat Nov  7 18:22:04 2015
<br><br><font color=teal>*Lera(Bailey42) says: Hello. - Sat Nov  7 18:22:56 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: R-Remember me..? - Sat Nov  7 18:22:56 2015
<br><br><font color=teal>*Lera(Bailey42) says: Er... - Sat Nov  7 18:22:56 2015
<br><br><font color=teal>*Lera(Bailey42) says: Remind me...? - Sat Nov  7 18:22:56 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: U-Uhm.. - Sat Nov  7 18:22:56 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: Y-You gave me a bunch of s-scrolls.. - Sat Nov  7 18:22:56 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: And W-We did a small s-spar.. - Sat Nov  7 18:22:56 2015
<br><br><font color=teal>*Lera(Bailey42) says: Did I? - Sat Nov  7 18:22:56 2015
<br><br><font color=teal>*Lera(Bailey42) says: Oh right yes. - Sat Nov  7 18:23:47 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: K-Kyubi was there.. - Sat Nov  7 18:23:47 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: A-And he g-got w-wrecked.. - Sat Nov  7 18:23:47 2015
<br><br><font color=teal>*Lera(Bailey42) says: The farmer girl. - Sat Nov  7 18:23:47 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: Y-Yea! - Sat Nov  7 18:23:47 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: Hi. - Sat Nov  7 18:23:47 2015
<br><br><font color=teal>*Lera(Bailey42) says: Is there something wrong? You're awfully stuttery. - Sat Nov  7 18:23:47 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: O-Oh noo..T-This is just kinda..h-how I am.. - Sat Nov  7 18:23:47 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: It's r-really hot here.. - Sat Nov  7 18:24:38 2015
<br><br><font color=teal>*Lera(Bailey42) says: Ah yeah....fortunately you do get used to i. - Sat Nov  7 18:24:38 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: Already spared and lost this morning. Haha, wouldn't like to add another lose in the same day. - Sat Nov  7 18:25:29 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: O-Oh uhm.. - Sat Nov  7 18:25:29 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: I-I've got most of t-those jutsus...p-pat down.. - Sat Nov  7 18:25:29 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: B-But someone seemed s-shocked by one.. - Sat Nov  7 18:25:29 2015
<br><br><font color=teal>*Lera(Bailey42) says: Do you now...Good for you. - Sat Nov  7 18:25:29 2015
<br><br><font color=teal>*Lera(Bailey42) says: Hm? - Sat Nov  7 18:26:20 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: H-He said something about o-one of the older m-mizukages..N-Noriko.. - Sat Nov  7 18:26:20 2015
<br><br><font color=teal>*Lera(Bailey42) says: Noriko hm? What about her? - Sat Nov  7 18:26:20 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: He said it w-was her jutsu. - Sat Nov  7 18:26:20 2015
<br><br><font color=teal>*Lera(Bailey42) says: Ah. It may well have been. Jutsu have a tendency of being passed down multiple times. - Sat Nov  7 18:27:12 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: M-Mmm.... - Sat Nov  7 18:27:12 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: I-I guess.. - Sat Nov  7 18:27:12 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: U-Uhm.. - Sat Nov  7 18:27:12 2015
<br><br><font color=teal>*Lera(Bailey42) thinks: Oh jeez, They're both stuttering? - Sat Nov  7 18:27:12 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: C-Can we go train..t-together? H-Hanai can come along! - Sat Nov  7 18:27:12 2015
<br><br><font color=teal>*Lera(Bailey42) says: You want to train with me? - Sat Nov  7 18:27:12 2015
<br><br><font color=teal>*Lera(Bailey42) says: Ehh, I suppose. Sure why not. - Sat Nov  7 18:28:03 2015
<br><br><font color=teal>*Zole(-The Creepy SoulHunter-) says: Who here know some water jutsus ? - Sat Nov  7 19:01:20 2015
