<br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: It's looking one-sided as fuck. - Mon Oct  5 03:12:00 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Come along, Ambrocio. - Fri Oct  9 04:04:54 2015
<br><br><font color=teal>*Xia Ping(Sage of Six Booties) says: Mind if I tag along.. or? - Fri Oct  9 04:04:54 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: .... - Fri Oct  9 04:49:16 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: Yo. Katana guy. - Fri Oct  9 04:49:16 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: Explain. - Fri Oct  9 04:50:08 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: Hm? - Fri Oct  9 04:50:08 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: The situation. - Fri Oct  9 04:50:08 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: Explain it. - Fri Oct  9 04:50:08 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: Ahh.... - Fri Oct  9 04:50:08 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: I don't know. - Fri Oct  9 04:50:08 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: Two people died. - Fri Oct  9 04:50:08 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: The Raikage injuryed. - Fri Oct  9 04:50:08 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: ....Names. I need them. - Fri Oct  9 04:50:59 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: Don't know them. - Fri Oct  9 04:50:59 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: Well not two people. - Fri Oct  9 04:50:59 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: Muda... - Fri Oct  9 04:50:59 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: Other shinobi and citizens died too. - Fri Oct  9 04:50:59 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: Also the mansion got destoryed. - Fri Oct  9 04:50:59 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: You're just stating the obvious now. - Fri Oct  9 04:51:50 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: I know just about as much as you do. - Fri Oct  9 04:51:50 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: Anyways. - Fri Oct  9 04:51:50 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: What I wanted to ask. - Fri Oct  9 04:52:41 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: Is that do you want to invest in a new sword? - Fri Oct  9 04:52:41 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: I do. - Fri Oct  9 04:52:41 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: How much you got. - Fri Oct  9 04:52:41 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: I'm low on funds. And all my materials are like. - Fri Oct  9 04:53:32 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: Gone. - Fri Oct  9 04:53:32 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: I've got eight hundred thousand. - Fri Oct  9 04:54:24 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: Ehh,,,,, - Fri Oct  9 04:55:15 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: Thats not enough for anything special....... - Fri Oct  9 04:56:06 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: Right. - Fri Oct  9 04:56:06 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: That's fine. - Fri Oct  9 04:56:06 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: Whats your sword made out of? - Fri Oct  9 04:56:06 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: This blade? This isn't meant for combat. - Fri Oct  9 04:56:06 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: This is a practice blade. - Fri Oct  9 04:56:57 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: Wait. So you don't have a sword at all? - Fri Oct  9 04:56:57 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: Currently, no. - Fri Oct  9 04:56:57 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) thinks: How do I comfort her... - Fri Oct  9 04:56:57 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: Oh. I can just make you one out of Iron. - Fri Oct  9 04:56:57 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: I'll save my funds for now. - Fri Oct  9 04:57:48 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: It'll primarly cost around five hundred. - Fri Oct  9 04:58:40 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: --- - Fri Oct  9 04:58:40 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: Just five hundred? - Fri Oct  9 04:58:40 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: Yea? - Fri Oct  9 04:58:40 2015
<br><br><font color=yellow>*Hikensha, Takumi(Nexus 420) catchs the five hundred yen. "Mhm. I'll find you when I've made it."* - Fri Oct  9 05:00:22 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: There is a place where pople gather. - Fri Oct  9 05:02:56 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Follow me Fujitora. - Fri Oct  9 05:02:56 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Aye..Thank you..I can probably heal him . - Fri Oct  9 05:03:47 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: ... - Fri Oct  9 05:11:28 2015
<br><br><font color=yellow>*Hikensha, Takumi(Nexus 420) scratched the back of his head.

"Didn't know this was a dictatorship. Though from how it seems from time to time. Random people are popping in and out of the village as if they are the leader or one of the high ranking staff here." he said with a dull expression on his face. This shift of people trying to take lead was starting to irritate him.* - Fri Oct  9 20:35:37 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) thinks: She didn't answer my question.... - Fri Oct  9 20:45:00 2015
<br><br><font color=yellow>*Hikensha, Takumi(Nexus 420) raised an eye brow at Misa. He had no ties to the village so ofcourse he didn't have any reason to stay in a broken village. But he took an order and he doesn't know where his client is what so ever.

"I mean. Only reason why I'm staying here is because of buisness. But if my precense here is making things worse, I'll leave soon after I'm done. Also, didn't say taking charge of reconstructing is a bad thing. Just trying to force people to do work is." he said.* - Fri Oct  9 20:49:16 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: Oh. So that Niza guy died? - Fri Oct  9 20:58:40 2015
<br><br><font color=teal>*Reguel(Airide) says: Yes. - Fri Oct  9 20:58:40 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: Dang........ - Fri Oct  9 21:01:13 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: Fuck up. - Fri Oct  9 21:01:13 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: That guy must have been one strong ass ninja. - Fri Oct  9 21:02:56 2015
<br><br><font color=teal>*Reguel(Airide) says: I don't know Misa. - Fri Oct  9 21:03:47 2015
<br><br><font color=teal>*Reguel(Airide) says: So are you guys staying? - Fri Oct  9 21:03:47 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Probably not, Theres nothing here for me. - Fri Oct  9 21:04:38 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: Tch. - Fri Oct  9 21:04:38 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: I mean, Suitengu is dead. - Fri Oct  9 21:04:38 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: I avenged him. - Fri Oct  9 21:05:29 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: My only friend Sabo...Well. - Fri Oct  9 21:05:29 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Ortho is gone. - Fri Oct  9 21:05:29 2015
<br><br><font color=teal>*Reguel(Airide) says: I'm going to Sunagakure. - Fri Oct  9 21:05:29 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Hideki is... - Fri Oct  9 21:05:29 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: You can't go to Suna - Fri Oct  9 21:05:29 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Unless you want to die. - Fri Oct  9 21:05:29 2015
<br><br><font color=teal>*Reguel(Airide) says: Why? - Fri Oct  9 21:05:29 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: They practically kill all who come for refuge - Fri Oct  9 21:05:29 2015
<br><br><font color=teal>*Reguel(Airide) says: Hmph. - Fri Oct  9 21:06:20 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: They're too cautious now. - Fri Oct  9 21:06:20 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Either way, I now have no where to live. - Fri Oct  9 21:06:20 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: I thought paying for my stay here would be enough but apparently not. - Fri Oct  9 21:07:12 2015
<br><br><font color=teal>*Reguel(Airide) says: Hmm. - Fri Oct  9 21:07:12 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) thinks: This is all Edge, no doubt. - Fri Oct  9 21:08:03 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Suppose I could contact Ortho - Fri Oct  9 21:08:54 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: I dare you. - Fri Oct  9 21:08:54 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: I fucking dare you. - Fri Oct  9 21:08:54 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Why? - Fri Oct  9 21:08:54 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: He -betrayed- us. - Fri Oct  9 21:08:54 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Who is us? - Fri Oct  9 21:08:54 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: You just kicked me out. - Fri Oct  9 21:08:54 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: And I don't condone Sabos death for the record. - Fri Oct  9 21:09:45 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: That's what I was getting at. - Fri Oct  9 21:09:45 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Oh? - Fri Oct  9 21:10:36 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: Konohagakure isn't a village no more, this certainly isn't one. - Fri Oct  9 21:11:28 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: Sunagakure is denying entry for all that seek refuge. - Fri Oct  9 21:12:19 2015
<br><br><font color=teal>*Reguel(Airide) says: Hmm. - Fri Oct  9 21:12:19 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: Kirigakure-- Koeki died, however I have heard there is a new Mizukage. - Fri Oct  9 21:12:19 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: You guys should probably go there, it's the safest place currently. - Fri Oct  9 21:13:10 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: Ha, Kirigakure is the most dangerous country - Fri Oct  9 21:13:10 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Guess I should try my luck at Kiri. - Fri Oct  9 21:14:01 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Unless you're willing to let me stay here. - Fri Oct  9 21:14:01 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: This place isn't safe, go to Kirigakure. - Fri Oct  9 21:14:01 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: You saw Hideki, he turned his back on us straight away. No doubt others would do so. - Fri Oct  9 21:14:52 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Then why are you staying? - Fri Oct  9 21:14:52 2015
<br><br><font color=teal>*Reguel(Airide) says: So are you staying Misa? - Fri Oct  9 21:14:52 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: The killers of Koeki didn't get what they want, and the Mizukage is a genin. - Fri Oct  9 21:14:52 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: I'm staying. - Fri Oct  9 21:14:52 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: What's the name of the new Mizukage? - Fri Oct  9 21:14:52 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: The least I can do for Niza. - Fri Oct  9 21:14:52 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: Kirie - Fri Oct  9 21:15:44 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: That stupid person? - Fri Oct  9 21:15:44 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: They aren't stupid, just not fit for Mizukage. - Fri Oct  9 21:15:44 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: They're stupid. - Fri Oct  9 21:16:35 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: Nah, I met dumber. I'm looking at one right now. - Fri Oct  9 21:16:35 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: If that was an attack at me, Shut up. - Fri Oct  9 21:16:35 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: I'm not in the mood for childish-ness. - Fri Oct  9 21:16:35 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: You guys done? - Fri Oct  9 21:18:17 2015
<br><br><font color=teal>*Reguel(Airide) says: ... - Fri Oct  9 21:18:17 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: I am. - Fri Oct  9 21:18:17 2015
<br><br><font color=teal>*Reguel(Airide) says: You know what. - Fri Oct  9 21:18:17 2015
<br><br><font color=teal>*Reguel(Airide) says: I'll see you guys later. - Fri Oct  9 21:18:17 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: Stay safe. - Fri Oct  9 21:18:17 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: I'm leaving too. - Fri Oct  9 21:18:17 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: I'll stop by Suna actually. - Fri Oct  9 21:18:17 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: They won't let you in. - Fri Oct  9 21:19:08 2015
<br><br><font color=teal>*Reguel(Airide) says: Then we're traveling togeter Takeda. - Fri Oct  9 21:19:08 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: I promise you, I just came from there. - Fri Oct  9 21:19:08 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: They will. - Fri Oct  9 21:19:08 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: You just need to know how to talk to people properly. - Fri Oct  9 21:19:08 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: Oh no they won't. Not until you meet with Hassan, who kicked out someone from his own village. - Fri Oct  9 21:19:08 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Fine, Then I'll meet Hassan. - Fri Oct  9 21:20:00 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: Actually, I made buddies with a guy name Yan. Who was second ot that guy. - Fri Oct  9 21:20:00 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: And Yan vouched for me to stay, and Hassan still kicked me out. - Fri Oct  9 21:20:00 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: Hassan also inside the village... and they closed the gates. - Fri Oct  9 21:20:00 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: I can still try. - Fri Oct  9 21:20:00 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Anyway, I'm off. - Fri Oct  9 21:20:00 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: A warning by the way. - Fri Oct  9 21:21:42 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: Don't use any caravans from Sunagakure. - Fri Oct  9 21:21:42 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Why? - Fri Oct  9 21:21:42 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: They blow up. - Fri Oct  9 21:21:42 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Uh huh. - Fri Oct  9 21:21:42 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: I'll be sure to remember that. - Fri Oct  9 21:21:42 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: Might be why they kicked me out. Thank god, I didn't use one of those. - Fri Oct  9 21:22:33 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: Stay safe you two. - Fri Oct  9 21:22:33 2015
<br><br><font color=teal>*Reguel(Airide) says: Will do. - Fri Oct  9 21:22:33 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: Takumi. - Fri Oct  9 21:24:16 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: Are you staying? - Fri Oct  9 21:24:16 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: ... - Fri Oct  9 21:25:58 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: Anyhow time to find Yukio. - Fri Oct  9 21:25:58 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: ...Well that was sudden. - Fri Oct  9 21:25:58 2015
<br><br><font color=teal>*Caillou(Reddestror2) says: ... - Fri Oct  9 23:14:20 2015
<br><br><font color=teal>*Caillou(Reddestror2) says: What's going on? - Fri Oct  9 23:14:20 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: Nothing really. - Fri Oct  9 23:28:51 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: Ergghh... more people. - Fri Oct  9 23:33:58 2015
<br><br><font color=teal>*Caillou(Reddestror2) says: You guys. - Fri Oct  9 23:53:36 2015
<br><br><font color=teal>*Caillou(Reddestror2) says: Sure are fun - Fri Oct  9 23:53:36 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: Yeah..loads of fun. - Fri Oct  9 23:55:18 2015
<br><br><font color=teal>*Caillou(Reddestror2) says: What's your name? I'm Cailou and these wonderful people around me are.. - Fri Oct  9 23:56:09 2015
<br><br><font color=teal>*Caillou(Reddestror2) says: I'm guessing quiet. - Fri Oct  9 23:56:09 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: Do... I have to tell you my name.... and I have no clue the other peoples name. - Sat Oct 10 00:02:08 2015
<br><br><font color=teal>*Caillou(Reddestror2) says: Yup. - Sat Oct 10 00:02:08 2015
<br><br><font color=teal>*Caillou(Reddestror2) says: What if you go off to war? - Sat Oct 10 00:02:59 2015
<br><br><font color=teal>*Caillou(Reddestror2) says: Who will I remember? - Sat Oct 10 00:02:59 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: Nobody... because theres no way I'm going to war. - Sat Oct 10 00:05:32 2015
<br><br><font color=teal>*Caillou(Reddestror2) says: Everyone has to go to war one day. - Sat Oct 10 00:08:57 2015
<br><br><font color=teal>*Caillou(Reddestror2) says: War with food. - Sat Oct 10 00:08:57 2015
<br><br><font color=teal>*Caillou(Reddestror2) says: THe food war has been going on since day one, it's a struggle. - Sat Oct 10 00:08:57 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: .... Yeah no. - Sat Oct 10 00:11:31 2015
<br><br><font color=teal>*Caillou(Reddestror2) says: ... - Sat Oct 10 00:12:22 2015
<br><br><font color=teal>*Caillou(Reddestror2) says: I guess i'll call you Josh. - Sat Oct 10 00:12:22 2015
<br><br><font color=teal>*Caillou(Reddestror2) says: .. - Sat Oct 10 00:31:08 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: . . . - Sat Oct 10 00:31:08 2015
<br><br><font color=teal>*Caillou(Reddestror2) says: What's up? - Sat Oct 10 00:32:00 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: . . . Terrible things. Why do you ask - Sat Oct 10 00:32:00 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: ? - Sat Oct 10 00:32:00 2015
<br><br><font color=teal>*Caillou(Reddestror2) says: Oh like what? Making conversation. - Sat Oct 10 00:32:00 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: . . . - Sat Oct 10 00:32:00 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: Try the village being ransacked? - Sat Oct 10 00:32:00 2015
<br><br><font color=teal>*Caillou(Reddestror2) says: Well good thing I don't have anymoney. - Sat Oct 10 00:32:51 2015
<br><br><font color=teal>*Caillou(Reddestror2) says: Can't rob me if I don't have anything. - Sat Oct 10 00:32:51 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: . . I fail to see what mon-- I meant attacked by that bastard speedster. - Sat Oct 10 00:32:51 2015
<br><br><font color=teal>*Caillou(Reddestror2) says: Bastard Speedster? - Sat Oct 10 00:33:42 2015
<br><br><font color=teal>*Caillou(Reddestror2) says: He sounds like an intresting guy. - Sat Oct 10 00:33:42 2015
<br><br><font color=teal>*Caillou(Reddestror2) says: How fast is he? - Sat Oct 10 00:33:42 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: . . . - Sat Oct 10 00:35:24 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: I don't know. . .  - Sat Oct 10 00:35:24 2015
<br><br><font color=teal>*Caillou(Reddestror2) says: ... - Sat Oct 10 00:35:24 2015
<br><br><font color=teal>*Caillou(Reddestror2) says: Oh... Well fuck. At least your alive.. - Sat Oct 10 00:37:07 2015
<br><br><font color=teal>*Caillou(Reddestror2) says: Could of gone a lot wors.e - Sat Oct 10 00:37:07 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: .  . .I suppose. - Sat Oct 10 00:39:40 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: Any word on the new leader? - Sat Oct 10 00:39:40 2015
<br><br><font color=teal>*Caillou(Reddestror2) says: ... - Sat Oct 10 00:42:14 2015
<br><br><font color=teal>*Caillou(Reddestror2) says: Nah, I honstly have no idea who's leading. - Sat Oct 10 00:42:14 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: Irritating. - Sat Oct 10 00:43:05 2015
<br><br><font color=teal>*Caillou(Reddestror2) says: Very! - Sat Oct 10 00:44:48 2015
<br><br><font color=teal>*Caillou(Reddestror2) says: And no one around here likes to talk. - Sat Oct 10 00:44:48 2015
<br><br><font color=teal>*Caillou(Reddestror2) says: So i've basicly been standing here. - Sat Oct 10 00:44:48 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: Mm. .. Perhaps then we can go do something? - Sat Oct 10 00:46:30 2015
<br><br><font color=teal>*Caillou(Reddestror2) says: Yeah! I'm game what did you have in mind? - Sat Oct 10 00:47:21 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: I suppose the restaurant. - Sat Oct 10 00:49:04 2015
<br><br><font color=teal>*Caillou(Reddestror2) says: Ah, yeah I could eat. Let's go, also my names is Caillou if you were wondering. - Sat Oct 10 00:51:37 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: Let's go then.. - Sat Oct 10 00:55:02 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: Name is Asteroth. - Sat Oct 10 00:55:02 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: 'lo. - Sat Oct 10 18:15:15 2015
<br><br><font color=teal>*Kagami(Chrisiotic1) says: Hello? - Sat Oct 10 18:15:15 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: Think is good make Maloth new Chief, no? - Sat Oct 10 18:15:15 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: Is be super Kage-Rai! - Sat Oct 10 18:15:15 2015
<br><br><font color=teal>*Kagami(Chrisiotic1) says: I. .  I don't know. - Sat Oct 10 18:15:15 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: . . .Wha' no for. . ? - Sat Oct 10 18:16:06 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: Is easy question ask. .  - Sat Oct 10 18:16:06 2015
<br><br><font color=teal>*Kagami(Chrisiotic1) says: I really don't know. - Sat Oct 10 18:16:06 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: Who else try be new chief? - Sat Oct 10 18:16:06 2015
<br><br><font color=teal>*Kagami(Chrisiotic1) says: I don't know. - Sat Oct 10 18:17:48 2015
<br><br><font color=teal>*Kagami(Chrisiotic1) thinks: Is this guy stupid? - Sat Oct 10 18:17:48 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: Mmm. . .Is nex' chief! Nee' tell 'ther people. . - Sat Oct 10 18:18:40 2015
<br><br><font color=teal>*Kagami(Chrisiotic1) says: You do you man. - Sat Oct 10 18:18:40 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: Sigh. - Sat Oct 10 18:49:23 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: Grunt. - Sat Oct 10 18:49:23 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: Grunt? - Sat Oct 10 18:49:23 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: Hm? - Sat Oct 10 18:55:21 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: Is try copy. - Sat Oct 10 19:03:02 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: Oh. - Sat Oct 10 19:04:44 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: It is 'sigh'. - Sat Oct 10 19:04:44 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: Not Grunt. - Sat Oct 10 19:04:44 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: . . .Ye'-- No' get? - Sat Oct 10 19:07:18 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: ...Nevermind. - Sat Oct 10 19:08:09 2015
<br><br><font color=teal>*Maloth(Gtgoku88) thinks: Har' be mos' smar'. . .Hng. - Sat Oct 10 19:09:00 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: Mmm. So, how did you sleep? - Sat Oct 10 19:10:43 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: Is good slee'. You? - Sat Oct 10 19:11:34 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: Good, to.. - Sat Oct 10 19:11:34 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: . . . - Sat Oct 10 19:14:08 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: Mmmmhm. - Sat Oct 10 19:14:59 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: Why be tal' this like? - Sat Oct 10 19:14:59 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: Huh? - Sat Oct 10 19:14:59 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: Hm. - Sat Oct 10 19:16:41 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: So, what do today? - Sat Oct 10 19:17:32 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: Is tal' weird. - Sat Oct 10 19:17:32 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: Mo' fight? - Sat Oct 10 19:20:57 2015
