<br><font color=teal>*Ryo(Ultimate_Odyssey) thinks: Ugh...Better go find Kana. - Sun Dec  6 20:36:28 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: ......This little fuckin' shit is an idiot. - Tue Dec  8 03:49:32 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Sure. What do you have? - Tue Dec  8 03:51:15 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: We have some of the greatest clothing ever! - Tue Dec  8 03:52:06 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: Sadly, we don't have a large amount of clothing at hand, as most of our cargo is in our caravan back in the village's storage. We were just about to leave, but I suppose I can show you some before we do. - Tue Dec  8 03:52:06 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: If you wish, you can follow me to our goods.  - Tue Dec  8 03:52:57 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Sure.... - Tue Dec  8 03:52:57 2015
<br><br><font color=teal>*Kyubishu(Dillion13) thinks: Setup. - Tue Dec  8 03:52:57 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Let's see here. I want your most stylish outfit. - Tue Dec  8 03:56:22 2015
<br><br><font color=teal>*Roman(DagonWarhead) says: . . . .  - Tue Dec  8 04:02:20 2015
<br><br><font color=teal>*Roman(DagonWarhead) says: Young man. - Tue Dec  8 04:02:20 2015
<br><br><font color=teal>*Roman(DagonWarhead) says: Thou hast followed me since I begot here. - Tue Dec  8 04:02:20 2015
<br><br><font color=teal>*Fujimoro, Ren(Master Roku) says: Not following you. - Tue Dec  8 04:02:20 2015
<br><br><font color=teal>*Fujimoro, Ren(Master Roku) says: Following him. - Tue Dec  8 04:03:12 2015
<br><br><font color=teal>*Roman(DagonWarhead) says: I see. - Tue Dec  8 04:03:12 2015
<br><br><font color=teal>*Roman(DagonWarhead) says: Carry on. - Tue Dec  8 04:03:12 2015
<br><br><font color=yellow>*Kyubishu(Dillion13) returned from Konohagakure after his little trip in order to get himself a new apperance and rock some new attire, he also got a hair-cut that would've most likely fit his headband style and his new outlook upon life, short and spikey. It was actually a weird thing to say but that's how he actually looked at most things to a certain degree, Kyubishu's actual thoughts about everything had seriously changed ever since he had been attacked by Kida and Ichiro.
The small looming quote had drifted within his mind, to an extreme degree. "Kill me with that spear, and maybe you'll make it somewhere in this world. Don't and you'll stay as weak as you alredy are." He trained harder every day since that fated day of when he had his tongue and eyeball taken out from his body, but at the same moment. It's been about two years since around the time of when that happened.
Kyubishu had became even closer to where he actually wanted to as a Shinobi. He had found himself training everyday and keeping up a daily routine and at this point his simple training regimine had became extremely easy for him so he would've worked on his physical build in order to increase his strength, but he realized that strength wasn't the only thing that was required of a shinobi.
They had to be smart enough to know how to beat an opponent that might've overcame them in a certain area, so after he was finished training his body for the day. He would've stopped by the library in the academy and read up on some books that would've helped his overall knowledge of the body of the most common shinobi, knowing when you are in a Genjutsu, etc. Things that would've included stuff like that.
He stood in the area of the waterfall, listening as the fall of water had splashed to a certain point. A giant boulder had stood in his way, and Kyubishu thrusted his hand foward in order to collide with it, a small little impact had been made, and then a sound had drifted through the area. Before a 'crackling' sound had travalled through the boulder and slowly cut off the first top of it. Kyubishu's hand was slightly bruised but that just meant he was getting closer to becoming stronger.
* - Tue Dec  8 21:58:24 2015
<br><br><font color=teal>*Yumiko(Ekario) says: Evening. - Tue Dec  8 22:19:44 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: 'Sup, Yumiko. - Tue Dec  8 22:24:00 2015
<br><br><font color=teal>*Yumiko(Sekara) says: Evening all. - Tue Dec  8 22:31:40 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Hellooo. - Tue Dec  8 22:38:30 2015
<br><br><font color=teal>*Yumiko(Sekara) says: What's up? - Tue Dec  8 22:38:30 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Not much. - Tue Dec  8 22:38:30 2015
<br><br><font color=teal>*Yumiko(Sekara) says: It's quiet. Also hello Sekitsui. - Tue Dec  8 22:52:09 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: That's good. - Tue Dec  8 22:53:00 2015
<br><br><font color=teal>*Yumiko(Sekara) says: Heya Tenny. - Tue Dec  8 23:27:08 2015
<br><br><font color=teal>*Tengoku(Punka) says: Hey Yumi.~ - Tue Dec  8 23:47:37 2015
<br><br><font color=teal>*Yumiko(Sekara) says: What's up? - Tue Dec  8 23:51:02 2015
<br><br><font color=teal>*Tengoku(Punka) says: Nothing much, you? - Tue Dec  8 23:54:27 2015
<br><br><font color=teal>*Yumiko(Sekara) says: Not much relaxing maybe swimming. - Wed Dec  9 00:02:08 2015
<br><br><font color=teal>*Meinu, Sekitsui(TheButtNekkidBandit) says: Ten-san? - Wed Dec  9 00:11:31 2015
<br><br><font color=teal>*Meinu, Sekitsui(TheButtNekkidBandit) says: When will we have that conversation? - Wed Dec  9 00:11:31 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: *Yaawns* - Wed Dec  9 00:19:12 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) whispers: Starting to hate the silence for whatever reason. - Wed Dec  9 01:18:04 2015
<br><br><font color=teal>*Yumiko(Sekara) says: That's because you're falling asleep. - Wed Dec  9 01:27:28 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: Not my fault. - Wed Dec  9 01:28:19 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: Huh? We are-- I mean, sure. - Wed Dec  9 01:35:08 2015
<br><br><font color=teal>*Yumiko(Sekara) says: Of course. - Wed Dec  9 01:35:08 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) thinks: Just go along with it. - Wed Dec  9 01:35:08 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: --Huh? - Wed Dec  9 01:36:51 2015
<br><br><font color=teal>*Heiwa(Wantpark) says: Oh, right, missions just came in, Anguo. They're at the manor for a drop off. - Wed Dec  9 01:36:51 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: Oh. - Wed Dec  9 01:36:51 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: I'll have to get my squad together for one then. - Wed Dec  9 01:37:42 2015
<br><br><font color=teal>*Heiwa(Wantpark) says: Good. Kyubishu, Tengoku, and Geo Dude. - Wed Dec  9 01:37:42 2015
<br><br><font color=teal>*Meinu, Sekitsui(TheButtNekkidBandit) says: Mnnnnhm. - Wed Dec  9 01:47:05 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Oh. - Wed Dec  9 02:13:32 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Sorry, something came up. Do you have your merchandise on you? - Wed Dec  9 02:14:24 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: Very little on my person. - Wed Dec  9 02:14:24 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Where can we go to get it? - Wed Dec  9 02:16:06 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Also, Anguo. What rank is the mission? - Wed Dec  9 02:16:57 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: Doesn't matter. We'll do it all the same. - Wed Dec  9 02:17:48 2015
<br><br><font color=teal>*Yumiko(Sekara) says: It is fine. How are you doing? Is there anything I can help you with? - Thu Dec 10 00:36:41 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: I've merely come for the sight seeing --- if that's okay. - Thu Dec 10 00:37:32 2015
<br><br><font color=teal>*Yumiko(Sekara) says: I...can't say if it is or not. I think it is okay. - Thu Dec 10 00:39:15 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: ..Mmmm. - Thu Dec 10 00:39:15 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Does that mean there is a chance that it'd be a problem? - Thu Dec 10 00:40:06 2015
<br><br><font color=teal>*Yumiko(Sekara) says: It is up to lady Kana or a jounin of rank, but as long as nothing happens I think it would be okay. - Thu Dec 10 00:40:06 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) thinks: Lady Kana or a Jounin of rank.. - Thu Dec 10 00:41:48 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: I see. Is either around? - Thu Dec 10 00:41:48 2015
<br><br><font color=teal>*Yumiko(Sekara) says: A good man you are. - Thu Dec 10 00:49:29 2015
<br><br><font color=teal>*Yumiko(Sekara) says: Hello. - Thu Dec 10 01:27:53 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: Hm? With? - Thu Dec 10 01:36:25 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: Delivery mission. To Sunagakure. - Thu Dec 10 01:37:16 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: Hm? I'm in. - Thu Dec 10 01:40:41 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: Alright. - Thu Dec 10 01:40:41 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: Yumiko? - Thu Dec 10 01:40:41 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: ... - Thu Dec 10 01:44:57 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: Just need one more, we'll set out after that. - Thu Dec 10 01:44:57 2015
<br><br><font color=teal>*Yumiko(Sekara) says: I'm in. - Thu Dec 10 01:58:36 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: Alright then. - Thu Dec 10 01:58:36 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: Let's get going. - Thu Dec 10 01:58:36 2015
<br><br><font color=teal>*Yumiko(Sekara) says: Right. - Thu Dec 10 01:58:36 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: The goods are at the gate, if you want we can take a caravan from there. - Thu Dec 10 01:58:36 2015
<br><br><font color=teal>*Yumiko(Sekara) says: That does sound like a good idea. Crossing the desert on foot does not seem like a good idea. - Thu Dec 10 01:59:28 2015
<br><br><font color=yellow>*Kyubishu(Dillion13) Had progressed much further than even himself had anticipated, Kyubishu had went further than most shinobi of a certain era could've even done due to the simple fact that he had motivation and the determination to become stronger than his opponent. But the biggest factor out of all was revenge, the dream of making his attacks pay the price for putting him in a state of craziness, he would've never been like this if it wasn't for them. But all he could've really done was thank Kida and Ichiro for attacking him that day.
They helped him become the person that he is today, his strikers were feared and he had taken a few years to abandon everything else that he thought about and go down the actual path of becoming a boxer. This was just one more important step in order becoming a stronger shinobi so that he could've taken his revenge and then after setting that aside he would've finally went down his original path and become a legendary shinobi like Baen had most likely wanted him to do.
Kyubishu had took a walk back toward the waterfall of where his first session had taken place, he ruffled his spikey hair and glanced toward the water, and then toward the broken and battered tree, which had taken the role of a dummy before he progressed even further in his training, a smirk had came across his face as he felt extremely older than before. He was thirteen when he first started he training offically and now that several years had passed passed, and he was now seventeen. It didn't help that he was still the rank of a Genin but the actual 'ranking' itself didn't make a difference toward him.
He must've been around a higher experienced Chuunin at this point, Kyubishu had also been working on his jutsu in order to master them, that would've helped increase his abilities and combo attacks, because if his jutsu weren't mastered then the trick that he had done with them would've been simply invalid, Kyubishu left the waterfall and proceeded to walk back to his most recent training area, facing himself infront of a boulder and sizing it up and down. He had bandages wrapped around his hands on every occusion in order to make sure that they would've healed properly.
His left foot had dug themselves into the dirt and he untangled the bandages from his hands, and letting them drop on the floor a brief explosion of oxygen had been released from his mouth. A left strike had proceeded to go directly toward the boulder and create a crack that would've eventually spread across the area and had it crumble up, Kyubishu wasn't finished there. This was honestly light-enough work for him, his strength had increased dramatically due to his physical training which gradually improved his body's strength.
Another right hook was sent into the core of the crack, eventually having the boulder eventually rip itself apart and crumble.
* - Fri Dec 11 03:48:16 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Anguo..? - Fri Dec 11 03:51:40 2015
<br><br><font color=teal>*Meinu, Sekitsui(TheButtNekkidBandit) thinks: Ugh.... - Fri Dec 11 04:10:27 2015
<br><br><font color=yellow>*Kyubishu(Dillion13) snarled toward The Prisoner. Kyubishu's rage had now taken over as a burning sensation had overcame the socket of his missing eyeball, he grasped tightly on his headband that covered over it and began to hiss toward everyone that tried to make Shinobi seem like they were doing things just for the sake of it, everything anyone had ever done as a Shinobi most likely was because of the sake of people or a village. "Shut up, you bastard. You're a murderer and a villian, you're the type of person that pushes me to become stronger so we can stop more people like you from living in this world. Do it, Anguo."* - Fri Dec 11 04:10:27 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Hey. Rymei, do you know where everyone else is? - Fri Dec 11 20:10:49 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Hey, Anguo. Any mission for today? - Fri Dec 11 20:21:04 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: None for the squad. - Fri Dec 11 20:21:55 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Darn. I haven't gone on any, sadly. - Fri Dec 11 20:23:37 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: I've been to busy snoozing off. - Fri Dec 11 20:23:37 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: Huh... - Fri Dec 11 20:27:53 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: You feel like training with me? - Fri Dec 11 20:28:44 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: Sure, I could train. - Fri Dec 11 20:29:36 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Alright. Go ahead and start off. - Fri Dec 11 20:29:36 2015
<br><br><font color=yellow>*Kyubishu(Dillion13) stared directly toward Anguo with a extremely bored expression, Kyubishu was obviously quite more exprienced than that. He was able to quickly shift himself toward the side and move left, whilst deflecting the weapons that quickly came and advanced toward his previous position and now that the coast was clear for him to attack against his opponent an offesive tactic should've been quickly made against Anguo.

Kyubishu had only been slightly nicked upon the shoulder, he simply performed a few simple handseals and launched forth a few strands of wire that would've hopefully ensnared his opponent and have them unable to move. He proceeded foward in a quick fashion, keeping weary of Anguo.* - Fri Dec 11 20:36:25 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: How's everything going. Guys? - Sat Dec 12 13:38:43 2015
<br><br><font color=teal>*Tengoku(Punka) says: Hey Kyubishu. - Sat Dec 12 13:41:16 2015
<br><br><font color=teal>*Tengoku(Punka) says: Going great, thanks for asking. - Sat Dec 12 13:41:16 2015
<br><br><font color=teal>*Tengoku(Punka) says: You? - Sat Dec 12 13:41:16 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Alright as much as they can be. - Sat Dec 12 13:41:16 2015
<br><br><font color=teal>*Heiwa(Wantpark) says: Hey Kyubishu. - Sat Dec 12 13:42:59 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: 'Sup, Heiwa. - Sat Dec 12 13:42:59 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: We got anything planned for today? - Sat Dec 12 13:42:59 2015
<br><br><font color=teal>*Heiwa(Wantpark) says: I don't think so - uh would you two want to train with Nori and I? - Sat Dec 12 13:51:31 2015
<br><br><font color=teal>*Tengoku(Punka) says: Sure. - Sat Dec 12 13:52:22 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: ....I wonder how this will go. - Sat Dec 12 15:50:08 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) says: .... - Sat Dec 12 15:51:50 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Lera?! - Sat Dec 12 15:54:24 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Hey there. - Sat Dec 12 15:54:24 2015
<br><br><font color=teal>*Shin(Yaori) says: Hello Lera. - Sat Dec 12 15:55:15 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Yo. - Sat Dec 12 15:55:15 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Hello Shin. - Sat Dec 12 15:55:15 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: You're here to take the exam too? Darn. It's gonna be pretty tough. - Sat Dec 12 15:55:15 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Mhm. - Sat Dec 12 15:56:06 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) thinks: All of these strong people.... I'm going to dieeeeee...... - Sat Dec 12 15:57:48 2015
<br><br><font color=teal>*Kyubishu(Dillion13) thinks: I've gotten stronger, but how strong? - Sat Dec 12 15:57:48 2015
<br><br><font color=teal>*Shin(Yaori) says: So have you all been - Sat Dec 12 16:09:45 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: ...Eh, alright. - Sat Dec 12 16:09:45 2015
<br><br><font color=teal>*Shin(Yaori) says: It's been some time since I've vistted - Sat Dec 12 16:09:45 2015
<br><br><font color=teal>*Chen(ZenoKuthric) says: Greetings, ninja-domos. - Sat Dec 12 16:12:19 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) says: .... - Sat Dec 12 16:12:19 2015
<br><br><font color=teal>*Shin(Yaori) says: / / /  - Sat Dec 12 16:12:19 2015
<br><br><font color=teal>*Chen(ZenoKuthric) says: I am your proctor for both the Combat and the Knowledge Exam. - Sat Dec 12 16:12:19 2015
<br><br><font color=teal>*Chen(ZenoKuthric) says: You may call me Chen. - Sat Dec 12 16:12:19 2015
<br><br><font color=teal>*Shin(Yaori) says: Hello Chen - Sat Dec 12 16:13:10 2015
<br><br><font color=teal>*Chen(ZenoKuthric) says: Can those for the Combat Exam move to my left. - Sat Dec 12 16:13:10 2015
<br><br><font color=teal>*Chen(ZenoKuthric) says: And those for the Knowledge Exam move to my right? - Sat Dec 12 16:13:10 2015
<br><br><font color=teal>*Chen(ZenoKuthric) says: So three people will be taking the Knowledge Exam? - Sat Dec 12 16:13:10 2015
<br><br><font color=teal>*Shin(Yaori) says: Yes - Sat Dec 12 16:13:10 2015
<br><br><font color=teal>*Chen(ZenoKuthric) says: Just one now. - Sat Dec 12 16:14:01 2015
<br><br><font color=teal>*Shin(Yaori) says: I am here for the knowledge exam - Sat Dec 12 16:14:01 2015
<br><br><font color=teal>*Chen(ZenoKuthric) says: Your exam will be the easiest and quickest. - Sat Dec 12 16:14:01 2015
<br><br><font color=teal>*Chen(ZenoKuthric) says: The other four will have it longer. - Sat Dec 12 16:14:01 2015
<br><br><font color=teal>*Chen(ZenoKuthric) says: So I'll do yours first. - Sat Dec 12 16:14:01 2015
<br><br><font color=teal>*Chen(ZenoKuthric) says: Oral examination. Answer the questions. Get three questions wrong in a row and boom. - Sat Dec 12 16:14:01 2015
<br><br><font color=teal>*Chen(ZenoKuthric) says: You die. - Sat Dec 12 16:14:01 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: I'm here for the Combat. - Sat Dec 12 16:14:01 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) says: . . . . - Sat Dec 12 16:14:01 2015
<br><br><font color=teal>*Shin(Yaori) says: . . .  - Sat Dec 12 16:14:01 2015
<br><br><font color=teal>*Chen(ZenoKuthric) says: Combat's on that side. - Sat Dec 12 16:14:01 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Oops, sorry. - Sat Dec 12 16:14:01 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) says: . . . . . - Sat Dec 12 16:14:01 2015
<br><br><font color=teal>*Chen(ZenoKuthric) says: So. - Sat Dec 12 16:15:44 2015
<br><br><font color=teal>*Chen(ZenoKuthric) says: I'll be doing this boy's exam. - Sat Dec 12 16:15:44 2015
<br><br><font color=teal>*Chen(ZenoKuthric) says: Then you four will get yours. - Sat Dec 12 16:15:44 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Good luck. - Sat Dec 12 16:15:44 2015
<br><br><font color=teal>*Chen(ZenoKuthric) says: Name? - Sat Dec 12 16:15:44 2015
<br><br><font color=yellow>*Kyubishu(Dillion13) generally thought about how strong he had become considered to previously, he was now offically a boxer and thought about his career even more now. Things were starting to actually look up for Kyubishu, The Gezo Private Exams were right around the corner and he needed to find himself with a few more tricks in order to be completely sure of his success. A new sporting outfit had been bought at Konoha's store, which consisted of a black shirt, black pants, black shoes, and a red belt.
He still needed to become stronger and the complete combination of being able to strike at his opponent with a right hook and then a left hook, finishing it off with a mighty roundhouse would've been absolutely beast! It would've made Kyubishu the perfect hand-to-hand fighter. He needed to pursue this dream in order to become a better shinobi and eventually go after his actual goal, which was revenge. After he thought about feeling ready he would've headed toward Kida and Ichio in order to find them.
But that wasn't anywhere close now, Ichiro himself was an absolute tank when it came to fighting against people and in order to actually win that battle he would've needed to generally deal out a efficent enough damage to actually end up as the winner. A flash of memories had came into Kyubishu's mind as the scene had taken place, about six years ago after he had been successfully taken down with his tongue taken out and his eyeball poked right out from the socket.
That's exactly why he wore a headband over his eye. But he simply journied toward the old spot of where he practiced upon taking the road of a boxer, and now he faced a decision in order to become a double-threat. Being able to knock down his opponent with a few well placed kicks and punches, if he did his training correctly. He positioned himself toward the left of a tree like he had done with his other training and raised his right foot in order to strike at the tree, but it was futile. Kyubishu was barely able to lift his foot high enough off the ground to connect with the tree and actually inflict a sufficient enough damage.
A smirk had came toward his face as that was his first task, Kyubishu had organized himself with a few-well placed blocks of wood and then slided them infront, as they were obviously stacked pretty high. He glanced up toward the high-stacked logs that were infront of him and lifted his foot up in order to have it land directly onto the top and kept it there for a few minutes, the pain had shot through his body and went -directly- into his desired spot. He would've endured the pain and continued to keep his leg right in that same place.
This was obviously a very clever training routinue for him, due to the fact that he couldn't raise his foot high enough to collide with anything and connect with force to deal damage. So the first task would've simply have his foot being raised onto the leg, after about seven minutes of having his left foot in the same place and just being there, it had became numb and feel asleep. Kyubishu had begun to lose his balance before he fell down and landed upon the ground, sweat had dripped down from his face.
It was the determination to proceed and become stronger that had him training so hard. Even when some people had retired for the day and went to relax, he was still training and trying to proceed and work harder than everyone in order to become stronger. He picked himself up off the ground and dusted off his clothing and removed the sweater from his torso before tossing it onto the ground and gazing up into the sky, things needed to change for him or else he would've been stuck a weakling like Kida and Ichiro had stated directly after they beaten him down to a pulp and dealt out a worthy enough punshiment for losing.
Kyubishu had constantly slammed his foot into the ground in order to wake up his left leg completely, but after a minute or two of stomping on the ground. The feeling of his leg had finally re-awoken within his foot, a sudden jumping motion would've been made before he simply stepped foward up toward the stacked logs, another idea had popped up into his mind. That current training that he had just done was obviously good, but not good ENOUGH to make a huge difference. A simple swipe of his forehead was made in order to remove the sweat that was dripping upon his forehead and into his right eye, he placed himself toward the side of the high-stacked logs.
And lifted up his right leg and constantly struck toward it. A massive amount of volecity and forced had been concentrated into one strike, to the point of where his foot had impacted with the logs and made him groain with extreme pain, falling down onto the ground and curling up into a small ball from the pain. He raised his left hand and smashed it against the ground out of rage of not being able to take a little bit of pain, it was Kyubishu's job as a shinobi to be able to deal with that sort of thing. But he obviously wasn't ready at this point.
Kyubishu's eye had drifted up into the sky to see as the sun had fallen and nightfall had taken place amoung the training area of Kirigakure. That didn't matter to him, the energy that was flowing through him and the determination to become stronger had simply been obviously to strong to be overwhelmed by something so petty as darkness. After taking a three minute break he picked himself up off the ground and approached a tree, the stack of logs were steadily being broken down so that would've been useless to him at this point.
Kyubishu's left leg had struck toward a tree and then he attempted to switch it up, sweeping his right foot against the grass and picking up his left leg in order to utilize The 'Leaf Whirlwind' technique and smash it up against the tree. A shocking pain had surged through both of his feet but that once again still didn't matter to him, Kyubishu had proceeded with his training until he was actually tired and then he would've headed home for the day in order to simply rest up and continue two days from now.
* - Sat Dec 12 16:15:44 2015
<br><br><font color=teal>*Shin(Yaori) says: My name is Shin. - Sat Dec 12 16:15:44 2015
<br><br><font color=teal>*Chen(ZenoKuthric) says: You have twenty questions. - Sat Dec 12 16:15:44 2015
<br><br><font color=teal>*Chen(ZenoKuthric) says: Each question you get wrong merits an injury. - Sat Dec 12 16:15:44 2015
<br><br><font color=teal>*Chen(ZenoKuthric) says: First question. - Sat Dec 12 16:16:35 2015
<br><br><font color=teal>*Chen(ZenoKuthric) says: Name the founder of the Gezo Empire.  - Sat Dec 12 16:16:35 2015
<br><br><font color=teal>*Shin(Yaori) says: . . . - Sat Dec 12 16:16:35 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) thinks: Ouch... - Sat Dec 12 16:16:35 2015
<br><br><font color=teal>*Shin(Yaori) says: Gezo? - Sat Dec 12 16:16:35 2015
<br><br><font color=teal>*Chen(ZenoKuthric) says: No. - Sat Dec 12 16:16:35 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: ......Damn. - Sat Dec 12 16:16:35 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Brace yourself. - Sat Dec 12 16:16:35 2015
<br><br><font color=teal>*Chen(ZenoKuthric) says: Sooo! - Sat Dec 12 16:23:24 2015
<br><br><font color=teal>*Chen(ZenoKuthric) says: Second question. - Sat Dec 12 16:23:24 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: ..Jesus. - Sat Dec 12 16:23:24 2015
<br><br><font color=teal>*Chen(ZenoKuthric) says: What do you call the high ranking official of Tenryuujoutei? - Sat Dec 12 16:23:24 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Shin, back out. You're not ready. - Sat Dec 12 16:24:16 2015
<br><br><font color=teal>*Shin(Yaori) says: No way, I'd rather die. - Sat Dec 12 16:24:16 2015
<br><br><font color=teal>*Shin(Yaori) says: Commandant? - Sat Dec 12 16:24:16 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Damn. You're dead then. - Sat Dec 12 16:25:07 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: ... - Sat Dec 12 16:25:07 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) says: ... - Sat Dec 12 16:25:07 2015
<br><br><font color=teal>*Chen(ZenoKuthric) says: The answer is Pope. - Sat Dec 12 16:25:07 2015
<br><br><font color=teal>*Shin(Yaori) says: Interesting - Sat Dec 12 16:25:07 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: ..... - Sat Dec 12 16:25:07 2015
<br><br><font color=teal>*Chen(ZenoKuthric) says: Third question. - Sat Dec 12 16:33:39 2015
<br><br><font color=teal>*Chen(ZenoKuthric) says: What would you refer to the high ranking official of Huevo Del Diablo as? - Sat Dec 12 16:33:39 2015
<br><br><font color=teal>*Shin(Yaori) says: I have no idea. - Sat Dec 12 16:34:30 2015
<br><br><font color=teal>*Chen(ZenoKuthric) says: I see. - Sat Dec 12 16:34:30 2015
<br><br><font color=teal>*Chen(ZenoKuthric) says: It is unfortunate. - Sat Dec 12 16:34:30 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Are we next? - Sat Dec 12 17:34:14 2015
<br><br><font color=teal>*Chen(ZenoKuthric) says: Indeed. - Sat Dec 12 17:34:14 2015
<br><br><font color=teal>*Chen(ZenoKuthric) says: You three will be next. - Sat Dec 12 17:34:14 2015
<br><br><font color=teal>*Chen(ZenoKuthric) says: So. - Sat Dec 12 17:34:14 2015
<br><br><font color=teal>*Chen(ZenoKuthric) says: What are the names of you three? - Sat Dec 12 17:34:14 2015
<br><br><font color=yellow>*Kyubishu(Dillion13) turned his attention toward this 'ANBU AGENT'. Why would someone of his caliber be taking an exam such as this one? It was pretty weird for him to even see something like this, but he witnessed how Shin's heart had stopped and the bodily function of his had literally ceased to exist to a degree of which he stopped living and dropped dead right infront of everyone, a small 'gulping' sound had been taken into consideration after that happened as he stepped to the right and faced himself infront of Chen.

This might've been harder than he actually thought. "Kyubishu. That's my name." He stated in a normal tone.* - Sat Dec 12 17:35:56 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) thinks: This is the power of the Gezo... - Sat Dec 12 17:37:39 2015
<br><br><font color=teal>*Kyubishu(Dillion13) thinks: She probably isn't even their highest. - Sat Dec 12 17:37:39 2015
