<br><font color=teal>*Momura(JustCallMeGnar) says: A-Alright. - Mon Nov  2 23:36:32 2015
<br><br><font color=teal>*Elon(Chevy Corolla) says: Oh, I buried it where we normally do. - Tue Nov  3 03:39:44 2015
<br><br><font color=yellow>*Kyubishu(Dillion13) just stood there. He witnessed her handseals and everything, he wasn't worried. Everyone had learned about the basics of releasing and stopping your chakra flow in order to stop yourself from being actually caught in a Genjutsu. It was a basic thing that you're taught at the academy and other chose to excell in it so that they would've never been caught in a trick like that, Kyubishu had only learned the basics of it but that didn't mean that wasn't useful enough for anything that wasn't extremely high level'd.

Kyubishu took a step foward and he was already infront of her, if she wasn't fast enough then a punch would've been headed her way. And then a sudden smirk had been apparent across his face, shifting the momentum and accuracy of his attack in order to have it come toward her left cheek instead of just going straight for her face.* - Tue Nov  3 03:40:35 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: .... - Tue Nov  3 03:40:35 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Hmm. - Tue Nov  3 03:40:35 2015
<br><br><font color=yellow>*Kyubishu(Dillion13) just stood there. He didn't show emotion.* - Tue Nov  3 03:49:07 2015
<br><br><font color=yellow>*Kyubishu(Dillion13) just stood there. He really couldn't do much, after this was all over he really needed to learn Kai, it would've made this match so much easier for him.* - Tue Nov  3 04:07:02 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Wow, that was really easy.~ - Tue Nov  3 04:08:44 2015
<br><br><font color=teal>*Nina(Ninasky115) says: I thought you'd be a bit more of a challange. - Tue Nov  3 04:08:44 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Hello Nina. - Tue Nov  3 04:12:09 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Hi Mizukage. - Tue Nov  3 04:12:09 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: How are you? - Tue Nov  3 04:13:52 2015
<br><br><font color=teal>*Nina(Ninasky115) says: I'm good. - Tue Nov  3 04:13:52 2015
<br><br><font color=teal>*Nina(Ninasky115) says: How does it feel to have your favorite genin back? Hehe. - Tue Nov  3 04:15:34 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) thinks: She thinks too highly of herself. - Tue Nov  3 04:15:34 2015
<br><br><font color=teal>*Elon(Chevy Corolla) says: ... - Tue Nov  3 04:17:16 2015
<br><br><font color=teal>*Elon(Chevy Corolla) says: You're....gonna release him...right? - Tue Nov  3 04:17:16 2015
<br><br><font color=teal>*Nina(Ninasky115) says: I'm just joking around guys, Just having fun. - Tue Nov  3 04:18:08 2015
<br><br><font color=teal>*Nina(Ninasky115) says: And yeah, I will. - Tue Nov  3 04:18:08 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) thinks: Earth Jutsu? - Tue Nov  3 04:18:08 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Zzz... - Tue Nov  3 04:18:08 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Hmm where did you go? - Tue Nov  3 04:18:59 2015
<br><br><font color=teal>*Elon(Chevy Corolla) says: Hm? - Tue Nov  3 04:18:59 2015
<br><br><font color=teal>*Elon(Chevy Corolla) says: Oh. - Tue Nov  3 04:18:59 2015
<br><br><font color=teal>*Nina(Ninasky115) says: I went to Sunagakure. - Tue Nov  3 04:20:41 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: . . . - Tue Nov  3 04:21:32 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Anyway, Lady. - Tue Nov  3 04:24:57 2015
<br><br><font color=teal>*Nina(Ninasky115) says: I'm ready to pull my work around here, where are the hard missions at? - Tue Nov  3 04:24:57 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Hard missions? - Tue Nov  3 04:27:31 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Mhm, the C and B rank missions. You know. - Tue Nov  3 04:27:31 2015
<br><br><font color=teal>*Nina(Ninasky115) says: The hard stuff. - Tue Nov  3 04:27:31 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: There wont be any of those for the time being. - Tue Nov  3 04:28:22 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Ugh. I'd rather not sit around with these little D-rank missions. They're so lame. - Tue Nov  3 04:29:13 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: I thoughts exactly. - Tue Nov  3 04:29:13 2015
<br><br><font color=teal>*Elon(Chevy Corolla) says: .... - Tue Nov  3 04:30:04 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Though, I'll take any mission. - Tue Nov  3 04:30:04 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: So. - Tue Nov  3 04:30:04 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Well. . . - Tue Nov  3 04:33:29 2015
<br><br><font color=teal>*Elon(Chevy Corolla) says: Anyone want to buy a pill? It's really only for guys though... - Tue Nov  3 04:33:29 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: I still have two missions to knock out. - Tue Nov  3 04:34:20 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: So. - Tue Nov  3 04:34:20 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: I'm outta here. - Tue Nov  3 04:34:20 2015
<br><br><font color=teal>*Nina(Ninasky115) says: You have fun.~ - Tue Nov  3 04:34:20 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Eh? Fun really isn't the word. - Tue Nov  3 04:34:20 2015
<br><br><font color=teal>*Nina(Ninasky115) says: I know, I remember. - Tue Nov  3 04:34:20 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Heh. - Tue Nov  3 04:36:54 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Though. - Tue Nov  3 04:36:54 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Nothing else really to do. - Tue Nov  3 04:36:54 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: So. . . - Tue Nov  3 04:36:54 2015
<br><br><font color=teal>*Nina(Ninasky115) says: How about training? - Tue Nov  3 04:36:54 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Eh? - Tue Nov  3 04:36:54 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: I can't keep up with most people yet. - Tue Nov  3 04:37:45 2015
<br><br><font color=teal>*Nina(Ninasky115) says: That's the point of training. - Tue Nov  3 04:37:45 2015
<br><br><font color=teal>*Nina(Ninasky115) says: To protect people you love, that's why I do it. - Tue Nov  3 04:37:45 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Oh? - Tue Nov  3 04:37:45 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) thinks: I didn't ask why you did it though. . . - Tue Nov  3 04:37:45 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Yeah. So if you're bored, why not just train? - Tue Nov  3 04:38:36 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: No one to train with, and ever after a bit of time, training gets boring. - Tue Nov  3 04:38:36 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Why not train with this guy? - Tue Nov  3 04:39:28 2015
<br><br><font color=yellow>*Kyubishu(Dillion13) still in Genjutsu.* - Tue Nov  3 04:39:28 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Well you are going to have to Nina. - Tue Nov  3 04:40:19 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: At least for the time being - Tue Nov  3 04:40:19 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Yeah, I get it. As always. - Tue Nov  3 04:40:19 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Mizukage. - Tue Nov  3 04:41:10 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Train with me, right now. - Tue Nov  3 04:42:01 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: . . . - Tue Nov  3 04:42:01 2015
<br><br><font color=teal>*Elon(Chevy Corolla) says: .... - Tue Nov  3 04:42:01 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) thinks: This kid is rude. - Tue Nov  3 04:42:01 2015
<br><br><font color=teal>*Elon(Chevy Corolla) says: .... - Tue Nov  3 04:42:52 2015
<br><br><font color=teal>*Elon(Chevy Corolla) says: .... - Tue Nov  3 04:47:08 2015
<br><br><font color=teal>*Elon(Chevy Corolla) says: So nobody wants to buy this? - Tue Nov  3 04:47:08 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Ugh. - Tue Nov  3 04:47:08 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) thinks: Should I help? Nahhh. - Tue Nov  3 04:47:08 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: . . . - Tue Nov  3 04:47:08 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: What are you selling again? - Tue Nov  3 04:48:00 2015
<br><br><font color=teal>*Elon(Chevy Corolla) says: A pill. - Tue Nov  3 04:48:00 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Of? - Tue Nov  3 04:48:00 2015
<br><br><font color=teal>*Kana(Zoey-Lover) says: What happened? - Tue Nov  3 15:44:12 2015
<br><br><font color=teal>*Kana(Zoey-Lover) says: ...? - Tue Nov  3 15:48:28 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: Giant snake came through... mizukage mansion blew u. - Tue Nov  3 15:50:11 2015
<br><br><font color=teal>*Kana(Zoey-Lover) says: Stress. - Tue Nov  3 15:50:11 2015
<br><br><font color=teal>*Kana(Zoey-Lover) says: Where's Kirie? - Tue Nov  3 15:51:02 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: Dead apparently... - Tue Nov  3 15:51:02 2015
<br><br><font color=teal>*Kana(Zoey-Lover) says: She died? - Tue Nov  3 15:52:44 2015
<br><br><font color=teal>*Kana(Zoey-Lover) says: That's an impact on Kirigakure. - Tue Nov  3 15:52:44 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: I know... - Tue Nov  3 15:53:36 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Who's gonna take over for her? - Tue Nov  3 15:58:43 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: Nobody who is smart. - Tue Nov  3 16:00:25 2015
<br><br><font color=teal>*Kana(Zoey-Lover) thinks: It's nnot my time yet, they're not ready for me. I'll let them have a few years. - Tue Nov  3 16:01:16 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) thinks: Never let red hed over there and white haired boy become Mizukage. - Tue Nov  3 16:02:08 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: I has to me my love Lera.. - Tue Nov  3 16:02:08 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: But... maybe we should give in to Hassan... he can helpwith the rebuilding of Kirigakure and be under his protection if w care about kirigakure that much - Tue Nov  3 16:09:48 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: Give in to Hassan? - Tue Nov  3 16:20:54 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: Its a suggestion - Tue Nov  3 16:22:36 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: I just haven't heard about that. - Tue Nov  3 16:26:01 2015
<br><br><font color=teal>*Kana(Zoey-Lover) thinks: I'm better of moving to Sunagakure. - Tue Nov  3 16:27:44 2015
<br><br><font color=teal>*Kana(Zoey-Lover) thinks: Tch . . Sanoke told me to send a report, might as well do that now. - Tue Nov  3 16:28:35 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: Wait.... there was no body at the mansion building... - Tue Nov  3 16:37:07 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) thinks: Then where is it? - Tue Nov  3 16:37:07 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: .... - Tue Nov  3 16:42:14 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: Miss are you knew? - Tue Nov  3 16:43:05 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: new* - Tue Nov  3 16:43:56 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: M-Momura.. - Tue Nov  3 16:45:39 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: Momura, are you aware of our situation? - Tue Nov  3 16:46:30 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: S-Situation..? - Tue Nov  3 16:46:30 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: What do you m-mean..? - Tue Nov  3 16:46:30 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: We are a damaged village with no leader - Tue Nov  3 16:48:12 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: H-Huh..? - Tue Nov  3 16:48:12 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: B-But Mizukage-Senpai. - Tue Nov  3 16:48:12 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: She's the l-leader. - Tue Nov  3 16:49:04 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: She is believed to be dead - Tue Nov  3 16:49:04 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: S-S-She is..? - Tue Nov  3 16:49:04 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: But the correct term would be missing in action - Tue Nov  3 16:49:55 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: W-What happened..? - Tue Nov  3 16:50:46 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: Last night while the kage was asleep apparaently her mansion exploded - Tue Nov  3 16:52:28 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: W-What.. - Tue Nov  3 16:55:02 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) whispers: Ok - Tue Nov  3 17:24:03 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) whispers: (pass me samehada - Tue Nov  3 17:26:36 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) whispers: (i have no chakra but do it - Tue Nov  3 17:26:36 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) whispers: Yea - Tue Nov  3 17:27:28 2015
<br><br><font color=teal>*Kana(Zoey-Lover) thinks: Meet? Tch . . The nerve . . - Tue Nov  3 17:31:44 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: ... - Tue Nov  3 17:38:33 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: S-So..uhm.. - Tue Nov  3 17:47:05 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: W-What now..? - Tue Nov  3 17:47:05 2015
<br><br><font color=teal>*Lera(Bailey42) says: ... - Tue Nov  3 17:47:05 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: S-Should we go f-find kirie..or s-something..S-She might b-be alive.. - Tue Nov  3 17:48:48 2015
<br><br><font color=teal>*Lera(Bailey42) says: If she was inside the mansion...then she should've shown herself by now.. - Tue Nov  3 17:48:48 2015
<br><br><font color=teal>*Lera(Bailey42) says: Theres a high chance that she is indeed gone... - Tue Nov  3 17:49:39 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: H-Hnng.. - Tue Nov  3 17:50:30 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: We'll have to move on. - Tue Nov  3 17:51:21 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: What're we gonna do about a leader? If anyone found out that our Mizukage is dead, and if we have enemies, they'll surely strike. - Tue Nov  3 17:51:21 2015
<br><br><font color=teal>*Lera(Bailey42) says: I'm not yet sure... - Tue Nov  3 17:52:12 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: W-Well..W-Who's the highest rank..A-At the moment..B-Besides M-Mizukage-Senpai...? - Tue Nov  3 17:53:04 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Rank doesn't matter. - Tue Nov  3 17:53:04 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: That's not the only factor. - Tue Nov  3 17:53:55 2015
<br><br><font color=teal>*Lera(Bailey42) says: Ikaro might be the best choice for strength...when he's here anyway... - Tue Nov  3 17:53:55 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: Lera is the next strongest if not the strongest here  - Tue Nov  3 17:54:46 2015
<br><br><font color=teal>*Lera(Bailey42) says: I don't know about that... - Tue Nov  3 17:55:37 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Who's Nina by the way? - Tue Nov  3 17:55:37 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: My child - Tue Nov  3 17:56:28 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Okay, then. - Tue Nov  3 17:59:02 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: U-Uhm... - Tue Nov  3 18:00:44 2015
<br><br><font color=teal>*Lera(Bailey42) says: Perhaps we should train... - Tue Nov  3 18:10:59 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: Training? - Tue Nov  3 18:10:59 2015
<br><br><font color=teal>*Lera(Bailey42) says: It might not be the time...but I feel like I can't stop. - Tue Nov  3 18:11:50 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: U-Uhm..C-Could I join you two for training..? - Tue Nov  3 18:11:50 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: That'd be good. I need to learn how to expell genjutsu. - Tue Nov  3 18:11:50 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: T-Three..I mean.. - Tue Nov  3 18:11:50 2015
<br><br><font color=teal>*Lera(Bailey42) says: Mhm. I can teach you Kai - Tue Nov  3 18:12:41 2015
<br><br><font color=teal>*Lera(Bailey42) says: In fact I can teach you a great deal of jutsu, dependant on your elements - Tue Nov  3 18:12:41 2015
<br><br><font color=teal>*Lera(Bailey42) says: We should all strive to get stronger... - Tue Nov  3 18:12:41 2015
<br><br><font color=teal>*Lera(Bailey42) says: And you Violet. I'm going to teach you how to fly. I have a feeling you'll need it - Tue Nov  3 18:13:32 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: I don't know my elements, but I do have a special Kekkei Genkai. - Tue Nov  3 18:13:32 2015
<br><br><font color=teal>*Lera(Bailey42) says: Which is? - Tue Nov  3 18:14:24 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: Flying? Do you think im ready? - Tue Nov  3 18:14:24 2015
<br><br><font color=teal>*Lera(Bailey42) says: Mhm. it'll be difficult, but I believe you can learn it - Tue Nov  3 18:14:24 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: H-He's a b-bone man. - Tue Nov  3 18:15:15 2015
<br><br><font color=teal>*Lera(Bailey42) says: Bones? Like baen? - Tue Nov  3 18:15:15 2015
<br><br><font color=teal>*Lera(Bailey42) says: Hm. - Tue Nov  3 18:15:15 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: Thanks... I will try - Tue Nov  3 18:15:15 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: H-How about we go to the a-academy basement..? - Tue Nov  3 18:16:06 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: I uhm..M-Mizukage-Senpai taught me a t-technique..B-But I'm really n-new to it. - Tue Nov  3 18:16:06 2015
<br><br><font color=teal>*Lera(Bailey42) says: We should head somewhere more...outside. - Tue Nov  3 18:16:06 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Let's do it. - Tue Nov  3 18:16:57 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: O-Oh..uhm.. - Tue Nov  3 18:16:57 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: There's that waterfall.. - Tue Nov  3 18:16:57 2015
<br><br><font color=teal>*Lera(Bailey42) says: Yes. That'll do just fine. - Tue Nov  3 18:16:57 2015
<br><br><font color=teal>*Lera(Bailey42) says: Alright. So what are your elements? - Tue Nov  3 18:17:48 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: I d-don't know. - Tue Nov  3 18:17:48 2015
<br><br><font color=teal>*Lera(Bailey42) says: Hm... - Tue Nov  3 18:17:48 2015
<br><br><font color=teal>*Lera(Bailey42) says: Well...I suppose we'll start with Kai. - Tue Nov  3 18:20:22 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: ... - Tue Nov  3 18:21:13 2015
<br><br><font color=yellow>*Kyubishu(Dillion13) took it.* - Tue Nov  3 18:21:13 2015
<br><br><font color=yellow>*Kyubishu(Dillion13) had been put in a Genjutsu previously before, it pissed him off that he needed to learn how to do this. They were taught at the academy and he practiced it before but Kyubishu had never thought he would've really needed to use it. So it was actually time to properly learn this jutsu so that he wasn't taken out by another simple trick like that again, a simple inhale was taken so that he could've filled up his lungs with somef resh air. That was just the first step, he raised his hands.

A handseal was made as it had been raised directly infront of him, he must've slightly misunderstood the woman. He tried his absolute hardest in order to stop his chakra and that meant he was going to eventually fail and not actually escape from this Genjutsu until he properly learned what she meant by 'stopping your flow of chakra.'

Small sweat drops had hit the grass and he looked around, the multitude of clones were still there. And that meant he couldn't successfully disarm the Genjutsu, if he actually failed like that in a real battle it could've meant his life, Kyubishu was sick and tired of failing.

The same handseal was taken again, like previously before. His chakra had been flowing greatly and then he forcefully stopped it to the point of releasing The Genjutsu, "Kai!" He screamed out like most people usually would've done when they either did a new technique or just decided to egt flashy. His vision would've cleared up and the clones disappeared.* - Tue Nov  3 18:27:12 2015
<br><br><font color=teal>*Lera(Bailey42) says: Hm...I can't go much further without knowing your elements... - Tue Nov  3 18:29:45 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: O-Oh.. - Tue Nov  3 18:30:36 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: Uhm.. - Tue Nov  3 18:30:36 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: I don't u-use any elemental n-ninjutsu.. - Tue Nov  3 18:30:36 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: B-But I'm a good f-farmer.. - Tue Nov  3 18:30:36 2015
<br><br><font color=teal>*Lera(Bailey42) says: Its good to learn a few though, just to back yourself u- - Tue Nov  3 18:30:36 2015
<br><br><font color=teal>*Lera(Bailey42) says: A farmer? - Tue Nov  3 18:30:36 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: I'm a fighter, I just don't use Ninjutsu. Elemental wise. - Tue Nov  3 18:31:28 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: Y-Yea.. - Tue Nov  3 18:31:28 2015
<br><br><font color=teal>*Lera(Bailey42) says: ... - Tue Nov  3 18:31:28 2015
<br><br><font color=teal>*Lera(Bailey42) says: Then why are you a shinobi if you'd rather be a farmer? - Tue Nov  3 18:32:19 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: O-Oh..Uhm.. - Tue Nov  3 18:32:19 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: B-Because it's f-fun to farm..and uhm..I-I like being a shinobi.. - Tue Nov  3 18:32:19 2015
<br><br><font color=teal>*Lera(Bailey42) says: ...Its not an easy life - Tue Nov  3 18:32:19 2015
<br><br><font color=teal>*Lera(Bailey42) says: People die before even reaching their twentieth birthday. - Tue Nov  3 18:33:10 2015
<br><br><font color=teal>*Lera(Bailey42) says: Well....Either way, I can teach a few taijutsu to you both. - Tue Nov  3 18:34:01 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Taijutsu? Good. - Tue Nov  3 18:34:01 2015
<br><br><font color=teal>*Lera(Bailey42) says: Right...then - Tue Nov  3 18:34:52 2015
<br><br><font color=teal>*Lera(Bailey42) says: Attack me please. - Tue Nov  3 18:34:52 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: T-Taijutsu? - Tue Nov  3 18:34:52 2015
<br><br><font color=teal>*Lera(Bailey42) says: Yes Taijutsu. - Tue Nov  3 18:34:52 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: O-Oh uhm... - Tue Nov  3 18:34:52 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: A-Alright.. - Tue Nov  3 18:34:52 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: I'll g-go first..! - Tue Nov  3 18:34:52 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Momura, coordinate attacks! - Tue Nov  3 18:34:52 2015
<br><br><font color=teal>*Lera(Bailey42) says: Well you can attack together if you want, but I just want to show you a few techniques. - Tue Nov  3 18:35:44 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: A-Alright uhm... - Tue Nov  3 18:35:44 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: Y-You go after me. - Tue Nov  3 18:35:44 2015
<br><br><font color=teal>*Lera(Bailey42) thinks: One technique I don't need to teach I guess...She's quite a speedy one too. - Tue Nov  3 18:38:17 2015
<br><br><font color=yellow>*Kyubishu(Dillion13) would've manuevered himself around Momura after she launched her Dynamic Entry attack. Kyubishu wasn't aware of Lera's abilities but if she was the daughter of Violet that obviously meant something. Not to him, but maybe to other people considering that he didn't have much knowledge of people around the village, except for a few other people that he considered 'comrades' for the most part. But after he went toward the right side of Momura and attempted to strike her in the left cheek, his fist move at a rapid speed.* - Tue Nov  3 18:38:17 2015
<br><br><font color=yellow>*Kyubishu(Dillion13) would've simply ducked down after Momura's kick was diverted toward his direction. After that he sprung up into the air and suddenly smirked as bones had manifested themselves out from his skin and into every possibly part of his body, consisting of his elbows, palms, knees, and shoulders. He came down toward Lera without any care in the world, this was the battle that he was looking for, a warm smile upon his face. He spun in mid-air, attempting to slash at Lera.* - Tue Nov  3 18:45:58 2015
<br><br><font color=yellow>*Kyubishu(Dillion13) would've mostly likely been thrown out of the sky and toward the water, Kyubishu had been dazed for only a moment after the weapon had slammed into him. He recovered in the middle of the sky and begun to do a various amount of spins and flips before landing on the ground, next toward the water. "I love it! Yes!" He was an absolute monster when it came to fighting people and even though he might've phsically been hurt it was like he ignored it completely, shutting out the pain.

A small sprint was made toward her, cautious of the sword.* - Tue Nov  3 18:51:56 2015
<br><br><font color=teal>*Lera(Bailey42) says: A battle maniac huh...well, I should probably tell you I'm actually an elementalist. Close combat is not my Forte....but...if you really want to play... - Tue Nov  3 18:53:39 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: I-I'll s-spar you...K-Kyubi. - Tue Nov  3 18:54:30 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Momura, attack her. Be aware of that sword! - Tue Nov  3 18:55:21 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: A-Attack.? - Tue Nov  3 18:55:21 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: D-Don't hold back..? - Tue Nov  3 18:55:21 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Don't. Hold. Back. - Tue Nov  3 18:56:12 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: A-Alright.. - Tue Nov  3 18:56:12 2015
<br><br><font color=yellow>*Kyubishu(Dillion13) would've suddenly smirked after she had put him withim a dome, he knew Momura could've held out on her own. So he deactivated his Dance Of The Willow technique and rested, it took up some stamina if used for long.* - Tue Nov  3 18:57:55 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: Lera let be handle it if me is close combat... - Tue Nov  3 18:59:37 2015
<br><br><font color=teal>*Lera(Bailey42) says: You can play with the other guy. - Tue Nov  3 19:00:28 2015
<br><br><font color=teal>*Kyubishu(Dillion13) thinks: C'mon, I need more. - Tue Nov  3 19:00:28 2015
<br><br><font color=yellow>*Kyubishu(Dillion13) decided to examine the dome after he was put into it and regaining his stamina, he would've decided to knock on the walls to see if was hallow or not. Or anything that could've been a clue.* - Tue Nov  3 19:02:11 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: O-Ow.. - Tue Nov  3 19:05:36 2015
