<br><font color=teal>*Hiroshi(Marchie15) thinks: I got chakra for days~ *nods* - Fri Dec  4 19:39:18 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: It suprises alot of people Trill - Sat Dec  5 04:14:43 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) thinks: The hell is Kiyoko? I told her to be ready too.. - Sat Dec  5 04:15:34 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: H-Hmm.. - Sat Dec  5 04:16:25 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) thinks: A-Ai huh.. - Sat Dec  5 04:16:25 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: A-Alright! - Sat Dec  5 04:17:16 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) thinks: Oh, NOW you realized what I can do? - Sat Dec  5 04:18:59 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) thinks: You should have knew the moment I'm apart of 'that' team. - Sat Dec  5 04:19:50 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) thinks: I-I see how it is. - Sat Dec  5 04:22:24 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) thinks: W-Well time to go rogue. - Sat Dec  5 04:22:24 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Man, if you can find a mine, I'll send people to work there, T4rilliam. - Sat Dec  5 04:23:15 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: H-Hmm.. - Sat Dec  5 04:24:57 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: I know whare its at. - Sat Dec  5 04:27:31 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Me and Iza do. - Sat Dec  5 04:27:31 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: We just need people to come with us. - Sat Dec  5 04:27:31 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: To check it out. - Sat Dec  5 04:27:31 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: I already have an ideal of who should go. - Sat Dec  5 04:27:31 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) thinks: I-I'll lose to izanami ugh.. - Sat Dec  5 04:27:31 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Momura and Kinami. I'll tend to you all in a bit. - Sat Dec  5 04:43:44 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: O-Oh..uhm..a-alright.. - Sat Dec  5 04:43:44 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: Y-You go tend to y-your broken ass r-relationship. - Sat Dec  5 04:43:44 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) thinks: Not like we can hit Sanoke either, but this'll be fun. - Sat Dec  5 04:43:44 2015
<br><br><font color=teal>*Hokuma, Mizora(Dandere-chan) thinks: lynch this redhead doit -omit- - Sat Dec  5 04:43:44 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Excuse me? - Sat Dec  5 04:44:35 2015
<br><br><font color=teal>*Kaiko(Lostlolidragon) says: Scuse me? - Sat Dec  5 04:48:51 2015
<br><br><font color=teal>*Kaiko(Lostlolidragon) says: Lord Kazekage. .  - Sat Dec  5 04:48:51 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Mrm.. So, Kiyoko. How you been? - Sat Dec  5 04:48:51 2015
<br><br><font color=teal>*Kaiko(Lostlolidragon) says: Did you ever get my letter? - Sat Dec  5 04:48:51 2015
<br><br><font color=teal>*Kaiko(Lostlolidragon) whispers: (people have been blowin up my skype comlaining about Mirai xD ) - Sat Dec  5 04:59:56 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) whispers: (meh - Sat Dec  5 05:00:48 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) whispers: ((Lmao why - Sat Dec  5 05:00:48 2015
<br><br><font color=teal>*Kaiko(Lostlolidragon) whispers: (People been asking me why I didn't kill her on Marrisa, and complaining about how she bassicly tries to control Sanoke IC and OOC'ly xD ) - Sat Dec  5 05:01:39 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) whispers: (meh..yea.. - Sat Dec  5 05:02:30 2015
<br><br><font color=teal>*Kaiko(Lostlolidragon) says: Lord Kazekage - Sat Dec  5 05:05:55 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Yo, - Sat Dec  5 05:07:37 2015
<br><br><font color=teal>*Kaiko(Lostlolidragon) says: Have you had a chance to read my letter to you? - Sat Dec  5 05:07:37 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Oh yeah. Don't do that. - Sat Dec  5 05:08:28 2015
<br><br><font color=teal>*Kaiko(Lostlolidragon) says: . . . . - Sat Dec  5 05:09:20 2015
<br><br><font color=teal>*Kaiko(Lostlolidragon) says: Right. .  - Sat Dec  5 05:09:20 2015
<br><br><font color=teal>*Kaiko(Lostlolidragon) says: What about the other part? - Sat Dec  5 05:10:11 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Uh. WHat was the other part again? - Sat Dec  5 05:10:11 2015
<br><br><font color=teal>*Kaiko(Lostlolidragon) says: . . Forgive my impudence sir Kazkage. .  - Sat Dec  5 05:13:36 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Uh. . ? - Sat Dec  5 05:13:36 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Uh. . ? - Sat Dec  5 05:13:36 2015
<br><br><font color=teal>*Kaiko(Lostlolidragon) says: Can you assist me in finding a teacher for my craft? I am studying Fuuinjutsu. . Sir. .  - Sat Dec  5 05:13:36 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Ai can give you a hand. - Sat Dec  5 05:14:27 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: SHe's pretty good. - Sat Dec  5 05:14:27 2015
<br><br><font color=teal>*Kaiko(Lostlolidragon) says: I will ask her Then. . Sorry for bothering you - Sat Dec  5 05:16:09 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Sanoke for my proposed mission I'll need Iza Marco and Koji. - Sat Dec  5 05:22:59 2015
<br><br><font color=teal>*Kaiko(Lostlolidragon) says: Marco isn't a Ninja - Sat Dec  5 05:23:50 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Stay in your lane you. - Sat Dec  5 05:23:50 2015
<br><br><font color=teal>*Kaiko(Lostlolidragon) says: . . .  - Sat Dec  5 05:23:50 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: You dont even know what i'm talking about. - Sat Dec  5 05:24:41 2015
<br><br><font color=teal>*Kaiko(Lostlolidragon) thinks: I hate this village - Sat Dec  5 05:24:41 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Plus he already agreed to help me. - Sat Dec  5 05:24:41 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Take whoever you nee, Trill. - Sat Dec  5 05:28:06 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: need* - Sat Dec  5 05:28:06 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Alright. - Sat Dec  5 05:28:06 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Will do. - Sat Dec  5 05:28:06 2015
<br><br><font color=teal>*Kaiko(Lostlolidragon) says: Your talking about your mission to explore and mine out some mines. .  - Sat Dec  5 05:28:57 2015
<br><br><font color=teal>*Kaiko(Lostlolidragon) says: and who you need to take with you by the way - Sat Dec  5 05:28:57 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Welp if your smart then you'll see why its important for him to come. - Sat Dec  5 05:31:31 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) thinks: Another school skipper... - Sat Dec  5 05:31:31 2015
<br><br><font color=teal>*Kaiko(Lostlolidragon) says: I can see why haveing a blacksmith would be benefical. . but to bring him on a mission seems kinda silly - Sat Dec  5 05:33:13 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: H-HIDEO! - Sat Dec  5 05:34:56 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Its a Minscule mission and the indviduals  I am bring with me are more than capable of protecting and again I asked him personally and he agreed.Its not like I am making him go. - Sat Dec  5 05:34:56 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: Y-You missed the chuunins! - Sat Dec  5 05:37:29 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: I don't wanna talk about it. - Sat Dec  5 05:37:29 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: H-Hmph.. - Sat Dec  5 05:38:20 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Momu. . .. . I am so sorry. - Sat Dec  5 05:39:12 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Sanoke. . .  - Sat Dec  5 05:39:12 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) says: Maybe next week? - Sat Dec  5 05:39:12 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: I am soooo sorry. - Sat Dec  5 05:39:12 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: I feel awful. - Sat Dec  5 05:40:03 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: H-Hmph. - Sat Dec  5 05:40:54 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Momu. .  - Sat Dec  5 05:41:45 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) thinks: If MOmu is mad. . . . . .O god. . Nami is going to kill me. . .  - Sat Dec  5 05:41:45 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: I-I'll just have to b-beat kinami.. - Sat Dec  5 05:43:28 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: . . .  - Sat Dec  5 05:43:28 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Im so dead. . .  - Sat Dec  5 05:43:28 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: Y-Yep. - Sat Dec  5 05:43:28 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: Y-You skipped o-out on the chuunins. - Sat Dec  5 05:43:28 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: N-Next year. - Sat Dec  5 05:43:28 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: I. . .  - Sat Dec  5 05:44:19 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Fuck. - Sat Dec  5 05:44:19 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: I don't know. . .  - Sat Dec  5 05:44:19 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: . . .  - Sat Dec  5 05:44:19 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: Well, I'm sure you'll do your best. Momura... today been so exciting I'm going to go get some sleep.  - Sat Dec  5 05:44:19 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Trill. . .  - Sat Dec  5 05:45:10 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: I went to class today. . .  - Sat Dec  5 05:45:10 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Momu. . . I am sooooooooo sorry. - Sat Dec  5 05:46:01 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: H-Hmph.. - Sat Dec  5 05:46:01 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: I. . I'm sorry. - Sat Dec  5 05:46:01 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: H-Hiroshi. - Sat Dec  5 05:46:01 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: C-Come with me. - Sat Dec  5 05:46:01 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: B-But. - Sat Dec  5 05:46:52 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) says: ... - Sat Dec  5 05:55:24 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) says: I...it did? - Sat Dec  5 05:55:24 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) thinks: Crap... - Sat Dec  5 05:55:24 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Hi, Koji. - Sat Dec  5 05:56:16 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Hey Mirai. - Sat Dec  5 05:56:16 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: How are you doing? - Sat Dec  5 05:57:07 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Yeah.. - Sat Dec  5 06:00:32 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: How about yourself? - Sat Dec  5 06:00:32 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: It's fine! Your jacket will be delivered to your house. - Sat Dec  5 06:03:05 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Ah... - Sat Dec  5 06:03:05 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: As I understand it, not much happened. - Sat Dec  5 06:03:05 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Ai won, though. - Sat Dec  5 06:03:05 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) says: OKay. - Sat Dec  5 06:03:05 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Congrats Kiyoko. - Sat Dec  5 06:03:56 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) says: Who all was promoted? - Sat Dec  5 06:03:56 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) says: --Th-thanks. - Sat Dec  5 06:03:56 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Just Ai, so far... - Sat Dec  5 06:03:56 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: But Momura and someone else are going for a private one on one to see if they can promote as well. - Sat Dec  5 06:03:56 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) says: Oh. - Sat Dec  5 06:04:48 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Ah.. Rest as you need, I s'pose! - Sat Dec  5 06:08:12 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Koji there is someone at the gates. - Sat Dec  5 06:09:04 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Hello. - Sat Dec  5 06:17:36 2015
<br><br><font color=teal>*Zhen(Whistleblower) says: . . . - Sat Dec  5 06:24:25 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Mirai. - Sat Dec  5 06:29:32 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Who are you ? - Sat Dec  5 06:30:24 2015
<br><br><font color=teal>*Zhen(Whistleblower) says: Why do you have those eyes? - Sat Dec  5 06:30:24 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: What kind of question is that to ask? - Sat Dec  5 06:30:24 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: You're a visitor show respect... - Sat Dec  5 06:31:15 2015
<br><br><font color=teal>*Zhen(Whistleblower) says: . . . Answer. - Sat Dec  5 06:31:15 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: The same way you got yours. - Sat Dec  5 06:32:06 2015
<br><br><font color=teal>*Zhen(Whistleblower) says: . . . Impossible. We were wiped out a long time ago. - Sat Dec  5 06:32:57 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: No there were survivors. - Sat Dec  5 06:32:57 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Not all of us. - Sat Dec  5 06:33:48 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) whispers: He's not getting in here. - Sat Dec  5 06:33:48 2015
<br><br><font color=teal>*Zhen(Whistleblower) says: . . . - Sat Dec  5 06:33:48 2015
<br><br><font color=teal>*Zhen(Whistleblower) says: Anyway, I'm just interested in entering your village. - Sat Dec  5 06:34:40 2015
<br><br><font color=teal>*Zhen(Whistleblower) says: Find someone who can call the guards away. - Sat Dec  5 06:34:40 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Ain't happening. I'm in charge of the guards. - Sat Dec  5 06:35:31 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) whispers: Why not? - Sat Dec  5 06:36:22 2015
<br><br><font color=teal>*Zhen(Whistleblower) says: Do you want me to break them then? - Sat Dec  5 06:36:22 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: He shows no care for us only our eyes. It's not safe. - Sat Dec  5 06:37:13 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: What's your name? - Sat Dec  5 06:40:38 2015
<br><br><font color=teal>*Zhen(Whistleblower) says: I didn't ask for a fight. I asked to be let in. - Sat Dec  5 06:42:20 2015
<br><br><font color=teal>*Zhen(Whistleblower) says: I have interest in seeing a person from here. - Sat Dec  5 06:42:20 2015
<br><br><font color=teal>*Zhen(Whistleblower) says: The options are up to you. Let me in, or fight me out. - Sat Dec  5 06:43:12 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Well if it's that urgent I can get our Kage. I specifically can't go against our formal laws. - Sat Dec  5 06:43:12 2015
<br><br><font color=teal>*Zhen(Whistleblower) says: What is the name of your kage? - Sat Dec  5 06:44:54 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Sanoke. - Sat Dec  5 06:44:54 2015
<br><br><font color=teal>*Zhen(Whistleblower) says: Yes, him. I want him. - Sat Dec  5 06:44:54 2015
<br><br><font color=teal>*Kaiko(Lostlolidragon) whispers: Shall I unlease the waves of my passion? - Sat Dec  5 06:44:54 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) whispers: Nah, he knows Sanoke so he's prolly good people. - Sat Dec  5 06:45:45 2015
<br><br><font color=teal>*Kaiko(Lostlolidragon) whispers: He is a famous ninja from the mist . Just knowing his name means next to nothing - Sat Dec  5 06:46:36 2015
<br><br><font color=teal>*Kaiko(Lostlolidragon) says: So! You a Psyco here to attack our village? - Sat Dec  5 06:48:19 2015
<br><br><font color=teal>*Zhen(Whistleblower) says: Hey, heard a lot about you recently. - Sat Dec  5 06:49:10 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Oh? Cool. - Sat Dec  5 06:50:01 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: How can I help ya? - Sat Dec  5 06:50:01 2015
<br><br><font color=teal>*Zhen(Whistleblower) says: Where's the person called Edge? - Sat Dec  5 06:50:52 2015
<br><br><font color=teal>*Kaiko(Lostlolidragon) says: Dead - Sat Dec  5 06:50:52 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: What she said. - Sat Dec  5 06:50:52 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Really dead. - Sat Dec  5 06:50:52 2015
<br><br><font color=teal>*Kaiko(Lostlolidragon) says: Super dead - Sat Dec  5 06:50:52 2015
<br><br><font color=teal>*Zhen(Whistleblower) says: By who? - Sat Dec  5 06:50:52 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: . .  - Sat Dec  5 06:50:52 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Extra Mega Dead. - Sat Dec  5 06:50:52 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Thanks, guys. - Sat Dec  5 06:50:52 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: No problem! - Sat Dec  5 06:51:44 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: A girl named, Marissa. What's it to ya? - Sat Dec  5 06:51:44 2015
<br><br><font color=yellow>*Kaiko(Lostlolidragon) air fives Mitsunara* - Sat Dec  5 06:51:44 2015
<br><br><font color=teal>*Zhen(Whistleblower) says: Where is she? - Sat Dec  5 06:51:44 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Also dead. - Sat Dec  5 06:51:44 2015
<br><br><font color=teal>*Kaiko(Lostlolidragon) says: Super mega amazing dead - Sat Dec  5 06:51:44 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: What they said.. - Sat Dec  5 06:52:35 2015
<br><br><font color=teal>*Kaiko(Lostlolidragon) says: Someone said she got turned into dust or some crazy thing. .  - Sat Dec  5 06:52:35 2015
<br><br><font color=teal>*Zhen(Whistleblower) says: . . . Ooooookay. So you're the only person left? - Sat Dec  5 06:52:35 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: . . . - Sat Dec  5 06:53:26 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: What in the world are you talking about? - Sat Dec  5 06:53:26 2015
<br><br><font color=teal>*Zhen(Whistleblower) says: From the battle.  - Sat Dec  5 06:53:26 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: No? he attacked the village. - Sat Dec  5 06:53:26 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: And failed. - Sat Dec  5 06:53:26 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Like a bitc. - Sat Dec  5 06:54:17 2015
<br><br><font color=teal>*Kaiko(Lostlolidragon) says: WENT DOWN LIKE A TURKEY ON THANKSGIVING! - Sat Dec  5 06:54:17 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Guys. I don't need the commentary. - Sat Dec  5 06:54:17 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: 's what happens when you attack Suna. You di- okay. - Sat Dec  5 06:54:17 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Yessir, Internim-Kazekage-Sama-Senpai-Sensei-Kun-Chan-san. - Sat Dec  5 06:54:17 2015
<br><br><font color=teal>*Zhen(Whistleblower) says: I wanna' test myself against you. - Sat Dec  5 06:55:08 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Not interested. - Sat Dec  5 06:55:08 2015
<br><br><font color=teal>*Zhen(Whistleblower) says: . . . What? - Sat Dec  5 06:55:08 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Not interested. - Sat Dec  5 06:55:08 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) thinks: Weird. - Sat Dec  5 06:56:00 2015
<br><br><font color=teal>*Zhen(Whistleblower) says: Hm. Well, I wouldn't take on all of you. - Sat Dec  5 06:56:00 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: . . .Well obviously. - Sat Dec  5 06:56:51 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) thinks: The heck does this guy want? - Sat Dec  5 06:56:51 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Don't feel like fighting. Is that all? - Sat Dec  5 06:56:51 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Wonder who this guy is.... Mrm. - Sat Dec  5 06:56:51 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: If he wants a fight, I'd be happy to stand in.. - Sat Dec  5 06:57:42 2015
<br><br><font color=teal>*Zhen(Whistleblower) says: No, not unless you had a hand in killing that person. - Sat Dec  5 06:57:42 2015
<br><br><font color=teal>*Ryujin, Marrisa [Ghost](Roxas The Hokage) says: Hi Sanoke! - Sat Dec  5 06:57:42 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) thinks: ...I sense a disturbance in the force... - Sat Dec  5 06:58:33 2015
<br><br><font color=teal>*Ryujin, Marrisa [Ghost](Roxas The Hokage) says: Oh! - Sat Dec  5 06:58:33 2015
<br><br><font color=teal>*Ryujin, Marrisa [Ghost](Roxas The Hokage) says: The girl ghost masterbated! - Sat Dec  5 06:58:33 2015
<br><br><font color=teal>*Zhen(Whistleblower) says: Can I come in? - Sat Dec  5 06:59:24 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: No. - Sat Dec  5 06:59:24 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Who are you? - Sat Dec  5 06:59:24 2015
<br><br><font color=teal>*Zhen(Whistleblower) says: Whew. Well, I can't take on an entire village by myself, so I'll have to accept your answer. - Sat Dec  5 07:00:16 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: .. Mrm.. guy seems creepy.... like all he wants is to fight whoever killed Edge.. - Sat Dec  5 07:00:16 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Right. You can leave now. - Sat Dec  5 07:00:16 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) thinks: Looks like Sanokes got this... - Sat Dec  5 07:09:39 2015
<br><br><font color=yellow>*Kaiko(Lostlolidragon) throws open one of the many scrolls she carries with a flourish! Her aim was to unleashe the weapons and tools sealed within! The aim was to shower the hopefully tied up man in a hail ofFourty  Kunai with explosive tags attached and  Fourty shuriken!* - Sat Dec  5 07:16:28 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) whispers: 'bad' guy huh. - Sat Dec  5 07:32:41 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) whispers: Eh. He's the enemy, in the Kage's eyes, it seems. What else matters..? - Sat Dec  5 07:33:32 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) whispers: Aye. - Sat Dec  5 07:33:32 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Mrm... - Sat Dec  5 07:36:06 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Seems this guy is getting the fight with the Kage he wanted after all. - Sat Dec  5 07:36:06 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Mmhm. He must have rubbed him the wrong way. - Sat Dec  5 07:36:57 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Y - Sat Dec  5 07:47:12 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) thinks: wonder if I need to blast him.... - Sat Dec  5 07:48:03 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Hey Sanoke, need some help? - Sat Dec  5 07:48:03 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Meh...I never get any fun.. - Sat Dec  5 07:52:19 2015
<br><br><font color=teal>*Ryujin, Marrisa [Ghost](Roxas The Hokage) says: Wooo! Go Sanoke! - Sat Dec  5 07:53:10 2015
<br><br><font color=teal>*Ryujin, Marrisa [Ghost](Roxas The Hokage) says: Defending Suna like a boss! - Sat Dec  5 07:53:10 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Hmmm. - Sat Dec  5 07:53:10 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Hey Aunt lera I have somethign cool to show you. - Sat Dec  5 07:53:10 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: After this. - Sat Dec  5 07:53:10 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Eh? Sure. - Sat Dec  5 07:53:10 2015
<br><br><font color=yellow>*Kaiko(Lostlolidragon) smiled softly, she had at least helped!* - Sat Dec  5 07:56:35 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Phew! - Sat Dec  5 07:56:35 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: I think I. . Um. Caught a terrorist? - Sat Dec  5 07:56:35 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Koji! - Sat Dec  5 07:56:35 2015
<br><br><font color=teal>*Kaiko(Lostlolidragon) says: How did I do Lord Kazekage? - Sat Dec  5 07:56:35 2015
