<br><font color=teal>*Higashi, Nori(Shawn45) says: Why? - Sun Nov  8 01:01:26 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: Since she was 'gone', I fucked all yours lives up. - Mon Nov  9 23:44:38 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: ... - Mon Nov  9 23:51:28 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: .... - Mon Nov  9 23:52:19 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) thinks: I should just walk away...yeah. - Mon Nov  9 23:52:19 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) thinks: But these two are just kids...I can't just walk away... - Mon Nov  9 23:54:01 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: Yes. All quiet now. - Mon Nov  9 23:54:52 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: Quick to pass judgment  on me. - Mon Nov  9 23:54:52 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) thinks: I should kill him here he stands.. - Mon Nov  9 23:55:44 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Kirie if that is correct deserved her death. - Mon Nov  9 23:56:35 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: And so did Elon and Violet. - Mon Nov  9 23:56:35 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: But that does not change the people you killed. The others you attacked yourself did not need to die. - Mon Nov  9 23:57:26 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: I killed two ranking people with my own bare hands. - Mon Nov  9 23:57:26 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: Two.. - Mon Nov  9 23:57:26 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: It's not my fault my little ol' bandits can take out the military of a massive village. - Mon Nov  9 23:58:17 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: That's.. not my fault. - Mon Nov  9 23:58:17 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: Now I hear there is a rumor that I killed Kirie. - Mon Nov  9 23:58:17 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: Even if you hate me, you can clearly recall I found out about Kirie's death after you. - Mon Nov  9 23:59:08 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: And you were one of the first people to find out. - Mon Nov  9 23:59:08 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: I didn't think it was you until you just said you came to assassinate her. - Mon Nov  9 23:59:08 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: Recall what I said before you repeat them. - Tue Nov 10 00:00:00 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: I came to Kirigakure that day to assassinate Kirie and go about my business. - Tue Nov 10 00:00:00 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: Since she was 'gone', I fucked all yours lives up. - Tue Nov 10 00:00:00 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: She was 'dead' before I showed up. - Tue Nov 10 00:00:00 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: By who? - Tue Nov 10 00:04:16 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: How the -fuck- am I supposed to know? - Tue Nov 10 00:04:16 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: I found out after -you- did.. - Tue Nov 10 00:05:07 2015
<br><br><font color=teal>*Yumiko(Ekario) says: ..... - Tue Nov 10 00:05:58 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: .... - Tue Nov 10 00:13:39 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: Once again the silence of realization rains down on us. - Tue Nov 10 00:18:46 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Realization of just how deprived you are, yes. - Tue Nov 10 00:18:46 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: Deprived of what? - Tue Nov 10 00:19:37 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Moral well-being. - Tue Nov 10 00:19:37 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: You're a monster. - Tue Nov 10 00:19:37 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: Morals? Where has morals gotten anyone? - Tue Nov 10 00:19:37 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: Hideki had morals.. - Tue Nov 10 00:19:37 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: Where is he? - Tue Nov 10 00:19:37 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: ...Don't you talk about him like that. - Tue Nov 10 00:19:37 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: Your father had morals, where is he? - Tue Nov 10 00:19:37 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: Hideki was my sensei and taught me to do what I have to do to survive. - Tue Nov 10 00:20:28 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: Not to please anyone. - Tue Nov 10 00:20:28 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: Hell, if anything. - Tue Nov 10 00:20:28 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: I'll just kill you now. - Tue Nov 10 00:20:28 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: She worked her shinobi like they were mules. - Tue Nov 10 00:22:11 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: Nothing more, much less. - Tue Nov 10 00:22:11 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: Yet I'm wrong for attempting to rid Kirigakure of her masked tyranny? - Tue Nov 10 00:22:11 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: After she soiled my name and what I stood for so I don't threaten to start a revolution..? - Tue Nov 10 00:23:02 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: I have morals, boy.. I have morals that you will never understand. - Tue Nov 10 00:23:02 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: Not until you understand what it truly takes to be a man of this shinobi world. - Tue Nov 10 00:23:02 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: Until then, continue the blame game. - Tue Nov 10 00:23:02 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: Someone got to Kire before I did. The day I find out who is the day I grant them riches. - Tue Nov 10 00:23:53 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: ...The missions were asked for. They weren't forced upon anyone. Kirigakure was rebuilding and it quickly did so with our work. - Tue Nov 10 00:24:44 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: I never said they weren't asked for. - Tue Nov 10 00:24:44 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Like Konoha which flourished far more under Hideki than it has Zeus. - Tue Nov 10 00:24:44 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: I asked for the ratio between missions and learning. - Tue Nov 10 00:24:44 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: What did you learn under Kirie's reign compared to the funds you aided her with? - Tue Nov 10 00:25:36 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: So you kill the tree for not bearing fruit in the winter? - Tue Nov 10 00:25:36 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Is that what you're saying? - Tue Nov 10 00:25:36 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: I kill the weed that prevented the seeds from growing. - Tue Nov 10 00:25:36 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: I've learned nothing from any of the kages. Konoha, Kiri, Kumo.  - Tue Nov 10 00:26:27 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: But you won't understand that, would you. - Tue Nov 10 00:26:27 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: Then who are you to determine if my actions are right or wrong? - Tue Nov 10 00:26:27 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: You're as much of a nomad as me. - Tue Nov 10 00:26:27 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: At least I have the nuts to stand up for myself. - Tue Nov 10 00:27:18 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: Most of this conversation you hid behind that girl and get quiet. - Tue Nov 10 00:27:18 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Is killing hundreds that didn't deserve it 'standing up for yourself'? - Tue Nov 10 00:28:09 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: I laid no finger on any of the military troops. - Tue Nov 10 00:28:09 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: I killed two people. - Tue Nov 10 00:29:00 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: Hideki has killed many more than me in the name of change. - Tue Nov 10 00:29:00 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: The fireball you shot atop that snake? - Tue Nov 10 00:29:00 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: Do you salt his name? - Tue Nov 10 00:29:00 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: And the damage your snake itself caused? - Tue Nov 10 00:29:00 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: My fireball breathes oxygen. Where it lands once I shoot it in the air is none of my concern. - Tue Nov 10 00:29:00 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: My snake has a mind of its own. - Tue Nov 10 00:29:52 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Avoiding all aspects of blame. I'm not the one playing the blame game. You are. - Tue Nov 10 00:29:52 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Shifting it off to whatever is most convient. - Tue Nov 10 00:29:52 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: Avoid the blame? I accept the blame, boy. I embrace it. I welcome it with opened arms and I kiss it with passion. The blame game is nothing more than me being recognized for starting a movement. - Tue Nov 10 00:30:43 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: Am I wrong for doing so? I don't care. - Tue Nov 10 00:30:43 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: A movement? - Tue Nov 10 00:30:43 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: Correct. - Tue Nov 10 00:30:43 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: What movement? - Tue Nov 10 00:31:34 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: The movement that will prevent you, the next generation, from having to depend on the previous generation. You'll have access to all knowledge and find your path without the cost of a loved ones' life. - Tue Nov 10 00:31:34 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: ..Without the cost of a loved one? You killed many people's loved ones! - Tue Nov 10 00:32:25 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Your sister, Nina, was close with Violet. - Tue Nov 10 00:33:16 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Was she not? - Tue Nov 10 00:33:16 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: Their lives should be viewed as a gust of wind to start the domino effect. - Tue Nov 10 00:33:16 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: Violet and Nina were close, but where is Nina now? - Tue Nov 10 00:33:16 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: Back in -my- settlement - Tue Nov 10 00:33:16 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: Training to ally -me-. - Tue Nov 10 00:33:16 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: She saw the light that has eluded you. - Tue Nov 10 00:33:16 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: ..All she saw was the shadow that you cast overhead forcing her that way.  - Tue Nov 10 00:34:59 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: Shadow? I let her make a decision. I told her to go back to Sunagakure, live a life without me and come back when she is ready to kill me. - Tue Nov 10 00:35:50 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: Or join me in my efforts to start a revolution of Understanding. - Tue Nov 10 00:35:50 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: I let people make their own decisions. - Tue Nov 10 00:35:50 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Then she is as terrible of a person as I judged her. - Tue Nov 10 00:36:41 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: You're a hypocrite, boy. You claim I have no morals, but when I tell you them you place me in the wrong. This is what I believe in. Who are you to cast judgment on me for what I believe in? - Tue Nov 10 00:36:41 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: As a person with opposing morals. - Tue Nov 10 00:37:32 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: You mom sucked cock for a living, did I place judgment on her? The father suicided soon after finding out, do I pass judgment on him? You, boy, are riddled with the genetics of different morals. You have no room to judge me. - Tue Nov 10 00:38:24 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: ... - Tue Nov 10 00:39:15 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: Alllllllllllllrighty then. - Tue Nov 10 00:39:15 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: I think we've all said our piece now haven't we? - Tue Nov 10 00:39:15 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: .... - Tue Nov 10 00:39:15 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: Time to go our seperate ways I believe. - Tue Nov 10 00:40:06 2015
<br><br><font color=teal>*Heiwa(PythonJedi) thinks: This is what Nozumi didn't want of me. Daisuke didn't want of me. Dad didn't want.. That's what a true monster in his ideals are. Lost to the cause. - Tue Nov 10 00:40:06 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: You place judgment on me for moving down my path, doing what I feel is right for me and the next generation.. Yet all you do is walk these grounds as a mere host to a empty soul. Don't you -dare- pass judgment on me for at least I'm doing something with my life. If I had no morals, why did I grant you money to see to it that your life was a bit easier? - Tue Nov 10 00:41:48 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: -easier* - Tue Nov 10 00:42:40 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: Ehh? When I first find out about Kirie? - Tue Nov 10 00:42:40 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: I supplied you with all the money I had to my NAME. - Tue Nov 10 00:42:40 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: To assure that you find yourself a place to live, eat and grow. - Tue Nov 10 00:42:40 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: Yet I have no morals? - Tue Nov 10 00:42:40 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: And then you proceeded to butcher those I came to know infront of me. - Tue Nov 10 00:42:40 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: You're ungrateful, boy. - Tue Nov 10 00:43:31 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: You can't have the best of both worlds. - Tue Nov 10 00:43:31 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: I'm not selling my soul or my morals away for a million yen. - Tue Nov 10 00:43:31 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: You're not Hannah Montana -omit-. - Tue Nov 10 00:43:31 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: Selling your soul for money? Are you that dumb? You must take after your mother. The money was for you to find somewhere stable to live and grow.. - Tue Nov 10 00:44:22 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: The same people that you formed relationships with are the same people that wronged someone else. - Tue Nov 10 00:44:22 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Stable? With people like you killing people everywhere? - Tue Nov 10 00:45:13 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: And when their life was taken by the person they wronged, you cast judgment on ME!? - Tue Nov 10 00:45:13 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: THEY TOOK ME CAPTIVE FOR WEEKS, TORTURED ME.. - Tue Nov 10 00:45:13 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: FUCKED WITH MY MIND.. - Tue Nov 10 00:45:13 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: .... - Tue Nov 10 00:45:13 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: AND YOU CAST JUDGMENT ON ME!? - Tue Nov 10 00:45:13 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: ILL END YOUR FUCKING LIFE NOW..! - Tue Nov 10 00:45:13 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: Ortho. - Tue Nov 10 00:46:04 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: DON'T YOU DARE CAST JUDGMENT ON ME FOR STRIKING MY REVENGE ON THOSE WHO HAS WRONGED ME. - Tue Nov 10 00:46:04 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: They're just kids. - Tue Nov 10 00:46:04 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: ALL IN THE NAME TO 'EXPERIMENT'. - Tue Nov 10 00:46:04 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: ..Yumiko, lets just go back. - Tue Nov 10 00:51:12 2015
<br><br><font color=yellow>*Heiwa(PythonJedi) take's the girl by the hand begins leaving the area.* - Tue Nov 10 01:04:00 2015
<br><br><font color=teal>*Yumiko(Ekario) says: What do you think? - Tue Nov 10 15:13:04 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: ...That he's what I've been warned about becoming. - Tue Nov 10 15:16:28 2015
<br><br><font color=teal>*Yumiko(Ekario) says: Hmm? - Tue Nov 10 15:36:57 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: A monster so devoted to a cause as to destroy himself. - Tue Nov 10 15:41:13 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: And others near.. - Tue Nov 10 15:41:13 2015
<br><br><font color=teal>*Yumiko(Ekario) says: I see. - Tue Nov 10 15:54:01 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: .. - Tue Nov 10 16:23:02 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: You? - Tue Nov 10 16:23:02 2015
<br><br><font color=teal>*Yumiko(Ekario) says: Hmm? - Tue Nov 10 16:24:44 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: ..What're you thinking? - Tue Nov 10 16:46:56 2015
<br><br><font color=teal>*Yumiko(Ekario) says: Crazy people in the world. - Tue Nov 10 16:52:54 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Mm..I'm not going with Fujitora. - Tue Nov 10 17:03:08 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: I don't know Suna or him.  - Tue Nov 10 17:04:00 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: For all I know he could be as crazy as Ortho. - Tue Nov 10 17:04:00 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: And what's more is that Ortho said himself they were previously stationed in Suna. - Tue Nov 10 17:04:51 2015
<br><br><font color=teal>*Yumiko(Ekario) says: I see. - Tue Nov 10 17:21:04 2015
<br><br><font color=teal>*Aden(TenaciousDeeznuts) says: Hello... - Tue Nov 10 18:37:52 2015
<br><br><font color=teal>*Heiwa(PythonJedi) whispers: Prepare your anus, my boy. - Tue Nov 10 18:42:59 2015
<br><br><font color=teal>*Aden(TenaciousDeeznuts) says: -- - Tue Nov 10 18:42:59 2015
<br><br><font color=teal>*Aden(TenaciousDeeznuts) says: I don't see you around alot. - Tue Nov 10 18:44:41 2015
<br><br><font color=teal>*Aden(TenaciousDeeznuts) says: You stay in-doors? - Tue Nov 10 18:44:41 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: No. I'm just not often near the mansion. - Tue Nov 10 18:50:40 2015
<br><br><font color=teal>*Aden(TenaciousDeeznuts) says: Where do you hang around? - Tue Nov 10 18:51:31 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: The training grounds, recently. - Tue Nov 10 18:52:22 2015
<br><br><font color=teal>*Aden(TenaciousDeeznuts) says: Bleh. - Tue Nov 10 18:53:13 2015
<br><br><font color=teal>*Aden(TenaciousDeeznuts) says: I don't even train there anymore. - Tue Nov 10 18:53:13 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Where do you? - Tue Nov 10 18:53:13 2015
<br><br><font color=teal>*Aden(TenaciousDeeznuts) says: Too many people try and see what you're capable of. - Tue Nov 10 18:53:13 2015
<br><br><font color=teal>*Aden(TenaciousDeeznuts) says: Train? - Tue Nov 10 18:53:13 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Mm. - Tue Nov 10 18:53:13 2015
<br><br><font color=teal>*Aden(TenaciousDeeznuts) says: I haven't really .. - Tue Nov 10 18:54:04 2015
<br><br><font color=teal>*Aden(TenaciousDeeznuts) says: Done any training. - Tue Nov 10 18:54:04 2015
<br><br><font color=teal>*Aden(TenaciousDeeznuts) says: Lately. - Tue Nov 10 18:54:04 2015
<br><br><font color=teal>*Aden(TenaciousDeeznuts) says: I've been in - - Tue Nov 10 18:54:04 2015
<br><br><font color=teal>*Aden(TenaciousDeeznuts) thinks: Okay, I'm lying. - Tue Nov 10 18:54:04 2015
<br><br><font color=teal>*Aden(TenaciousDeeznuts) thinks: I always push people to train.. - Tue Nov 10 18:54:04 2015
<br><br><font color=teal>*Aden(TenaciousDeeznuts) says: Hm. - Tue Nov 10 18:54:04 2015
<br><br><font color=teal>*Aden(TenaciousDeeznuts) says: No, that's a lie. - Tue Nov 10 18:54:04 2015
<br><br><font color=teal>*Aden(TenaciousDeeznuts) says: I have been training. - Tue Nov 10 18:54:04 2015
<br><br><font color=teal>*Aden(TenaciousDeeznuts) says: Just nowhere close. - Tue Nov 10 18:54:04 2015
<br><br><font color=teal>*Aden(TenaciousDeeznuts) says: I have my own secret training grounds. - Tue Nov 10 18:54:56 2015
<br><br><font color=teal>*Aden(TenaciousDeeznuts) says: Where I converse with a giant frog. - Tue Nov 10 18:54:56 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: ..I see. I often wait until the training fields are empty before I do anything there. - Tue Nov 10 18:55:47 2015
<br><br><font color=teal>*Aden(TenaciousDeeznuts) says: That's the thing. - Tue Nov 10 18:55:47 2015
<br><br><font color=teal>*Aden(TenaciousDeeznuts) whispers: You never know who's watching.. - Tue Nov 10 18:55:47 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: And you don't know who's watching at your spot either. - Tue Nov 10 18:56:38 2015
<br><br><font color=teal>*Aden(TenaciousDeeznuts) says: Well, you could say. - Tue Nov 10 18:56:38 2015
<br><br><font color=teal>*Aden(TenaciousDeeznuts) says: I have a good idea of who's coming in and out. - Tue Nov 10 18:56:38 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: And hows that? - Tue Nov 10 18:58:20 2015
<br><br><font color=teal>*Aden(TenaciousDeeznuts) says: Tch. - Tue Nov 10 18:59:12 2015
<br><br><font color=yellow>*Heiwa(PythonJedi) couldn't say that he noticed Aden's disappearance, as Heiwa himself wasn't always out and about. Much of what he'd found in Konoha left him more he believed understanding, and that was enough for him. 

Trailing his eyes off of Aden he'd turn his head in the opposite direction. "I just came here anyways to see if the Hokage had returned. Since he's still gone there's no reason for me to be here anymore."* - Tue Nov 10 19:10:17 2015
<br><br><font color=yellow>*Heiwa(PythonJedi) was leaving and continues to leave. Later niggas.* - Tue Nov 10 19:16:16 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Nori, Yumiko, you both awake? - Tue Nov 10 19:20:32 2015
<br><br><font color=teal>*Yumiko(Ekario) says: Mhm. - Tue Nov 10 19:20:32 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: Yeah. - Tue Nov 10 19:20:32 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Good. - Tue Nov 10 19:30:46 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Nori, Yumiko and I are going to be leaving. - Tue Nov 10 19:31:37 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Towards Kirigakure.  - Tue Nov 10 19:31:37 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: We've taken samples like you've requested..the offer does extend to you. - Tue Nov 10 19:31:37 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: A place with us - paid fare there.  - Tue Nov 10 19:32:28 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: And a chance as shinobis under that banner. - Tue Nov 10 19:32:28 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: The place in Kiri would also have electricity. - Tue Nov 10 19:33:20 2015
<br><br><font color=teal>*Heiwa(PythonJedi) thinks: Going to assume that Yumiko wouldn't want to go back with her parents. - Tue Nov 10 19:34:11 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: Hm? Heading on back? - Tue Nov 10 19:39:18 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Mm.  - Tue Nov 10 19:41:00 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Do you want to come? - Tue Nov 10 19:41:00 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: Sure. . - Tue Nov 10 20:55:15 2015
<br><br><font color=teal>*Yumiko(Ekario) says: When do we leave? - Tue Nov 10 20:58:40 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: As soon as you both are ready. - Tue Nov 10 21:01:13 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: We can take a caravan. - Tue Nov 10 21:01:13 2015
<br><br><font color=teal>*Yumiko(Ekario) says: When ever she is I am. - Tue Nov 10 21:50:43 2015
<br><br><font color=teal>*Yumiko(Ekario) says: Well then you wanna leave now? - Tue Nov 10 22:06:04 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Mm.  - Tue Nov 10 22:27:24 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Lets go. - Tue Nov 10 22:27:24 2015
<br><br><font color=teal>*Yumiko(Ekario) says: Right. - Tue Nov 10 22:57:16 2015
<br><br><font color=teal>*Yumiko(Ekario) thinks: Kirigakure...how long has it been? - Tue Nov 10 23:09:13 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Back here..it looks better. - Tue Nov 10 23:39:05 2015
<br><br><font color=teal>*Yumiko(Ekario) says: Lets enter inside. - Tue Nov 10 23:57:52 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Mm. - Tue Nov 10 23:57:52 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: Zzzzz. . . - Wed Nov 11 00:01:16 2015
<br><br><font color=yellow>*Heiwa(PythonJedi) definitely couldn't have been holding her. Nigga, Yumiko you carrying her?* - Wed Nov 11 00:02:59 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Lets see if we can find the Mizukage. - Wed Nov 11 00:06:24 2015
<br><br><font color=teal>*Yumiko(Ekario) says: Right. - Wed Nov 11 00:08:06 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: Not much people here. . - Wed Nov 11 00:54:11 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Mm.  - Wed Nov 11 00:55:02 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: I'm not too surprised. But I've heard there is a new mizukage. - Wed Nov 11 00:57:36 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: When'd you wake up? - Wed Nov 11 00:58:27 2015
