<br><font color=teal>*Tengoku(Punka) thinks: Oi.~ A mock mission encounter? - Tue Dec  1 03:18:24 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: ...She says so. If the confrontation was serious, however, that might..mistakes can happen. - Wed Dec  2 07:20:19 2015
<br><br><font color=teal>*Yumiko(Ekario) says: I was. - Wed Dec  2 07:20:19 2015
<br><br><font color=teal>*Meinu, Sekitsui(TheButtNekkidBandit) says: Yeah... I get it. - Wed Dec  2 07:21:10 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Ino idea who berith is lol - Wed Dec  2 07:33:58 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Mm. Yumiko, we'll work on your accuracy together, okay? - Wed Dec  2 07:36:32 2015
<br><br><font color=teal>*Meinu, Sekitsui(TheButtNekkidBandit) thinks: Yeah that was weird as fuck... - Wed Dec  2 07:37:23 2015
<br><br><font color=teal>*Meinu, Sekitsui(TheButtNekkidBandit) says: *Yeah, that was weiiiiiiiiiiiird. - Wed Dec  2 07:37:23 2015
<br><br><font color=teal>*Yumiko(Ekario) says: Alright.~ - Wed Dec  2 07:49:20 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: -omit- - Wed Dec  2 07:52:44 2015
<br><br><font color=teal>*Heiwa(PythonJedi) whispers: (How Puppets work?) - Wed Dec  2 08:18:20 2015
<br><br><font color=teal>*Geo Dude(Wynokx) whispers: ( With yo fingers. ) - Wed Dec  2 08:18:20 2015
<br><br><font color=teal>*Heiwa(PythonJedi) whispers: (---i h8 u so much) - Wed Dec  2 08:18:20 2015
<br><br><font color=teal>*Heiwa(PythonJedi) whispers: (Like how the puppets stats work niggurh) - Wed Dec  2 08:18:20 2015
<br><br><font color=teal>*Geo Dude(Wynokx) whispers: ( It's based mostly on your control and the material of the puppet ) - Wed Dec  2 08:19:12 2015
<br><br><font color=teal>*Geo Dude(Wynokx) whispers: ( Spd and Atk Spd and Rfx are Con while the rest is mostly Material ) - Wed Dec  2 08:19:12 2015
<br><br><font color=teal>*Heiwa(PythonJedi) whispers: (I see. I was thinking of going puppet on Heiwa.) - Wed Dec  2 08:19:12 2015
<br><br><font color=teal>*Heiwa(PythonJedi) whispers: (Shouldn't some of the reflex be, at least, the puppeteers reflex?) - Wed Dec  2 08:20:03 2015
<br><br><font color=teal>*Heiwa(PythonJedi) whispers: (Cuz them niggas gotta track with that eye sight and shit - and that stuff doesn't give no control boosts.) - Wed Dec  2 08:20:03 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Hi. - Wed Dec  2 08:36:16 2015
<br><br><font color=teal>*Yumiko(Ekario) says: Hello there. - Wed Dec  2 08:37:58 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: How are you? - Wed Dec  2 08:37:58 2015
<br><br><font color=teal>*Yumiko(Ekario) says: Good you? - Wed Dec  2 08:38:49 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: I've been better. - Wed Dec  2 08:38:49 2015
<br><br><font color=yellow>*Heiwa(PythonJedi) faced towards Izanami, rather quickly remembering her. Gonna assume her lack of arm isn't made well and clear to see.

"You here looking for me again?" * - Wed Dec  2 08:41:23 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: ..Did you find any information about your brother? - Wed Dec  2 08:49:04 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: None at all. - Wed Dec  2 08:49:04 2015
<br><br><font color=yellow>*Heiwa(PythonJedi) glanced down, eyes locking on the scroll being handed. He'd take it, and carefully start to unroll it, even as he noticed the terrible shape of her arm. Definitely known - the child does his best to quickly turn off of it and not draw much attention to what was seen. 

Luckily, upon opening the scroll it wouldn't be filled with explosive tags! The child scanned across the small scribbling quickly, his eyes widening as he read it. When he brought it back down, he'd face Yumiko and force his face into a, rather clear, fake smile. "Yumiko, mind if Izanami comes into the house? She might need a place to stay." he'd say, scrambling for a bit of a lie.* - Wed Dec  2 09:01:00 2015
<br><br><font color=teal>*Yumiko(Ekario) says: I don't mind. - Wed Dec  2 09:01:52 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: -omit- - Wed Dec  2 09:02:43 2015
<br><br><font color=teal>*Yumiko(Ekario) says: Why don't we head in. - Wed Dec  2 09:06:59 2015
<br><br><font color=teal>*Yumiko(Ekario) says: Also...a moment Heiwa. - Wed Dec  2 09:06:59 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Mm? - Wed Dec  2 09:06:59 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Sure. - Wed Dec  2 09:06:59 2015
<br><br><font color=teal>*Yumiko(Ekario) says: How long have we known each other? - Wed Dec  2 09:09:32 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Nearing a year.. - Wed Dec  2 09:10:24 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Why? - Wed Dec  2 09:10:24 2015
<br><br><font color=teal>*Yumiko(Ekario) says: So is it bad I can sort of tell when something is forced and not? - Wed Dec  2 09:12:06 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: ...I'd like to talk to her is all. Here. - Wed Dec  2 09:12:57 2015
<br><br><font color=yellow>*Heiwa(PythonJedi) hands her that very same scroll.* - Wed Dec  2 09:13:48 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: I'd like you there as well. - Wed Dec  2 09:13:48 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Mm..I was hiding from anyone that may be watching. - Wed Dec  2 09:15:31 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Not from you. - Wed Dec  2 09:15:31 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Welcome..feel free to take a seat. - Wed Dec  2 09:17:13 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Thank you but no thanks. - Wed Dec  2 09:17:13 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Anyway..you're well aware of who governs our lives, i'm sure. - Wed Dec  2 09:18:04 2015
<br><br><font color=yellow>*Heiwa(PythonJedi) || There'd be the occasional window - all of them closed but none appearing direclty locked. There'd probably be growing weed plants discernable as well.

Giving a nod, Heiwa would step forward after having securely closed the door. "We are. Which is why I wanted to bring us in here. It's safer than outside."* - Wed Dec  2 09:19:47 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: *Nods* What's your stance on their influence? - Wed Dec  2 09:20:38 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: They choose to make money off of the continued suffering and death of those they're over. They don't care about us shinobis beyond profit. - Wed Dec  2 09:21:29 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Peace in any measure isn't possible with them. - Wed Dec  2 09:21:29 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: *nods* And how much do you know about them specifically? - Wed Dec  2 09:22:20 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Their ranks...their agenda. - Wed Dec  2 09:23:12 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Not very much. I know of their private entrance exams. - Wed Dec  2 09:23:12 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: I know that they're also very tough to pass. - Wed Dec  2 09:23:12 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: *raises a finger* - Wed Dec  2 09:23:12 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Mhm. - Wed Dec  2 09:24:03 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: You've heard of the popular saying, keep your friends closer and your enemies closer? - Wed Dec  2 09:24:03 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: I believe we should do just that... - Wed Dec  2 09:24:03 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Take these exams...scale in the ranks... - Wed Dec  2 09:24:03 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Be the good little puppets they expect us to be. - Wed Dec  2 09:24:03 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Mm - my thoughts were the same. - Wed Dec  2 09:24:03 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: After invading the ranks we can learn more about them and why they exist... - Wed Dec  2 09:24:54 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: I've been saving up money to afford a few books on their history. - Wed Dec  2 09:24:54 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Likewise. - Wed Dec  2 09:24:54 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: I have one volume. - Wed Dec  2 09:24:54 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: I believe its the first... - Wed Dec  2 09:24:54 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Looking for members to help, I take it? - Wed Dec  2 09:25:45 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: *nods* - Wed Dec  2 09:25:45 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: I've told Yumiko about this plan, so I believe she's on board. - Wed Dec  2 09:25:45 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Nori - the red head with me on that mission? - Wed Dec  2 09:25:45 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Hm? - Wed Dec  2 09:25:45 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Doesn't know much, but she'd likely agree. - Wed Dec  2 09:26:36 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: *nods* The more we have for the cause the better. - Wed Dec  2 09:26:36 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: We need to become privates..field commanders.. - Wed Dec  2 09:26:36 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: .All that....make a good impression. - Wed Dec  2 09:26:36 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: They'll trust us more. - Wed Dec  2 09:26:36 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: *nod* With trust comes more information. - Wed Dec  2 09:26:36 2015
<br><br><font color=teal>*Yumiko(Ekario) says: So learn about them and take them down from within. - Wed Dec  2 09:27:28 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Bingo. - Wed Dec  2 09:27:28 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: There are bound to be some others within the organization to feel the same way. - Wed Dec  2 09:27:28 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: At least a few. - Wed Dec  2 09:27:28 2015
<br><br><font color=teal>*Yumiko(Ekario) says: I think it's better to be prepared for the worse. - Wed Dec  2 09:28:19 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: I've heard the exams themselves are dangerous though. - Wed Dec  2 09:28:19 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: They are. - Wed Dec  2 09:28:19 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: My friend lost her arm.. - Wed Dec  2 09:28:19 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: ..Is that where you..? - Wed Dec  2 09:28:19 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Hm - Wed Dec  2 09:28:19 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Oh no... - Wed Dec  2 09:28:19 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Sunagakure was attacked.. - Wed Dec  2 09:29:10 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: I let my cocky attitude get the best of me. - Wed Dec  2 09:29:10 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: .... - Wed Dec  2 09:29:10 2015
<br><br><font color=teal>*Yumiko(Ekario) says: There's a saying. - Wed Dec  2 09:29:10 2015
<br><br><font color=teal>*Yumiko(Ekario) says: Never play with your food. Always eat it as quck as possible. - Wed Dec  2 09:29:10 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: ..Hm. - Wed Dec  2 09:30:01 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: ..Just one stroke? How skilled were they? - Wed Dec  2 09:31:44 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: The gezo soldier or my friend? - Wed Dec  2 09:32:35 2015
<br><br><font color=teal>*Yumiko(Ekario) says: Both. - Wed Dec  2 09:32:35 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: My friend was equivilent to a Kage. - Wed Dec  2 09:32:35 2015
<br><br><font color=teal>*Yumiko(Ekario) says: ...... - Wed Dec  2 09:32:35 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: ...... - Wed Dec  2 09:32:35 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Their strength is terrfying isn't it. - Wed Dec  2 09:32:35 2015
<br><br><font color=teal>*Yumiko(Ekario) says: yall on some suicide shit - Wed Dec  2 09:32:35 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: LOL - Wed Dec  2 09:32:35 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: 0omit- - Wed Dec  2 09:32:35 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Leagues above what I thought.. - Wed Dec  2 09:35:08 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Is that sort of strength even attainable? - Wed Dec  2 09:36:00 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Of course it is. - Wed Dec  2 09:36:00 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: We just have to be willing to push our bodies to that point. - Wed Dec  2 09:36:00 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Or should I say both our minds and bodies. - Wed Dec  2 09:36:00 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: We have to take this nice and slow.. - Wed Dec  2 09:37:42 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Make sure we don't die like others who've likely had these same thoughts. - Wed Dec  2 09:37:42 2015
<br><br><font color=teal>*Yumiko(Ekario) says: By the way...don't think I've officially introduced myself. Yumiko. - Wed Dec  2 09:37:42 2015
<br><br><font color=teal>*Heiwa(PythonJedi) thinks: Just like they all said. I wanted to move forward, but if a kage..was killed like that I wasn't ready. - Wed Dec  2 09:38:33 2015
<br><br><font color=teal>*Yumiko(Ekario) says: Like wise. - Wed Dec  2 09:39:24 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: She's Ryujin's daughter - the family I mentioned we might be able to stay with in Suna? - Wed Dec  2 09:41:07 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Before returning back here. - Wed Dec  2 09:41:07 2015
<br><br><font color=teal>*Yumiko(Ekario) says: Ah I see. - Wed Dec  2 09:42:49 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: You'd like to stay in Sunagakure? - Wed Dec  2 09:44:32 2015
<br><br><font color=teal>*Yumiko(Ekario) says: At one point we considered it. - Wed Dec  2 09:45:23 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Kirigakure was being attacked by Ortho and was on the verge of a civil war over who would be the Mizukage's replacement. - Wed Dec  2 09:46:14 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: It is entirely up to you.~ But if you move to Sunagakure, contact will be easier. - Wed Dec  2 09:46:14 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: We need something to know ourselves by.. - Wed Dec  2 09:48:48 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Kokuren...does that sound fitting? - Wed Dec  2 09:48:48 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: ..Kokuren?\ - Wed Dec  2 09:50:30 2015
<br><br><font color=teal>*Yumiko(Ekario) says: Hmmm. - Wed Dec  2 09:50:30 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Black Lotus.  - Wed Dec  2 09:50:30 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: A lotus normally represents change....and since we are going about this in darkened days where the gezo hang over our heads like a black cloud. - Wed Dec  2 09:50:30 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: We are a lotus tainted black. - Wed Dec  2 09:51:21 2015
<br><br><font color=teal>*Yumiko(Ekario) says: We need a symbol to represent ourselves. - Wed Dec  2 09:51:21 2015
<br><br><font color=teal>*Yumiko(Ekario) says: Heiwa a scroll please. - Wed Dec  2 09:51:21 2015
<br><br><font color=yellow>*Heiwa(PythonJedi) reached over and handed her a scroll.* - Wed Dec  2 09:52:12 2015
<br><br><font color=yellow>*Heiwa(PythonJedi) moved over himself to see the drawing, far more amazed generally at how her drawing skills were. Shit. 

"The Black Lotus," he remarks aloud, nodding his head somewhat after saying that. "Kokuren."* - Wed Dec  2 10:06:43 2015
<br><br><font color=teal>*Yumiko(Ekario) says: We get it put on our body some where. - Wed Dec  2 10:07:34 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Mm.  - Wed Dec  2 10:09:16 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Thoughts on her other offer? - Wed Dec  2 10:09:16 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Of moving to Suna? - Wed Dec  2 10:09:16 2015
<br><br><font color=teal>*Yumiko(Ekario) says: Not yet,we don't want to make enemies with Kirigakure. - Wed Dec  2 10:09:16 2015
<br><br><font color=teal>*Yumiko(Ekario) says: Plus I have something to do in the archives. - Wed Dec  2 10:10:08 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Something to do? - Wed Dec  2 10:10:08 2015
<br><br><font color=teal>*Yumiko(Ekario) says: Making sure a few techniques we know don't remain there. - Wed Dec  2 10:10:08 2015
<br><br><font color=teal>*Yumiko(Ekario) says: While getting information on a few new ones. - Wed Dec  2 10:11:50 2015
<br><br><font color=yellow>*Heiwa(PythonJedi) nodded. It was a fair point indeed.

"Yeah..getting the kage's permission to enter though.." shaking his head he'd sigh and step over taking a seat next to her.* - Wed Dec  2 10:17:48 2015
<br><br><font color=yellow>*Heiwa(PythonJedi) 's eyes darted to the side looking uncomfortably away from her. 

"Oh..err - when'd she give it?"* - Wed Dec  2 10:27:12 2015
<br><br><font color=teal>*Yumiko(Ekario) says: A while ago. - Wed Dec  2 10:32:19 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: What do you think is in there? - Wed Dec  2 10:34:52 2015
<br><br><font color=teal>*Yumiko(Ekario) says: Suiton techniques. - Wed Dec  2 10:35:44 2015
<br><br><font color=teal>*Yumiko(Ekario) says: I still feel sorry about earlier. - Wed Dec  2 10:37:26 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: ..Earlier? - Wed Dec  2 10:39:08 2015
<br><br><font color=teal>*Yumiko(Ekario) says: Sekitsui's leg... - Wed Dec  2 10:39:08 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: ...It's alright. Nori allows training to exist using ninjutsu.. - Wed Dec  2 10:44:16 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: If we're to do..what we need to do - we need to get as strong as possible. - Wed Dec  2 10:44:16 2015
<br><br><font color=teal>*Yumiko(Ekario) says: Mhm. - Wed Dec  2 10:48:32 2015
<br><br><font color=teal>*Yumiko(Ekario) says: I think I've almost gotten the iron maiden down. - Wed Dec  2 10:49:23 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: You haven't shown many people that technique, right? - Wed Dec  2 10:51:05 2015
<br><br><font color=teal>*Yumiko(Ekario) says: No. - Wed Dec  2 10:52:48 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Good. We're best off taking that out of the archives. - Wed Dec  2 10:54:30 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Our personal hidens. - Wed Dec  2 10:54:30 2015
<br><br><font color=teal>*Yumiko(Ekario) says: Not many people know everything I can do. - Wed Dec  2 10:57:55 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Mm..that's good..showing your cards too quickly can destroy your entire fighting ability as a shinobi. - Wed Dec  2 11:01:20 2015
<br><br><font color=teal>*Yumiko(Ekario) says: Evening. - Wed Dec  2 23:11:47 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Hey. You need some rest still? - Wed Dec  2 23:14:20 2015
<br><br><font color=teal>*Yumiko(Ekario) says: Just a little more. - Wed Dec  2 23:16:03 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Mm - we're going to work on your accuracy today, alright?  - Wed Dec  2 23:18:36 2015
<br><br><font color=teal>*Yumiko(Ekario) says: Alright. - Wed Dec  2 23:19:28 2015
<br><br><font color=teal>*Yumiko(Ekario) says: Did you ask her about "that"? - Wed Dec  2 23:19:28 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Her about what? - Wed Dec  2 23:27:08 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Oh - Nori? - Wed Dec  2 23:27:08 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: I haven't. - Wed Dec  2 23:28:51 2015
<br><br><font color=teal>*Yumiko(Ekario) says: Mmm. - Wed Dec  2 23:31:24 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Tonight, okay? - Wed Dec  2 23:39:05 2015
<br><br><font color=teal>*Yumiko(Ekario) says: Alright. - Wed Dec  2 23:40:48 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: In the mean time we need to work on your archery.~ - Wed Dec  2 23:51:02 2015
<br><br><font color=teal>*Yumiko(Ekario) says: Heh yeah. - Wed Dec  2 23:52:44 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Okay. - Wed Dec  2 23:58:43 2015
<br><br><font color=yellow>*Heiwa(PythonJedi) nodded, and took several steps away from Yumiko keeping the distance between them rather large. It'd be many metres apart from eachother. Aiming would have some difficulty for sure. 

"When you're ready."* - Thu Dec  3 00:02:59 2015
<br><br><font color=yellow>*Heiwa(PythonJedi) 's head leaned up, eyes trailing along the arc the arrow was making. <A long shot?> he'd think to himself, before quickly flicking his eyes back onto Yumiko herself. <Or a feint?> There'd be no other arrow appearing to be made, and with that he'd once more bring his eyes onto the now falling arrow watching its total trajectory.

It was actually surprisingly close, and for safety's sake alone he placed his right foot back behind his left, feet idly standing on ends ready for a dodge if it came to it. But the closer it got the more it would appear to no longer be aiming at him - until finally it stopped just a few feet short of his position. He'd exhale, and return his eyes on Yumiko.

<That was close..she's getting a lot better with that.>* - Thu Dec  3 00:22:36 2015
<br><br><font color=yellow>*Heiwa(PythonJedi) breathed in, readying himself the moment he saw the weapon move back up. <Where is it heading this time?> he'd think to himself, once more following the path of the arrow. It hadn't looked too much different along the way, but the closer it got the more his mind began to nag at him. <It's getting too close..I have to move.>

Well aware of the damage her arrows could do - the child takes an evasive maneuver, using the large arc of the arrow, and therefore the low immediate speed of the attack, to give him enough time to pull out a kunai, jump back, and throw the weapon at his position marking the spot. The arrow would land very near to it. <A hit..>

Landing on his feet, he twists his ankle somewhat creating enough resistance to come at a full stop. In doing so he'd also return his eyes on Yumiko.* - Thu Dec  3 00:40:32 2015
<br><br><font color=yellow>*Heiwa(PythonJedi) || Little time was given for rest, Yumiko's attack coming in fast shortly after the last. <Here it comes..> His eyes focused on the approaching arrow, treating the accuracy training as an additional bit of training for himself - his reflexes getting some proper fine tuning and general refreshing.

As it neared closer, his back lowered bringing his entire body closer. And then, just as it remained a few feet infront of him, he dipped out to the side landing against the ground in a roll. The attack would be narrowly dodged at near to the last second with Heiwa pulling himself up onto a knee - quickly returning his attention onto Yumiko.

If given more time he'd catch his breath and step back onto his feet, but if she was going to keep this exercise tense - he'd probably only be able to get so far before another dodge came near.* - Thu Dec  3 01:11:15 2015
<br><br><font color=yellow>*Heiwa(PythonJedi) had managed to make his way back onto his feet by the time the fourth arrow was released. His eyes would do its best to track the movement of the incoming attack, only breaking to move when he was sure it was actually coming to land against him. Training his reflexes wouldn't be as powerful if he just kept running around the area.

And, just as it comes near, he brings his body out to the side doing his best to outmaneuver the incoming missile. Alas, where there was luck there was also the lack of luck - the arrow comes past just barely grazing his skin cutting in hard against the part was hit.

When the arrow finally comes to a stop Heiwa would be pulling himself back off the ground, holding his somewhat bleeding arm. <Those..really are fast.>* - Thu Dec  3 04:02:46 2015
<br><br><font color=teal>*Yumiko(Ekario) says: I think you should get some rest. Don't want to really hurt you with this. - Thu Dec  3 04:07:02 2015
<br><br><font color=yellow>*Heiwa(PythonJedi) lightly nodded his head. "Fine - Is Nori up? Lets see if we can find her."* - Thu Dec  3 04:23:15 2015
<br><br><font color=teal>*Yumiko(Ekario) says: She is yes. - Thu Dec  3 04:29:13 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Where is she? - Thu Dec  3 04:30:56 2015
<br><br><font color=yellow>*Heiwa(PythonJedi) stepped into the academy, hands clenched around his right arm. A small amount of blood could be seen barely coming from some type of wound. "Hey, Nori, think you could help?"* - Thu Dec  3 05:13:36 2015
<br><br><font color=teal>*Yumiko(Ekario) says: Hello.~ - Thu Dec  3 05:14:27 2015
<br><br><font color=yellow>*Heiwa(PythonJedi) pulled his hand off of the wound showing it to Nori. It was just a flesh wound - his skin appearing nearly seared off in a similar fashion to Sekitsui's injury. "Accuracy training."* - Thu Dec  3 05:23:50 2015
<br><br><font color=yellow>*Heiwa(PythonJedi) kept his arm out, accepting the soothing embrace of his wounds being stitched back up with her chakra.

"Right..Thank you for this, Nori." he'd say, pulling him arm back after it'd been fixed up.* - Thu Dec  3 05:44:19 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: No problem. - Thu Dec  3 05:47:44 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Mm. How has your training been? - Thu Dec  3 05:49:26 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: Good.. Boring, but good. - Thu Dec  3 05:54:33 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Want some help with it? - Thu Dec  3 06:11:37 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: Somewhat. - Thu Dec  3 06:18:27 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: To the house then? Yumiko, you coming? - Thu Dec  3 06:21:52 2015
<br><br><font color=teal>*Yumiko(Ekario) says: I am. - Thu Dec  3 06:32:06 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: Eh? - Thu Dec  3 06:37:13 2015
<br><br><font color=teal>*Yumiko(Ekario) says: Oh boy this is going to be a long explination. - Thu Dec  3 06:41:29 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: ..Yeah. Yumiko, you got the picture? - Thu Dec  3 06:42:20 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: Uhhhh. .. - Thu Dec  3 06:44:54 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: A picture of a flower? - Thu Dec  3 06:44:54 2015
<br><br><font color=teal>*Yumiko(Ekario) says: Mhm, I made that by the way. - Thu Dec  3 06:46:36 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Mm - it's a black lotus: Kokuren. - Thu Dec  3 06:46:36 2015
<br><br><font color=teal>*Yumiko(Ekario) says: Ever wonder what is above a Kage at the current time? - Thu Dec  3 06:52:35 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: Oooh. I see. And I always thought it was a Daimyo or whatever. - Thu Dec  3 06:53:26 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Above the daimyo even. - Thu Dec  3 06:57:42 2015
