<br><font color=teal>*Index(Jjking217) says: Well...A series of odd questions. - Sat Nov  7 14:35:05 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: Okay...but I guess this gives you a chance for more questions that you find  difficult to ask. - Sat Nov  7 15:58:43 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: ...Truth, I guess. - Sat Nov  7 15:59:34 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: Is it not easier with the dice so we don't choose? - Sat Nov  7 15:59:34 2015
<br><br><font color=teal>*Index(Jjking217) says: You want to put it up to chance? - Sat Nov  7 15:59:34 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: Is that not more interesting? - Sat Nov  7 15:59:34 2015
<br><br><font color=teal>*Index(Jjking217) says: I suppose it is! - Sat Nov  7 16:00:25 2015
<br><br><font color=yellow>*Index(Jjking217) reached into his pocket and unsealed a single die, offering it to Owari.* - Sat Nov  7 16:00:25 2015
<br><br><font color=teal>*Index(Jjking217) says: Evens Truth. - Sat Nov  7 16:00:25 2015
<br><br><font color=teal>*Index(Jjking217) says: Odds dare. - Sat Nov  7 16:00:25 2015
<br><br><font color=teal>*Index(Jjking217) says: hM.. - Sat Nov  7 16:01:16 2015
<br><br><font color=teal>*Index(Jjking217) says: Who picked out your clothes? - Sat Nov  7 16:02:08 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: I ...stole them. - Sat Nov  7 16:02:08 2015
<br><br><font color=teal>*Index(Jjking217) says: --- - Sat Nov  7 16:02:08 2015
<br><br><font color=teal>*Index(Jjking217) says: I see. - Sat Nov  7 16:02:08 2015
<br><br><font color=teal>*Index(Jjking217) says: They look nice on you though. - Sat Nov  7 16:02:08 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: I do not really like this color. - Sat Nov  7 16:02:59 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: It's...very bright. - Sat Nov  7 16:02:59 2015
<br><br><font color=teal>*Index(Jjking217) says: The color pink? - Sat Nov  7 16:02:59 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: Is that what this is called? - Sat Nov  7 16:02:59 2015
<br><br><font color=teal>*Index(Jjking217) says: Would you prefer something darker? - Sat Nov  7 16:02:59 2015
<br><br><font color=teal>*Index(Jjking217) says: Yeah that's pink. - Sat Nov  7 16:02:59 2015
<br><br><font color=teal>*Index(Jjking217) says: I could find you something darker if you'd like - Sat Nov  7 16:02:59 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: yes...but this persona likes things colorful. - Sat Nov  7 16:03:50 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: I think you just like dressing me. - Sat Nov  7 16:03:50 2015
<br><br><font color=yellow>*Index(Jjking217) reached for the dice, before giving it a roll "Though, that may be true. Your persona is interesting."* - Sat Nov  7 16:03:50 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: .... - Sat Nov  7 16:04:41 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: I.... - Sat Nov  7 16:04:41 2015
<br><br><font color=yellow>*Index(Jjking217) blinked and nodded his head "Yeah why?" Was a bit taken back by her smile.* - Sat Nov  7 16:06:24 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: You drink two shots of it. - Sat Nov  7 16:07:15 2015
<br><br><font color=yellow>*Index(Jjking217) blinked, but he nodded his head, he figured he'd have to break his streak of not drinking for a while, but he slowly walked over to the counter after passing her the dice. He'd open a cabinet, before he slowly pulled out a bottle followed by two shot glasses.

He'd bring all the items over to the table where they sat, this time taking a seat beside her on the cushion instead of on the floor. He'd pout the first shot, raising it to his lips, he'd slowly tilt it back, downing it in a single motion. Afterwards, he'd exhale sharply, before pouring the second and downing it just as fast. He felt the alcohol rolling down his throat. 

He distinctly felt like it 'warmed' him some. But he nodded his head, the buzz comming on, since his 'tolerance' had lowered.* - Sat Nov  7 16:10:40 2015
<br><br><font color=teal>*Index(Jjking217) says: Hm... - Sat Nov  7 16:12:22 2015
<br><br><font color=teal>*Index(Jjking217) says: Are you able to make clothes out of your own mass? - Sat Nov  7 16:13:13 2015
<br><br><font color=teal>*Index(Jjking217) says: Though...I suppose that'd be the same as being naked.. - Sat Nov  7 16:14:04 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: ...Yes, when I copy someone. I copy everything...even weapons. - Sat Nov  7 16:14:04 2015
<br><br><font color=teal>*Index(Jjking217) says: That's pretty cool. - Sat Nov  7 16:14:04 2015
<br><br><font color=teal>*Index(Jjking217) says: --- - Sat Nov  7 16:14:04 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: I wear normal clothing now because... well it would cost too much energy. - Sat Nov  7 16:14:04 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: ......two...more..shots? - Sat Nov  7 16:14:56 2015
<br><br><font color=yellow>*Index(Jjking217) grunted a bit, pouring the first shot once, again, noticing her smile he chuckled a bit. Raising the glass to his lips, it was downed, and he shook his head as he felt the 'buzz' sink in for a moment, before being repelled, and he reached for the second and repeated the process. He sighed briefly, deciding to remove his armor, not like he'd need it.* - Sat Nov  7 16:15:47 2015
<br><br><font color=teal>*Index(Jjking217) says: --- - Sat Nov  7 16:16:38 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: Is that..... like... a lucky thing? - Sat Nov  7 16:16:38 2015
<br><br><font color=teal>*Index(Jjking217) says: Yeah... - Sat Nov  7 16:16:38 2015
<br><br><font color=teal>*Index(Jjking217) says: Remind me to take you gambling one of these days. - Sat Nov  7 16:16:38 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: Mn, okay. - Sat Nov  7 16:16:38 2015
<br><br><font color=teal>*Index(Jjking217) says: Your body....Are you able to differentiate skin pigmentation where you choose? L-Like...With your nipples, and....O-Other things. - Sat Nov  7 16:17:29 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: Well.... I can. If I color my skin, then yes. - Sat Nov  7 16:18:20 2015
<br><br><font color=teal>*Index(Jjking217) says: Nice.. - Sat Nov  7 16:19:12 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: Like right now, they are. But before they weren't. - Sat Nov  7 16:19:12 2015
<br><br><font color=teal>*Index(Jjking217) says: What were they before..? - Sat Nov  7 16:19:12 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: I was all white. - Sat Nov  7 16:19:12 2015
<br><br><font color=teal>*Index(Jjking217) says: I see.. - Sat Nov  7 16:19:12 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: Will you consider forgiving Ortho? - Sat Nov  7 16:23:28 2015
<br><br><font color=teal>*Index(Jjking217) says: ... - Sat Nov  7 16:24:19 2015
<br><br><font color=teal>*Index(Jjking217) says: Maybe...At some point. - Sat Nov  7 16:25:10 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: Mn... - Sat Nov  7 16:26:01 2015
<br><br><font color=teal>*Index(Jjking217) says: Hm... - Sat Nov  7 16:26:52 2015
<br><br><font color=teal>*Index(Jjking217) says: I dare you... - Sat Nov  7 16:27:44 2015
<br><br><font color=teal>*Index(Jjking217) says: To do a hand stand. - Sat Nov  7 16:27:44 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: ..... - Sat Nov  7 16:27:44 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) thinks: Can I do that? - Sat Nov  7 16:27:44 2015
<br><br><font color=teal>*Index(Jjking217) thinks: ---She's wearing a dress. - Sat Nov  7 16:28:35 2015
<br><br><font color=yellow>*Index(Jjking217) blinked followed by a blush, as he saw the dress falling down her sides, revealing her panties. He coughed nervously, as his gaze was averted as he spoke "A-Ah...Only for five or so seconds." He stated looking towards her feet, he wondered if she was wearing shoes or not. Though it was a small curiosity, after a moment. He'd slide the dice over to where she sat.* - Sat Nov  7 16:32:51 2015
<br><br><font color=yellow>*Index(Jjking217) didn't comment on her slippers, but he wondered if she stole those,  not that he honestly cared. Her flexibility came as a shock to him, but he slowly rolled the dice.* - Sat Nov  7 16:43:05 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: ... - Sat Nov  7 16:43:56 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: Hmph. - Sat Nov  7 16:44:48 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: This is hard... - Sat Nov  7 16:44:48 2015
<br><br><font color=teal>*Index(Jjking217) says: It can be anything. - Sat Nov  7 16:44:48 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: I.... dare you....  - Sat Nov  7 16:45:39 2015
<br><br><font color=yellow>*Index(Jjking217) contemplated that in his 'near' drunk state, as he thought "Hm..." That was definately a hard thing for him to think about, but ultimately he decided to say. "I wanted to dare you to sit on my lap." He stated, with a nod of his head, not expecting her to take him seriously.* - Sat Nov  7 16:49:04 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: So how long? - Sat Nov  7 16:50:46 2015
<br><br><font color=yellow>*Index(Jjking217) blinked, he definately wasn't expecting this, he swallowed hard, before he spoke "T-The entire game." He stated, with a nod of his head, that part was probably truthful, but he passed the dice around front of him on the table. He felt how light she was, but was more embarrassed that she was sitting on his lap to focus.* - Sat Nov  7 16:52:28 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: so? - Sat Nov  7 16:54:11 2015
<br><br><font color=teal>*Index(Jjking217) says: H-Hm.. - Sat Nov  7 16:54:11 2015
<br><br><font color=teal>*Index(Jjking217) says: I dare you.... - Sat Nov  7 16:54:11 2015
<br><br><font color=teal>*Index(Jjking217) says: To take a shot. - Sat Nov  7 16:54:11 2015
<br><br><font color=teal>*Index(Jjking217) thinks: Probably won't affect her...With her rate of regeneration. - Sat Nov  7 16:55:02 2015
<br><br><font color=yellow>*Index(Jjking217) blinked as she pouted, before watching her drink the shot, he chuckled at her comment, and closed an eye for a moment when she shuttered before moving to roll the dice.* - Sat Nov  7 16:57:36 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) whispers: Do what you want to do right now... - Sat Nov  7 16:59:18 2015
<br><br><font color=yellow>*Index(Jjking217) blinked as she spoke, and he swallowed hard, his hands had been at his sides on the floor. But now they were raised, placing one hand on either of her hips, before it transitioned to a hug from behind of sorts, with both palms resting upon her stomach. His blush did become a bit more pronounced.* - Sat Nov  7 17:01:00 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: ...a hug? - Sat Nov  7 17:01:52 2015
<br><br><font color=teal>*Index(Jjking217) says: M-Mhm.. - Sat Nov  7 17:02:43 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: Why did you want to do that? - Sat Nov  7 17:03:34 2015
<br><br><font color=yellow>*Index(Jjking217) one of his hands slowly moved up, before resting beneath her breast, not quite touching them. As he spoke "I...I don't know, It's the first thing that popped into my mind." He admitted.* - Sat Nov  7 17:04:25 2015
<br><br><font color=teal>*Index(Jjking217) says: Do you....Consider Chikyu....And Sanoke Friends? - Sat Nov  7 17:06:08 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: ..my friends? - Sat Nov  7 17:06:08 2015
<br><br><font color=teal>*Index(Jjking217) says: Yeah.. - Sat Nov  7 17:06:59 2015
<br><br><font color=teal>*Index(Jjking217) says: People you care for. - Sat Nov  7 17:07:50 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: Chikyu... didn't get to know her enough to care about her.... Sanoke.....I'm..worried about him. - Sat Nov  7 17:07:50 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: He.... could see me. - Sat Nov  7 17:07:50 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: He saw me for what I am... I think. - Sat Nov  7 17:07:50 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: I think he knows. - Sat Nov  7 17:07:50 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: When he touched me I couldn't stop myself from copying him...and he .... saw. - Sat Nov  7 17:08:41 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: He backed away..and looked at me very different. - Sat Nov  7 17:08:41 2015
<br><br><font color=teal>*Index(Jjking217) says: I see... - Sat Nov  7 17:09:32 2015
<br><br><font color=teal>*Index(Jjking217) says: If anything comes of it.. - Sat Nov  7 17:09:32 2015
<br><br><font color=teal>*Index(Jjking217) says: Let me know. - Sat Nov  7 17:09:32 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: I don't like Suna...Suna doesn't like me.. - Sat Nov  7 17:09:32 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: So I doubt I will see him again. - Sat Nov  7 17:09:32 2015
<br><br><font color=teal>*Index(Jjking217) says: That's funny.. - Sat Nov  7 17:09:32 2015
<br><br><font color=teal>*Index(Jjking217) says: I don't like Sunagakure either. - Sat Nov  7 17:10:24 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: Hm? - Sat Nov  7 17:10:24 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: Oh. - Sat Nov  7 17:10:24 2015
<br><br><font color=teal>*Index(Jjking217) says: You can get off my lap if you desire by the way.. - Sat Nov  7 17:10:24 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: Well...it's mostly the leader... I don't like him. - Sat Nov  7 17:10:24 2015
<br><br><font color=yellow>*Index(Jjking217) slowly removes his hands, from around her.* - Sat Nov  7 17:10:24 2015
<br><br><font color=teal>*Index(Jjking217) says: He's an asshole. - Sat Nov  7 17:10:24 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: You said until the end of the game. - Sat Nov  7 17:11:15 2015
<br><br><font color=teal>*Index(Jjking217) says: I know...But if you want to, you can sit on the cushion. - Sat Nov  7 17:12:06 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: It's your choice. - Sat Nov  7 17:12:06 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: It was what you wanted now for the dare. - Sat Nov  7 17:12:06 2015
<br><br><font color=teal>*Index(Jjking217) says: Yeah, I think it's best if you did. *nod8 - Sat Nov  7 17:12:06 2015
<br><br><font color=teal>*Index(Jjking217) says: nod* - Sat Nov  7 17:12:06 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: Hm... - Sat Nov  7 17:14:40 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: How did you feel.... when I said my name on the bench in front of the academy? - Sat Nov  7 17:17:13 2015
<br><br><font color=teal>*Index(Jjking217) says: How'd...I feel? - Sat Nov  7 17:17:13 2015
<br><br><font color=teal>*Index(Jjking217) says: I felt... - Sat Nov  7 17:17:13 2015
<br><br><font color=teal>*Index(Jjking217) says: Relieved....'unburdened'. - Sat Nov  7 17:17:13 2015
<br><br><font color=teal>*Index(Jjking217) says: But also... - Sat Nov  7 17:17:13 2015
<br><br><font color=teal>*Index(Jjking217) says: I felt...Horrible. - Sat Nov  7 17:17:13 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: You weren't angry with me? - Sat Nov  7 17:18:04 2015
<br><br><font color=teal>*Index(Jjking217) says: No. - Sat Nov  7 17:18:04 2015
<br><br><font color=teal>*Index(Jjking217) says: I was feeling like.. - Sat Nov  7 17:18:04 2015
<br><br><font color=teal>*Index(Jjking217) says: If you didn't say anything.. - Sat Nov  7 17:18:04 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: ...can I ask one more question? - Sat Nov  7 17:18:04 2015
<br><br><font color=teal>*Index(Jjking217) says: Yeah. - Sat Nov  7 17:18:04 2015
<br><br><font color=teal>*Index(Jjking217) says: Go ahead. - Sat Nov  7 17:18:56 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) whispers: Did you ever.... want to use me against Ortho.... in any way? - Sat Nov  7 17:18:56 2015
<br><br><font color=teal>*Index(Jjking217) says: No. Never. - Sat Nov  7 17:18:56 2015
<br><br><font color=teal>*Index(Jjking217) says: What's wrong..? - Sat Nov  7 17:19:47 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: It doesn't make human sense. - Sat Nov  7 17:19:47 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: I was his weak spot. - Sat Nov  7 17:19:47 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: You knew his weak spot. - Sat Nov  7 17:19:47 2015
<br><br><font color=teal>*Index(Jjking217) says: Ortho, Is vulnerable, from multiple places. - Sat Nov  7 17:19:47 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: You wouldn't exploit that? - Sat Nov  7 17:19:47 2015
<br><br><font color=teal>*Index(Jjking217) says: I wouldn't attack my friend to get at another friend. - Sat Nov  7 17:19:47 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: .... - Sat Nov  7 17:20:38 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: You just would attack a friend to save another friend. - Sat Nov  7 17:20:38 2015
<br><br><font color=teal>*Index(Jjking217) says: I never attacked Ortho, until he attacked me. - Sat Nov  7 17:20:38 2015
<br><br><font color=teal>*Index(Jjking217) says: I attacked his accomplice. - Sat Nov  7 17:20:38 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: Okay. - Sat Nov  7 17:21:29 2015
<br><br><font color=teal>*Index(Jjking217) says: You don't sound convinced. - Sat Nov  7 17:21:29 2015
<br><br><font color=teal>*Index(Jjking217) says: Tell me what you're thinking. - Sat Nov  7 17:21:29 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: I'-- - Sat Nov  7 17:21:29 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: I think you are lying to me. - Sat Nov  7 17:21:29 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: Because you are smarter than that. - Sat Nov  7 17:22:20 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: You hated Ortho in that moment..... - Sat Nov  7 17:22:20 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: You wanted to do anything you could to break him. - Sat Nov  7 17:22:20 2015
<br><br><font color=teal>*Index(Jjking217) says: I could've, Killed Nina. - Sat Nov  7 17:22:20 2015
<br><br><font color=teal>*Index(Jjking217) says: Or Marissa. - Sat Nov  7 17:22:20 2015
<br><br><font color=teal>*Index(Jjking217) says: I could've taken Nina captive. - Sat Nov  7 17:22:20 2015
<br><br><font color=teal>*Index(Jjking217) says: Tortured her because of what he did. - Sat Nov  7 17:22:20 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: No...  you care for Nina. Much more than me. - Sat Nov  7 17:23:12 2015
<br><br><font color=teal>*Index(Jjking217) says: Are you willing to bet your life on it? - Sat Nov  7 17:23:12 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: .... you really have to ask that question? - Sat Nov  7 17:23:12 2015
<br><br><font color=teal>*Index(Jjking217) says: Nina made a choice. - Sat Nov  7 17:23:12 2015
<br><br><font color=teal>*Index(Jjking217) says: And I suppose I don't. - Sat Nov  7 17:23:12 2015
<br><br><font color=teal>*Index(Jjking217) says: She shed her ties with me. - Sat Nov  7 17:23:12 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: She did? - Sat Nov  7 17:24:03 2015
<br><br><font color=teal>*Index(Jjking217) says: When I attacked Ortho. - Sat Nov  7 17:24:03 2015
<br><br><font color=teal>*Index(Jjking217) says: She was prepared to attack me. - Sat Nov  7 17:24:03 2015
<br><br><font color=teal>*Index(Jjking217) says: She wasn't going to mediate the situation like you did. - Sat Nov  7 17:24:03 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: She tried at first... - Sat Nov  7 17:24:54 2015
<br><br><font color=teal>*Index(Jjking217) says: But she gave up. - Sat Nov  7 17:24:54 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: She wasn't able to throw her life away like I am. - Sat Nov  7 17:24:54 2015
<br><br><font color=teal>*Index(Jjking217) says: Do you know why I find it hard, To care about Nina's life? - Sat Nov  7 17:24:54 2015
<br><br><font color=teal>*Index(Jjking217) says: Because -she- doesn't value it. - Sat Nov  7 17:25:45 2015
<br><br><font color=teal>*Index(Jjking217) says: Because of Ortho, She was ready to commit suicide. - Sat Nov  7 17:25:45 2015
<br><br><font color=teal>*Index(Jjking217) says: I bought her back from the edge. - Sat Nov  7 17:25:45 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: She.... is foolish... - Sat Nov  7 17:25:45 2015
<br><br><font color=teal>*Index(Jjking217) says: And Ortho tried to claim her as if it was his right. - Sat Nov  7 17:25:45 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: i...never liked her.... - Sat Nov  7 17:25:45 2015
<br><br><font color=teal>*Index(Jjking217) says: She rejected Ortho. - Sat Nov  7 17:25:45 2015
<br><br><font color=teal>*Index(Jjking217) says: But because of my words, he pursued her. - Sat Nov  7 17:26:36 2015
<br><br><font color=teal>*Index(Jjking217) says: I suppose in the end. - Sat Nov  7 17:26:36 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: She hates him but is too weak because of her love to kill him. - Sat Nov  7 17:26:36 2015
<br><br><font color=teal>*Index(Jjking217) says: That power she has. - Sat Nov  7 17:27:28 2015
<br><br><font color=teal>*Index(Jjking217) says: He has* - Sat Nov  7 17:27:28 2015
<br><br><font color=teal>*Index(Jjking217) says: The one with his eyes. - Sat Nov  7 17:27:28 2015
<br><br><font color=teal>*Index(Jjking217) says: It's one born of stupidity. - Sat Nov  7 17:27:28 2015
<br><br><font color=teal>*Index(Jjking217) says: All men who've achieved that power. - Sat Nov  7 17:27:28 2015
<br><br><font color=teal>*Index(Jjking217) says: Have had one stupid ideal. - Sat Nov  7 17:27:28 2015
<br><br><font color=teal>*Index(Jjking217) says: Do you know what it is? - Sat Nov  7 17:27:28 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: No. - Sat Nov  7 17:28:19 2015
<br><br><font color=teal>*Index(Jjking217) says: .."We've going to run forward, towards the source of our hate, without any plan. And hope for the best, not considering the consequences if we were to fail." - Sat Nov  7 17:28:19 2015
<br><br><font color=teal>*Index(Jjking217) says: He doesn't care. - Sat Nov  7 17:28:19 2015
<br><br><font color=teal>*Index(Jjking217) says: Not about Nina. - Sat Nov  7 17:28:19 2015
<br><br><font color=teal>*Index(Jjking217) says: Not about anyone. - Sat Nov  7 17:29:10 2015
<br><br><font color=teal>*Index(Jjking217) says: He believes he's carrying out Hideki's will. - Sat Nov  7 17:29:10 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: ... - Sat Nov  7 17:29:10 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: I can't believe that. - Sat Nov  7 17:29:10 2015
<br><br><font color=teal>*Index(Jjking217) says: Do you know why, He attatched himself to Marissa? - Sat Nov  7 17:29:10 2015
<br><br><font color=teal>*Index(Jjking217) says: He needed, some form of connection, to replace the one he squandered with his Sister. - Sat Nov  7 17:30:01 2015
<br><br><font color=teal>*Index(Jjking217) says: Do you know what happened when he -thought- he fixed that connection with Nina? - Sat Nov  7 17:30:01 2015
<br><br><font color=teal>*Index(Jjking217) says: She was tossed to the side. - Sat Nov  7 17:30:01 2015
<br><br><font color=teal>*Index(Jjking217) says: It's interesting how trash attracts. - Sat Nov  7 17:30:01 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: ....stop it... - Sat Nov  7 17:30:52 2015
<br><br><font color=teal>*Index(Jjking217) says: I've figured it out Owari. - Sat Nov  7 17:30:52 2015
<br><br><font color=teal>*Index(Jjking217) says: This is the best part. - Sat Nov  7 17:30:52 2015
<br><br><font color=teal>*Index(Jjking217) says: ---Man, this is hilarious. - Sat Nov  7 17:30:52 2015
<br><br><font color=teal>*Index(Jjking217) says: I'm surprised I hadn't seen it sooner. - Sat Nov  7 17:30:52 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: .... - Sat Nov  7 17:31:44 2015
<br><br><font color=yellow>*Index(Jjking217) raised a single hand to his face,covering it for a moment before he began laughing. "That fool...Ortho...He wants to be a Hero!" He couldn't contain his laughter "A hero, Ortho the brave!" He stood up before leaning against the wall, the look on his face, was one of hysterical laughter as he spoke "He wanted to be Un-Ortho-Dox!" He laughed, as if completing the best joke of his life, before his laughter came to an abrupt stop, looking down to Owari as he simply stated.

"I hate him, I always have. He believes in Heroes, he wanted to Save the world and get the girl. He wanted to be your Knight...In shining white armor.  Attack the Gezo!? Ha! Biggest Joke I've ever had." 

He paused, his hand going over his face containing his laughter as he spoke "He's Orthodox!, His methods....They're normal, But he's to blind to see. Even with his eyes  as they are now...As Hideki's were.... He's to blind to see. Did you ask him How Hideki died? How Hideki's sensei died?"  He paused, looking at her as he spoke:

"Of course you didn't. You didn't know what to ask."

His face became grim "Suicide, And Suicide.  They're all pitiful Humans....---Humans....The name for cattle, It's befitting of such trash...Ortho, His blood line..." He stared down at her, for a moment, his gaze was pity, but then it shifted to a emotionless gaze, it was cold.

"I, want to teach Ortho....In this world, there is no such thing as a Hero...There is no such thing as Peace...Peace is based on where you sit. Which side of the spectrum you gaze at, Peace----It is boring, The ideal...And he searches for such a thing....Grasps for it! We...We weren't made to strive for peace, All Humans go against...Their natural make up, that's why they're weak. We were built...To Kill...To have war. We weren't given claws, nor fangs, we were given the best weapon of all...Intellegence...A trait most Humans choose not to use."

He paused.

"I want...To teach Ortho a lesson, that can only be learned...With his Death. Heroes, Villians, good and Evil. They're all...One in the same."* - Sat Nov  7 17:41:07 2015
<br><br><font color=yellow>*Index(Jjking217) looked down at Owari as he simply stated "He is a man, blinded by his 'righteous heart'.  The path to hell is paved in good intentions, And so is the desire of revolution. He is unable to see past his goal, and that will be his downfall. He follows, the path of those who've died, without seeking to change himself to avoid the same fate. That is the man, you follow. He will attack the Gezo, and he will die." He stated with finality.* - Sat Nov  7 17:47:05 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) whispers: I....I c-can't attack the Gezo. - Sat Nov  7 17:47:56 2015
<br><br><font color=teal>*Index(Jjking217) says: Then don't. - Sat Nov  7 17:47:56 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) whispers: I....didn't know he wanted to attack them.... - Sat Nov  7 17:49:39 2015
<br><br><font color=yellow>*Index(Jjking217) moves to catch her wrist as she stood "And what do you intend to Do, Ume? Fight alongside him? Try to talk him out of comitting Suicide?"* - Sat Nov  7 17:50:30 2015
<br><br><font color=yellow>*Index(Jjking217) released her arm, as he spoke "Do what you feel is best." He stated, pushing the door open, he'd leave, leaving her to leave as well or do as she pleased.* - Sat Nov  7 17:58:11 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: W-wait. - Sat Nov  7 17:59:02 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: Why did you say all that. - Sat Nov  7 17:59:02 2015
<br><br><font color=teal>*Index(Jjking217) says: All what? - Sat Nov  7 17:59:02 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: Either you were trying to hurt me... or you knew it wouldn't phase me.... if it was that there wasn't a point to saying it.... - Sat Nov  7 17:59:02 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: So you were trying to hurt me. - Sat Nov  7 17:59:02 2015
<br><br><font color=teal>*Index(Jjking217) says: Hurt you? - Sat Nov  7 17:59:53 2015
