<br><font color=teal>*Thaenan(Chaos Commander2015) says: You're joking right? - Fri Nov  6 01:50:56 2015
<br><br><font color=teal>*Mana(Mirandawashere) says: Should've just kicked the snake. - Fri Nov  6 03:44:25 2015
<br><br><font color=teal>*Ume(TenaciousRiven) says: Oh...that was you. - Fri Nov  6 03:44:25 2015
<br><br><font color=teal>*Mana(Mirandawashere) thinks: Maybe they didn't notice... - Fri Nov  6 03:45:16 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Not only that. . . - Fri Nov  6 03:45:16 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: But you face planted at the end. - Fri Nov  6 03:45:16 2015
<br><br><font color=teal>*Mana(Mirandawashere) says: ...Shush. - Fri Nov  6 03:45:16 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Oh? Embarrassed? - Fri Nov  6 03:45:16 2015
<br><br><font color=teal>*Mana(Mirandawashere) says: At least I tried...that's more than most my level could say. - Fri Nov  6 03:46:08 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Mhm. - Fri Nov  6 03:46:08 2015
<br><br><font color=teal>*Ume(TenaciousRiven) says: Yeah... so what was that about...why are the shinobi so unorganized. They just stood by watching... - Fri Nov  6 03:46:08 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) thinks: We'll change that. - Fri Nov  6 03:46:59 2015
<br><br><font color=teal>*Mana(Mirandawashere) says: I don't really know...probably because all we were ever taught was how to pick up trash, chase dogs, clean steps, and dig holes. - Fri Nov  6 03:46:59 2015
<br><br><font color=teal>*Mana(Mirandawashere) says: Oh and how to build houses. - Fri Nov  6 03:47:50 2015
<br><br><font color=teal>*Mana(Mirandawashere) says: Can't forget that one. - Fri Nov  6 03:47:50 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: I killed a few dogs. - Fri Nov  6 03:47:50 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Regardless. . . - Fri Nov  6 03:47:50 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Mana. - Fri Nov  6 03:47:50 2015
<br><br><font color=teal>*Ume(TenaciousRiven) says: You know what? - Fri Nov  6 03:47:50 2015
<br><br><font color=teal>*Mana(Mirandawashere) says: Hmm? - Fri Nov  6 03:47:50 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Come join back into Kirigakure here soon. . . - Fri Nov  6 03:47:50 2015
<br><br><font color=teal>*Ume(TenaciousRiven) says: Thaenan is going to change all that. - Fri Nov  6 03:47:50 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: - - Fri Nov  6 03:48:41 2015
<br><br><font color=yellow>*Ume(TenaciousRiven) nodded confidently.* - Fri Nov  6 03:48:41 2015
<br><br><font color=teal>*Mana(Mirandawashere) says: Honestly I couldn't stand another day in that sand village. - Fri Nov  6 03:48:41 2015
<br><br><font color=teal>*Mana(Mirandawashere) says: The climate is too harsh for me to uphold the delicate complexion of my skin. - Fri Nov  6 03:48:41 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) thinks: Way to drop the ball. - Fri Nov  6 03:48:41 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Then simply stay here. - Fri Nov  6 03:49:32 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: How'd we get bombed? - Fri Nov  6 04:08:19 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Who the fuck is that? - Fri Nov  6 04:09:10 2015
<br><br><font color=teal>*Ume(TenaciousRiven) thinks: ...what is she doing here? - Fri Nov  6 04:09:10 2015
<br><br><font color=teal>*Mana(Mirandawashere) thinks: Oh man... - Fri Nov  6 04:09:10 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Kyubishu, Kirigakure. Why? - Fri Nov  6 04:10:52 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: I just got back around here. - Fri Nov  6 04:12:35 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: What's going on? - Fri Nov  6 04:12:35 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Nothing. When are the rest of Kirigakure shinobi returning? - Fri Nov  6 04:12:35 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: No idea. I'm off on my own. I had no idea we evacuated, though. - Fri Nov  6 04:14:17 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: I see. - Fri Nov  6 04:14:17 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Do me a favor and cross the bridge. I want to see if there is any fixing I have to do on this end of it. - Fri Nov  6 04:14:17 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: I've been funding for some repairs. - Fri Nov  6 04:15:08 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Or you can be smart and swim across? Or.. walk across? - Fri Nov  6 04:16:00 2015
<br><br><font color=yellow>*Ume(TenaciousRiven) sighed and stood up. She began to walk towards the bridge.* - Fri Nov  6 04:16:00 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: You're a shinobi.. - Fri Nov  6 04:16:00 2015
<br><br><font color=teal>*Ume(TenaciousRiven) says: Leaving a peasant girl to do your job. - Fri Nov  6 04:16:00 2015
<br><br><font color=yellow>*Ume(TenaciousRiven) smiled softly, "Thank you."* - Fri Nov  6 04:16:51 2015
<br><br><font color=teal>*Ume(TenaciousRiven) says: I've been waiting for hours. - Fri Nov  6 04:16:51 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) thinks: Please tell me. . .I won't have to lead people like him. - Fri Nov  6 04:16:51 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Oi, stop. - Fri Nov  6 04:18:33 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: So you never went to Sunagakure with the rest of Kirigakure? - Fri Nov  6 04:19:24 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Nah. After looking around in the village, I just became aware of everything and looked at the signs that we were supposed to head to Sunagakure. - Fri Nov  6 04:20:16 2015
<br><br><font color=teal>*Kyubishu(Dillion13) thinks: Do they think I'm a traitor or a spy? - Fri Nov  6 04:20:16 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Oh. So the person that killed the Mizukage was never caught? - Fri Nov  6 04:21:07 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: I've got no clue. - Fri Nov  6 04:21:07 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: They have no lead? - Fri Nov  6 04:21:07 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: No idea. I wouldn't know, I'm just a Genin. Not really informed of all that stuff. - Fri Nov  6 04:21:58 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Thaenan, you know anything about The Mizukage's killer? - Fri Nov  6 04:22:49 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Nope. - Fri Nov  6 04:22:49 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Oh, man. I was willing to pay a few million to anyone that could give me some information. - Fri Nov  6 04:22:49 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: But eh, you're not that guy. - Fri Nov  6 04:22:49 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Yeah, sorry. But seriously, are you like. Tryin' to bribe me? - Fri Nov  6 04:23:40 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Bribe you? No. Hustle you for free information, yeah. - Fri Nov  6 04:23:40 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: But hey, can you swim? - Fri Nov  6 04:23:40 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Last I heard, Katsune killed the Mizukage. - Fri Nov  6 04:24:32 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: She was messing around with Index, then bam. - Fri Nov  6 04:24:32 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Killed the Mizukage dead. - Fri Nov  6 04:24:32 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Does it really matter if I can swim? I feel like it does though. Also, Katsune? Never heard the name. - Fri Nov  6 04:25:23 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Oh.. Oh well. - Fri Nov  6 04:26:14 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Well tell you what. - Fri Nov  6 04:26:14 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: If you don't know how to swim, I'll teach you an alternative. - Fri Nov  6 04:26:14 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: ............I feel like, I'm not gonna like this. - Fri Nov  6 04:27:05 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: It's a technique called Sui- - Fri Nov  6 04:27:05 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Eh? - Fri Nov  6 04:27:05 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Why not? - Fri Nov  6 04:27:05 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Because, I'm very warry of others. I don't really trust anyone. - Fri Nov  6 04:27:05 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Oh, alright. Nevermind then. - Fri Nov  6 04:27:05 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Nah, continue. - Fri Nov  6 04:27:05 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: No point in teaching you. - Fri Nov  6 04:27:05 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: No, no. Nevermind. - Fri Nov  6 04:27:56 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: First come, first serve. - Fri Nov  6 04:27:56 2015
<br><br><font color=teal>*Mana(Mirandawashere) says: ... - Fri Nov  6 04:27:56 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: I'll have to learn to deal with it, if I am correct. You used to live in our village, right? - Fri Nov  6 04:27:56 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: I lived here for a few days. - Fri Nov  6 04:27:56 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) whispers: (tryna burn down the bridge with him on it) - Fri Nov  6 04:28:48 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Ehh, maybe next time I'll teach you. - Fri Nov  6 04:28:48 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) whispers: So I have to rebuild that bitch later xD?) - Fri Nov  6 04:29:39 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) whispers: (lol) - Fri Nov  6 04:29:39 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Sure. I should probably head toward Sunagakure, anyway. It's gonna be a little trip from here. - Fri Nov  6 04:29:39 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Alright, cool. Do me a favor when you get there. - Fri Nov  6 04:29:39 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Mhm? - Fri Nov  6 04:29:39 2015
<br><br><font color=yellow>*Ume(TenaciousRiven) thought about this for a moment, "That kind of makes sense..." * - Fri Nov  6 04:31:21 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Straight west. - Fri Nov  6 04:32:12 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: It's the big sandbox. - Fri Nov  6 04:32:12 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Alright. I'm off. - Fri Nov  6 04:32:12 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Also.. if they asked who told you this.. - Fri Nov  6 04:32:12 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Yeah..? - Fri Nov  6 04:32:12 2015
<br><br><font color=teal>*Mana(Mirandawashere) says: ... - Fri Nov  6 04:32:12 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Tell them Seisuke did. - Fri Nov  6 04:33:04 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Seisuke, got it. - Fri Nov  6 04:33:04 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Let them know I came back from the Gezo Empire. - Fri Nov  6 04:33:04 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: I was healed and what not. - Fri Nov  6 04:33:04 2015
<br><br><font color=teal>*Ume(TenaciousRiven) whispers: That was interesting. - Fri Nov  6 04:33:55 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Anywho. . . - Fri Nov  6 04:35:37 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Can we get this show on the road? - Fri Nov  6 04:35:37 2015
<br><br><font color=yellow>*Ume(TenaciousRiven) glanced towards the two warily. "Thaenan, I'm going to head on into the village and take a look around."* - Fri Nov  6 04:36:28 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Oh? - Fri Nov  6 04:36:28 2015
<br><br><font color=teal>*Ume(TenaciousRiven) whispers: Going to go snoop, told that red head girl I didn't know you Ortho. - Fri Nov  6 04:36:28 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: I see. - Fri Nov  6 04:36:28 2015
<br><br><font color=teal>*Mana(Mirandawashere) says: You ever going to give me that explanation? - Fri Nov  6 04:41:36 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: About what? - Fri Nov  6 04:42:27 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: . . . - Fri Nov  6 04:42:27 2015
<br><br><font color=teal>*Ume(TenaciousRiven) says: Eh? - Fri Nov  6 04:42:27 2015
<br><br><font color=teal>*Mana(Mirandawashere) thinks: He doesn't remember? - Fri Nov  6 04:44:09 2015
<br><br><font color=teal>*Mana(Mirandawashere) says: You should remember. - Fri Nov  6 04:44:09 2015
<br><br><font color=teal>*Mana(Mirandawashere) says: Why? - Fri Nov  6 04:44:09 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: What are we speaking of now? - Fri Nov  6 04:44:09 2015
<br><br><font color=teal>*Mana(Mirandawashere) says: And what is to come of...that thing. - Fri Nov  6 04:44:09 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Wh-.. - Fri Nov  6 04:44:09 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Oh! - Fri Nov  6 04:44:09 2015
<br><br><font color=teal>*Mana(Mirandawashere) says: I'm kind of left in the dark. - Fri Nov  6 04:44:09 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Why I did what I did? - Fri Nov  6 04:44:09 2015
<br><br><font color=teal>*Mana(Mirandawashere) says: Everything. - Fri Nov  6 04:45:00 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Felt like it. Thought, and still think, I did what I had to. - Fri Nov  6 04:45:00 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: For the better. - Fri Nov  6 04:45:00 2015
<br><br><font color=teal>*Mana(Mirandawashere) says: And what about -that-? - Fri Nov  6 04:45:52 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: . . .That? - Fri Nov  6 04:45:52 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: ..That..? - Fri Nov  6 04:45:52 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: What are you talking about now? - Fri Nov  6 04:45:52 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: I told you.. I attacked Kirigakure after I learned the Mizukage was dead because it was what I thought to be best.. - Fri Nov  6 04:46:43 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: What else is there that I did? - Fri Nov  6 04:46:43 2015
<br><br><font color=teal>*Mana(Mirandawashere) says: Before that. What was discussed in that house. - Fri Nov  6 04:46:43 2015
<br><br><font color=teal>*Mana(Mirandawashere) says: Chi. - Fri Nov  6 04:46:43 2015
<br><br><font color=teal>*Mana(Mirandawashere) says: The beginning. - Fri Nov  6 04:46:43 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: . . . - Fri Nov  6 04:51:50 2015
<br><br><font color=teal>*Mana(Mirandawashere) says: Yeah the organization. I'm utterly lost upon what my part in it is. - Fri Nov  6 04:51:50 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: . . .Oh? So Mana is in on it ? - Fri Nov  6 04:52:41 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Your part is as followed: do as I say. - Fri Nov  6 04:52:41 2015
<br><br><font color=teal>*Mana(Mirandawashere) says: Which is nothing? - Fri Nov  6 04:52:41 2015
<br><br><font color=teal>*Ume(TenaciousRiven) thinks: Organization? - Fri Nov  6 04:52:41 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: For the time being, yes. - Fri Nov  6 04:52:41 2015
<br><br><font color=teal>*Ume(TenaciousRiven) thinks: She works with him? - Fri Nov  6 04:52:41 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) thinks: It'd be nice to hurry this up. . . - Fri Nov  6 04:54:24 2015
<br><br><font color=teal>*Mana(Mirandawashere) says: Interesting. - Fri Nov  6 04:55:15 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Alright. I have business to handle. You're here procrastinating.. - Fri Nov  6 04:55:15 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Slow responses, fast deaths. - Fri Nov  6 04:55:15 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Thaenan, Ume. Lets go. - Fri Nov  6 04:56:06 2015
<br><br><font color=teal>*Mana(Mirandawashere) says: Okay. - Fri Nov  6 04:56:06 2015
<br><br><font color=teal>*Ume(TenaciousRiven) says: Why are we here? - Fri Nov  6 04:57:48 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Alright... - Fri Nov  6 04:57:48 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Until the mansion is fixed, this'll be your office. - Fri Nov  6 04:57:48 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Mhm. - Fri Nov  6 04:57:48 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Your first duty as the Mizukage is to send off messenger birds to the rest of the world that someone, you, took the stand. - Fri Nov  6 04:59:31 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: From there, they'll slowly pour in. - Fri Nov  6 04:59:31 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: The rumor is, you and I came to a deal where I won't bother Kirigakure due to a pay off. - Fri Nov  6 04:59:31 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: I will later fake my death. - Fri Nov  6 05:00:22 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: I see. . . - Fri Nov  6 05:00:22 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: . . . - Fri Nov  6 05:00:22 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: And how do you expect me to handle this village alone? - Fri Nov  6 05:00:22 2015
<br><br><font color=teal>*Ume(TenaciousRiven) says: Remember what I told you? - Fri Nov  6 05:00:22 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Yea, Yea. . . - Fri Nov  6 05:01:13 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: I just feel open to attack is all. - Fri Nov  6 05:01:13 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Don't worry about that. - Fri Nov  6 05:01:13 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Do not fold under pressure. - Fri Nov  6 05:02:04 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Heh. - Fri Nov  6 05:02:04 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Remain calm, act like a normal Mizukage. - Fri Nov  6 05:02:04 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Mhm. - Fri Nov  6 05:02:56 2015
<br><br><font color=teal>*Ume(TenaciousRiven) says: Be a nice kage at first, get them on your side. - Fri Nov  6 05:02:56 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: . . . - Fri Nov  6 05:03:47 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Only at first? - Fri Nov  6 05:03:47 2015
<br><br><font color=teal>*Ume(TenaciousRiven) says: ....I..... - Fri Nov  6 05:04:38 2015
<br><br><font color=yellow>*Ume(TenaciousRiven) lost all knowledge of how to act as he questioned that.* - Fri Nov  6 05:04:38 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: . . . - Fri Nov  6 05:05:29 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Well then. - Fri Nov  6 05:05:29 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: Well. . . - Fri Nov  6 05:11:28 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: You might want to leave before someone shows up. - Fri Nov  6 05:11:28 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: Or at least hide your face. - Fri Nov  6 05:12:19 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: I know, I know. - Fri Nov  6 05:12:19 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Be easy. - Fri Nov  6 05:12:19 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: You do the same, choose a name you want to go by. - Fri Nov  6 05:12:19 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Mine is Ketsu. - Fri Nov  6 05:12:19 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: Eh. . . - Fri Nov  6 05:12:19 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: I'm not exactly good with names. - Fri Nov  6 05:13:10 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Hmph. - Fri Nov  6 05:14:01 2015
<br><br><font color=teal>*Ketsu(DhatBoiNick) thinks: Can't use that anymore.. - Fri Nov  6 05:15:44 2015
<br><br><font color=teal>*Ume(TenaciousRiven) says: Do I need to change? - Fri Nov  6 05:15:44 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Pick a name for me. - Fri Nov  6 05:15:44 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: I could care less. - Fri Nov  6 05:15:44 2015
<br><br><font color=teal>*Ume(TenaciousRiven) says: Jehan. - Fri Nov  6 05:16:35 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Works for me. - Fri Nov  6 05:16:35 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: I assume other than us three. . . - Fri Nov  6 05:16:35 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: I can't let anyone know? Even if they are in the group? - Fri Nov  6 05:17:26 2015
<br><br><font color=teal>*Ketsu(DhatBoiNick) says: . - Fri Nov  6 05:19:08 2015
<br><br><font color=teal>*Ume(TenaciousRiven) thinks: No one answered me. - Fri Nov  6 05:21:42 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: . . .That's up to him. - Fri Nov  6 05:21:42 2015
<br><br><font color=teal>*Ume(TenaciousRiven) says: Oh...but if I change... how will Marrisa train me? I guess... she won't. - Fri Nov  6 05:22:33 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: But as I was saying. . . - Fri Nov  6 05:22:33 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: Anyone other than us can't know I assume? - Fri Nov  6 05:22:33 2015
<br><br><font color=teal>*Mana(Mirandawashere) says: Huh? - Fri Nov  6 05:25:58 2015
<br><br><font color=teal>*Mana(Mirandawashere) says: Mizukage? - Fri Nov  6 05:26:49 2015
<br><br><font color=yellow>*Ume(TenaciousRiven) walked out from behind the desk and started to head for the door. She wasn't meant to be here anymore after conducting her peasantly assisting duties!* - Fri Nov  6 05:27:40 2015
<br><br><font color=teal>*Mana(Mirandawashere) says: What happened? - Fri Nov  6 05:28:32 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: Whatever do you mean? - Fri Nov  6 05:28:32 2015
<br><br><font color=teal>*Ume(TenaciousRiven) says: Bye Mana. - Fri Nov  6 05:29:23 2015
<br><br><font color=teal>*Mana(Mirandawashere) says: See ya...uh... - Fri Nov  6 05:29:23 2015
<br><br><font color=teal>*Mana(Mirandawashere) says: What was your name? - Fri Nov  6 05:29:23 2015
<br><br><font color=teal>*Ume(TenaciousRiven) says: Ume. - Fri Nov  6 05:29:23 2015
<br><br><font color=teal>*Mana(Mirandawashere) says: Right! - Fri Nov  6 05:29:23 2015
<br><br><font color=teal>*Mana(Mirandawashere) says: Bye Ume. - Fri Nov  6 05:29:23 2015
<br><br><font color=teal>*Mana(Mirandawashere) says: A male, huh? - Fri Nov  6 05:29:23 2015
<br><br><font color=teal>*Mana(Mirandawashere) says: I know you're not Ortho... - Fri Nov  6 05:29:23 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: Ortho isn't among the living anymore I'm afraid. - Fri Nov  6 05:30:14 2015
<br><br><font color=teal>*Mana(Mirandawashere) thinks: Wait..She said his sister planned on killing him.... - Fri Nov  6 05:30:14 2015
<br><br><font color=yellow>*Ajisai(TenaciousRiven) stared at Ketsu.* - Fri Nov  6 06:26:33 2015
<br><br><font color=yellow>*Ajisai(TenaciousRiven) smiled a sly grin, mimicking some she had seen others use. When she spoke, she sounded entirely different, she had a -scent-, her facial structure was different, even her chakra signature was different. The only thing that remained the same was that pale skin of hers and her green katana. "Hello, I don't think we have met."* - Fri Nov  6 06:29:07 2015
<br><br><font color=teal>*Ajisai(TenaciousRiven) says: . - Fri Nov  6 06:29:58 2015
<br><br><font color=teal>*Ajisai(TenaciousRiven) says: . - Fri Nov  6 06:30:49 2015
<br><br><font color=teal>*Ajisai(TenaciousRiven) says: . - Fri Nov  6 06:30:49 2015
<br><br><font color=teal>*Ajisai(TenaciousRiven) says: . - Fri Nov  6 06:31:40 2015
<br><br><font color=teal>*Ajisai(TenaciousRiven) says: . - Fri Nov  6 06:31:40 2015
<br><br><font color=teal>*Ajisai(TenaciousRiven) says: . - Fri Nov  6 06:33:23 2015
<br><br><font color=yellow>*Ajisai(TenaciousRiven) rose a brow in a cocky manner, "just graduated? Do I look like a shinobi?" She scoffed lightly and leaned back with weight being placed on her hips and heels giving him an up and down as the others approached the area. She notably watched the Mizukage escorting the two girl's out and honorably bowed to the man. * - Fri Nov  6 06:41:04 2015
<br><br><font color=teal>*Ajisai(TenaciousRiven) thinks: Rude. - Fri Nov  6 06:42:46 2015
<br><br><font color=yellow>*Ajisai(TenaciousRiven) wrinkled her nose up and sneared her lip up at his distasteful attitude. "I'd ask for forgiveness for our moment of greeting being disturbed, Mizukage. Clearly though, this man doesn't deserve forgiveness from anyone. She didn't have a reason to glance to Nina as she left so her turquiose eyes remained trained on Ketsu. "The names Ajisai anyhow."* - Fri Nov  6 06:46:11 2015
<br><br><font color=yellow>*Ajisai(TenaciousRiven) pursed her lips in an 'unimpressed' expression. "So what if I do like sake, doesn't mean Ima share any with you. Tch.." She bowed gently to the Mizukage again, "Pleasure to meet you Mizukage Jehan, I'll be seeking out some sake since it's on the brain now. He didn't bother me too severely, looks like that child has more to worry about than I do." With that last comment she brushed some of her musky looking hair back behind her left ear and turned to leave the area after a final look between Jehan and Ketsu.* - Fri Nov  6 06:55:34 2015
<br><br><font color=teal>*Ajisai(TenaciousRiven) says: Pft. - Fri Nov  6 07:13:29 2015
<br><br><font color=teal>*Ketsu(DhatBoiNick) says: ... - Fri Nov  6 07:17:45 2015
<br><br><font color=teal>*Ketsu(DhatBoiNick) thinks: She thought she could run.. - Fri Nov  6 07:17:45 2015
<br><br><font color=teal>*Ketsu(DhatBoiNick) says: ..... - Fri Nov  6 07:18:36 2015
<br><br><font color=yellow>*Ajisai(TenaciousRiven) was sitting at the table, with a bottle of sake. As Ketsu walked in she picked up her cup and sipped from it. Staring at him with a grimace.* - Fri Nov  6 07:19:28 2015
<br><br><font color=teal>*Ketsu(DhatBoiNick) says: You thought you could run, didn't you! - Fri Nov  6 07:19:28 2015
<br><br><font color=teal>*Ajisai(TenaciousRiven) says: I didn't run at all, I said I was going to get sake. - Fri Nov  6 07:20:19 2015
<br><br><font color=teal>*Ajisai(TenaciousRiven) thinks: This liquid is awful. - Fri Nov  6 07:20:19 2015
