<br><font color=teal>*Index(Jjking217) whispers: Since you're free. - Sun Nov  8 00:09:23 2015
<br><br><font color=yellow>*Hajimari, Owari(TenaciousRiven) sighed out, "I'm sorry but this is fuckin' stupid."* - Sun Nov  8 06:09:29 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) whispers: Me and him have talked about this quite often... - Sun Nov  8 06:12:54 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) whispers: And what was his reply? - Sun Nov  8 06:13:45 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) whispers: He didn't have an answer for me. - Sun Nov  8 06:14:36 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) whispers: I see, I see. - Sun Nov  8 06:14:36 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) whispers: Were you just lying or are you changing your life because .... of a scientifically made being.... someone who isn't human? - Sun Nov  8 06:19:44 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) whispers: When someone, human or not, has an impact on your life.. you stop at nothing to mold yourself around that impact.. - Sun Nov  8 06:21:26 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) whispers: Then....what are you going to change? - Sun Nov  8 06:21:26 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) whispers: I.. don't know yet. - Sun Nov  8 06:23:08 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) whispers: Why not tell me what you think I should change. - Sun Nov  8 06:24:00 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) whispers: Okay... - Sun Nov  8 06:24:00 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) whispers: I'm all ears - Sun Nov  8 06:24:00 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) whispers: I don't know.... I am incomplete. - Sun Nov  8 06:24:00 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) whispers: Then the parts of you that -are- complete, give me something.. anything. - Sun Nov  8 06:24:51 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) whispers: ...no, the part of me that decides goals...ambitions...it's imcomplete. - Sun Nov  8 06:24:51 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: ...it isn't funny. I'm serious. - Sun Nov  8 06:28:16 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) whispers: I know, I know.. - Sun Nov  8 06:30:49 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) whispers: That's not what I'm laughing at.. - Sun Nov  8 06:31:40 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: What are you laughing at? - Sun Nov  8 06:32:32 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) whispers: The thought of it all. To most people this would be wrong. Me, a shinobi that have taken the lives of many, succumbing to the will of something not of the human race.. - Sun Nov  8 06:33:23 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) whispers: Or not even 'complete'. - Sun Nov  8 06:33:23 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) whispers: Something can be labeled so wrong.. feel right. - Sun Nov  8 06:34:14 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: People would label this wrong? - Sun Nov  8 06:35:05 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) whispers: For the most part, yes. - Sun Nov  8 06:37:39 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) whispers: ..No, but yes.. - Sun Nov  8 06:38:30 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: Why? - Sun Nov  8 06:38:30 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) whispers: Because they wouldn't understand the situation.. - Sun Nov  8 06:39:21 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: What would they think? - Sun Nov  8 06:40:12 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) whispers: They wouldn't give the idea a chance. They'd jump to conclusions and assume it's completely wrong, not considering any form of feelings.. or emotions. - Sun Nov  8 06:41:04 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: ...but ....I don't have emotions....at least not for more than a few seconds at a time. - Sun Nov  8 06:42:46 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) thinks: Except when I heard about Gezo. - Sun Nov  8 06:43:37 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) whispers: Yeah.. - Sun Nov  8 06:45:20 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) whispers: Keep forgetting about that, haha. - Sun Nov  8 06:45:20 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) whispers: Sorry. - Sun Nov  8 06:45:20 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: Was that the first time you ... had pre-fertilization? - Sun Nov  8 06:46:11 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) whispers: No. It was not. - Sun Nov  8 06:47:02 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: ....so Marrisa does not like pre-fertilization then? - Sun Nov  8 06:49:36 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) whispers: I had it before I met her. - Sun Nov  8 06:49:36 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: Yeah I know, but you said her and you only kissed. - Sun Nov  8 06:50:27 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) whispers: Oh.. - Sun Nov  8 06:50:27 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) whispers: She had some.. weird.. saying that "I'm going to be her reward".. - Sun Nov  8 06:51:18 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: .....what? - Sun Nov  8 06:51:18 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) whispers: Something about only doing.. that.. once she achieve some higher rank.. - Sun Nov  8 06:51:18 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) whispers: Something doing with something about something.. - Sun Nov  8 06:51:18 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: ..... - Sun Nov  8 06:51:18 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) whispers: I don't know.. - Sun Nov  8 06:52:09 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: She's a jounin..... - Sun Nov  8 06:52:09 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) whispers: Right. And when she reached that rank, it was supposed to happen. - Sun Nov  8 06:53:00 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) whispers: ..I wasn't.. looking forward to it. - Sun Nov  8 06:53:00 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) whispers: It went from something natural, to some.. chore. - Sun Nov  8 06:53:00 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: That's....very strange. - Sun Nov  8 06:53:52 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: The...way you looked. - Sun Nov  8 06:53:52 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: You needed it. - Sun Nov  8 06:53:52 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) whispers: That's a new one, haha. - Sun Nov  8 06:56:25 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) whispers: But, you may be right. - Sun Nov  8 06:56:25 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: You.... -really- needed it. - Sun Nov  8 06:58:59 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) whispers: Thanks for giving it.~ - Sun Nov  8 07:00:41 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) whispers: Even.. you know.. - Sun Nov  8 07:00:41 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) whispers: You didn't feel anything. - Sun Nov  8 07:00:41 2015
<br><br><font color=yellow>*Hajimari, Owari(TenaciousRiven) closed her eyes, "I didn't say that."* - Sun Nov  8 07:01:32 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: I felt.... quite a bit of pressure.... - Sun Nov  8 07:04:06 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) whispers: Pressure, pleasure.. - Sun Nov  8 07:04:06 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: Hm? - Sun Nov  8 07:04:57 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) whispers: So close, but so far away. - Sun Nov  8 07:04:57 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: Oh...yes... - Sun Nov  8 07:04:57 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: It was certainly a new experience.... - Sun Nov  8 07:04:57 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) whispers: One of regret - Sun Nov  8 07:08:22 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) whispers: ? - Sun Nov  8 07:08:22 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) whispers: One of regret? - Sun Nov  8 07:20:19 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) whispers: Is it a new experience that you may regret..? - Sun Nov  8 07:22:01 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: No...no no... - Sun Nov  8 07:23:44 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: You enjoy it, and I... like how you look when it is happening. - Sun Nov  8 07:23:44 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: And how you act and talk afterwards. - Sun Nov  8 07:23:44 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) whispers: Ohh, okay.. - Sun Nov  8 07:26:17 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) whispers: Owari.. - Sun Nov  8 07:27:08 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: What? - Sun Nov  8 07:27:08 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) whispers: Apart from the.. body parts.. do you still have that feeling like you're not 'whole'? - Sun Nov  8 07:28:00 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) whispers: Like there's something missing still? - Sun Nov  8 07:28:00 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: There are things missing...yes.... - Sun Nov  8 07:29:42 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: But not physically. - Sun Nov  8 07:29:42 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: What are they? - Sun Nov  8 07:31:24 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: One being.... my goals. - Sun Nov  8 07:31:24 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: Second...my training. - Sun Nov  8 07:31:24 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) thinks: Third...an owner. - Sun Nov  8 07:32:16 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) whispers: Is it that you don't know what your goals are..? - Sun Nov  8 07:33:58 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) whispers: Or are you conflicted? - Sun Nov  8 07:33:58 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: I...wasn't assigned any... - Sun Nov  8 07:35:40 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) whispers: Do you think you can.. I don't know.. - Sun Nov  8 07:37:23 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) whispers: Come up with one? Long term or short term. - Sun Nov  8 07:37:23 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) whispers: Something for yourself that -you- come up with. - Sun Nov  8 07:38:14 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: It...doesn't work that way...I don't think. - Sun Nov  8 07:38:14 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) whispers: Let's start off with this: do you have any wants? - Sun Nov  8 07:38:14 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: Just that you are safe. - Sun Nov  8 07:39:05 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) whispers: ..Alright, we'll go witht hat. - Sun Nov  8 07:41:39 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) whispers: (with that*) - Sun Nov  8 07:41:39 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: But what about when you die? - Sun Nov  8 07:41:39 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) whispers: ..That is where I was going to lead this.. - Sun Nov  8 07:41:39 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) whispers: Come up with a goal.. that involves my 'safety' as a stepping stone... - Sun Nov  8 07:42:30 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) whispers: What do you get? - Sun Nov  8 07:42:30 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: .... Staying...far away from Gezo? - Sun Nov  8 07:43:21 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: ..Closer, closer. - Sun Nov  8 07:45:55 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: How about this.. - Sun Nov  8 07:45:55 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Think of something that'll take a while to get, and all that stuff is just a process you have to go through.. - Sun Nov  8 07:46:46 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: What do you get? - Sun Nov  8 07:46:46 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: ...nothing. - Sun Nov  8 07:49:20 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: ..Alright then. Your training. - Sun Nov  8 07:50:11 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: What all do you wish to learn? - Sun Nov  8 07:50:11 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: ...I don't know.... because I'm not designed to choose. - Sun Nov  8 07:51:02 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: ..I.. - Sun Nov  8 07:53:36 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Do you think you can try to decide? - Sun Nov  8 07:53:36 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: You think of me far too much as a singular entity... - Sun Nov  8 07:53:36 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: I'm a weapon. - Sun Nov  8 07:54:27 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: I think of you with high standards.. like any other person.. - Sun Nov  8 07:55:18 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: But.... I'm not a person. - Sun Nov  8 07:55:18 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: I'm an animated weapon. - Sun Nov  8 07:55:18 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Then.. like any other tree that exceed my heights and have been here longer than my own forefathers. - Sun Nov  8 07:56:09 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: Huh? - Sun Nov  8 07:58:43 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: ..*sigh*.. - Sun Nov  8 07:58:43 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: I'm saying I hold you to high standards.. - Sun Nov  8 07:59:34 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: No matter who, or what.. you are. - Sun Nov  8 07:59:34 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: Oh. - Sun Nov  8 07:59:34 2015
<br><br><font color=yellow>*Hajimari, Owari(TenaciousRiven) nodded slowly, "Okay... you tell me what to do, but if I don't want to do something I say it?"* - Sun Nov  8 08:11:31 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: ....not...exactly the same. - Sun Nov  8 08:23:28 2015
<br><br><font color=yellow>*Hajimari, Owari(TenaciousRiven) smiled some and laid her head back down. "Thank you though.... that sounds nice."* - Sun Nov  8 08:24:19 2015
<br><br><font color=yellow>*Hajimari, Owari(TenaciousRiven) smiled faintly, "it helps that I can travel so freely..."* - Sun Nov  8 08:33:42 2015
<br><br><font color=yellow>*Hajimari, Owari(TenaciousRiven) lifted her head, "we should probably get out...it's getting colder, aren't you getting sore from the water?"* - Sun Nov  8 08:41:23 2015
<br><br><font color=yellow>*Hajimari, Owari(TenaciousRiven) watched him as he carried her, "not even an issue walking, huh?"* - Sun Nov  8 08:49:55 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: If you has asked me a few hours ago to walk, we'd have a problem. - Sun Nov  8 08:50:46 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) thinks: Hu----oh - Sun Nov  8 08:52:28 2015
<br><br><font color=yellow>*Hajimari, Owari(TenaciousRiven) smiled shyly.* - Sun Nov  8 08:52:28 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Where we heading now, flower? - Sun Nov  8 08:55:02 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: Hm.... I don't know. I want you to decide. - Sun Nov  8 08:55:53 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Uhh, let's see. - Sun Nov  8 09:01:52 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: I think I've taken you everyone except Genjigakure.. - Sun Nov  8 09:24:03 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: And I don't want to risk taking you there either. - Sun Nov  8 09:24:03 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: Mn... Amegakure. - Sun Nov  8 09:24:03 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Amegakure? Sure. - Sun Nov  8 09:24:54 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Honestly.. - Sun Nov  8 09:26:36 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: You have to have a better name.. - Sun Nov  8 09:26:36 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: I'm stomped. - Sun Nov  8 09:28:19 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Yeah..well.. - Sun Nov  8 09:28:19 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Keep thinking. - Sun Nov  8 09:28:19 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Psh.. - Sun Nov  8 09:30:01 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I'm not a 'Lord'.. - Sun Nov  8 09:30:01 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Come on when you look at me..what do you see? - Sun Nov  8 09:30:01 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: A handsome and dashing young man? - Sun Nov  8 09:30:52 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: You know..you're heathen, right? - Sun Nov  8 09:30:52 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: That is true..let me tell you a bit about my past.. - Sun Nov  8 09:33:26 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: You see..I was abandoned a child.. - Sun Nov  8 09:33:26 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: My parents scorned me.. - Sun Nov  8 09:33:26 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I was forced to fend for myself! - Sun Nov  8 09:33:26 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: WOE! - Sun Nov  8 09:33:26 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Woe was I... - Sun Nov  8 09:34:17 2015
<br><br><font color=yellow>*Hajimari, Owari(TenaciousRiven) peered around the village and blinked a few times. Her hands came up to rub her upper arms as if she was cold and her pale blue eyes were scanning the area.* - Sun Nov  8 09:34:17 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: A cute young lad forced to survive off of scraps.. - Sun Nov  8 09:34:17 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: You fool! - Sun Nov  8 09:34:17 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: That was a trick. - Sun Nov  8 09:34:17 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: That's not the real story at all. - Sun Nov  8 09:34:17 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Heathens like you gravitate towards those sappy stories.. - Sun Nov  8 09:36:00 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) whispers: Not the most populated village, but I have history here. - Sun Nov  8 09:36:00 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) whispers: It's.. cozy. - Sun Nov  8 09:36:00 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) whispers: What sort of history? - Sun Nov  8 09:36:51 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: You honestly should try to think of a proper moniker for me. - Sun Nov  8 09:36:51 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) whispers: I took refuge here when I first graduated from the academy. - Sun Nov  8 09:36:51 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I'm royalty after all! - Sun Nov  8 09:36:51 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) whispers: The same day I graduated, we were attacked by a large sand beast. - Sun Nov  8 09:36:51 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) whispers: The Hokage at the time, Suitengu, myself and Takeda hauled ass here. - Sun Nov  8 09:37:42 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I suppose I could be the "Summit Summer Suitor".. - Sun Nov  8 09:38:33 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: No..that won't work.. - Sun Nov  8 09:39:24 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Sickly Shinobi? - Sun Nov  8 09:39:24 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: The Loveable Lookout. - Sun Nov  8 09:39:24 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) whispers: Interesting. - Sun Nov  8 09:40:16 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I have your title! - Sun Nov  8 09:40:16 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) whispers: Does he ever shut his mouth? - Sun Nov  8 09:40:16 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: The Hateable Harlot! - Sun Nov  8 09:40:16 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) whispers: Nope. - Sun Nov  8 09:41:07 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) whispers: For as long as I've known him, which isn't that long or short.. - Sun Nov  8 09:41:07 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) whispers: He just talks and talks. - Sun Nov  8 09:41:07 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: For only two easy payments of five hundred yen. You can lie with the one and only Harlot that you just 'love' to hate! - Sun Nov  8 09:41:58 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) whispers: she's brave as fuck] - Sun Nov  8 09:43:40 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) whispers: (IKR!?) - Sun Nov  8 09:45:23 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) whispers: (lmao) - Sun Nov  8 09:45:23 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) whispers: .... should we just stay here or actually go over to them? - Sun Nov  8 09:47:05 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) whispers: I saaaay, both. - Sun Nov  8 09:47:05 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) whispers: I want to see what's going on. - Sun Nov  8 09:47:05 2015
<br><br><font color=yellow>*Hajimari, Owari(TenaciousRiven) scooooots forward.* - Sun Nov  8 09:47:56 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Oh please, don't mind us. - Sun Nov  8 09:59:02 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: We're mere spectators of.. whatever this is. - Sun Nov  8 09:59:02 2015
<br><br><font color=yellow>*Hajimari, Owari(TenaciousRiven) smiled sweetly and waved up high towards Asteroth.* - Sun Nov  8 09:59:53 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: ... - Sun Nov  8 09:59:53 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: H-..help! - Sun Nov  8 10:00:44 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I-..I'm just a feeble priest! - Sun Nov  8 10:00:44 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) whispers: So full of shit. - Sun Nov  8 10:00:44 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) whispers: I remember that fuck mocking my death. - Sun Nov  8 10:00:44 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: This bea--woman.. has been trying to force me into marriage for the longest! - Sun Nov  8 10:01:36 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) whispers: I remember him lecturing you and Index like it was a fat joke. - Sun Nov  8 10:01:36 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I try to tell her that I'm a man of the cloth, but she just won't take a hint. - Sun Nov  8 10:01:36 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: ... - Sun Nov  8 10:04:09 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I try to tell my wife to clean herself up.. - Sun Nov  8 10:05:00 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: She never listens.. - Sun Nov  8 10:05:00 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: Thank the gods.. - Sun Nov  8 10:06:43 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Well..you see.. - Sun Nov  8 10:06:43 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: If this woman over here was worthy of being called my 'wife' she'd definitely have to wear panties. - Sun Nov  8 10:07:34 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I'm not running a whore house.. - Sun Nov  8 10:07:34 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) thinks: Not here at least.. - Sun Nov  8 10:08:25 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: This relationship is abusive to say the least. - Sun Nov  8 10:08:25 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I told her that I was going to see a friend. - Sun Nov  8 10:09:16 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Immediately she wanted to know who... - Sun Nov  8 10:09:16 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: WOE! I say WOE is I.. - Sun Nov  8 10:09:16 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: It wasn't as if they were a thing.. - Sun Nov  8 10:10:08 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: So what if it was a pretty attractive woman? - Sun Nov  8 10:10:08 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: If I wanted to look at this thing all day.. - Sun Nov  8 10:10:08 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I wouldn't have become a priest. - Sun Nov  8 10:10:59 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Isn't that right, Sweetie?~ - Sun Nov  8 10:10:59 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) whispers: I kind of want to punch him... - Sun Nov  8 10:11:50 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Fickle-chan gets a little bit shy. - Sun Nov  8 10:11:50 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) whispers: I never want to punch people. - Sun Nov  8 10:11:50 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Slither-kun..how are you feeling? - Sun Nov  8 10:11:50 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: ..... - Sun Nov  8 10:11:50 2015
<br><br><font color=yellow>*Hajimari, Owari(TenaciousRiven) lowered her head trying not to laugh as a smile tugged at her lips.* - Sun Nov  8 10:12:41 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) whispers: Slither-kun.~ - Sun Nov  8 10:12:41 2015
