<br><font color=teal>*Index(Jjking217) whispers: But maybe  I should. - Sat Nov  7 12:45:52 2015
<br><br><font color=teal>*Index(Jjking217) whispers: I'm...I'm sorry Ume.. - Sat Nov  7 12:45:52 2015
<br><br><font color=teal>*Index(Jjking217) says: Do you copy down there....Too? - Sat Nov  7 14:47:53 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: Down there? - Sat Nov  7 14:48:44 2015
<br><br><font color=yellow>*Hajimari, Owari(TenaciousRiven) cocked her head in thought and then remembered, "oh yes. Ortho helped me learn what those parts look like with a plastic book."* - Sat Nov  7 14:49:36 2015
<br><br><font color=yellow>*Hajimari, Owari(TenaciousRiven) blinked a few times, "you are stuttering, this is a pre-fertilization activity."* - Sat Nov  7 14:51:18 2015
<br><br><font color=yellow>*Hajimari, Owari(TenaciousRiven) nodded, "well you are lying but I will answer your question." He was a shitty liar, he had about three tells going on at once. "Yes I have them now, I wanted to be whole. After the skinny dipping he told me I was only half a female so I asked him to help me find my missing parts. He helped me find three parts, two down there. One he called a vagina, and the ones on your chest that go on ... these...things." She just looked down at her breasts, she didn't know the names of any of these except her vagina.* - Sat Nov  7 14:55:34 2015
<br><br><font color=yellow>*Hajimari, Owari(TenaciousRiven) blinked several times. She looked like she was searching for information but wasn't finding it. "I.... I don't know....it's what I know."* - Sat Nov  7 14:59:50 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: That's what it's called for me. - Sat Nov  7 14:59:50 2015
<br><br><font color=teal>*Index(Jjking217) says: I see.. - Sat Nov  7 15:01:32 2015
<br><br><font color=teal>*Index(Jjking217) says: Ortho really showed you a lot. - Sat Nov  7 15:01:32 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: Yes, everything. - Sat Nov  7 15:01:32 2015
<br><br><font color=teal>*Index(Jjking217) says: I didn't expecr him to go that far honestly. - Sat Nov  7 15:01:32 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: Why? - Sat Nov  7 15:02:24 2015
<br><br><font color=teal>*Index(Jjking217) says: expect* - Sat Nov  7 15:02:24 2015
<br><br><font color=teal>*Index(Jjking217) says: I don't know, he just didn't seem like he would. - Sat Nov  7 15:02:24 2015
<br><br><font color=teal>*Index(Jjking217) says: Well at least without a lot of touching. - Sat Nov  7 15:02:24 2015
<br><br><font color=yellow>*Hajimari, Owari(TenaciousRiven) blinked, "he didn't need to touch, only look. He looked like he wanted to touch though..."* - Sat Nov  7 15:04:57 2015
<br><br><font color=teal>*Index(Jjking217) says: Would you have let him if he asked? - Sat Nov  7 15:04:57 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: Yes, why not? - Sat Nov  7 15:04:57 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: You touched my chest. - Sat Nov  7 15:05:48 2015
<br><br><font color=teal>*Index(Jjking217) says: Most people only let those they wouldn't mind....'fertilizing' wi--- - Sat Nov  7 15:05:48 2015
<br><br><font color=teal>*Index(Jjking217) says: T-That's true. - Sat Nov  7 15:05:48 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: And he says that what those are, are only pre-fertilization. - Sat Nov  7 15:05:48 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: That most humans don't fertilize. - Sat Nov  7 15:05:48 2015
<br><br><font color=teal>*Index(Jjking217) says: That's true.. - Sat Nov  7 15:06:40 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: I don't understand the point if you don't fertilize... he says for pleasure. I do not feel those things. - Sat Nov  7 15:06:40 2015
<br><br><font color=teal>*Index(Jjking217) says: I suppose a lot of people enjoy the  'play'... - Sat Nov  7 15:06:40 2015
<br><br><font color=teal>*Index(Jjking217) says: But you don't feel pleasure? - Sat Nov  7 15:06:40 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: I don't feel anything. - Sat Nov  7 15:06:40 2015
<br><br><font color=teal>*Index(Jjking217) says: That's not true. - Sat Nov  7 15:06:40 2015
<br><br><font color=teal>*Index(Jjking217) says: You're curious. - Sat Nov  7 15:06:40 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: I guess pressur-- - Sat Nov  7 15:06:40 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: Is that a feeling? - Sat Nov  7 15:06:40 2015
<br><br><font color=teal>*Index(Jjking217) says: It is. - Sat Nov  7 15:07:31 2015
<br><br><font color=yellow>*Hajimari, Owari(TenaciousRiven) blinked more and stared down at the table. "I felt when you killed me."* - Sat Nov  7 15:07:31 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) whispers: You saw it. - Sat Nov  7 15:07:31 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) whispers: I saw you see it. - Sat Nov  7 15:07:31 2015
<br><br><font color=teal>*Index(Jjking217) whispers: I'll never forget it. - Sat Nov  7 15:07:31 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) whispers: It was only a few seconds. - Sat Nov  7 15:07:31 2015
<br><br><font color=teal>*Index(Jjking217) whispers: Felt like an eternity. - Sat Nov  7 15:08:22 2015
<br><br><font color=yellow>*Hajimari, Owari(TenaciousRiven) smiled faintly, "that is your humanity."* - Sat Nov  7 15:09:13 2015
<br><br><font color=teal>*Index(Jjking217) says: Do you remember, That game we played? - Sat Nov  7 15:10:56 2015
<br><br><font color=yellow>*Hajimari, Owari(TenaciousRiven) 's eyes twitched and her tone was shifted, "yes."* - Sat Nov  7 15:11:47 2015
<br><br><font color=teal>*Index(Jjking217) thinks: I had to...switch the subject. - Sat Nov  7 15:11:47 2015
<br><br><font color=teal>*Index(Jjking217) says: I was stupid. - Sat Nov  7 15:11:47 2015
<br><br><font color=teal>*Index(Jjking217) says: I overreacted, thinking more of the 'game' than it was. - Sat Nov  7 15:11:47 2015
<br><br><font color=teal>*Index(Jjking217) says: When in actuality, it is a game. I probably confused you a lot then. - Sat Nov  7 15:12:38 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: I heard you play... games with a lot of females...... that you have a list... of women. - Sat Nov  7 15:13:29 2015
<br><br><font color=teal>*Index(Jjking217) says: A list? - Sat Nov  7 15:13:29 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: Of girls you want. - Sat Nov  7 15:13:29 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: That Lera was on that list. - Sat Nov  7 15:13:29 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: Next on the list in fact...... - Sat Nov  7 15:14:20 2015
<br><br><font color=teal>*Index(Jjking217) says: Sounds like something Ortho would say. - Sat Nov  7 15:14:20 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: Was I on your list? - Sat Nov  7 15:14:20 2015
<br><br><font color=teal>*Index(Jjking217) says: I don't have a list. - Sat Nov  7 15:14:20 2015
<br><br><font color=teal>*Index(Jjking217) says: I just saw, a potential for a 'friendship'. - Sat Nov  7 15:14:20 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: Then why did you stop him. - Sat Nov  7 15:14:20 2015
<br><br><font color=yellow>*Hajimari, Owari(TenaciousRiven) looked at him seriously.* - Sat Nov  7 15:15:12 2015
<br><br><font color=teal>*Index(Jjking217) says: Tell me, Ume.. - Sat Nov  7 15:15:12 2015
<br><br><font color=teal>*Index(Jjking217) says: Was this your reason for talking to me? - Sat Nov  7 15:15:12 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: Was what? - Sat Nov  7 15:16:03 2015
<br><br><font color=teal>*Index(Jjking217) says: To find out why I stopped him? - Sat Nov  7 15:16:03 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: .... partly. - Sat Nov  7 15:16:03 2015
<br><br><font color=teal>*Index(Jjking217) says: At least you're honest. - Sat Nov  7 15:16:03 2015
<br><br><font color=teal>*Index(Jjking217) says: Lera is one of my friends. - Sat Nov  7 15:16:54 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: Didn't you know he has been planning to kill her? Even I knew that. - Sat Nov  7 15:16:54 2015
<br><br><font color=teal>*Index(Jjking217) says: She helped me through a tough time, And is someone I trust. - Sat Nov  7 15:16:54 2015
<br><br><font color=teal>*Index(Jjking217) says: He doesn't tell me anything. - Sat Nov  7 15:16:54 2015
<br><br><font color=teal>*Index(Jjking217) says: Never did. - Sat Nov  7 15:16:54 2015
<br><br><font color=teal>*Index(Jjking217) says: Never will. - Sat Nov  7 15:16:54 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: That's not true. - Sat Nov  7 15:16:54 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: You are his brother. - Sat Nov  7 15:16:54 2015
<br><br><font color=teal>*Index(Jjking217) says: His Brother? - Sat Nov  7 15:17:45 2015
<br><br><font color=teal>*Index(Jjking217) says: It's hard to say that after what happened. - Sat Nov  7 15:17:45 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: Yes, you said when you were fighting. 'you are no longer my brother'. - Sat Nov  7 15:17:45 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: Index.... you realize you choose to lose one friend over the other? - Sat Nov  7 15:18:36 2015
<br><br><font color=teal>*Index(Jjking217) says: Ume was I wrong? - Sat Nov  7 15:18:36 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: You should have chosen to save both. - Sat Nov  7 15:19:28 2015
<br><br><font color=teal>*Index(Jjking217) says: And they're both alive. - Sat Nov  7 15:19:28 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: If I had been human, I would be dead. - Sat Nov  7 15:19:28 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: And then you would have gone back and killed him, or he you... - Sat Nov  7 15:19:28 2015
<br><br><font color=teal>*Index(Jjking217) says: I'm glad though. - Sat Nov  7 15:20:19 2015
<br><br><font color=teal>*Index(Jjking217) says: I thought you were lost, But no one died. But you're right. - Sat Nov  7 15:20:19 2015
<br><br><font color=teal>*Index(Jjking217) says: Ortho made me choose, Him or Lera. - Sat Nov  7 15:21:10 2015
<br><br><font color=teal>*Index(Jjking217) says: I did what I thought was neccessary to save them both---But then he started throwing jabs at me. - Sat Nov  7 15:21:10 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: No.. - Sat Nov  7 15:21:10 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: Ortho didn't make you choose. He was doing something he was suppose to do... for his path...but it crashed with yours. - Sat Nov  7 15:22:01 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: And you know he will end up going after her again, if not him then she will after what happened. - Sat Nov  7 15:22:01 2015
<br><br><font color=teal>*Index(Jjking217) says: Ortho...He will die the next time he goes after her. - Sat Nov  7 15:22:52 2015
<br><br><font color=teal>*Index(Jjking217) says: He targeted the Kazekage's Daughter. - Sat Nov  7 15:22:52 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: ....what? - Sat Nov  7 15:23:44 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: If you think she will kill him...then so it will be. - Sat Nov  7 15:24:35 2015
<br><br><font color=teal>*Index(Jjking217) says: If he dies. - Sat Nov  7 15:25:26 2015
<br><br><font color=teal>*Index(Jjking217) says: Will you hurt, Owari? - Sat Nov  7 15:26:17 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: ...I don't know. - Sat Nov  7 15:26:17 2015
<br><br><font color=teal>*Index(Jjking217) says: I don't want you to experience loss. - Sat Nov  7 15:27:08 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: But you also want Ortho dead...to spare Lera. - Sat Nov  7 15:28:00 2015
<br><br><font color=teal>*Index(Jjking217) says: If it could be avoided. - Sat Nov  7 15:28:51 2015
<br><br><font color=teal>*Index(Jjking217) says: I wouldn't want Ortho dead. - Sat Nov  7 15:28:51 2015
<br><br><font color=teal>*Index(Jjking217) says: But what he's doing. - Sat Nov  7 15:28:51 2015
<br><br><font color=teal>*Index(Jjking217) says: Is going to get, You, Nina, Me and everyone else he knows killed. - Sat Nov  7 15:28:51 2015
<br><br><font color=yellow>*Hajimari, Owari(TenaciousRiven) chuckled, "not me."* - Sat Nov  7 15:29:42 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: ...that was grim...wasn't it? - Sat Nov  7 15:29:42 2015
<br><br><font color=teal>*Index(Jjking217) says: ---Very. - Sat Nov  7 15:29:42 2015
<br><br><font color=teal>*Index(Jjking217) says: And that's the first time I've heard you laugh. - Sat Nov  7 15:29:42 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: I don't laugh very often. - Sat Nov  7 15:29:42 2015
<br><br><font color=teal>*Index(Jjking217) says: It's nice. - Sat Nov  7 15:29:42 2015
<br><br><font color=teal>*Index(Jjking217) says: You should try smiling too. - Sat Nov  7 15:29:42 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: Most times I have it's because I know a human would laugh. - Sat Nov  7 15:29:42 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: And most of my smiles are because they should be happening. - Sat Nov  7 15:30:33 2015
<br><br><font color=teal>*Index(Jjking217) says: Even so.. - Sat Nov  7 15:30:33 2015
<br><br><font color=teal>*Index(Jjking217) says: Nevermind. - Sat Nov  7 15:31:24 2015
<br><br><font color=teal>*Index(Jjking217) says: I've been questioning you for a while now. - Sat Nov  7 15:32:16 2015
<br><br><font color=teal>*Index(Jjking217) says: Any questions for me? - Sat Nov  7 15:32:16 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: You are alright to question me,  you have many questions. I will get to my questions when I feel it is right. - Sat Nov  7 15:33:58 2015
<br><br><font color=teal>*Index(Jjking217) says: The next ones are a bit personal. - Sat Nov  7 15:34:49 2015
<br><br><font color=teal>*Index(Jjking217) says: But.. - Sat Nov  7 15:34:49 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: Ask. - Sat Nov  7 15:34:49 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: Aren't all of these personal? - Sat Nov  7 15:34:49 2015
<br><br><font color=teal>*Index(Jjking217) says: I suppose you're right. - Sat Nov  7 15:34:49 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: You should know by now that doesn't bother me. Nothing really can bother me....unless it's extreme. - Sat Nov  7 15:35:40 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: And saying sorry to me doesn't mean anything. - Sat Nov  7 15:35:40 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: it's just a word. - Sat Nov  7 15:35:40 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: I never held a grudge. - Sat Nov  7 15:35:40 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: I can't hold a grudge. - Sat Nov  7 15:35:40 2015
<br><br><font color=teal>*Index(Jjking217) says: When I touched your breasts...You didn't seem to mind...Is it because you didn't feel like anything was wrong? Or was it because you just didn't care?--Kind of like with the word 'sorry', was that just an action? - Sat Nov  7 15:35:40 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: I didn't know it was a pre-fertilization process... and, it didn't feel like anything, just pressure. It didn't feel good or bad, but now I know I shouldn't have let you do it, even if it still doesn't feel wrong to me. And if I didn't care what Ortho thought, I wouldn't care if you did it at all. - Sat Nov  7 15:39:05 2015
<br><br><font color=teal>*Index(Jjking217) says: You care what he thinks? - Sat Nov  7 15:39:05 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: Yes... for some reason. - Sat Nov  7 15:40:48 2015
<br><br><font color=teal>*Index(Jjking217) says: So if I asked you to play again, would you deny it? - Sat Nov  7 15:40:48 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: I think I would be able to play how you would like me to have played. - Sat Nov  7 15:41:39 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: You didn't like that I beat you. - Sat Nov  7 15:41:39 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: Because I didn't know what was bad. - Sat Nov  7 15:41:39 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: After ...what I saw in the plastic books. - Sat Nov  7 15:42:30 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: I know what is bad. - Sat Nov  7 15:42:30 2015
<br><br><font color=teal>*Index(Jjking217) says: It's not bad, - Sat Nov  7 15:42:30 2015
<br><br><font color=teal>*Index(Jjking217) says: It's just. - Sat Nov  7 15:42:30 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: ...bad if done with you. - Sat Nov  7 15:42:30 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: For some reason... - Sat Nov  7 15:42:30 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: Things are singular. One male, one female. - Sat Nov  7 15:42:30 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: ...Why? - Sat Nov  7 15:42:30 2015
<br><br><font color=teal>*Index(Jjking217) says: That's a good question. - Sat Nov  7 15:43:21 2015
<br><br><font color=teal>*Index(Jjking217) says: But what I was going to say is, It's not bad. Not at all, If you think about humans. - Sat Nov  7 15:43:21 2015
<br><br><font color=teal>*Index(Jjking217) says: These are all learned behaviors. - Sat Nov  7 15:43:21 2015
<br><br><font color=teal>*Index(Jjking217) says: These are things we believe are wrong because of those we are socialized with. - Sat Nov  7 15:43:21 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: ...do you not think it was bad then? - Sat Nov  7 15:44:12 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: Even with how you reacted? - Sat Nov  7 15:44:12 2015
<br><br><font color=teal>*Index(Jjking217) says: I won't say it's bad or not bad. - Sat Nov  7 15:45:04 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: Why not? - Sat Nov  7 15:45:04 2015
<br><br><font color=teal>*Index(Jjking217) says: This game was designed to push your boundaries. - Sat Nov  7 15:45:04 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: Do you get that upset with Katsune? - Sat Nov  7 15:45:04 2015
<br><br><font color=teal>*Index(Jjking217) says: No, not at all. - Sat Nov  7 15:45:04 2015
<br><br><font color=teal>*Index(Jjking217) says: It's a lot worse. - Sat Nov  7 15:45:04 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: Why? - Sat Nov  7 15:45:04 2015
<br><br><font color=teal>*Index(Jjking217) says: The sensations are different. - Sat Nov  7 15:45:55 2015
<br><br><font color=teal>*Index(Jjking217) says: There's something about the game. - Sat Nov  7 15:45:55 2015
<br><br><font color=teal>*Index(Jjking217) says: Which triggers a different set of emotions. - Sat Nov  7 15:45:55 2015
<br><br><font color=teal>*Index(Jjking217) says: I know if you play the game with someone, the feelings don't go beyond 'friendship'. - Sat Nov  7 15:46:46 2015
<br><br><font color=teal>*Index(Jjking217) says: Which makes the awkwardness, and excitement. - Sat Nov  7 15:46:46 2015
<br><br><font color=teal>*Index(Jjking217) says: So much more interesting. - Sat Nov  7 15:46:46 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: But all along you just wanted to ask me questions. - Sat Nov  7 15:46:46 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: Did you even want to play the game? - Sat Nov  7 15:47:37 2015
<br><br><font color=teal>*Index(Jjking217) says: Hm.. - Sat Nov  7 15:47:37 2015
<br><br><font color=teal>*Index(Jjking217) says: I did. - Sat Nov  7 15:47:37 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: Why? - Sat Nov  7 15:47:37 2015
<br><br><font color=teal>*Index(Jjking217) says: Even though I had ulterior motives. - Sat Nov  7 15:47:37 2015
<br><br><font color=teal>*Index(Jjking217) says: I had fun. - Sat Nov  7 15:47:37 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: You didn't look like you were having fun. - Sat Nov  7 15:47:37 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: You got nervous. - Sat Nov  7 15:47:37 2015
<br><br><font color=teal>*Index(Jjking217) says: It was a 'thrill'. - Sat Nov  7 15:48:28 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: Would Katsune be upset if she knew you played the game with another female? - Sat Nov  7 15:48:28 2015
<br><br><font color=teal>*Index(Jjking217) says: I'm not sure. - Sat Nov  7 15:49:20 2015
<br><br><font color=teal>*Index(Jjking217) says: But I don't think she'd be mad, If I played it with a friend. - Sat Nov  7 15:49:20 2015
<br><br><font color=teal>*Index(Jjking217) says: Though there are countless other games that can be played. - Sat Nov  7 15:50:11 2015
<br><br><font color=teal>*Index(Jjking217) says: I would never do actual 'fertilization', with anyone though, But the 'pre' Humans do that subconciously. - Sat Nov  7 15:51:02 2015
<br><br><font color=teal>*Index(Jjking217) says: Like...If I looked at your breasts, or your bottom. - Sat Nov  7 15:51:02 2015
<br><br><font color=teal>*Index(Jjking217) says: I can say this form of yours is attractive, It definately is. - Sat Nov  7 15:51:53 2015
<br><br><font color=teal>*Index(Jjking217) says: But. - Sat Nov  7 15:51:53 2015
<br><br><font color=teal>*Index(Jjking217) says: What do you think is attractive? - Sat Nov  7 15:51:53 2015
<br><br><font color=teal>*Index(Jjking217) says: Do you like your form? - Sat Nov  7 15:51:53 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: It's ....very tiny. - Sat Nov  7 15:52:44 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: I feel tiny. - Sat Nov  7 15:52:44 2015
<br><br><font color=yellow>*Hajimari, Owari(TenaciousRiven) wrinkled her nose.* - Sat Nov  7 15:52:44 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: It saved energy to make myself smaller, I didn't have to regenerate as much. - Sat Nov  7 15:52:44 2015
<br><br><font color=teal>*Index(Jjking217) says: Hm... - Sat Nov  7 15:53:36 2015
<br><br><font color=teal>*Index(Jjking217) says: I suppose that'll help in the long run. - Sat Nov  7 15:53:36 2015
<br><br><font color=teal>*Index(Jjking217) says: I have an idea. - Sat Nov  7 15:54:27 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: Hm? - Sat Nov  7 15:54:27 2015
<br><br><font color=teal>*Index(Jjking217) says: Let's play truth or dare, It'll make this a bit more entertaining. - Sat Nov  7 15:54:27 2015
<br><br><font color=teal>*Index(Jjking217) says: I get anxious when I sit in one spot. - Sat Nov  7 15:55:18 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: I don't know how good I will be, remember about the dare? - Sat Nov  7 15:56:09 2015
<br><br><font color=teal>*Index(Jjking217) says: Something tells me. - Sat Nov  7 15:56:09 2015
<br><br><font color=teal>*Index(Jjking217) says: You'll be fine. - Sat Nov  7 15:56:09 2015
<br><br><font color=teal>*Index(Jjking217) says: If you're curious, just put it into the form of a 'command'. - Sat Nov  7 15:57:00 2015
<br><br><font color=teal>*Index(Jjking217) says: You have your own thoughts. - Sat Nov  7 15:57:00 2015
<br><br><font color=teal>*Index(Jjking217) says: I wouldn't mind you daring me to answer a question if it came to it. - Sat Nov  7 15:57:00 2015
<br><br><font color=teal>*Index(Jjking217) says: So Truth or dare? - Sat Nov  7 15:57:52 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: Okay...but I guess this gives you a chance for more questions that you find  difficult to ask. - Sat Nov  7 15:58:43 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: ...Truth, I guess. - Sat Nov  7 15:59:34 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: Is it not easier with the dice so we don't choose? - Sat Nov  7 15:59:34 2015
<br><br><font color=teal>*Index(Jjking217) says: You want to put it up to chance? - Sat Nov  7 15:59:34 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: Is that not more interesting? - Sat Nov  7 15:59:34 2015
<br><br><font color=teal>*Index(Jjking217) says: I suppose it is! - Sat Nov  7 16:00:25 2015
<br><br><font color=teal>*Index(Jjking217) says: Evens Truth. - Sat Nov  7 16:00:25 2015
<br><br><font color=teal>*Index(Jjking217) says: Odds dare. - Sat Nov  7 16:00:25 2015
<br><br><font color=yellow>*Hajimari, Owari(TenaciousRiven) took the dice and rolled it on the table.* - Sat Nov  7 16:00:25 2015
<br><br><font color=teal>*Index(Jjking217) says: hM.. - Sat Nov  7 16:01:16 2015
<br><br><font color=teal>*Index(Jjking217) says: Who picked out your clothes? - Sat Nov  7 16:02:08 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: I ...stole them. - Sat Nov  7 16:02:08 2015
<br><br><font color=teal>*Index(Jjking217) says: --- - Sat Nov  7 16:02:08 2015
<br><br><font color=teal>*Index(Jjking217) says: I see. - Sat Nov  7 16:02:08 2015
<br><br><font color=teal>*Index(Jjking217) says: They look nice on you though. - Sat Nov  7 16:02:08 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: I do not really like this color. - Sat Nov  7 16:02:59 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: It's...very bright. - Sat Nov  7 16:02:59 2015
<br><br><font color=teal>*Index(Jjking217) says: The color pink? - Sat Nov  7 16:02:59 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: Is that what this is called? - Sat Nov  7 16:02:59 2015
<br><br><font color=teal>*Index(Jjking217) says: Would you prefer something darker? - Sat Nov  7 16:02:59 2015
<br><br><font color=teal>*Index(Jjking217) says: Yeah that's pink. - Sat Nov  7 16:02:59 2015
<br><br><font color=teal>*Index(Jjking217) says: I could find you something darker if you'd like - Sat Nov  7 16:02:59 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: yes...but this persona likes things colorful. - Sat Nov  7 16:03:50 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: I think you just like dressing me. - Sat Nov  7 16:03:50 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: .... - Sat Nov  7 16:04:41 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: I.... - Sat Nov  7 16:04:41 2015
<br><br><font color=yellow>*Hajimari, Owari(TenaciousRiven) started smiling, "do you have sake?"* - Sat Nov  7 16:05:32 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: You drink two shots of it. - Sat Nov  7 16:07:15 2015
<br><br><font color=teal>*Index(Jjking217) says: Hm... - Sat Nov  7 16:12:22 2015
<br><br><font color=teal>*Index(Jjking217) says: Are you able to make clothes out of your own mass? - Sat Nov  7 16:13:13 2015
<br><br><font color=teal>*Index(Jjking217) says: Though...I suppose that'd be the same as being naked.. - Sat Nov  7 16:14:04 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: ...Yes, when I copy someone. I copy everything...even weapons. - Sat Nov  7 16:14:04 2015
<br><br><font color=teal>*Index(Jjking217) says: That's pretty cool. - Sat Nov  7 16:14:04 2015
<br><br><font color=teal>*Index(Jjking217) says: --- - Sat Nov  7 16:14:04 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: I wear normal clothing now because... well it would cost too much energy. - Sat Nov  7 16:14:04 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: ......two...more..shots? - Sat Nov  7 16:14:56 2015
<br><br><font color=yellow>*Hajimari, Owari(TenaciousRiven) cheesy smile.* - Sat Nov  7 16:14:56 2015
