<br><font color=teal>*Index(Jjking217) whispers: I'll explain everything when it's time. - Sun Nov  8 14:08:12 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: You're too conflicted for us to work together. - Mon Nov  9 00:07:15 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Well when I suggest something and you try to deny it like that. - Mon Nov  9 00:08:57 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Then yeah. - Mon Nov  9 00:08:57 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Just like when I say something and you're quick to jump down my throat? We have a love-hate relationship as siblings. Organizing a way for us to "work together" will have us argue. - Mon Nov  9 00:09:48 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Instead of thnking about "working together", we just do it. - Mon Nov  9 00:09:48 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: No questions asked, just actions. - Mon Nov  9 00:09:48 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Yeah, but that'd be better with practice and talking. - Mon Nov  9 00:12:22 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: What we do while working together is fine, that can be discussed. - Mon Nov  9 00:13:13 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: But to sit down and talk about feelings, hate, love, all that mess.. no. - Mon Nov  9 00:13:13 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: No thank you. - Mon Nov  9 00:13:13 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: But... - Mon Nov  9 00:14:04 2015
<br><br><font color=yellow>*Hajimari, Owari(TenaciousRiven) stepped away from the two so they could have their sibling moment.* - Mon Nov  9 00:19:12 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) thinks: Oh how sweet. - Mon Nov  9 00:20:03 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: ... - Mon Nov  9 00:29:26 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) thinks: Why did he do that? - Mon Nov  9 00:30:17 2015
<br><br><font color=teal>*Asteroth(Lordlol45) thinks: Why are Nigen's friends so. . .  What's the word. .? - Mon Nov  9 00:32:51 2015
<br><br><font color=yellow>*Hajimari, Owari(TenaciousRiven) shook her head, "he told me this is common between them. Brother and sister."* - Mon Nov  9 00:33:42 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: .... - Mon Nov  9 00:51:37 2015
<br><br><font color=yellow>*Hajimari, Owari(TenaciousRiven) turned to Nina and smiled gently, "hello uh... I'm the girl who you know... was hurt in the wilderness? Your brother saved me, I hoped to meet you before I departed but I had to check in with the Mizukage as soon as possible."* - Mon Nov  9 00:52:28 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) thinks: Well..what to expect...from today.. - Mon Nov  9 00:54:11 2015
<br><br><font color=yellow>*Hajimari, Owari(TenaciousRiven) widened her eyes in surprise. "O-oh I mean I don't know I was just out there all alone and h---" cutting off as Nina decided to take it upon herself to protect her. "O-oh that's ...very nice of you, miss. What was your name? I don't think he passed that along, only that you were his sister."* - Mon Nov  9 00:55:53 2015
<br><br><font color=teal>*Nina(Ninasky115) says: My name is Nina, mhm. - Mon Nov  9 01:01:00 2015
<br><br><font color=yellow>*Hajimari, Owari(TenaciousRiven) glanced over towards Sado and 'Slither-kun' and then back towards Nina. "Nina, that is a lovely name. I'm Owari Hajimari, may I ask how old you are?" She looked the girl over, she appeared to be a child after all.* - Mon Nov  9 01:01:52 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Hm.. - Mon Nov  9 01:03:34 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) whispers: Ah..that's what I've decided to call Owari.. - Mon Nov  9 01:07:50 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) whispers: Ahh, ahh. - Mon Nov  9 01:08:41 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) whispers: That is very much true. - Mon Nov  9 01:08:41 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Now who is this..little de--boy? - Mon Nov  9 01:09:32 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: ....... - Mon Nov  9 01:10:24 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: HAHAHAHAH! - Mon Nov  9 01:10:24 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: HAAAAA! - Mon Nov  9 01:10:24 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Hm? - Mon Nov  9 01:10:24 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Is something wrong? - Mon Nov  9 01:10:24 2015
<br><br><font color=teal>*Nina(Ninasky115) says: ....What? - Mon Nov  9 01:10:24 2015
<br><br><font color=yellow>*Hajimari, Owari(TenaciousRiven) was pulled along over towards Sado and Ortho as she heard the butt end of what Sado said. "Oh did you come up with a new nickname for me then? Let's hear it." She heard the confusion of gender and remained silent, apparently it was funny to Ortho.* - Mon Nov  9 01:11:15 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Hm? - Mon Nov  9 01:12:06 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Oh..I was talking about "Shine". - Mon Nov  9 01:12:06 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I still don't understand what's so funny.. - Mon Nov  9 01:12:57 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: This little boy is with the both of you? - Mon Nov  9 01:12:57 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Is it your child? - Mon Nov  9 01:13:48 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: ....... - Mon Nov  9 01:13:48 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Ahhh, man.. - Mon Nov  9 01:13:48 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: This is golden. - Mon Nov  9 01:13:48 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Hahaha... - Mon Nov  9 01:13:48 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: That's my little.. sister. - Mon Nov  9 01:13:48 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: I'm fairly confident Nina is a female. - Mon Nov  9 01:13:48 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Sister--.. - Mon Nov  9 01:14:40 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Are you sure? - Mon Nov  9 01:14:40 2015
<br><br><font color=teal>*Nina(Ninasky115) says: What, you're calling me a boy!? - Mon Nov  9 01:14:40 2015
<br><br><font color=teal>*Nina(Ninasky115) says: I'll knock your head off, you know that? - Mon Nov  9 01:14:40 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Eh.. - Mon Nov  9 01:14:40 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Shut up.. little brother. - Mon Nov  9 01:14:40 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: HAHAHAH! - Mon Nov  9 01:14:40 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I tend to deal with adults. My relationship with children isn't that great. - Mon Nov  9 01:15:31 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Hm.. - Mon Nov  9 01:18:56 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I suppose that's some what cute. - Mon Nov  9 01:19:47 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Little..Nino.. - Mon Nov  9 01:19:47 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: ...I think she said it was Nina. - Mon Nov  9 01:19:47 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Normally, children wouldn't be allowed to hold weapons. - Mon Nov  9 01:20:38 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Well this isn't a normal group, huh. - Mon Nov  9 01:21:29 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I suppose so, Nino-k--chan.. - Mon Nov  9 01:23:12 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) thinks: Children tend to be filthy..little heathens.. - Mon Nov  9 01:24:03 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Hm? - Mon Nov  9 01:28:19 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Seems like you're being punished for my mistake. - Mon Nov  9 01:28:19 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Don't worry, Nino-kun!~ - Mon Nov  9 01:29:10 2015
<br><br><font color=yellow>*Hajimari, Owari(TenaciousRiven) stared wide eyed as Nina started to walk off, "W-why are you leaving? Don't pay him any mind."* - Mon Nov  9 01:29:10 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: It's fine, Nigen. - Mon Nov  9 01:29:10 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: She gets like that with me. No one else. - Mon Nov  9 01:30:01 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Hm.. - Mon Nov  9 01:32:35 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Well, it seems like you have a fine family. - Mon Nov  9 01:33:26 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: It's funny, it reminds me of another person.. - Mon Nov  9 01:33:26 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Ushinawa had a pretty strange sister. - Mon Nov  9 01:35:08 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: She clung to him all the time.. - Mon Nov  9 01:36:00 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Man..good times. - Mon Nov  9 01:38:33 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Come on.. - Mon Nov  9 01:52:12 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: You guys are too quiet. - Mon Nov  9 01:52:12 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Did my comment really hurt? - Mon Nov  9 01:53:04 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Nina-kun..come back.~ - Mon Nov  9 01:53:04 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Don't talk to me. - Mon Nov  9 01:53:55 2015
<br><br><font color=yellow>*Hajimari, Owari(TenaciousRiven) squinted lightly and turned to look at Mizumi over the fence. "Who's that?"* - Mon Nov  9 01:55:37 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Hm... - Mon Nov  9 01:56:28 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Difficult.. - Mon Nov  9 01:58:11 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: She's almost like Fickle-chan. - Mon Nov  9 01:59:02 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Shine-chan.. - Mon Nov  9 02:00:44 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Talk some sense into her. - Mon Nov  9 02:00:44 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: I just met her....but... how can I save someone from upset from you? You upset everyone. - Mon Nov  9 02:01:36 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Hm? - Mon Nov  9 02:04:09 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Do I? - Mon Nov  9 02:04:09 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Just talk to her.. - Mon Nov  9 02:05:52 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Children are something that I can't deal with. - Mon Nov  9 02:05:52 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Nina-kun..come on now.. - Mon Nov  9 02:10:08 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Don't be so difficult. - Mon Nov  9 02:10:08 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Just apologize to your brother. - Mon Nov  9 02:10:08 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Don't talk to me. - Mon Nov  9 02:10:59 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: ... - Mon Nov  9 02:10:59 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Nina-kun you're being a bit difficult, don't you think?~ - Mon Nov  9 02:13:32 2015
<br><br><font color=teal>*Nina(Ninasky115) says: What did I just tell you? - Mon Nov  9 02:13:32 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Nina-kun come on.. - Mon Nov  9 02:16:06 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Maybe I should travel with you, Slither-kun. - Mon Nov  9 02:18:40 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Seeing a family torn like this pains me. - Mon Nov  9 02:18:40 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Fuck. No. - Mon Nov  9 02:19:31 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I insist.. - Mon Nov  9 02:19:31 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: As a priest it is my duty. - Mon Nov  9 02:19:31 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Nina-kun, I'm sure you'd be happy to spend more time with your brother's friend. - Mon Nov  9 02:21:13 2015
<br><br><font color=teal>*Nina(Ninasky115) says: If you join us, I will personally kill you. - Mon Nov  9 02:22:56 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Twice. - Mon Nov  9 02:22:56 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Oi, relax. - Mon Nov  9 02:22:56 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Really? - Mon Nov  9 02:22:56 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Slither-kun, your sister is funny. - Mon Nov  9 02:23:47 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Killing a priest is wrong, Nina-kun. - Mon Nov  9 02:23:47 2015
<br><br><font color=teal>*Nina(Ninasky115) says: You think I care about a priest? - Mon Nov  9 02:24:38 2015
<br><br><font color=teal>*Nina(Ninasky115) says: I do not like you. - Mon Nov  9 02:24:38 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Really? - Mon Nov  9 02:25:29 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I thought we were getting along quite nicely. - Mon Nov  9 02:25:29 2015
<br><br><font color=teal>*Nina(Ninasky115) says: .........Ortho, he's about to be dead. - Mon Nov  9 02:25:29 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Nina-kun, please don't make the same joke twice. - Mon Nov  9 02:26:20 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I can only laugh so much before I pass out. - Mon Nov  9 02:26:20 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: What happens to a priest when he dies anyways? - Mon Nov  9 02:29:45 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Hopefully he recieves a proper burial, and is then taken by his God to the afterlife for his servitude. - Mon Nov  9 02:30:36 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Slither-kun.. - Mon Nov  9 02:34:01 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Yo. - Mon Nov  9 02:34:01 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I'd like you to know that I'll try not to harm your loved one. - Mon Nov  9 02:34:01 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: You? Harm Nina? - Mon Nov  9 02:35:44 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: I doubt you could if you tried. - Mon Nov  9 02:35:44 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Indeed, she seems determined to attack me. - Mon Nov  9 02:35:44 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: She's strong for a stubborn little girl. - Mon Nov  9 02:35:44 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I might have to defend myself. - Mon Nov  9 02:36:35 2015
<br><br><font color=teal>*Nina(Ninasky115) says: If you want to try, lets see what happens. - Mon Nov  9 02:38:17 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Shall we? - Mon Nov  9 02:40:00 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Hm? - Mon Nov  9 02:40:00 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I'm pretty shy, and a feeble old priest. - Mon Nov  9 02:40:51 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: What would you get out of beating up on me? - Mon Nov  9 02:40:51 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Satisfaction. Happiness. - Mon Nov  9 02:41:42 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: You're nothing but a bully.. - Mon Nov  9 02:43:24 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: What happens if you fail to kill me? - Mon Nov  9 02:43:24 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: What do I get? - Mon Nov  9 02:44:16 2015
<br><br><font color=teal>*Horigoshi, Ortho(DhatBoiNick) says: Shh. - Mon Nov  9 02:44:16 2015
<br><br><font color=teal>*Horigoshi, Ortho(DhatBoiNick) says: Nina you heard that, sis'? - Mon Nov  9 02:44:16 2015
<br><br><font color=teal>*Horigoshi, Ortho(DhatBoiNick) says: Nigen, what idid you just call her? - Mon Nov  9 02:45:07 2015
<br><br><font color=teal>*Nina(Ninasky115) says: What did he call me? - Mon Nov  9 02:46:49 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: A bully? - Mon Nov  9 02:46:49 2015
<br><br><font color=teal>*Hatekeda, Ortho(DhatBoiNick) says: There it is. - Mon Nov  9 02:46:49 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Oh well. He'll get over it. - Mon Nov  9 02:46:49 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Still.. - Mon Nov  9 02:46:49 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: What will you offer up in return for attempting to kill me? - Mon Nov  9 02:47:40 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Nothing. - Mon Nov  9 02:47:40 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: I have a feeling you two are going to get along fine. - Mon Nov  9 02:49:23 2015
<br><br><font color=teal>*Nina(Ninasky115) says: I'll get along great with his tombstone. - Mon Nov  9 02:50:14 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Hahahaha! - Mon Nov  9 02:50:14 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Such a shame.. - Mon Nov  9 02:51:05 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: How about calling me, "Sado-Sama"? - Mon Nov  9 02:51:05 2015
<br><br><font color=teal>*Mana(Mirandawashere) thinks: What are they doing in a desolate place like this? - Mon Nov  9 02:51:56 2015
<br><br><font color=teal>*Mizeku, Ortho(Ninasky115) says: Ortho, why are we still here? - Mon Nov  9 02:51:56 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I suppose, Nina-kun..if you're scared.. - Mon Nov  9 02:53:39 2015
<br><br><font color=teal>*Mizeku, Nina(Ninasky115) says: Do you really want to die right now? - Mon Nov  9 02:55:21 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Eh.. - Mon Nov  9 02:57:55 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Nina-kun..I really do enjoy your energy. - Mon Nov  9 02:57:55 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: O-..Ortho..-senpai.. - Mon Nov  9 03:00:28 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I-..I have something I want to ask of you.. - Mon Nov  9 03:00:28 2015
<br><br><font color=teal>*Mana(Mirandawashere) thinks: Should I say something? - Mon Nov  9 03:00:28 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: W-..would you a-..allow me the honor..o-..f.. - Mon Nov  9 03:03:02 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: *gulp* T-..taking your sister...and sparring her...? - Mon Nov  9 03:03:53 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: Nigen. Were the items delivered? - Mon Nov  9 03:04:44 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: Oi, look. - Mon Nov  9 03:05:36 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: Your wife is back, Nigen. - Mon Nov  9 03:05:36 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: Anyways, it's fine. - Mon Nov  9 03:06:27 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: Spar her, no deaths. - Mon Nov  9 03:06:27 2015
<br><br><font color=teal>*Mana(Mirandawashere) thinks: Why is he acting so afraid?  - Mon Nov  9 03:06:27 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: Mana I have a mission for you. - Mon Nov  9 03:06:27 2015
<br><br><font color=teal>*Mana(Mirandawashere) says: Hmm?> - Mon Nov  9 03:06:27 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: Can we talk in private? - Mon Nov  9 03:06:27 2015
<br><br><font color=teal>*Mana(Mirandawashere) says: Yeah. - Mon Nov  9 03:07:18 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: . . . - Mon Nov  9 03:07:18 2015
<br><br><font color=teal>*Asteroth(Lordlol45) thinks: I'm not sparring anyone. - Mon Nov  9 03:07:18 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: Nigen. I'm speaking to you. - Mon Nov  9 03:07:18 2015
<br><br><font color=teal>*Asteroth(Lordlol45) thinks: Wait. . I thought hi-- Whoops. He won't like that. - Mon Nov  9 03:07:18 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Hm? - Mon Nov  9 03:08:09 2015
<br><br><font color=teal>*Mana(Mirandawashere) says: Where at? - Mon Nov  9 03:08:09 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Items.. - Mon Nov  9 03:08:09 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: The delivery. Where is it? - Mon Nov  9 03:08:09 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: Lead the way. - Mon Nov  9 03:08:09 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: No idea.~ - Mon Nov  9 03:08:09 2015
<br><br><font color=teal>*Mana(Mirandawashere) says: Okay. - Mon Nov  9 03:09:00 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: So angry.. - Mon Nov  9 03:09:00 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Fickle-chan.. - Mon Nov  9 03:09:00 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: This girl threatened to take my life. - Mon Nov  9 03:09:00 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Aren't you going to protect me? - Mon Nov  9 03:09:00 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: . . . - Mon Nov  9 03:09:00 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: You are the one who is meant to protect me. Not the other way around. - Mon Nov  9 03:09:52 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: Deal with your issues. - Mon Nov  9 03:09:52 2015
<br><br><font color=teal>*Mizeku, Nina(Ninasky115) says: Good. Lets get this done then. - Mon Nov  9 03:14:08 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I'd like to see them sometime.~ - Mon Nov  9 03:14:59 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Hm? - Mon Nov  9 03:14:59 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: You're in such a rush, Nina-kun. - Mon Nov  9 03:15:50 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Do you really want to call me, "Sado-Sama" that badly? - Mon Nov  9 03:15:50 2015
<br><br><font color=teal>*Mizeku, Nina(Ninasky115) says: You're going to lose. - Mon Nov  9 03:16:41 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Right.. - Mon Nov  9 03:16:41 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Let's go..~ - Mon Nov  9 03:16:41 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Come..come.. - Mon Nov  9 03:17:32 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: --Hold it. - Mon Nov  9 03:17:32 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: ... - Mon Nov  9 03:17:32 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Eh.. - Mon Nov  9 03:17:32 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: . .. Half a million. Where is it? - Mon Nov  9 03:17:32 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: They have it. - Mon Nov  9 03:17:32 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I'd keep that fish. - Mon Nov  9 03:18:24 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: I assume you mean the last is on the way. .  - Mon Nov  9 03:18:24 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: It must be valued at half a million. - Mon Nov  9 03:18:24 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Er.. - Mon Nov  9 03:18:24 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I guess.. - Mon Nov  9 03:18:24 2015
<br><br><font color=teal>*Small Fish(ZenoKuthric) says: Hey. - Mon Nov  9 03:20:06 2015
<br><br><font color=teal>*Small Fish(ZenoKuthric) says: Stupid bitch woman. - Mon Nov  9 03:20:06 2015
<br><br><font color=teal>*Mizeku, Nina(Ninasky115) says: ...... - Mon Nov  9 03:20:06 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: You should take this up with the one who sold you the items. - Mon Nov  9 03:20:06 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Anyway, we'll be right back!~ - Mon Nov  9 03:20:57 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Yeah..well.. - Mon Nov  9 03:21:48 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: You should inspect anything they send. - Mon Nov  9 03:21:48 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: That's all I can say!~ - Mon Nov  9 03:21:48 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Come on, Nino-chan! - Mon Nov  9 03:22:40 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Nina-kun.. - Mon Nov  9 03:23:31 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Let's go.. - Mon Nov  9 03:23:31 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Don't be so slow! - Mon Nov  9 03:23:31 2015
<br><br><font color=teal>*Mizeku, Nina(Ninasky115) says: You're about to die. - Mon Nov  9 03:24:22 2015
<br><br><font color=teal>*Mana(Mirandawashere) says: I guess i'll head that way soon. Have any scrolls I could work on while there? - Mon Nov  9 03:54:14 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: For Taijutsu? No, sorry. - Mon Nov  9 03:54:14 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: .... - Mon Nov  9 03:54:14 2015
<br><br><font color=teal>*Mana(Mirandawashere) says: Earth or Water? - Mon Nov  9 03:54:14 2015
