<br><font color=teal>*Haruna(ZenoKuthric) says: ye - Mon Oct  5 01:10:49 2015
<br><br><font color=teal>*Taiga, Edge(RuinousAnchor) says: If you are caught. - Tue Oct  6 00:23:28 2015
<br><br><font color=teal>*Taiga, Edge(RuinousAnchor) says: Try and dispatch the one who caught you. - Tue Oct  6 00:24:19 2015
<br><br><font color=yellow>*Sin&#39;ichi(Ras Trent) trekked to the border of the gates of Sunagakure, admiring the familiarity of the scenery. Regardless, he had a purpose to his commitment - one which involved payment, and thus brought forth his full attention moreso than anything else could have.

Quietly, he skulked around the border of the village, using his familiarity with the area in attempts to pass through completely unnoticed; his observant eyes tracking any nearby personnel while he did so.* - Tue Oct  6 00:49:04 2015
<br><br><font color=yellow>*Sin&#39;ichi(Ras Trent) utiliized his familiarity with the Sunagakurian mansion - being that he had, at one point in his life, visited the mansion nigh every day for the purpose of a mission - for the purpose of infiltrating the infrastructure without drawing any suspicion or alarm to himself.

Even so, he drew upon his keen eyesight to spot a particular area through which he could bring himself through with ease; that particular area being the roof. Likely, it was guarded, and thus posed difficulty to the male. Thus, he withdrew a scroll, sending his newly-enhanced marionette up to the roof, and scanned it from the rear.

Finding two said people on the roof, facing opposing directions on the rooftop, the marionette quickly sprung into action;  it floated towards the roof, revealing itself to one of the guards - only momentarily, as a horizontal slash accompanied itself to its introduction.

As the blood stained scythe crossed the neck of the first guard, who screamed  to alert the second before his larynx was cut through, the scythe quickly split into two - creating a second scythe which was launched towards the torso of the second guard, impaling him in the lung and shortly thereafter killing him.

The marionette rescinded its scythes with their retractable chain, and they were formed into one, once more. After the problem of the guards was swiftly dealt with, the male quickly scaled the building through the application of chakra on his feet. 

Shortly thereafter, he infiltrated the upper-level of Sunagakure's sanctum - accompanied by marionette. Noting two more guards in the viscinity, he allowed the puppet to lurch forward before he went within their full viewing; as it did so, it sprayed forth a number of senbon, at blitzing speeds, ripping through the guards, and the walls behind them.

Thus, he gained access to the room filled with information. Cursory searching allowed him to gain access to the necessary information, and he concealed said information with the rest of his paraphernalia, and began a swift depart through the entrance he made.* - Tue Oct  6 01:21:29 2015
<br><br><font color=teal>*Taiga, Edge(RuinousAnchor) says: Two what? - Tue Oct  6 01:24:03 2015
<br><br><font color=teal>*Taiga, Edge(RuinousAnchor) says: Those swirly things? - Tue Oct  6 01:24:03 2015
<br><br><font color=teal>*Taiga, Edge(RuinousAnchor) says: Not like they seem to matter in the long-run. - Tue Oct  6 01:24:03 2015
<br><br><font color=teal>*Taiga, Edge(RuinousAnchor) says: Sin'ichi, do you have your mission report? - Tue Oct  6 01:24:54 2015
<br><br><font color=teal>*Taiga, Edge(RuinousAnchor) says: Well, Kohaku, Ushinawa is dead.  - Tue Oct  6 01:24:54 2015
<br><br><font color=teal>*Taiga, Edge(RuinousAnchor) says: So that certainly doesn't matter. - Tue Oct  6 01:24:54 2015
<br><br><font color=teal>*Taiga, Edge(RuinousAnchor) says: Who knows. - Tue Oct  6 01:24:54 2015
<br><br><font color=teal>*Taiga, Edge(RuinousAnchor) says: I don't have information on that. - Tue Oct  6 01:24:54 2015
<br><br><font color=teal>*Taiga, Edge(RuinousAnchor) says: His body. - Tue Oct  6 01:24:54 2015
<br><br><font color=yellow>*Sin&#39;ichi(Ras Trent) brought forth a number of scrolls from his paraphernealia, reaching the hand clasping said scrolls towards Edge.* - Tue Oct  6 01:25:45 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: Hm.. - Tue Oct  6 01:25:45 2015
<br><br><font color=teal>*Taiga, Edge(RuinousAnchor) says: By the way. - Tue Oct  6 01:25:45 2015
<br><br><font color=teal>*Taiga, Edge(RuinousAnchor) says: You have a new sparring partner in the form of Hiro. - Tue Oct  6 01:25:45 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: Oi, hiro..When did you get your eyes like that? - Tue Oct  6 01:25:45 2015
<br><br><font color=teal>*Sin&#39;ichi(Ras Trent) says: Hm? - Tue Oct  6 01:25:45 2015
<br><br><font color=teal>*Shinozuka, Hiro(Your Pocket Pikachu) says: Five years ago. - Tue Oct  6 01:25:45 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: What did you see five years ago? - Tue Oct  6 01:25:45 2015
<br><br><font color=teal>*Shinozuka, Hiro(Your Pocket Pikachu) says: Nothing. - Tue Oct  6 01:25:45 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: ... - Tue Oct  6 01:25:45 2015
<br><br><font color=teal>*Sin&#39;ichi(Ras Trent) says: Who? - Tue Oct  6 01:25:45 2015
<br><br><font color=teal>*Taiga, Edge(RuinousAnchor) says: The teal-haired one. - Tue Oct  6 01:26:36 2015
<br><br><font color=teal>*Taiga, Edge(RuinousAnchor) says: He's very quiet. - Tue Oct  6 01:26:36 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) thinks: Stubborn. - Tue Oct  6 01:26:36 2015
<br><br><font color=teal>*Taiga, Edge(RuinousAnchor) says: Passive really. - Tue Oct  6 01:26:36 2015
<br><br><font color=teal>*Taiga, Edge(RuinousAnchor) says: Spar him. - Tue Oct  6 01:26:36 2015
<br><br><font color=teal>*Taiga, Edge(RuinousAnchor) says: I'd like to evaluate both of your skills. - Tue Oct  6 01:26:36 2015
<br><br><font color=teal>*Taiga, Edge(RuinousAnchor) says: Keep your Sharingan active, Hiro, I'm sure you'll need it for this fight. - Tue Oct  6 01:26:36 2015
<br><br><font color=teal>*Sin&#39;ichi(Ras Trent) says: Wait, now? - Tue Oct  6 01:26:36 2015
<br><br><font color=teal>*Taiga, Edge(RuinousAnchor) says: Are you tired? - Tue Oct  6 01:26:36 2015
<br><br><font color=teal>*Sin&#39;ichi(Ras Trent) says: . . . Kind of, yes. - Tue Oct  6 01:27:28 2015
<br><br><font color=teal>*Taiga, Edge(RuinousAnchor) says: Then we can postpone it until later. - Tue Oct  6 01:27:28 2015
<br><br><font color=teal>*Taiga, Edge(RuinousAnchor) says: Sin'ichi. - Tue Oct  6 01:28:19 2015
<br><br><font color=teal>*Sin&#39;ichi(Ras Trent) says: Yeah? - Tue Oct  6 01:28:19 2015
<br><br><font color=teal>*Taiga, Edge(RuinousAnchor) says: Did you see anyone in Sunagakure? - Tue Oct  6 01:28:19 2015
<br><br><font color=teal>*Shinozuka, Hiro(Your Pocket Pikachu) says: I'll be going inside, Edge-san. - Tue Oct  6 01:29:10 2015
<br><br><font color=teal>*Taiga, Edge(RuinousAnchor) says: Alright, Hiro. - Tue Oct  6 01:29:10 2015
<br><br><font color=teal>*Sin&#39;ichi(Ras Trent) says: I think someone saw me. - Tue Oct  6 01:29:10 2015
<br><br><font color=teal>*Taiga, Edge(RuinousAnchor) says: Who was it? - Tue Oct  6 01:29:10 2015
<br><br><font color=teal>*Sin&#39;ichi(Ras Trent) says: I couldn't confront them, since they went back to their group. - Tue Oct  6 01:29:10 2015
<br><br><font color=teal>*Taiga, Edge(RuinousAnchor) says: I see. - Tue Oct  6 01:29:10 2015
<br><br><font color=teal>*Taiga, Edge(RuinousAnchor) says: That's fine. - Tue Oct  6 01:29:10 2015
<br><br><font color=teal>*Taiga, Edge(RuinousAnchor) says: I don't think you'll attract much suspicion. - Tue Oct  6 01:29:10 2015
<br><br><font color=teal>*Sin&#39;ichi(Ras Trent) says: Also, uhm, could I talk to you privately? - Tue Oct  6 01:30:01 2015
<br><br><font color=teal>*Taiga, Edge(RuinousAnchor) says: Certainly. - Tue Oct  6 01:30:01 2015
<br><br><font color=teal>*Taiga, Edge(RuinousAnchor) says: Come. - Tue Oct  6 01:30:01 2015
<br><br><font color=teal>*Taiga, Edge(RuinousAnchor) says: Kohaku. - Tue Oct  6 01:30:52 2015
<br><br><font color=teal>*Taiga, Edge(RuinousAnchor) says: Admire the scenery. - Tue Oct  6 01:30:52 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: ... - Tue Oct  6 01:30:52 2015
<br><br><font color=teal>*Taiga, Edge(RuinousAnchor) says: Go ahead and speak. - Tue Oct  6 01:30:52 2015
<br><br><font color=teal>*Sin&#39;ichi(Ras Trent) says: I wouldn't say I'm unappreciative of the upgrades that you've given me but . . . how much would it actually take for me to upgrarde my puppet once more? - Tue Oct  6 01:31:44 2015
<br><br><font color=teal>*Taiga, Edge(RuinousAnchor) says: A lot more work I suppose. - Tue Oct  6 01:34:17 2015
<br><br><font color=teal>*Taiga, Edge(RuinousAnchor) says: It costs. - Tue Oct  6 01:34:17 2015
<br><br><font color=teal>*Taiga, Edge(RuinousAnchor) says: To upgrade your puppet. - Tue Oct  6 01:34:17 2015
<br><br><font color=teal>*Sin&#39;ichi(Ras Trent) says: I'd be willing to do that. - Tue Oct  6 01:34:17 2015
<br><br><font color=teal>*Taiga, Edge(RuinousAnchor) says: Fine. - Tue Oct  6 01:34:17 2015
<br><br><font color=teal>*Sin&#39;ichi(Ras Trent) says: I can go on another mission if you want. - Tue Oct  6 01:34:17 2015
<br><br><font color=teal>*Taiga, Edge(RuinousAnchor) says: Pass me your puppet. - Tue Oct  6 01:35:08 2015
<br><br><font color=teal>*Taiga, Edge(RuinousAnchor) says: I'll handle it. - Tue Oct  6 01:35:08 2015
<br><br><font color=teal>*Taiga, Edge(RuinousAnchor) says: And then you owe me a job. - Tue Oct  6 01:35:08 2015
<br><br><font color=yellow>*Sin&#39;ichi(Ras Trent) revealed a scroll from his person, with the transcription "Reaper" across its breadth, and handed it to Edge.* - Tue Oct  6 01:36:00 2015
<br><br><font color=teal>*Sin&#39;ichi(Ras Trent) says: . . . If you could do that, I'd be in your debt for I don't know how long. - Tue Oct  6 01:37:42 2015
<br><br><font color=teal>*Taiga, Edge(RuinousAnchor) says: Sure. - Tue Oct  6 01:37:42 2015
<br><br><font color=teal>*Taiga, Edge(RuinousAnchor) says: Sin'ichi. - Tue Oct  6 23:48:03 2015
<br><br><font color=teal>*Taiga, Edge(RuinousAnchor) says: I have a mission for you. - Tue Oct  6 23:48:03 2015
<br><br><font color=teal>*Taiga, Edge(RuinousAnchor) says: You'll be coming with me. - Tue Oct  6 23:48:03 2015
<br><br><font color=teal>*Sin&#39;ichi(Ras Trent) says: Oh, alright. - Tue Oct  6 23:52:19 2015
<br><br><font color=teal>*Taiga, Edge(RuinousAnchor) says: We're going to Kirigakure. - Tue Oct  6 23:53:10 2015
<br><br><font color=teal>*Taiga, Edge(RuinousAnchor) says: I have details on a blade I want. - Tue Oct  6 23:53:10 2015
<br><br><font color=teal>*Taiga, Edge(RuinousAnchor) says: I'm going to take it. - Tue Oct  6 23:53:10 2015
<br><br><font color=teal>*Taiga, Edge(RuinousAnchor) says: And you're going to help me. - Tue Oct  6 23:53:10 2015
<br><br><font color=teal>*Taiga, Edge(RuinousAnchor) says: Come. - Tue Oct  6 23:53:10 2015
<br><br><font color=teal>*ANBU Agent(RuinousAnchor) says: Follow closely. - Tue Oct  6 23:54:01 2015
<br><br><font color=teal>*Tramerus(Simbasax) says: I understand why the great Ares has drawn me to you our meeting is Fate. - Tue Oct  6 23:54:52 2015
<br><br><font color=teal>*ANBU Agent(RuinousAnchor) says: Hello. - Tue Oct  6 23:54:52 2015
<br><br><font color=teal>*ANBU Agent(RuinousAnchor) says: I seek....something. - Tue Oct  6 23:56:35 2015
<br><br><font color=teal>*ANBU Agent(RuinousAnchor) says: That this village possesses. - Tue Oct  6 23:56:35 2015
<br><br><font color=teal>*ANBU Agent(RuinousAnchor) says: ..... - Tue Oct  6 23:56:35 2015
<br><br><font color=teal>*Tramerus(Simbasax) says: AHh..not from here a suvior of the desctrution of Kohonano so yeah........Do you belive in Gods? - Tue Oct  6 23:57:26 2015
<br><br><font color=teal>*ANBU Agent(RuinousAnchor) says: ...... - Tue Oct  6 23:59:08 2015
<br><br><font color=teal>*ANBU Agent(RuinousAnchor) says: I am not a survivor.... - Tue Oct  6 23:59:08 2015
<br><br><font color=teal>*ANBU Agent(RuinousAnchor) says: Of the destruction of such a village. - Wed Oct  7 00:00:00 2015
<br><br><font color=teal>*ANBU Agent(RuinousAnchor) says: And the only God I believe in.... - Wed Oct  7 00:00:00 2015
<br><br><font color=teal>*ANBU Agent(RuinousAnchor) says: Is myself. - Wed Oct  7 00:00:00 2015
<br><br><font color=teal>*Tramerus(Simbasax) says: Hmmm..I Feel  a strong pressecene of the great Ares in you my friend may i ask of what it is you seek? - Wed Oct  7 00:00:51 2015
<br><br><font color=teal>*ANBU Agent(RuinousAnchor) says: I seek blades. - Wed Oct  7 00:00:51 2015
<br><br><font color=teal>*ANBU Agent(RuinousAnchor) says: Two of them in particular. - Wed Oct  7 00:00:51 2015
<br><br><font color=teal>*ANBU Agent(RuinousAnchor) says: Have you heard of their name? - Wed Oct  7 00:00:51 2015
<br><br><font color=teal>*ANBU Agent(RuinousAnchor) says: The Kiba.  - Wed Oct  7 00:00:51 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: Blades...? - Wed Oct  7 00:01:42 2015
<br><br><font color=teal>*ANBU Agent(RuinousAnchor) says: The legendary Lord Akask had them. - Wed Oct  7 00:01:42 2015
<br><br><font color=teal>*Sin&#39;ichi(Ras Trent) says: . . . - Wed Oct  7 00:01:42 2015
<br><br><font color=teal>*ANBU Agent(RuinousAnchor) says: I see. - Wed Oct  7 00:01:42 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) says: Those two blades are katana. - Wed Oct  7 00:01:42 2015
<br><br><font color=teal>*ANBU Agent(RuinousAnchor) says: I'll inspect them -myself-. - Wed Oct  7 00:01:42 2015
<br><br><font color=teal>*ANBU Agent(RuinousAnchor) says: Clear? - Wed Oct  7 00:02:33 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: Okay! - Wed Oct  7 00:02:33 2015
<br><br><font color=teal>*ANBU Agent(RuinousAnchor) says: Sin'ichi. - Wed Oct  7 00:02:33 2015
<br><br><font color=teal>*ANBU Agent(RuinousAnchor) says: Prepare in the meantime. - Wed Oct  7 00:02:33 2015
<br><br><font color=teal>*ANBU Agent(RuinousAnchor) says: Do what you think is necessary. - Wed Oct  7 00:02:33 2015
<br><br><font color=teal>*Tramerus(Simbasax) says: Hmmmm...I really like the vibe i get from you people. - Wed Oct  7 00:03:24 2015
<br><br><font color=teal>*Tramerus(Simbasax) says: Its as though My god is right here with me. - Wed Oct  7 00:04:16 2015
<br><br><font color=teal>*ANBU Agent(RuinousAnchor) says: If you refer to me. - Wed Oct  7 00:04:16 2015
<br><br><font color=teal>*ANBU Agent(RuinousAnchor) says: You'd be accurate. - Wed Oct  7 00:04:16 2015
<br><br><font color=teal>*Tramerus(Simbasax) says: Would you mind if i were to accompany you my overall goal in life is to become closer with my god. - Wed Oct  7 00:04:16 2015
<br><br><font color=yellow>*Sin&#39;ichi(Ras Trent) withdrew three scrolls from his paraphernalia, holding each within his palms' grasp.

"I'll wait and see what they do."* - Wed Oct  7 00:05:07 2015
<br><br><font color=teal>*Tramerus(Simbasax) thinks: The persence of Ares is strong in this one almost as strong as is in that boy, - Wed Oct  7 00:05:07 2015
<br><br><font color=teal>*ANBU Agent(RuinousAnchor) says: Oi, boy. - Wed Oct  7 00:05:07 2015
<br><br><font color=teal>*ANBU Agent(RuinousAnchor) says: Come over here for a moment. - Wed Oct  7 00:05:07 2015
<br><br><font color=teal>*Tramerus(Simbasax) says: Would you happen to mean me? - Wed Oct  7 00:06:49 2015
<br><br><font color=teal>*ANBU Agent(RuinousAnchor) says: Not in reference to you... - Wed Oct  7 00:06:49 2015
<br><br><font color=teal>*ANBU Agent(RuinousAnchor) says: But.... - Wed Oct  7 00:06:49 2015
<br><br><font color=teal>*ANBU Agent(RuinousAnchor) says: You might be an interesting candidate for an ally. - Wed Oct  7 00:07:40 2015
<br><br><font color=teal>*Tramerus(Simbasax) says: It would be an hornor so serve someone with such a Ares like presece. - Wed Oct  7 00:08:32 2015
<br><br><font color=teal>*ANBU Agent(RuinousAnchor) says: Very well. - Wed Oct  7 00:08:32 2015
<br><br><font color=teal>*ANBU Agent(RuinousAnchor) says: Come over here. - Wed Oct  7 00:08:32 2015
<br><br><font color=teal>*ANBU Agent(RuinousAnchor) says: And boy, come here too. - Wed Oct  7 00:08:32 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: Uh...Okay! - Wed Oct  7 00:08:32 2015
<br><br><font color=teal>*Sin&#39;ichi(Ras Trent) says: . . .  - Wed Oct  7 00:11:05 2015
<br><br><font color=teal>*ANBU Agent(RuinousAnchor) says: No. - Wed Oct  7 00:12:48 2015
<br><br><font color=teal>*ANBU Agent(RuinousAnchor) says: You'll be coming with me, that's all. - Wed Oct  7 00:12:48 2015
<br><br><font color=teal>*ANBU Agent(RuinousAnchor) says: You don't fit here in Kirigakure. - Wed Oct  7 00:12:48 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: Oh... - Wed Oct  7 00:13:39 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) says: Have you seen his mother? She's a violet-haired woman. - Wed Oct  7 00:13:39 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) says: Her name's....Misa. - Wed Oct  7 00:13:39 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) says: Or his father.. - Wed Oct  7 00:13:39 2015
<br><br><font color=teal>*Tramerus(Simbasax) says: No I have not. - Wed Oct  7 00:14:30 2015
<br><br><font color=teal>*ANBU Agent(RuinousAnchor) says: ........... - Wed Oct  7 00:18:46 2015
<br><br><font color=teal>*Sin&#39;ichi(Ras Trent) says: What do we do now? - Wed Oct  7 00:18:46 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) says: Masked man? - Wed Oct  7 00:18:46 2015
<br><br><font color=teal>*ANBU Agent(RuinousAnchor) says: We'll be waiting here. - Wed Oct  7 00:19:37 2015
<br><br><font color=teal>*ANBU Agent(RuinousAnchor) says: For the blades. - Wed Oct  7 00:19:37 2015
<br><br><font color=teal>*ANBU Agent(RuinousAnchor) says: Talkative blonde, over there. - Wed Oct  7 00:19:37 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) says: The Kiba blades..? - Wed Oct  7 00:19:37 2015
<br><br><font color=teal>*ANBU Agent(RuinousAnchor) says: I'm sure you know something. - Wed Oct  7 00:19:37 2015
<br><br><font color=teal>*ANBU Agent(RuinousAnchor) says: Yes. - Wed Oct  7 00:19:37 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: .... - Wed Oct  7 00:20:28 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) says: What do they look like? - Wed Oct  7 00:20:28 2015
<br><br><font color=teal>*ANBU Agent(RuinousAnchor) says: Black steel blades. - Wed Oct  7 00:20:28 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) says: No one here wields black-bladed weaponry. - Wed Oct  7 00:20:28 2015
<br><br><font color=teal>*ANBU Agent(RuinousAnchor) says: I will be the judge of that. - Wed Oct  7 00:20:28 2015
<br><br><font color=teal>*ANBU Agent(RuinousAnchor) says: I only hope I can have these blades peacefully. - Wed Oct  7 00:21:20 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) thinks: Is this guy a pedophile? - Wed Oct  7 00:21:20 2015
<br><br><font color=teal>*ANBU Agent(RuinousAnchor) says: I wonder how the local delicacies taste like. - Wed Oct  7 00:22:11 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: .... - Wed Oct  7 00:22:11 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) says: The seafood is top notch. - Wed Oct  7 00:23:02 2015
<br><br><font color=teal>*ANBU Agent(RuinousAnchor) says: I'm not talking about that kind of food. - Wed Oct  7 00:26:27 2015
<br><br><font color=teal>*ANBU Agent(RuinousAnchor) says: Anywho... - Wed Oct  7 00:28:09 2015
<br><br><font color=teal>*ANBU Agent(RuinousAnchor) says: Let's wait... - Wed Oct  7 00:28:09 2015
<br><br><font color=teal>*ANBU Agent(RuinousAnchor) says: It's almost like playing a game. - Wed Oct  7 00:28:09 2015
<br><br><font color=teal>*ANBU Agent(RuinousAnchor) says: You're the baby sheep. - Wed Oct  7 00:28:09 2015
<br><br><font color=teal>*ANBU Agent(RuinousAnchor) says: And I'm the shepherd. - Wed Oct  7 00:28:09 2015
<br><br><font color=teal>*ANBU Agent(RuinousAnchor) says: I must be the shepherd. - Wed Oct  7 00:28:09 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: Huh... whats going on? - Wed Oct  7 00:28:09 2015
<br><br><font color=teal>*ANBU Agent(RuinousAnchor) says: Nothing much. - Wed Oct  7 00:29:00 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: What about sheep... is someone a sheep summoner here? - Wed Oct  7 00:29:52 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: ...Sheep? - Wed Oct  7 00:29:52 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: No. - Wed Oct  7 00:29:52 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: Aww... - Wed Oct  7 00:30:43 2015
<br><br><font color=teal>*ANBU Agent(RuinousAnchor) says: .... - Wed Oct  7 00:31:34 2015
<br><br><font color=teal>*ANBU Agent(RuinousAnchor) says: He'd be fairly badass though. - Wed Oct  7 00:31:34 2015
<br><br><font color=teal>*ANBU Agent(RuinousAnchor) says: I'm sure. - Wed Oct  7 00:31:34 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: What makes you think someone who summons sheep threatening? I just wanted to pet one. - Wed Oct  7 00:31:34 2015
<br><br><font color=teal>*ANBU Agent(RuinousAnchor) says: Considering one who summons dinosaurs died the other day. - Wed Oct  7 00:33:16 2015
<br><br><font color=teal>*ANBU Agent(RuinousAnchor) says: To a man who summons rats. - Wed Oct  7 00:33:16 2015
<br><br><font color=teal>*ANBU Agent(RuinousAnchor) says: I'm not sure. - Wed Oct  7 00:33:16 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: How...did he die to rats? - Wed Oct  7 00:34:08 2015
<br><br><font color=teal>*ANBU Agent(RuinousAnchor) says: Who knows. - Wed Oct  7 00:34:08 2015
<br><br><font color=teal>*ANBU Agent(RuinousAnchor) says: It only goes to show. - Wed Oct  7 00:34:08 2015
<br><br><font color=teal>*ANBU Agent(RuinousAnchor) says: Nurture surpasses nature. - Wed Oct  7 00:34:08 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: I don't think that what that shows. - Wed Oct  7 00:34:08 2015
<br><br><font color=teal>*ANBU Agent(RuinousAnchor) says: It's your perspective. - Wed Oct  7 00:34:59 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: I summon rats! - Wed Oct  7 00:36:41 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: But I didn't kill anyone... - Wed Oct  7 00:36:41 2015
<br><br><font color=teal>*ANBU Agent(RuinousAnchor) says: Don't worry about it, child. - Wed Oct  7 00:41:48 2015
<br><br><font color=teal>*ANBU Agent(RuinousAnchor) says: I don't reference you. - Wed Oct  7 00:41:48 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: Oh. Ok. - Wed Oct  7 00:47:47 2015
<br><br><font color=teal>*Tramerus(Simbasax) says: Hmmm. - Wed Oct  7 00:50:20 2015
<br><br><font color=teal>*ANBU Agent(RuinousAnchor) says: What's your name, Religious one? - Wed Oct  7 00:52:54 2015
<br><br><font color=teal>*Tramerus(Simbasax) says: Tramerus you may call me Tram if you wish. - Wed Oct  7 00:53:45 2015
<br><br><font color=teal>*ANBU Agent(RuinousAnchor) says: Tram. - Wed Oct  7 00:55:28 2015
<br><br><font color=teal>*ANBU Agent(RuinousAnchor) says: I see. - Wed Oct  7 00:55:28 2015
<br><br><font color=teal>*ANBU Agent(RuinousAnchor) says: Get familiar with Si'nichi there. - Wed Oct  7 00:55:28 2015
<br><br><font color=teal>*Tramerus(Simbasax) says: Nice to meet you Si'nichi. - Wed Oct  7 00:56:19 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: Haven't seen any of you guys here in this village before.  - Wed Oct  7 00:58:01 2015
<br><br><font color=teal>*ANBU Agent(RuinousAnchor) says: We don't come here so frequent. - Wed Oct  7 01:06:33 2015
<br><br><font color=teal>*ANBU Agent(RuinousAnchor) says: That's why. - Wed Oct  7 01:06:33 2015
<br><br><font color=teal>*ANBU Agent(RuinousAnchor) says: Koeki, was it? - Wed Oct  7 01:11:40 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: So why are you here? - Wed Oct  7 01:12:32 2015
<br><br><font color=teal>*Tramerus(Simbasax) thinks: The great Ares brought him here... - Wed Oct  7 01:15:05 2015
<br><br><font color=teal>*Koeki(ZuuZuu) says: Hm? - Wed Oct  7 01:16:48 2015
<br><br><font color=teal>*Koeki(ZuuZuu) says: Yeah. - Wed Oct  7 01:16:48 2015
<br><br><font color=teal>*Koeki(ZuuZuu) says: Who are you and what do you need? - Wed Oct  7 01:17:39 2015
<br><br><font color=teal>*ANBU Agent(RuinousAnchor) says: I'll cut to the chase. - Wed Oct  7 01:20:12 2015
<br><br><font color=teal>*ANBU Agent(RuinousAnchor) says: My name is God D. Leader. - Wed Oct  7 01:20:12 2015
<br><br><font color=teal>*ANBU Agent(RuinousAnchor) says: And I'm in search of the Kiba Blades. - Wed Oct  7 01:20:12 2015
<br><br><font color=teal>*Koeki(ZuuZuu) says: Well your search won't do you any good. - Wed Oct  7 01:21:04 2015
<br><br><font color=teal>*Koeki(ZuuZuu) says: You won't get them. - Wed Oct  7 01:21:04 2015
<br><br><font color=teal>*Koeki(ZuuZuu) says: Property of kirigakure. - Wed Oct  7 01:21:04 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) thinks: God... D....Leader.... what the hell. - Wed Oct  7 01:21:55 2015
<br><br><font color=teal>*ANBU Agent(RuinousAnchor) says: Kenshin's also property of Kirigakure. - Wed Oct  7 01:21:55 2015
<br><br><font color=teal>*ANBU Agent(RuinousAnchor) says: But he got killed. - Wed Oct  7 01:21:55 2015
<br><br><font color=teal>*Koeki(ZuuZuu) says: Doubt it. - Wed Oct  7 01:21:55 2015
<br><br><font color=teal>*ANBU Agent(RuinousAnchor) says: I don't see what the difference is. - Wed Oct  7 01:21:55 2015
<br><br><font color=teal>*ANBU Agent(RuinousAnchor) says: Anywho... - Wed Oct  7 01:22:46 2015
<br><br><font color=teal>*Koeki(ZuuZuu) says: Kenshins too quick for anyone. - Wed Oct  7 01:22:46 2015
<br><br><font color=teal>*ANBU Agent(RuinousAnchor) says: Property of Kirigakure or not.... - Wed Oct  7 01:22:46 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: You are talking to the person that broke his jaw.... and probably his groin. - Wed Oct  7 01:22:46 2015
<br><br><font color=teal>*ANBU Agent(RuinousAnchor) says: I'd like to take them off of your hands. - Wed Oct  7 01:22:46 2015
<br><br><font color=teal>*Koeki(ZuuZuu) says: Well, you can't. - Wed Oct  7 01:22:46 2015
<br><br><font color=teal>*Koeki(ZuuZuu) says: There's no offer you could make. - Wed Oct  7 01:22:46 2015
<br><br><font color=teal>*ANBU Agent(RuinousAnchor) says: Ten million. - Wed Oct  7 01:22:46 2015
<br><br><font color=teal>*Koeki(ZuuZuu) says: No. - Wed Oct  7 01:22:46 2015
<br><br><font color=teal>*ANBU Agent(RuinousAnchor) says: A hundred million. - Wed Oct  7 01:23:37 2015
<br><br><font color=teal>*Koeki(ZuuZuu) says: There's too much history tied to those blades and Kirigakure. - Wed Oct  7 01:23:37 2015
<br><br><font color=teal>*ANBU Agent(RuinousAnchor) says: History you say? - Wed Oct  7 01:23:37 2015
