<br><font color=teal>*Kuro(Ichigo10101) says: He could have been talked to. - Sat Oct  3 17:50:56 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Are you alright, Misa? - Sun Oct  4 01:11:15 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: W-wh...what did I do..wrong? - Sun Oct  4 01:11:15 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: . . .  - Sun Oct  4 01:12:57 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: I'm sorry. - Sun Oct  4 01:12:57 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Hideki... he's ... - Sun Oct  4 01:12:57 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Confused right now. - Sun Oct  4 01:12:57 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: Are you saying he wants penis? - Sun Oct  4 01:12:57 2015
<br><br><font color=yellow>*Tokisaki, Chiharu(Cheesy Cakey) rubbed Misa's back.

"It'll turn out fine..." Chiharu would whisper.* - Sun Oct  4 01:12:57 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: =omit= - Sun Oct  4 01:12:57 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: mebbeh - Sun Oct  4 01:13:48 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: -omit- - Sun Oct  4 01:13:48 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Do you... want to perhaps join us for some cake? - Sun Oct  4 01:14:40 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: No, it's fine. - Sun Oct  4 01:15:31 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Chiharu, what do you think about that? - Sun Oct  4 01:16:22 2015
<br><br><font color=teal>*Tokisaki, Chiharu(Cheesy Cakey) says: No problem with it.~ - Sun Oct  4 01:17:13 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Alright. - Sun Oct  4 01:17:13 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: I'll go get the order. - Sun Oct  4 01:17:13 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: You two should head to my house. - Sun Oct  4 01:17:13 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: I'll be short; I know the old guy. - Sun Oct  4 01:17:13 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: Ok. - Sun Oct  4 01:18:04 2015
<br><br><font color=teal>*Tokisaki, Chiharu(Cheesy Cakey) says: Alright. - Sun Oct  4 01:18:04 2015
<br><br><font color=yellow>*Tokisaki, Chiharu(Cheesy Cakey) approached Misa, extending her hand out to the blonde.* - Sun Oct  4 01:18:04 2015
<br><br><font color=yellow>*Tokisaki, Chiharu(Cheesy Cakey) was about to transform into her katana form, mainly because she was used to doing that when she held Mamoru's hand. Chiharu decided against it, simply guiding her there, looking back at the blonde every now and then to check on how she was feeling.* - Sun Oct  4 01:21:29 2015
<br><br><font color=yellow>*Tokisaki, Chiharu(Cheesy Cakey) guided Misa to a non-existent sofa within the cramped apartment. She'd settle down beside the blonde.* - Sun Oct  4 01:22:20 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Make yourself at home. - Sun Oct  4 01:24:03 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: It'll be a bit cramped. - Sun Oct  4 01:24:03 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: But it should be okay. - Sun Oct  4 01:24:03 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Yeah. - Sun Oct  4 01:27:28 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: It is. - Sun Oct  4 01:27:28 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: So, who wants a slice of cake? - Sun Oct  4 01:27:28 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: What flavor is it, by the way? - Sun Oct  4 01:28:19 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Strawberry. - Sun Oct  4 01:28:19 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: That alright with you? - Sun Oct  4 01:28:19 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: Mhm. - Sun Oct  4 01:28:19 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: Cut me a slice? - Sun Oct  4 01:28:19 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Sure. - Sun Oct  4 01:28:19 2015
<br><br><font color=yellow>*Tokisaki, Chiharu(Cheesy Cakey) looked down at Kubikiribocho, the massive decapitating blade she'd been dragging around all day. The blade was probably worn to shit by now. She'd shine white, spinning toward Mamoru in katana form.* - Sun Oct  4 01:30:01 2015
<br><br><font color=yellow>*Tokisaki, Chiharu(Cheesy Cakey) reverted, new to the feeling of being used like a kitchen knife. The girl would sit back down beside Misa, intending to make sure the girl was okay emotionally.* - Sun Oct  4 01:31:44 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: I'm feeling alright, I suppose. - Sun Oct  4 01:36:00 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Still broken. - Sun Oct  4 01:36:51 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: Nothing hurting or broken? - Sun Oct  4 01:36:51 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: That's good....Can you serve me a slice of cake? - Sun Oct  4 01:39:24 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Oh right, yeah. - Sun Oct  4 01:39:24 2015
<br><br><font color=teal>*Tokisaki, Chiharu(Cheesy Cakey) says: Hmm..... - Sun Oct  4 01:40:16 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Is it good? - Sun Oct  4 01:45:23 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Chiharu, you should try some too. - Sun Oct  4 01:45:23 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: mhm. - Sun Oct  4 01:45:23 2015
<br><br><font color=teal>*Tokisaki, Chiharu(Cheesy Cakey) says: Oh... okay.. - Sun Oct  4 01:45:23 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: I've got more plates and forks in the kitchen if you need 'em. - Sun Oct  4 01:45:23 2015
<br><br><font color=yellow>*Tokisaki, Chiharu(Cheesy Cakey) went in the kitchen briefly, returning with a plastic fork and plate. She'd place a piece of cake on the plate, seating herself down beside Misa. She'd remove a section of the cake and eat it. Her grip on the fork tightened and she closed her eyes, her lip curling slightly. "S..So good.." Chiharu would state, only after gulping down the piece that she consumed.* - Sun Oct  4 01:55:37 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: I'm glad both of you like it. - Sun Oct  4 01:55:37 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: How long has it been since you had cake? - Sun Oct  4 01:59:02 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: A few years... - Sun Oct  4 01:59:02 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Wow... - Sun Oct  4 01:59:53 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: I usually go eat frequently. With the money I earn. - Sun Oct  4 02:00:44 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: It's actually one of the only things I used to look forward to. - Sun Oct  4 02:00:44 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: After each pay check. - Sun Oct  4 02:00:44 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: You spend your paycheck on cake? - Sun Oct  4 02:00:44 2015
<br><br><font color=teal>*Tokisaki, Chiharu(Cheesy Cakey) says: I don't spend my paycheck on anything. - Sun Oct  4 02:00:44 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: I spend my paycheck on food. - Sun Oct  4 02:00:44 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: If I spent it always on cake.. - Sun Oct  4 02:01:36 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: I'd be pretty fat. - Sun Oct  4 02:01:36 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: ..... - Sun Oct  4 02:02:27 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: . . . - Sun Oct  4 02:03:18 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Anyways... - Sun Oct  4 02:03:18 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: What ... happened, if you don't mind me asking, Misa? - Sun Oct  4 02:04:09 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: Right.. - Sun Oct  4 02:05:00 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: ........ - Sun Oct  4 02:10:08 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: It's not your fault. - Sun Oct  4 02:10:08 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Yeah. - Sun Oct  4 02:15:15 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Go rest. - Sun Oct  4 02:16:06 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: I'm going to head to the Private Exams. - Sun Oct  4 02:16:06 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: Oh...That sounds good. - Sun Oct  4 02:16:06 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: I'll use a spare katana. - Sun Oct  4 02:16:06 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Chiharu, you stay here and be safe. - Sun Oct  4 02:16:06 2015
<br><br><font color=teal>*Tokisaki, Chiharu(Cheesy Cakey) says: You sure you'll be alright...? - Sun Oct  4 02:16:06 2015
<br><br><font color=teal>*Tokisaki, Chiharu(Cheesy Cakey) says: Can't we go together..? - Sun Oct  4 02:16:06 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: .... - Sun Oct  4 02:16:57 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Let's go together, then. - Sun Oct  4 02:16:57 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: I don't mind. - Sun Oct  4 02:16:57 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: . . . - Sun Oct  4 02:17:48 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: I would say the same to you.  - Sun Oct  4 02:18:40 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: ..... - Sun Oct  4 02:18:40 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) thinks: I have made a huge mistake.... - Sun Oct  4 02:18:40 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) thinks: I'm not interested in blood today.. though it seems others are. Hm.. - Sun Oct  4 02:18:40 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) thinks: My heart's beating from pure anxiety. Never been in anything like this. But, this might put me above other genin for sure. - Sun Oct  4 02:21:13 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) thinks: The only person here I recognize is Sabo. And the others don't seem much easier. - Sun Oct  4 02:21:13 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Dunno. - Sun Oct  4 02:22:04 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) thinks: ....The competition appears strong. We'll see who prevails. - Sun Oct  4 02:22:04 2015
<br><br><font color=teal>*Rymei(X_Jake From State Farm_X) thinks: God Damn it Sabo... - Sun Oct  4 02:22:56 2015
<br><br><font color=teal>*Haruna(ZenoKuthric) says: Hello. - Sun Oct  4 02:22:56 2015
<br><br><font color=teal>*Haruna(ZenoKuthric) says: I want to explain the rules of this examination promptly. - Sun Oct  4 02:22:56 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: .... - Sun Oct  4 02:22:56 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: .... - Sun Oct  4 02:23:47 2015
<br><br><font color=teal>*Tokisaki, Chiharu(Cheesy Cakey) thinks: .......... - Sun Oct  4 02:23:47 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) thinks: Heh. - Sun Oct  4 02:23:47 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) thinks: This is the proctor? - Sun Oct  4 02:23:47 2015
<br><br><font color=teal>*Haruna(ZenoKuthric) says: So.... - Sun Oct  4 02:23:47 2015
<br><br><font color=teal>*Haruna(ZenoKuthric) says: First, let's go through why you're competing. - Sun Oct  4 02:23:47 2015
<br><br><font color=teal>*Haruna(ZenoKuthric) says: A Private is a recognized official of the Gezo. - Sun Oct  4 02:23:47 2015
<br><br><font color=teal>*Haruna(ZenoKuthric) says: You get special benefits from being a Private. - Sun Oct  4 02:23:47 2015
<br><br><font color=teal>*Haruna(ZenoKuthric) says: Including a salary raise. - Sun Oct  4 02:23:47 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) thinks: SHE GOT UP LIKE SHE DIDN'T JUST TRIP! - Sun Oct  4 02:23:47 2015
<br><br><font color=teal>*Haruna(ZenoKuthric) says: You also get to buy weapons from the Land of Iron. - Sun Oct  4 02:24:38 2015
<br><br><font color=teal>*Haruna(ZenoKuthric) says: To win. - Sun Oct  4 02:24:38 2015
<br><br><font color=teal>*Haruna(ZenoKuthric) says: You must be the last one standing. - Sun Oct  4 02:24:38 2015
<br><br><font color=teal>*Haruna(ZenoKuthric) says: Simple. - Sun Oct  4 02:24:38 2015
<br><br><font color=teal>*Rymei(X_Jake From State Farm_X) thinks: Edge pays me in Di-.... - Sun Oct  4 02:24:38 2015
<br><br><font color=teal>*Haruna(ZenoKuthric) says: If you are knocked out, you will be escorted out of the premises. - Sun Oct  4 02:24:38 2015
<br><br><font color=teal>*Haruna(ZenoKuthric) says: If you are killed. - Sun Oct  4 02:24:38 2015
<br><br><font color=teal>*Haruna(ZenoKuthric) says: You will not be escorted out of the premises. - Sun Oct  4 02:24:38 2015
<br><br><font color=teal>*Haruna(ZenoKuthric) says: Whether or not you die. - Sun Oct  4 02:25:29 2015
<br><br><font color=teal>*Haruna(ZenoKuthric) says: Is up to the person you fight. - Sun Oct  4 02:25:29 2015
<br><br><font color=teal>*Haruna(ZenoKuthric) says: This will be done in tournament style. - Sun Oct  4 02:25:29 2015
<br><br><font color=teal>*Haruna(ZenoKuthric) says: One person is apparently here as a "weapon". - Sun Oct  4 02:25:29 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: What if we surrender? - Sun Oct  4 02:25:29 2015
<br><br><font color=teal>*Haruna(ZenoKuthric) says: If you surrender. - Sun Oct  4 02:25:29 2015
<br><br><font color=teal>*Haruna(ZenoKuthric) says: If the opponent denies your surrender. - Sun Oct  4 02:25:29 2015
<br><br><font color=teal>*Haruna(ZenoKuthric) says: They are free to kill you. - Sun Oct  4 02:25:29 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: ..... - Sun Oct  4 02:25:29 2015
<br><br><font color=teal>*Haruna(ZenoKuthric) says: Oh wait. - Sun Oct  4 02:25:29 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) thinks: I like this game... - Sun Oct  4 02:25:29 2015
<br><br><font color=teal>*Haruna(ZenoKuthric) says: A last minute contender. - Sun Oct  4 02:26:20 2015
<br><br><font color=teal>*Haruna(ZenoKuthric) says: Congratulations.  - Sun Oct  4 02:26:20 2015
<br><br><font color=teal>*Haruna(ZenoKuthric) says: In this tournament setup, you won't have a match until the next round. - Sun Oct  4 02:26:20 2015
<br><br><font color=teal>*Haruna(ZenoKuthric) says: I will excuse you guys two at a time. - Sun Oct  4 02:26:20 2015
<br><br><font color=teal>*Aiyana(PrisonerOfWar) thinks: That gives me time... - Sun Oct  4 02:26:20 2015
<br><br><font color=teal>*Haruna(ZenoKuthric) says: You will move to a different area of the grotto and fight. - Sun Oct  4 02:26:20 2015
<br><br><font color=teal>*Haruna(ZenoKuthric) says: When you win, you have free roam. - Sun Oct  4 02:26:20 2015
<br><br><font color=teal>*Haruna(ZenoKuthric) says: You can go fight anyone you want. - Sun Oct  4 02:27:12 2015
<br><br><font color=teal>*Aiyana(PrisonerOfWar) thinks: Dam it... - Sun Oct  4 02:27:12 2015
<br><br><font color=teal>*Haruna(ZenoKuthric) says: The first match is going to be. - Sun Oct  4 02:27:12 2015
<br><br><font color=teal>*Haruna(ZenoKuthric) says: Koji. - Sun Oct  4 02:27:12 2015
<br><br><font color=teal>*Haruna(ZenoKuthric) says: And Mamoru. - Sun Oct  4 02:27:12 2015
<br><br><font color=teal>*Haruna(ZenoKuthric) says: Go ahead and enter the grotto. - Sun Oct  4 02:27:12 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: So. - Sun Oct  4 02:28:03 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Good luck. - Sun Oct  4 02:28:03 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: I don't want to kill you. - Sun Oct  4 02:28:03 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: same to you.. - Sun Oct  4 02:28:54 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: We'll fight here. - Sun Oct  4 02:28:54 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: That's fine. - Sun Oct  4 02:31:28 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Let's have an honorable matcch. - Sun Oct  4 02:31:28 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: I'm from Kumogakure. - Sun Oct  4 02:31:28 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: My name is Masayoshi, Mamoru. - Sun Oct  4 02:31:28 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Im a new genin of Suna. Nice to meet you Masayoshi. Iam Koji Hakuma. - Sun Oct  4 02:32:19 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Koji. - Sun Oct  4 02:32:19 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Then. - Sun Oct  4 02:32:19 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Let us begin. - Sun Oct  4 02:32:19 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) thinks: Let's see what my opponent is capable of. - Sun Oct  4 02:39:08 2015
<br><br><font color=teal>*Tokisaki, Chiharu(Cheesy Cakey) whispers: Right. - Sun Oct  4 03:02:11 2015
<br><br><font color=teal>*Tokisaki, Chiharu(Cheesy Cakey) whispers: (Wot should we go with attack-wise.) - Sun Oct  4 03:03:02 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) whispers: (what can you do again?) - Sun Oct  4 03:03:02 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) whispers: (XD.) - Sun Oct  4 03:03:02 2015
<br><br><font color=teal>*Tokisaki, Chiharu(Cheesy Cakey) whispers: (I have dynamic entry, leaf whirlwind and can transform into a katana. that's it.) - Sun Oct  4 03:03:02 2015
<br><br><font color=teal>*Tokisaki, Chiharu(Cheesy Cakey) whispers: (;-;) - Sun Oct  4 03:03:02 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) whispers: (I'll swing you at his legs, use leaf whirlwind.) - Sun Oct  4 03:03:53 2015
<br><br><font color=teal>*Tokisaki, Chiharu(Cheesy Cakey) whispers: (It's a low kick as a feign then a high kick attack...idk if it'd apply to this situation) - Sun Oct  4 03:05:36 2015
<br><br><font color=teal>*Tokisaki, Chiharu(Cheesy Cakey) whispers: (feint*) - Sun Oct  4 03:05:36 2015
<br><br><font color=teal>*Tokisaki, Chiharu(Cheesy Cakey) thinks: He should give up while he's still conscious.. - Sun Oct  4 03:20:06 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) thinks: I'm glad  to have joined this exam. I know see how much further I need to go. - Sun Oct  4 03:22:40 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Kunai drop* - Sun Oct  4 03:33:45 2015
<br><br><font color=yellow>*Tokisaki, Chiharu(Cheesy Cakey) remained very alert of the opponent, even though he just proclaimed that he surrendered. She'd remain silent in katana form.* - Sun Oct  4 03:34:36 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Sorry, I couldn't be more of a challenge to you Masayoshi. - Sun Oct  4 03:36:19 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: It's fine. - Sun Oct  4 03:38:01 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: You'll grow stronger. - Sun Oct  4 03:38:52 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: And next time we meet and fight. - Sun Oct  4 03:38:52 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: We'll be fighting -together- and instead of against each other. - Sun Oct  4 03:38:52 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: .... - Sun Oct  4 04:06:11 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: ............. - Sun Oct  4 04:13:00 2015
<br><br><font color=teal>*Rymei(X_Jake From State Farm_X) says: Proctor...Come claim this deformed girl. - Sun Oct  4 04:14:43 2015
<br><br><font color=teal>*Aiyana(PrisonerOfWar) thinks: Dam you Ushinawa... - Sun Oct  4 04:14:43 2015
<br><br><font color=teal>*Rymei(X_Jake From State Farm_X) thinks: Lets go Sabo... - Sun Oct  4 04:16:25 2015
<br><br><font color=teal>*Rymei(X_Jake From State Farm_X) thinks: That took less energy than I expected... - Sun Oct  4 04:18:08 2015
<br><br><font color=teal>*Tokisaki, Chiharu(Cheesy Cakey) whispers: I'm a little eager to quit. - Sun Oct  4 04:26:40 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) whispers: Same. - Sun Oct  4 04:29:13 2015
<br><br><font color=teal>*Tokisaki, Chiharu(Cheesy Cakey) whispers: Don't they have the opportunity to kill us if we surrender? - Sun Oct  4 04:29:13 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) whispers: Possibly. - Sun Oct  4 04:30:04 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) thinks: That Suitengu boy is powerful. - Sun Oct  4 04:34:20 2015
<br><br><font color=teal>*Rymei(X_Jake From State Farm_X) thinks: I'll find you again Sabo....even if it takes me another five years.... - Sun Oct  4 04:48:00 2015
<br><br><font color=teal>*Rymei(X_Jake From State Farm_X) says: Final shinobi....Surrender now or prepa- - Sun Oct  4 04:48:00 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: I'm good. - Sun Oct  4 04:48:00 2015
<br><br><font color=teal>*Tokisaki, Chiharu(Cheesy Cakey) whispers: (I find it amusing that I'm stronger than Rymei's katana xDD) - Sun Oct  4 04:49:42 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: I'm so tired.... - Sun Oct  4 04:49:42 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: I'm also disappointed we lost. - Sun Oct  4 04:49:42 2015
<br><br><font color=yellow>*Tokisaki, Chiharu(Cheesy Cakey) remained in katana form. Her blade was drenched in dried blood.

"Well. We managed to beat one person. Wipe me off please... I don't want to stain my clothes with blood if I revert..."* - Sun Oct  4 04:52:16 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: Well. - Sun Oct  4 04:52:16 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: One is better than none. - Sun Oct  4 04:53:07 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: I presume it wasn't the traditional Gezo exam then. - Sun Oct  4 04:53:07 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: Today was a good day, Eh? - Sun Oct  4 04:54:49 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: It wasn't a traditional one. - Sun Oct  4 04:55:40 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: A girl named Rymei was very troublesome. - Sun Oct  4 04:55:40 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: ----- - Sun Oct  4 04:56:32 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: Rymei? - Sun Oct  4 04:56:32 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: Oh... - Sun Oct  4 04:56:32 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: Interesting. - Sun Oct  4 04:56:32 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: Never heard of them. - Sun Oct  4 04:56:32 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: Tell me about them. - Sun Oct  4 04:56:32 2015
<br><br><font color=teal>*Storm(Sisbro55) says: You are fucking gay. - Sun Oct  4 05:01:39 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: ! - Mon Oct  5 01:43:15 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Hey Chiharu. - Mon Oct  5 01:43:15 2015
<br><br><font color=teal>*Tokisaki, Chiharu(Cheesy Cakey) says: Hey Mamrou. - Mon Oct  5 01:43:15 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: Hi - Mon Oct  5 01:43:15 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: Come sit. - Mon Oct  5 01:43:15 2015
<br><br><font color=teal>*Tokisaki, Chiharu(Cheesy Cakey) says: Hm...? - Mon Oct  5 01:43:15 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: It's Heiwa.. - Mon Oct  5 01:43:15 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Nice to meet you Heiwa. - Mon Oct  5 01:44:06 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: I wanted to get some treatmen for my injuries. And.... - Mon Oct  5 01:44:57 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: I never met Heiwa before... - Mon Oct  5 01:44:57 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: Oh okay. Your jaw right? - Mon Oct  5 01:45:48 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: What happpened to his jaw? - Mon Oct  5 01:45:48 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: He was injured by...what's his name... - Mon Oct  5 01:46:40 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: Tatsuji? - Mon Oct  5 01:46:40 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: I don' - Mon Oct  5 01:46:40 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: don - Mon Oct  5 01:46:40 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: don't* recall his name. - Mon Oct  5 01:46:40 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: ..Tetsujin? - Mon Oct  5 01:47:31 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: That sounds right... - Mon Oct  5 01:47:31 2015
<br><br><font color=yellow>*Tokisaki, Chiharu(Cheesy Cakey) leaned against the wall some space behind Mamoru.

