<br><font color=teal>*Index(Jjking217) says: Lord Kazekage. - Fri Oct 30 23:08:48 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: What? - Fri Oct 30 23:13:55 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Hey gramps did you but my order in? - Fri Oct 30 23:14:46 2015
<br><br><font color=teal>*Index(Jjking217) says: You said earlier you were going to handle the situation regarding Saeza's death, Right? - Fri Oct 30 23:14:46 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Yeah. - Fri Oct 30 23:14:46 2015
<br><br><font color=teal>*Index(Jjking217) says: I know you hate this request, But I'd like to tell you what happened, But I'd rather do it away from the interjection of peers. - Fri Oct 30 23:15:37 2015
<br><br><font color=teal>*Index(Jjking217) says: I don't care if you tell them later. - Fri Oct 30 23:15:37 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: .... - Fri Oct 30 23:16:28 2015
<br><br><font color=teal>*Kilm(Vysasi) says: I want to tag along, I was told of what happened personally. - Fri Oct 30 23:16:28 2015
<br><br><font color=teal>*Index(Jjking217) says: It isn't my place to ask, But I feel the need to. - Fri Oct 30 23:16:28 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Or rather,I would like to tag along. - Fri Oct 30 23:16:28 2015
<br><br><font color=teal>*Index(Jjking217) says: Kilm, If you weren't there, Your information isn't the the most reliable. If I was a cop, I wouldn't even interrogate you. - Fri Oct 30 23:17:20 2015
<br><br><font color=teal>*Index(Jjking217) says: I appreciate it though. - Fri Oct 30 23:17:20 2015
<br><br><font color=teal>*Kilm(Vysasi) says: No,I just want to hear more about it. - Fri Oct 30 23:17:20 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Not give information. - Fri Oct 30 23:17:20 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Because, I was told of what happened. - Fri Oct 30 23:17:20 2015
<br><br><font color=teal>*Kilm(Vysasi) says: By you know who. - Fri Oct 30 23:17:20 2015
<br><br><font color=teal>*Index(Jjking217) says: I'll tell you myself. - Fri Oct 30 23:17:20 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Alright. - Fri Oct 30 23:17:20 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Hi Index. - Fri Oct 30 23:18:11 2015
<br><br><font color=teal>*Index(Jjking217) says: Hey, Nina. - Fri Oct 30 23:19:02 2015
<br><br><font color=teal>*Nina(Ninasky115) says: I've been getting better, you know. - Fri Oct 30 23:20:44 2015
<br><br><font color=teal>*Index(Jjking217) says: That's good. - Fri Oct 30 23:22:27 2015
<br><br><font color=teal>*Index(Jjking217) says: Up for some catching up? - Fri Oct 30 23:22:27 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Sure thing. - Fri Oct 30 23:22:27 2015
<br><br><font color=teal>*Index(Jjking217) says: You hungry? - Fri Oct 30 23:22:27 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Not really. - Fri Oct 30 23:23:18 2015
<br><br><font color=teal>*Index(Jjking217) says: I would ask you to grab a drink, But you don't look hardly the drinking age. - Fri Oct 30 23:23:18 2015
<br><br><font color=teal>*Index(Jjking217) says: But, I do plan on getting me something to eat, So even if you don't intend to, care to tag along so we can talk? - Fri Oct 30 23:23:18 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Mhm, sure. - Fri Oct 30 23:25:00 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: .... - Fri Oct 30 23:25:00 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Would tag along but it seems private. Have fun you two. - Fri Oct 30 23:25:00 2015
<br><br><font color=teal>*Index(Jjking217) says: Not neccessarily private. - Fri Oct 30 23:25:52 2015
<br><br><font color=teal>*Index(Jjking217) says: But one student to another. - Fri Oct 30 23:25:52 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) thinks: .. . Borin'. - Fri Oct 30 23:48:03 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Who penetrating Tets?? -omit- - Fri Oct 30 23:52:19 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: This line though. - Fri Oct 30 23:54:52 2015
<br><br><font color=teal>*Ryomen(Punkamainia) says: Yeah, haha. - Fri Oct 30 23:55:44 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: Hm, I might go back to bed. - Fri Oct 30 23:56:35 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: Hassen, any missions? - Fri Oct 30 23:56:35 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Enjoy your day then Ai - Fri Oct 30 23:56:35 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: I will..Just need to sleep a little, ya know? - Fri Oct 30 23:57:26 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: I understand - Fri Oct 30 23:58:17 2015
<br><br><font color=teal>*Zole(-The Creepy SoulHunter-) says: Yo ! - Thu Nov  5 11:29:55 2015
<br><br><font color=teal>*Zole(-The Creepy SoulHunter-) says: I Don't care. - Thu Nov  5 20:01:55 2015
<br><br><font color=teal>*Zole(-The Creepy SoulHunter-) says: I want to be the one who will kill her. - Thu Nov  5 20:01:55 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Gramps sent his right hand man to go kill her. - Thu Nov  5 20:01:55 2015
<br><br><font color=teal>*Zole(-The Creepy SoulHunter-) says: Or atleast see her dead with my two eyes. - Thu Nov  5 20:01:55 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Knowing Master Yan there might not be a body. - Thu Nov  5 20:01:55 2015
<br><br><font color=teal>*Zole(-The Creepy SoulHunter-) says: . . . - Thu Nov  5 20:02:46 2015
<br><br><font color=teal>*Zole(-The Creepy SoulHunter-) says: Why did she have to kill him . . - Thu Nov  5 20:02:46 2015
<br><br><font color=teal>*Zole(-The Creepy SoulHunter-) says: He was my . . family . .  - Thu Nov  5 20:02:46 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Ohhh...I seee....wow...I do not know .....I know this might not be much put we can be your famail the Hassan Tribe. - Thu Nov  5 20:05:20 2015
<br><br><font color=teal>*Zole(-The Creepy SoulHunter-) says: You don't get it. - Thu Nov  5 20:06:11 2015
<br><br><font color=teal>*Zole(-The Creepy SoulHunter-) says: He was my brother. - Thu Nov  5 20:06:11 2015
<br><br><font color=teal>*Zole(-The Creepy SoulHunter-) says: We are brothers by blood . . I didn't even live him that much - Thu Nov  5 20:07:02 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Hmmm I see I think I'd feel the same way if something Happend to ayone in my family so I understand. - Thu Nov  5 20:07:53 2015
<br><br><font color=teal>*Zole(-The Creepy SoulHunter-) says: Yea. - Thu Nov  5 20:10:27 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: So...Like what can you do? - Thu Nov  5 20:10:27 2015
<br><br><font color=teal>*Zole(-The Creepy SoulHunter-) says: Nothing but two water jutsu. - Thu Nov  5 20:11:18 2015
<br><br><font color=teal>*Zole(-The Creepy SoulHunter-) says: I can preform lightning jutsus aswell. - Thu Nov  5 20:12:09 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Water huh........Umm youll have to see Yan to learn water justu. - Thu Nov  5 20:12:09 2015
<br><br><font color=teal>*Zole(-The Creepy SoulHunter-) says: But I was never taught any. - Thu Nov  5 20:12:09 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Oh really now your talking. - Thu Nov  5 20:12:09 2015
<br><br><font color=teal>*Zole(-The Creepy SoulHunter-) says: Who is Yan again ? - Thu Nov  5 20:12:09 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: He is a blond haird guy with red amour and a big scroll like mine on his back. - Thu Nov  5 20:13:00 2015
<br><br><font color=teal>*Zole(-The Creepy SoulHunter-) says: I see. - Thu Nov  5 20:13:00 2015
<br><br><font color=teal>*Zole(-The Creepy SoulHunter-) says: What is the use of that scroll ? - Thu Nov  5 20:13:52 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Yan's I have no ideal ...ANd as for Mine ........Lets just say its a surpise. - Thu Nov  5 20:17:16 2015
<br><br><font color=teal>*Zole(-The Creepy SoulHunter-) says: I see. - Thu Nov  5 20:17:16 2015
<br><br><font color=teal>*Zole(-The Creepy SoulHunter-) says: What kind of surprise ? - Thu Nov  5 20:18:08 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Ummmmm..One no human can survie or I'd like to think. - Thu Nov  5 20:18:08 2015
<br><br><font color=teal>*Zole(-The Creepy SoulHunter-) says: You can summon monsters with it ? - Thu Nov  5 20:18:59 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Uh....Yeah you can say that. - Thu Nov  5 20:18:59 2015
<br><br><font color=teal>*Zole(-The Creepy SoulHunter-) says: What kind of monster ? - Thu Nov  5 20:18:59 2015
<br><br><font color=teal>*Zole(-The Creepy SoulHunter-) says: Raccoon like . . . Kilm's summoning ? - Thu Nov  5 20:18:59 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Oh noooo even though those were cool. - Thu Nov  5 20:19:50 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: You sure ask a ton of questions. - Thu Nov  5 20:19:50 2015
<br><br><font color=teal>*Zole(-The Creepy SoulHunter-) says: Trying to forget about his death . . - Thu Nov  5 20:20:41 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Well then what lightnign justu do you know? - Thu Nov  5 20:20:41 2015
<br><br><font color=teal>*Zole(-The Creepy SoulHunter-) says: Nothing. - Thu Nov  5 20:20:41 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Hmm lets step out side I'll show you something. - Thu Nov  5 20:23:15 2015
<br><br><font color=teal>*Zole(-The Creepy SoulHunter-) says: Okay - Thu Nov  5 20:23:15 2015
<br><br><font color=yellow>*Zole(-The Creepy SoulHunter-) Goes outside the shop through the door, waiting for Trilliam to comes outside.
* - Thu Nov  5 20:24:06 2015
<br><br><font color=teal>*Zole(-The Creepy SoulHunter-) says: I probably forgot to tell you my name. - Thu Nov  5 20:24:57 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Follow me. - Thu Nov  5 20:24:57 2015
<br><br><font color=teal>*Zole(-The Creepy SoulHunter-) says: I am Zole. - Thu Nov  5 20:24:57 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: You told  me. - Thu Nov  5 20:24:57 2015
<br><br><font color=teal>*Zole(-The Creepy SoulHunter-) says: oh i see. - Thu Nov  5 20:24:57 2015
<br><br><font color=teal>*Zole(-The Creepy SoulHunter-) says: Okay  ? - Thu Nov  5 20:24:57 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Now watch. - Thu Nov  5 20:25:48 2015
<br><br><font color=teal>*Zole(-The Creepy SoulHunter-) says: Okaaay. - Thu Nov  5 20:25:48 2015
<br><br><font color=teal>*Zole(-The Creepy SoulHunter-) says: That was amazing. - Thu Nov  5 20:34:20 2015
<br><br><font color=teal>*Zole(-The Creepy SoulHunter-) says: But yea, I can't do that. - Thu Nov  5 20:34:20 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Yeah you can. - Thu Nov  5 20:36:03 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Its a lightnign justu. - Thu Nov  5 20:36:03 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Quite Simple actaully. - Thu Nov  5 20:36:03 2015
<br><br><font color=yellow>*Zole(-The Creepy SoulHunter-) grabs the scroll " Okaay "* - Thu Nov  5 20:37:45 2015
<br><br><font color=yellow>*Zole(-The Creepy SoulHunter-) As he grabbed the scroll, he opened it, as he then finds out its the lightning jutsu Trilliam just did " Oh, I see. Amazing " He said, then he started to looked at the scroll. Zole was a hardworker, he even liked reading scrolls and learning the jutsus from them, for him learning from a scroll was way more easier than learning it from someone, anyway he started to read the scroll and but ever line he finish, he gets more information about the jutsu " I see " He said once again, as he was reading the scroll line after line to get all the important stuff he needs to preform the jutsu, at first he learned the needed handseals for the jutsu.* - Thu Nov  5 20:41:10 2015
<br><br><font color=yellow>*Zole(-The Creepy SoulHunter-) Ofcourse he didn't learn all about the jutsu from his first time reading the scroll, all he knew about the jutsu is that its a low ranked jutsu that can be strong enough if trained well, and he also learned its handseals, but that isn't enough to preform and excute a jutsu. He started to read the scroll further, to understand more about the jutsu nature and the lightning element nature aswell, this jutsu was his first lightning jutsu after all, so reading this scroll while concentrating was all he can do, after further reading, he was able to know what kind of chakra he needs to preform that jutsu, and the amount of chakra used not to fuck up the jutsu.* - Thu Nov  5 20:45:26 2015
<br><br><font color=yellow>*Zole(-The Creepy SoulHunter-) Even though he loved reading, and having a reason to train even harder than before, he didn't know how to preform that jutsu just yet, knowing the chakra needed or the amount needed to preform the jutsu wasn't the only key to preform a jutsu, not even the handseals, he had some little experience with jutsus after all so learning that jutsu wasn't that easy for him, beside this lightning jutsu is his first lightning jutsu ever, anyway he focused back on reading the scroll focusing all his senses on the scroll " Okay . . I am getting it now " He said in a low voice not to break his concentration, from his reading to the scroll he got more information about the jutsu that is needed to preform the jutsu.* - Thu Nov  5 20:48:00 2015
<br><br><font color=teal>*Zole(-The Creepy SoulHunter-) says: Okay. - Thu Nov  5 20:48:51 2015
<br><br><font color=yellow>*Zole(-The Creepy SoulHunter-) He put the scroll aside him on the ground, as he nods to Trilliam, he was going to try preforming the jutsu, he learned some stuff about the jutsu from the scroll, so he was going to put his reading and his experience into a small test to see if he can preform the jutsu or even create a small lightning ball, he took his hands and preformed the needed handseals for the jutsu then he put his left hand infront of him concentrating the chakra into that hand, the lightning chakra that he had was concentrated in that arm, a small lightning ball was formed on that arm few seconds later that ball started to fade away " Shit .. .. I was about to do it ! " He said to him self, then he gave a high sigh as he grabbed the scroll and started to read it once again.* - Thu Nov  5 20:51:24 2015
<br><br><font color=yellow>*Zole(-The Creepy SoulHunter-) After failing at preforming and excuting the jutsu at first, he grabbed the scroll once again, and started to re-read it all-over, he started to read it again to make sure he didn't miss any part of the jutsu, he already knew the handseals, and the chakra type needed, the chakra amount needed, he only missed in fusing his chakra and concentrating his chakra for more, he didnt stop reading the scroll, he kept reading it till he finally finished the scroll " Okay . . lets try this again " he said to himself, he got up off the ground cleaning the dust of his pants " Okay " he said, then he took his training pose, then he preformed the handseals needed to preform the jutsu " okay for the hard part " He puts out his left hand once again forward, ifront of his body concentrating his lightning chakra in that arm, creating a small lightning chakra ball " okay okay . . keep calm and focus you chakra " he said to him self, as he focuses his chakra more and more making the chakra ball even bigger " okay I am doing well " he said to him self, then he looked at the mountain and rushed toward it with his left hand forward " Lightning ball JUTSU ! " He shouted, as the lighting ball made contact with the mountain, it instantly exploded " YES ! . .  I did it ! I will show Trilliam " he said, then he took off to Trilliam Shop.* - Thu Nov  5 20:57:23 2015
<br><br><font color=yellow>*Zole(-The Creepy SoulHunter-) He entered the shop, with the scroll in his hand, then he looked at Trilliam " Okay . . I learned that jutsu and preformed it . . I even broke a part of the mountain just like you did " he said with a low tone, then he sat down and waited for Trilliam to talk.* - Thu Nov  5 20:59:05 2015
<br><br><font color=teal>*Ghost Kilm(Vysasi) says: Alright, I'm done. - Thu Nov  5 21:08:28 2015
<br><br><font color=teal>*Zole(-The Creepy SoulHunter-) says: What element is it ? - Thu Nov  5 21:08:28 2015
<br><br><font color=teal>*Ghost Kilm(Vysasi) says: He better not fail me. - Thu Nov  5 21:08:28 2015
<br><br><font color=teal>*Zole(-The Creepy SoulHunter-) says: Oh well . . I am going outside to do it. - Thu Nov  5 21:11:53 2015
<br><br><font color=yellow>*Zole(-The Creepy SoulHunter-) He took the scroll and tookoff leaving the house, to train the jutsu outside, learning this jutsu was hard and easy in the same time as he wasn't showed the jutsu or what it do, so he had to read the scroll without missing any word or sign, and it was easy becuase, he liked reading ofcourse. He started to read the scroll as he started to learn about the jutsu nature and what it does,it was just a D-Rank lightning jutsu, that surge chakra with a handseal that numbs people around the user for a bit more like stunning them.* - Thu Nov  5 21:14:27 2015
<br><br><font color=yellow>*Zole(-The Creepy SoulHunter-) After learning the basics of the jutsu and the usage of the jutsu, he started to read and learn how to preform the jutsu and the needed handseals for that jutsu, he started to remember his dead brother which actually broke his concentration on reading the scroll " Its not time for that . . I gotta train to become stronger for him ! " he said to himself, then he wiped the tears off his face, then he continued reading the scroll, from his further reading he learned the needed handseals for the jutsu " okay I kinda got it now " he said to him self as he continued reading the scroll.* - Thu Nov  5 21:17:00 2015
<br><br><font color=yellow>*Zole(-The Creepy SoulHunter-) He stood up and started to read the scroll further, with doing nothing but focusing on the words wrriten on the scroll, and the signs drawn on it aswell, He was learning more about the jutsu, he learned the needed hand seals for the jutsu " Okay I got this part, I fully understand it " He said to himself, as he also learns the chakra type needed for the jutsu, ofcourse it was lightning chakra ~Duuh. He also learned the chakra amount he needs to spent to make the jutsu stable and not to fuck it up and fucks up himself, after learning and studying all the stuff needed to preform the jutsu, he puts the scroll aside of him to try and preform the jutsu " Okay . . I will do it for you KILM ! " he shouted, then he preformed the needed handseal while concentrating on his lightning chakra " okay lets go " after preforming the handseal and excuting the jutsu the enviroment around him was starting to spark with lightning.* - Thu Nov  5 21:21:16 2015
<br><br><font color=teal>*Zole(-The Creepy SoulHunter-) says: Done. - Thu Nov  5 21:22:08 2015
<br><br><font color=teal>*Zole(-The Creepy SoulHunter-) says: I am going to leave you for some time, while I try and get some mastery over these jutsus. - Thu Nov  5 21:23:50 2015
<br><br><font color=yellow>*Zole(-The Creepy SoulHunter-) He told that to Trilliam as he tookoff leaving the shop through the door.* - Thu Nov  5 21:23:50 2015
<br><br><font color=teal>*Ghost Kilm(Vysasi) says: I dunno. Guess the contract has a ghost sign it too. - Thu Nov  5 21:25:32 2015
<br><br><font color=teal>*Ghost Kilm(Vysasi) says: This must be an A rank ghost raccoon. - Thu Nov  5 21:25:32 2015
<br><br><font color=teal>*Ghost Kilm(Vysasi) says: He'll replace Chopper till Chopper dies I guess. - Thu Nov  5 21:25:32 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Anything else you wish to pass on, Izanami~ - Thu Nov  5 21:26:24 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Nope.~ - Thu Nov  5 21:26:24 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Heh. - Thu Nov  5 21:28:57 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Tell me, how goes your Fire Shroud training? - Thu Nov  5 21:28:57 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Well - Thu Nov  5 21:29:48 2015
<br><br><font color=yellow>*Zole(-The Creepy SoulHunter-) Looks at the four -mfs- guys standing there " . . Fuck " He said to him self, then he tried to smile trying to greet them " . . . Hi . . guys "* - Thu Nov  5 21:29:48 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Hello! - Thu Nov  5 21:34:04 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Hi. - Thu Nov  5 21:34:04 2015
<br><br><font color=teal>*Zole(-The Creepy SoulHunter-) says: I worked on the jutsus you taught me, Trill - Thu Nov  5 22:17:36 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Want to give it a go, Trill? - Thu Nov  5 22:17:36 2015
<br><br><font color=teal>*Zole(-The Creepy SoulHunter-) says: Hello - Thu Nov  5 22:18:27 2015
<br><br><font color=teal>*Zole(-The Creepy SoulHunter-) says: What are you guys doing ? - Thu Nov  5 22:35:31 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Mhmm? - Thu Nov  5 22:35:31 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Nothing. - Thu Nov  5 22:36:22 2015
<br><br><font color=teal>*Zole(-The Creepy SoulHunter-) says: Your name was . . . - Thu Nov  5 22:38:56 2015
<br><br><font color=teal>*Zole(-The Creepy SoulHunter-) says: Uhmm . .  - Thu Nov  5 22:38:56 2015
<br><br><font color=teal>*Zole(-The Creepy SoulHunter-) says: Yup . . I forgot it. - Thu Nov  5 22:39:47 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Oh, it's Zole. - Thu Nov  5 22:41:29 2015
<br><br><font color=teal>*Zole(-The Creepy SoulHunter-) says: Umm . . Do I know you ? - Thu Nov  5 22:42:20 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Oh Ivel look zoel is here. - Thu Nov  5 22:42:20 2015
<br><br><font color=yellow>*Zole(-The Creepy SoulHunter-) dies
* - Thu Nov  5 22:42:20 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Looks like you to can duke it out after all. - Thu Nov  5 22:42:20 2015
<br><br><font color=yellow>*Zole(-The Creepy SoulHunter-) omit the dying BAKAS !
* - Thu Nov  5 22:42:20 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: zOLE. - Thu Nov  5 22:44:03 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Did you want to spar? - Thu Nov  5 22:44:03 2015
<br><br><font color=teal>*Zole(-The Creepy SoulHunter-) says: Why not. - Thu Nov  5 22:44:03 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Alright. - Thu Nov  5 22:44:54 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Take the first move! - Thu Nov  5 22:44:54 2015
<br><br><font color=teal>*Zole(-The Creepy SoulHunter-) thinks:  Who is he though . .  - Thu Nov  5 22:45:45 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Izanami, you showed me something cool. - Thu Nov  5 22:45:45 2015
<br><br><font color=teal>*Zole(-The Creepy SoulHunter-) says: Wait a second . . Who are you ? - Thu Nov  5 22:45:45 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: I'll show you something cool! - Thu Nov  5 22:45:45 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Ivel Vengosio Ryujin. - Thu Nov  5 22:45:45 2015
<br><br><font color=teal>*Zole(-The Creepy SoulHunter-) says: What cool stuff ? - Thu Nov  5 22:46:36 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Hm? - Thu Nov  5 22:46:36 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: You'll see! - Thu Nov  5 22:46:36 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) thinks: Man we need to get like a fam tree mad asap. - Thu Nov  5 22:47:28 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) thinks: Oh it's Marrisa..Guess she'll get to see the cool thing aswell! - Thu Nov  5 22:49:10 2015
<br><br><font color=yellow>*Zole(-The Creepy SoulHunter-) Since he was asked to have a sparring match, he couldn't say no, afterall he wanted to train to become as strong as his brother Kilm, he then looked at Lvel " Lets get this shit started " He said, then he started to rush toward him " Get ready, because here I come " He said, as he was running toward him, when he makes contact with him, he would move his hands backward, then give him a smile as he punch him aiming at his stomach, if he dodged the attack he would take few jumps backwards, then he would look at him waiting for him to make his move.* - Thu Nov  5 22:50:01 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) thinks: Hmmmm lets see who is better. - Thu Nov  5 22:52:35 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) thinks: Wow Zole is tall as hell can't belive i dint notice that. - Thu Nov  5 22:53:26 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) thinks: Gold flame? - Thu Nov  5 22:56:51 2015
<br><br><font color=teal>*Zole(-The Creepy SoulHunter-) says: SEXY FLAMES -omits- - Thu Nov  5 22:56:51 2015
<br><br><font color=yellow>*Zole(-The Creepy SoulHunter-) pulls a natsu and eats his flames " Yummy tasty flames " - omit -
* - Thu Nov  5 22:56:51 2015
<br><br><font color=teal>*Mana(Mirandawashere) thinks: Why is that fire golden? I may be a gold digger, but damn. - Thu Nov  5 22:57:42 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) thinks: How is that possible? - Thu Nov  5 23:01:07 2015
<br><br><font color=yellow>*Zole(-The Creepy SoulHunter-) As he was waiting to see what Lvel was going to do next, Lvel started to preform a strange fire jutsu, that Zole never saw before, he never saw a fire jutsu before anyway, so for him that jutsu was a surprise, the flames weren't even normal flames, it was golden, for him to see golden flames as the first fire jutsu for him, that was a surprise, he tried dodging the attack bying jumping backward, but he was too focused and amazed by his attack, he wasn't able to dodge the whole attack, but he was able not to get hit with it in the face. however, the attack did land a hit on his chest.

After getting hit by the flames, he looked at Lvel and started to smile ofcourse, he felt some pain " These flames bruh . . they were golden amazing. " He said, then he started to move his hands on his chest trying to put out the flames on his shirt, then he would sit on the ground " Okay, was that the cool stuff you wanted to show us, because that was cool "* - Thu Nov  5 23:02:49 2015
<br><br><font color=teal>*Zole(-The Creepy SoulHunter-) says: Golden lion. - Thu Nov  5 23:07:05 2015
<br><br><font color=teal>*Zole(-The Creepy SoulHunter-) says: Nice nickname. - Thu Nov  5 23:07:05 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: We can spar seriously if you want...I sort of just used you for my own stuff, hehe. - Thu Nov  5 23:08:48 2015
<br><br><font color=teal>*Zole(-The Creepy SoulHunter-) says: Yea, I see. - Thu Nov  5 23:08:48 2015
<br><br><font color=teal>*Mana(Mirandawashere) says: Golden figher, huh? - Thu Nov  5 23:09:39 2015
<br><br><font color=teal>*Zole(-The Creepy SoulHunter-) says: . . . - Thu Nov  5 23:11:21 2015
<br><br><font color=teal>*Zole(-The Creepy SoulHunter-) says: Who here knows who is the dude Kilm . . . used to train with ? - Thu Nov  5 23:12:12 2015
<br><br><font color=teal>*Ryujin, Marrisa(Roxinea) says: I used to tran with him - Thu Nov  5 23:14:46 2015
<br><br><font color=teal>*Ryujin, Marrisa(Roxinea) says: He also trained with Katsune - Thu Nov  5 23:14:46 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: And Tor-tata - Thu Nov  5 23:14:46 2015
<br><br><font color=teal>*Zole(-The Creepy SoulHunter-) says: Don't mention her name . .  - Thu Nov  5 23:17:20 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: With Yan being sent after her she's good  as dead so let that grudge go. - Thu Nov  5 23:18:11 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: It's only hurting your heart. - Thu Nov  5 23:18:11 2015
<br><br><font color=teal>*Zole(-The Creepy SoulHunter-) says: Yea. - Thu Nov  5 23:20:44 2015
<br><br><font color=teal>*Zole(-The Creepy SoulHunter-) says: I am leaving . . do you need anything ? - Thu Nov  5 23:20:44 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Nope. - Thu Nov  5 23:21:36 2015
<br><br><font color=teal>*Zole(-The Creepy SoulHunter-) says: DON'T RAPE ME PLEASE ! - Thu Nov  5 23:34:24 2015
<br><br><font color=teal>*Zole(-The Creepy SoulHunter-) says: Hi . . again. - Thu Nov  5 23:34:24 2015
<br><br><font color=teal>*Ryujin, Marrisa(Roxinea) says: Ask him for a mission when he has a momnet. ne respectful, and paicient - Thu Nov  5 23:34:24 2015
<br><br><font color=teal>*Zole(-The Creepy SoulHunter-) says: He is sleeping, I guess. - Thu Nov  5 23:35:15 2015
<br><br><font color=teal>*Zole(-The Creepy SoulHunter-) says: So . . . I am waiting. - Thu Nov  5 23:35:15 2015
<br><br><font color=teal>*Zole(-The Creepy SoulHunter-) says: Noow what . .. - Thu Nov  5 23:40:22 2015
<br><br><font color=yellow>*Zole(-The Creepy SoulHunter-) Looks at the girl standing behind him " Are you dead ? "* - Thu Nov  5 23:48:03 2015
<br><br><font color=teal>*Mana(Mirandawashere) says: No. - Thu Nov  5 23:49:45 2015
<br><br><font color=teal>*Zole(-The Creepy SoulHunter-) says: Talk ? - Thu Nov  5 23:52:19 2015
