<br><font color=teal>*Kyubishu(Dillion13) says: You've got to be kidding me. - Sun Nov  1 21:50:17 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: ... - Tue Nov  3 12:46:43 2015
<br><br><font color=teal>*Lera(Bailey42) says: ... - Tue Nov  3 13:52:25 2015
<br><br><font color=teal>*Lera(Bailey42) says: What...the heck happened... - Tue Nov  3 13:52:25 2015
<br><br><font color=teal>*Lera(Bailey42) says: I go away for just a little while...and all hell breaks loose. - Tue Nov  3 13:54:08 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: Thats what I said... - Tue Nov  3 13:54:08 2015
<br><br><font color=teal>*Lera(Bailey42) says: ....Kirie better not have been inside when whatever happened happened.... - Tue Nov  3 13:54:59 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: .... - Tue Nov  3 13:55:50 2015
<br><br><font color=teal>*Lera(Bailey42) thinks: I am NOT ready to be Mizukage yet... - Tue Nov  3 13:57:32 2015
<br><br><font color=teal>*Lera(Bailey42) thinks: Screw that... - Tue Nov  3 13:57:32 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: If we don't find her in the scraps, and she doesn't show up soon. Then, there no reason to assume shes still alive. - Tue Nov  3 13:58:24 2015
<br><br><font color=teal>*Lera(Bailey42) says: ..... - Tue Nov  3 13:58:24 2015
<br><br><font color=teal>*Lera(Bailey42) thinks: I need to retrieve the blades then... - Tue Nov  3 13:59:15 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: I wanted to say I'm happy you're back lera... and thank god how you saved me... but then this shit happens. - Tue Nov  3 14:00:06 2015
<br><br><font color=teal>*Lera(Bailey42) says: Saved you? - Tue Nov  3 14:00:06 2015
<br><br><font color=teal>*Lera(Bailey42) says: When did I save you? - Tue Nov  3 14:00:06 2015
<br><br><font color=yellow>*Jirun Lanzi(JoJoSpirals) looks to her, and shakes his head. "You don't want to know."* - Tue Nov  3 14:00:57 2015
<br><br><font color=teal>*Lera(Bailey42) says: ... - Tue Nov  3 14:01:48 2015
<br><br><font color=teal>*Lera(Bailey42) says: I think I do. - Tue Nov  3 14:01:48 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: No...no you don't. - Tue Nov  3 14:01:48 2015
<br><br><font color=teal>*Lera(Bailey42) says: I really do. - Tue Nov  3 14:01:48 2015
<br><br><font color=yellow>*Jirun Lanzi(JoJoSpirals) looks to Lera with lifeless eyes. "NO.."* - Tue Nov  3 14:01:48 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: Anyways... Lera, if you decide to leave the village again. I have one request... take Violet with you. - Tue Nov  3 14:04:22 2015
<br><br><font color=teal>*Lera(Bailey42) says: If I leave then I will - Tue Nov  3 14:04:22 2015
<br><br><font color=teal>*Lera(Bailey42) says: I won't leave her behind... - Tue Nov  3 14:04:22 2015
<br><br><font color=teal>*Lera(Bailey42) says: Sadly...I intended to take over for Kirie when she eventually stepped down...I wasn't expecting this.. - Tue Nov  3 14:05:13 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: You're actually going to take that suicidal seat. - Tue Nov  3 14:05:13 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) thinks: God shes not ready for this... and thank god shes not going to leave Violet. - Tue Nov  3 14:05:13 2015
<br><br><font color=teal>*Lera(Bailey42) says: I don't know - Tue Nov  3 14:06:04 2015
<br><br><font color=teal>*Lera(Bailey42) says: I'm not ready, not even in the slightest. - Tue Nov  3 14:06:04 2015
<br><br><font color=teal>*Lera(Bailey42) says: *sigh* - Tue Nov  3 14:06:04 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: You aren't. - Tue Nov  3 14:06:56 2015
<br><br><font color=teal>*Lera(Bailey42) says: Hah...thanks for the vote in confidence. - Tue Nov  3 14:07:47 2015
<br><br><font color=teal>*Lera(Bailey42) says: Perhaps...Kirigakure would be better off if we moved the villagers..for the time being. - Tue Nov  3 14:07:47 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: You welcome, I always be here to give the truth. - Tue Nov  3 14:07:47 2015
<br><br><font color=teal>*Lera(Bailey42) says: Sad to say, we don't have the forces to protect it. - Tue Nov  3 14:07:47 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: Well, I mean... to be fair. I don't think theres much you can do to protect from a giant snake. - Tue Nov  3 14:10:20 2015
<br><br><font color=teal>*Lera(Bailey42) says: ... - Tue Nov  3 14:15:28 2015
<br><br><font color=teal>*Lera(Bailey42) says: A giant snake huh... - Tue Nov  3 14:15:28 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: I wondered how the other villages will take it. When they here that Kirigakure got messed up again.  - Tue Nov  3 14:17:10 2015
<br><br><font color=teal>*Lera(Bailey42) says: Most likely...they won't do much... - Tue Nov  3 14:17:10 2015
<br><br><font color=teal>*Lera(Bailey42) says: I may go see my father, see what help he can offer...but he has his hands full with Sunagakure. - Tue Nov  3 14:18:01 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: Wait... your father is in Sunagakure? - Tue Nov  3 14:18:52 2015
<br><br><font color=teal>*Lera(Bailey42) says: My father is the kazekage. - Tue Nov  3 14:20:35 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: ... - Tue Nov  3 14:24:00 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: Well, that was a shocker. - Tue Nov  3 14:24:00 2015
<br><br><font color=teal>*Lera(Bailey42) says: You didn't know that? - Tue Nov  3 14:24:51 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: First no... and two what does your father look like? - Tue Nov  3 14:25:42 2015
<br><br><font color=teal>*Lera(Bailey42) says: Muhammed, Hassan - Tue Nov  3 14:25:42 2015
<br><br><font color=teal>*Lera(Bailey42) says: You don't know him? - Tue Nov  3 14:25:42 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: Oh I know him... He was the guy that kicked me out of the village.... also, hes ancient. When did he have you? - Tue Nov  3 14:26:33 2015
<br><br><font color=teal>*Lera(Bailey42) says: He's not my biological father. Adoptive - Tue Nov  3 14:26:33 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: Oh... oh okay that makes a lot more sense now. - Tue Nov  3 14:28:16 2015
<br><br><font color=teal>*Lera(Bailey42) says: Mhm... - Tue Nov  3 14:29:07 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: Hmm... well I know and was taught a little by the adoptive daughter of the Kazekage... and I was also kicked out by the Kazekage. Meh, my life feels a bit more notable now. - Tue Nov  3 14:29:58 2015
<br><br><font color=teal>*Lera(Bailey42) says: ...I taught you? I don't remembe. - Tue Nov  3 14:29:58 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: Yeah, you taught me some jutsus when we first met. - Tue Nov  3 14:33:23 2015
<br><br><font color=teal>*Lera(Bailey42) says: I see... - Tue Nov  3 14:34:14 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: It was while you were dating... Oh.. forgot don't mention him. - Tue Nov  3 14:34:14 2015
<br><br><font color=teal>*Lera(Bailey42) says: *sigh* I'm not that sensitive. - Tue Nov  3 14:35:05 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: Well, anyways.... yeah. Well, I mean do you really want to stay in Kirigakure when you could be with Hassan. - Tue Nov  3 14:37:39 2015
<br><br><font color=teal>*Lera(Bailey42) says: Kirigakure is my home - Tue Nov  3 14:38:30 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: ...Well its your choice.  - Tue Nov  3 14:53:00 2015
<br><br><font color=teal>*Lera(Bailey42) says: Yeah - Tue Nov  3 14:54:43 2015
<br><br><font color=teal>*Kana(Zoey-Lover) says: Well doesn't this place seem utterly destroyed. - Tue Nov  3 15:39:56 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: Yep... its not utterly destroyed - Tue Nov  3 15:43:21 2015
<br><br><font color=teal>*Kana(Zoey-Lover) says: What happened? - Tue Nov  3 15:44:12 2015
<br><br><font color=teal>*Kana(Zoey-Lover) says: ...? - Tue Nov  3 15:48:28 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: Giant snake came through... mizukage mansion blew u. - Tue Nov  3 15:50:11 2015
<br><br><font color=teal>*Kana(Zoey-Lover) says: Stress. - Tue Nov  3 15:50:11 2015
<br><br><font color=teal>*Kana(Zoey-Lover) says: Where's Kirie? - Tue Nov  3 15:51:02 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: Dead apparently... - Tue Nov  3 15:51:02 2015
<br><br><font color=teal>*Kana(Zoey-Lover) says: She died? - Tue Nov  3 15:52:44 2015
<br><br><font color=teal>*Kana(Zoey-Lover) says: That's an impact on Kirigakure. - Tue Nov  3 15:52:44 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: I know... - Tue Nov  3 15:53:36 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Who's gonna take over for her? - Tue Nov  3 15:58:43 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: Nobody who is smart. - Tue Nov  3 16:00:25 2015
<br><br><font color=teal>*Kana(Zoey-Lover) thinks: It's nnot my time yet, they're not ready for me. I'll let them have a few years. - Tue Nov  3 16:01:16 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) thinks: Never let red hed over there and white haired boy become Mizukage. - Tue Nov  3 16:02:08 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: I has to me my love Lera.. - Tue Nov  3 16:02:08 2015
<br><br><font color=yellow>*Jirun Lanzi(JoJoSpirals) looks over to Violet shaking his head.* - Tue Nov  3 16:02:59 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: But... maybe we should give in to Hassan... he can helpwith the rebuilding of Kirigakure and be under his protection if w care about kirigakure that much - Tue Nov  3 16:09:48 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: Give in to Hassan? - Tue Nov  3 16:20:54 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: Its a suggestion - Tue Nov  3 16:22:36 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: I just haven't heard about that. - Tue Nov  3 16:26:01 2015
<br><br><font color=teal>*Kana(Zoey-Lover) thinks: I'm better of moving to Sunagakure. - Tue Nov  3 16:27:44 2015
<br><br><font color=teal>*Kana(Zoey-Lover) thinks: Tch . . Sanoke told me to send a report, might as well do that now. - Tue Nov  3 16:28:35 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: Wait.... there was no body at the mansion building... - Tue Nov  3 16:37:07 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) thinks: Then where is it? - Tue Nov  3 16:37:07 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: .... - Tue Nov  3 16:42:14 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: Miss are you knew? - Tue Nov  3 16:43:05 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: new* - Tue Nov  3 16:43:56 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: M-Momura.. - Tue Nov  3 16:45:39 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: Momura, are you aware of our situation? - Tue Nov  3 16:46:30 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: S-Situation..? - Tue Nov  3 16:46:30 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: What do you m-mean..? - Tue Nov  3 16:46:30 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: We are a damaged village with no leader - Tue Nov  3 16:48:12 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: H-Huh..? - Tue Nov  3 16:48:12 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: B-But Mizukage-Senpai. - Tue Nov  3 16:48:12 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: She's the l-leader. - Tue Nov  3 16:49:04 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: She is believed to be dead - Tue Nov  3 16:49:04 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: S-S-She is..? - Tue Nov  3 16:49:04 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: But the correct term would be missing in action - Tue Nov  3 16:49:55 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: W-What happened..? - Tue Nov  3 16:50:46 2015
<br><br><font color=yellow>*Jirun Lanzi(JoJoSpirals) is laid about on the bench, arms folded behind his head resting on the arm rest of the bench. His legs kicked out over the edge. He remains completely silent only over hearing... a little what happened from villagers.* - Wed Nov  4 13:54:33 2015
<br><br><font color=teal>*Lera(Bailey42) says: s.... - Wed Nov  4 13:55:24 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: ...Who are you? - Fri Nov  6 02:34:27 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: U-Um. - Fri Nov  6 02:34:27 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: W-We're Shinobi. - Fri Nov  6 02:34:27 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: Of K-Kirigakure. - Fri Nov  6 02:34:27 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: Y-Yea.. - Fri Nov  6 02:34:27 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: H-Haven't you s-seen us..a-around? - Fri Nov  6 02:34:27 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: ... Uh... mind flashing your headbands. - Fri Nov  6 02:35:18 2015
<br><br><font color=yellow>*Jirun Lanzi(JoJoSpirals) stares at Momura's for a moment just to check for any inconsitincies... like blood. Before he turns his head to Ari, waiting for him to display his.* - Fri Nov  6 02:36:09 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: Well...why are you guys here? Haven't you heard the news? - Fri Nov  6 02:37:52 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: A-About M-Mizukage-Senpai..? - Fri Nov  6 02:37:52 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: A-And the a-attacks? - Fri Nov  6 02:37:52 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: W-We've decided t-to stay here..A-And m-make sure k-kirigakure stays in o-one piece.. - Fri Nov  6 02:37:52 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: . . . . . . . - Fri Nov  6 02:38:43 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: M-Mhmm.... - Fri Nov  6 02:38:43 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: <God...why are they stuttering.> Hahaha...okay, good luck to you with that. Ask the previous dead Mizukages, on how well that worked for them. - Fri Nov  6 02:38:43 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: ... - Fri Nov  6 02:38:43 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: D-Don't talk like that.. - Fri Nov  6 02:39:34 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: . . . . . . . . - Fri Nov  6 02:39:34 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: Don't talk like what? The truth... can you two fight off guys that can make you disappear in an instant. Or , are you guys strong enough to produce chakra visible to the human eyes... because the Mizukage that could do that died protecting the village. - Fri Nov  6 02:41:16 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: . . . . . . . . . - Fri Nov  6 02:42:08 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: ... - Fri Nov  6 02:42:08 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: Mmmmmm..... - Fri Nov  6 02:42:08 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: W-We can't do that... - Fri Nov  6 02:42:08 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: Yeah... go to Sunagakure before you two die. I'm sure theres still a few caravans willing to take you. If you don't have the cash I'll pay for you. - Fri Nov  6 02:42:59 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: . . . . - Fri Nov  6 02:42:59 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: B-But what about you sir? - Fri Nov  6 02:42:59 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: B-But I can't..l-live there.. - Fri Nov  6 02:43:50 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: I've got a death wish. Anyways, why can't you live there? - Fri Nov  6 02:46:24 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: U-Uhm.. - Fri Nov  6 02:47:15 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: It's to hot..And sandy.. - Fri Nov  6 02:47:15 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: N-No water or..G-Good planting areas.. - Fri Nov  6 02:47:15 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: . . . . - Fri Nov  6 02:48:57 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: ... - Fri Nov  6 02:50:40 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: Theres water, a big lake actually. Another thing is theres plenty of plants <Cacti but not like it matters at the moment.> - Fri Nov  6 02:50:40 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: I-I was told it's a bad place for c-crops.. - Fri Nov  6 02:50:40 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: How do you think they get their food? - Fri Nov  6 02:54:04 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: W-What do you think? - Fri Nov  6 02:54:56 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: I-I..... - Fri Nov  6 02:54:56 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: Mmm.... - Fri Nov  6 02:54:56 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: O-Okay I g-guess. - Fri Nov  6 02:54:56 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: A-Alright.. - Fri Nov  6 02:55:47 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: Lets get you kids over to the caravans. - Fri Nov  6 02:56:38 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: D-Did we leave anything at the h-house? - Fri Nov  6 02:57:29 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: Man..why am I even calling you kids? I feel so old already. - Fri Nov  6 02:57:29 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: I-I'm fourteen.. - Fri Nov  6 02:59:12 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: . . . - Fri Nov  6 02:59:12 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: I-I can go look. - Fri Nov  6 02:59:12 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: To see if we missed a-anything... - Fri Nov  6 02:59:12 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: B-But I don't think we did. - Fri Nov  6 02:59:12 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: I d-don't think we did either.. - Fri Nov  6 02:59:12 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: L-Let's just go.. - Fri Nov  6 03:00:03 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: A-Alright. - Fri Nov  6 03:00:03 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: Look, go to your house... say good bye forever. Get your stuff. Then, head to the academy front gates. I'll pay for your tickets there. - Fri Nov  6 03:00:03 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: You guys all prepared? - Fri Nov  6 03:01:45 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: Y-Yea. - Fri Nov  6 03:01:45 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: W-Why aren't you c-coming? - Fri Nov  6 03:02:36 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: I already ran from this village, and I was rejected from every place I went to. I'm just destined to live and die in this place. - Fri Nov  6 03:03:28 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: W-Well uhm.. - Fri Nov  6 03:03:28 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: W-We're gonna come back soon. - Fri Nov  6 03:03:28 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: And u-uhm.. - Fri Nov  6 03:03:28 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: H-Hanai'll b-be k-kage and s-stuff.. - Fri Nov  6 03:04:19 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: A-Alright? - Fri Nov  6 03:04:19 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: You want to be kage? - Fri Nov  6 03:04:19 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: N-No, h-he does one day. - Fri Nov  6 03:04:19 2015
<br><br><font color=yellow>*Jirun Lanzi(JoJoSpirals) hands them both two stacks of cash. One large enough to pay for their transport tickets, and the other amount enough to keep them fed for a long time. He lets out a yawn. "That should do."* - Fri Nov  6 03:06:01 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: W-Wow... - Fri Nov  6 03:06:52 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: T-Thanks.. - Fri Nov  6 03:06:52 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: Don't thank me. I just have no need for cash. - Fri Nov  6 03:06:52 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: A-Alright..uhm.. - Fri Nov  6 03:06:52 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: B-Bye. - Fri Nov  6 03:07:44 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: L-Let's go. - Fri Nov  6 03:07:44 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: See'ya - Fri Nov  6 03:07:44 2015
<br><br><font color=yellow>*Jirun Lanzi(JoJoSpirals) stands by silently only offering them the one word of farewell. His hands folding into his pockets, as the similiar aged teens go off on their own to Sunagkure. His bank feeling a lot less now, after giving them both so much money. His frown going across his face watching them disappear, showed a part of his own inner anger. His mind yelling at him that they shouldn't have to run away from their own town. Then, his head shaking off the unsatsfying fate of letting the village fall to pieces...again.

He then brought a hand back up to scratch his head. "I need something to eat."* - Fri Nov  6 03:12:51 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: More of you people... I swear - Fri Nov  6 14:26:08 2015
<br><br><font color=teal>*Rahm(Sentaryu) says: Hmmm? - Fri Nov  6 14:28:41 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: Don't yall know to go head to Sunagakure? - Fri Nov  6 14:29:32 2015
<br><br><font color=teal>*Rahm(Sentaryu) says: What? - Fri Nov  6 14:31:15 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: Kirigakure has lost all its leadership ranks. The only place safe now is Sunagakure, which is open for all Kirigakure ninja. - Fri Nov  6 14:33:48 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: What the... Who are you? - Fri Nov  6 16:04:16 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: Hm? - Fri Nov  6 16:04:16 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: Who...are... you? - Fri Nov  6 16:05:07 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: I am Jehan. The new Mizukage here. - Fri Nov  6 16:05:07 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: ...Well, I see someone actually had a death wish. - Fri Nov  6 16:05:07 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: Welp, if you need me. I'll be sleeping on the bench like always. - Fri Nov  6 16:05:58 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: A Death wish? - Fri Nov  6 16:06:49 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: I'm fourteen and have already lived long enough to watch... lets count one..two..three..four... Four, kages go through the job. - Fri Nov  6 16:07:40 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: Heh. Well hopefully I won't kick the bucket before I can improve Kirigakure.  - Fri Nov  6 16:08:32 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: My money is on the doubtful side, no offense. - Fri Nov  6 16:08:32 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: I already have made sure Ortho won't come back, and I personally funded the rebuild of the village. - Fri Nov  6 16:08:32 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: Get rid of edge and the next guy that plans to wipe out of the village and kill you for whatever pathetic reason he may have. And, your chances will improve greatly. - Fri Nov  6 16:10:14 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: Oh? - Fri Nov  6 16:11:05 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: Have a bit more faith will you. - Fri Nov  6 16:11:05 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: I've been through every village, and because of that. I'll say my faith is dead. - Fri Nov  6 16:11:56 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: Regardless, may I ask your name? - Fri Nov  6 16:11:56 2015
<br><br><font color=yellow>*Jirun Lanzi(JoJoSpirals) walks over to the bench, kicking his feet out over it. "Jirun." His feet raised up hanging off the furhter arm rest, as his arms fold behind his head to use as a nice rest.* - Fri Nov  6 16:12:48 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: I see. I assume I can count on you from now on? - Fri Nov  6 16:12:48 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: Ha, I'm the weakest person in the village besides that one white haired kid. - Fri Nov  6 16:13:39 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: You'd be surprised what weak people can do. - Fri Nov  6 16:14:30 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: Plus, I simply need to know who I can rely on. - Fri Nov  6 16:14:30 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: Oh, well I ran pretty fast when the Mizukage started glowing blue and someone disappeared from existance. Which, when I saw them again their legs were  destroyed for the rest of their lives. - Fri Nov  6 16:15:21 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: And? - Fri Nov  6 16:16:12 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: What does that have to do with what I said. - Fri Nov  6 16:16:12 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: I'm normally pretty slow. I think I could cleared my high school record. - Fri Nov  6 16:17:04 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: That's  good. - Fri Nov  6 16:17:04 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: But regardless. - Fri Nov  6 16:17:55 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: That's not what I asked. - Fri Nov  6 16:17:55 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: I want to know if you'll do missions, and follow orders. - Fri Nov  6 16:17:55 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: Yep, just throw in my lap. I'm good at catching strays, guiding foreigners, and clearing rubble. - Fri Nov  6 16:18:46 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: Hm. Fine. - Fri Nov  6 16:18:46 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: If that's what you want, that's what I'll give you. - Fri Nov  6 16:19:37 2015
