<br><font color=teal>*Hokuma, Mirai(Rakkatta) says: I have been eager to get here. - Mon Oct  5 12:14:43 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: I assure you unless you've been living under a rock, you would have heard. - Tue Oct  6 03:05:36 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Mhmm? My bad, ehehe. Had another objective gramps. - Tue Oct  6 03:06:27 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: We've built this place up from greatness, this is the new Sunagakure. - Tue Oct  6 03:06:27 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Mhmm... - Tue Oct  6 03:06:27 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: I can see that. - Tue Oct  6 03:06:27 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: What was your objective? - Tue Oct  6 03:07:18 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Can't speak of it here. - Tue Oct  6 03:07:18 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Why is that? - Tue Oct  6 03:07:18 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Its...complicated. - Tue Oct  6 03:07:18 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: We're all smart people. - Tue Oct  6 03:07:18 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: No one but us are around. - Tue Oct  6 03:08:09 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Mhmm.. Doesn't matter. - Tue Oct  6 03:08:09 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: You can't trust your own village members? - Tue Oct  6 03:08:09 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Tetsumi has been through alot...sir. - Tue Oct  6 03:09:00 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: I've been through more. - Tue Oct  6 03:09:00 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I have no doubt. - Tue Oct  6 03:09:00 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: If this trust will be like the last, I wouldn't confine it with all of these people. - Tue Oct  6 03:09:00 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: If he breaks down from what has happened to him, then I made a mistake somewhere along the line. - Tue Oct  6 03:09:00 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Break down? Ehehe. - Tue Oct  6 03:09:52 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Are you sleeping anymore? - Tue Oct  6 03:09:52 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: No. That's nothing but a dream now.  - Tue Oct  6 03:10:43 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Haven't slept in...can't remember. - Tue Oct  6 03:10:43 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) thinks: Then again..it felt like i doozed off a bit after the event.. - Tue Oct  6 03:11:34 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: I bet. - Tue Oct  6 03:11:34 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Mhmm.. What are you getting at, Hassan? - Tue Oct  6 03:12:25 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: What am I getting at? - Tue Oct  6 03:14:08 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Wait so he does not sleep wow thats sorta cool. - Tue Oct  6 03:14:08 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: ....Its not. You'd never be able to imagine it. - Tue Oct  6 03:14:08 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: I'm getting at the fact that you need to put your headband on and gear up. - Tue Oct  6 03:14:59 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Yes. It's a phenomenon call Indomanica. It's not cool. - Tue Oct  6 03:14:59 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: It's pretty bad - Tue Oct  6 03:14:59 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Heh...G'otcha. - Tue Oct  6 03:15:50 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Indomancia sounds like the name of a spicy food. - Tue Oct  6 03:16:41 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Hmmmm. Ill just get a tatto seems easier. - Tue Oct  6 03:31:12 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: You could do that. - Tue Oct  6 03:31:12 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Mhmm.. I g'otcha. - Tue Oct  6 03:31:12 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Jiki, you could just have it carved into your goard. - Tue Oct  6 03:31:12 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: It'd be the ame thing. - Tue Oct  6 03:32:03 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I thought you were going to spar that girl.. - Tue Oct  6 03:32:03 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Mhmm.. Guess i'll -Oh yeah... - Tue Oct  6 03:32:03 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: That... - Tue Oct  6 03:32:03 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: You two still up for the spar? - Tue Oct  6 03:32:03 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Yeah. - Tue Oct  6 03:32:03 2015
<br><br><font color=teal>*Katsune(Shimizu3598) thinks: -- Ya know. I should think before I speak. - Tue Oct  6 03:32:54 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Mhmm..Guess its only you. - Tue Oct  6 03:32:54 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Where would you prefer we do this? - Tue Oct  6 03:33:45 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Mhmm...Guess the arena? Its up to you. - Tue Oct  6 03:33:45 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Anyone else? - Tue Oct  6 03:34:36 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Arena's small...but it'll work. - Tue Oct  6 03:34:36 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Yeah. - Tue Oct  6 03:34:36 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) thinks: I'm definitely going to watch. - Tue Oct  6 03:35:28 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Mhmm... Since its you two.. Err... Let's find some place with a bit more space? - Tue Oct  6 03:35:28 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Ehehe. - Tue Oct  6 03:35:28 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: I see. - Tue Oct  6 03:35:28 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: <*Has dropped scroll for Hassan to read*> - Tue Oct  6 03:38:52 2015
<br><br><font color=teal>*Lera(Bailey42) says: *reads scroll* - Tue Oct  6 03:39:44 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Quiet. - Tue Oct  6 03:41:26 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: What you been up to, Lera? - Tue Oct  6 03:41:26 2015
<br><br><font color=teal>*Lera(Bailey42) says: Same old - Tue Oct  6 03:42:17 2015
<br><br><font color=teal>*Lera(Bailey42) says: Training - Tue Oct  6 03:42:17 2015
<br><br><font color=teal>*Lera(Bailey42) says: Learning how to fly - Tue Oct  6 03:42:17 2015
<br><br><font color=teal>*Lera(Bailey42) says: The usual - Tue Oct  6 03:42:17 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: How to fly. . ? - Tue Oct  6 03:42:17 2015
<br><br><font color=teal>*Lera(Bailey42) says: Yeah, I'm getting the hang of it. - Tue Oct  6 03:43:08 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: How does one fly? - Tue Oct  6 03:43:08 2015
<br><br><font color=teal>*Lera(Bailey42) says: My little secret~ - Tue Oct  6 03:46:33 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: ... - Tue Oct  6 03:46:33 2015
<br><br><font color=teal>*Lera(Bailey42) says: But its not hard. - Tue Oct  6 03:46:33 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Nifty technique. - Tue Oct  6 03:48:16 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Hrm .. I need to work on my own ace.. - Tue Oct  6 03:48:16 2015
<br><br><font color=teal>*Lera(Bailey42) says: Nah, this isn't my ace. I'm gonna come up with something big for that. - Tue Oct  6 03:48:16 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Cool trick - Tue Oct  6 03:49:07 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Well. A traademark move, then. - Tue Oct  6 03:49:07 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: I need some shit that will dazzle the crowd. - Tue Oct  6 03:49:07 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: He is not here - Tue Oct  6 04:04:28 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: I see. - Tue Oct  6 04:05:20 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: Well. - Tue Oct  6 04:05:20 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: When you see him... - Tue Oct  6 04:05:20 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: Tell him that an old friend wanted to see him. - Tue Oct  6 04:05:20 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Sure - Tue Oct  6 04:05:20 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: Thank you. - Tue Oct  6 04:05:20 2015
<br><br><font color=teal>*Alastor(LordxPatrick) says: Anyone seen Seisuke Sensei...? - Tue Oct  6 04:10:27 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: You guys have been quiet all day. - Tue Oct  6 04:51:24 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Huh? - Tue Oct  6 04:52:16 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: *cough* - Tue Oct  6 04:59:05 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Hi everyone.~ - Tue Oct  6 04:59:05 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I'm looking for a spar. - Tue Oct  6 05:01:39 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Who's down? - Tue Oct  6 05:01:39 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Huh? - Tue Oct  6 05:01:39 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Uh..guess I am! - Tue Oct  6 05:01:39 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Let's go. - Tue Oct  6 05:02:30 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Yo, yo. - Tue Oct  6 05:17:00 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Ya seen Yan around? - Tue Oct  6 05:17:00 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Gonna beat him up. - Tue Oct  6 05:17:00 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Guess not. - Tue Oct  6 05:19:34 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: SOrry just got beat by Tetsu. - Tue Oct  6 05:21:16 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: THe power gap is distubring. - Tue Oct  6 05:21:16 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: What. . ? - Tue Oct  6 05:21:16 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Yan lost to that guy? - Tue Oct  6 05:22:08 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Yan watched. - Tue Oct  6 05:22:08 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: me and that chick fought nothing we did afected him, - Tue Oct  6 05:22:08 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Any idea where he is? -- Oh. Was it a team effort? - Tue Oct  6 05:22:08 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: He... none of my justu were effective. - Tue Oct  6 05:22:59 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Nope he disspaered after the chick got cought in a coffin of black sand. - Tue Oct  6 05:22:59 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: Anyway. - Tue Oct  6 18:51:05 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: You up for it Taiga? - Tue Oct  6 18:51:05 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: Or maybe you are Sanoke? - Tue Oct  6 18:51:56 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: Anyone will do really. - Tue Oct  6 18:51:56 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Huh. .? - Tue Oct  6 18:53:39 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: Long story short, fight me. - Tue Oct  6 18:53:39 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: I can battle for a bit, I guess. Got something else on the agenda, though. - Tue Oct  6 18:54:30 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) thinks: Let's see how Tetsu performs with his injury. - Tue Oct  6 18:57:55 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Hey, Yan. - Tue Oct  6 18:59:37 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Hm/ - Tue Oct  6 18:59:37 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Do you sell jutsu scrolls? - Tue Oct  6 18:59:37 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Do I sell jutsu scrolls...? - Tue Oct  6 19:00:28 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Like, for money. - Tue Oct  6 19:00:28 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: No. - Tue Oct  6 19:00:28 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: I see. - Tue Oct  6 19:00:28 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Didn't know people did that... - Tue Oct  6 19:00:28 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I don't have much need for money anyways; I have enough to be comfortable. - Tue Oct  6 19:00:28 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Some do. I wouldn't but I like to take advantage when other people do. - Tue Oct  6 19:00:28 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Yo, Yan . . . I think we can make a good deal if you follow me . . . I've considered that offer. - Tue Oct  6 19:01:20 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Want to discuss it privately. - Tue Oct  6 19:01:20 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Sure, sure. - Tue Oct  6 19:02:11 2015
<br><br><font color=teal>*Katsune(Shimizu3598) thinks: In a world of shinobi, strangers always ignore common sense and try to touch you randomly. I think I will lose my mind some day. - Tue Oct  6 19:08:09 2015
<br><br><font color=teal>*Kilm(Vysasi) thinks: Mmm . . . Work has been cut out for me now. - Tue Oct  6 19:15:50 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: He has a point. - Tue Oct  6 19:15:50 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: Hm, hold up. - Tue Oct  6 19:17:32 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: How about I help Tetsu to make it fair? - Tue Oct  6 19:17:32 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Which jutsu did I give you again? - Tue Oct  6 19:18:24 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: You're wounded Tetsu. - Tue Oct  6 19:18:24 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: Do you enjoy pain or something? - Tue Oct  6 19:18:24 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: Alright then. . - Tue Oct  6 19:19:15 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Earth Flash. - Tue Oct  6 19:19:15 2015
<br><br><font color=teal>*Kilm(Vysasi) says: What element jutsu would you like to learn right now? - Tue Oct  6 19:19:15 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Hmm do you have any more lightning if not earth willl do..Question what are all the elements you can use? - Tue Oct  6 19:20:57 2015
<br><br><font color=teal>*Kilm(Vysasi) says: No more lightning but I got earth jutsu. - Tue Oct  6 19:20:57 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Welp earth it is. - Tue Oct  6 19:21:48 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Subterranean Voyage good enough? - Tue Oct  6 19:21:48 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Never herd of it. - Tue Oct  6 19:25:13 2015
<br><br><font color=teal>*Ai(Sennalove) says: ...? - Wed Oct  7 04:55:15 2015
<br><br><font color=teal>*Ai(Sennalove) says: I'm assuming the old man went to bed.. - Wed Oct  7 05:03:47 2015
<br><br><font color=teal>*Ai(Sennalove) thinks: I'll take with him later. - Wed Oct  7 05:15:44 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: You don't even care? That is typical. - Wed Oct  7 05:17:26 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: I have no time for this right now... - Wed Oct  7 05:18:17 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Like you had no time to help Flexus. - Wed Oct  7 05:18:17 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) thinks: Who?... - Wed Oct  7 05:18:17 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: You stupid coward. - Wed Oct  7 05:19:08 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: You are part of the problem with this shinobi world. Indifference. - Wed Oct  7 05:19:08 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: My past self must of caused you trouble as well. - Wed Oct  7 05:19:08 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Sorry for whatever happend. - Wed Oct  7 05:19:08 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: ...... - Wed Oct  7 05:19:08 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Rice cakes anyone? - Wed Oct  7 05:19:08 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) thinks: Even for the coward Fujitora was, he is acting so weird. - Wed Oct  7 05:20:00 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: ... - Wed Oct  7 05:20:00 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: Mmm? - Wed Oct  7 05:20:00 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: ------ - Wed Oct  7 05:20:51 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: .... - Wed Oct  7 05:20:51 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) thinks: I've made much profit today.. But this must of been the Yan fellow she mentioned ..Hm..Wonder what I ran from.. - Wed Oct  7 05:20:51 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: Yan. - Wed Oct  7 05:20:51 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Hm? - Wed Oct  7 05:21:42 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: Baen says.. and I quote.. "Tell him I killed Flexus, bwah-hah-hah". - Wed Oct  7 05:21:42 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Excuse me Ms.Shinobi...would you like to buy some rice cakes and sushi plates? - Wed Oct  7 05:21:42 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Yet he's scared to come face me. - Wed Oct  7 05:22:33 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Don't talk like that to my dad. - Wed Oct  7 05:22:33 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: AMirai - Wed Oct  7 05:22:33 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: A grown shinobi. - Wed Oct  7 05:22:33 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: @* - Wed Oct  7 05:22:33 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: You have no idea what happened. - Wed Oct  7 05:22:33 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Izanami, it is true. I am sorry. - Wed Oct  7 05:22:33 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: I hear he is fighting Tetsujin. - Wed Oct  7 05:22:33 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: You weren't even there - Wed Oct  7 05:22:33 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: He told me himself. - Wed Oct  7 05:22:33 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: Mm.. - Wed Oct  7 05:22:33 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: And now he's acting as though he doesn't even remember. - Wed Oct  7 05:22:33 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: We couldn't do anything!  - Wed Oct  7 05:22:33 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: That's the truth! - Wed Oct  7 05:22:33 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: If he doesn't remember, he doesn't remember. - Wed Oct  7 05:23:24 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I don't accept that. - Wed Oct  7 05:23:24 2015
<br><br><font color=teal>*Reguel(Psychic_Warrior) says: ....... - Wed Oct  7 05:23:24 2015
<br><br><font color=teal>*Reguel(Psychic_Warrior) says: What are you all talking about? - Wed Oct  7 05:23:24 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: I'm not going to sit here and let you call my dad stupid, or a coward! - Wed Oct  7 05:23:24 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Because he isn't! - Wed Oct  7 05:23:24 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Meat pies anyone? - Wed Oct  7 05:23:24 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: .... - Wed Oct  7 05:23:24 2015
<br><br><font color=teal>*Reguel(Psychic_Warrior) says: I'll take a meat pie. - Wed Oct  7 05:23:24 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: Meat Pie?... - Wed Oct  7 05:23:24 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: 30 Yen! - Wed Oct  7 05:23:24 2015
<br><br><font color=teal>*Reguel(Psychic_Warrior) says: Thirty yen? - Wed Oct  7 05:24:16 2015
<br><br><font color=teal>*Reguel(Psychic_Warrior) says: That's criminal. - Wed Oct  7 05:24:16 2015
<br><br><font color=teal>*Reguel(Psychic_Warrior) says: I'm almost stealing it from you. - Wed Oct  7 05:24:16 2015
<br><br><font color=teal>*Reguel(Psychic_Warrior) says: I'll pay. - Wed Oct  7 05:24:16 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: For a 20 pounder? - Wed Oct  7 05:24:16 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: How much will twenty million buy? - omit - Wed Oct  7 05:24:16 2015
<br><br><font color=teal>*Reguel(Psychic_Warrior) says: You got yourself a deal sir. - Wed Oct  7 05:24:16 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: ... - Wed Oct  7 05:24:16 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Nice business! - Wed Oct  7 05:24:16 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Izanami, I don't mean to offend you. - Wed Oct  7 05:24:16 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: What is a Meat Pie? - Wed Oct  7 05:24:16 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I do not respect the man, but as I respect you, I won't say it anymore. - Wed Oct  7 05:24:16 2015
<br><br><font color=teal>*Reguel(Psychic_Warrior) says: It's heavy. - Wed Oct  7 05:25:07 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: ... - Wed Oct  7 05:25:07 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Baen is the man I truly blame and he will face me one day. - Wed Oct  7 05:25:07 2015
<br><br><font color=teal>*Reguel(Psychic_Warrior) says: ...... - Wed Oct  7 05:25:07 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: A pie stuffed of meat. - Wed Oct  7 05:25:07 2015
<br><br><font color=teal>*Reguel(Psychic_Warrior) says: What's the news? - Wed Oct  7 05:26:49 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) thinks: ...Maybe this isn't the world I thought it was. I do not see anyone that cares about other people. - Wed Oct  7 05:26:49 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Deez nuts. - Wed Oct  7 05:26:49 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) thinks: Ah.. I recognize her.. - Wed Oct  7 05:27:40 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: The Mizukage..? - Wed Oct  7 05:28:32 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: ... Hn. - Wed Oct  7 05:28:32 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Who killed her? - Wed Oct  7 05:28:32 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: ... - Wed Oct  7 05:28:32 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: ... - Wed Oct  7 05:28:32 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: Edge.. - Wed Oct  7 05:28:32 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: Is dead? - Wed Oct  7 05:28:32 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Edge is dead? - Wed Oct  7 05:28:32 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Who's Edge? - Wed Oct  7 05:29:23 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Sounds like an Edgy feller.. - Wed Oct  7 05:29:23 2015
<br><br><font color=teal>*Reguel(Psychic_Warrior) says: . . . . - Wed Oct  7 05:30:14 2015
<br><br><font color=teal>*Alastor(LordxPatrick) says: ... - Wed Oct  7 05:30:14 2015
<br><br><font color=teal>*Alastor(LordxPatrick) thinks: Fucking hell...No... - Wed Oct  7 05:30:14 2015
<br><br><font color=teal>*Alastor(LordxPatrick) says: ... - Wed Oct  7 05:31:05 2015
<br><br><font color=teal>*Alastor(LordxPatrick) thinks: Savage. - Wed Oct  7 05:31:05 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Fuji-Hana special! Wanna live ..On Edge?" Try my new Empress Plate! Contains sliced and Diced meats, asian corn, sliced bell pepers and rice so pure it cleans the soul.. - Wed Oct  7 05:31:05 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Omg dad shutup - Wed Oct  7 05:31:05 2015
<br><br><font color=teal>*Reguel(Psychic_Warrior) says: ..... - Wed Oct  7 05:31:56 2015
<br><br><font color=teal>*Reguel(Psychic_Warrior) says: It's a turtle. - Wed Oct  7 05:31:56 2015
<br><br><font color=teal>*Reguel(Psychic_Warrior) says: And he can walk. - Wed Oct  7 05:31:56 2015
