<br><font color=teal>*Muhhamed Hassan(Ziare1) says: Alright men, to my office. - Fri Oct  2 02:39:08 2015
<br><br><font color=teal>*Mirai(Rakkatta) says: Following rules. - Fri Oct  2 04:14:43 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Igot a special deal, haha. - Fri Oct  2 04:14:43 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Well...Am I coming along for the mission or am I not? - Fri Oct  2 04:14:43 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: No. - Fri Oct  2 04:15:34 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: I guess it is canceled then - Fri Oct  2 04:15:34 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Berith, can we talk then... - Fri Oct  2 04:15:34 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: And even if you get a pet, how woulda ya even be strong enough to keep them in control? - Fri Oct  2 04:15:34 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: WHAT MISSION? - Fri Oct  2 04:16:25 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Iza... - Fri Oct  2 04:16:25 2015
<br><br><font color=teal>*Berith(BoyUmbreon) says: Talk? - Fri Oct  2 04:16:25 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: DOn't worry about it. - Fri Oct  2 04:16:25 2015
<br><br><font color=teal>*Mirai(Rakkatta) says: Don't question me. - Fri Oct  2 04:16:25 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: It's nothing, Izanami. - Fri Oct  2 04:16:25 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: And yes.. - Fri Oct  2 04:16:25 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: It's a whole lot of nothing. - Fri Oct  2 04:16:25 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: I'm not stupid. - Fri Oct  2 04:16:25 2015
<br><br><font color=teal>*Berith(BoyUmbreon) says: Oh, uhh sure, what's wrong? - Fri Oct  2 04:16:25 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Come. - Fri Oct  2 04:16:25 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: *squints harder* - Fri Oct  2 04:16:25 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) thinks: Maybe I can do double the work and it just be us three. No one elsei s ready for this mission. - Fri Oct  2 04:16:25 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: *grumbles* - Fri Oct  2 04:17:16 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) thinks: Everyone just ignores me or tells me its nothing because of my age. - Fri Oct  2 04:17:16 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) thinks: I wan't to contribute too! I'm tired of just watching. - Fri Oct  2 04:17:16 2015
<br><br><font color=teal>*Mirai(Rakkatta) says: Sir with the blonde hair are you interested in being my pet? - Fri Oct  2 04:18:08 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I'm good. - Fri Oct  2 04:18:59 2015
<br><br><font color=teal>*Mirai(Rakkatta) says: Clearly not good enough to be a pet of mine. - Fri Oct  2 04:18:59 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: You have no picture. For all I know, you are an ugly fat bitch. - Fri Oct  2 04:18:59 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: &lt;omit> - Fri Oct  2 04:18:59 2015
<br><br><font color=teal>*Mirai(Rakkatta) says: Trash. - Fri Oct  2 04:18:59 2015
<br><br><font color=teal>*Mirai(Rakkatta) says: What about the person next to you? - Fri Oct  2 04:19:50 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: What can ya do... - Fri Oct  2 04:19:50 2015
<br><br><font color=teal>*Mirai(Rakkatta) says: Talk shit. - Fri Oct  2 04:19:50 2015
<br><br><font color=teal>*Mirai(Rakkatta) says: What can you do? - Fri Oct  2 04:19:50 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: That's Hassan, our leader. You'd be his pet, more than likely. - Fri Oct  2 04:19:50 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I can do alot, little lady. - Fri Oct  2 04:20:41 2015
<br><br><font color=teal>*Mirai(Rakkatta) says: Oh really? - Fri Oct  2 04:20:41 2015
<br><br><font color=teal>*Mirai(Rakkatta) says: You're not working with much. - Fri Oct  2 04:20:41 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Yeah. This dude is pretty strong. - Fri Oct  2 04:20:41 2015
<br><br><font color=teal>*Mirai(Rakkatta) thinks: Hrmm. - Fri Oct  2 04:21:32 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Mist-nin. - Fri Oct  2 04:21:32 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: I mean, damn. How you gonna show up. - Fri Oct  2 04:21:32 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: What's your name? - Fri Oct  2 04:21:32 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: And not even introduce yourself? - Fri Oct  2 04:21:32 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Instead, just askin' for pets. - Fri Oct  2 04:22:24 2015
<br><br><font color=teal>*Mirai(Rakkatta) says: Sure. - Fri Oct  2 04:23:15 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Hmm? - Fri Oct  2 04:23:15 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: My name. - Fri Oct  2 04:23:15 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: ...Hm? - Fri Oct  2 04:23:15 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: We'll spar show me your skills. - Fri Oct  2 04:24:06 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: . . Damn. It's that easy -- Oh! Can I watch? - Fri Oct  2 04:24:06 2015
<br><br><font color=teal>*Mirai(Rakkatta) says: I'm not that skilled. - Fri Oct  2 04:24:06 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Hmm no worries.. show your skills. - Fri Oct  2 04:24:57 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Yeah, your name. - Fri Oct  2 04:24:57 2015
<br><br><font color=teal>*Mirai(Rakkatta) says: Shall we spar then? - Fri Oct  2 04:24:57 2015
<br><br><font color=teal>*Mirai(Rakkatta) says: In private of course. - Fri Oct  2 04:25:48 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: ... - Fri Oct  2 04:25:48 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Al-Saachez. - Fri Oct  2 04:25:48 2015
<br><br><font color=teal>*Mirai(Rakkatta) says: No. - Fri Oct  2 04:26:40 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Pleeeasse. - Fri Oct  2 04:26:40 2015
<br><br><font color=teal>*Mirai(Rakkatta) says: Not unless you agree to be my pet. - Fri Oct  2 04:26:40 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Well, I've seen you around Mist Village and I was wondering if you'd like to spar me. Even though we aren't from the same village, I've always been interested in seeing what kind of ninja you are. - Fri Oct  2 04:26:40 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) whispers: <*Coughs*> Alright. - Fri Oct  2 04:26:40 2015
<br><br><font color=teal>*Mirai(Rakkatta) says: Good. - Fri Oct  2 04:26:40 2015
<br><br><font color=teal>*Mirai(Rakkatta) says: First order of business. - Fri Oct  2 04:26:40 2015
<br><br><font color=teal>*Mirai(Rakkatta) says: Carry me. - Fri Oct  2 04:26:40 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) thinks: Tch. Too easy. .  - Fri Oct  2 04:26:40 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: A spar? - Fri Oct  2 04:26:40 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Nah. - Fri Oct  2 04:26:40 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: --- That's it? - Fri Oct  2 04:26:40 2015
<br><br><font color=teal>*Mirai(Rakkatta) says: Yep. - Fri Oct  2 04:27:31 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: No? Oh well. - Fri Oct  2 04:27:31 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: I don't do spars. - Fri Oct  2 04:27:31 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Then what's your fancy? - Fri Oct  2 04:27:31 2015
<br><br><font color=teal>*Mirai(Rakkatta) says: I must gauge your strength.  - Fri Oct  2 04:27:31 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Deez nuts - Fri Oct  2 04:27:31 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: -omit- - Fri Oct  2 04:28:22 2015
<br><br><font color=teal>*Mirai(Rakkatta) says: Oh my... - Fri Oct  2 04:28:22 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Dunno. - Fri Oct  2 04:28:22 2015
<br><br><font color=teal>*Mirai(Rakkatta) says: you're quite strong. - Fri Oct  2 04:28:22 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: I do not show people my abilities. - Fri Oct  2 04:28:22 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I guess that's smart. - Fri Oct  2 04:29:13 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: We could have a whole fight and you wouldn't see all of my abilities. - Fri Oct  2 04:29:13 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Don't care. - Fri Oct  2 04:29:13 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: So get it out now... - Fri Oct  2 04:29:13 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: This is like right by the road. Don't wanna go further down? - Fri Oct  2 04:30:04 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: This is good I need to See Lord Hassan. - Fri Oct  2 04:30:04 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: What am I seeing? - Fri Oct  2 04:31:47 2015
<br><br><font color=teal>*Mirai(Rakkatta) says: Step away from her. - Fri Oct  2 04:31:47 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Two people-- - Fri Oct  2 04:31:47 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) thinks: Ergh. . .Still not even half as bad as mom.. - Fri Oct  2 04:33:29 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) thinks: . . .Although. . I hope this doesn't trickle down. Kirie is kinda crazy too. - Fri Oct  2 04:34:20 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Just, uhm. . . Sparring. - Fri Oct  2 04:34:20 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Eh. . No reason. - Fri Oct  2 04:37:45 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Hmm. - Fri Oct  2 04:52:16 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: So what's up? - Fri Oct  2 04:52:16 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Why do you gear those stupid glases? - Fri Oct  2 04:52:16 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Glasses* - Fri Oct  2 04:53:07 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Oi. - Fri Oct  2 04:53:07 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: I call bids on whoever wins - Fri Oct  2 04:53:07 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: I feel like sparing. - Fri Oct  2 04:53:07 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: awesome! - Fri Oct  2 04:53:58 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: -omit- - Fri Oct  2 04:53:58 2015
<br><br><font color=yellow>*Mirai(Rakkatta) would touch base at the destination far from her confidants. Standing specifically opposite of Koji the kunoichi would've looked towards him as he charged for her. Naturally Mirai would've initiated her Byakugan causing bulges to show up around her eye attachments as she used her clans Dojutsu. Due to initiating her Dojutsu Mirai's vision would've extended fundamentally and she could now see Koji's chakra network and the chakra that moved through his body. Hunkering a bit and entering her fighting stance the kunoichi would've set herself up for his assault. 

The moment his clench hand would've been in close enough proximity to Mirai she would've motioned her hand forward aiming for his wrist in an attempt trying to divert the course of his assault. If she somehow happened to succeed her right hand would follow aiming directly towards his abdominal area. Being certain to use her Dojutsu the kunoichi would obviously be aiming for one of his chakra points. She would've done quickly and effortlessly having practiced her clan's fighting style known as the gentle fist.* - Fri Oct  2 04:58:14 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Then u had no Gezo rank - Fri Oct  2 04:59:56 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: They have white eyes. - Fri Oct  2 05:03:21 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: I thought those people were extinct. - Fri Oct  2 05:03:21 2015
<br><br><font color=yellow>*Mirai(Rakkatta) do I get starter perks?* - Fri Oct  2 05:05:04 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: How is it going? - Fri Oct  2 05:07:37 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Huh? - Fri Oct  2 05:07:37 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Kirigakure wasn;t even close. - Fri Oct  2 05:07:37 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: The spar. - Fri Oct  2 05:07:37 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: To being able to wipe them all out. - Fri Oct  2 05:07:37 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: I dunno. I think Koji might be going a little rough, let's see howshe handles it. - Fri Oct  2 05:07:37 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Take Kirie on. - Fri Oct  2 05:16:09 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: She does not want to reveal abilities she might use against me in the future. - Fri Oct  2 05:17:00 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Which makes sense...I guess. - Fri Oct  2 05:17:52 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: There's no trustworthiness in it, but it's reality. - Fri Oct  2 05:17:52 2015
<br><br><font color=yellow>*Mirai(Rakkatta) would have succeeded in redirecting the course of Koji's attack and dispatched one of her own. Disastrously her attack would've been diverted as well and Koji was awfully too quick for her to keep up with his movements to satisfactorily impede his next strike. The minute Mirai was struck the Kunoichi's lips would've isolated and she shrieked in complete utter torment from her tenketsu being hit with such constrain. 

Groaning in devastation the kunoichi would've endeavored to launch an attack on Koji. Moving rapidly she would've augmented her palms forward using her clan's fighting style and viably dispatched her palm towards his lower arm. Being a practitioner of this style and sharpening her aptitude she would've done this easily and without much inconvenience showing her capacity to use her families fighting style adequately. If she somehow happened to succeed she would continue her assault and endeavor to overpower Koji with a series of strikes.* - Fri Oct  2 05:20:25 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Sanoke, we do need to talk about what you can offer in the mission. - Fri Oct  2 05:25:32 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Of course in private. - Fri Oct  2 05:25:32 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Koji..I got next! - Fri Oct  2 05:25:32 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Oh. i mean, it isn't a secret. I'll tell ya now since we're on the same team. - Fri Oct  2 05:25:32 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: I use Fuuinjutsu, Non-elemental techniques, and summoning skills. - Fri Oct  2 05:26:24 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: The rest of my skillset is close-ranged, and based on me using my speed and reflexive ability. - Fri Oct  2 05:26:24 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I see. - Fri Oct  2 05:26:24 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I am just an elementalist. - Fri Oct  2 05:27:15 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: And I am a summoner.... - Fri Oct  2 05:27:15 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) thinks: Just in case, I won't say my best asset around Kirie. - Fri Oct  2 05:27:15 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: I already called dibs. - Fri Oct  2 05:27:15 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Oh wow! What can you summon? I can summon turtles. - Fri Oct  2 05:27:15 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Get in line - Fri Oct  2 05:27:15 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: So you wanna spar them and not me, Al-Saachez? - Fri Oct  2 05:27:15 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Yeah just about. - Fri Oct  2 05:28:06 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Interesting.... - Fri Oct  2 05:28:06 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Fair enough. - Fri Oct  2 05:28:06 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) thinks: She's probably scared. - Fri Oct  2 05:30:40 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) thinks: I don't blame her..I'm a badass. - Fri Oct  2 05:30:40 2015
<br><br><font color=yellow>*Mirai(Rakkatta) peered towards Koji as he countered her assault and began to spin a complete 360degrees releasing chakra from each of his chakra points. In a matter seconds, Chakra would manifest and envelop his figure forming a dome before she blown away and knocked off of her feet into the dirt and debri a few feet away from Koji. Laying on her back Mirai would gaze up towards the sky as she layed there motionless before Koji arrived. 

She would accept his hand before she stood up on her feet and parted her lips to speak to him. "I wasn't aware that our clan was sought out in the past. We can work on restoring our clan if that is what you wish. I've yet to run into anyone else like myself other than you of course." Mirai muttered before she would begin to wipe away the dirt that lingered on her clothing. Her eyes would dart towards Sanoke before she approached him and grabbed his hand intertwining his digits with hers. Being the territorial individual that she was she wanted to mark her property and claim her pet while the presence of others. A lewd grin would form upon her face before she managed to utter one word. "Mine" * - Fri Oct  2 05:36:38 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: smirk* - Fri Oct  2 05:39:12 2015
<br><br><font color=teal>*Mirai(Rakkatta) says: I don't fight much. - Fri Oct  2 05:42:36 2015
<br><br><font color=teal>*Mirai(Rakkatta) says: Which is why I have you pet. You will do all my fighting for me. - Fri Oct  2 05:42:36 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Ha. - Fri Oct  2 05:43:28 2015
<br><br><font color=teal>*Mirai(Rakkatta) says: Those aren't name brand. - Fri Oct  2 05:46:01 2015
<br><br><font color=teal>*Mirai(Rakkatta) says: They are cheap. - Fri Oct  2 05:46:01 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: 12 - Fri Oct  2 05:46:52 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: -omit- - Fri Oct  2 05:46:52 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: So. Mirai, want a shell? - Fri Oct  2 06:21:52 2015
<br><br><font color=teal>*Mirai(Rakkatta) says: No. - Fri Oct  2 06:22:43 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: It's goood for traiiinin', y'know. It's what made me super fast. - Fri Oct  2 06:22:43 2015
<br><br><font color=teal>*Mirai(Rakkatta) says: No thank you. - Fri Oct  2 06:22:43 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Suit yourself. - Fri Oct  2 06:23:34 2015
<br><br><font color=teal>*Mirai(Rakkatta) says: Why are you wearing that thing anyway? - Fri Oct  2 06:26:08 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: For training. - Fri Oct  2 06:26:08 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: It's weight, so no matter what I do, my body is getting stronger. - Fri Oct  2 06:26:59 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: I use it to develop my strength, stamina, and speed. - Fri Oct  2 06:26:59 2015
<br><br><font color=teal>*Mirai(Rakkatta) thinks: Oh. - Fri Oct  2 06:29:32 2015
<br><br><font color=teal>*Mirai(Rakkatta) whispers: Will you take that off when we play? - Fri Oct  2 06:30:24 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) whispers: Uh, sure? I'll leave you in the dust, though. - Fri Oct  2 06:30:24 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) thinks: Guess I can't go too fast. - Fri Oct  2 06:30:24 2015
<br><br><font color=teal>*Mirai(Rakkatta) whispers: Are you really that fast? - Fri Oct  2 06:32:06 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) whispers: Eh, somewhat. I won't test my speed until like another week. By then, I'd have worn this shell successfully for a month straight. - Fri Oct  2 06:32:57 2015
<br><br><font color=teal>*Mirai(Rakkatta) whispers: Shall we go play then? - Fri Oct  2 06:36:22 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) whispers: Uh, sure. - Fri Oct  2 06:38:56 2015
<br><br><font color=teal>*Mirai(Rakkatta) whispers: Carry me away pet. - Fri Oct  2 06:38:56 2015
<br><br><font color=teal>*Mirai(Rakkatta) says: Later Senpai. - Fri Oct  2 06:38:56 2015
<br><br><font color=teal>*Mirai(Rakkatta) says: I'm going to go train with Sanoke. . .  - Fri Oct  2 06:38:56 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Aright sounds goood. - Fri Oct  2 06:40:38 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: We'll work on your moves after I recover from battle! - Fri Oct  2 06:42:20 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) whispers: Eh. Let's keep watching till the end, I guess? - Fri Oct  2 06:43:12 2015
<br><br><font color=teal>*Mirai(Rakkatta) whispers: Okay Senpai. - Fri Oct  2 06:44:03 2015
<br><br><font color=teal>*Mirai(Rakkatta) says: Nghhh..... - Fri Oct  2 06:48:19 2015
<br><br><font color=teal>*Mirai(Rakkatta) says: Grrr.... - Fri Oct  2 06:49:10 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Huh. . .? - Fri Oct  2 06:50:52 2015
<br><br><font color=teal>*Mirai(Rakkatta) says: ... - Fri Oct  2 06:53:26 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Irritated? - Fri Oct  2 07:01:58 2015
<br><br><font color=teal>*Mirai(Rakkatta) says: No. - Fri Oct  2 07:02:49 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: IOh good. - Fri Oct  2 07:03:40 2015
<br><br><font color=teal>*Mirai(Rakkatta) says: Well sort of. - Fri Oct  2 07:04:32 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Impatient over the battle I'm guessin'. Yeah, they need to pick up the pace! - Fri Oct  2 07:06:14 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: ... - Fri Oct  2 07:47:12 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: he didnt make it this far in a short time sitting on his butt - Fri Oct  2 07:48:03 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: -omit- - Fri Oct  2 07:48:03 2015
<br><br><font color=teal>*Mirai(Rakkatta) says: I don't wanna race. - Fri Oct  2 07:55:44 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: You said we were going to play. - Fri Oct  2 07:56:35 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: . . .? - Fri Oct  2 07:58:17 2015
<br><br><font color=teal>*Mirai(Rakkatta) says: Take me to your house. - Fri Oct  2 07:58:17 2015
<br><br><font color=teal>*Mirai(Rakkatta) says: I am. - Fri Oct  2 08:01:42 2015
<br><br><font color=teal>*Mirai(Rakkatta) says: Barely though. - Fri Oct  2 08:02:33 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Sweet. You oughta join me in some trainin' sometime. I can teach ya a thing or two. - Fri Oct  2 08:03:24 2015
<br><br><font color=teal>*Mirai(Rakkatta) says: Teach me things like what? - Fri Oct  2 08:04:16 2015
<br><br><font color=teal>*Mirai(Rakkatta) says: You don't look like the type to practice taijutsu. - Fri Oct  2 08:04:16 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: I know a lotta non-elemental things. Kai, Shunshins, y'know. Shit like that, general use. - Fri Oct  2 08:05:07 2015
<br><br><font color=teal>*Mirai(Rakkatta) says: yes put me down. - Fri Oct  2 08:05:07 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Wanna see a cool one? - Fri Oct  2 08:05:07 2015
<br><br><font color=teal>*Mirai(Rakkatta) says: Sure. - Fri Oct  2 08:05:07 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Cool, right? - Fri Oct  2 08:07:40 2015
<br><br><font color=teal>*Mirai(Rakkatta) says: Not really. - Fri Oct  2 08:08:32 2015
<br><br><font color=teal>*Mirai(Rakkatta) says: Seems very basic. - Fri Oct  2 08:11:56 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: I mean. . .It's not a super S-rank technique. But it's pretty neat. - Fri Oct  2 08:11:56 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Imagine the possibilities! No need to be such a downer, you know. - Fri Oct  2 08:11:56 2015
<br><br><font color=teal>*Mirai(Rakkatta) says: If you think so Sanoke. - Fri Oct  2 08:11:56 2015
<br><br><font color=teal>*Mirai(Rakkatta) says: I just don't think much of the technique. - Fri Oct  2 08:12:48 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Hrm. I'd show you my turtle. But don't think you'd find a talking turtle cool or anything. - Fri Oct  2 08:12:48 2015
<br><br><font color=teal>*Mirai(Rakkatta) says: That's pretty cool. - Fri Oct  2 08:13:39 2015
<br><br><font color=teal>*Mirai(Rakkatta) says: Better then just some wires. - Fri Oct  2 08:13:39 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Ooooh! Wanna see? - Fri Oct  2 08:13:39 2015
<br><br><font color=teal>*Mirai(Rakkatta) says: Sure. - Fri Oct  2 08:14:30 2015
<br><br><font color=teal>*Mirai(Rakkatta) says: Oh is that why you carry a shell on your back? - Fri Oct  2 08:21:20 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Yep! I am a student of the turtle. This is my minion, Ganba. His grandpa is my teacher. - Fri Oct  2 08:21:20 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Badass, right? - Fri Oct  2 08:22:11 2015
<br><br><font color=teal>*Mirai(Rakkatta) says: Indeed. - Fri Oct  2 08:23:02 2015
<br><br><font color=teal>*Mirai(Rakkatta) says: I am impressed Sanoke. - Fri Oct  2 08:23:02 2015
<br><br><font color=teal>*Mirai(Rakkatta) says: It's pretty cool but i'm not intersted in having them. - Fri Oct  2 08:24:44 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Woooow. Eh. . .I guess it makes sense. Your strength is taijutsu. - Fri Oct  2 08:25:36 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: So I guess you oughta focus on your strength. - Fri Oct  2 08:25:36 2015
<br><br><font color=teal>*Mirai(Rakkatta) says: Yeah and it's sort of your thing - Fri Oct  2 08:25:36 2015
<br><br><font color=teal>*Mirai(Rakkatta) says: you should keep it to yourself. - Fri Oct  2 08:25:36 2015
