<br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Got em' - Thu Oct  8 18:47:40 2015
Nevertheless, the first gate would subside shortly afterwards, placing his body back at ease. The tension in the battle was no longer apparent, thus his application of the technique was no longer needed as a direct result. There was no sign of fatigue on Maloth's behalf, considering the technique had been so short lived. Instead, he moves on over to Khalil, while awaiting for Bremusa to hold her end of the deal ". . .Learn thin' from Maloth figh'? See how beat to mud?"* - Thu Oct  8 22:53:26 2015
<br><br><font color=yellow>*Maloth(Gtgoku88) grunts. Was this girl for real?

Looking away from Bremusa for a second, Maloth looked on over to the young lad crying over the mud. ". . .Is jus' mud! Not nee' cry," the warrior bellows out, not at all taking a male's cries seriously. A brief glance is given to Geralt, though nothing is said.* - Thu Oct  8 23:10:30 2015
<br><br><font color=teal>*Geralt(Chaos Commander2015) says: You guys seem to be having fun. - Thu Oct  8 23:15:37 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: Hrm. . ? - Thu Oct  8 23:16:28 2015
<br><br><font color=yellow>*Maloth(Gtgoku88) grunts. He didn't like how soft Khalil was being at the moment.

"Keep talk!" Maloth demands of Bremusa. Meanwhile, his feet rises and falls, kicking against the mud below his body. Considering the strength behind the kick, it sends a wave of mud flying on towards Khalil. If struck, the sticky, muddy substance clings to his body. "If man, nee' be tough!" 'Course, Maloth still had no doubt that the Yamanshi was a female. Unfortunately enough for Geralt, being this close, he likely would be caught as well! 

"Mud no bad. Is good." Being dirty and smell. . . That was step one of being a true man!* - Thu Oct  8 23:28:25 2015
<br><br><font color=yellow>*Maloth(Gtgoku88) ||"If say is man. . Nee' act like! Not no, cry! No 'fraid o' get dirty o' stinky! Need be real man, like Maloth!" He raises a single arm up, allowing his overwhelming odor to protrude into the area. It was a musky scent, one that could literally melt paint off a wall.

Taking offense to Geralt's interference, another wave of mud is kicked up, aiming to splash the fem-boy that sought to confront him. Maloth doesn't yet notice Paine, thus he doesn't say a thing. He's far too busy toughening Khalil up. . . Or rather, trying to make the 'boy' admit to being a girl.* - Thu Oct  8 23:42:04 2015
<br><br><font color=teal>*Bremusa(Ej247) says: We amazons are raised up on to be warroirs, how to hunt, how to well previde for our selfs. Though we all care very much for one another and when there is trouble we all fight to deffend and protet our home. - Thu Oct  8 23:48:54 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: What yall doing. - Thu Oct  8 23:54:52 2015
<br><br><font color=yellow>*Maloth(Gtgoku88) 's brow twitches.

Why was this guy being cap'n save a hoe?! Maloth just wanted to have a little fun every now and then. It isn't long before Geralt is releasing a few demonic incantations and opening up portals to hell itself. From said portal, a Gargoyle pops up. . . 

The entire sequence is bizarre to the warrior all together. 

Nevertheless, he hadn't the thought to backdown, at least not yet. Using the Devolving Hammer' his hands repeatily swing, smashing down onto the Gargoyle. . . yet to no avail. Surely, the skin would fracture, but without the use of his chakra gates, getting through to the summoning would damn near impossible. After realizing the durability was too fierce, the hulking beast just turns around, and grasp Bremusa once more.

. . .He pretends like that epic failure didn't even happen. "Is good. Tell mo' 'bout people." By the, the behemoth had at last taken notice of Paine. Eagerly, he approaches his master, hopeful that she would have a treat to pass on to him after he had spent weaks mastering the basics.* - Fri Oct  9 00:01:42 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: ALLYOU NINJAS UGLY! - Fri Oct  9 00:07:40 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: HAHAHA!SEXY NINJA PRIVILEGES@ - Fri Oct  9 00:08:32 2015
<br><br><font color=teal>*Geralt(Chaos Commander2015) says: How am I over powered lol?_ - Fri Oct  9 00:16:12 2015
<br><br><font color=teal>*Geralt(Chaos Commander2015) says: -omit- - Fri Oct  9 00:17:04 2015
<br><br><font color=yellow>*Maloth(Gtgoku88) nods. 

"Is good here. . . How Amazon pick leader people?" He asks Bremusa before turning onto Paine. He's notably more chipper. "Is good. Glad stay in village like say."* - Fri Oct  9 00:27:18 2015
<br><br><font color=teal>*Bremusa(Ej247) says: Well the leader will pick a few that she thinks could take the roll. Then those three fight and go threw several trials to see who will be left alive and claim the titel. - Fri Oct  9 00:30:43 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: Not ge' ..  If is bes' fighter. .. Not just beat up, make to leader? - Fri Oct  9 00:31:34 2015
<br><br><font color=teal>*Bremusa(Ej247) says: What? - Fri Oct  9 00:37:32 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: Strongest need be leader. - Fri Oct  9 00:40:57 2015
<br><br><font color=teal>***Concealed Figure**(TheSecretary) says: l-leader..? - Fri Oct  9 00:41:48 2015
<br><br><font color=teal>***Concealed Figure**(TheSecretary) says: u-umm..good l-luck - Fri Oct  9 00:41:48 2015
<br><br><font color=teal>*Bremusa(Ej247) says: Even if a amazon is the strongest we all are equal. - Fri Oct  9 00:43:31 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: . . .Not sense make-- But need talk Paine now. - Fri Oct  9 00:43:31 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: Is can teach new move!? - Fri Oct  9 00:44:22 2015
<br><br><font color=teal>*Bremusa(Ej247) says: Amazons are trained in agricultural pursuits, hunting and the art of war. - Fri Oct  9 00:52:54 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: Hrm. . .? Not get'. . . Is no care. - Fri Oct  9 00:54:36 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: Can cook? - Fri Oct  9 00:54:36 2015
<br><br><font color=teal>*Bremusa(Ej247) says: Yes we can cook. - Fri Oct  9 00:55:28 2015
<br><br><font color=teal>*Bremusa(Ej247) says: If we hunt of course we can cook. - Fri Oct  9 00:56:19 2015
<br><br><font color=teal>*Bremusa(Ej247) says: We also have slaves for that. - Fri Oct  9 00:56:19 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: . . Is have slave? Maloth people do too. - Fri Oct  9 00:57:10 2015
<br><br><font color=teal>*Bremusa(Ej247) says: We keep men as out slaves. - Fri Oct  9 00:58:01 2015
<br><br><font color=teal>*Bremusa(Ej247) says: our* - Fri Oct  9 00:58:01 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: . . .! - Fri Oct  9 01:00:35 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: How feel if Maloth make to slave?! - Fri Oct  9 01:00:35 2015
<br><br><font color=teal>*Bremusa(Ej247) says: Of course you can be my slave. I do miss having one. - Fri Oct  9 01:03:08 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: . . . - Fri Oct  9 01:14:14 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: Not mean me. - Fri Oct  9 01:14:14 2015
<br><br><font color=teal>*Ambrocio(XenoKuthric) says: ... - Fri Oct  9 01:23:37 2015
<br><br><font color=yellow>*Maloth(Gtgoku88) ||Finally, he was learning another skill to add onto his repetoire.

The skill in question was pretty neat. It wasn't one governed around actual movement speed. Rather, it was just about finesse and actually physical power. In an awkward fashion, Maloth breaks into a crouch, mimicking Paine's own crouching. Sadly, it lacked the fluidity and swiftness that her motions did. Rather than blurring, he was as slow as a golem. 

Nevertheless, in Maloth's movements, he does manage to mimick Paine's attack -- although there was a clear difference in skill. Showing off some flexibility, his right leg kicks off into the air, going into an upward motion. Before it can be completed, he loses balance and falls right on his ass. It seemed that the brute wasn't the most graceful of warriors. .. 

Then Kenshin came into town. Considering all of the shinobi were getting wrecked? Maloth figures it's a good idea to get the fuck out.* - Fri Oct  9 01:40:41 2015
<br><br><font color=yellow>*Maloth(Gtgoku88) ||With Bremusa in tow, Maloth continued to run. They were getting the hell out of Kumogakure, that;'s for sure. As the hundreds of citizens were being annihilated, one giant brute moved through the crowd. He was tough, perhaps one of the toughest in the world -- yet not even he would try to take on the might of the Speed Star. In time, this leads him towards the outskirts of the village, and into the distance.

By then, they'd run for several more minutes. Eventually, the grasslands of Konoha are nearby, prmpting Maloth to nod. "Yes, is goo-- Forget Layla! Maloth be back! Take girl, he show up for later!" the brute declared, having forgotten about his dear sister!* - Fri Oct  9 01:56:03 2015
<br><br><font color=teal>***Concealed Figure**(TheSecretary) says: o-ok...b-be carefull.. - Fri Oct  9 01:56:54 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: It- - Fri Oct  9 02:01:10 2015
<br><br><font color=yellow>*Maloth(Gtgoku88) gets crushed by rubble. RIP.* - Fri Oct  9 02:04:35 2015
<br><br><font color=teal>*Maloth(Gtgoku88) thinks: Next time no come back! - Fri Oct  9 02:04:35 2015
<br><br><font color=teal>*Robin, Yukio(ShinraTenin) says: So.... - Fri Oct  9 02:06:17 2015
<br><br><font color=teal>*Robin, Yukio(ShinraTenin) says: Where are those... - Fri Oct  9 02:06:17 2015
<br><br><font color=teal>*Robin, Yukio(ShinraTenin) says: Healing tanks... - Fri Oct  9 02:06:17 2015
<br><br><font color=teal>*Robin, Yukio(ShinraTenin) says: When you need them? - Fri Oct  9 02:06:17 2015
<br><br><font color=teal>*Marrisa(Roxinea) says: Everyone see my post? - Fri Oct  9 02:07:08 2015
<br><br><font color=yellow>*Maloth(Gtgoku88) ||After recalling that he had left Lyala back in Kumogakure, Maloth swiftly made his return. He gets caught by some of hte rubble inspite of Yukio's nifty technique. Thankfully, he was a manly man and that didn't mean shit.

In his approach, he breaks through the gathering of rubbles and looks around. . 

He ain't give a shit about these ninjas, yo. Then his gaze fall onto Lyala. "Is 'kay?" the bruised and battered barbarian asked, seemingly protective of his sister.* - Fri Oct  9 02:12:16 2015
<br><br><font color=teal>*Maloth(Gtgoku88) thinks: These ninjas ain't shit. - Fri Oct  9 02:12:16 2015
<br><br><font color=teal>*Maloth(Gtgoku88) thinks: I don't give a fuck, I don;t give a fuck about you or anything that you do. - Fri Oct  9 02:12:16 2015
<br><br><font color=teal>*Robin, Yukio(ShinraTenin) says: ................ - Fri Oct  9 02:13:58 2015
<br><br><font color=yellow>*Maloth(Gtgoku88) lifts the unconscious blond up in a bridal fashion. Was all of the mayham over?* - Fri Oct  9 02:15:40 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: Damn..... - Fri Oct  9 02:16:32 2015
<br><br><font color=teal>*Robin, Yukio(ShinraTenin) says: Well. - Fri Oct  9 02:16:32 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: What happened here? - Fri Oct  9 02:16:32 2015
<br><br><font color=teal>*Robin, Yukio(ShinraTenin) says: We got destroyed. - Fri Oct  9 02:16:32 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: . . .Deez nutz. - Fri Oct  9 02:16:32 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: Does that mean I can get his jacket? - Fri Oct  9 02:17:23 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: @Kojiro* - Fri Oct  9 02:18:14 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: ..... - Fri Oct  9 02:18:14 2015
<br><br><font color=teal>*Robin, Yukio(ShinraTenin) says: ........... - Fri Oct  9 02:18:14 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: To soon? - Fri Oct  9 02:18:14 2015
<br><br><font color=teal>*Robin, Yukio(ShinraTenin) says: .................. - Fri Oct  9 02:24:12 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: No. - Fri Oct  9 07:51:53 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: I just picked up fuuinjutsu along the way. - Fri Oct  9 07:51:53 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: I see... Well I will have to learn it then... - Fri Oct  9 07:52:44 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) thinks: How did someone even make the Samehada?...Did they just capture an immortal shark, stuck a hilt up its ass and called it a sword? - Fri Oct  9 07:56:09 2015
<br><br><font color=teal>*Max(Roxas The Hokage) says: COME ON COME ALL!  - Fri Oct  9 08:41:23 2015
<br><br><font color=teal>*Max(Roxas The Hokage) says: SEE MY WARES!  - Fri Oct  9 08:41:23 2015
<br><br><font color=teal>*Max(Roxas The Hokage) says: I, THE GREATEST BLACKSMITH OF ALL TIME! - Fri Oct  9 08:41:23 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Greatest?... - Fri Oct  9 08:42:14 2015
<br><br><font color=yellow>*Maloth(Gtgoku88) makes his approach.

"Mm. .?"* - Fri Oct  9 08:42:14 2015
<br><br><font color=teal>*Max(Roxas The Hokage) says: Aye! Step up! Step up! See the greatest steel in all the land! - Fri Oct  9 08:42:14 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: What can make?? - Fri Oct  9 08:43:05 2015
<br><br><font color=teal>*Max(Roxas The Hokage) says: You name it! I can make it!  - Fri Oct  9 08:43:05 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Right...Make me a good katana.. - Fri Oct  9 08:43:56 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: Mmm. . .! Can make hamme mo' betteah? - Fri Oct  9 08:43:56 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Carbon Steel.. - Fri Oct  9 08:43:56 2015
<br><br><font color=teal>*Max(Roxas The Hokage) says: Aye! Of course! I can make you a new Katana!  - Fri Oct  9 08:43:56 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: At what cost? - Fri Oct  9 08:44:48 2015
<br><br><font color=teal>*Max(Roxas The Hokage) says: as for your hammer. . PErhaps not. . That seems to be a weapon of evil. . I don't do evil.  - Fri Oct  9 08:44:48 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: Is no evil! Jus; stron'! - Fri Oct  9 08:44:48 2015
<br><br><font color=yellow>*Maloth(Gtgoku88) makes his approach.'

"If no can make hammah mo' better.. . Is make stron' armor?! Want most stron' can give!"* - Fri Oct  9 08:57:36 2015
<br><br><font color=teal>*Max(Roxas The Hokage) says: . . Hmm. .  - Fri Oct  9 08:57:36 2015
<br><br><font color=teal>*Max(Roxas The Hokage) says: Yes. . I could likely make some armor! I am the greatest after all!  - Fri Oct  9 08:57:36 2015
<br><br><font color=teal>*Max(Roxas The Hokage) thinks: I Haven't made armor in years - Fri Oct  9 08:58:27 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: That hammer is a nice one.. - Fri Oct  9 08:58:27 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Take it you are well initiated for close up battles eh? - Fri Oct  9 08:59:18 2015
<br><br><font color=teal>*Max(Roxas The Hokage) says: Shoot kiddo - Fri Oct  9 09:02:43 2015
<br><br><font color=yellow>*Maloth(Gtgoku88) nods.

Close-rangedcombat was his bread and butter.

"How much cos' for bes' armor?"* - Fri Oct  9 09:02:43 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: What do you sell? - Fri Oct  9 09:02:43 2015
<br><br><font color=teal>*Max(Roxas The Hokage) says: Ten thousand ryo, for my best armor, and I sell just about everything kiddo. - Fri Oct  9 09:03:34 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Everything? Interesting. - Fri Oct  9 09:03:34 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: How much would your finest sword cost? - Fri Oct  9 09:04:25 2015
<br><br><font color=teal>*Max(Roxas The Hokage) says: . . .  - Fri Oct  9 09:04:25 2015
<br><br><font color=teal>*Max(Roxas The Hokage) says: My finest sword? Well. . That would cost. . eight thousand Ryo . . . - Fri Oct  9 09:04:25 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Oh? My that's pricy, mind if I ask what makes it worth that price? - Fri Oct  9 09:05:16 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Hm.. - Fri Oct  9 09:06:59 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) thinks: I should be going to the waterfall village... - Fri Oct  9 09:06:59 2015
<br><br><font color=teal>*Max(Roxas The Hokage) says: I am the greatest. . Simply put. .  - Fri Oct  9 09:09:32 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: I see, I'm talking to the right person about this then. - Fri Oct  9 09:10:24 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: I can assume your finest sword would be carbon steel correct? - Fri Oct  9 09:11:15 2015
<br><br><font color=teal>*Max(Roxas The Hokage) says: Yes indeed! - Fri Oct  9 09:12:06 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Very nice...Now would you be willing to haggle the price a little? - Fri Oct  9 09:13:48 2015
<br><br><font color=teal>*Max(Roxas The Hokage) says: So confident in my swords! Why I'd challange yon swordsmen to a duel to the death, my blade vs his to prove myself! - Fri Oct  9 09:13:48 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Hm? - Fri Oct  9 09:13:48 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: No no, I truly believe you are the best. - Fri Oct  9 09:13:48 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Something as silly as that shouldn't need to happen. - Fri Oct  9 09:14:40 2015
<br><br><font color=teal>*Max(Roxas The Hokage) thinks: hehe. .  works everytime - Fri Oct  9 09:14:40 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: I'll take you on then.. - Fri Oct  9 09:14:40 2015
<br><br><font color=teal>*Max(Roxas The Hokage) says: Hehe. . Of cour- - Fri Oct  9 09:15:31 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: A simple farmer like myself...It'd be a good exercise.. - Fri Oct  9 09:16:22 2015
<br><br><font color=teal>*Max(Roxas The Hokage) says: . . .  - Fri Oct  9 09:16:22 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Ah but I haven't finished my business here kind farmer. - Fri Oct  9 09:16:22 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Would you wait a little longer for such a challenge? - Fri Oct  9 09:16:22 2015
<br><br><font color=teal>*Max(Roxas The Hokage) says: O. . Oh what a shame! I am all out of Katana! You bought very last one, and I'd need time to smith a new one. .  - Fri Oct  9 09:17:13 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Oh...How disappointing... - Fri Oct  9 09:17:13 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Oh?..How about an enhancement rather..Once I've won.. - Fri Oct  9 09:17:13 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: This blade..With the edge and durability of a diamond.. - Fri Oct  9 09:18:04 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) thinks: Enhancement... - Fri Oct  9 09:18:04 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: As a treat to my victory.. - Fri Oct  9 09:18:04 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Hm...So be it. - Fri Oct  9 09:19:47 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: I'll think on that though, Blacksmith. - Fri Oct  9 09:19:47 2015
<br><br><font color=teal>*Max(Roxas The Hokage) says: . . eh. . hehe. .  - Fri Oct  9 09:27:28 2015
<br><br><font color=teal>*Max(Roxas The Hokage) says: S. . Sure. .  - Fri Oct  9 09:27:28 2015
<br><br><font color=teal>*Max(Roxas The Hokage) says: But as I said! I am regretably without a weapon. .  - Fri Oct  9 09:27:28 2015
<br><br><font color=teal>*Reguel(Airide) says: You have your fist. - Fri Oct  9 09:28:19 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Oh no worries..Use the katana y' sold me.. - Fri Oct  9 09:28:19 2015
<br><br><font color=teal>*Max(Roxas The Hokage) says: . . Ah . .. .  - Fri Oct  9 09:28:19 2015
<br><br><font color=teal>*Max(Roxas The Hokage) says: Right. .  - Fri Oct  9 09:28:19 2015
<br><br><font color=teal>*Max(Roxas The Hokage) says: I. . I shall do so. .  - Fri Oct  9 09:28:19 2015
<br><br><font color=teal>*Reguel(Airide) says: Yes shout more. - Fri Oct  9 09:39:24 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) thinks: Fukiko...Can't forget this name... - Fri Oct  9 09:58:11 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) thinks: Hm..Maybe I should distribute the seven----SIX NOW...Swords to the great leaders of each village..Eh... - Fri Oct  9 09:59:02 2015
<br><br><font color=teal>*Reguel(Airide) says: Hmm - Fri Oct  9 09:59:02 2015
<br><br><font color=teal>*Reguel(Airide) says: Well I'm pretty useless as a medic now. - Fri Oct  9 09:59:53 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Well..I never intended to take a life.. - Fri Oct  9 10:18:40 2015
<br><br><font color=teal>*Reguel(Airide) says: A life is a life. He's dead now. - Fri Oct  9 10:18:40 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: He's not dead...Not until his story has ended.. - Fri Oct  9 10:19:31 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: I'll continue his chapter... - Fri Oct  9 10:19:31 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Yes...I'll do such. - Fri Oct  9 10:20:22 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: In blacksmith in some way. - Fri Oct  9 10:20:22 2015
<br><br><font color=teal>*Reguel(Airide) says: I guess. - Fri Oct  9 10:21:13 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: I guess you can say it'd be my 4th profession. - Fri Oct  9 10:21:13 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) thinks: They don't know this is a shadow clone... - Fri Oct  9 10:22:56 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: I have an offer to you all...Or rather my suggestion... - Fri Oct  9 10:25:29 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Sunagakure... - Fri Oct  9 10:25:29 2015
<br><br><font color=teal>*Reguel(Airide) says: You want us to leave this village. - Fri Oct  9 10:25:29 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: That is all... - Fri Oct  9 10:25:29 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: No.. - Fri Oct  9 10:25:29 2015
<br><br><font color=teal>*Reguel(Airide) says: Hm? - Fri Oct  9 10:26:20 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: I'd rather you take the time to think wisely..""Should I stay here during a time of which it is currently week..Or should I stick by an ally and wait until my skills and the village has risen again.."" - Fri Oct  9 10:26:20 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: While you may offer service to Suna..You will still be men of Kumogakure. - Fri Oct  9 10:27:12 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: But you will be safe..For right now , there is little options of what to do.. - Fri Oct  9 10:27:12 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: No hospital, no nucleus... - Fri Oct  9 10:27:12 2015
<br><br><font color=teal>*Reguel(Airide) says: I rather go to Sunagakure and increase my chances as a medical shinobi. - Fri Oct  9 10:27:12 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: It's what I meant mate.. - Fri Oct  9 10:28:03 2015
<br><br><font color=teal>*Reguel(Airide) says: Hopefully they have scrolls there. - Fri Oct  9 10:28:03 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Increase your skills away, to return home strong. - Fri Oct  9 10:28:03 2015
<br><br><font color=teal>*Reguel(Airide) says: That's the plan. - Fri Oct  9 10:28:03 2015
<br><br><font color=teal>*Reguel(Airide) says: Do you know a medic that resides in Sunagakure? - Fri Oct  9 10:28:54 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: I know two.. - Fri Oct  9 10:28:54 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Both skills very unique and different from the other.. - Fri Oct  9 10:28:54 2015
<br><br><font color=teal>*Reguel(Airide) says: Different how? - Fri Oct  9 10:29:45 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: You'll have to find out from them. - Fri Oct  9 10:29:45 2015
<br><br><font color=teal>*Reguel(Airide) says: Fine. - Fri Oct  9 10:29:45 2015
<br><br><font color=teal>*Reguel(Airide) says: Well I'm ready to leave this god forasaken place. - Fri Oct  9 10:29:45 2015
<br><br><font color=teal>*Reguel(Airide) says: I'll return one day to help rebuild it. - Fri Oct  9 10:29:45 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: I'll probably have to stay here for a day or so.. - Fri Oct  9 10:30:36 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: To be sure the people are content.. - Fri Oct  9 10:30:36 2015
<br><br><font color=teal>*Reguel(Airide) says: Well I am. - Fri Oct  9 10:30:36 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: This village has many relatives of mine within it.. - Fri Oct  9 10:30:36 2015
<br><br><font color=teal>*Reguel(Airide) says: I might as well leave now. - Fri Oct  9 10:30:36 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: The choice is yours, and my fathers to allow you into suna.. - Fri Oct  9 10:31:28 2015
<br><br><font color=teal>*Reguel(Airide) says: Hm - Fri Oct  9 10:32:19 2015
<br><br><font color=teal>*Reguel(Airide) says: Do you have a scroll or something I can use to gend into Suna? - Fri Oct  9 10:32:19 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: AYe girl - Fri Oct  9 10:40:00 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: -omit- - Fri Oct  9 10:40:00 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Hm..Just tell them you want to speak to Fujitora and Hassan..Or just explain to them the destruction of the village... - Fri Oct  9 10:42:33 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: I must be going.. - Fri Oct  9 10:43:24 2015
<br><br><font color=yellow>*Maloth(Gtgoku88) ||Yesterday was hectic. Thankfully, all had ended on a pretty positive note. . .

Well no, thousands were utterly slaughtered admist the Speed Star's rage. Luckily, anyone of significance -- to Maloth -- had been spared, excluding Kojiro. It was a damn shame. Regardless, all of the brute's kinsmen had managed to escape imminent death.

In the giant's approach, he could see that the woman was again undergoing intense training, as she usually does. "Is fas' an' stron'," the brutes notes, his eyes looking her up and down, examining her form. Indeed, complimenting her skill, it seemed she was bulking up physically, at least from what Maloth could gather with that cloak.

"Yes'day. . . Be scary, right?"* - Fri Oct  9 14:27:50 2015
<br><br><font color=yellow>*Maloth(Gtgoku88) ||
"Yes! I stron' man! Maloth make back to village when 'splosion is go on! Thin' not bad in Kumo no more," he articulates, hoping to convinced the taijutsu specialist to eventually return home to Kumo with him.

"Is thin' go back for Kumo. Is have sister there -- Paine ne'er e'en get meet sister, no? Shoul' come back with Maloth when he leave," he continues, of course his voice seems to be a bit more demanding rather than asking. By now, Maloth was well within the opinion that Paine was a psuedo-clansmen, and thus she'd do well to stick with the brutish warrior. 

Still standing, he turns to face the water fall, and gets into a rookie stance. "'Nyway! Ne'er finish train for skill. We keep go? 'Fore we leave," the hulking figure says with a slight grin. He greatly anticipated learning yet another technique.* - Fri Oct  9 14:56:51 2015
<br><br><font color=yellow>*Maloth(Gtgoku88) quickly, he turns, facing Paine now. 

As she'd request, Maloth backs up, and lowers into a crouch. His leg muscles tensed, using every ounce of power in their small cells to support his weight and prepare for the next attack. This one in particularly proved to be far more difficult than the last, as it required more flexibility, strength and actual precision. Like a spring chicken, he moves forward, sending a right kick upward.

