<br><font color=yellow>*Yukimura, Seisuke(Jjking218) took it back handing her another.* - Thu Oct  1 02:05:26 2015
<br><br><font color=yellow>*Yukimura, Seisuke(Jjking218) knocks knocks, Omit, He has no way of knowing they're in there.* - Thu Oct  1 20:27:05 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Yo. - Thu Oct  1 20:57:48 2015
<br><br><font color=teal>*Jubei(Dragonfile) says: Sup. - Thu Oct  1 20:57:48 2015
<br><br><font color=teal>*Jubei(Dragonfile) says: How's it going? - Thu Oct  1 20:57:48 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Pretty decent, and yourself? - Thu Oct  1 20:57:48 2015
<br><br><font color=teal>*Jubei(Dragonfile) says: Pretty good. - Thu Oct  1 20:58:40 2015
<br><br><font color=teal>*Jubei(Dragonfile) says: M names Jubei, what about you? - Thu Oct  1 20:58:40 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Seisuke. - Thu Oct  1 20:58:40 2015
<br><br><font color=teal>*Jubei(Dragonfile) says: Cool, cool. Nice to meet you. - Thu Oct  1 20:58:40 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: The pleasure is mine. - Thu Oct  1 20:59:31 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Are you new around here? - Thu Oct  1 20:59:31 2015
<br><br><font color=teal>*Jubei(Dragonfile) says: Ergh, I mean.. I've been here for a bit but I haven't -really- been around.. - Thu Oct  1 20:59:31 2015
<br><br><font color=teal>*Jubei(Dragonfile) says: At least for the good bits, I guess you could say I'm new here. - Thu Oct  1 21:00:22 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Ah, so you aren't one of the people who frequently crowd this building like it's a pantry. - Thu Oct  1 21:01:13 2015
<br><br><font color=teal>*Jubei(Dragonfile) says: No, I like to be proactive.. Plus..... - Thu Oct  1 21:01:13 2015
<br><br><font color=teal>*Jubei(Dragonfile) says: I'm not really a people person. - Thu Oct  1 21:01:13 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Understandable. - Thu Oct  1 21:02:04 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: People are annoying at points. - Thu Oct  1 21:02:04 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: --More often than no. - Thu Oct  1 21:02:04 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: not* - Thu Oct  1 21:02:04 2015
<br><br><font color=teal>*Jubei(Dragonfile) says: Seems there aint much to do anyway. - Thu Oct  1 21:03:47 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: There really isn't. - Thu Oct  1 21:03:47 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: If you're smart you'd migrate somewhere more interesting. - Thu Oct  1 21:03:47 2015
<br><br><font color=teal>*Jubei(Dragonfile) says: Migrate?  - Thu Oct  1 21:03:47 2015
<br><br><font color=teal>*Jubei(Dragonfile) says: Like to another play around the village? - Thu Oct  1 21:03:47 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Maybe to another Village.. - Thu Oct  1 21:04:38 2015
<br><br><font color=teal>*Jubei(Dragonfile) says: Won't I be like... - Thu Oct  1 21:05:29 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Sunagakure seems to be flourishing. - Thu Oct  1 21:05:29 2015
<br><br><font color=teal>*Jubei(Dragonfile) says: Hunted down and killed? - Thu Oct  1 21:05:29 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I mean. - Thu Oct  1 21:05:29 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I don't Koeki would. - Thu Oct  1 21:05:29 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: She's a pacifist. - Thu Oct  1 21:05:29 2015
<br><br><font color=teal>*Jubei(Dragonfile) says: I mean.. I don't know.. I feel like if I go anywhere I'ma ask for permission. - Thu Oct  1 21:06:20 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: That's the safest decisiono. - Thu Oct  1 21:06:20 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Possibly the most boring as well. - Thu Oct  1 21:06:20 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I'm a bit bored. - Thu Oct  1 21:08:03 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Debating what to do. - Thu Oct  1 21:08:03 2015
<br><br><font color=teal>*Jubei(Dragonfile) says: I mean she's gonna show up soon, hopefully. Hm, given how you talk I guess it's fair to say she let's you go where you want, right? - Thu Oct  1 21:08:03 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I'm not a Shinobi of this Village. - Thu Oct  1 21:08:03 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: She couldn't stop me if she wanted. - Thu Oct  1 21:08:03 2015
<br><br><font color=teal>*Jubei(Dragonfile) thinks: Lucky.... - Thu Oct  1 21:08:54 2015
<br><br><font color=teal>*Jubei(Dragonfile) says: I mean don't you get lonely...? - Thu Oct  1 21:09:45 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Outside this Village? - Thu Oct  1 21:09:45 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Definately. - Thu Oct  1 21:10:36 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I'm leaving the one I love behind when I leave. - Thu Oct  1 21:10:36 2015
<br><br><font color=teal>*Jubei(Dragonfile) says: Who's that? - Thu Oct  1 21:10:36 2015
<br><br><font color=teal>*Yukitani, Alice(Get Jazzy) thinks: That's cruel. - Thu Oct  1 21:10:36 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Not important. - Thu Oct  1 21:10:36 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: But the important part is. - Thu Oct  1 21:10:36 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I always make sure I return. - Thu Oct  1 21:10:36 2015
<br><br><font color=teal>*Jubei(Dragonfile) says: Man. - Thu Oct  1 21:11:28 2015
<br><br><font color=teal>*Jubei(Dragonfile) says: Seems like you live an interested life. - Thu Oct  1 21:12:19 2015
<br><br><font color=teal>*Jubei(Dragonfile) says: One could say I envy you. - Thu Oct  1 21:12:19 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I don't know. - Thu Oct  1 21:12:19 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Every man has a darkness he conceals. - Thu Oct  1 21:12:19 2015
<br><br><font color=teal>*Jubei(Dragonfile) says: That much is true. - Thu Oct  1 21:13:10 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I'm... - Thu Oct  1 21:14:52 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Quite bored. - Thu Oct  1 21:14:52 2015
<br><br><font color=teal>*Jubei(Dragonfile) says: Same. - Thu Oct  1 21:14:52 2015
<br><br><font color=teal>*Jubei(Dragonfile) says: u ded m8. - Thu Oct  1 21:15:44 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I wonder what I could do to pass the time. - Thu Oct  1 21:17:26 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I hear Kirigakure has a gentlemen's club. - Thu Oct  1 21:17:26 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: What to do...What to do. - Thu Oct  1 21:21:42 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Anything you care to do, Jubei? - Thu Oct  1 21:23:24 2015
<br><br><font color=teal>*Jubei(Dragonfile) says: Well. - Thu Oct  1 21:24:16 2015
<br><br><font color=teal>*Jubei(Dragonfile) says: I'm as stumped as you are. - Thu Oct  1 21:24:16 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: When in doubt, rub one out. - Thu Oct  1 21:24:16 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: -omit- - Thu Oct  1 21:24:16 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I kind of. - Thu Oct  1 21:26:49 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Want to hit a spa - Thu Oct  1 21:26:49 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Anyone wanna' come? - Thu Oct  1 21:26:49 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Can I. - Thu Oct  1 21:29:23 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Have sex with u Alice? - Thu Oct  1 21:29:23 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: -omit- - Thu Oct  1 21:29:23 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Hello there Miss. - Thu Oct  1 21:31:05 2015
<br><br><font color=teal>*Yukitani, Alice(Get Jazzy) says: Hey. - Thu Oct  1 21:31:05 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I'm Seisuke. - Thu Oct  1 21:31:56 2015
<br><br><font color=teal>*Yukitani, Alice(Get Jazzy) says: Alice. - Thu Oct  1 21:31:56 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: It's a pleasure. - Thu Oct  1 21:31:56 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Are you a Shinobi by any chance? - Thu Oct  1 21:31:56 2015
<br><br><font color=teal>*Yukitani, Alice(Get Jazzy) says: I am. - Thu Oct  1 21:31:56 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I see. - Thu Oct  1 21:32:48 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: How has your day been so far? - Thu Oct  1 21:32:48 2015
<br><br><font color=teal>*Yukitani, Alice(Get Jazzy) says: Could've been better. I need to learn new techniques and advance in strength. - Thu Oct  1 21:33:39 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Understandable. - Thu Oct  1 21:33:39 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: What do you specialize in? - Thu Oct  1 21:33:39 2015
<br><br><font color=teal>*Yukitani, Alice(Get Jazzy) says: I'm an elementalist but later on I'm branching off into kenjutsu. - Thu Oct  1 21:33:39 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Sounds fun. - Thu Oct  1 21:34:30 2015
<br><br><font color=teal>*Yukitani, Alice(Get Jazzy) says: And maybe a more experienced usage of Shunshin. - Thu Oct  1 21:34:30 2015
<br><br><font color=teal>*Yukitani, Alice(Get Jazzy) says: It's not fun right now. There's no one to learn from.. - Thu Oct  1 21:34:30 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I woould help if I could, But the most I can do is offer to get you a bottle of water after training. - Thu Oct  1 21:34:30 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I'm a bit useless in that sense. - Thu Oct  1 21:35:21 2015
<br><br><font color=teal>*Yukitani, Alice(Get Jazzy) says: Huh. - Thu Oct  1 21:37:04 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Although, I was thinking of becomming a masseuse, in a village full of Shinobi stress relief would be ideal right? - Thu Oct  1 21:37:55 2015
<br><br><font color=teal>*Yukitani, Alice(Get Jazzy) says: I personally prefer hot springs.~ - Thu Oct  1 21:40:28 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: That so? Or are you just saying that because I made an offer earlier~? - Thu Oct  1 21:41:20 2015
<br><br><font color=teal>*Yukitani, Alice(Get Jazzy) says: It's my honest opinion. Your offer went diregarded. - Thu Oct  1 21:43:02 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I see, I hear Sunagakure has a great Hotspring, so if you ever drop by I'd reccomend it. - Thu Oct  1 21:43:53 2015
<br><br><font color=teal>*Yukitani, Alice(Get Jazzy) says: It'd be unwise for me to travel. - Thu Oct  1 21:43:53 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Hm? - Thu Oct  1 21:43:53 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Why's that? - Thu Oct  1 21:44:44 2015
<br><br><font color=teal>*Yukitani, Alice(Get Jazzy) says: Inept strength as a shinobi. - Thu Oct  1 21:48:09 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: You could always buy a caravan. - Thu Oct  1 21:49:00 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: They're pretty safe. - Thu Oct  1 21:49:00 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: And Sunagakure is an allied village. - Thu Oct  1 21:49:00 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: Hiya! - Thu Oct  1 21:49:52 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Hey Misa. - Thu Oct  1 21:49:52 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Looking nice as always. - Thu Oct  1 21:50:43 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: You too.~ - Thu Oct  1 21:50:43 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: How are you today? - Thu Oct  1 21:50:43 2015
<br><br><font color=teal>*Yukitani, Alice(Get Jazzy) says: I really should get to learning more Fuuton and Suiton.. - Thu Oct  1 21:50:43 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I'm doing well. - Thu Oct  1 21:50:43 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: And, I'm sure if you hang around long enough Alice, you'll find what you're looking for. - Thu Oct  1 21:51:34 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: Who's Alice? - Thu Oct  1 21:52:25 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: She soun- - Thu Oct  1 21:52:25 2015
<br><br><font color=teal>*Jubei(Dragonfile) says: P<OT_ - Thu Oct  1 21:52:25 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: Nah nigga. - Thu Oct  1 21:52:25 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: NAH NIGGA. - Thu Oct  1 21:52:25 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: She sounds like a crazy girl. - Thu Oct  1 21:52:25 2015
<br><br><font color=teal>*Yukitani, Alice(Get Jazzy) says: I am. - Thu Oct  1 21:52:25 2015
<br><br><font color=teal>*Yukitani, Alice(Get Jazzy) says: I don't -feel- crazy.. - Thu Oct  1 21:53:16 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: ... - Thu Oct  1 21:53:16 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: So. - Thu Oct  1 21:53:16 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Did you ever find the Misa Imposter? - Thu Oct  1 21:53:16 2015
<br><br><font color=teal>*Yukitani, Alice(Get Jazzy) says: It is..? - Thu Oct  1 21:54:08 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: Don't answer then. - Thu Oct  1 21:54:59 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: Sheesh, so rude. - Thu Oct  1 21:54:59 2015
<br><br><font color=teal>*Jubei(Dragonfile) says: Sorry- - Thu Oct  1 21:54:59 2015
<br><br><font color=teal>*Jubei(Dragonfile) says: I don't know what you asked. - Thu Oct  1 21:54:59 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: ... - Thu Oct  1 21:58:24 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: Rudeeeeeeeeeeeeeeee. - Thu Oct  1 21:58:24 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) whispers: Make a suicide rp) - Thu Oct  1 22:00:06 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) whispers: Or post yours from Ushinawa) - Thu Oct  1 22:00:06 2015
<br><br><font color=teal>*Jubei(Dragonfile) whispers: I just kind tore out my eyes and remade.) - Thu Oct  1 22:00:57 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) thinks: Shit fam. - Thu Oct  1 22:04:22 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) whispers: You gave) - Thu Oct  1 22:05:13 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) whispers: ur 7yr old your body?) - Thu Oct  1 22:05:13 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) whispers: XD) - Thu Oct  1 22:05:13 2015
<br><br><font color=teal>*Jubei(Dragonfile) whispers: Idk I just kinda died in the mansion we can say that I mean I shoulda done better) - Thu Oct  1 22:06:04 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) whispers: Zeno just wants) - Thu Oct  1 22:06:56 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) whispers: Clarification) - Thu Oct  1 22:06:56 2015
<br><br><font color=teal>*Jubei(Dragonfile) whispers: Should I talk to him?_) - Thu Oct  1 22:06:56 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) whispers: He aint pissed) - Thu Oct  1 22:06:56 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) whispers: He just don't know) - Thu Oct  1 22:06:56 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) whispers: Why you gave a 6yr old) - Thu Oct  1 22:07:47 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) whispers: Your body) - Thu Oct  1 22:07:47 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) whispers: lmao) - Thu Oct  1 22:07:47 2015
<br><br><font color=teal>*Jubei(Dragonfile) whispers: Nah I didnt I just killed myself in the mansion) - Thu Oct  1 22:07:47 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) whispers: Aight) - Thu Oct  1 22:08:38 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) whispers: Did you inform yur kid about not gouging out your eyes?) - Thu Oct  1 22:08:38 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) whispers: I hate bugging you about this shit) - Thu Oct  1 22:08:38 2015
<br><br><font color=teal>*Jubei(Dragonfile) whispers: Nah I wouldnt touch my eyes then) - Thu Oct  1 22:09:29 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) whispers: Aighty.) - Thu Oct  1 22:09:29 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) whispers: *metagames and goes snatch body*) - Thu Oct  1 22:09:29 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) whispers: *afk*) - Thu Oct  1 22:09:29 2015
<br><br><font color=teal>*Jubei(Dragonfile) whispers: LOL) - Thu Oct  1 22:09:29 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Alright, I'll find his body then - Thu Oct  1 22:12:54 2015
<br><br><font color=teal>*Hideki(Assassin241) says: omit - Thu Oct  1 22:12:54 2015
<br><br><font color=teal>*Yukitani, Alice(Get Jazzy) says: Give him the bukkake special. -omit- - Thu Oct  1 22:23:08 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Hello, Sensei. - Thu Oct  1 22:27:24 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: .... - Thu Oct  1 22:28:16 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: Hello Seisuke. - Thu Oct  1 22:28:16 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: How've you been? - Thu Oct  1 22:29:07 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: ....Fine - Thu Oct  1 22:29:07 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Something sounds wrong. - Thu Oct  1 22:29:07 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: No...Things are fine. - Thu Oct  1 22:29:58 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: This. - Thu Oct  1 22:29:58 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Will be fun. - Thu Oct  1 22:29:58 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: What? - Thu Oct  1 22:30:49 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: These next few weeks. - Thu Oct  1 22:30:49 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: The tides are turning, Niza-sensei. - Thu Oct  1 22:30:49 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: ...Right. - Thu Oct  1 22:30:49 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: They always are. - Thu Oct  1 22:30:49 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Never before. - Thu Oct  1 22:30:49 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Bigger players...Bigger than Zetsumo have appeared. - Thu Oct  1 22:31:40 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: I suppose... - Thu Oct  1 22:31:40 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I feel like. - Thu Oct  1 22:33:23 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I should train for a bit. - Thu Oct  1 22:33:23 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: You should. - Thu Oct  1 22:33:23 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Did you hear? - Thu Oct  1 22:33:23 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: Hear what? - Thu Oct  1 22:33:23 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: One of the Knights was accused of Treason. - Thu Oct  1 22:33:23 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Therefore. He'll have to fight to live in a tournament. - Thu Oct  1 22:34:14 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: ...I see... - Thu Oct  1 22:34:14 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: If he dies, whoever kills him becomes the next knight. - Thu Oct  1 22:34:14 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: I wonder who should join our ranks then. - Thu Oct  1 22:34:14 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I'd like to. - Thu Oct  1 22:35:05 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: But I'd need your help, getting stronger. - Thu Oct  1 22:35:05 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: Ah... - Thu Oct  1 22:35:05 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: Speaking of the Knights... - Thu Oct  1 22:36:48 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: I hadn't expect them to supply me with such a dangerous weapon... - Thu Oct  1 22:36:48 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Hm? - Thu Oct  1 22:36:48 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: The blade they gave me, titled the Shibuki. - Thu Oct  1 22:37:39 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Really? - Thu Oct  1 22:37:39 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: Yes. - Thu Oct  1 22:37:39 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Sounds fun. - Thu Oct  1 22:39:21 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: What does it do? - Thu Oct  1 22:39:21 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: Well. - Thu Oct  1 22:39:21 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: From my observations. - Thu Oct  1 22:39:21 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: It holds massive explosive power. - Thu Oct  1 22:39:21 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: Considering the blade is layered with explosive tags. - Thu Oct  1 22:40:12 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Sounds explosive. - Thu Oct  1 22:40:12 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: Indeed. - Thu Oct  1 22:41:04 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Well then. - Thu Oct  1 22:43:37 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I think it's time I visited Ushinawa. - Thu Oct  1 22:43:37 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: .... - Thu Oct  1 22:45:20 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: Alright. - Thu Oct  1 22:45:20 2015
<br><br><font color=yellow>*Yukimura, Seisuke(Jjking218) simply approached Hideki-kun with a monotone grin "Hello there, Hideki-kun."* - Thu Oct  1 22:59:50 2015
<br><br><font color=yellow>*Yukimura, Seisuke(Jjking218) looked at Hideki, as he  realised what was going on, a moment he was surprised Ushinawa laid upon the ground. Twas generally unsettling, but he moved forward at a decent pace, aiming to take Hideki by the rest and stop the progression of his hand, "Hideki, Think about what you're doing." He stated looking the male directly in the eyes, Seisuke had a startling amount of strength when he used it. But he wasn't aiming to hurt Hideki only apply enough strength to stop him before he continued.* - Thu Oct  1 23:12:38 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Release.....My wrist. - Thu Oct  1 23:16:03 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Hideki. - Thu Oct  1 23:16:03 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: What you're doing, right now. Is a disgrace to Ushinawa's life. - Thu Oct  1 23:16:03 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: If you continue with this, You're snuffing out his experiences. - Thu Oct  1 23:16:03 2015
<br><br><font color=teal>*Reguel(Airide) says: Also, I won't hesitate to take out those eyes of yours. - Thu Oct  1 23:16:54 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: His pain, his suffering, But also his happiness and joy. - Thu Oct  1 23:16:54 2015
<br><br><font color=teal>*Hideki(Assassin241) says: It's my fault anyway, Seisuke. I think you fail to understand... - Thu Oct  1 23:16:54 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: That is the story of his life Hideki, And if it is your fault, Why do you seek to destroy it? - Thu Oct  1 23:16:54 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Mamoru got injured because of me, Mariana got injured because of me, fucking Hanabi died because I wasn't strong enough to grab her and run. - Thu Oct  1 23:16:54 2015
<br><br><font color=teal>*Reguel(Airide) says: So you're holding a kunai at the person because it's your faut? - Thu Oct  1 23:16:54 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: .... - Thu Oct  1 23:16:54 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Shut...The fuck up, Mongrel. - Thu Oct  1 23:16:54 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Stay out of it. - Thu Oct  1 23:18:36 2015
<br><br><font color=teal>*Reguel(Airide) says: No. - Thu Oct  1 23:18:36 2015
<br><br><font color=teal>*Hideki(Assassin241) says: You aren't involved at all. - Thu Oct  1 23:18:36 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Hideki, Allow me to say this. - Thu Oct  1 23:18:36 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Ushinawa, was the first person who gave me a chance in this land. - Thu Oct  1 23:18:36 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: A debt I can never repay. - Thu Oct  1 23:18:36 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Ushinawa was also my best friend, Seisuke. - Thu Oct  1 23:18:36 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I may never come to understand the bond you two have shared Hideki, I won't try. I won't lie and say I understand. - Thu Oct  1 23:19:28 2015
