<br><font color=yellow>*Zetseun, Cypher(Jjking218) blinked as he noticed  her attempt to meet his punch half way, and he attempted to pull his strike, without hesitation, his left foot is sent towards her stomach, about mid-way, it ignites with a similar wind chakra, his transition was smooth and effortless, it moves horizontally, as if aiming to lightly cut her stomach. But like before, he held back to the point no physical harm would befall her, besides maybe blunt force damage, and a mild stringing should the wind connect with her.
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) whispers: Asteroth-sama, is there anything you want to do? - Fri Oct  9 00:33:16 2015
<br><br><font color=yellow>*Zetseun, Cypher(Jjking218) was most likely waiting outside since he probably wouldn't have been able to enter unless the door was unlocked. But as he noticed Katsune he waved to her, "Hey there, I'm sorry for calling you out of the blue." He stated rubbing his head shyly.* - Fri Oct  9 01:04:51 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Yeah, no problem. - Fri Oct  9 01:09:07 2015
<br><br><font color=yellow>*Zetseun, Cypher(Jjking218) enters after her as he spoek "I was kind of just looking for someone interesting to talk to.." He paused looking at the ground before he looked to her. "I-I also wanted t-to apologize f-for before...I-I didn't mean to over-step my boundaries and stay here....I also want to apologize...For anything I may've said." He stated, blinking as he recalled the hangover he had.* - Fri Oct  9 01:11:40 2015
<br><br><font color=yellow>*Zetseun, Cypher(Jjking218) scratched his head as he spoke "T-That's good, because neither do I." He stated, approaching the couch he looked at it before he spoke "May...I take this seat?" He asked studying her face, of course if she says no he'd just take a seat on the floor again.* - Fri Oct  9 01:15:05 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Yeah. - Fri Oct  9 01:15:05 2015
<br><br><font color=yellow>*Zetseun, Cypher(Jjking218) nods his head before he moves to take the seat beside Katsune,  sitting over to the edge, as to not intrude on her space as he asked her. "Do y-you know anything of what happened in Kirigakure?"* - Fri Oct  9 01:17:39 2015
<br><br><font color=yellow>*Zetseun, Cypher(Jjking218) shows no obvious signs of knowing, but he sighed a bit  "I see, Was probably the smart thing to do." He stated lightly, as his gaze shifted around nervously before he asked "S-So h-how've you been?" He seemed at least trying to make small talk  though he wasn't good at it, he did seem exceptionally flustered.* - Fri Oct  9 01:20:12 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Bored. - Fri Oct  9 01:22:46 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Very bored. - Fri Oct  9 01:22:46 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: What would you like to do then? I'm all ears, and I've been bored for a while too. - Fri Oct  9 01:23:37 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Bored is how I 'have' been. Not necessarily how I am right now. - Fri Oct  9 01:25:20 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: That is what you asked. - Fri Oct  9 01:25:20 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: As for what I'd like to do? I dunno. - Fri Oct  9 01:26:11 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: I want work. Missions. - Fri Oct  9 01:26:11 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: I see.. - Fri Oct  9 01:26:11 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: I wish I  could help with that. - Fri Oct  9 01:26:11 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: Ever consider traveling? - Fri Oct  9 01:27:02 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Yeah. - Fri Oct  9 01:27:02 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Guy I was gonna travel with either ditched me or died. - Fri Oct  9 01:27:53 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Traveled a bit when I was hiding from a certain immortal asshole too. - Fri Oct  9 01:27:53 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: I mean. - Fri Oct  9 01:29:36 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: I'd travel with you if you wanted. - Fri Oct  9 01:29:36 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Maybe. Wonder if we'd ever get any action traveling. - Fri Oct  9 01:30:27 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: I'm not that interested in just seeing the world. Feels like I've already seen all that I care to. - Fri Oct  9 01:30:27 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: Hm. - Fri Oct  9 01:32:09 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: They say the more you travel the higher chance you have for being attacked by Bandits and the sorts. - Fri Oct  9 01:32:09 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Well.... - Fri Oct  9 01:35:34 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: It could be fun, I guess. - Fri Oct  9 01:35:34 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Yeah. Never seen any kages that are awfully good at their jobs. Doubt I'd be sent towards any real enemies as a mission. - Fri Oct  9 01:36:25 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Only thing I'm interested in is real combat. - Fri Oct  9 01:36:25 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Considering reviving Konoha sooner than I planned. - Fri Oct  9 01:37:16 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Sunagakure just isn't working for me. - Fri Oct  9 01:37:16 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: I liked being Hokage up until my owner at the time started slaughtering all of my friends in my front yard. - Fri Oct  9 01:38:08 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: Owner..? - Fri Oct  9 01:38:59 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: It was complicated. - Fri Oct  9 01:39:50 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: I won't pry then. - Fri Oct  9 01:39:50 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: Have any hobbies? - Fri Oct  9 01:40:41 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Not really. - Fri Oct  9 01:41:32 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Never had time for hobbies. - Fri Oct  9 01:41:32 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: Well. - Fri Oct  9 01:41:32 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: Why not make one? - Fri Oct  9 01:41:32 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: Here and now? - Fri Oct  9 01:41:32 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: All of my free time goes to training. I'll never be ready to be Hokage otherwise. - Fri Oct  9 01:44:06 2015
<br><br><font color=yellow>*Zetseun, Cypher(Jjking218) relaxed a bit on the couch as he spoke ""Over training is dangerous, Some times sitting back and letting go, Have it's perks."* - Fri Oct  9 01:49:13 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Maybe. . . - Fri Oct  9 01:53:29 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: Though. - Fri Oct  9 01:53:29 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: If you ever want to let loose in another spar with me. - Fri Oct  9 01:53:29 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: I'll try to give you a run for your money. - Fri Oct  9 01:54:20 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: I would but you can't give me a challenge. - Fri Oct  9 01:54:20 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: Hmph. Soon enough. - Fri Oct  9 01:54:20 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: -- Unless you were holding back before. - Fri Oct  9 01:54:20 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: Just you watch. - Fri Oct  9 01:54:20 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: ---I'm actually pretty we--- - Fri Oct  9 01:54:20 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: I mean. - Fri Oct  9 01:54:20 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: Of course I was holding back. - Fri Oct  9 01:54:20 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: I'm amazing. - Fri Oct  9 01:55:12 2015
<br><br><font color=yellow>*Zetseun, Cypher(Jjking218) looked away as he spoke "How about we make a bet?" He offered, staring towards one of the walls.* - Fri Oct  9 01:56:54 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Alright. - Fri Oct  9 01:57:45 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: If....I give you a run for your money. - Fri Oct  9 01:57:45 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: Will you let me call you my friend? - Fri Oct  9 01:58:36 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Hmph. - Fri Oct  9 02:00:19 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: I'd let you do that anyway. Not much of a stake. - Fri Oct  9 02:00:19 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: H-Huh Really? - Fri Oct  9 02:01:10 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Mhmmm. - Fri Oct  9 02:02:52 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: T-Then. - Fri Oct  9 02:02:52 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: L-Let me take you t-to dinner if I-I win... - Fri Oct  9 02:03:44 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: A-As a friend o-of course.. - Fri Oct  9 02:03:44 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: That's fair. On the other hand though.... - Fri Oct  9 02:03:44 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: H-Huh? - Fri Oct  9 02:03:44 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: If you turn out to be wasting my time and boring me with a fight that's not challenging.... - Fri Oct  9 02:04:35 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: What do I get? - Fri Oct  9 02:04:35 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: W-Well...What do y-you want? - Fri Oct  9 02:04:35 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Mm.... - Fri Oct  9 02:04:35 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Never mind. - Fri Oct  9 02:04:35 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Never mind. - Fri Oct  9 02:05:26 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: We can go spar. - Fri Oct  9 02:05:26 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: You have nothing to offer I'm sure. - Fri Oct  9 02:05:26 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: I...I can offer a lot. - Fri Oct  9 02:05:26 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: But....Not now, I'll tell you w-when. - Fri Oct  9 02:06:17 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: I see. - Fri Oct  9 02:06:17 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: H-How about... - Fri Oct  9 02:06:17 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: .If y-you win...I'll buy you o-one thing of your choosing.. - Fri Oct  9 02:06:17 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Hm. - Fri Oct  9 02:07:08 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Alright. - Fri Oct  9 02:08:00 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: U-Until then...T-Train hard, I won't...G-Go easy on you. - Fri Oct  9 02:08:51 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: W-Well... - Fri Oct  9 02:13:58 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: H-How's Sunagakure? - Fri Oct  9 02:14:49 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Boring. - Fri Oct  9 02:15:40 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Asked Hassan for a headband. - Fri Oct  9 02:15:40 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: He never gave me one so there's still time to change my mind but. . . - Fri Oct  9 02:15:40 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: He might be offended if I did. - Fri Oct  9 02:16:32 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: Hm.. - Fri Oct  9 02:16:32 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: I feel like you should do what your heart tells you...No matter what anyone else says. - Fri Oct  9 02:16:32 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: 13O - Fri Oct  9 20:11:44 2015
<br><br><font color=yellow>*Zetseun, Cypher(Jjking218) finds his ass a seat.* - Fri Oct  9 20:24:32 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: Yo. - Fri Oct  9 20:24:32 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: H-Hey Asteroth-sama. - Fri Oct  9 20:27:56 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: Evening. - Fri Oct  9 20:27:56 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: N-Need anything d-done today? - Fri Oct  9 20:27:56 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: Mmm. . . Not quite. I'm waiting to see who will become the new leader of this forsaken village. - Fri Oct  9 20:28:48 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: N-New? - Fri Oct  9 20:29:39 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: Yes. - Fri Oct  9 20:31:21 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: W-Well then... - Fri Oct  9 20:32:12 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: W-Why not y-you? - Fri Oct  9 20:32:12 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: Hng. .  - Fri Oct  9 20:36:28 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: Why would I be leader of this stupid village? - Fri Oct  9 20:36:28 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: B-Because I feel...Y-You can make i-it beautiful. - Fri Oct  9 20:37:20 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: Ergh. ..  - Fri Oct  9 20:41:36 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: And man, the Sand Village really is pissing me off. - Fri Oct  9 20:41:36 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: H-Huh? Something e-else has happened? - Fri Oct  9 20:42:27 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: U-Uh...I-I was t-taking a f-few classes...T-To help m-make your life easier. - Fri Oct  9 20:43:18 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: Yeah. - Fri Oct  9 20:50:59 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: I want to go see my nephew. - Fri Oct  9 20:50:59 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: But the pricks are blocking off most entry. - Fri Oct  9 20:51:50 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: N-Nephew? - Fri Oct  9 20:51:50 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: Y-You have siblings? - Fri Oct  9 20:51:50 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: Not any that I talk to regularly. - Fri Oct  9 20:53:32 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: I-I see. - Fri Oct  9 20:53:32 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: O-Oh...I t-took cooking lessons, Massage....E-Er,  Some first aid as well.. - Fri Oct  9 20:54:24 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: I-I was hoping t-that they would be u-useful to you. - Fri Oct  9 20:54:24 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: Cooking? And yes, you may be useful yet. - Fri Oct  9 20:56:06 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: I have to see how things play out here, though. - Fri Oct  9 20:56:06 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: M-Maybe I should t-take the position, Haha.. - Fri Oct  9 20:57:48 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: You really think. . ? - Fri Oct  9 21:03:47 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: U-Uh.... - Fri Oct  9 21:04:38 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: I'm...-p-probably...N-Not the best a-afterall. - Fri Oct  9 21:04:38 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: But do you think. . - Fri Oct  9 21:05:29 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: You'd have a shot at being leader? - Fri Oct  9 21:05:29 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: U-Uh...Maybe ....I-If I get a bit stronger... - Fri Oct  9 21:05:29 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: Give it a shot then. - Fri Oct  9 21:08:54 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: E-Eh, I'm not t-that confident. - Fri Oct  9 21:10:36 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: Then gain confidence, Cypher-kun. If you are to be of use. - Fri Oct  9 21:13:10 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: You have to move with boldness. - Fri Oct  9 21:13:10 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: At least when it is of something that may be useful to me. - Fri Oct  9 21:13:10 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) thinks: K-K-Kun!? - Fri Oct  9 21:13:10 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: I...I'm not sure.... - Fri Oct  9 21:14:52 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: H-How...Would I-I gain c--confidence? - Fri Oct  9 21:14:52 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: I'm seriously.. getting tired of doing that.. - Fri Oct  9 21:18:17 2015
<br><br><font color=teal>*Ambrocio(XenoKuthric) says: Hn. - Fri Oct  9 21:20:00 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Tired of what? Ortho. - Fri Oct  9 21:20:00 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: How should i know.. . - Fri Oct  9 21:22:33 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: Do I look like I ever have confidence issues? - Fri Oct  9 21:22:33 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: N-No, Not at a-all Asteroth-sama! - Fri Oct  9 21:22:33 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: I... - Fri Oct  9 21:25:07 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: I-I'm going to go t-train. - Fri Oct  9 21:26:49 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: M-Maybe if I get stronger...I'll fix m-my confidence i-issue and a-ask you o--- - Fri Oct  9 21:26:49 2015
<br><br><font color=yellow>*Zetseun, Cypher(Jjking218) cut himself off as he spoke "N-N-Nevermind!" He stated before attempting to turn and begin running off..* - Fri Oct  9 21:27:40 2015
<br><br><font color=yellow>*Zetseun, Cypher(Jjking218) strolled up in time to catch the lesson because "Yaaas."* - Fri Oct  9 21:36:12 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: Yass? - Fri Oct  9 21:37:04 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: Mind if I try as well? - Fri Oct  9 21:37:55 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Sure. - Fri Oct  9 21:38:46 2015
<br><br><font color=yellow>*Zetseun, Cypher(Jjking218) blinked as he noticed the technique before him, Hideki was a pretty adept teacher so he figured it wouldn't be long before he was able to pick up what it was Hideki was showing them, cracking his knuckles lightly, he inhaled followed by an exhale, his blue eyes focused on the ground before him, recalling the images his brain had recorded of Hideki's instruction. He had just came in, he seemed to be running....A lot.

But he smiled lightly, before cracking his knuckles, he was having a bit of a problem, he was unsure as to if he should improve his running speed, or work on impriving his strength and Taijutsu skill, but having a Genjutsu technique in his aresenal would no doubt be beneficial to him as a shinobi, so he  wondered aloud, after a moment, he shrugged his shoulders deciding a bit of an indepth analysis would prove useful.

So he raised his hands to chest level, hands holding together as he aimed to make a single handseal, practicing the first handseal before gradually  adding in  the rest, making sure his transition between each seal, was beautiful and took advantage of his  handseals, he was extremely fast when it came to the weaving of handseals.

Definately impressive for most of his age group, the boy had natural talent, but it was painfully obvious he lacked a lot of experience, so after weaving the seals, he decided it was time to add chakra into the fray. Slowly  his chakra was added into the mix, and he definately had...A lot to spare, before he focused on Hideki, chakra flaring he aimed to cast the Genjutsu. Which would probably be easily resisted by the male.* - Fri Oct  9 21:43:53 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: Ambrocio should be fine. - Fri Oct  9 21:54:08 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: I hope atleast. - Fri Oct  9 21:54:08 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: I'll go look for something to do.. - Fri Oct  9 21:54:08 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: Maybe gain some information. - Fri Oct  9 21:54:08 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: --- - Fri Oct  9 21:55:50 2015
<br><br><font color=yellow>*Zetseun, Cypher(Jjking218) had just been going on a leisurely jog,  for whatever reason, as he noticed a woman standing in the area of this village. He stopped and raised a hand "H-Hi?"* - Fri Oct  9 21:56:41 2015
<br><br><font color=yellow>*Zetseun, Cypher(Jjking218) blinked as he noticed the woman, and staggered a little bit, a faint blush covered his cheeks as he spoke "I-I didn't k-know anyone s-still lived here...I-I'm Cypher."* - Fri Oct  9 21:59:15 2015
<br><br><font color=teal>*Rymei(X_Jake From State Farm_X) says: Right...Why are you here? - Fri Oct  9 21:59:15 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: I-I was actually l-looking for some work... - Fri Oct  9 22:00:06 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: B-But I was j-just passing through. - Fri Oct  9 22:00:06 2015
<br><br><font color=teal>*Rymei(X_Jake From State Farm_X) says: There's no work here... - Fri Oct  9 22:00:57 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: A-Ah r-really? - Fri Oct  9 22:01:48 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: You wouldn't b-be looking for a B-Butler...Or body g-guard would you thogh? - Fri Oct  9 22:02:40 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: though* - Fri Oct  9 22:02:40 2015
<br><br><font color=yellow>*Zetseun, Cypher(Jjking218) his stutter seemed to have occured as a result of being flustered rather than of a speech impediment, as he looked away a bit. As he asked. "W-Well....maybe you could.....g-give me a test run...? And relay how I d-did to that person?"* - Fri Oct  9 22:06:56 2015
<br><br><font color=teal>*Rymei(X_Jake From State Farm_X) says: Ugh..No...No thank you... - Fri Oct  9 22:07:47 2015
<br><br><font color=teal>*Rymei(X_Jake From State Farm_X) says: I'm Good. - Fri Oct  9 22:07:47 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: Is....Is something wrong? - Fri Oct  9 22:07:47 2015
<br><br><font color=teal>*Rymei(X_Jake From State Farm_X) says: I just don't want to watch you clean. - Fri Oct  9 22:08:38 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: That's not...my...Only skill. - Fri Oct  9 22:08:38 2015
<br><br><font color=teal>*Rymei(X_Jake From State Farm_X) says: Okay? If you're going to show this skill get to it... - Fri Oct  9 22:10:20 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: It's....E-Erm...Cooking and massages...Both of w-which I won't be able to proficiently do outside.. - Fri Oct  9 22:11:12 2015
<br><br><font color=teal>*Rymei(X_Jake From State Farm_X) says: Yeah well then...I don't think we will be able to see those skills then...I can't let you into that building. - Fri Oct  9 22:13:45 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: I-If you can find a table or a b-bench, I could at least do the massage...I-It's alright if you can't. - Fri Oct  9 22:14:36 2015
<br><br><font color=teal>*Rymei(X_Jake From State Farm_X) says: Yeah..I don't want you to touch me... - Fri Oct  9 22:14:36 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: F-Fair enough. - Fri Oct  9 22:14:36 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: D-Do you know when this person will b-be back in? - Fri Oct  9 22:16:19 2015
<br><br><font color=teal>*Rymei(X_Jake From State Farm_X) says: Nope. - Fri Oct  9 22:16:19 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: Y-You don't like me very much do y-you? - Fri Oct  9 22:17:10 2015
<br><br><font color=teal>*Rymei(X_Jake From State Farm_X) says: I don't like anyone. - Fri Oct  9 22:17:10 2015
<br><br><font color=teal>*Rymei(X_Jake From State Farm_X) says: If you leave now though, I'll tell her a Zephyr came to see her. - Fri Oct  9 22:18:01 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: unafk - Fri Oct  9 22:18:01 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: A w-what? - Fri Oct  9 22:18:01 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: omit - Fri Oct  9 22:18:01 2015
<br><br><font color=teal>*Rymei(X_Jake From State Farm_X) thinks: First the girl from kirigakure...now him? - Fri Oct  9 22:18:01 2015
<br><br><font color=teal>*Rymei(X_Jake From State Farm_X) says: Zephyr....your name? - Fri Oct  9 22:18:01 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: Cypher...Sigh...fur. - Fri Oct  9 22:18:01 2015
<br><br><font color=teal>*Rymei(X_Jake From State Farm_X) says: Right, sure. - Fri Oct  9 22:19:44 2015
<br><br><font color=teal>*Rymei(X_Jake From State Farm_X) thinks: Whatever. - Fri Oct  9 22:19:44 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: ..... - Fri Oct  9 22:19:44 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: M-May I g-get your name? - Fri Oct  9 22:19:44 2015
<br><br><font color=teal>*Rymei(X_Jake From State Farm_X) says: Regalia. - Fri Oct  9 22:19:44 2015
<br><br><font color=teal>*Rymei(X_Jake From State Farm_X) says: of the Mikamiamoto clan. - Fri Oct  9 22:20:35 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: N-Nice to meet you Miss Regalia. - Fri Oct  9 22:21:26 2015
<br><br><font color=yellow>*Zetseun, Cypher(Jjking218) looked to Anguo as he observed the child "What's up?" He asked lightly, looking towards the sky as a bird landed beside him.* - Fri Oct  9 22:23:08 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: I am indeed of jutsu scrolls. Preferably ninjutsu or genjutsu. If you can bring me any, I'll pay. - Fri Oct  9 22:24:00 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: Hm..? - Fri Oct  9 22:24:00 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: How much? - Fri Oct  9 22:24:00 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: Depends on what you bring. - Fri Oct  9 22:24:00 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: May I have a name? - Fri Oct  9 22:24:51 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: Anguo. - Fri Oct  9 22:24:51 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: It's a pleasure. - Fri Oct  9 22:25:42 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: ...Yeah. - Fri Oct  9 22:25:42 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: I'll contact you if I find anything. - Fri Oct  9 22:25:42 2015
