<br><font color=yellow>*Sabo(Chevy Impalla) maintained his stable state, retaining his visage on the area ahead of himself before beginning to produce another extension of his chakra in the space of air before him. Sabo was easily applying his chakra as he pushed out the weapon. The only problem he found was his inability to shape the weapon into the tool he wished for. His failure to amplify the technique enough to form a perfect blade upset him, and therefore he simply reduced his chakra, leaving just the kunai in hand now.* - Thu Oct  8 11:17:07 2015
<br><br><font color=teal>*Kaori(JustCallMeGromp) says: Fluffles - Thu Oct  8 23:46:20 2015
<br><br><font color=teal>*Ambrocio(XenoKuthric) says: Rabbit stew. - Thu Oct  8 23:46:20 2015
<br><br><font color=teal>*Kaori(JustCallMeGromp) says: Nope. - Thu Oct  8 23:46:20 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: I believe you both mean. - Thu Oct  8 23:46:20 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: Shut the fuck up. - Thu Oct  8 23:46:20 2015
<br><br><font color=teal>*Ambrocio(XenoKuthric) says: Rabbit Stefado. - Thu Oct  8 23:46:20 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Indeed. - Thu Oct  8 23:46:20 2015
<br><br><font color=teal>*Kaori(JustCallMeGromp) says: Hmph. - Thu Oct  8 23:46:20 2015
<br><br><font color=teal>*Kaori(JustCallMeGromp) says: Has anyone seen niza? - Thu Oct  8 23:47:12 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: I hate standing around here, everyone is an idiot. - Thu Oct  8 23:47:12 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: I've returned a new man. - Thu Oct  8 23:47:12 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: I should... - Thu Oct  8 23:48:03 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: Clear some of the idiocy. - Thu Oct  8 23:48:03 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: I'm handsome, aren't I? - Thu Oct  8 23:48:03 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Thanks. - Thu Oct  8 23:48:03 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: You smell like shit. - Thu Oct  8 23:48:03 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: I showe- Well, I'm sure that smell will go away, eventually. - Thu Oct  8 23:48:03 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: I'll help you if you wish Sabo. - Thu Oct  8 23:48:54 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: I'm feeling quite...different now. - Thu Oct  8 23:48:54 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: I see. - Thu Oct  8 23:48:54 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: As my next order as the Raikage... I demand all women eighteen and up get daily prostate exams which will be observed by none other than myself. - Thu Oct  8 23:50:36 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Next. - Thu Oct  8 23:50:36 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: Treason - Thu Oct  8 23:50:36 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: ? - Thu Oct  8 23:50:36 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: -- - Thu Oct  8 23:50:36 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Oh nah. - Thu Oct  8 23:50:36 2015
<br><br><font color=teal>*Kaori(JustCallMeGromp) says: .... - Thu Oct  8 23:50:36 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: I can dream, can't I? - Thu Oct  8 23:50:36 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: Keep it as a dream. - Thu Oct  8 23:50:36 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Sabo you plan on attacking Sunagakure? - Thu Oct  8 23:50:36 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: No, not yet at least. - Thu Oct  8 23:51:28 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Let me know when. - Thu Oct  8 23:51:28 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: Of course. - Thu Oct  8 23:51:28 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Al-Saachez-Chan.. I look pretty nifty, amirite? - Thu Oct  8 23:51:28 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: What? - Thu Oct  8 23:51:28 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: My cloak. - Thu Oct  8 23:52:19 2015
<br><br><font color=teal>*Kaori(JustCallMeGromp) says: You really do smell. - Thu Oct  8 23:52:19 2015
<br><br><font color=teal>*Kaori(JustCallMeGromp) says: Go take a shower. - Thu Oct  8 23:52:19 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: I just did. - Thu Oct  8 23:52:19 2015
<br><br><font color=teal>*Kaori(JustCallMeGromp) says: Take another. - Thu Oct  8 23:52:19 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: No. - Thu Oct  8 23:52:19 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: I've -earned- this robe. - Thu Oct  8 23:53:10 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: Another one. <*Dj Khaled voice*> - Thu Oct  8 23:53:10 2015
<br><br><font color=teal>*Kaori(JustCallMeGromp) says: Go -wash- the robe. - Thu Oct  8 23:53:10 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: No. - Thu Oct  8 23:53:10 2015
<br><br><font color=teal>*Kaori(JustCallMeGromp) says: ... - Thu Oct  8 23:54:01 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Tch, you know. - Thu Oct  8 23:54:52 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: I just wanted to say. - Thu Oct  8 23:54:52 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: .... - Thu Oct  8 23:55:44 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: ... - Thu Oct  8 23:55:44 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Do you really hate me that much? - Thu Oct  8 23:56:35 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) thinks: These people racist. - Thu Oct  8 23:56:35 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: ... - Thu Oct  8 23:57:26 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: .... - Thu Oct  8 23:57:26 2015
<br><br><font color=teal>*Kaori(JustCallMeGromp) says: ... - Thu Oct  8 23:57:26 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: Hey. - Thu Oct  8 23:57:26 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: Youth guy. - Thu Oct  8 23:58:17 2015
<br><br><font color=teal>*Sabara, Izutora(Get Jazzy) says: Yes, kind sir? - Thu Oct  8 23:58:17 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: Care to...'spar'? - Thu Oct  8 23:58:17 2015
<br><br><font color=teal>*Sabara, Izutora(Get Jazzy) says: I must decline. I can identify how youthful and strong you are. I must become stronger before I can even think about sparring you on equal grounds. - Fri Oct  9 00:00:00 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: Tch... - Fri Oct  9 00:00:00 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: Pussy. - Fri Oct  9 00:00:00 2015
<br><br><font color=teal>*Kaori(JustCallMeGromp) says: I'll spar you. - Fri Oct  9 00:00:00 2015
<br><br><font color=teal>*Kaori(JustCallMeGromp) says: But Im not very strong. - Fri Oct  9 00:00:00 2015
<br><br><font color=teal>*Sabara, Izutora(Get Jazzy) says: Call me what you may, my youth trumps however much of a cat I am! - Fri Oct  9 00:00:51 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: Alright. - Fri Oct  9 00:00:51 2015
<br><br><font color=teal>*Sabara, Izutora(Get Jazzy) says: Now! I must commence reaction time training! - Fri Oct  9 00:00:51 2015
<br><br><font color=yellow>*Sabo(Chevy Impalla) proceeds towards the training field. A rather...dark smirk growing upon hsi face.* - Fri Oct  9 00:00:51 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) thinks: That booty. - Fri Oct  9 00:01:42 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: I'm going. - Fri Oct  9 00:02:33 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: Well. - Fri Oct  9 00:03:24 2015
<br><br><font color=teal>*Kaori(JustCallMeGromp) says: Alright uhm. - Fri Oct  9 00:03:24 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: Ladies first. - Fri Oct  9 00:03:24 2015
<br><br><font color=teal>*Kaori(JustCallMeGromp) says: Can you go easy? - Fri Oct  9 00:03:24 2015
<br><br><font color=teal>*Kaori(JustCallMeGromp) says: I've only recently become a genin. - Fri Oct  9 00:03:24 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: ...'Easy'.... - Fri Oct  9 00:03:24 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: I can try. - Fri Oct  9 00:03:24 2015
<br><br><font color=teal>*Kaori(JustCallMeGromp) says: Alright. - Fri Oct  9 00:03:24 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) thinks: Not really. - Fri Oct  9 00:03:24 2015
<br><br><font color=yellow>*Sabo(Chevy Impalla) observed Kaori as she approached, his eyes of lavendar scanning over her form. As Sabo stood there, he was simply observing any abnormalities within her chakra, looking for any deformation in her limbs or practically any weak points in general. Once he'd done such, he delivered a single blink, the single ring he had carrying itself over her legs more specifically.

As he looked on, he understood that she was rather slow, finding it very simple for himself to overtake her position and practically end this situation in a short second. Rather than drawing forth the katana of paper he held in his sheath, he simply allowed himself to produce a short series of handseals underneath his cloak. A moment of preparation took place, and he was only watching now for the girl to come even nearer.* - Fri Oct  9 00:09:23 2015
<br><br><font color=yellow>*Sabo(Chevy Impalla) had by now completed the handseals, allowing himself to easily let his chakra access the surrounding region. Even though elemental ninjutsu wasn't really Sabo's expertise, he figured it was best to see how truly lethal this technique could have been. With both the application of his chakra and the handseals completed, Kaori still proved to be too slow in Sabo's eyes.

A rippling through the ground and before she could even meet his point, rock proceeded to pierce tile and introduce itself to the female. Should she lack the reflexes, she'd more than likely find two, rather large spikes introducing themselves to her gut and two on the opposing side of the body, finding the same point of connection.

However, if she proved to overcome this technique, Sabo would take the strike, moving back with it yet proving to be pretty alright considering the females strength.* - Fri Oct  9 00:16:12 2015
<br><br><font color=yellow>*Sabo(Chevy Impalla) turned his head back as he heard the words of Kaori. It seemed that the ring in his eye seemed to fluctuate a bit, before eventually proceeding to move forward a few steps. Sabo retained a smirk before lowering his vision so that a shadow would take over a majority of his face, simply stating.

"You can't just hit someone...and get away with it so easily..."

A burst of speed forth and Sabo was within her immediate range, allowing himself to produce a single kunai from within his cloak, introducing it to the personal space of Kaori. At first, Sabo found this as traditionally good fun, considering killing was his hobby, yet with how quickly she attempted to back out he found a build up in anger.

Translating this anger to combat, he allowed his chakra to inch forth from the edge of his blade, finding a rather, elongated form of chakra taking place. Sabo was easily utilizing his chakra with the length of a tanto. Should Sabo connect, his blade would run up through the gut and his chakra, piercing the heart.

"I dislike when someone backs down...after offering..."* - Fri Oct  9 00:35:50 2015
<br><br><font color=yellow>*Sabo(Chevy Impalla) casually looted the body as he sheathed his kunai.

"A pity, they didn't even resist...never any fun."* - Fri Oct  9 00:48:38 2015
<br><br><font color=teal>*Nina(Ninasky115) says: W-What.....? - Fri Oct  9 00:48:38 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: I said it's a pity. - Fri Oct  9 00:49:29 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: ..... - Fri Oct  9 00:51:12 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: I love this smell... - Fri Oct  9 00:51:12 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: It's fantastic... - Fri Oct  9 00:51:12 2015
<br><br><font color=yellow>*Sabo(Chevy Impalla) casually heaves the body up, removing himself from the area as he moves on to hide it away somewhere.* - Fri Oct  9 00:52:03 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: .... - Fri Oct  9 04:49:16 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: Yo. Katana guy. - Fri Oct  9 04:49:16 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: Explain. - Fri Oct  9 04:50:08 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: Hm? - Fri Oct  9 04:50:08 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: The situation. - Fri Oct  9 04:50:08 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: Explain it. - Fri Oct  9 04:50:08 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: Ahh.... - Fri Oct  9 04:50:08 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: I don't know. - Fri Oct  9 04:50:08 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: Two people died. - Fri Oct  9 04:50:08 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: The Raikage injuryed. - Fri Oct  9 04:50:08 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: ....Names. I need them. - Fri Oct  9 04:50:59 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: Don't know them. - Fri Oct  9 04:50:59 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: Well not two people. - Fri Oct  9 04:50:59 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: Muda... - Fri Oct  9 04:50:59 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: Other shinobi and citizens died too. - Fri Oct  9 04:50:59 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: Also the mansion got destoryed. - Fri Oct  9 04:50:59 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: You're just stating the obvious now. - Fri Oct  9 04:51:50 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: I know just about as much as you do. - Fri Oct  9 04:51:50 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: Anyways. - Fri Oct  9 04:51:50 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: What I wanted to ask. - Fri Oct  9 04:52:41 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: Is that do you want to invest in a new sword? - Fri Oct  9 04:52:41 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: I do. - Fri Oct  9 04:52:41 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: How much you got. - Fri Oct  9 04:52:41 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: I'm low on funds. And all my materials are like. - Fri Oct  9 04:53:32 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: Gone. - Fri Oct  9 04:53:32 2015
<br><br><font color=yellow>*Sabo(Chevy Impalla) averted his gaze to Genesis, removing his cloak for a moment as he proceeded to drape her with it. He was attempting to be comforting at the least. An awkward gesture for him.* - Fri Oct  9 04:54:24 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: I've got eight hundred thousand. - Fri Oct  9 04:54:24 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: Ehh,,,,, - Fri Oct  9 04:55:15 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: Thats not enough for anything special....... - Fri Oct  9 04:56:06 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: Right. - Fri Oct  9 04:56:06 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: That's fine. - Fri Oct  9 04:56:06 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: Whats your sword made out of? - Fri Oct  9 04:56:06 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: This blade? This isn't meant for combat. - Fri Oct  9 04:56:06 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: This is a practice blade. - Fri Oct  9 04:56:57 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: Wait. So you don't have a sword at all? - Fri Oct  9 04:56:57 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: Currently, no. - Fri Oct  9 04:56:57 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) thinks: How do I comfort her... - Fri Oct  9 04:56:57 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: Oh. I can just make you one out of Iron. - Fri Oct  9 04:56:57 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: I'll save my funds for now. - Fri Oct  9 04:57:48 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: It'll primarly cost around five hundred. - Fri Oct  9 04:58:40 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: --- - Fri Oct  9 04:58:40 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: Just five hundred? - Fri Oct  9 04:58:40 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: Yea? - Fri Oct  9 04:58:40 2015
<br><br><font color=yellow>*Sabo(Chevy Impalla) tossed Takumi five hundred yen. "A good deal."

He then returned his attention to Genesis, wondering how he could coax her out of her current state.* - Fri Oct  9 04:59:31 2015
<br><br><font color=yellow>*Sabo(Chevy Impalla) didn't turn in response to Fujitora's presence, but he heard him all the same and even sensed his position, due to the condition of his eyes. However, as he remained with Genesis as his primary focus, he only gave a half-interested answer. "He's...injured...Probably with a medic."

Sabo then proceeded to step in front of Genesis, allowing both hands to reach for her cheeks, attempting to raise his lavendar-ringed eyes to meet the girl's.* - Fri Oct  9 05:02:56 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: There is a place where pople gather. - Fri Oct  9 05:02:56 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Follow me Fujitora. - Fri Oct  9 05:02:56 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Aye..Thank you..I can probably heal him . - Fri Oct  9 05:03:47 2015
<br><br><font color=yellow>*Sabo(Chevy Impalla) had normally never felt anything other than a hunger for blood or the effect of one's rage, but as Sabo stared into the eyes of Genesis, it seemed that his killer's instinct and mindset had began to wash away. He proceeded to remove his hands, and apply them elsewhere, now pulling the girl into gentle hug of sorts as he seemed to whisper to her.* - Fri Oct  9 05:08:54 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) whispers: Everything will be fine... - Fri Oct  9 05:08:54 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: ... - Fri Oct  9 05:11:28 2015
<br><br><font color=yellow>*Sabo(Chevy Impalla) pulled back from the embrace now, finding his actions to be futile. It was obvious that the girl was stuck within a trance, but for what? It was unknown to Sabo. Regardless, he figured it was best to try and guide her away from the scene, proceeding to place a single arm upon her lower back, trying to get her to walk with him, yet not trying to force her.* - Fri Oct  9 05:14:52 2015
<br><br><font color=yellow>*Sabo(Chevy Impalla) seemed to apply some more force, merely to support the girl. Her depression seemed to be getting to Sabo, although he figured it was in his best interest to coax her out of this state for her sake, as he guided her away from the space.* - Fri Oct  9 05:20:51 2015
<br><br><font color=yellow>*Sabo(Chevy Impalla) seemed to bring Genesis to an open home, closing the door behind himself as he motioned her towards one of the beds, hoping that she'd take a seat upon one. Whether she did or not, he'd allow himself to observe he current state, simply speaking to her, "What's wrong with my queen?"* - Fri Oct  9 05:25:07 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: .... - Fri Oct  9 05:27:40 2015
<br><br><font color=yellow>*Sabo(Chevy Impalla) began to pace back and forth now, simply finding it odd of her to be so silent. It was unsettling, and even with how little he'd known of the girl, he felt it was his duty to do everything in his power to keep her happy. Another odd characteristic being applied to Sabo now. It was quite possible that just this girl alone was changing him. 

Yet, he pushed the thought to the back of his mind, finding that there were more important matters to attend to. Gaining a kneeling position, he now sat upon one knee as he attempted to take one of her hands, "Please...tell me how I can help..."* - Fri Oct  9 05:33:39 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Hideki. - Fri Oct  9 17:08:16 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Hm? - Fri Oct  9 17:08:16 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: I know you're busy with being a Jounin...and now even more busy since what happened here. - Fri Oct  9 17:09:07 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Yeah.. - Fri Oct  9 17:09:07 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: But I was wondering if you'd train me? - Fri Oct  9 17:09:07 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Hm.. - Fri Oct  9 17:09:07 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Or at least teach me some stuff. - Fri Oct  9 17:09:07 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Take this chakra paper. - Fri Oct  9 17:09:58 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: .... - Fri Oct  9 17:10:49 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Chakra paper? - Fri Oct  9 17:10:49 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Why? - Fri Oct  9 17:10:49 2015
<br><br><font color=teal>*Hideki(Assassin241) says: So I can see your elements. - Fri Oct  9 17:10:49 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: I can use all five. - Fri Oct  9 17:10:49 2015
<br><br><font color=teal>*Hideki(Assassin241) says: ---- - Fri Oct  9 17:10:49 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: And am proficient in all five. - Fri Oct  9 17:10:49 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: So can I. - Fri Oct  9 17:10:49 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: omit - Fri Oct  9 17:10:49 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Hmm.. - Fri Oct  9 17:11:40 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: I'll learn anything you can give me. - Fri Oct  9 17:12:32 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Jutsu, skills, anything. - Fri Oct  9 17:12:32 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: Learn deez nuts, bitch. - Fri Oct  9 17:12:32 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Do you know how to flow chakra through your blade? - Fri Oct  9 17:12:32 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Or a kunai for that matter. - Fri Oct  9 17:12:32 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: --- - Fri Oct  9 17:13:23 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: No, But i've been meaning to learn that. - Fri Oct  9 17:13:23 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: I've seen multiple people accomplish that, It would be much appreciated if you could teach e. - Fri Oct  9 17:13:23 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Alright. - Fri Oct  9 17:13:23 2015
<br><br><font color=teal>*Hideki(Assassin241) says: We'll start now then. - Fri Oct  9 17:13:23 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: It's fine. - Fri Oct  9 17:15:05 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: .... - Fri Oct  9 17:15:05 2015
<br><br><font color=yellow>*Sabo(Chevy Impalla) steps forward, allowing himself to stare at Genesis' mask before proceeding to share a soft word.* - Fri Oct  9 17:15:56 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) whispers: Are you alright? - Fri Oct  9 17:15:56 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: .... - Fri Oct  9 17:20:12 2015
<br><br><font color=yellow>*Sabo(Chevy Impalla) attempted to follow.* - Fri Oct  9 17:22:46 2015
<br><br><font color=yellow>*Sabo(Chevy Impalla) returns with a simple sigh, proceeding to stand off by the rubble.* - Fri Oct  9 17:24:28 2015
<br><br><font color=teal>*Hideki(Assassin241) says: I'm sorry to hear that, Genesis. - Fri Oct  9 17:49:13 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: .... - Fri Oct  9 17:49:13 2015
<br><br><font color=teal>*Hideki(Assassin241) says: However. - Fri Oct  9 17:50:04 2015
<br><br><font color=teal>*Hideki(Assassin241) says: I don't hold my breath wondering who the new leader is. - Fri Oct  9 17:50:56 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: .... - Fri Oct  9 17:50:56 2015
<br><br><font color=teal>*Hideki(Assassin241) says: However, this country, Kumogakure. Isn't cowardly. - Fri Oct  9 17:50:56 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) thinks: She'll speak to him...but not me... - Fri Oct  9 17:51:47 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) thinks: I've done something wrong... - Fri Oct  9 17:51:47 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: .... - Fri Oct  9 17:52:38 2015
<br><br><font color=teal>*Hideki(Assassin241) says: https://gyazo.com/15856ee5fb0c38d551bbc4110957cb8e <Repost> - Fri Oct  9 17:52:38 2015
<br><br><font color=teal>*Hideki(Assassin241) says: So....I assume that you'll try to change that? - Fri Oct  9 17:55:12 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: Try? No - Fri Oct  9 17:55:12 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: I -will- - Fri Oct  9 17:55:12 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Heh.....So you plan on going for Raikage in order to change this? - Fri Oct  9 17:55:12 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: .... - Fri Oct  9 17:56:03 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: I'm not interested in a military rank, Hideki. I'm not strong, I'm not worthy of being the protector and guardian of this village. Everyone has forgtten of their previous rulers. - Fri Oct  9 17:56:03 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: forgotten*> - Fri Oct  9 17:56:03 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: Before this whole country was integrated into a system of espionage. - Fri Oct  9 17:56:03 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: and Ninja warfare. - Fri Oct  9 17:56:54 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: The greed of people made this country suffer, when it was doing well in the past. - Fri Oct  9 17:56:54 2015
<br><br><font color=yellow>*Sabo(Chevy Impalla) cut this nigga's head off.* - Fri Oct  9 17:56:54 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: Do you understand what I'm speaking about? - Fri Oct  9 17:57:45 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Yes, I do. - Fri Oct  9 17:57:45 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: My clan, my bloodline was the ruling dynasty of this country before the arts of recording history and written documents existed. - Fri Oct  9 17:57:45 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: WE were the ancient rulers. - Fri Oct  9 17:57:45 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Second, Ortho. - Fri Oct  9 17:58:36 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Continue, Genesis. - Fri Oct  9 17:58:36 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) thinks: ...Ancient...rulers? - Fri Oct  9 17:58:36 2015
