<br><font color=teal>*Ziare(Meekee) says: It's more efficient than yours. - Mon Nov  2 07:39:56 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: ... - Mon Nov  2 09:00:09 2015
<br><br><font color=teal>*Ziare(Meekee) says: Hm? - Mon Nov  2 09:00:09 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Onto more lighter things now. - Mon Nov  2 09:00:09 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Lets all get to know each other a bit more. - Mon Nov  2 09:01:00 2015
<br><br><font color=teal>*Ziare(Meekee) says: I don't need to know Rias anymore than I already do. - Mon Nov  2 09:01:00 2015
<br><br><font color=teal>*Ketsuki(SephirothSage) says: Mrm... well, ask questions away, I s'pose. - Mon Nov  2 09:01:00 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: What do you guys do outside of being a shinobi? - Mon Nov  2 09:01:00 2015
<br><br><font color=teal>*Ketsuki(SephirothSage) says: Hrm..? Well.. - Mon Nov  2 09:01:00 2015
<br><br><font color=teal>*Ziare(Meekee) says: Sleep or star gaze. - Mon Nov  2 09:01:00 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Anything in perticular? - Mon Nov  2 09:02:43 2015
<br><br><font color=teal>*Ketsuki(SephirothSage) says: ...Not... really.... sorry. - Mon Nov  2 09:02:43 2015
<br><br><font color=teal>*Ketsuki(SephirothSage) says: I was pretty insular before I went to the academy, you could say. - Mon Nov  2 09:02:43 2015
<br><br><font color=teal>*Ketsuki(SephirothSage) says: Did more reading inside my home than anything else. - Mon Nov  2 09:03:34 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Uh...don't you do anything else..? - Mon Nov  2 09:03:34 2015
<br><br><font color=teal>*Ketsuki(SephirothSage) says: Hrm? - Mon Nov  2 09:03:34 2015
<br><br><font color=teal>*Ketsuki(SephirothSage) says: Well... I mean...  - Mon Nov  2 09:03:34 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Like, a hobby or something..? - Mon Nov  2 09:03:34 2015
<br><br><font color=teal>*Ketsuki(SephirothSage) says: My training takes up a lot of my time- and when I have spare time, I spend it reading while I rest.. - Mon Nov  2 09:03:34 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Well I mean training is important but you need to do other stuff too. - Mon Nov  2 09:04:25 2015
<br><br><font color=teal>*Ketsuki(SephirothSage) says: I s'pose so... - Mon Nov  2 09:04:25 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Like, I collect different Zippos. - Mon Nov  2 09:04:25 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Ones with like, different ingravings and such. - Mon Nov  2 09:04:25 2015
<br><br><font color=teal>*Ketsuki(SephirothSage) says: Huh.. neat. - Mon Nov  2 09:05:16 2015
<br><br><font color=teal>*Ziare(Meekee) says: Sounds dull. - Mon Nov  2 09:05:16 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Better than sitting watching clouds, ey? - Mon Nov  2 09:05:16 2015
<br><br><font color=teal>*Ketsuki(SephirothSage) says: Eh... clouds can be interesting. - Mon Nov  2 09:06:08 2015
<br><br><font color=teal>*Ziare(Meekee) says: Hah. - Mon Nov  2 09:06:08 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: I guess other than that I collect jutsu scrolls and try and hang out with Nori as much as possible. - Mon Nov  2 09:06:59 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: She's like, the only one similar in age to me. - Mon Nov  2 09:06:59 2015
<br><br><font color=teal>*Ketsuki(SephirothSage) says: Mrm... - Mon Nov  2 09:06:59 2015
<br><br><font color=teal>*Ziare(Meekee) says: These questions are dumb... - Mon Nov  2 09:06:59 2015
<br><br><font color=teal>*Ketsuki(SephirothSage) says: I like spending time with Ai-kun, when I can. - Mon Nov  2 09:07:50 2015
<br><br><font color=teal>*Ketsuki(SephirothSage) says: Just... talking, and being together... - Mon Nov  2 09:07:50 2015
<br><br><font color=teal>*Ketsuki(SephirothSage) says: ....Mrm. - Mon Nov  2 09:07:50 2015
<br><br><font color=teal>*Ketsuki(SephirothSage) says: Meanwhile... I can't lie. - Mon Nov  2 09:07:50 2015
<br><br><font color=teal>*Ketsuki(SephirothSage) says: I .. /enjoy/ a good hand to hand fight. - Mon Nov  2 09:07:50 2015
<br><br><font color=teal>*Ziare(Meekee) says: ... - Mon Nov  2 09:07:50 2015
<br><br><font color=teal>*Ketsuki(SephirothSage) says: I like it. It feels good, that burn in the muscles when you're fighting someone you're evenly matched with. - Mon Nov  2 09:08:41 2015
<br><br><font color=teal>*Ziare(Meekee) thinks: I hate women.. - Mon Nov  2 09:08:41 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Yeah, I miss just sitting and talking with mum... - Mon Nov  2 09:08:41 2015
<br><br><font color=teal>*Ketsuki(SephirothSage) says: I guess that's my hobby; fighting. - Mon Nov  2 09:08:41 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Hm, That reminds me. - Mon Nov  2 09:08:41 2015
<br><br><font color=teal>*Ziare(Meekee) says: My mom yells at me. - Mon Nov  2 09:08:41 2015
<br><br><font color=teal>*Ketsuki(SephirothSage) says: BOTH OF MY PARENTS ARE DEAADDDD - Mon Nov  2 09:09:32 2015
<br><br><font color=teal>*Ketsuki(SephirothSage) says: ...Mrm.. - Mon Nov  2 09:09:32 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: I need to see a florist. - Mon Nov  2 09:09:32 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Mum needs her flowers renewing. - Mon Nov  2 09:09:32 2015
<br><br><font color=teal>*Ziare(Meekee) says: Rias's family owns the local one. - Mon Nov  2 09:09:32 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Ah that's good then, I need like a monthly subscription or something. - Mon Nov  2 09:10:24 2015
<br><br><font color=teal>*Ziare(Meekee) says: You two sure are close. - Mon Nov  2 09:12:06 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Hm? - Mon Nov  2 09:12:06 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Yeah. - Mon Nov  2 09:12:06 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: I guess we are. - Mon Nov  2 09:12:06 2015
<br><br><font color=teal>*Ziare(Meekee) says: I never understood how close people did that. - Mon Nov  2 09:12:57 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) whispers: I want you to cheer up silly. - Mon Nov  2 09:13:48 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Do what? - Mon Nov  2 09:13:48 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Poke each other? - Mon Nov  2 09:13:48 2015
<br><br><font color=teal>*Ketsuki(SephirothSage) says: Dunnow what you're talkin about. I'm in a perfectly good mood. - Mon Nov  2 09:13:48 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Good, keep it that way Ketsuki. - Mon Nov  2 09:14:40 2015
<br><br><font color=teal>*Ziare(Meekee) says: No. - Mon Nov  2 09:15:31 2015
<br><br><font color=teal>*Ziare(Meekee) says: Played with each other. - Mon Nov  2 09:15:31 2015
<br><br><font color=teal>*Ziare(Meekee) says: I -never- enjoyed that. - Mon Nov  2 09:15:31 2015
<br><br><font color=teal>*Ziare(Meekee) says: Even as a child. - Mon Nov  2 09:15:31 2015
<br><br><font color=teal>*Ketsuki(SephirothSage) says: .... Sorry to hear that, man. - Mon Nov  2 09:15:31 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Guess we're just not uptight. - Mon Nov  2 09:15:31 2015
<br><br><font color=teal>*Ziare(Meekee) says: I'm not uptight either. - Mon Nov  2 09:16:22 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: You seem it. - Mon Nov  2 09:16:22 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: I mean for someone thats pretty lax. - Mon Nov  2 09:16:22 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: you get worked up easy. - Mon Nov  2 09:16:22 2015
<br><br><font color=teal>*Ziare(Meekee) says: I've known her since I was three... - Mon Nov  2 09:17:13 2015
<br><br><font color=teal>*Ziare(Meekee) says: She knows exactly how to get on my nerves. - Mon Nov  2 09:17:13 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Not for me to judge I guess. - Mon Nov  2 09:18:04 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: I don't really have a childhood friend like you. - Mon Nov  2 09:18:04 2015
<br><br><font color=teal>*Ziare(Meekee) says: What do you guys do in your free time? - Mon Nov  2 09:18:04 2015
<br><br><font color=teal>*Ziare(Meekee) says: I have 2. - Mon Nov  2 09:18:56 2015
<br><br><font color=teal>*Ketsuki(SephirothSage) says: Free time? - Mon Nov  2 09:18:56 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: So count yourself lucky. - Mon Nov  2 09:18:56 2015
<br><br><font color=teal>*Ziare(Meekee) says: Yeah. - Mon Nov  2 09:18:56 2015
<br><br><font color=teal>*Ketsuki(SephirothSage) says: Read... - Mon Nov  2 09:18:56 2015
<br><br><font color=teal>*Ketsuki(SephirothSage) says: ....Uh.. - Mon Nov  2 09:18:56 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Ah, Well I train, gather jutsu scrolls. - Mon Nov  2 09:18:56 2015
<br><br><font color=teal>*Ketsuki(SephirothSage) says: ....Read, Train... - Mon Nov  2 09:18:56 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Talk to my friend Ortho. - Mon Nov  2 09:18:56 2015
<br><br><font color=teal>*Ketsuki(SephirothSage) says: Sometimes I just rest.. - Mon Nov  2 09:18:56 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Talk to Ketsuki. - Mon Nov  2 09:18:56 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: And talk to Nori I guess. - Mon Nov  2 09:19:47 2015
<br><br><font color=teal>*Ziare(Meekee) says: All you guys do is train.. - Mon Nov  2 09:19:47 2015
<br><br><font color=teal>*Ketsuki(SephirothSage) says: That ain't true. - Mon Nov  2 09:19:47 2015
<br><br><font color=teal>*Ziare(Meekee) thinks: He didn't add me in there, guess we arent that cool.. - Mon Nov  2 09:19:47 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: I actually come and go out of this village sometimes. - Mon Nov  2 09:19:47 2015
<br><br><font color=teal>*Ketsuki(SephirothSage) says: I read, and I speak to others. I do things like this -buy people food to talk to them- pretty often, actually. - Mon Nov  2 09:19:47 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: I visit kiri, it's a nice place. - Mon Nov  2 09:19:47 2015
<br><br><font color=teal>*Ziare(Meekee) says: I want to visit Kiri.. - Mon Nov  2 09:20:38 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Oh oh oh, and I annoy you Ziare. - Mon Nov  2 09:20:38 2015
<br><br><font color=teal>*Ziare(Meekee) says: Maybe one day. - Mon Nov  2 09:20:38 2015
<br><br><font color=teal>*Ziare(Meekee) says: ... - Mon Nov  2 09:20:38 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: You know, trying to get you motivated and all. - Mon Nov  2 09:21:29 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: It's fun. - Mon Nov  2 09:21:29 2015
<br><br><font color=teal>*Ziare(Meekee) says: In my free time, I sleep, read, watch the cloud and stars, and occaisonally feed der. - Mon Nov  2 09:21:29 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: It's weird. - Mon Nov  2 09:22:20 2015
<br><br><font color=teal>*Ziare(Meekee) says: Hm? - Mon Nov  2 09:22:20 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: I used to spend all my time just talking to my mother. - Mon Nov  2 09:22:20 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Literally hours just talking. - Mon Nov  2 09:22:20 2015
<br><br><font color=teal>*Ketsuki(SephirothSage) says: That sounds nice.. - Mon Nov  2 09:23:12 2015
<br><br><font color=teal>*Ziare(Meekee) says: Sounds boring. - Mon Nov  2 09:23:12 2015
<br><br><font color=teal>*Ketsuki(SephirothSage) says: ... It sounds like.. - Mon Nov  2 09:23:12 2015
<br><br><font color=teal>*Ketsuki(SephirothSage) says: Like the very opposite of being alone. - Mon Nov  2 09:23:12 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Now I try and spend hours talking to Ketsuki. - Mon Nov  2 09:23:12 2015
<br><br><font color=teal>*Ziare(Meekee) says: Being alone is nice. - Mon Nov  2 09:23:12 2015
<br><br><font color=teal>*Ketsuki(SephirothSage) says: For some people, maybe.. - Mon Nov  2 09:23:12 2015
<br><br><font color=teal>*Ziare(Meekee) says: Not having to deal with others.. - Mon Nov  2 09:23:12 2015
<br><br><font color=teal>*Ketsuki(SephirothSage) says: I hate it. - Mon Nov  2 09:23:12 2015
<br><br><font color=teal>*Ketsuki(SephirothSage) says: I hate being alo- - Mon Nov  2 09:24:03 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Heh, you're not alone silly. - Mon Nov  2 09:24:54 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: You have me. - Mon Nov  2 09:24:54 2015
<br><br><font color=teal>*Ketsuki(SephirothSage) says: I'm well aware! - Mon Nov  2 09:24:54 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: See, that's why I poked you. - Mon Nov  2 09:24:54 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: To remind you i'm here. - Mon Nov  2 09:24:54 2015
<br><br><font color=teal>*Ketsuki(SephirothSage) says: ..Mrm. - Mon Nov  2 09:25:45 2015
<br><br><font color=teal>*Ketsuki(SephirothSage) says: ... Thanks. - Mon Nov  2 09:25:45 2015
<br><br><font color=teal>*Ketsuki(SephirothSage) says: Anyone. - Mon Nov  2 09:25:45 2015
<br><br><font color=teal>*Ketsuki(SephirothSage) says: ... I'm headed to bed. - Mon Nov  2 09:25:45 2015
<br><br><font color=teal>*Ketsuki(SephirothSage) says: G'night, guys. - Mon Nov  2 09:26:36 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Think I might head to bed too. - Mon Nov  2 09:26:36 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Though before I do, Ziare. - Mon Nov  2 09:26:36 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Try not to like being alone too much. - Mon Nov  2 09:27:28 2015
<br><br><font color=teal>*Ziare(Meekee) says: I like being alone. - Mon Nov  2 09:27:28 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Getting some quiet is nice but when you're truly alone...you have no idea what that feels like. - Mon Nov  2 09:28:19 2015
<br><br><font color=teal>*Ziare(Meekee) says: I specialize in it. - Mon Nov  2 09:28:19 2015
<br><br><font color=teal>*Ziare(Meekee) says: Tch, I hate knowitalls like you. - Mon Nov  2 09:28:19 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: I know, but just hear me out. - Mon Nov  2 09:28:19 2015
<br><br><font color=teal>*Ziare(Meekee) says: I'll see you tomorow man. - Mon Nov  2 09:29:10 2015
<br><br><font color=teal>*Ziare(Meekee) says: My hair might be a bit different. - Mon Nov  2 09:29:10 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Yeah...just think about what I said alright? - Mon Nov  2 09:29:10 2015
<br><br><font color=teal>*Ziare(Meekee) says: Rias is making me tie it up like I usualy have it. - Mon Nov  2 09:29:10 2015
<br><br><font color=teal>*Ziare(Meekee) says: Yeah yeah. - Mon Nov  2 09:29:10 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Uh...Hello? - Tue Nov  3 00:02:59 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: ... - Tue Nov  3 00:06:24 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Guess i'll just come back later... - Tue Nov  3 00:09:48 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Uh, Rias? - Tue Nov  3 02:04:09 2015
<br><br><font color=yellow>*Rias(Jhunt713) walks in tea shop with a searching gaze. with a loud shout two particular peope," Z! J! hi guys miss me?~" she said in good spirits* - Tue Nov  3 04:53:58 2015
<br><br><font color=yellow>*Rias(Jhunt713) would try to flick him on the forehead, "Well obvious you missed me... you dont have to say it~" she then looked at J. "You made a new friend already?" she said leaning her upper body forward to poke him on the nose* - Tue Nov  3 05:01:39 2015
<br><br><font color=teal>*Ziare(Meekee) says: Well? - Tue Nov  3 05:08:28 2015
<br><br><font color=teal>*Rias(Jhunt713) says: Sure Im game - Tue Nov  3 05:09:20 2015
<br><br><font color=teal>*Termine, Jover(Bosshoggoutlaw) says: Sure Im done here. - Tue Nov  3 05:10:11 2015
<br><br><font color=teal>*Ziare(Meekee) says: What do you all want to do? - Tue Nov  3 05:11:02 2015
<br><br><font color=teal>*Termine, Jover(Bosshoggoutlaw) says: Uhhh.. Its about to you guys since i picked to come here. - Tue Nov  3 05:11:53 2015
<br><br><font color=teal>*Ziare(Meekee) says: Rias? - Tue Nov  3 05:11:53 2015
<br><br><font color=teal>*Rias(Jhunt713) says: J... you really need to start paying you- hmm? - Tue Nov  3 05:12:44 2015
<br><br><font color=teal>*Ziare(Meekee) says: What do you wanna do? - Tue Nov  3 05:13:36 2015
<br><br><font color=teal>*Rias(Jhunt713) says: I think we need to train... the three of us~ - Tue Nov  3 05:14:27 2015
<br><br><font color=teal>*Termine, Jover(Bosshoggoutlaw) says: Eh.Food bills are not my problem how many times do I have to tell you that Ray. - Tue Nov  3 05:15:18 2015
<br><br><font color=teal>*Ziare(Meekee) says: ...Ugh I really don't like training... - Tue Nov  3 05:15:18 2015
<br><br><font color=teal>*Ziare(Meekee) says: Fine... - Tue Nov  3 05:15:18 2015
<br><br><font color=teal>*Termine, Jover(Bosshoggoutlaw) thinks: Still  a little hungery but eh. - Tue Nov  3 05:16:09 2015
<br><br><font color=teal>*Rias(Jhunt713) says: Its Ri.... you never get my name right - Tue Nov  3 05:17:00 2015
<br><br><font color=teal>*Termine, Jover(Bosshoggoutlaw) says: Nope never Ray. - Tue Nov  3 05:17:52 2015
<br><br><font color=teal>*Ziare(Meekee) says: Well lets get this over with. - Tue Nov  3 05:18:43 2015
<br><br><font color=teal>*Ziare(Meekee) says: Lets head to the training field. - Tue Nov  3 05:19:34 2015
<br><br><font color=teal>*Ziare(Meekee) says: What are we going to train? - Tue Nov  3 05:20:25 2015
<br><br><font color=teal>*Rias(Jhunt713) says: Teamwork! - Tue Nov  3 05:20:25 2015
<br><br><font color=teal>*Ziare(Meekee) says: Well by next log check. - Tue Nov  3 05:22:08 2015
<br><br><font color=teal>*Ziare(Meekee) says: -brackify^- - Tue Nov  3 05:22:08 2015
<br><br><font color=teal>*Ziare(Meekee) says: Alright, - Tue Nov  3 05:22:08 2015
<br><br><font color=teal>*Ziare(Meekee) says: How about the most basic formation? - Tue Nov  3 05:22:08 2015
<br><br><font color=teal>*Termine, Jover(Bosshoggoutlaw) says: Hmmm. - Tue Nov  3 05:22:59 2015
<br><br><font color=teal>*Termine, Jover(Bosshoggoutlaw) says: Which would beeee. - Tue Nov  3 05:22:59 2015
<br><br><font color=teal>*Termine, Jover(Bosshoggoutlaw) says: What was it again. - Tue Nov  3 05:23:50 2015
<br><br><font color=teal>*Ziare(Meekee) says: ... - Tue Nov  3 05:23:50 2015
<br><br><font color=teal>*Ziare(Meekee) says: Really man? - Tue Nov  3 05:23:50 2015
<br><br><font color=teal>*Ziare(Meekee) says: It's simple. - Tue Nov  3 05:24:41 2015
<br><br><font color=teal>*Ziare(Meekee) says: But relies on Rias to hit her jutsu. - Tue Nov  3 05:24:41 2015
<br><br><font color=teal>*Ziare(Meekee) says: Once she can successfuly land the Mind Body Switch technique. - Tue Nov  3 05:25:32 2015
<br><br><font color=teal>*Ziare(Meekee) says: I connect my shadow imitation technique. - Tue Nov  3 05:25:32 2015
<br><br><font color=teal>*Ziare(Meekee) says: And you dumpster them with your multi-size. - Tue Nov  3 05:25:32 2015
<br><br><font color=teal>*Termine, Jover(Bosshoggoutlaw) says: Ah. - Tue Nov  3 05:32:22 2015
<br><br><font color=teal>*Termine, Jover(Bosshoggoutlaw) says: Yeah That one. - Tue Nov  3 05:32:22 2015
<br><br><font color=teal>*Ziare(Meekee) says: ... - Tue Nov  3 05:32:22 2015
<br><br><font color=teal>*Ziare(Meekee) says: Just keep up. - Tue Nov  3 05:32:22 2015
<br><br><font color=teal>*Ziare(Meekee) says: Rias you start us off. - Tue Nov  3 05:32:22 2015
<br><br><font color=teal>*Ziare(Meekee) says: Hit that scarecrow. - Tue Nov  3 05:32:22 2015
<br><br><font color=teal>*Rias(Jhunt713) says: got it - Tue Nov  3 05:32:22 2015
<br><br><font color=teal>*Termine, Jover(Bosshoggoutlaw) says: Ha Scarecrow. - Tue Nov  3 05:33:13 2015
<br><br><font color=yellow>*Rias(Jhunt713) Would preform her clan specific hand seal, which was a closed circle with her fingers out. She would concentrate and focus on her target. "Transfer...Guys watch my body... thats not a body so I can possess it. But it will take a while for my soul to get back." she said to herself as her soul left her body. Her soul would travel through the scarecrow and would slowly wait for her teammates to do the rest.* - Tue Nov  3 05:52:00 2015
<br><br><font color=teal>*Ziare(Meekee) says: I know. - Tue Nov  3 06:43:12 2015
<br><br><font color=teal>*Termine, Jover(Bosshoggoutlaw) says: Its like each punch gets makes me feel more and more alive you know. - Tue Nov  3 06:44:03 2015
<br><br><font color=teal>*Ziare(Meekee) says: I have no idea what you're talking about. - Tue Nov  3 06:44:03 2015
<br><br><font color=teal>*Ziare(Meekee) says: But makes relative sense I guess. - Tue Nov  3 06:44:03 2015
<br><br><font color=teal>*Ziare(Meekee) says: Yeah, not bad. - Tue Nov  3 07:22:27 2015
<br><br><font color=teal>*Ziare(Meekee) says: We just need to be quicker. - Tue Nov  3 07:22:27 2015
<br><br><font color=teal>*Termine, Jover(Bosshoggoutlaw) says: Yeah. - Tue Nov  3 07:31:50 2015
<br><br><font color=teal>*Termine, Jover(Bosshoggoutlaw) says: Me be quicker Ha. - Tue Nov  3 07:32:41 2015
<br><br><font color=teal>*Termine, Jover(Bosshoggoutlaw) says: good joke. - Tue Nov  3 07:32:41 2015
<br><br><font color=teal>*Ziare(Meekee) says: I'll make up for you then. - Tue Nov  3 07:32:41 2015
<br><br><font color=teal>*Ziare(Meekee) says: My shadows are pretty fast. - Tue Nov  3 07:33:32 2015
<br><br><font color=teal>*Ziare(Meekee) says: Plus I don't only need just shadows to take people out. - Tue Nov  3 07:34:24 2015
<br><br><font color=teal>*Ziare(Meekee) says: All you gotta worry about is if you're hitting hard enough. - Tue Nov  3 07:34:24 2015
<br><br><font color=teal>*Ziare(Meekee) says: Alright buddy? - Tue Nov  3 07:34:24 2015
<br><br><font color=teal>*Termine, Jover(Bosshoggoutlaw) says: Fine by me. - Tue Nov  3 07:36:57 2015
<br><br><font color=teal>*Termine, Jover(Bosshoggoutlaw) says: Just point and I punch. - Tue Nov  3 07:36:57 2015
<br><br><font color=teal>*Ziare(Meekee) says: Right. - Tue Nov  3 07:36:57 2015
<br><br><font color=teal>*Ziare(Meekee) says: LEave the tactics to me. - Tue Nov  3 07:36:57 2015
<br><br><font color=teal>*Termine, Jover(Bosshoggoutlaw) says: Makes my life so much eaiser. - Tue Nov  3 07:38:40 2015
<br><br><font color=teal>*Ziare(Meekee) says: My shadows don't miss their marks. - Tue Nov  3 07:40:22 2015
<br><br><font color=teal>*Ziare(Meekee) says: My plans have never failed me either. - Tue Nov  3 07:42:04 2015
<br><br><font color=teal>*Termine, Jover(Bosshoggoutlaw) says: I beleive you . - Tue Nov  3 07:42:56 2015
<br><br><font color=teal>*Termine, Jover(Bosshoggoutlaw) says: As long as they dont miss I dont miss. - Tue Nov  3 07:42:56 2015
<br><br><font color=teal>*Ziare(Meekee) says: Basically if Rias can keep up, then we won't lose. - Tue Nov  3 07:44:38 2015
<br><br><font color=teal>*Rias(Jhunt713) says: I can keep up... I just need the faster hand and the element of surprise - Tue Nov  3 07:44:38 2015
<br><br><font color=teal>*Ziare(Meekee) says: Element of suprise? - Tue Nov  3 07:48:03 2015
<br><br><font color=teal>*Ziare(Meekee) says: I don't need suprise. - Tue Nov  3 07:48:03 2015
<br><br><font color=teal>*Ziare(Meekee) says: You guys should master some of your jutsus while you're here. - Tue Nov  3 07:48:03 2015
<br><br><font color=teal>*Rias(Jhunt713) says: Its hard to master a jutsu thats so... different - Tue Nov  3 07:49:45 2015
<br><br><font color=teal>*Ziare(Meekee) says: It's your clan's jutsu. - Tue Nov  3 07:53:10 2015
<br><br><font color=teal>*Ziare(Meekee) says: You need to be a beacon. - Tue Nov  3 07:53:10 2015
<br><br><font color=teal>*Ziare(Meekee) says: You are a future clan leader. - Tue Nov  3 07:54:01 2015
<br><br><font color=teal>*Ziare(Meekee) says: I mastered mine for the most part. - Tue Nov  3 07:54:01 2015
<br><br><font color=teal>*Ziare(Meekee) says: You too Jover. - Tue Nov  3 07:54:01 2015
<br><br><font color=teal>*Rias(Jhunt713) says: Yea, I know... - Tue Nov  3 07:54:01 2015
<br><br><font color=teal>*Termine, Jover(Bosshoggoutlaw) says: Yeah, - Tue Nov  3 08:02:33 2015
<br><br><font color=teal>*Termine, Jover(Bosshoggoutlaw) says: Ill work on it. - Tue Nov  3 08:03:24 2015
<br><br><font color=teal>*Kronos(Jhunt713) says: My.... gourd... I guess there isnt sand in the afterlife... - Tue Nov  3 18:22:56 2015
<br><br><font color=teal>*Hogo, Tethys(Uptown Realest) says: Took you two long enough.. - Tue Nov  3 18:26:20 2015
<br><br><font color=yellow>*Kronos(Jhunt713) turned around as his body begins to contruct from the foundation of this new world. "Well I was here first so you were the late one" he said with a chuckle... he was at this original carefree personality.* - Tue Nov  3 18:28:54 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Makes me wonder. - Tue Nov  3 18:34:01 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Where -is- Zetsumo? - Tue Nov  3 18:34:01 2015
<br><br><font color=teal>*Kilm(Vysasi) says: I know he's dead. - Tue Nov  3 18:34:01 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Was he technically soulless or something? - Tue Nov  3 18:34:01 2015
<br><br><font color=yellow>*Kronos(Jhunt713) would wave to him, "Sup... guy... I dont think we meet... or have we?" she said with a confused face. "Oh well, Kronos if we havent" he said in a jovial voice* - Tue Nov  3 18:35:44 2015
<br><br><font color=teal>*Hogo, Tethys(Uptown Realest) says: We seriously worried about Zetsumo..? - Tue Nov  3 18:35:44 2015
<br><br><font color=teal>*Kilm(Vysasi) says: I ain't. - Tue Nov  3 18:35:44 2015
<br><br><font color=teal>*Kilm(Vysasi) says: I think I surpassed him. - Tue Nov  3 18:35:44 2015
<br><br><font color=teal>*Kilm(Vysasi) says: I was just curious. - Tue Nov  3 18:35:44 2015
<br><br><font color=teal>*Kronos(Jhunt713) says: He was pretty cool... before he got all evil... - Tue Nov  3 18:35:44 2015
