<br><font color=teal>*Hideki(Assassin241) thinks: peace* - Sat Oct  3 06:02:40 2015
<br><br><font color=teal>*Hideki(Assassin241) says: I'll be back.. - Sun Oct  4 00:50:46 2015
<br><br><font color=yellow>*Misa(FatFreeCupcakes) placed her hands on the surface of the table. "Look...I know you obviously don't care about me the same way I care about you...I understand and I can live with that...." she began, fiddling with her fingers as she spoke.

"Aside from that, aside from you obviously lying about liking me....You're still my friend...we're still friends...aren't we?" she asked, her green eyes fixated on the boy across from her.

"And....If everything else fails...You're still my teacher, right? That's what Hanabi would have wanted..."* - Sun Oct  4 00:53:20 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: . . . . . . . . . . . - Sun Oct  4 00:56:44 2015
<br><br><font color=yellow>*Misa(FatFreeCupcakes) watched Hideki get up. "Stop!" she shouted, slamming the palm of her hand against the table to make a loud enough sound for him to hear, while hurting her hand at the same time.

*Idiot!* she yelled in her mind as she continued, "You're just going to leave? You think so little of me?"* - Sun Oct  4 00:58:27 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: That...That made no sense! - Sun Oct  4 01:00:09 2015
<br><br><font color=teal>*Hideki(Assassin241) says: It does. - Sun Oct  4 01:01:00 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: It totally doesn't. - Sun Oct  4 01:01:00 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: I just want the fuck out of here. - Sun Oct  4 01:01:00 2015
<br><br><font color=teal>*Tokisaki, Chiharu(Cheesy Cakey) thinks: Just accept it before he engulfs you in black flames. - Sun Oct  4 01:01:00 2015
<br><br><font color=teal>*Tokisaki, Chiharu(Cheesy Cakey) thinks: -omit- - Sun Oct  4 01:01:00 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: What Chiharu said - Sun Oct  4 01:01:00 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: omit - Sun Oct  4 01:01:00 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: . . . - Sun Oct  4 01:01:00 2015
<br><br><font color=yellow>*Misa(FatFreeCupcakes) let her head fall against the table, facedesking with a thud. She was in pain, but Hideki's mind was full of balogna or sphagetti...whichever was worse, and it was just hurting trying to talk to him. She could feel her forehead already starting to throb as she laided there.* - Sun Oct  4 01:02:43 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: ........ - Sun Oct  4 01:03:34 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) thinks: Why does he suddenly hate me... - Sun Oct  4 01:04:25 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) thinks: When did he get so dumb... - Sun Oct  4 01:04:25 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) thinks: He got so complicated.... - Sun Oct  4 01:05:16 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: ughhh...... - Sun Oct  4 01:05:16 2015
<br><br><font color=yellow>*Misa(FatFreeCupcakes) faint sounds of crying could be heard.* - Sun Oct  4 01:07:50 2015
<br><br><font color=yellow>*Misa(FatFreeCupcakes) Faint sounds of crying could be heard coming from the blonde.* - Sun Oct  4 01:07:50 2015
<br><br><font color=teal>*Tokisaki, Chiharu(Cheesy Cakey) whispers: Um... are you okay..? - Sun Oct  4 01:08:41 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) whispers: I feel...Unwanted.. - Sun Oct  4 01:08:41 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) whispers: How can someone say they like you...and then treat you like a common stranger the next day? - Sun Oct  4 01:09:32 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Are you.... - Sun Oct  4 01:10:24 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Are you alright, Misa? - Sun Oct  4 01:11:15 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: W-wh...what did I do..wrong? - Sun Oct  4 01:11:15 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: . . .  - Sun Oct  4 01:12:57 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: I'm sorry. - Sun Oct  4 01:12:57 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Hideki... he's ... - Sun Oct  4 01:12:57 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Confused right now. - Sun Oct  4 01:12:57 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: Are you saying he wants penis? - Sun Oct  4 01:12:57 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: =omit= - Sun Oct  4 01:12:57 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: mebbeh - Sun Oct  4 01:13:48 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: -omit- - Sun Oct  4 01:13:48 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Do you... want to perhaps join us for some cake? - Sun Oct  4 01:14:40 2015
<br><br><font color=yellow>*Misa(FatFreeCupcakes) would feel comforted by the duo, causing her to lift her head revealing a rather red forehead from where she hit the table. "Thank...you." she said, a sniffle between the words.  "I..I don't want to impose..."* - Sun Oct  4 01:14:40 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: No, it's fine. - Sun Oct  4 01:15:31 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Chiharu, what do you think about that? - Sun Oct  4 01:16:22 2015
<br><br><font color=teal>*Tokisaki, Chiharu(Cheesy Cakey) says: No problem with it.~ - Sun Oct  4 01:17:13 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Alright. - Sun Oct  4 01:17:13 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: I'll go get the order. - Sun Oct  4 01:17:13 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: You two should head to my house. - Sun Oct  4 01:17:13 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: I'll be short; I know the old guy. - Sun Oct  4 01:17:13 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: Ok. - Sun Oct  4 01:18:04 2015
<br><br><font color=teal>*Tokisaki, Chiharu(Cheesy Cakey) says: Alright. - Sun Oct  4 01:18:04 2015
<br><br><font color=yellow>*Misa(FatFreeCupcakes) grabs onto Chiharu's hand, expecting her to lead the way since she had never been to Mamoru's home.* - Sun Oct  4 01:20:38 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Make yourself at home. - Sun Oct  4 01:24:03 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: It'll be a bit cramped. - Sun Oct  4 01:24:03 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: But it should be okay. - Sun Oct  4 01:24:03 2015
<br><br><font color=yellow>*Misa(FatFreeCupcakes) followed Chiharu to the couch, navigating the wooden floors of the cramped apartment. :Thank you for the invitation...It means a lot." she said, plopping herself next to Chiharu. She would look around the small building, observing as much as she could from her surroundings. 

"It's...homie."* - Sun Oct  4 01:27:28 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Yeah. - Sun Oct  4 01:27:28 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: It is. - Sun Oct  4 01:27:28 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: So, who wants a slice of cake? - Sun Oct  4 01:27:28 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: What flavor is it, by the way? - Sun Oct  4 01:28:19 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Strawberry. - Sun Oct  4 01:28:19 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: That alright with you? - Sun Oct  4 01:28:19 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: Mhm. - Sun Oct  4 01:28:19 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: Cut me a slice? - Sun Oct  4 01:28:19 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Sure. - Sun Oct  4 01:28:19 2015
<br><br><font color=yellow>*Misa(FatFreeCupcakes) looked over towards Chiharu, amazed by that jutsu every time it was used. She could get a faint wiff of cake on her person. *Sweet....*


"Oh...Mamoru...How are you feeling?"* - Sun Oct  4 01:33:26 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: I'm feeling alright, I suppose. - Sun Oct  4 01:36:00 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Still broken. - Sun Oct  4 01:36:51 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: Nothing hurting or broken? - Sun Oct  4 01:36:51 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: That's good....Can you serve me a slice of cake? - Sun Oct  4 01:39:24 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Oh right, yeah. - Sun Oct  4 01:39:24 2015
<br><br><font color=teal>*Tokisaki, Chiharu(Cheesy Cakey) says: Hmm..... - Sun Oct  4 01:40:16 2015
<br><br><font color=yellow>*Misa(FatFreeCupcakes) grabbed the plate, quickly placing it on her lap. "Smells good." she commeneted as she plunged the fork into a corner of the cake, cutting a piece completely off the original. Within seconds she would stick it in her mouth, "Mmmm".* - Sun Oct  4 01:41:58 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Is it good? - Sun Oct  4 01:45:23 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Chiharu, you should try some too. - Sun Oct  4 01:45:23 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: mhm. - Sun Oct  4 01:45:23 2015
<br><br><font color=teal>*Tokisaki, Chiharu(Cheesy Cakey) says: Oh... okay.. - Sun Oct  4 01:45:23 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: I've got more plates and forks in the kitchen if you need 'em. - Sun Oct  4 01:45:23 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: I'm glad both of you like it. - Sun Oct  4 01:55:37 2015
<br><br><font color=yellow>*Misa(FatFreeCupcakes) continued to quickly feed herself with swift movements. " This is the best cake I've had in a long time.."* - Sun Oct  4 01:56:28 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: How long has it been since you had cake? - Sun Oct  4 01:59:02 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: A few years... - Sun Oct  4 01:59:02 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Wow... - Sun Oct  4 01:59:53 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: I usually go eat frequently. With the money I earn. - Sun Oct  4 02:00:44 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: It's actually one of the only things I used to look forward to. - Sun Oct  4 02:00:44 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: After each pay check. - Sun Oct  4 02:00:44 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: You spend your paycheck on cake? - Sun Oct  4 02:00:44 2015
<br><br><font color=teal>*Tokisaki, Chiharu(Cheesy Cakey) says: I don't spend my paycheck on anything. - Sun Oct  4 02:00:44 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: I spend my paycheck on food. - Sun Oct  4 02:00:44 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: If I spent it always on cake.. - Sun Oct  4 02:01:36 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: I'd be pretty fat. - Sun Oct  4 02:01:36 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: ..... - Sun Oct  4 02:02:27 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: . . . - Sun Oct  4 02:03:18 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Anyways... - Sun Oct  4 02:03:18 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: What ... happened, if you don't mind me asking, Misa? - Sun Oct  4 02:04:09 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: Right.. - Sun Oct  4 02:05:00 2015
<br><br><font color=yellow>*Misa(FatFreeCupcakes) swallowed whatever cake she had left in her mouth before placing the plate onto her lap. "So...I was with Hideki....He told me about Ushinawa and Mariana's death....and I could see a different Hideki in front of me...I could feel it.


I...I...Kissed him...Thinking it would bring the real Hideki back...and I felt so guilty about it....because I was doing it for the wrong reason...So I told him I felt like I was taking advantage of him...Because he was emotionally vulnerable.."

She paused, taking a few slow breaths. " After that...He's been acting as if I'm less than human...and makes crude remarks.."* - Sun Oct  4 02:10:08 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: ........ - Sun Oct  4 02:10:08 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: It's not your fault. - Sun Oct  4 02:10:08 2015
<br><br><font color=yellow>*Misa(FatFreeCupcakes) sniffled slightly. "Thank you...and thank you for the cake." she said getting up and placing her dirty dish into the sink. She didn't know if he washed those...or just threw them away. "I think I'm going to go home and take a nap...Thanks for everything though.." she said making her way past the rather dirty home.* - Sun Oct  4 02:15:15 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Yeah. - Sun Oct  4 02:15:15 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Go rest. - Sun Oct  4 02:16:06 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: I'm going to head to the Private Exams. - Sun Oct  4 02:16:06 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: Oh...That sounds good. - Sun Oct  4 02:16:06 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) thinks: If I get hit with one more thing... I'm going to fucking lose it....... - Sun Oct  4 05:40:54 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) thinks: No, that's what you'd want.. I'm not letting you do shit to me. - Sun Oct  4 05:40:54 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: .....This is perfect. - Sun Oct  4 05:44:19 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: Go near him.. - Sun Oct  4 05:45:10 2015
<br><br><font color=teal>*Lyala(BoyFlareon) says: Hm... - Sun Oct  4 05:48:35 2015
<br><br><font color=yellow>*Misa(FatFreeCupcakes) covered her eyes as she saw the stranger remove his undergarments. She had no idea what was happening, but it was already getting too graphic for her. She would make her way towards Hideki, trying to see if he had calmed down.* - Sun Oct  4 05:50:17 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: . . . . . - Sun Oct  4 05:52:00 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: ... - Sun Oct  4 05:52:00 2015
<br><br><font color=teal>*Amon(William O. Wisper) thinks: This nigga.. - Sun Oct  4 05:52:00 2015
<br><br><font color=teal>*Amon(William O. Wisper) thinks: Just.. - Sun Oct  4 05:52:00 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) thinks: This once. - Sun Oct  4 05:53:42 2015
<br><br><font color=teal>*Hideki(Assassin241) says: -- - Sun Oct  4 05:54:33 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: Who the fuck is this. - Sun Oct  4 05:54:33 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Tend to my wounds? - Sun Oct  4 05:55:24 2015
<br><br><font color=teal>*Hideki(Assassin241) says: I have no more wounds. - Sun Oct  4 05:55:24 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: . . . - Sun Oct  4 05:55:24 2015
<br><br><font color=teal>*Hideki(DhatBoiNick) says: Niza.. I've been lusting after yo for so long.. - Sun Oct  4 05:56:16 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: --- - Sun Oct  4 05:56:16 2015
<br><br><font color=teal>*Hideki(Assassin241) says: -- - Sun Oct  4 05:56:16 2015
<br><br><font color=teal>*Hideki(Assassin241) says: YO - Sun Oct  4 05:56:16 2015
<br><br><font color=teal>*Hideki(Assassin241) says: THERES - Sun Oct  4 05:57:07 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Niza. - Sun Oct  4 05:58:49 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Can you please. - Sun Oct  4 05:58:49 2015
<br><br><font color=teal>*Hideki(Assassin241) says: PLEASE. - Sun Oct  4 05:58:49 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Put me and Reguel in an arena. - Sun Oct  4 05:58:49 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: Why do you dislike him so much? - Sun Oct  4 05:58:49 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: He's done nothing to you. - Sun Oct  4 05:58:49 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Before I slap you slap my dick against your jaw region with so much strength you develop a fucking over-bite! - Sun Oct  4 05:58:49 2015
<br><br><font color=teal>*Hideki(Assassin241) says: He needs to show some damn respect. - Sun Oct  4 05:58:49 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: Respect is not given, but earned. - Sun Oct  4 05:59:40 2015
<br><br><font color=teal>*Lyala(BoyFlareon) says: Just stay calm.... Hideki. - Sun Oct  4 05:59:40 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Fuck you Kuro. - Sun Oct  4 05:59:40 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: Act like a respectable individual and then respect will come. You're too emotional right now, and treading down a dark path. - Sun Oct  4 05:59:40 2015
<br><br><font color=teal>*Hideki(Assassin241) says: You don't know anything. - Sun Oct  4 06:00:32 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: Meditate and find inner peace. - Sun Oct  4 06:00:32 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) whispers: Hideki.... - Sun Oct  4 06:00:32 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Fuck - Sun Oct  4 06:00:32 2015
<br><br><font color=teal>*Hideki(Assassin241) says: You. - Sun Oct  4 06:00:32 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Kuro. - Sun Oct  4 06:00:32 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: You've changed a lot since the death of Hanabi.  - Sun Oct  4 06:01:23 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Thats not what changed me. - Sun Oct  4 06:01:23 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: You're digging a hole for yourself. - Sun Oct  4 06:02:14 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Fight me. - Sun Oct  4 06:02:14 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Right now. - Sun Oct  4 06:02:14 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: I will not. - Sun Oct  4 06:02:14 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Cause your a puss. - Sun Oct  4 06:02:14 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) whispers: Hideki...Please... - Sun Oct  4 06:02:14 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: No, because there's no reason to fight. - Sun Oct  4 06:02:14 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: You're acting like a child right now, longing for attention. - Sun Oct  4 06:03:05 2015
<br><br><font color=yellow>*Misa(FatFreeCupcakes) tried to place her left hand on Hideki's shoulder. If successful, she would whisper, "Hideki...please..stop acting like this..," her green eyes starting to grow a faint tint of red as if ready to cry.* - Sun Oct  4 06:03:05 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: Think not of yourself, but of those that remain. You still have family on this world. - Sun Oct  4 06:03:05 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: Think of Heiwa. - Sun Oct  4 06:03:05 2015
<br><br><font color=teal>*Lyala(BoyFlareon) thinks: Sigh, I can't really calm down Hideki so I'll just stand back then. - Sun Oct  4 06:03:56 2015
<br><br><font color=teal>*Reguel(Airide) says: You had a chance to strike me. - Sun Oct  4 06:05:39 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: Today.. Has been an interesting day. - Sun Oct  4 06:09:55 2015
<br><br><font color=teal>*Lyala(BoyFlareon) thinks: Well, I should let Hideki relax and I am on my way.  - Sun Oct  4 06:10:46 2015
<br><br><font color=yellow>*Misa(FatFreeCupcakes) would have her hand thrown off Hideki's shoulder, his words cutting her like a hot knife. Her already reddened eyes quickly began to secrete tears that seemed to come without stopping. Her body quivered from this action, believing Hideki's words to be the worst thing she had heard him say, and he had said several things before. Her teeth gritted slightly before her whole body collapsed, her knees striking the ground as she began to audibly sob. *My medical jutsus can't fix a shattered heart..* she thought as she realized she had now lost everyone she cared about more than anything: Hanabi, Ushinawa, Mariana, and now Hideki.* - Sun Oct  4 06:11:37 2015
<br><br><font color=teal>*Hideki(Assassin241) says: . . . . - Sun Oct  4 06:12:28 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: She acts so innocent.. - Sun Oct  4 06:12:28 2015
<br><br><font color=teal>*Hideki(Assassin241) whispers: I'll be at the ramen shop..Sorry.. - Sun Oct  4 06:13:20 2015
<br><br><font color=teal>*Asteroth(Lordlol45) thinks: Hng. Too fast. - Sun Oct  4 06:16:44 2015
<br><br><font color=yellow>*Misa(FatFreeCupcakes) 's eyes were bloodshot red by this point, her cries seemingly ignored by most as she struggled to pull back her fueding emotions. *Hanabi...why did you leave me like this..* she thought remembering her old teacher and caretaker. Her hands seemed to placed on the ground, perching herself up, *I..I need to stop...stop caring....But...it's...too hard.* she said in her mind as she pushed off the ground, slightly pushing against Reguel, attempting to shove him. 

"Leave me alone...!" she shouted at the innocent boy.* - Sun Oct  4 06:21:52 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: Are you. - Sun Oct  4 06:21:52 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: Staring at me? - Sun Oct  4 06:21:52 2015
<br><br><font color=teal>*Amon(William O. Wisper) thinks: Guess not - Sun Oct  4 06:28:41 2015
<br><br><font color=teal>*Amon(William O. Wisper) thinks: That man is back.. Should I rough him up again?.. Hmm... - Sun Oct  4 06:38:04 2015
<br><br><font color=yellow>*Misa(FatFreeCupcakes) took a few steps back, having her head flicked by Reguel. * I swear if he does that again...* she would think, taking a few more steps back. "We are all going through hard times...He doesn't have a monopoly on that...Fuck him, that selfish bastard!" she shouted to the sky. "Fuck all of you!" she shouted, this time to the rest of the shinobi that were there. Of course she didn't really mean it towards Kuro, but the rest...who knows...

She would then storm off.* - Sun Oct  4 06:38:04 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: How come? - Sun Oct  4 06:42:20 2015
<br><br><font color=teal>*Reguel(Airide) says: Medicial Ninjutsu. - Sun Oct  4 06:42:20 2015
<br><br><font color=yellow>*Misa(FatFreeCupcakes) gives Hideki the middle finger, then leaves.* - Sun Oct  4 06:44:03 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Maybe later - Sun Oct  4 06:48:19 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: Hello there. - Sun Oct  4 06:48:19 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: Do you mind, I'm going to bed... - Sun Oct  4 06:49:10 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) thinks: God damn Hideki letting anyone rent out the house... - Sun Oct  4 06:49:10 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) thinks: I want to eat...... - Mon Oct  5 00:46:56 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) thinks: But I'm sooooo........ Poor.......... - Mon Oct  5 00:46:56 2015
<br><br><font color=teal>*Heiwa(PythonJedi) whispers: Can be like them if you don't try. - Mon Oct  5 00:48:38 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Hey, Miss Misa! - Mon Oct  5 00:49:29 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: . . . - Mon Oct  5 00:52:03 2015
<br><br><font color=yellow>*Misa(FatFreeCupcakes) turned, her faded emerald eyes glancing over at the boy. "What."* - Mon Oct  5 00:53:45 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Are you lonely? - Mon Oct  5 00:56:19 2015
<br><br><font color=yellow>*Misa(FatFreeCupcakes) rolled her eyes before turning away.* - Mon Oct  5 00:57:10 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: ... - Mon Oct  5 00:58:01 2015
<br><br><font color=teal>*Gin(TheGraveyardPoet) whispers: Hah, she ignored you. - Mon Oct  5 00:58:52 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Do you want to spend some time together? - Mon Oct  5 00:58:52 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Since..Mom and Miss Hanabi are gone.. - Mon Oct  5 01:00:35 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: . . . - Mon Oct  5 01:00:35 2015
<br><br><font color=yellow>*Misa(FatFreeCupcakes) turned back towards the youngster. "Do you want to go get milk and cookies?"* - Mon Oct  5 01:00:35 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: Where do you want to go? - Mon Oct  5 01:04:00 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: I don't think Uncle Hideki would let you at his place.. - Mon Oct  5 01:07:24 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: I just came from there. - Mon Oct  5 01:08:16 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: So... - Mon Oct  5 01:08:16 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: Leggo/ - Mon Oct  5 01:09:58 2015
<br><br><font color=yellow>*Misa(FatFreeCupcakes) Led that nigga to the kitchen.* - Mon Oct  5 01:10:49 2015
<br><br><font color=yellow>*Misa(FatFreeCupcakes) shook her head. 

"I doubt he does, but I have some." she stated, reaching into her bag and pulling out two sealed bottles of milk and two packaged cookies. She slid a pair across the table. "There you go."* - Mon Oct  5 01:15:56 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: Hideki doesn't like fun, and cookies are fun. - Mon Oct  5 01:16:48 2015
<br><br><font color=yellow>*Misa(FatFreeCupcakes) smiled with a nod. "I don't know.." she sighed before adding, "And I've stopped caring..."* - Mon Oct  5 01:25:20 2015
<br><br><font color=yellow>*Misa(FatFreeCupcakes) Shook her head slowly. "She taught me the basics, but she wasn't a very good teacher...sorry to break it to you kid...but she wasn't a very good medic either...she would be considered poor in my book.." she stated, trying to lay down some harsh truths on this apparently innocent boy.* - Mon Oct  5 01:33:52 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: ..Oh.  - Mon Oct  5 01:38:08 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Why's..that? What'd she do wrong? - Mon Oct  5 01:38:08 2015
<br><br><font color=yellow>*Misa(FatFreeCupcakes) could name several things wrong with her ability as a medic, but simply replied with, "Her techniques were sloppy, And she was always tempermental..."* - Mon Oct  5 01:39:50 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Yo, Misa. - Mon Oct  5 01:40:41 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: hi. - Mon Oct  5 01:40:41 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Am I interrupting anything? - Mon Oct  5 01:40:41 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: I wanted to get treatment. - Mon Oct  5 01:40:41 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: No, come join us. - Mon Oct  5 01:40:41 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: We're just having some milk and cookies. - Mon Oct  5 01:40:41 2015
