<br><font color=teal>*Ryuusei(TenaciousDeeznuts) thinks: That ass though. - Sat Dec  5 21:54:33 2015
<br><br><font color=teal>*Rias(LionHunter) thinks: ... - Sun Dec  6 01:55:12 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: That would be an honor..-- - Sun Dec  6 01:55:12 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Do you mind me calling you, "Sir"? - Sun Dec  6 01:56:03 2015
<br><br><font color=teal>*Rias(LionHunter) thinks: You wouldnt... - Sun Dec  6 01:56:03 2015
<br><br><font color=teal>*Rias(LionHunter) says: ... - Sun Dec  6 01:56:03 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) thinks: .....Trouble in paradise?~ - Sun Dec  6 01:56:03 2015
<br><br><font color=yellow>*Shizan, Nigen(Un-Holybond) Kindly accepts the suit, a warm smile on his face. Bowing in respect, 

"Ziare..are you sure about this?"* - Sun Dec  6 02:02:01 2015
<br><br><font color=teal>*Ziare(Meekee) says: Positive, now take it out for a spin. - Sun Dec  6 02:02:01 2015
<br><br><font color=teal>*Ziare(Meekee) says: Get atleast 5 minutes in it. - Sun Dec  6 02:02:01 2015
<br><br><font color=teal>***Hokage**(LionHunter) thinks: Why are you leaving me... - Sun Dec  6 02:02:52 2015
<br><br><font color=yellow>*Shizan, Nigen(Un-Holybond) Nodded, turning on his heels he'd walk out of the immediate area. Finding a secluded area to put on his newly acquired jumpsuit before returning. The fabric had hugged quite nicely, allowing his physique albeit normal for a man of his age fill it out to some degree. Of course he hadn't been as muscular as others, but it was enough.* - Sun Dec  6 02:04:35 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Uh... - Sun Dec  6 02:05:26 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: How do I look? - Sun Dec  6 02:05:26 2015
<br><br><font color=teal>*Ziare(Meekee) says: Like a jounin. - Sun Dec  6 02:05:26 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I do think you should reconsider. - Sun Dec  6 02:05:26 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: This decision might be a bit rash. - Sun Dec  6 02:06:17 2015
<br><br><font color=teal>*Ziare(Meekee) says: Test it, run as fast as you can outside the building. - Sun Dec  6 02:06:17 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Honestly, why don't you two just vent your feelings out to one another? - Sun Dec  6 02:06:17 2015
<br><br><font color=yellow>*Shizan, Nigen(Un-Holybond) Letting out a sigh of confusion, behind the veil of acting he had been yucking it up. There hadn't been a care in his world as to what was going on. Only the slight disappointment of not being able to obtain another spar with Ziare as soon as he had hoped it would've happened. Nevertheless, making his way outside he began to take his new jumpsuit out for a spin.

*This may have been a bad idea..* he thought while jogging.* - Sun Dec  6 02:08:00 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Hey.. - Sun Dec  6 02:48:57 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: So are you ready to take your position back? - Sun Dec  6 02:48:57 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Lady Hokage. - Sun Dec  6 02:52:22 2015
<br><br><font color=teal>***Hokage**(LionHunter) says: Yes? - Sun Dec  6 02:52:22 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I doubt jounin would be a proper rank for me. - Sun Dec  6 02:52:22 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I doubt anyone needs to know of my rank. - Sun Dec  6 02:52:22 2015
<br><br><font color=teal>***Hokage**(LionHunter) says: Why do you say that? - Sun Dec  6 02:53:13 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: The original position, was good enough for me. - Sun Dec  6 02:53:13 2015
<br><br><font color=teal>***Hokage**(LionHunter) says: You sure do like to have your secrets... but I guess we all have SOMETHING to hide - Sun Dec  6 02:54:04 2015
<br><br><font color=teal>***Hokage**(LionHunter) says: You can ignore his promoting and stick to being my shadow agent - Sun Dec  6 02:54:04 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I mean.. - Sun Dec  6 03:00:03 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: If you want me to remain as the jounin.. - Sun Dec  6 03:00:03 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I still don't understand why the both of you are having a lovers' quarrel.. - Sun Dec  6 03:00:03 2015
<br><br><font color=teal>***Hokage**(LionHunter) says: We are not together... we never were - Sun Dec  6 03:00:03 2015
<br><br><font color=teal>***Hokage**(LionHunter) says: We were.... childhood friends - Sun Dec  6 03:00:54 2015
<br><br><font color=teal>***Hokage**(LionHunter) says: Dont you have any lovers... being in your mid 20's - Sun Dec  6 03:01:45 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Hm? - Sun Dec  6 03:03:28 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: No, sadly..I do not. - Sun Dec  6 03:03:28 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Maybe, I haven't been trying.. - Sun Dec  6 03:04:19 2015
<br><br><font color=teal>***Hokage**(LionHunter) says: But your so cute... I dont see why not... Go with Asteroth... she seems cute - Sun Dec  6 03:04:19 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: ... - Sun Dec  6 03:10:17 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: S-..sorry, she's definitely not my type. - Sun Dec  6 03:10:17 2015
<br><br><font color=teal>***Hokage**(LionHunter) says: Then whats your type? - Sun Dec  6 03:10:17 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Hm.. - Sun Dec  6 03:12:00 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Let's see..they have to have a thirst for knowledge. - Sun Dec  6 03:12:00 2015
<br><br><font color=teal>***Hokage**(LionHunter) says: Ok... - Sun Dec  6 03:12:00 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Asteroth's friend doesn't seem too bad, but then again.. - Sun Dec  6 03:12:00 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: We already know what my orders are. - Sun Dec  6 03:12:00 2015
<br><br><font color=teal>***Hokage**(LionHunter) says: Who Claudette? - Sun Dec  6 03:12:51 2015
<br><br><font color=teal>***Hokage**(LionHunter) says: Well if thats your way of getting closer then I would allow it\ - Sun Dec  6 03:12:51 2015
<br><br><font color=teal>***Hokage**(LionHunter) says: I think you should try it but she gives off a very ominous vibe to me - Sun Dec  6 03:13:42 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I suppose..I don't see anything in any of the females here. Not in such a way.. - Sun Dec  6 03:13:42 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Ominous isn't a problem.. - Sun Dec  6 03:14:33 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: After-all, I'm supposed to head towards danger. - Sun Dec  6 03:14:33 2015
<br><br><font color=teal>***Hokage**(LionHunter) says: Well go for it tiger~ Snag her... thats your new mission~ - Sun Dec  6 03:15:24 2015
<br><br><font color=teal>*Marco(Gtgoku55) thinks: .. - Sun Dec  6 03:15:24 2015
<br><br><font color=teal>*Marco(Gtgoku55) thinks: What the fuck did I walk in on? - Sun Dec  6 03:15:24 2015
<br><br><font color=teal>***Hokage**(LionHunter) says: Marco... - Sun Dec  6 03:15:24 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: . . Well. Can't say that doesn't sound concerning. - Sun Dec  6 03:15:24 2015
<br><br><font color=teal>***Hokage**(LionHunter) says: Welcome hun I have a request for you - Sun Dec  6 03:15:24 2015
<br><br><font color=teal>***Hokage**(LionHunter) says: Can you add another astethic change to the armor... more about the color - Sun Dec  6 03:17:58 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: ... - Sun Dec  6 03:18:49 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I'll be around, Lady Hokage. - Sun Dec  6 03:19:40 2015
<br><br><font color=yellow>*Shizan, Nigen(Un-Holybond) Slowly made his way out of the mansion, giving a brief nod towards Marco.* - Sun Dec  6 03:19:40 2015
<br><br><font color=teal>***Hokage**(LionHunter) says: Alright keep in touch - Sun Dec  6 03:19:40 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Mhm. - Sun Dec  6 03:19:40 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Hm? - Sun Dec  6 07:37:23 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: Anywho~ - Sun Dec  6 07:38:14 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: If you'll excuse me. - Sun Dec  6 07:38:14 2015
<br><br><font color=teal>*Rias(LionHunter) says: Oh Nigen dear how are you? - Sun Dec  6 07:38:14 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: More traveling to do, food to eat, gems to sell and the such. - Sun Dec  6 07:38:14 2015
<br><br><font color=teal>*Rias(LionHunter) says: Remember what I said ~ - Sun Dec  6 07:38:14 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: . . .I mean, if you'd enlightened me now. - Sun Dec  6 07:39:56 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: On how'd you persuade me. - Sun Dec  6 07:39:56 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: I'd give you a straight answer. - Sun Dec  6 07:39:56 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: I don't see why you want to beat around the bush. - Sun Dec  6 07:39:56 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Eh.. - Sun Dec  6 07:39:56 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I remember what you've said. - Sun Dec  6 07:39:56 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: The thing is, I'm not the type for that. - Sun Dec  6 07:40:48 2015
<br><br><font color=teal>*Rias(LionHunter) says: I see... Well you do what fits you @Osuda - Sun Dec  6 07:42:30 2015
<br><br><font color=teal>*Rias(LionHunter) says: Now I will not tell you anything ... you just have to assume~ @Abraxas - Sun Dec  6 07:43:21 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: I'm not good at assumptions actually. - Sun Dec  6 07:44:12 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: The last time I assumed something, it almost killed me. - Sun Dec  6 07:44:12 2015
<br><br><font color=teal>*Rias(LionHunter) says: Well keep at ot cuite~ - Sun Dec  6 07:44:12 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: So please, go ahead and expl- - Sun Dec  6 07:44:12 2015
<br><br><font color=teal>*Akechi(SephirothMage) says: Gyahh..! - Sun Dec  6 07:44:12 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: Cutie? - Sun Dec  6 07:45:04 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: . . . - Sun Dec  6 07:45:04 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Mhm. - Sun Dec  6 07:45:04 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Nice to meet you, also. - Sun Dec  6 07:45:04 2015
<br><br><font color=teal>*Rias(LionHunter) says: Well I will let you all do your thing I will relax... - Sun Dec  6 07:46:46 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I'm Osuda. It's pronounced Osda. - Sun Dec  6 07:47:37 2015
<br><br><font color=teal>*Akechi(SephirothMage) says: Ah.. and- again... Miss Hokage. If I can ever repay you for earlier, just say how.. and ah... - Sun Dec  6 07:47:37 2015
<br><br><font color=teal>*Akechi(SephirothMage) says: A pleasure to meet you, Osuda! - Sun Dec  6 07:47:37 2015
<br><br><font color=teal>*Rias(LionHunter) says: If Kiri wants you then go to them. - Sun Dec  6 07:48:28 2015
<br><br><font color=teal>*Akechi(SephirothMage) says: But Rias want's your D. - Sun Dec  6 07:48:28 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: Did I not say I have to consider all options? - Sun Dec  6 07:48:28 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: I don't exactly find the child army there too welcoming anyway. - Sun Dec  6 07:49:20 2015
<br><br><font color=teal>*Rias(LionHunter) says: Well I will not pull you from any village - Sun Dec  6 07:49:20 2015
<br><br><font color=teal>*Akechi(SephirothMage) says: Ah....  - Sun Dec  6 07:49:20 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Well..if that's alll.. - Sun Dec  6 07:49:20 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I'll be around. - Sun Dec  6 07:49:20 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) thinks: I did have a teacher in Sunagakure. . . - Sun Dec  6 07:49:20 2015
<br><br><font color=teal>*Akechi(SephirothMage) says: I don't think he much likes the look of Kiri, from what he said... And.. - Sun Dec  6 07:49:20 2015
<br><br><font color=teal>*Rias(LionHunter) says: Ok hun @Osuda - Sun Dec  6 07:49:20 2015
<br><br><font color=teal>*Akechi(SephirothMage) says: Ah, it was nice to meet you Osuda! - Sun Dec  6 07:49:20 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Same to you.~ - Sun Dec  6 07:49:20 2015
<br><br><font color=yellow>*Shizan, Nigen(Un-Holybond) Smiles warmly while bowing towards them. He'd soon turn on his heels heading for the door and walking out unless he had been spoken towards.* - Sun Dec  6 07:50:11 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Eh.. - Sun Dec  6 07:51:02 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: ... - Sun Dec  6 08:11:31 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I'm a bit confused.. - Sun Dec  6 08:11:31 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Are you from here? - Sun Dec  6 08:11:31 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: If I recall..you aren't.. - Sun Dec  6 08:11:31 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Right, what business do you have here. - Sun Dec  6 08:12:22 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: I told you, I love the trees.~ - Sun Dec  6 08:13:13 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Hm.. - Sun Dec  6 08:25:10 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I was off the other day. - Sun Dec  6 08:25:10 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Right now, I'm on the clock.. - Sun Dec  6 08:25:10 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Whyyyyy do you ask?~ - Sun Dec  6 08:25:10 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: So the real question is, why are you here? - Sun Dec  6 08:26:01 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: ...I told you. - Sun Dec  6 08:26:01 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: the trees. - Sun Dec  6 08:26:01 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: *The - Sun Dec  6 08:26:01 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) thinks: He's a shinobi? - Sun Dec  6 08:26:01 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Hm.. - Sun Dec  6 08:31:08 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Well..as long as you don't cause trouble. - Sun Dec  6 08:31:08 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I should warn you that this is my village. - Sun Dec  6 08:31:08 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Is it now? - Sun Dec  6 08:31:08 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Heh, why would they hire me if I wouldn't protect this place? - Sun Dec  6 08:32:00 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: So you aren't from here before? - Sun Dec  6 08:34:33 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Hm? - Sun Dec  6 08:35:24 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: There's no reason for me to answer that. - Sun Dec  6 08:35:24 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: What was there any reason for my to answer your questions, other than to hold conversation.~ - Sun Dec  6 08:35:24 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: As long as you're on your best behavior. You're allowed to be here. - Sun Dec  6 08:35:24 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Are you going to be a bad boy and not answer? - Sun Dec  6 08:35:24 2015
<br><br><font color=yellow>*Shizan, Nigen(Un-Holybond) His brow raised, 

"Almost?"* - Sun Dec  6 08:36:16 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Ooooooh, shh.~ - Sun Dec  6 08:37:07 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: .... - Sun Dec  6 08:37:07 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: We can't always be good can we?~ - Sun Dec  6 08:37:07 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Of course we can't, but there are degrees. - Sun Dec  6 08:37:58 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Hummmm. - Sun Dec  6 08:37:58 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) whispers: What degee would that be? - Sun Dec  6 08:38:49 2015
<br><br><font color=yellow>*Shizan, Nigen(Un-Holybond) His eyes had been placed solely upon her, he hadn't winced as she backed him up against the wall. Of course he could see that she hadn't been the type to simply abide by the rules at all times. Retreating back to his warm smile, he had replied with a more relaxed tone, 

"Who knows what you plan to do. If you are some sort of wandering kunoichi like the one I met earlier, you may have a list of crimes. Even if Konohagakure may act as a safe haven..do not let those tendencies worm their way back out in this village.~"* - Sun Dec  6 08:43:05 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: .... - Sun Dec  6 08:48:12 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Well..that's good. - Sun Dec  6 08:49:04 2015
<br><br><font color=yellow>*Shizan, Nigen(Un-Holybond) Letting out a sigh, he'd attempt to place both of his hands on her shoulders. Shaking his head he couldn't have agreed with her methods. 

"Listen, you look pretty young. I can't have you acting that way towards higher-ups. Seduction is a pretty powerful tool, but I already understand it. You don't have to use it, for it won't work on me."* - Sun Dec  6 08:51:37 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: .... - Sun Dec  6 08:55:53 2015
<br><br><font color=yellow>*Shizan, Nigen(Un-Holybond) His back still against the wall, she had easily moved away, the feeling of her shoulders had sent a jolt through his mind. He had begun repeating the act as if he had been grasping something. It took several minutes as he tried to connect the dots, but it may have taken more time. His gaze still placed upon her, before snapping back into reality. Realizing that new arrivals had made there way into the shop. 

"Right, well as long as you're not trying to seduce a higher up. I won't have to arrest you."* - Sun Dec  6 08:59:18 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: .... - Sun Dec  6 09:00:09 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Hey, Asturwrath, right? - Sun Dec  6 09:00:09 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) thinks: Asturwrath? - Sun Dec  6 09:00:09 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) thinks: Hell, I just wanted Ramen~ - Sun Dec  6 09:00:09 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) thinks: But this looks fun~ - Sun Dec  6 09:01:00 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Hm.. - Sun Dec  6 09:01:00 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I guess she didn't want to speak. - Sun Dec  6 09:01:00 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Anyway, stay out of trouble. - Sun Dec  6 09:02:43 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Hmph. - Sun Dec  6 09:04:25 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: ... - Sun Dec  6 09:06:59 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: There's nothing wrong with being a bit cautious. - Sun Dec  6 09:07:50 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Why worry about a pretty lil thing like me? - Sun Dec  6 09:09:32 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: .... - Sun Dec  6 09:09:32 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Hmph.. - Sun Dec  6 09:10:24 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: It's always the pretty ones that can do the most damage. - Sun Dec  6 09:10:24 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Like I said, keep doing what you're doing. We'll be fine. - Sun Dec  6 09:11:15 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Ooooooh.~ - Sun Dec  6 09:14:40 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Why worry about me in the first place though? I was being a good girl.~ I haven't done anything wrong, have you heard something about me?~ - Sun Dec  6 09:14:40 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Was someone being naughty and spreading RUMORS? - Sun Dec  6 09:15:31 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: .... - Sun Dec  6 09:18:04 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: No one.. - Sun Dec  6 09:18:04 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Oh.  - Sun Dec  6 09:18:04 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Okay.~ - Sun Dec  6 09:18:04 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: .... - Sun Dec  6 09:21:29 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: You're really unstable. - Sun Dec  6 09:21:29 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Am I? - Sun Dec  6 09:21:29 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: You are. - Sun Dec  6 09:21:29 2015
<br><br><font color=yellow>*Shizan, Nigen(Un-Holybond) Couldn't help but chuckle at her joke, 

"You really are something else. Just stay in line. I'd rather not have to restrain you."* - Sun Dec  6 09:24:03 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: ... - Sun Dec  6 09:31:44 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Hmph.. - Sun Dec  6 09:31:44 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I'm not going to restrain you for show. - Sun Dec  6 09:31:44 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: No fun.~ - Sun Dec  6 09:31:44 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: I thought we were going to plaaaaaaay. - Sun Dec  6 09:32:35 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: There's no point in giving you unneeded satisfaction.~ - Sun Dec  6 09:32:35 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: I KNEW there was a bad boy in there.~ - Sun Dec  6 09:34:17 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I have no idea what you're talking about. - Sun Dec  6 09:35:08 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Oooh, yes... of course of course.~ - Sun Dec  6 09:36:00 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: ... - Sun Dec  6 09:39:24 2015
<br><br><font color=yellow>*Shizan, Nigen(Un-Holybond) Nodded while casting a brief wave towards her, 

"Right, do stay safe and out of trouble. Nice speaking with you.~"* - Sun Dec  6 09:40:16 2015
<br><br><font color=yellow>*Shizan, Nigen(Un-Holybond) Slowly making his way by her, he'd gently pat her shoulder while making his way out ahead of her.

"Try to keep busy. It always helps when staying out of trouble."* - Sun Dec  6 09:44:32 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) thinks: Hmph. - Sun Dec  6 09:45:23 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Heh, I'll see you around. - Sun Dec  6 09:46:14 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: .... - Sun Dec  6 09:47:05 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: . . . - Sun Dec  6 09:47:05 2015
<br><br><font color=yellow>*Shizan, Nigen(Un-Holybond) Came out from the shop, brushing past the flap. Stopping in his tracks while glancing at the two parties.
* - Sun Dec  6 09:47:56 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: ... - Sun Dec  6 09:50:30 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: That was different. - Sun Dec  6 09:50:30 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Mmmmmmmmmmhm. - Sun Dec  6 09:50:30 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Doesn't bother me, as long as there's order.~ - Sun Dec  6 09:50:30 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: ... - Sun Dec  6 09:51:21 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Are you going to answer me? - Sun Dec  6 09:51:21 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Hm? - Sun Dec  6 09:51:21 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Where did you cooooooome from?~ - Sun Dec  6 09:51:21 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Why are you so interested in that? - Sun Dec  6 09:51:21 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Becauuuuuuse, it's interesting.~ - Sun Dec  6 09:53:04 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Information is pretty valuable. - Sun Dec  6 09:53:04 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Don't forget. You still are pretty suspicious. - Sun Dec  6 09:53:55 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Weeeeeeell, what about a game?~ - Sun Dec  6 09:54:46 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: What game? - Sun Dec  6 09:59:53 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I'm a bit skeptical about anything you have planned.. - Sun Dec  6 09:59:53 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: .... Why though? - Sun Dec  6 10:03:18 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: I have been good. - Sun Dec  6 10:03:18 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: We could play the question game.~ - Sun Dec  6 10:04:09 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: That's a nice game. - Sun Dec  6 10:04:09 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: It has dice and everything.~ - Sun Dec  6 10:04:09 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: ... - Sun Dec  6 10:04:09 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Heh, I wouldn't gamble..on such a game. - Sun Dec  6 10:05:00 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: You don't gamble. - Sun Dec  6 10:05:52 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Do you want to hear the rules? - Sun Dec  6 10:05:52 2015
