<br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Right? - Sat Nov 28 04:43:18 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I'm not necessarily against it. - Sat Nov 28 05:10:36 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: You know I don't really know you at all, trying to get me to be such a good girl. - Sat Nov 28 05:10:36 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: .... - Sat Nov 28 05:11:28 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Then being ruthless, canabalistic, and banished from villages yourself. - Sat Nov 28 05:11:28 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: He doesn't want you to be like him. - Sat Nov 28 05:11:28 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: That's depressing. - Sat Nov 28 05:11:28 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: I know. - Sat Nov 28 05:11:28 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Aren't older siblings supposed to be role models, Ichiro? - Sat Nov 28 05:11:28 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: .... - Sat Nov 28 05:11:28 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) thinks: T-..they grow up so fast.. - Sat Nov 28 05:11:28 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: I'm not perfect... - Sat Nov 28 05:11:28 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Clearly. - Sat Nov 28 05:11:28 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) thinks: Manipulating the two of them with such ease. I-..I can't...even..believe..it.. - Sat Nov 28 05:12:19 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Pet, you've done well. - Sat Nov 28 05:12:19 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Ichiro..I didn't think you had that in you. - Sat Nov 28 05:13:10 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Aren't you such a bad boy..~ - Sat Nov 28 05:13:10 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) thinks: I do...Whenever I get the chance. - Sat Nov 28 05:14:01 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: .... - Sat Nov 28 05:14:52 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: It happens when you're with the wrong crowd. - Sat Nov 28 05:14:52 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Or. - Sat Nov 28 05:14:52 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: The right crowd. - Sat Nov 28 05:14:52 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: I guess. - Sat Nov 28 05:14:52 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Ichiro-kun you should help your wittle sister to grow. - Sat Nov 28 05:15:44 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Aww, shark meat?! - Sat Nov 28 05:17:26 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: You want to get shark meat too? - Sat Nov 28 05:17:26 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: How exotic. - Sat Nov 28 05:17:26 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: No. - Sat Nov 28 05:17:26 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: By the way Ichiro. - Sat Nov 28 05:17:26 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: When Master Sado says grow. - Sat Nov 28 05:17:26 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: I was going to dump the body in. - Sat Nov 28 05:18:17 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: He doesn't mean her belly. - Sat Nov 28 05:18:17 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Just so you know. - Sat Nov 28 05:18:17 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Simple. - Sat Nov 28 05:18:17 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: This is what you do, Kida. - Sat Nov 28 05:18:17 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Kariudo-chan.~ - Sat Nov 28 05:18:17 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: I'm not fetching a shark. - Sat Nov 28 05:18:17 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: ... - Sat Nov 28 05:19:08 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) thinks: Just what the hell have these guys been doing? - Sat Nov 28 05:20:00 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Why must you touch me, Shiro-san? - Sat Nov 28 05:20:00 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) thinks: I pray for Kariudo. - Sat Nov 28 05:20:00 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: ... - Sat Nov 28 05:20:51 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Ichiro-kun, do you see this? - Sat Nov 28 05:21:42 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: I see it... - Sat Nov 28 05:21:42 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: How does it make you feel? - Sat Nov 28 05:21:42 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: It makes me feel... - Sat Nov 28 05:22:33 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: ... - Sat Nov 28 05:22:33 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: I'd rather not say. - Sat Nov 28 05:22:33 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Don't be afraid. - Sat Nov 28 05:22:33 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Pet-chan won't harm you. - Sat Nov 28 05:22:33 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: .... - Sat Nov 28 05:22:33 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Well..not in my presence at least. - Sat Nov 28 05:22:33 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: I don't care if she hurts me. - Sat Nov 28 05:23:24 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Just not my sister. - Sat Nov 28 05:23:24 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Ah. - Sat Nov 28 05:23:24 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: ..... - Sat Nov 28 05:23:24 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: .... - Sat Nov 28 05:23:24 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I doubt that she'd hurt her. - Sat Nov 28 05:23:24 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Her* - Sat Nov 28 05:24:16 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: You're so cute. - Sat Nov 28 05:24:16 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: H-hey. - Sat Nov 28 05:24:16 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: I'd like to pick you up like a stuffed teddy bear. - Sat Nov 28 05:24:16 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) thinks:  I'm not sure if I should feel jealous or or annoyed.. - Sat Nov 28 05:24:16 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Look at that innocence being stolen. - Sat Nov 28 05:24:16 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) thinks: Eh, neither I guess. - Sat Nov 28 05:24:16 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: I... d-don't think...ngn... just.... stop it. - Sat Nov 28 05:24:16 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I guess she won't physically hurt her. - Sat Nov 28 05:25:07 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) thinks: Fuck her being so strong. - Sat Nov 28 05:25:07 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) thinks: I'm going to bite this bitch. - Sat Nov 28 05:25:07 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Kida. - Sat Nov 28 05:25:07 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) thinks: Shit, good. - Sat Nov 28 05:25:07 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Toss the body into the water. - Sat Nov 28 05:25:07 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) thinks: She didn't even have a headband on her.... - Sat Nov 28 05:25:07 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) thinks: ---Wait a second. - Sat Nov 28 05:25:07 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: By the way, if Lord Mizukage finds out what you've done.. - Sat Nov 28 05:25:07 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) thinks: . . . - Sat Nov 28 05:25:07 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: That was the plan. But, I don't remember if there were any sharks left. - Sat Nov 28 05:25:07 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: If he hunts you all down. He probably won't kill Shiro.. - Sat Nov 28 05:25:07 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Why only Shiro? - Sat Nov 28 05:25:58 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: The rest of you most likely will be arrested, or brutally murdered. - Sat Nov 28 05:25:58 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Technically, Shiro is the only one under my protection. - Sat Nov 28 05:25:58 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Ah.. - Sat Nov 28 05:25:58 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: After all, I hold her dear to me. - Sat Nov 28 05:25:58 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: That doesn't mean I don't care about you and Ichiro. - Sat Nov 28 05:26:49 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: If I didn't, I certainly wouldn't be warning you guys..~ - Sat Nov 28 05:26:49 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Look. - Sat Nov 28 05:26:49 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: If it comes to it. - Sat Nov 28 05:27:40 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Awww. - Sat Nov 28 05:27:40 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) thinks: Why did she do that? - Sat Nov 28 05:27:40 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: It was all my fault. - Sat Nov 28 05:27:40 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: In reality. - Sat Nov 28 05:27:40 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Actually, it was mine for letting him escape the first time. - Sat Nov 28 05:27:40 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: .... - Sat Nov 28 05:28:32 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Um, stop. - Sat Nov 28 05:28:32 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: ? - Sat Nov 28 05:28:32 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Right, there we go. - Sat Nov 28 05:28:32 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Don't even talk about being murdered or brutalized. - Sat Nov 28 05:28:32 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: .... - Sat Nov 28 05:28:32 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: We're doing the murdering and brutalizing. - Sat Nov 28 05:28:32 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: And we aren't being the victims. - Sat Nov 28 05:28:32 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Mhm..mhm.. - Sat Nov 28 05:28:32 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: True. - Sat Nov 28 05:29:23 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: It looks as if you've formed a team that you care for, Pet-chan. - Sat Nov 28 05:29:23 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: You've never had human meat before either right? - Sat Nov 28 05:30:14 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Me? - Sat Nov 28 05:30:14 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Of course not. - Sat Nov 28 05:30:14 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: It was more towards Shiro, but I suppose we are all eating together. - Sat Nov 28 05:30:14 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Definitely don't care. - Sat Nov 28 05:31:05 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: You don't?~ - Sat Nov 28 05:31:56 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Aw, I feel hurt now. - Sat Nov 28 05:32:48 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: I wouldn't say traveling to two different villages, beating Ichiro up, killing a guy, and then forcing him to leave with you is exactly 'not caring'. - Sat Nov 28 05:32:48 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: . . . - Sat Nov 28 05:33:39 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Well. - Sat Nov 28 05:33:39 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: My beating heart is aching. - Sat Nov 28 05:33:39 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Okay fuck you guys. - Sat Nov 28 05:33:39 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Well, Child. I've held up my end, you've been reunited with your dear brother. Do return to me when you're around seventeen. - Sat Nov 28 05:34:30 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: ---- - Sat Nov 28 05:36:12 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: ... - Sat Nov 28 05:36:12 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Welp, time to dispose of the body before anyone comes.  - Sat Nov 28 05:36:12 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) thinks: Ignore her influence on them. It is just a phase.. - Sat Nov 28 05:36:12 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ...Seventeen makes me an adult in your book? - Sat Nov 28 05:37:04 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Sure. - Sat Nov 28 05:37:04 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ....right. - Sat Nov 28 05:37:04 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: So. - Sat Nov 28 05:37:55 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: I'm -just- an adult apparently. - Sat Nov 28 05:37:55 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Pretty much. - Sat Nov 28 05:38:46 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Then again, I saw a lot more in you. - Sat Nov 28 05:38:46 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Alright. - Sat Nov 28 05:38:46 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: What are you purifying? - Sat Nov 28 05:38:46 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Go get that salami. - Sat Nov 28 05:38:46 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: And.... - Sat Nov 28 05:38:46 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Master Sado, you're so sweet.~ - Sat Nov 28 05:39:37 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: You're like..... - Sat Nov 28 05:39:37 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: The blood of a diabetic man. - Sat Nov 28 05:39:37 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Sweet. - Sat Nov 28 05:39:37 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ...Ha..... - Sat Nov 28 05:39:37 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Hahaha... - Sat Nov 28 05:39:37 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) thinks: Ah...she's funny. - Sat Nov 28 05:39:37 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Hm? - Sat Nov 28 05:40:28 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Heh. - Sat Nov 28 05:40:28 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: What am I purifying? - Sat Nov 28 05:41:20 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Ichiro's sister. - Sat Nov 28 05:41:20 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Thought you changed your mind? - Sat Nov 28 05:41:20 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Yes, as I said. When you're seventeen. - Sat Nov 28 05:41:20 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: What's there to purify? She seems fine. - Sat Nov 28 05:41:20 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Right right. - Sat Nov 28 05:42:11 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: She seems fine, but there are a ton of problems. - Sat Nov 28 05:42:11 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: There is a bit of light though, she demonstrated that today. - Sat Nov 28 05:43:02 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: What are these problems? - Sat Nov 28 05:43:02 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Anywho. - Sat Nov 28 05:43:02 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: I honestly think. - Sat Nov 28 05:43:02 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I hope by the time she's seventeen..she'll have located the proper path. - Sat Nov 28 05:43:02 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Hey, Master Sado? - Sat Nov 28 05:43:02 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Hm? - Sat Nov 28 05:43:02 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Amegakure has no leader, right? - Sat Nov 28 05:43:02 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Nope. - Sat Nov 28 05:43:02 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: So. - Sat Nov 28 05:43:02 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: What if. - Sat Nov 28 05:43:02 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Little ol' me. - Sat Nov 28 05:43:02 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Takes the crew.... - Sat Nov 28 05:43:02 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: And takes it over? - Sat Nov 28 05:43:02 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: --- - Sat Nov 28 05:43:53 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Do what you want. - Sat Nov 28 05:43:53 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) thinks: Now I know what she was talking about the other night. It feels weird with all this covering me. - Sat Nov 28 05:43:53 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Fickle-chan doesn't care about it. - Sat Nov 28 05:43:53 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Welp..you guys have fun. - Sat Nov 28 05:44:44 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Hey. - Sat Nov 28 05:44:44 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Sado. - Sat Nov 28 05:44:44 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Huh? - Sat Nov 28 05:45:36 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Before you go... - Sat Nov 28 05:45:36 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Or we go... - Sat Nov 28 05:45:36 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Could I speak with you in private? - Sat Nov 28 05:45:36 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Sure. - Sat Nov 28 05:45:36 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: What's up? - Sat Nov 28 05:45:36 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: This purifying thing. - Sat Nov 28 05:46:27 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: What is it. - Sat Nov 28 05:46:27 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Why is everyone so curious? - Sat Nov 28 05:46:27 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Because... - Sat Nov 28 05:46:27 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: What it does... - Sat Nov 28 05:46:27 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I'm just going to place your little sister on the right path.. - Sat Nov 28 05:46:27 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: It's... - Sat Nov 28 05:46:27 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: ... - Sat Nov 28 05:46:27 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Great? - Sat Nov 28 05:47:18 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: It's different. - Sat Nov 28 05:47:18 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Look at Shiro. - Sat Nov 28 05:47:18 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: She's happy. - Sat Nov 28 05:47:18 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Not really expected. - Sat Nov 28 05:47:18 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Do you think the old Shiro would really be happy with the two of you? - Sat Nov 28 05:47:18 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Like this? No. - Sat Nov 28 05:47:18 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Of course not. - Sat Nov 28 05:47:18 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: The old us, maybe. - Sat Nov 28 05:48:09 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Not only do you all get to live out your true selves.. - Sat Nov 28 05:48:09 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: You're finally living for yourselves. Free. - Sat Nov 28 05:48:09 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: .... - Sat Nov 28 05:48:09 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Even with my watching over you, I'm relaxed and not restrictive. - Sat Nov 28 05:48:09 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Look. - Sat Nov 28 05:48:09 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: So far... - Sat Nov 28 05:48:09 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Unlike, Fickle-chan. - Sat Nov 28 05:48:09 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: You've done this purifying thing with just women, right? - Sat Nov 28 05:49:00 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Mhm.. - Sat Nov 28 05:49:00 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: It requires... - Sat Nov 28 05:49:00 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Penetration? - Sat Nov 28 05:49:00 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: It doesn't necessarily require it. - Sat Nov 28 05:49:00 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: ... - Sat Nov 28 05:49:00 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Alright. - Sat Nov 28 05:49:52 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I just find it fun. - Sat Nov 28 05:49:52 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: I see... - Sat Nov 28 05:49:52 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: So. - Sat Nov 28 05:49:52 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: The results of it. - Sat Nov 28 05:49:52 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Detail them for me... - Sat Nov 28 05:49:52 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: So I know what to expect... - Sat Nov 28 05:49:52 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: For my sister... - Sat Nov 28 05:49:52 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Your sister right now is at a stage between innocence and evil. - Sat Nov 28 05:50:43 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: She seems to only be worried about what she wants. - Sat Nov 28 05:50:43 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Which is good. - Sat Nov 28 05:50:43 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: She can easily be swayed, though. - Sat Nov 28 05:50:43 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Anyone can take advantage of her. - Sat Nov 28 05:50:43 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: ...Right. - Sat Nov 28 05:51:34 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: You'll be happy to know that she was willing to sell another person just to meet you. - Sat Nov 28 05:51:34 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: She does truly care about you.. - Sat Nov 28 05:51:34 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: ... - Sat Nov 28 05:51:34 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Sadly, she walked up to me a potential stranger, and revealed that you were her brother. - Sat Nov 28 05:51:34 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Of course it took a bit of time, but I even lured her off to a secluded area. - Sat Nov 28 05:52:25 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: .... - Sat Nov 28 05:52:25 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Just think about what I could've done if I was some evil bandit.. - Sat Nov 28 05:52:25 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: As you can see there's no real reason to purify you, or Kida. - Sat Nov 28 05:53:16 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: You're already on the right path. - Sat Nov 28 05:53:16 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: More-so thanks to Shiro. - Sat Nov 28 05:53:16 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: ... - Sat Nov 28 05:53:16 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: I see. - Sat Nov 28 05:54:08 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: I think I understand now. - Sat Nov 28 05:54:08 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Your sister sadly doesn't have anyone else to rely on. - Sat Nov 28 05:54:08 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: That naivety will also be a hindrance to you, and her in the future. - Sat Nov 28 05:54:59 2015
