<br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Whats up hun? - Fri Dec  4 21:50:43 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: O-Oh..the exams a-are starting soon.. - Sat Dec  5 00:23:28 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: You... - Sat Dec  5 00:33:42 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: Scuse' me. - Sat Dec  5 00:33:42 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: What is it? - Sat Dec  5 00:34:33 2015
<br><br><font color=teal>*Hiroshi(Marchie15) thinks: Oh that guy talks!? - Sat Dec  5 00:34:33 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Maybe if you win your match, haha. - Sat Dec  5 00:59:18 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Even if it isn't against you? - Sat Dec  5 01:00:09 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Deal!~ - Sat Dec  5 01:00:09 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Alright. Clearing. - Sat Dec  5 01:01:52 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: H-Hi - Sat Dec  5 01:02:43 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: 9that - Sat Dec  5 01:12:06 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Everyone out the arena! - Sat Dec  5 01:16:22 2015
<br><br><font color=yellow>*Momura(JustCallMeGnar) appeared* - Sat Dec  5 01:17:13 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Err, except Momura and Ai. Get your asses down here, please. - Sat Dec  5 01:18:56 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) thinks: It is finally starting. . . Heheheh. . .This is going to be fun. . - Sat Dec  5 01:19:47 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Good luck Ai. - Sat Dec  5 01:24:03 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: GOOD LUCK EVERYONE! - Sat Dec  5 01:26:36 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: Aye. - Sat Dec  5 01:27:28 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Dont hurt each other too much you too - Sat Dec  5 01:27:28 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: I-I see.. - Sat Dec  5 01:27:28 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: Don't worry, I plan on holding back. - Sat Dec  5 01:27:28 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) thinks: I-I won't hold back.. - Sat Dec  5 01:28:19 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Great, give me the person who can turn into paper. - Sat Dec  5 01:28:19 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: It isn't infallible! - Sat Dec  5 01:28:19 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: You can overcome her power! - Sat Dec  5 01:28:19 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: I can't hit her if she turns into paper. - Sat Dec  5 01:29:10 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: Sanoke. - Sat Dec  5 01:29:10 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: I knew this'd happen, tch. - Sat Dec  5 01:29:10 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: I feel like you're using me to test her. - Sat Dec  5 01:29:10 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Good luck Nami! - Sat Dec  5 01:29:10 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: I wasn't. This was completely random. - Sat Dec  5 01:29:10 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Tch, whatever. Goodbye winning chances. - Sat Dec  5 01:30:52 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: You all have thirty minutes to prepare! -- You're doing yourself no favors! - Sat Dec  5 01:30:52 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: A true shinobiu believes in themselves. - Sat Dec  5 01:30:52 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: I don't need favors, I need to be honest with myself. - Sat Dec  5 01:30:52 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Which I am doing. - Sat Dec  5 01:30:52 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: tch. You got no drive, regardless! That is the match. Half an hour guys. - Sat Dec  5 01:30:52 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Anyone not named Ai, Kinami, trilliam, and KOji. - Sat Dec  5 01:31:44 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Get off the staf. - Sat Dec  5 01:31:44 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Stage* - Sat Dec  5 01:31:44 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Trilliam and Koji will be the proctors for this exam. - Sat Dec  5 01:31:44 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: They will step if anyone gets crazy. - Sat Dec  5 01:31:44 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) thinks: This woman got no heart. - Sat Dec  5 01:32:35 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: Eh... - Sat Dec  5 01:32:35 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: Sanoke. - Sat Dec  5 01:32:35 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: Does winning matters? - Sat Dec  5 01:32:35 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: What? - Sat Dec  5 01:32:35 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: It helps. - Sat Dec  5 01:32:35 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: But does it matter. - Sat Dec  5 01:33:26 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: ... - Sat Dec  5 01:33:26 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Obviously. - Sat Dec  5 01:33:26 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) thinks: What kind of question is that? - Sat Dec  5 01:33:26 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: I see. - Sat Dec  5 01:33:26 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: When will be the next exams? - Sat Dec  5 01:33:26 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: I'unno. Maybe six months from no. Perhaps a year. - Sat Dec  5 01:34:17 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: How bad would it affect my grade if I let her win? - Sat Dec  5 01:34:17 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: do it and find out. - Sat Dec  5 01:35:08 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Do* - Sat Dec  5 01:35:08 2015
<br><br><font color=yellow>*Momura(JustCallMeGnar) would note there was literal steam coming off of her.

"Y-YEA..I-I'M GOING TO WIN THESE..A-AND GET A PERFECT SCORE, A-ALRIGHT C-CHIKYU!" She'd suddenly swing around and hug chikyu, spinning her through the air before setting her back down, "I-I'LL WIN FOR YOU AND H-HANAI ALRIGHT?"* - Sat Dec  5 01:35:08 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) thinks: That's the spirit.. - Sat Dec  5 01:36:00 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Koji, Trilliam. Get into position. - Sat Dec  5 01:36:51 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: I'll do a play by play commentary. - Sat Dec  5 01:36:51 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: ALirght - Sat Dec  5 01:36:51 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Mmm. - Sat Dec  5 01:39:24 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Where Kinami went? - Sat Dec  5 01:39:24 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: I wanna start the battle up? - Sat Dec  5 01:40:16 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Kinami! You all set? - Sat Dec  5 01:40:16 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Not like it matters. - Sat Dec  5 01:40:16 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) thinks: Losing so many points from this.. - Sat Dec  5 01:40:16 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: If you're ready, step forward. - Sat Dec  5 01:42:49 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: . . Guys? - Sat Dec  5 01:44:32 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: S-Sanoke-san! - Sat Dec  5 01:48:48 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Yes? - Sat Dec  5 01:48:48 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: . . . - Sat Dec  5 01:50:30 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: I-I wish to fight a-ai instead of k-kinami. - Sat Dec  5 01:50:30 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: P-Please allow me t-to. - Sat Dec  5 01:50:30 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Hey its random. - Sat Dec  5 01:51:21 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Hrm? No. - Sat Dec  5 01:51:21 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Momura, why are you trying to get her anyway? - Sat Dec  5 01:51:21 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Nothing goes the way we want it on the battlefield. - Sat Dec  5 01:51:21 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: W-Well things d-do sometimes koji.. - Sat Dec  5 01:52:12 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: P-Please sanoke-san.. - Sat Dec  5 01:52:12 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: I wouldn't put my faith in the "sometimes". - Sat Dec  5 01:52:12 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Nope. Already said no. - Sat Dec  5 01:52:12 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: Sanoke, a moment? - Sat Dec  5 01:54:46 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: A-Alright. - Sat Dec  5 01:54:46 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) thinks: What's with these people? The match is final. - Sat Dec  5 01:54:46 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Yo? - Sat Dec  5 01:54:46 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Enough chit-chat! Kinami, step to the plate! As should you, Ai! - Sat Dec  5 02:00:44 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: *Sigh* Alright. - Sat Dec  5 02:01:36 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Fine. - Sat Dec  5 02:01:36 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Give them some room, Trilliam, Koji! - Sat Dec  5 02:02:27 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Officiate the match in tandem. - Sat Dec  5 02:02:27 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) thinks: Already. . This isn't looking good for either party.. - Sat Dec  5 02:35:44 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) thinks: Ai is at the advantage. . .But how long can it last? - Sat Dec  5 02:35:44 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) thinks: I wonder what if I can drink on the job... Sake is one of the  few things i like about this place - Sat Dec  5 02:39:08 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) thinks: O-Ohh.. - Sat Dec  5 02:53:39 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) thinks: S-She's going at f-full strength..I-I think.. - Sat Dec  5 02:54:30 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: G-Go kinami! - Sat Dec  5 03:05:36 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: I-I BELIEVE IN YOU!!!! - Sat Dec  5 03:06:27 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: Y-YOUUU CAN D-DOOOOOOOOOOOOOOOOOOO IT!!!!! B-BELIEVE IN THE ME T-THAT BELIEVES IN YOU!!! - Sat Dec  5 03:06:27 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: G-GO KINAMI! - Sat Dec  5 03:17:32 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: I-I BELIEVE IN YOU! - Sat Dec  5 03:17:32 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: YOU CAN DO THIS! - Sat Dec  5 03:17:32 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: Y-YOU CAN B-BEAT HERRRRR!!!!! - Sat Dec  5 03:17:32 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: C-COME ON KINAMI! - Sat Dec  5 03:17:32 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) thinks: Mmm. . I could give tips. Does she not see ho-- No.. - Sat Dec  5 03:20:57 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: K-KINAMI! - Sat Dec  5 03:22:40 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: B-BELIEVE IN THE US T-THAT BELIEVES IN THE Y-YOU THAT B-BELIEVES IN THE ME T-THAT BELIEVES IN THE YOUUUUUUUUU! - Sat Dec  5 03:22:40 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: Y-YOU CAN DO I-IT! - Sat Dec  5 03:22:40 2015
<br><br><font color=yellow>*Momura(JustCallMeGnar) just kept yelling motivational things.* - Sat Dec  5 03:22:40 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Dont die you too! <best shot at motivation of a law less priest> - Sat Dec  5 03:24:22 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: S-SHOW AI Y-YOU'RE BETTER! - Sat Dec  5 03:24:22 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Ai your going overboard again - Sat Dec  5 03:27:47 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) thinks: --I'm still holding back, come on! - Sat Dec  5 03:28:38 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) thinks: She'll be fine. - Sat Dec  5 03:28:38 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Pull back... stun not kill - Sat Dec  5 03:28:38 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: We will drink after wards - Sat Dec  5 03:28:38 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) thinks: Fuck it, fine, I'll try to bind her and end this. - Sat Dec  5 03:29:29 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: .... - Sat Dec  5 03:30:20 2015
<br><br><font color=yellow>*Momura(JustCallMeGnar) blinked and saw the giant meteor.* - Sat Dec  5 03:32:03 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: S-Soo. - Sat Dec  5 03:35:28 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: G-Giant meteor. - Sat Dec  5 03:35:28 2015
<br><br><font color=teal>*Aoi(ByeFelicia) says: Mhm. - Sat Dec  5 03:35:28 2015
<br><br><font color=yellow>*Momura(JustCallMeGnar) keeps latched to chikyu's arms.* - Sat Dec  5 03:36:19 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: N-Neither have I. - Sat Dec  5 03:37:10 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: O-Ohh.. - Sat Dec  5 03:37:10 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: A-Apparnetly it's gonna b-be big.. - Sat Dec  5 03:38:01 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: U-Uhm..l-let's go to the walls.. - Sat Dec  5 03:38:01 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: Come with us! - Sat Dec  5 03:38:01 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: IOjjaero' - Sat Dec  5 03:41:26 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: S-Soo..uhm.. - Sat Dec  5 03:42:17 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: P-Pretty interesting..m-meteor. - Sat Dec  5 03:42:17 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: tell me your perks0 - Sat Dec  5 03:44:51 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) whispers: (CC1, Chakra 1, Studious 2, Ref2, Speed2, Clan perk, Lycan, Str2, Body2, As2, Boxer, Knuckles - Sat Dec  5 03:45:42 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: YOU WILL FIGHT ME FOR CHUUNINS - Sat Dec  5 03:53:23 2015
<br><br><font color=yellow>*Momura(JustCallMeGnar) punched bryson.* - Sat Dec  5 03:53:23 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: -omit- - Sat Dec  5 03:55:05 2015
<br><br><font color=teal>*Kaiko(Lostlolidragon) says: I can fight in her stead!  - Sat Dec  5 04:01:04 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Neat fight... - Sat Dec  5 04:01:04 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: W-Where's hideo? - Sat Dec  5 04:01:04 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) thinks: I-I'll have to beat a-ai later.. - Sat Dec  5 04:01:55 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) thinks: F-For kinami.. - Sat Dec  5 04:01:55 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: I-I think h-hideo ran off.. - Sat Dec  5 04:05:20 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Really Trill? - Sat Dec  5 04:05:20 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Hrm. .  - Sat Dec  5 04:05:20 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Hideo has approximately.. - Sat Dec  5 04:06:11 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Five minutes to arrive. - Sat Dec  5 04:06:11 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: If not, he'll be DQ'd. - Sat Dec  5 04:06:11 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: T-Then who do I-I fight? - Sat Dec  5 04:06:11 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Let me spar her in his place. - Sat Dec  5 04:09:36 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: At least you can see what she can do in battle. - Sat Dec  5 04:09:36 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: She can get the win and her points, and I can actually get a fair fight out of it. - Sat Dec  5 04:10:27 2015
<br><br><font color=teal>*Shokutsu(King Scrub) says: All you people do is spar. - Sat Dec  5 04:10:27 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: This is the Chuunin's right? - Sat Dec  5 04:10:27 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Mhm. . Although, it's going bad. - Sat Dec  5 04:10:27 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Many of our fighters failed to show. - Sat Dec  5 04:10:27 2015
<br><br><font color=teal>*Shin(Yaori) thinks: How did one nigga get so ugly - Sat Dec  5 04:10:27 2015
<br><br><font color=teal>*Shin(Yaori) thinks: Thats enough ugly for three people - Sat Dec  5 04:11:18 2015
<br><br><font color=teal>*Kaiko(Lostlolidragon) says: Sanoke! - Sat Dec  5 04:12:09 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Yes Bryson! - Sat Dec  5 04:12:09 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: No. - Sat Dec  5 04:12:09 2015
<br><br><font color=teal>*Kaiko(Lostlolidragon) says: Let me fight miss Momura! - Sat Dec  5 04:12:09 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: <@Kaiko> - Sat Dec  5 04:12:09 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Nope. - Sat Dec  5 04:12:09 2015
<br><br><font color=teal>*Kaiko(Lostlolidragon) says: Why not! - Sat Dec  5 04:13:00 2015
<br><br><font color=teal>*Kaiko(Lostlolidragon) says: I can do it! - Sat Dec  5 04:13:00 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Shame I missed the earlier parts.. - Sat Dec  5 04:13:00 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Ah, well. - Sat Dec  5 04:13:00 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) thinks: He just flat out ignored me. Didn't even give me a response. - Sat Dec  5 04:13:00 2015
<br><br><font color=teal>*Kaiko(Lostlolidragon) says: I don't wanna become a Chunin! I just wanna fight Momoura! - Sat Dec  5 04:13:00 2015
<br><br><font color=teal>*Hokuma, Mizora(Dandere-chan) says: Hm... - Sat Dec  5 04:13:52 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: It suprises alot of people Trill - Sat Dec  5 04:14:43 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) thinks: The hell is Kiyoko? I told her to be ready too.. - Sat Dec  5 04:15:34 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: H-Hmm.. - Sat Dec  5 04:16:25 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) thinks: A-Ai huh.. - Sat Dec  5 04:16:25 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: A-Alright! - Sat Dec  5 04:17:16 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) thinks: Oh, NOW you realized what I can do? - Sat Dec  5 04:18:59 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) thinks: You should have knew the moment I'm apart of 'that' team. - Sat Dec  5 04:19:50 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) thinks: I-I see how it is. - Sat Dec  5 04:22:24 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) thinks: W-Well time to go rogue. - Sat Dec  5 04:22:24 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Man, if you can find a mine, I'll send people to work there, T4rilliam. - Sat Dec  5 04:23:15 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: H-Hmm.. - Sat Dec  5 04:24:57 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: I know whare its at. - Sat Dec  5 04:27:31 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Me and Iza do. - Sat Dec  5 04:27:31 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: We just need people to come with us. - Sat Dec  5 04:27:31 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: To check it out. - Sat Dec  5 04:27:31 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: I already have an ideal of who should go. - Sat Dec  5 04:27:31 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) thinks: I-I'll lose to izanami ugh.. - Sat Dec  5 04:27:31 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Momura and Kinami. I'll tend to you all in a bit. - Sat Dec  5 04:43:44 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: O-Oh..uhm..a-alright.. - Sat Dec  5 04:43:44 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: Y-You go tend to y-your broken ass r-relationship. - Sat Dec  5 04:43:44 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) thinks: Not like we can hit Sanoke either, but this'll be fun. - Sat Dec  5 04:43:44 2015
<br><br><font color=teal>*Hokuma, Mizora(Dandere-chan) thinks: lynch this redhead doit -omit- - Sat Dec  5 04:43:44 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Excuse me? - Sat Dec  5 04:44:35 2015
<br><br><font color=teal>*Kaiko(Lostlolidragon) says: Scuse me? - Sat Dec  5 04:48:51 2015
<br><br><font color=teal>*Kaiko(Lostlolidragon) says: Lord Kazekage. .  - Sat Dec  5 04:48:51 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Mrm.. So, Kiyoko. How you been? - Sat Dec  5 04:48:51 2015
<br><br><font color=teal>*Kaiko(Lostlolidragon) says: Did you ever get my letter? - Sat Dec  5 04:48:51 2015
<br><br><font color=teal>*Hokuma, Mizora(Dandere-chan) whispers: Let's go home so you can rest up. - Sat Dec  5 04:49:42 2015
<br><br><font color=teal>*Kaiko(Lostlolidragon) whispers: (people have been blowin up my skype comlaining about Mirai xD ) - Sat Dec  5 04:59:56 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) whispers: (meh - Sat Dec  5 05:00:48 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) whispers: ((Lmao why - Sat Dec  5 05:00:48 2015
<br><br><font color=teal>*Kaiko(Lostlolidragon) whispers: (People been asking me why I didn't kill her on Marrisa, and complaining about how she bassicly tries to control Sanoke IC and OOC'ly xD ) - Sat Dec  5 05:01:39 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) whispers: (meh..yea.. - Sat Dec  5 05:02:30 2015
<br><br><font color=teal>*Kaiko(Lostlolidragon) says: Lord Kazekage - Sat Dec  5 05:05:55 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Yo, - Sat Dec  5 05:07:37 2015
<br><br><font color=teal>*Kaiko(Lostlolidragon) says: Have you had a chance to read my letter to you? - Sat Dec  5 05:07:37 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Oh yeah. Don't do that. - Sat Dec  5 05:08:28 2015
<br><br><font color=teal>*Kaiko(Lostlolidragon) says: . . . . - Sat Dec  5 05:09:20 2015
<br><br><font color=teal>*Kaiko(Lostlolidragon) says: Right. .  - Sat Dec  5 05:09:20 2015
<br><br><font color=teal>*Kaiko(Lostlolidragon) says: What about the other part? - Sat Dec  5 05:10:11 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Uh. WHat was the other part again? - Sat Dec  5 05:10:11 2015
<br><br><font color=teal>*Kaiko(Lostlolidragon) says: . . Forgive my impudence sir Kazkage. .  - Sat Dec  5 05:13:36 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Uh. . ? - Sat Dec  5 05:13:36 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Uh. . ? - Sat Dec  5 05:13:36 2015
<br><br><font color=teal>*Kaiko(Lostlolidragon) says: Can you assist me in finding a teacher for my craft? I am studying Fuuinjutsu. . Sir. .  - Sat Dec  5 05:13:36 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Ai can give you a hand. - Sat Dec  5 05:14:27 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: SHe's pretty good. - Sat Dec  5 05:14:27 2015
<br><br><font color=teal>*Kaiko(Lostlolidragon) says: I will ask her Then. . Sorry for bothering you - Sat Dec  5 05:16:09 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Sanoke for my proposed mission I'll need Iza Marco and Koji. - Sat Dec  5 05:22:59 2015
<br><br><font color=teal>*Kaiko(Lostlolidragon) says: Marco isn't a Ninja - Sat Dec  5 05:23:50 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Stay in your lane you. - Sat Dec  5 05:23:50 2015
<br><br><font color=teal>*Kaiko(Lostlolidragon) says: . . .  - Sat Dec  5 05:23:50 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: You dont even know what i'm talking about. - Sat Dec  5 05:24:41 2015
