<br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: I can read and write. - Sat Dec  5 20:53:58 2015
"Nami. . Please take the time out of your day to teach your lowly, needy, wouldn't be able to do anything with out you boyfriend how to used that fighting style.  I will do whatever you want me to in return.  You name it, I do it."  By the time he had finished, he had forced himself to look her into her eyes, his face was still a bright red color.* - Sun Dec  6 04:53:32 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) thinks: This girl makes me do things I never thought I would. . . . .  - Sun Dec  6 04:53:32 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Hmm, I'll think about it.~ - Sun Dec  6 04:54:24 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Baby please don't make me go even further. - Sun Dec  6 04:54:24 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: I'll think about it! - Sun Dec  6 04:54:24 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) thinks: I swear. . She is enjoying this. . .  - Sun Dec  6 04:54:24 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Can I get a solid answer? *kisses her hand* - Sun Dec  6 04:55:15 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: After I think about it, sure. - Sun Dec  6 04:55:15 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Heh. - Sun Dec  6 04:55:15 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: . . .  - Sun Dec  6 04:55:15 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Umm.  .  - Sun Dec  6 04:55:15 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: *kisses hand again* - Sun Dec  6 04:55:15 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Please? - Sun Dec  6 04:55:15 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) thinks: This is killing me. . . .  - Sun Dec  6 04:56:06 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: I'll. - Sun Dec  6 04:56:06 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Think. - Sun Dec  6 04:56:06 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: About it. - Sun Dec  6 04:56:06 2015
<br><br><font color=yellow>*Hideo, Hiroshi(Anonymouse player) rose to his feet, but would not let go of her hand for the time being.  He just stood there, content.

"I guess that is better than a no."  He says with a smile.* - Sun Dec  6 04:56:57 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Lets just go in. If he needs to find me, he can just announce it. - Sun Dec  6 04:58:40 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Alright. - Sun Dec  6 04:58:40 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Let's go get some food. - Sun Dec  6 04:59:31 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: I'm hungry. - Sun Dec  6 04:59:31 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: I already ate. Maybe next time? - Sun Dec  6 04:59:31 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: What'd we miss? Thought you were going to come back but.... - Sun Dec  6 05:00:22 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: *yawn* - Sun Dec  6 05:00:22 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Ah... - Sun Dec  6 05:02:04 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Is Momu ok? - Sun Dec  6 05:02:04 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: She's hospitalized, right? - Sun Dec  6 05:03:47 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Oh. . .She looks fine to me. - Sun Dec  6 05:05:29 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: ...Oh. - Sun Dec  6 05:05:29 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Was Bryson on duty? - Sun Dec  6 05:05:29 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: Y-Yeah. - Sun Dec  6 05:06:20 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Oh, good to see you out and about. - Sun Dec  6 05:06:20 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: B-Bryson-san was outside of the gate.. - Sun Dec  6 05:06:20 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: L-Luckily he healed her. - Sun Dec  6 05:06:20 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: That's good. - Sun Dec  6 05:06:20 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Yup yup. - Sun Dec  6 05:06:20 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Good, good. - Sun Dec  6 05:07:12 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Explains why she's in perfect condition. - Sun Dec  6 05:07:12 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: So...... - Sun Dec  6 05:08:54 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Did she pass buddy? - Sun Dec  6 05:09:45 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Oh, I wasn't talking about that. Just wondering why it's so quiet. - Sun Dec  6 05:09:45 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: I wanted to know. - Sun Dec  6 05:09:45 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: What the hell? - Sun Dec  6 05:12:19 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: ... Momura. - Sun Dec  6 05:12:19 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: ...... - Sun Dec  6 05:12:19 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Because if you are- I sure as hell am. So.. really, girl? YOu sure about that? - Sun Dec  6 05:13:10 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Same Momu, what about me? - Sun Dec  6 05:13:10 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: What the hell is wrong with you? - Sun Dec  6 05:13:10 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: ... - Sun Dec  6 05:13:10 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: I-I was beat and t-they didn't even g-go full strength..I-I have no right to e-even be a s-shinobi.. - Sun Dec  6 05:16:35 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) thinks: So, the exams aren't over then? - Sun Dec  6 05:16:35 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: I-I'm useless and w-weak.. - Sun Dec  6 05:16:35 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: ... Momura. - Sun Dec  6 05:16:35 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: If I went full strength, you'd die. That's why. - Sun Dec  6 05:16:35 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: What the fuck? - Sun Dec  6 05:16:35 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Do I have to come over there and slap you, then hurt my hand? - Sun Dec  6 05:16:35 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: That is a load of bullshit and you know it Momu. - Sun Dec  6 05:17:26 2015
<br><br><font color=teal>*Hiroshi(Marchie15) whispers: Psst! Bad word~ - Sun Dec  6 05:17:26 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: . . . - Sun Dec  6 05:17:26 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: C-Calm down, M-Momura-chan. - Sun Dec  6 05:18:17 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) whispers: Not now Green.  This is serious man! - Sun Dec  6 05:18:17 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: I-If you want a c-chuunin, k-kinami is your c-choice..she's s-stronger and m-more reliable. - Sun Dec  6 05:18:17 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Not likely. - Sun Dec  6 05:18:17 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: If you ask me, I say both of you deserve it. - Sun Dec  6 05:19:08 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: C-Come now, M-Momura-chan. - Sun Dec  6 05:19:08 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Hey, shoot me all of the glares that you want, I'm not going to baby you. Sorry. - Sun Dec  6 05:19:08 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: I think you'd make a great Chuunin. - Sun Dec  6 05:19:08 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: Y-You're smart and strong. - Sun Dec  6 05:19:08 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: A-A lot of people are stronger t-then me! I-I'm not throwing a f-fit because of that! - Sun Dec  6 05:20:00 2015
<br><br><font color=yellow>*Hideo, Hiroshi(Anonymouse player) sat on the ground and leaned back.  Placing his hands flat on the ground, looking into the sky.

"This is crazy."* - Sun Dec  6 05:20:00 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: H-Hmph...whatever.. - Sun Dec  6 05:20:51 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: S-Send me a letter i-if I passed or not.. - Sun Dec  6 05:20:51 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: *sigh* - Sun Dec  6 05:21:42 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: I guess she will be alright after she has some time to clear her head. . .  - Sun Dec  6 05:21:42 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: And to think.. I actually had some respect for someone so weak willed, as to see being beaten as a reason to give up! - Sun Dec  6 05:22:33 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: She should be seeing this as motivation to get stronger, not a reason to give up! - Sun Dec  6 05:22:33 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Pathetic. - Sun Dec  6 05:22:33 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Mmm. - Sun Dec  6 05:22:33 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: *sigh*  The rest is up to her now. - Sun Dec  6 05:22:33 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: I have nothing more to do with it. - Sun Dec  6 05:22:33 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) thinks: Well I was going to pass her. . - Sun Dec  6 05:22:33 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) thinks: Now. . I'm not so sure. - Sun Dec  6 05:22:33 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: So..... - Sun Dec  6 05:24:16 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: *yawn*  All this sitting around is making me sleepy. - Sun Dec  6 05:24:16 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: This entire continent has felt dull as of late. - Sun Dec  6 05:24:16 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Kinami. As a note, I like what I saw due to your sheer power. - Sun Dec  6 05:25:07 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: I'll be promoting you. Just need to get an extra suit. - Sun Dec  6 05:25:07 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Thanks. - Sun Dec  6 05:25:07 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: *smiles* Congrats girl! - Sun Dec  6 05:25:07 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Thank you. - Sun Dec  6 05:25:07 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: I just wish I could fight her with my full strength like she wanted. - Sun Dec  6 05:25:07 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Ah... And Sanoke. - Sun Dec  6 05:25:58 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Don't worry about it. - Sun Dec  6 05:25:58 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: About my earlier question? - Sun Dec  6 05:25:58 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: What is up with those bandages Nami? - Sun Dec  6 05:26:49 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Didn't you see my move? - Sun Dec  6 05:26:49 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: I did, how the hell do bandages move? - Sun Dec  6 05:26:49 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: I'm that awesome.~ - Sun Dec  6 05:26:49 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: I can't disagree, but there has to be another explenation. - Sun Dec  6 05:27:40 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Your earlier question? - Sun Dec  6 05:27:40 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Ah...Earlier. - Sun Dec  6 05:28:32 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: About if you knew of any Kenjutsu Sensei in any of the villages we where allied to I might be able to go learn under. - Sun Dec  6 05:28:32 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: I'm telling you, I'm just that awesome.~ - Sun Dec  6 05:28:32 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: *laughs*  Ok baby. - Sun Dec  6 05:28:32 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Oh. - Sun Dec  6 05:28:32 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Hrmmmm. - Sun Dec  6 05:28:32 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: You are awesome!~ - Sun Dec  6 05:28:32 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Nah. - Sun Dec  6 05:28:32 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Thanks. - Sun Dec  6 05:28:32 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: There aren't a lot of strong Kenjutsu people. - Sun Dec  6 05:28:32 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: And we can get better together, Mitsunara. - Sun Dec  6 05:29:23 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Well, except that one chick who was with Edge. - Sun Dec  6 05:29:23 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Had giant tits and stuff. - Sun Dec  6 05:29:23 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: She had what now? - Sun Dec  6 05:29:23 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Ah, I see... And heh, yeah. Kinami- we can train and get stronger together, but.. - Sun Dec  6 05:29:23 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: My issue is that I have no one to actually teach me Kenjutsu- so until someting changes.. - Sun Dec  6 05:29:23 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: I'm just going to be swinging around my sword without real form. - Sun Dec  6 05:29:23 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: I have no one to teach me taijutsu anymore. - Sun Dec  6 05:29:23 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Hn? - Sun Dec  6 05:29:23 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: You're probably going to have to develop your own techniques. - Sun Dec  6 05:30:14 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: I just have to wing it or make my own jutsu. - Sun Dec  6 05:30:14 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Sensei is coming back Nami. - Sun Dec  6 05:30:14 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: Self train. - Sun Dec  6 05:30:14 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: I hope she is. - Sun Dec  6 05:30:14 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Yeah. Teachers are overrated! Even if I had the great Noriko to help me start off. - Sun Dec  6 05:30:14 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Hasn't been here in forever. - Sun Dec  6 05:30:14 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: I was told she had to go somewhere. - Sun Dec  6 05:30:14 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: I've made like. . about a dozen techniques on my own by now. If I can do it. - Sun Dec  6 05:30:14 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: So can you. - Sun Dec  6 05:30:14 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Yeah, Yeah, I know.. I've been planning to. - Sun Dec  6 05:31:05 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Hey uh, when will the exams conclude?  - Sun Dec  6 05:31:05 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: It'd still help to have a helping hand- I've been self teaching my entire career, after all.. Ah, I suppose you're right- can't make myself any /worse/ with it, after all.. - Sun Dec  6 05:31:05 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: I've made all my paper techniques on my own so...Yeah, Self train. - Sun Dec  6 05:31:05 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Momu, where are you going? - Sun Dec  6 05:31:56 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: G-Going to get some s-sake. - Sun Dec  6 05:32:48 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: ...Hello? - Sun Dec  6 05:32:48 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: That way? - Sun Dec  6 05:32:48 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Isn't the bar the other way? - Sun Dec  6 05:32:48 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: I think they are over Iza. - Sun Dec  6 05:32:48 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: I-I have my own. - Sun Dec  6 05:32:48 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Are you even old enough to drink? - Sun Dec  6 05:32:48 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Over? - Sun Dec  6 05:32:48 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: P-Probably not. - Sun Dec  6 05:32:48 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: I think they are over. - Sun Dec  6 05:33:39 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: . . . Are you really that upset? - Sun Dec  6 05:33:39 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Uh...I didn't participate in the end yet though. - Sun Dec  6 05:33:39 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Me and Ai are the chuunin, I suppose. - Sun Dec  6 05:33:39 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: Y-You still lost to her. - Sun Dec  6 05:33:39 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: H-Horribly. - Sun Dec  6 05:33:39 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Really Momu? - Sun Dec  6 05:33:39 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Yeah, but I still won a match too. - Sun Dec  6 05:33:39 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: That's how this is going to go? - Sun Dec  6 05:33:39 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: So..... - Sun Dec  6 05:33:39 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Well uh, I think I still have to go. - Sun Dec  6 05:34:30 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Oh, Izanami. - Sun Dec  6 05:34:30 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: It's only natural. - Sun Dec  6 05:34:30 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: I'll you and Hideo battle later since you guys. - Sun Dec  6 05:34:30 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Were late as hell. - Sun Dec  6 05:34:30 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: S-Sanoke-san. - Sun Dec  6 05:34:30 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: D-Did I pass. - Sun Dec  6 05:34:30 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: O-Or no. - Sun Dec  6 05:34:30 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Eh? - Sun Dec  6 05:34:30 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Alright. - Sun Dec  6 05:34:30 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Uhhh ok. - Sun Dec  6 05:34:30 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Good luck Iza. - Sun Dec  6 05:34:30 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: That's fine.  - Sun Dec  6 05:35:21 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Oh, congrats Ai. - Sun Dec  6 05:35:21 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: Oh? You got promoted too? - Sun Dec  6 05:35:21 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Mhm, mhm. - Sun Dec  6 05:35:21 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: Nice and thanks. - Sun Dec  6 05:35:21 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Thank you. - Sun Dec  6 05:35:21 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Maybe we'll work together some time. - Sun Dec  6 05:36:12 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: Depends. - Sun Dec  6 05:36:12 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Ah... - Sun Dec  6 05:36:12 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: W-Well sanoke-san? - Sun Dec  6 05:36:12 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Anyway... Mrm. - Sun Dec  6 05:36:12 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Hmm? What is it, Mitsunara? - Sun Dec  6 05:37:04 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) thinks: O-Or ignore me. - Sun Dec  6 05:37:04 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) thinks: Right. - Sun Dec  6 05:37:04 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Well. Seems I've been outpaced while I was studying summoning. - Sun Dec  6 05:37:04 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Means I need to kick some shit into gear. - Sun Dec  6 05:37:04 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: I'm gonna go get some food in me. - Sun Dec  6 05:37:04 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Then we're going to go into that arena, unarmed on both sides. - Sun Dec  6 05:37:04 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Are we now? - Sun Dec  6 05:37:55 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: And brawl for as long as we can- an agreement that neither of us focus on winning. Just brawling for as long as we can. Should be fun and productive. - Sun Dec  6 05:37:55 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: That sounds fun! - Sun Dec  6 05:37:55 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Damn straight we are. I can /feel/ some of my callouses have fade the fuck away. - Sun Dec  6 05:37:55 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: I LOST CALLOUSES, TO THIS NERD SHIT! I will regain them the only way that works. - Sun Dec  6 05:37:55 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Being physically abused for hours at a time until I drop. - Sun Dec  6 05:38:46 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: *laughs* - Sun Dec  6 05:38:46 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Or maybe.~ - Sun Dec  6 05:38:46 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Hey uh...why do we have to wait until later? Can we just start now?  - Sun Dec  6 05:38:46 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Game? - Sun Dec  6 05:38:46 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Eh--? - Sun Dec  6 05:38:46 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: I'll hit you once and you'll fall on your butt and not get back up.~ - Sun Dec  6 05:38:46 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: You people are insane. - Sun Dec  6 05:39:37 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: You know you love us Sanoke. - Sun Dec  6 05:39:37 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Hah! As if! I'd keep fighting with both my arms broken! - Sun Dec  6 05:39:37 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: 'Cause it'ssuper late and I'm not attentive. The last fight was boring, so I'm mentally resting. - Sun Dec  6 05:39:37 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Unless you two can promise to make it exciting? - Sun Dec  6 05:39:37 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Well, sorry we only know taijutsu. - Sun Dec  6 05:39:37 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Kind of hard to be super flashy while holding back. - Sun Dec  6 05:39:37 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Of course. - Sun Dec  6 05:39:37 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: I mean, I guess. - Sun Dec  6 05:40:28 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Hey Marco. - Sun Dec  6 05:40:28 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Taijutsu can still be fun. - Sun Dec  6 05:40:28 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: Sanoke. - Sun Dec  6 05:40:28 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: D-Did I pass? - Sun Dec  6 05:40:28 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: I used to have badass taijutsu fights with my old friend, Koeki. - Sun Dec  6 05:40:28 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: I beat her a lot. - Sun Dec  6 05:40:28 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: Hrm? - Sun Dec  6 05:41:20 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Well, you saw me when we were training. - Sun Dec  6 05:41:20 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Me and Hiroshi, that is. - Sun Dec  6 05:41:20 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) thinks: Hm...Should train up a little more so I can try my luck with Jounin. - Sun Dec  6 05:41:20 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: You had fun there. - Sun Dec  6 05:41:20 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: We can start as soon as possible. - Sun Dec  6 05:41:20 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: M-Mmm...... - Sun Dec  6 05:41:20 2015
