<br><font color=teal>*Heiwa(PythonJedi) says: Mm. Closer, stand beside me. - Tue Dec  1 03:15:50 2015
<br><br><font color=teal>*Tengoku(Punka) says: Hey, Yumi.~ - Wed Dec  2 00:05:58 2015
<br><br><font color=teal>*Meinu, Sekitsui(TheButtNekkidBandit) says: Yeah no problem. - Wed Dec  2 00:11:05 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) whispers: (making the gen pills now cus of dis) - Wed Dec  2 01:47:31 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: Hey... - Wed Dec  2 02:24:12 2015
<br><br><font color=teal>*Meinu, Sekitsui(TheButtNekkidBandit) says: Hm? - Wed Dec  2 02:24:12 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: You want to go eat now? I want to get to training so I'll need energy.. - Wed Dec  2 02:24:12 2015
<br><br><font color=teal>*Meinu, Sekitsui(TheButtNekkidBandit) says: Oh, I mean sure, like a snack? - Wed Dec  2 02:25:55 2015
<br><br><font color=teal>*Meinu, Sekitsui(TheButtNekkidBandit) says: *Power snack? - Wed Dec  2 02:25:55 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: Yeah. That'd be cool. - Wed Dec  2 02:25:55 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: I'm bored. - Wed Dec  2 02:29:20 2015
<br><br><font color=teal>*Yumiko(Ekario) says: Evening everyone. - Wed Dec  2 03:10:17 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: I like lines. - Wed Dec  2 03:11:08 2015
<br><br><font color=teal>*Yumiko(Ekario) says: Same. - Wed Dec  2 03:12:00 2015
<br><br><font color=teal>*Tengoku(Punka) says: When he come at you - Wed Dec  2 03:12:51 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: Huh? - Wed Dec  2 03:20:32 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Hey, Yumiko. - Wed Dec  2 03:23:05 2015
<br><br><font color=teal>*Yumiko(Ekario) says: What's up?~ - Wed Dec  2 03:23:56 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Was thinking of some training - you and Nori up for it? - Wed Dec  2 03:29:55 2015
<br><br><font color=teal>*Yumiko(Ekario) says: Mhm. - Wed Dec  2 03:30:46 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: Sure. - Wed Dec  2 03:30:46 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Alright. Lets head out. - Wed Dec  2 03:46:08 2015
<br><br><font color=yellow>*Higashi, Nori(Shawn45) taps her chin for the moment, inching her head to the side, "Well, I am just working on trying to react to hits faster?"* - Wed Dec  2 03:58:56 2015
<br><br><font color=teal>*Meinu, Sekitsui(TheButtNekkidBandit) thinks: Those three are close friends, it's obvious... maybe I'm intruding on their group... why did they put me in the squad if it works better between them three? - Wed Dec  2 04:32:12 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: I think he spaced out, Yumi. . - Wed Dec  2 04:38:11 2015
<br><br><font color=teal>*Yumiko(Ekario) says: He might have. Oh well. - Wed Dec  2 04:39:02 2015
<br><br><font color=teal>*Yumiko(Ekario) says: And hello there.~ - Wed Dec  2 04:39:53 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: Huh? Oh, hiya! And not really. We were just about to. - Wed Dec  2 04:45:00 2015
<br><br><font color=teal>*Meinu, Sekitsui(TheButtNekkidBandit) says: Oh, cool. - Wed Dec  2 04:45:00 2015
<br><br><font color=teal>*Meinu, Sekitsui(TheButtNekkidBandit) says: Can I join? - Wed Dec  2 04:45:00 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: Sure. I don't mind. You, Yumi? - Wed Dec  2 04:49:16 2015
<br><br><font color=teal>*Yumiko(Ekario) says: Of course not. - Wed Dec  2 04:49:16 2015
<br><br><font color=teal>*Meinu, Sekitsui(TheButtNekkidBandit) says: Mkays. - Wed Dec  2 04:50:59 2015
<br><br><font color=teal>*Meinu, Sekitsui(TheButtNekkidBandit) says: What we gonna do? - Wed Dec  2 04:50:59 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: Hmmm. . Yumi, got any ideas? - Wed Dec  2 04:50:59 2015
<br><br><font color=teal>*Yumiko(Ekario) says: I still want to practice with my bow. Do you two think you can avoid my shots? - Wed Dec  2 04:52:41 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Make sure to tone down the power of your attacks.. - Wed Dec  2 04:53:32 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: I can try. - Wed Dec  2 04:53:32 2015
<br><br><font color=teal>*Meinu, Sekitsui(TheButtNekkidBandit) says: I can try. - Wed Dec  2 04:55:15 2015
<br><br><font color=teal>*Meinu, Sekitsui(TheButtNekkidBandit) says: --- - Wed Dec  2 04:55:15 2015
<br><br><font color=teal>*Meinu, Sekitsui(TheButtNekkidBandit) thinks: That was weird. - Wed Dec  2 04:55:15 2015
<br><br><font color=teal>*Meinu, Sekitsui(TheButtNekkidBandit) thinks: Why did I just say the same thing she did. - Wed Dec  2 04:55:15 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) thinks: Because dodging arrows is as hard as dodging your first crazy ex. *omit* - Wed Dec  2 04:56:57 2015
<br><br><font color=teal>*Yumiko(Ekario) says: Hmm alright then.~ - Wed Dec  2 04:57:48 2015
<br><br><font color=teal>*Yumiko(Ekario) says: You two should spread out. - Wed Dec  2 05:02:04 2015
<br><br><font color=yellow>*Higashi, Nori(Shawn45) nods, taking a few curt steps backwards. . Well, three steps backwards, "Is this good?"* - Wed Dec  2 05:03:47 2015
<br><br><font color=yellow>*Higashi, Nori(Shawn45) takes a few steps further back, but was still keeping a close eye on Sekitsui. More importantly, she was looking at her bow.* - Wed Dec  2 05:14:52 2015
<br><br><font color=yellow>*Higashi, Nori(Shawn45) had to keep an eye on Yumiko still, though from afar, it was still difficult to tell when she was going to shoot. She wasn't as perceptive as the normal person, so this might have been difficult for her. She proceeded to move  a bit eastwards, trying to keepherself running so that she would be a possible harder target if Yumiko aimed at her.* - Wed Dec  2 05:34:30 2015
<br><br><font color=yellow>*Higashi, Nori(Shawn45) 's eyes widened for a moment, quickly as she was trying to keep her pacing up, only realizing she was already running at her max. Fortunately for her, the arrow had just moved past her, 'Oh thank goodness.' She thought to herself. . She then had a thought.

'Why am I running like this agai-- oh my god, almost bumped into the tree' she thought.* - Wed Dec  2 06:04:22 2015
<br><br><font color=teal>*Yumiko(Ekario) says: I just got lucky that time. That's all. - Wed Dec  2 06:08:38 2015
<br><br><font color=yellow>*Higashi, Nori(Shawn45) stopped in her tracks for a moment. All in all, she was mentally glad that she didn't get hit by an arrow. Inhaling deeply, Nori would walk over towards Sekitsui, kneeling and examining the wound on the girl's leg. Clasping her hands together, she would move through a few handseals and hovered her hands over her ankle, allowing an emerald green tint.

Within moments, the cells would regenerate faster, closing up the wound within minutes,"At least it was not a direct hit." She said.* - Wed Dec  2 06:12:03 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: Training. - Wed Dec  2 06:16:19 2015
<br><br><font color=teal>*Yumiko(Ekario) says: We were playing a game of dodge the arrows. - Wed Dec  2 06:21:26 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: I mean. . She did dodge a lot better than I did. I only dodged because I kept on running. . - Wed Dec  2 06:33:23 2015
<br><br><font color=teal>*Meinu, Sekitsui(TheButtNekkidBandit) says: Eh.. you did good Nori-chan. - Wed Dec  2 06:34:14 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: No, no. You did a lot better than me. Haha. - Wed Dec  2 06:37:39 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: Well, being a medic has it's good times. Can you stand on it now? It wasn't that serious, right? - Wed Dec  2 06:47:02 2015
<br><br><font color=teal>*Meinu, Sekitsui(TheButtNekkidBandit) says: Yeah, I'm good. - Wed Dec  2 06:49:36 2015
<br><br><font color=teal>*Yumiko(Ekario) says: Sorry about that. - Wed Dec  2 06:53:00 2015
<br><br><font color=teal>*Meinu, Sekitsui(TheButtNekkidBandit) thinks: He doesn't look happy. - Wed Dec  2 06:58:59 2015
<br><br><font color=yellow>*Higashi, Nori(Shawn45) finally got up, taking a few staggering steps backwards and offering to try and pull her up, if that was the case. She looked over to Heiwa and gave him a bit of a thumbs up, "She's all good." She said with a sage nod.* - Wed Dec  2 07:00:41 2015
<br><br><font color=teal>*Meinu, Sekitsui(TheButtNekkidBandit) says: Uh...yeah... - Wed Dec  2 07:05:48 2015
<br><br><font color=teal>*Meinu, Sekitsui(TheButtNekkidBandit) thinks: Jeez, they are acting weird. - Wed Dec  2 07:05:48 2015
<br><br><font color=teal>*Meinu, Sekitsui(TheButtNekkidBandit) thinks: What did I do? - Wed Dec  2 07:13:29 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Not every dodge happens..Besides, I'd rather not have both of you injured from a spar being lead like that. - Wed Dec  2 07:15:12 2015
<br><br><font color=teal>*Heiwa(PythonJedi) thinks: Especially if Yumiko can't keep her power lower - her arrows are too powerful. - Wed Dec  2 07:15:12 2015
<br><br><font color=teal>*Meinu, Sekitsui(TheButtNekkidBandit) says: I mean...it wasn't that bad? Would she have actually hurt me badly if I took the full hit? - Wed Dec  2 07:16:54 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Probably. If you had managed to hit Tengoku in the mist, do you think he'd be hurt too? - Wed Dec  2 07:16:54 2015
<br><br><font color=teal>*Meinu, Sekitsui(TheButtNekkidBandit) says: He'd be hurt but I was using a rotation that was slow enough only to cause his body to hurt. - Wed Dec  2 07:17:45 2015
<br><br><font color=teal>*Meinu, Sekitsui(TheButtNekkidBandit) says: And I wouldn't have made him pass out. - Wed Dec  2 07:17:45 2015
<br><br><font color=teal>*Meinu, Sekitsui(TheButtNekkidBandit) says: I would have paused to let him admit defeat. - Wed Dec  2 07:18:36 2015
<br><br><font color=teal>*Meinu, Sekitsui(TheButtNekkidBandit) says: You told her to hold back, she was holding back yeah? - Wed Dec  2 07:19:28 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: ...She says so. If the confrontation was serious, however, that might..mistakes can happen. - Wed Dec  2 07:20:19 2015
<br><br><font color=teal>*Yumiko(Ekario) says: I was. - Wed Dec  2 07:20:19 2015
<br><br><font color=teal>*Meinu, Sekitsui(TheButtNekkidBandit) says: Yeah... I get it. - Wed Dec  2 07:21:10 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Ino idea who berith is lol - Wed Dec  2 07:33:58 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Mm. Yumiko, we'll work on your accuracy together, okay? - Wed Dec  2 07:36:32 2015
<br><br><font color=teal>*Meinu, Sekitsui(TheButtNekkidBandit) thinks: Yeah that was weird as fuck... - Wed Dec  2 07:37:23 2015
<br><br><font color=teal>*Meinu, Sekitsui(TheButtNekkidBandit) says: *Yeah, that was weiiiiiiiiiiiird. - Wed Dec  2 07:37:23 2015
<br><br><font color=teal>*Yumiko(Ekario) says: Alright.~ - Wed Dec  2 07:49:20 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: -omit- - Wed Dec  2 07:52:44 2015
<br><br><font color=teal>*Geo Dude(Wynokx) whispers: ( Swiggity Swooty I'm Coming For that Booty..You might run away but you gon get this dick today. ) - Wed Dec  2 08:32:00 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Hi. - Wed Dec  2 08:36:16 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: Morning. . - Wed Dec  2 20:37:20 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) whispers: wind fire lightning magnetism] - Wed Dec  2 20:46:43 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) whispers: do you want a puppet for your C rank?] - Wed Dec  2 20:47:34 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: Hi. - Wed Dec  2 21:50:43 2015
<br><br><font color=teal>*Yumiko(Ekario) says: Hello.~ - Thu Dec  3 05:14:27 2015
<br><br><font color=yellow>*Higashi, Nori(Shawn45) inched her head to the side, "Uhh. Sure. What happened?" She nodded to Yumiko as she walked over to Heiwa, trying to spot the wound on him.* - Thu Dec  3 05:22:08 2015
<br><br><font color=yellow>*Higashi, Nori(Shawn45) nods for a moment, bringing her hands upwards and clasping them together. She would move through a few handseals, placing a hand over the wound and allowing a emerald green hue to wash over the wound, slowly closing it up. It didn't take too long for it to close up, however.

"Be more careful, alright?"* - Thu Dec  3 05:35:47 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: No problem. - Thu Dec  3 05:47:44 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Mm. How has your training been? - Thu Dec  3 05:49:26 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: Good.. Boring, but good. - Thu Dec  3 05:54:33 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Want some help with it? - Thu Dec  3 06:11:37 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: Somewhat. - Thu Dec  3 06:18:27 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: To the house then? Yumiko, you coming? - Thu Dec  3 06:21:52 2015
<br><br><font color=teal>*Yumiko(Ekario) says: I am. - Thu Dec  3 06:32:06 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: Eh? - Thu Dec  3 06:37:13 2015
<br><br><font color=teal>*Yumiko(Ekario) says: Oh boy this is going to be a long explination. - Thu Dec  3 06:41:29 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: ..Yeah. Yumiko, you got the picture? - Thu Dec  3 06:42:20 2015
<br><br><font color=yellow>*Higashi, Nori(Shawn45) grabs onto the scroll, inching her head to the side as she read through it.* - Thu Dec  3 06:44:03 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: Uhhhh. .. - Thu Dec  3 06:44:54 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: A picture of a flower? - Thu Dec  3 06:44:54 2015
<br><br><font color=teal>*Yumiko(Ekario) says: Mhm, I made that by the way. - Thu Dec  3 06:46:36 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Mm - it's a black lotus: Kokuren. - Thu Dec  3 06:46:36 2015
<br><br><font color=teal>*Yumiko(Ekario) says: Ever wonder what is above a Kage at the current time? - Thu Dec  3 06:52:35 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: Oooh. I see. And I always thought it was a Daimyo or whatever. - Thu Dec  3 06:53:26 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Above the daimyo even. - Thu Dec  3 06:57:42 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: Uhhh. . . .. A crazy guy holding a pick axe and chasing kids? - Thu Dec  3 06:59:24 2015
<br><br><font color=teal>*Yumiko(Ekario) says: No, but if you don't be serious I'll put you in chains. - Thu Dec  3 07:01:58 2015
<br><br><font color=teal>*Yumiko(Ekario) thinks: Is that a reward or punishment for her? With how she was last time. - Thu Dec  3 07:01:58 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: . . I was being serious? - Thu Dec  3 07:09:39 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: Nice drawing by the way. - Thu Dec  3 07:10:30 2015
<br><br><font color=teal>*Yumiko(Ekario) says: Thanks. - Thu Dec  3 07:12:12 2015
<br><br><font color=teal>*Yumiko(Ekario) says: Anyways Heiwa-kun explain please. - Thu Dec  3 07:12:12 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: The Gezo. - Thu Dec  3 07:15:37 2015
<br><br><font color=teal>*Heiwa(PythonJedi) thinks: Are we..positive she'd even be able to handle this? - Thu Dec  3 07:16:28 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: I presume you know about them. The ones above most others. - Thu Dec  3 07:16:28 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: They're the ones profitting from all of this conflict. - Thu Dec  3 07:17:20 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: They choose to do nothing to stop it - and further more often instigate it if it will make them money. - Thu Dec  3 07:17:20 2015
<br><br><font color=teal>*Yumiko(Ekario) says: Ryo slaves. - Thu Dec  3 07:21:36 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: So. . - Thu Dec  3 07:26:43 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: All the stuff that has happened. From Ortho antagonizing us to this Edge person messing up Kumogakure has been because of them supplying them? - Thu Dec  3 07:27:34 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: If not directly supplied - Thu Dec  3 07:30:59 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: At the least they have been allowed to do such. - Thu Dec  3 07:30:59 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: They hold a lot of power, and they intentionally keep it in such a way to keep us in this state of conflict. - Thu Dec  3 07:31:50 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: . . . I see. . .  - Thu Dec  3 07:33:32 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: ...We trust you, Nori. - Thu Dec  3 07:34:24 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: And we can't do this alone. - Thu Dec  3 07:34:24 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Are you willing to help us? - Thu Dec  3 07:34:24 2015
<br><br><font color=teal>*Yumiko(Ekario) thinks: Hmmm. - Thu Dec  3 07:35:15 2015
<br><br><font color=teal>*Yumiko(Ekario) whispers: The faces of the boogieman told Ortho and Edge what to do. They messed up Kumogakure. - Thu Dec  3 07:36:57 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: Meh, I got five minutes.*omit* - Thu Dec  3 07:37:48 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: Sure. - Thu Dec  3 07:37:48 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: It gives me something to do other than just being a medic, you know? - Thu Dec  3 07:37:48 2015
<br><br><font color=teal>*Yumiko(Ekario) says: The picture will be put on our body. Using head bands will give us away to fast. - Thu Dec  3 07:45:29 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: ..I see. - Thu Dec  3 07:47:12 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: That makes four us then. - Thu Dec  3 07:48:03 2015
<br><br><font color=teal>*Yumiko(Ekario) says: Mhm. - Thu Dec  3 07:54:52 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: Who is the other one? - Thu Dec  3 08:03:24 2015
<br><br><font color=teal>*Yumiko(Ekario) says: The girl who came to talk with Heiwa. - Thu Dec  3 08:04:16 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: Uhhh? Which? - Thu Dec  3 08:05:58 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: My cousin, Izanami. - Thu Dec  3 08:06:49 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: You remember seeing her? The girl with the white hair? - Thu Dec  3 08:07:40 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: Ahhh. - Thu Dec  3 08:08:32 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: Wait, she's your cousin? - Thu Dec  3 08:11:56 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: She is. Distantly related. - Thu Dec  3 08:11:56 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: My father's cousin is her father. - Thu Dec  3 08:11:56 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: Wow. . Well, atleast that's excludes the question as to why you both don't look alike. - Thu Dec  3 08:15:21 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Mm. We're not going to do anything yet, but we're going to prepare for it. - Thu Dec  3 08:18:46 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: To start with - we're going to get as capable as we can, Nori. - Thu Dec  3 08:18:46 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: We're going to infiltrate. - Thu Dec  3 08:19:37 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: I see. . . - Thu Dec  3 08:23:02 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: Well. . I have some money that I have been saving up. .  Along with the bit you gave me. . If that will help. - Thu Dec  3 08:23:53 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: It could. We'll need money to purchase some volumes on their history. - Thu Dec  3 08:26:27 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: And we'll need to be strong enough to each pass a private exam. - Thu Dec  3 08:26:27 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: . . . . Uhm . . . If you remove one of the dresse drawer cases out and look inside the dresser, you will see seven bags filled with ry. - Thu Dec  3 08:28:09 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: *ryo - Thu Dec  3 08:28:09 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: What is a private exam anyway? - Thu Dec  3 08:29:00 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: It's a very tough examination to join the Gezo. - Thu Dec  3 08:30:43 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: From what I hear..a single private is about as strong as a kage. - Thu Dec  3 08:30:43 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: Hrm. . I see. - Thu Dec  3 08:32:25 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: *Yawns - Thu Dec  3 08:46:56 2015
<br><br><font color=teal>*Yumiko(Ekario) says: Inny minny minie mo. Who do I cuddle with to day? - Thu Dec  3 08:52:54 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: Oh. - Thu Dec  3 18:54:30 2015
<br><br><font color=teal>*Yumiko(Ekario) says: Hi.~ - Thu Dec  3 18:54:30 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: Hiya! - Thu Dec  3 18:57:04 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: What'cha doing? - Thu Dec  3 18:59:37 2015
<br><br><font color=teal>*Yumiko(Ekario) says: Well. - Thu Dec  3 19:02:11 2015
<br><br><font color=teal>*Yumiko(Ekario) says: I've been practicing this suiton technique trying to control my chakra better. - Thu Dec  3 19:02:11 2015
<br><br><font color=teal>*Yumiko(Ekario) says: Want to see? - Thu Dec  3 19:03:53 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: I'm game. Sure. - Thu Dec  3 19:09:52 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: Wait, you're gonna hit me with it or. .? - Thu Dec  3 19:09:52 2015
<br><br><font color=yellow>*Higashi, Nori(Shawn45) arches a brow for a moment, just staring at the odd coloring pigmented liquid that spread across the ground. That seemed promising but at the same time kind of fruitless, "What if someone that was running super fast goes into it? Would they be able to get out?" She asked, folding her arms.

She clasped her hands together, seemingly moving through a direct amount of handseals.* - Thu Dec  3 19:22:40 2015
<br><br><font color=yellow>*Higashi, Nori(Shawn45) blinks a few times, staring at the liquid then at Yumiko whom was walking away from it, "I mean. . It's your jutsu. Can you really get stuck in your own technique?" At least she read that part rather well. It seemed a bit fruitless if she could also get stuck in her jutsu as well.

"So if someone can get out of it, it's by another jutsu or by some kind of other way?" She asked, continuing wth the handseal practices.* - Thu Dec  3 19:32:54 2015
<br><br><font color=teal>*Yumiko(Ekario) says: I think so. - Thu Dec  3 19:34:36 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: Hm. . . Is it. . Flammable? - Thu Dec  3 19:44:00 2015
<br><br><font color=teal>*Yumiko(Ekario) says: Nope. - Thu Dec  3 19:44:51 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: Awww. - Thu Dec  3 19:49:07 2015
<br><br><font color=yellow>*Higashi, Nori(Shawn45) stumbles a bit forward, "Ah!?" She exclaimed, but quickly stood back up, "Atleast ask first." She said, but just stood up with her in tow.* - Thu Dec  3 20:59:05 2015
<br><br><font color=teal>*Yumiko(Ekario) says: Taijutsu is good but when you fight someone long range it becomes bad thing. I know this. - Thu Dec  3 22:26:59 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: Yeah, So do I. - Thu Dec  3 22:26:59 2015
<br><br><font color=teal>*Yumiko(Ekario) says: How fast are you? - Thu Dec  3 22:29:32 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: Not very. - Thu Dec  3 22:29:32 2015
<br><br><font color=teal>*Yumiko(Ekario) says: I see. - Thu Dec  3 22:31:15 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: Why are you asking me a question like that? - Thu Dec  3 22:35:31 2015
<br><br><font color=teal>*Yumiko(Ekario) says: There was a saying. Um um how did it go? - Thu Dec  3 22:36:22 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: No idea. - Thu Dec  3 22:37:13 2015
<br><br><font color=teal>*Yumiko(Ekario) whispers: Psst Nori-chan how did the saying go? The more...uh. - Thu Dec  3 22:38:04 2015
<br><br><font color=teal>*Yumiko(Ekario) says: Oh! The more you know! - Thu Dec  3 22:38:56 2015
<br><br><font color=teal>*Meinu, Sekitsui(TheButtNekkidBandit) says: How did you get up there?! - Thu Dec  3 23:14:46 2015
<br><br><font color=teal>*Yumiko(Ekario) says: Climbed.~ - Thu Dec  3 23:15:37 2015
<br><br><font color=teal>*Meinu, Sekitsui(TheButtNekkidBandit) says: Oh. - Thu Dec  3 23:15:37 2015
<br><br><font color=teal>*Yumiko(Ekario) says: I like the view up here.~ - Thu Dec  3 23:18:11 2015
<br><br><font color=teal>*Meinu, Sekitsui(TheButtNekkidBandit) says: Yeah it's nice. - Thu Dec  3 23:19:02 2015
<br><br><font color=teal>*Yumiko(Ekario) says: I was training earlier but for now I'm resting. - Thu Dec  3 23:20:44 2015
<br><br><font color=teal>*Yumiko(Ekario) says: I might have a spar with someone soon. - Thu Dec  3 23:20:44 2015
<br><br><font color=teal>*Meinu, Sekitsui(TheButtNekkidBandit) says: Ah. - Thu Dec  3 23:20:44 2015
<br><br><font color=teal>*Meinu, Sekitsui(TheButtNekkidBandit) says: Where's Heiwa at? - Thu Dec  3 23:21:36 2015
<br><br><font color=teal>*Meinu, Sekitsui(TheButtNekkidBandit) says: We should do a mission soon. - Thu Dec  3 23:22:27 2015
<br><br><font color=teal>*Meinu, Sekitsui(TheButtNekkidBandit) says: ...I mean if you guys wanna. - Thu Dec  3 23:25:00 2015
<br><br><font color=teal>*Yumiko(Ekario) says: I do I do.~ - Thu Dec  3 23:26:43 2015
<br><br><font color=teal>*Meinu, Sekitsui(TheButtNekkidBandit) says: What sort of missions do you guys do? - Thu Dec  3 23:27:34 2015
<br><br><font color=teal>*Yumiko(Ekario) says: One that's out of the village.~ - Thu Dec  3 23:28:25 2015
<br><br><font color=teal>*Meinu, Sekitsui(TheButtNekkidBandit) says: Oooooh. - Thu Dec  3 23:29:16 2015
<br><br><font color=teal>*Meinu, Sekitsui(TheButtNekkidBandit) says: So do you only use archery? - Thu Dec  3 23:32:41 2015
<br><br><font color=teal>*Meinu, Sekitsui(TheButtNekkidBandit) says: ...H-huh - Fri Dec  4 00:28:09 2015
<br><br><font color=teal>*Meinu, Sekitsui(TheButtNekkidBandit) says: Thanks... uh.. see you around? - Fri Dec  4 00:30:43 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: I hate that guy. - Fri Dec  4 00:34:08 2015
<br><br><font color=teal>*Meinu, Sekitsui(TheButtNekkidBandit) says: .... - Fri Dec  4 00:34:08 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: He threatened to kill me a few hours ago. - Fri Dec  4 00:34:59 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: And pretty much anoy - Fri Dec  4 00:35:50 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: And pretty much anyone he thinks is weak.* - Fri Dec  4 00:36:41 2015
