<br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: She yeah... - Fri Dec  4 02:13:58 2015
Nothing he thought of doing would've worked against her, that was a given. To make matters worse? She had a great deal of balance so even if he did damage, it was like punching a brick wall and only causing a crack.

Tsubasa makes an attempt to regain his footing, using his left hand to take the place of his left leg in his efforts to stand. His right knee tucks under his body and he hops a single time, planting the sole of his right heel into the ground.

He looks up at her and remains where he was, resorting to crouch after finding that he wasn't too efficient in his legs to just hop around on one.* - Wed Dec  9 09:10:49 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) thinks: Attacking her upper body is pointless.. - Wed Dec  9 09:10:49 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) thinks: Going for her legs is my best option, but the lower set of her arms can protect that.. - Wed Dec  9 09:10:49 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) thinks: Going for the arms in general is suicide. - Wed Dec  9 09:11:40 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) thinks: I know what I must do. - Wed Dec  9 09:11:40 2015
<br><br><font color=yellow>*Ookina, Tsubasa(Itachi4x4) took a moment to wiggle his toes, making sure he had just enough feeling back to continue the spar.

He audibly sighs.

Tsubasa bursts off, using his right foot as the source of his power. The entirety of his body aimed for her midsection, he decided that going hand to hand with her may be in vain but to out wrestle her may be the only option. Of course, he knew that this was a form of cheating so he wasn't going to be a dick and attempt to suplex her or something.

Instead, with his frame charging for her midsection, he'd uses both his arms to wrap behind her thighs and pull them into him ---- scooping her legs from under her.* - Wed Dec  9 09:15:05 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) thinks: Who even does that?  - Wed Dec  9 09:19:21 2015
<br><br><font color=yellow>*Ookina, Tsubasa(Itachi4x4) was once again sent rolling.

The vibe of this training session was getting heated and quite honestly he had his enjoyments from it. With her hit dazing him once again and his left leg still throbbing from the onslaught he'd justdo a final roll to his back and just spread out there.

Tsubasa is panting a bit, but not much. A bruise forms on the side of his head, evidence that Kariudo handed his ass back to him on a silver plater. His eyes momentarily closed and he just remained quiet for a bit.* - Wed Dec  9 09:21:55 2015
<br><br><font color=yellow>*Ookina, Tsubasa(Itachi4x4) 's eyes inched back open after a few minutes. By this point his breathing slowed back down and his leg was now bareable to the point where he can actually walk on it. The specific side of his head that took the hit was aching and throbbing, but he wasn't going to bitch.

Tsubasa sits up and craddles the bruise with his palm, slowly shaking his.

"Nice," he mutters out loud.* - Wed Dec  9 09:25:20 2015
<br><br><font color=yellow>*Ookina, Tsubasa(Itachi4x4) continued to sway his head from left to right.

"I see why you're so.. you. You can handle yourself pretty good."* - Wed Dec  9 09:27:02 2015
<br><br><font color=yellow>*Ookina, Tsubasa(Itachi4x4) shrugged a bit, flopping back down on the ground and closes his eyes as well.

"I'll be fine."* - Wed Dec  9 09:28:44 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Did you learn anything? - Wed Dec  9 09:29:36 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: Yupp. - Wed Dec  9 09:29:36 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Good good. - Wed Dec  9 09:31:18 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: Yeah, thanks. - Wed Dec  9 09:32:09 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: First time I've actually trained. - Wed Dec  9 09:32:09 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Good good. - Wed Dec  9 09:33:52 2015
<br><br><font color=yellow>*Ookina, Tsubasa(Itachi4x4) remained silent a bit. He really don't think it would've made much of a difference, he'd lose in the end anyways.

"You'd just have handed my ass to me later rather than sooner."* - Wed Dec  9 09:36:25 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: I don't know. - Wed Dec  9 09:37:16 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: I've never fought someone with a sword like that. - Wed Dec  9 09:37:16 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: They're lucky that you haven't. - Wed Dec  9 09:38:59 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Hah. - Wed Dec  9 09:38:59 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: You seem different, Tsu-san. - Wed Dec  9 09:38:59 2015
<br><br><font color=yellow>*Ookina, Tsubasa(Itachi4x4) 's eyes crept back open.* - Wed Dec  9 09:39:50 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: What you mean? - Wed Dec  9 09:39:50 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: You are acting much more...humble and reserved. - Wed Dec  9 09:40:41 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: Ehh? - Wed Dec  9 09:41:32 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: You think so..? - Wed Dec  9 09:41:32 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Yeah. - Wed Dec  9 09:41:32 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: Is that a bad thing? - Wed Dec  9 09:42:24 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: No its a good thing. - Wed Dec  9 09:43:15 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: Ahh, okay then.. - Wed Dec  9 09:44:06 2015
<br><br><font color=yellow>*Ookina, Tsubasa(Itachi4x4) nodded.* - Wed Dec  9 09:44:06 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: Good, good. - Wed Dec  9 09:44:06 2015
<br><br><font color=yellow>*Ookina, Tsubasa(Itachi4x4) caught her at the corner of her eye and smirked a bit. "Thanks." He grabs from her and hoists it high into the air as if it was feather.* - Wed Dec  9 09:47:31 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: That ...is really freakin heavy. - Wed Dec  9 09:48:22 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: Hmm? Yeah. - Wed Dec  9 09:49:13 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: Took me a while to get used to it. - Wed Dec  9 09:49:13 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Yeah I couldn't even carry that on my back I don't think. - Wed Dec  9 09:50:56 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: Are you looking to learn how? - Wed Dec  9 09:52:38 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Nah, probabaly not, I'd probably cut an arm off. - Wed Dec  9 09:52:38 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: I'm guessing you're talking about one of your own. - Wed Dec  9 09:53:29 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Yeah. - Wed Dec  9 09:53:29 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Oi, are you hungry? - Wed Dec  9 09:56:54 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: Uhhh, yeah. - Wed Dec  9 09:56:54 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: I'd go for a bite. - Wed Dec  9 09:56:54 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: You like spicy food? - Wed Dec  9 09:57:45 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: Is there any other way to have food? - Wed Dec  9 09:57:45 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Heeeeeeeeeeeeeeeeeell yeah. - Wed Dec  9 09:58:36 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Did I just find a new food buddy?! - Wed Dec  9 09:58:36 2015
<br><br><font color=yellow>*Ookina, Tsubasa(Itachi4x4) looked at the hand, his eyebrows rose. He takes hold of it and cracked a grin at her excitement. Once pulled up, he'd strap the blade to his back and nodded.

"Possibly, haha."* - Wed Dec  9 09:59:28 2015
<br><br><font color=yellow>*Ookina, Tsubasa(Itachi4x4) doesn't know where tf to take us for a cafe so fuck it.* - Wed Dec  9 10:06:17 2015
<br><br><font color=yellow>*Ookina, Tsubasa(Itachi4x4) folds his arms across his chest as she talked, the grin he was fighting back only grew wider. "Listen here, missy! I thrive for curry! It is all I eat and it is all I'll ever eat to live!" His own eyes narrowed, mocking her intense glare.* - Wed Dec  9 10:19:05 2015
<br><br><font color=yellow>*Ookina, Tsubasa(Itachi4x4) went to a full on smirk!

This was war --- he shall not lose!

He leans forward over the table a bit and squinted a bit more.

"You don't know what you're getting yourself into!"* - Wed Dec  9 10:23:21 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: And you don't know that I'm the QUEEN of spiciness! - Wed Dec  9 10:23:21 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) thinks: ..That sounded wrong. - Wed Dec  9 10:23:21 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: ...... - Wed Dec  9 10:24:12 2015
<br><br><font color=yellow>*Ookina, Tsubasa(Itachi4x4) would usually throw in a mizumi and drool comment, but he just played it off.* - Wed Dec  9 10:25:04 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: If you're the queen.. - Wed Dec  9 10:25:04 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: Then.. - Wed Dec  9 10:25:04 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: I'M THE GOD! - Wed Dec  9 10:25:04 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: PFFFFFFFFFFFFFFFFFFFFFFFFFTTTTTTTTTTTTTTT! - Wed Dec  9 10:25:04 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) thinks: New best friend, check. - Wed Dec  9 10:25:55 2015
<br><br><font color=yellow>*Ookina, Tsubasa(Itachi4x4) 's brows furrowed in and he looked up for the waiter.

"CHOP CHOP! SHE HAS A CHALLENGE TO LOSE!"* - Wed Dec  9 10:26:46 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: WOAHHHHHHHHHHHHHHHHH. - Wed Dec  9 10:26:46 2015
<br><br><font color=yellow>*Ookina, Tsubasa(Itachi4x4) blinks in thought, leaning back a back.

"Errr..."

He suddenly gets cocky and boasts his chest up a bit and grins from ear to ear!

"ANYTHING YOU WANT!"* - Wed Dec  9 10:29:20 2015
<br><br><font color=yellow>*Ookina, Tsubasa(Itachi4x4) shook his head..

"And what if you lose-.. WHEN YOU LOSE!?"* - Wed Dec  9 10:30:11 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ......mn...  - Wed Dec  9 10:30:11 2015
<br><br><font color=yellow>*Ookina, Tsubasa(Itachi4x4) nodded his head. "Deal!"

He looks down at his bowl of green curry and licked his lips in excitement! This battle is going to be legendary, now ay around it!* - Wed Dec  9 10:33:36 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) thinks: No way he can win. - Wed Dec  9 10:34:27 2015
<br><br><font color=yellow>*Ookina, Tsubasa(Itachi4x4) can't lie, he never had green curry. He does love spicey food, but the stories about green curry made him stay away. Still, he couldn't allow Kariudo to make him out to be some bitch that won't even go in battle with her!

He takes in a deep breath and exhales it, diving in to the bowl!

From the get go he knew he was way out of his league, but god damn it his pride wouldn't allow him to fold. Almost instantly he starts to sweat. It wasn't heavy, but mild and noticeable!* - Wed Dec  9 10:39:34 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) thinks: ....Haaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa. - Wed Dec  9 10:40:25 2015
<br><br><font color=yellow>*Ookina, Tsubasa(Itachi4x4) went to look up at Kariudo but his eyes immediately found one of his glasses of water. The temptation was real but he couldn't just give up --- he REFUSED to give up! Instead he gave Kariudo a wide grin and dove back in. By the way he was acting you'd think he was making a dent in his bowl, the fucker was only at the half way point to finishing!* - Wed Dec  9 10:43:50 2015
<br><br><font color=yellow>*Ookina, Tsubasa(Itachi4x4) actually took a good look at his bowl, realizing that he had a lot to go left. He gulps, painfully, and sighed. The sweat was now dripping relentlessly down his face and he felt like he was dying.

He went to take another bite, but couldn't. The second the food touched his tongue he dropped the utensil he used, allowing it to clink against the bowl. He rushes for the two glasses of water and tried his best to moderately drink down one --- this was torture.

"O-Okay! You got this one!"* - Wed Dec  9 10:49:48 2015
<br><br><font color=yellow>*Ookina, Tsubasa(Itachi4x4) finished his first glass with a grumble then went on to the second glass.

"Wh-whatever!" he exclaims. He wasn't mad that he lost, he was just determined to handle the burning until the waiter got here!* - Wed Dec  9 10:53:13 2015
<br><br><font color=yellow>*Ookina, Tsubasa(Itachi4x4) took the milk, fuck that shit.

He drank.

Then drank some more.

Then ordered some more milk.

Then drank even more. All up until the burning sensation was tolerable.* - Wed Dec  9 10:59:12 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: Alright.. - Wed Dec  9 11:00:03 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: I want to say you cheated.. - Wed Dec  9 11:00:03 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: But you won that fair and square.. - Wed Dec  9 11:00:03 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Indeed I did. - Wed Dec  9 11:00:54 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: Hmph.. - Wed Dec  9 11:02:36 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: I'll save that favor. - Wed Dec  9 11:03:28 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: ..Hmphhhh! - Wed Dec  9 11:04:19 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Hehe. - Wed Dec  9 11:06:01 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Do you ever travel? - Wed Dec  9 11:06:01 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: Nah. - Wed Dec  9 11:06:52 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: I'd get myself killed. - Wed Dec  9 11:06:52 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Really? - Wed Dec  9 11:06:52 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: Mhm. - Wed Dec  9 11:12:00 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: I don't know how you tolerate the real me. - Wed Dec  9 11:12:00 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: That's sad. - Wed Dec  9 11:12:00 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: I'm acting.. like this so you won't hate me-. - Wed Dec  9 11:12:51 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: Eh, not really. - Wed Dec  9 11:12:51 2015
<br><br><font color=yellow>*Ookina, Tsubasa(Itachi4x4) shrugs.* - Wed Dec  9 11:12:51 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ....hate you? - Wed Dec  9 11:13:42 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: Yeah. - Wed Dec  9 11:14:33 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: It usually happens. - Wed Dec  9 11:15:24 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: ..All the time actually. - Wed Dec  9 11:15:24 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Eh... I don't hate you. - Wed Dec  9 11:15:24 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: Ever since I graduated the academy, haha. Was always labeled as 'insane' and 'only getting by because I'm comedic'-.. Eventually you would have. - Wed Dec  9 11:16:16 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: As long as I stay like -this-.. Everything will be fine. - Wed Dec  9 11:16:16 2015
<br><br><font color=yellow>*Ookina, Tsubasa(Itachi4x4) nodded.* - Wed Dec  9 11:16:16 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ...You know you don't have to pretend. - Wed Dec  9 11:17:07 2015
<br><br><font color=yellow>*Ookina, Tsubasa(Itachi4x4) nodded his head, "right."* - Wed Dec  9 11:17:58 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: I'm serious. - Wed Dec  9 11:17:58 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: Paranoia is a killer, Kuro-chan. - Wed Dec  9 11:17:58 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: Still.. - Wed Dec  9 11:27:21 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: Today was fun without having you feel uncomfortable. - Wed Dec  9 11:27:21 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: I mean yeah...but I had fun with you before too. - Wed Dec  9 11:29:04 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: ..Seriously..? - Wed Dec  9 11:29:04 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: I mean sure we got along a lot better today but I like you how you normally are too.. you just upset me or make me feel weird sometimes but then you get hit and I feel better. - Wed Dec  9 11:29:55 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: Which.. do you prefer better? - Wed Dec  9 11:33:20 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Being -real-. - Wed Dec  9 11:33:20 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Sure this is nice, but is it -you-? - Wed Dec  9 11:33:20 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: ..I mean.. - Wed Dec  9 11:33:20 2015
<br><br><font color=yellow>*Ookina, Tsubasa(Itachi4x4) sighed..* - Wed Dec  9 11:33:20 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: Yes and no.. - Wed Dec  9 11:33:20 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: -This-.. is more controlled.. - Wed Dec  9 11:34:11 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: But it -is- me.. - Wed Dec  9 11:34:11 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: I can be like this naturally.. but not for long. - Wed Dec  9 11:34:11 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: The other.. me.. that's the most common. - Wed Dec  9 11:34:11 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Becuase this isn't natural...that's why you can't hold it. - Wed Dec  9 11:35:02 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: I guess.. - Wed Dec  9 11:35:53 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: I don't know.. - Wed Dec  9 11:35:53 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) thinks: Hopefully Ai escapes with Rias... Now... Time to deal with the past. - Sat Dec 12 06:55:56 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) thinks: Konoha is fuck'd... - Sat Dec 12 07:16:25 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) thinks: H-..heh..seeing two of them..in one place..~ - Sat Dec 12 07:17:16 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) thinks: I-.I might not be able to control myself.. - Sat Dec 12 07:17:16 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) thinks: I should be doing..something.. - Sat Dec 12 07:19:50 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) thinks: J-..just imagine those bodies digging into me.. - Sat Dec 12 07:20:41 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: 84 damage nigga, 84 damage! - Sat Dec 12 07:31:47 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: -Omit- - Sat Dec 12 07:31:47 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: .... - Sat Dec 12 07:48:00 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) thinks: He's gonna get himself killed... - Sat Dec 12 08:05:04 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) thinks: ...stupid human, I like your company... ugh. - Sat Dec 12 08:05:04 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) thinks: I don't want to get involved, why can't I ever just watch? - Sat Dec 12 08:05:55 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: ... - Sat Dec 12 08:37:29 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: .... - Sat Dec 12 08:39:12 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: There's something very wrong with you. - Sat Dec 12 08:39:12 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: That's not an excuse. - Sat Dec 12 08:42:36 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) thinks: They won't stop fighting.. - Sat Dec 12 08:43:28 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Well..why are you enjoying it around me? - Sat Dec 12 08:43:28 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: ... - Sat Dec 12 08:44:19 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I'm trying to figure out how to stop two rampaging beasts from destroying eachother and the village. - Sat Dec 12 08:45:10 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I don't have time for your crazy antics. - Sat Dec 12 08:46:01 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I do care about the village. - Sat Dec 12 08:46:01 2015
<br><br><font color=yellow>*ANBU Agent(Itachi4x4) looks at her body, "that ass."* - Sat Dec 12 10:20:44 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) says: *sigh* - Sat Dec 12 10:29:16 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) says: I have no control over that. - Sat Dec 12 10:30:08 2015
<br><br><font color=teal>*Petrova, Kana(Zoey-Lover) says: If you're going to attack a village, you should be prepared for the concequences. - Sat Dec 12 10:30:59 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) says: Plus... Konoha nore Sunagakure are attacking Kumogakure any longer.. - Sat Dec 12 10:30:59 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) says: You just need to watch your mouth. - Sat Dec 12 10:31:50 2015
<br><br><font color=teal>*Petrova, Kana(Zoey-Lover) says: What are you going to do, kill me? - Sat Dec 12 10:31:50 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) says: I cared for you in life, it'll never change in death. I don't plan to kill you. - Sat Dec 12 10:31:50 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) thinks: Even if I have to suffer alone... - Sat Dec 12 10:32:41 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) thinks: So be it.. - Sat Dec 12 10:33:32 2015
<br><br><font color=teal>*Petrova, Kana(Zoey-Lover) says: No comment. - Sat Dec 12 10:34:24 2015
<br><br><font color=teal>*Petrova, Kana(Zoey-Lover) says: Release me, Tetsumi. - Sat Dec 12 10:35:15 2015
<br><br><font color=teal>*Petrova, Kana(Zoey-Lover) says: I have things to do. - Sat Dec 12 10:35:15 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) says: Hmm? I haven't heard that name in ages. - Sat Dec 12 10:35:15 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) says: And why should I release you, Kana? - Sat Dec 12 10:35:15 2015
<br><br><font color=teal>*Petrova, Kana(Zoey-Lover) says: Because I have things to do. - Sat Dec 12 10:35:15 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) says: Someone has to pay for the village. - Sat Dec 12 10:36:06 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) says: And it won't be me. - Sat Dec 12 10:36:06 2015
<br><br><font color=teal>*Petrova, Kana(Zoey-Lover) says: Someone had to pay for Kumogakure, and it wasn't Konohagakure neither Sunagakure. - Sat Dec 12 10:36:06 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) says: Good come back. - Sat Dec 12 10:36:06 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) says: Okay... If I do release you. What are you going to do? - Sat Dec 12 10:36:57 2015
<br><br><font color=teal>*Petrova, Kana(Zoey-Lover) says: Back to hiding. - Sat Dec 12 10:37:48 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) says: Hiding?  - Sat Dec 12 10:37:48 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) says: Why? - Sat Dec 12 10:37:48 2015
<br><br><font color=teal>*Petrova, Kana(Zoey-Lover) says: Because I am? - Sat Dec 12 10:37:48 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) says: What happened while I was gone?... - Sat Dec 12 10:37:48 2015
<br><br><font color=teal>*Petrova, Kana(Zoey-Lover) says: A lot of things. - Sat Dec 12 10:37:48 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) thinks: She's changed.. - Sat Dec 12 10:37:48 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) says: I see... - Sat Dec 12 10:38:40 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) says: *sigh* - Sat Dec 12 10:39:31 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) says: I really hate this... - Sat Dec 12 10:39:31 2015
<br><br><font color=teal>*Petrova, Kana(Zoey-Lover) says: What? - Sat Dec 12 10:40:22 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) thinks: I can't even... - Sat Dec 12 10:40:22 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) says: I'll let you live.. just promise.. please promise me this. You won't attack anymore villages. - Sat Dec 12 10:40:22 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) says: You're better than this... - Sat Dec 12 10:41:13 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) says: If it was someone else who'd found you, youd be dead. - Sat Dec 12 10:41:13 2015
<br><br><font color=teal>*Petrova, Kana(Zoey-Lover) says: I promise. - Sat Dec 12 10:42:04 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) says: You sure? - Sat Dec 12 10:42:04 2015
<br><br><font color=teal>*Petrova, Kana(Zoey-Lover) says: Look at my face, of course I am. - Sat Dec 12 10:42:04 2015
<br><br><font color=teal>*Petrova, Kana(Zoey-Lover) says: Tetsumi. - Sat Dec 12 10:43:47 2015
<br><br><font color=teal>*Petrova, Kana(Zoey-Lover) says: If you love me, you'd let me go. - Sat Dec 12 10:43:47 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) says: Yeah... - Sat Dec 12 10:44:38 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) says: That type of stuff doesn't work on me anymore. - Sat Dec 12 10:44:38 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) says: My heart is cold. - Sat Dec 12 10:44:38 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) says: Something... I guess you wanted while I was alive, right? - Sat Dec 12 10:44:38 2015
<br><br><font color=teal>*Petrova, Kana(Zoey-Lover) says: . . . - Sat Dec 12 10:45:29 2015
<br><br><font color=teal>*Petrova, Kana(Zoey-Lover) says: If that's true, I should be dead. - Sat Dec 12 10:45:29 2015
<br><br><font color=teal>*Petrova, Kana(Zoey-Lover) says: You said it yourself, you care. - Sat Dec 12 10:45:29 2015
