<br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: -omit- - Tue Dec  1 02:28:54 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: Huh..what is it? - Tue Dec  1 06:48:19 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: I-I'm scared.. - Tue Dec  1 06:48:19 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: Scared? Of what.. being married? - Tue Dec  1 06:49:10 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: N-No.. - Tue Dec  1 06:49:10 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: The e-exams.. - Tue Dec  1 06:49:10 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: I'm sure you did fine. - Tue Dec  1 06:50:01 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: And, you do fine on the next one too. - Tue Dec  1 06:50:01 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: I-I lost.. - Tue Dec  1 06:50:52 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: I-I got s-six poitns.. - Tue Dec  1 06:50:52 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: How much points did you get on the first one/ - Tue Dec  1 06:51:44 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: I-I think eight.. - Tue Dec  1 06:51:44 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: Then, you only need to get six more points to pass the next one! - Tue Dec  1 06:52:35 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: B-But if I f-fight ai.. - Tue Dec  1 06:52:35 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: O-Or izanami.. - Tue Dec  1 06:52:35 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: O-Or kinami.. - Tue Dec  1 06:52:35 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: Don't start doubting yourself now. You're so close. - Tue Dec  1 06:52:35 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: O-Or paine.. - Tue Dec  1 06:53:26 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: Just show them what you have to show, and when you leave whether a victor or a loser you can be proud of yourself. - Tue Dec  1 06:53:26 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: A-Alright.. - Tue Dec  1 06:55:08 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: You'll do fine, and hopefully pass with flying colors. - Tue Dec  1 06:56:00 2015
<br><br><font color=teal>*Hiroshi(Marchie15) says: Really? That's awesome cause you can teach me stuff right~? - Tue Dec  1 06:56:00 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Hmm somepeole dont like my traning regime. - Tue Dec  1 07:00:16 2015
<br><br><font color=teal>*Hiroshi(Marchie15) says: ..... Why? - Tue Dec  1 07:02:49 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: What did u even say - Tue Dec  1 07:02:49 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: -omit- - Tue Dec  1 07:02:49 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Hm> - Tue Dec  1 07:04:32 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Hmm. - Tue Dec  1 07:06:14 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Because. - Tue Dec  1 07:06:14 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: The School of Lightnig is tough. - Tue Dec  1 07:06:14 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Once must be cool. - Tue Dec  1 07:06:14 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: One must be Awesome. - Tue Dec  1 07:07:05 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: One must be.....Lightning. - Tue Dec  1 07:07:05 2015
<br><br><font color=teal>*Hiroshi(Marchie15) says: .... oh.. kay? - Tue Dec  1 07:07:05 2015
<br><br><font color=teal>*Hiroshi(Marchie15) thinks: I don't... I'm finding someone else. - Tue Dec  1 07:07:56 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Also . - Tue Dec  1 07:08:48 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: You will have to prrome every move . - Tue Dec  1 07:10:30 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Preform - Tue Dec  1 07:10:30 2015
<br><br><font color=teal>*Hiroshi(Marchie15) says: Mean.... that's all well and fine I guess. It doesn't sound that hard... - Tue Dec  1 07:13:04 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: The moxes to mastred like levels. - Tue Dec  1 07:13:04 2015
<br><br><font color=teal>*Hiroshi(Marchie15) says: .... Right... so are you the only raiton user here or are there more people I can learn from too? - Tue Dec  1 07:14:46 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Who wasnts to pop it for pimp -omit- - Tue Dec  1 07:15:37 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Ummm. - Tue Dec  1 07:15:37 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Iza knoqs a few technqiues. - Tue Dec  1 07:15:37 2015
<br><br><font color=teal>*Hiroshi(Marchie15) says: Who? - Tue Dec  1 07:16:28 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: My cousin. - Tue Dec  1 07:16:28 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: I taught her - Tue Dec  1 07:16:28 2015
<br><br><font color=teal>*Hiroshi(Marchie15) says: Cool? - Tue Dec  1 07:16:28 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Hmm. - Tue Dec  1 07:17:20 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: You and Abra will be a handfull. - Tue Dec  1 07:17:20 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Aint that a fuckin pokemon/ - Tue Dec  1 07:17:20 2015
<br><br><font color=teal>*Hiroshi(Marchie15) says: .... Abra? - Tue Dec  1 07:17:20 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: -omit- - Tue Dec  1 07:17:20 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Yup - Tue Dec  1 07:18:11 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: He enrolled in my school of earth. - Tue Dec  1 07:18:11 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: So Gr what can you do? - Tue Dec  1 07:18:11 2015
<br><br><font color=teal>*Hiroshi(Marchie15) thinks: I can't tell if he's just feeling himself that much... or if he's actually super stong. - Tue Dec  1 07:19:02 2015
<br><br><font color=teal>*Hiroshi(Marchie15) says: Just some raiton stuff. - Tue Dec  1 07:19:02 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Show me. - Tue Dec  1 07:19:02 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Iza you wanna go fam? - Tue Dec  1 07:19:53 2015
<br><br><font color=teal>*Hiroshi(Marchie15) says: Is that permission to zap you?! - Tue Dec  1 07:19:53 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: -omit- - Tue Dec  1 07:19:53 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Nope. - Tue Dec  1 07:19:53 2015
<br><br><font color=teal>*Hiroshi(Marchie15) says: Awh~ - Tue Dec  1 07:19:53 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Fire off into the distance. - Tue Dec  1 07:19:53 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Hm. - Tue Dec  1 07:30:59 2015
<br><br><font color=teal>*Hiroshi(Marchie15) says: Whoa~! Yeah teach me that! - Tue Dec  1 07:32:41 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: -omit- - Tue Dec  1 07:33:32 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: ... - Tue Dec  1 07:34:24 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Do you know any other lghtning techniques that don't require handseals? - Tue Dec  1 07:34:24 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: I need to broaden my limited arsenal in preperation for the finals.. - Tue Dec  1 07:35:15 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Ughhh oh yeah Iza. - Tue Dec  1 07:40:22 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Do you knwo lighting ball? - Tue Dec  1 07:41:13 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Yo! - Tue Dec  1 07:41:13 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Mhm. - Tue Dec  1 07:41:13 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Do you know the justu I just used? - Tue Dec  1 07:41:13 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Mhm. - Tue Dec  1 07:42:04 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Hmm. - Tue Dec  1 07:42:04 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Well Iza. - Tue Dec  1 07:42:04 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: I guess its time for me and you to make a New move. - Tue Dec  1 07:42:04 2015
<br><br><font color=teal>*Hiroshi(Marchie15) thinks: Awh~... Eveyone knows all the cool jutsu! I wanna learn something~ - Tue Dec  1 07:42:56 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Pistol Art Lightning Shot Gun. - Tue Dec  1 07:42:56 2015
<br><br><font color=teal>*Hiroshi(Marchie15) says: Is that reall it? Just two other raiton jutsus around? - Tue Dec  1 07:42:56 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: And GR get beeter at the justu you know and I'll show you how. - Tue Dec  1 07:42:56 2015
<br><br><font color=teal>*Hiroshi(Marchie15) says: Awh~ - Tue Dec  1 07:42:56 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Hey you have to be good at the basics Lightgin is dangerous one wrong move and you can rosast your self. - Tue Dec  1 07:43:47 2015
<br><br><font color=teal>*Hiroshi(Marchie15) says: *sighs* Fine~ - Tue Dec  1 07:44:38 2015
<br><br><font color=teal>*Hiroshi(Marchie15) says: I guess I'll have to do a lot of jutsu practice. - Tue Dec  1 07:44:38 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Create a new technique you say? - Tue Dec  1 07:45:29 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: I don't think im skilled enough with lightning to do that.~ - Tue Dec  1 07:45:29 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Hmm You can help me. - Tue Dec  1 07:47:12 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: I - Tue Dec  1 07:48:03 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: I'll try.* - Tue Dec  1 07:48:03 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: All right. - Tue Dec  1 07:48:03 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: The center of the technque will be lightning ball. - Tue Dec  1 07:48:54 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Do you intend for this one to be more widespread? - Tue Dec  1 07:49:45 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Sorta. - Tue Dec  1 07:49:45 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) says: *her buddy - Tue Dec  1 07:49:45 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: With the lightning ball acting as the center peice the Lightning bulltes will rotate around it. - Tue Dec  1 07:50:36 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: The array of the spining lighting bullets can can of course be adjusted. - Tue Dec  1 07:51:28 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: And when it it hits bang boom pew pew Splash  ahhhhhhhhhhhh. - Tue Dec  1 07:52:19 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: What you think? - Tue Dec  1 07:52:19 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) says: It might be the only choice honestly with the amount of damage it looks like has beeen done. - Tue Dec  1 08:57:10 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Hm... - Tue Dec  1 08:57:10 2015
<br><br><font color=yellow>*Chikyu Kasanari(Crimson Cresent) holds out a marshmellow in front of her, and super heats with the beams from her eyes. Then, she just eats her delicious instanta cooked mashmellow.* - Tue Dec  1 08:58:01 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: S'up, Chikyu. - Tue Dec  1 08:58:01 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: Hey. - Tue Dec  1 08:58:01 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Question.. - Tue Dec  1 08:58:52 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: What's the most durable form of metal I can have? - Tue Dec  1 08:58:52 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) says: You'd have to ask Marco that. - Tue Dec  1 08:58:52 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Hm... - Tue Dec  1 08:59:44 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Diamonds. - Tue Dec  1 08:59:44 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: . . . - Tue Dec  1 09:00:35 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Diamon is carbon...not metla. - Tue Dec  1 09:00:35 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: When you think Diamond is a metal. - Tue Dec  1 09:00:35 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) says: .... - Tue Dec  1 09:01:26 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Eh......I swear you guys forget im just 12. - Tue Dec  1 09:01:26 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Hah. - Tue Dec  1 09:01:26 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: And now you know. - Tue Dec  1 09:01:26 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Yes I do. - Tue Dec  1 09:01:26 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: --SPecial Jounin, - Tue Dec  1 09:02:17 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) thinks: Who doesn't know what diamonds are. - Tue Dec  1 09:02:17 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: If school taught better. - Tue Dec  1 09:02:17 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) thinks: Hmph. - Tue Dec  1 09:02:17 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Diamonds....they arent metal Trilliam oh boy.~ I don't know much about them, but I know they are created similar to most forms of rock...high pressure high heat.  - Tue Dec  1 09:03:08 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Hmmm. - Tue Dec  1 09:03:08 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Wait I have an ideal. - Tue Dec  1 09:03:08 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Hm? - Tue Dec  1 09:03:08 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: okay work with me. - Tue Dec  1 09:03:08 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Yeah? - Tue Dec  1 09:03:08 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: I use earth. - Tue Dec  1 09:03:08 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: I dig around in the ground alot. - Tue Dec  1 09:03:08 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Like what if I started mining Diamonds and gold and stuff. - Tue Dec  1 09:04:00 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Uh.... - Tue Dec  1 09:04:00 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Hrm. . Is there any material harder than Diamond, though? - Tue Dec  1 09:04:00 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: I think you'd need alot more than one person to discover diamonds.. - Tue Dec  1 09:04:00 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: A material harder than diamond? - Tue Dec  1 09:04:00 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Sanoke lets open a mine. - Tue Dec  1 09:04:00 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Iza remebr that mine the imortal lady was in. - Tue Dec  1 09:04:00 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: That's what I said. <@Izanami> - Tue Dec  1 09:04:00 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Don't think so.. - Tue Dec  1 09:04:51 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Oh yes, I remmber her.. - Tue Dec  1 09:04:51 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: She was digging for something around here... - Tue Dec  1 09:04:51 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: There is probaly all kinds of good stuff in there. - Tue Dec  1 09:04:51 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Like it was important.. - Tue Dec  1 09:04:51 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Like we should like go explore it. - Tue Dec  1 09:04:51 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: One of your dad solids might make us rich. - Tue Dec  1 09:04:51 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: There could be traps or other stuff lingering around. - Tue Dec  1 09:05:42 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: We should go with Koji and his eyes. - Tue Dec  1 09:05:42 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: With koji and the others. - Tue Dec  1 09:05:42 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Took the words right out of my mouth. - Tue Dec  1 09:05:42 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: The mines aren't a bad idea. - Tue Dec  1 09:07:24 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: We could find some pretty good stuff... - Tue Dec  1 09:07:24 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: GOd knows what is buried under all this sand.... - Tue Dec  1 09:07:24 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Actually.... - Tue Dec  1 09:07:24 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Why has no one ever thought of this. - Tue Dec  1 09:08:16 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Like Im a genuis or something. - Tue Dec  1 09:08:16 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: No one probably cared. - Tue Dec  1 09:08:16 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: ... - Tue Dec  1 09:08:16 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Maybe Sanoke can get some people mining. - Tue Dec  1 09:09:07 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Hey lera. - Tue Dec  1 09:09:58 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Question. - Tue Dec  1 09:09:58 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Hm? - Tue Dec  1 09:09:58 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Whats our famaily pet? - Tue Dec  1 09:09:58 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Deez nuts - Tue Dec  1 09:10:49 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Family pet...? - Tue Dec  1 09:10:49 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: -omit- - Tue Dec  1 09:10:49 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Hm... - Tue Dec  1 09:10:49 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: ...A wolf. - Tue Dec  1 09:10:49 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) says: .... - Tue Dec  1 09:10:49 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Cool. - Tue Dec  1 09:10:49 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) thinks: Family pet? - Tue Dec  1 09:10:49 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Wolves do repersent us well. - Tue Dec  1 09:10:49 2015
<br><br><font color=yellow>*Chikyu Kasanari(Crimson Cresent) hands Sanoke a big piece of paper, that shows the Sunagakure square with several different clothed tables organized around  with a notably square one that reads Kazekage + Mirai. Around the tables to close the area off are some fences, and another sealed off space labled dance floor along with a Suna Muscians marked space. The rest are a bunch lines around all of the square that are labled Lights.

Another paper lists a dinner course for the event, starting off with simple salad, Consommé, Lamb or a Risotto, and ending with pudding. Theres then several crossed out lines of math, before a new handwriting style appears for the cost of such an event and prices for the table to make it  possible. 

The last page lists the nesscary maids, and surprisingly the cost of the maid uniforms when ordered in that amount.

"All done on that set up. I didn't know how big you really wanted the event, so if we need to scale it down. Just tell me right now, and I'll go back to working on it."* - Tue Dec  1 09:10:49 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Strong on thier own even stronger together. - Tue Dec  1 09:10:49 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Exactly. - Tue Dec  1 09:11:40 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) thinks: I only chose that because I can summon them... - Tue Dec  1 09:11:40 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) thinks: Hmph. - Tue Dec  1 09:13:23 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) thinks: I've been working too much in the hospital. - Tue Dec  1 09:13:23 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Hmm. - Tue Dec  1 09:13:23 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: You don't want to know how long I talked with Momura's chef to figure out fancy foreign food cheaply using stuff that can be found in Suna. - Tue Dec  1 09:14:14 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: No fish, oysters, or any of that stuff to be used without sending out a lot of money. - Tue Dec  1 09:14:14 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Ohh.\ - Tue Dec  1 09:14:14 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Hey. - Tue Dec  1 09:14:14 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Chi do me a solid. - Tue Dec  1 09:15:05 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) thinks: Hmph. - Tue Dec  1 09:15:05 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Sell my wine in the place...Please. - Tue Dec  1 09:15:05 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) thinks: Why am I jealous? I did want to help but... eh... this is a bit much. - Tue Dec  1 09:15:05 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: -omit- - Tue Dec  1 09:15:05 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Its called Apple Al le Comude. - Tue Dec  1 09:15:05 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: .. - Tue Dec  1 09:15:05 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: How do you have wine, you're twelve. - Tue Dec  1 09:15:56 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Pfft. He's Special Jounin. - Tue Dec  1 09:15:56 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Eh I make it. - Tue Dec  1 09:15:56 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: He's old enough to go and die for the village, he can get hammered. - Tue Dec  1 09:15:56 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Im an enturpenure Iza. - Tue Dec  1 09:15:56 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) says: ... - Tue Dec  1 09:15:56 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: I sell Art Wine and.... - Tue Dec  1 09:15:56 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) says: Good luck on having your special jounin in a year from now. - Tue Dec  1 09:15:56 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: He'll be fine.  - Tue Dec  1 09:16:48 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) says: With him drinking he'll have more dead brain cells and need a liver donation. - Tue Dec  1 09:16:48 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: I dont drink. - Tue Dec  1 09:16:48 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) says: Kids aren't suppose to drink for a reason. - Tue Dec  1 09:16:48 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: And My gramps was a chain somking acholloci and he is over 400 yrs old. - Tue Dec  1 09:16:48 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Still alive and kicking. - Tue Dec  1 09:17:39 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) says: ... - Tue Dec  1 09:17:39 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) says: Yeah. - Tue Dec  1 09:17:39 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) says: Guess you are right, the doctor knows nothing. - Tue Dec  1 09:17:39 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) says: I'll just keep my old traditional opinions to myself. - Tue Dec  1 09:17:39 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Eh...Hassans or Imortal. - Tue Dec  1 09:17:39 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: I dont drink. - Tue Dec  1 09:18:30 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: M'kay? - Tue Dec  1 09:18:30 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Oh. - Tue Dec  1 09:18:30 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: I just make it. - Tue Dec  1 09:18:30 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Don't make it either! - Tue Dec  1 09:18:30 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: When i was in jail no one had a problem with this. - Tue Dec  1 09:19:21 2015
<br><br><font color=yellow>*Chikyu Kasanari(Crimson Cresent) "I also brought a sample of the maid outfits!" 

