<br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) says: Hm? - Sun Nov  8 02:06:17 2015
She then turned to Hokuma, as she then pulled back her arm...... She then threw it out as a open handshake. Her eyes lightning up, as she looked at Mizora. "That was amazing! You're so strong." Her mind competely forgetting about Shira entirely. * - Sun Nov  8 19:42:43 2015
<br><br><font color=teal>*Lera(Bailey42) says: Koji. I need to speak to you, if you would? - Sun Nov  8 19:47:50 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: No problem. In private? - Sun Nov  8 19:47:50 2015
<br><br><font color=teal>*Lera(Bailey42) says: Mhm. - Sun Nov  8 19:48:41 2015
<br><br><font color=teal>*Kuro(Ichigo10101) whispers: [I'm not joining though - Sun Nov  8 19:52:57 2015
<br><br><font color=yellow>*Chikyu Kasanari(Crimson Cresent) shook the hands roughly, though it was clearly not filled with any malice and Mizora could easily handle it. "Way more then strong. Haha! I don't know anyone as physically tough as you here. Sorry, I missed you name in..." pauses for a moment wonder what she was doing.  Not noticing the unconscious laid out Shira that was slid several feet away. Probably dreaming that he somehow could've pulled out and block with that giant steel on his back. "Well anyways, I'm sorry I missed it. Mind telling it to me agian."* - Sun Nov  8 19:58:56 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: Force needed for-... *she paused her mind sparking with memory* Oh the guy who attacked me. - Sun Nov  8 20:04:03 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: I put my hand on Chickenru's shoulder and she tries to cut me in half, and another one tries to kick me. - Sun Nov  8 20:04:54 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: It's a game. - Sun Nov  8 20:05:45 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: It doesn't sound like a game. - Sun Nov  8 20:05:45 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: I'unno. - Sun Nov  8 20:05:45 2015
<br><br><font color=yellow>*Chikyu Kasanari(Crimson Cresent) "Who said anything about a game? Are you okay?"* - Sun Nov  8 20:06:36 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: Oh, I must be hearing things.. - Sun Nov  8 20:06:36 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: Its okay!  - Sun Nov  8 20:06:36 2015
<br><br><font color=teal>*Dissida, Paine(TheSecretary) says: mm.. - Sun Nov  8 20:07:28 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: But you shouldn't have used force aganst that man. I'm sure the situation could of been avoided through words. - Sun Nov  8 20:08:19 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: Well he had grabbed me, if I don't react I'll surelly be killed with knowing it. Just like my dad said. - Sun Nov  8 20:09:10 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: So your response to people grabbing you is to attack them? - Sun Nov  8 20:10:01 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: What's going on? - Sun Nov  8 20:10:01 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: If I don't know them of course, and they come up without saying hello! - Sun Nov  8 20:10:52 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: A conflict arose and we have an unconscious fellow on the ground. - Sun Nov  8 20:10:52 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Someone be a little more specific... - Sun Nov  8 20:10:52 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: You'd have to ask one of these two females. - Sun Nov  8 20:11:44 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: I didn't put enough strength behind the attack. It was only strong enough to knock him out. - Sun Nov  8 20:11:44 2015
<br><br><font color=teal>*Kurt(Zygman) says: Do you both hate him? - Sun Nov  8 20:11:44 2015
<br><br><font color=yellow>*Chikyu Kasanari(Crimson Cresent) points to the knocked out body. "He came up and grab me out of nowhere. I then tried to knock him out and it didn't work. He kept getting it up, so I decided he was tough like you guys. So, I had to go all out on him! Then, she did this amazing punch to my sword and kick to his head."* - Sun Nov  8 20:12:35 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: I don't -like- him.. but I don't like him either... - Sun Nov  8 20:12:35 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: I wouldn't have gotten involved.... but I don't like unecessary bloodshed..... - Sun Nov  8 20:12:35 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: If anyone puts their hands on you, and you don't know them, you have plenty of reason to use  reasonable force. - Sun Nov  8 20:12:35 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Kuro, you aren't a ranked ninja here. I appreciate your desire to do things peacefully, but this is a militaristic ninja village. - Sun Nov  8 20:13:26 2015
<br><br><font color=teal>*Kuro(Ichigo10101) thinks: Why are all of these shinobi so offensive? - Sun Nov  8 20:13:26 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Actions have consequences. - Sun Nov  8 20:13:26 2015
<br><br><font color=teal>*Kurt(Zygman) says: Is everyone in favor of a punishment towards this guy? - Sun Nov  8 20:13:26 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: Well, I'm alive so I don't care. My life was all I was worried about. - Sun Nov  8 20:14:17 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Koji will decide what's to be punished, as well as Hassan. - Sun Nov  8 20:14:17 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: If you have a complaint about the guy, file that complaint with Koji and he'll handle it appropriately. - Sun Nov  8 20:14:17 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: All actions have consequences, it's the rule of the world.  If I take a step, the ground beneath me will get an imprint of my foot. - Sun Nov  8 20:14:17 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: However, to use force on an unsuspecting male when the situation could have been solved peacefully, is rather saddening. - Sun Nov  8 20:15:08 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I suggest everyone keeps their hands to themselves unless everyone involved is on the same page. - Sun Nov  8 20:15:08 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I'll be reporting this to Koji, though. - Sun Nov  8 20:17:42 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: So he will maybe question some people here over it. - Sun Nov  8 20:17:42 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: Well, I be open to talk when ever you need me too! - Sun Nov  8 20:18:33 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Right. - Sun Nov  8 20:21:58 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: Same for me.. -@Yan- - Sun Nov  8 20:25:23 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Just a matt.  - Sun Nov  8 20:26:14 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: Um.. Chikyu was it? I guess kenjutsu's your specialty....? - Sun Nov  8 20:26:14 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: Matt. - Sun Nov  8 20:26:14 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: Mattuku. - Sun Nov  8 20:26:14 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: Mattukuoro. - Sun Nov  8 20:26:14 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: Again with Kenjutsu, I just use this sword. No jutsus at all! - Sun Nov  8 20:27:56 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: Do you know what elements you possess...? - Sun Nov  8 20:27:56 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: Wood and water, but only because that was forced by the academy, Hahaha. - Sun Nov  8 20:28:48 2015
<br><br><font color=teal>*Dissida, Paine(TheSecretary) says: its a m-meditative m-mat - Sun Nov  8 20:29:39 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: Kurt. - Sun Nov  8 20:30:30 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: Ah, it's good to see one. - Sun Nov  8 20:30:30 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: I have three elements... Wind, Water and Lightning... - Sun Nov  8 20:30:30 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: Whose idea was it? - Sun Nov  8 20:30:30 2015
<br><br><font color=teal>*Kurt(Zygman) says: I only have water. - Sun Nov  8 20:30:30 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: I'm not sure if I can help but I may be able to teach you two Water-based jutsu... - Sun Nov  8 20:30:30 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: But that's if you want... - Sun Nov  8 20:30:30 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: Hehe thanks for the offer, but I intend to just focus on swords for now. I'm no good at jutsus anyways. - Sun Nov  8 20:31:21 2015
<br><br><font color=teal>*Kurt(Zygman) says: Did I take a toll on your chakra? - Sun Nov  8 20:31:21 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: Alright.. - Sun Nov  8 20:31:21 2015
<br><br><font color=teal>*Dissida, Paine(TheSecretary) says: im not s-sure.. - Sun Nov  8 20:31:21 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I have plenty to go around. - Sun Nov  8 20:32:12 2015
<br><br><font color=teal>*Dissida, Paine(TheSecretary) says: i b-bought one when i was....umm...u-uh in k-kohooa - Sun Nov  8 20:32:12 2015
<br><br><font color=teal>*Dissida, Paine(TheSecretary) says: kohonoa' - Sun Nov  8 20:32:12 2015
<br><br><font color=teal>*Lera(Bailey42) says: Ah perfect. Uh, could you fill yan in Koji? - Sun Nov  8 20:33:04 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Koji..There is a knocked out guy over there. - Sun Nov  8 20:33:04 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: He apparently put his hands on Chikyu and she responded with force. I don't blame her. - Sun Nov  8 20:33:04 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: I aint no medic - omit - Sun Nov  8 20:33:04 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: People shouldn't be grabbing on other people unwarranted. - Sun Nov  8 20:33:55 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I've also noticed he's a pretty incompetent ninja. - Sun Nov  8 20:33:55 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Hmm, was he attemptng rape? - Sun Nov  8 20:33:55 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: He was being creepy..... - Sun Nov  8 20:33:55 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: I stopped her from killing him.. - Sun Nov  8 20:33:55 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: I thought he was attempting to attack! I didn't even notice him to till he grabbed my shoulder. - Sun Nov  8 20:33:55 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I wouldn't say that, but he makes the kunoichi feel uncomfortable. If they press charges, it could easily be assault. - Sun Nov  8 20:33:55 2015
<br><br><font color=teal>*Lera(Bailey42) says: Right. - Sun Nov  8 20:34:46 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: You shouldn't have slashed at him though.... - Sun Nov  8 20:35:37 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: Oi. - Sun Nov  8 20:36:28 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) thinks: "im black believe it" no jutsu is being performed by lera.. much wow. - Sun Nov  8 20:36:28 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: I was told to go to you. - Sun Nov  8 20:36:28 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) thinks: -omit- - Sun Nov  8 20:36:28 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: But, he took a punch to the throat without a flinch. And, everyone else is so strong here. So, I assumed he was strong as well. - Sun Nov  8 20:36:28 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: By what's his face. - Sun Nov  8 20:36:28 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: Still... - Sun Nov  8 20:36:28 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: shira is knocked out ignore him -omit- - Sun Nov  8 20:36:28 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: cept im not -omit- - Sun Nov  8 20:37:20 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: you fucking are bitch that took what 30 damage? -omit- - Sun Nov  8 20:37:20 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: lol no -omit- - Sun Nov  8 20:37:20 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: Uhm.. so... can someone show me some stuff on Wind.. Water.. or maybe Lightning..? - Sun Nov  8 20:38:11 2015
<br><br><font color=teal>*Kurt(Zygman) says: I'm trying to look for water techniques myself. - Sun Nov  8 20:38:11 2015
<br><br><font color=teal>*Lera(Bailey42) thinks: I could show her all three...but too lazy. - Sun Nov  8 20:38:11 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: I know one lightning technique. - Sun Nov  8 20:38:11 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) thinks: YOU DONT HAVE KIRIN FAM NO - Sun Nov  8 20:39:02 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) thinks: -OMIT- - Sun Nov  8 20:39:02 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: If you guys are done withthe fighting and seek a medic. I'm at home.  - Sun Nov  8 20:39:53 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: Huh..? - Sun Nov  8 20:39:53 2015
<br><br><font color=teal>*Dissida, Paine(TheSecretary) says: l-later z-zenaki - Sun Nov  8 20:39:53 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: Why are you pointing at the sky..? - Sun Nov  8 20:40:44 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: I'm not pointing at the sky. - Sun Nov  8 20:41:36 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: He said he knew lightning jutsu, maybe hes doing it right now. - Sun Nov  8 20:41:36 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: Is a bolt of lightning going to hit. *eyes sparkling* - Sun Nov  8 20:41:36 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: That sounds... interesting. - Sun Nov  8 20:42:27 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: pew pew - Sun Nov  8 20:43:18 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: patchou - Sun Nov  8 20:43:18 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: pew pew - Sun Nov  8 20:43:18 2015
<br><br><font color=yellow>*Chikyu Kasanari(Crimson Cresent) drops her head and arms, lifelessly hanging there for a moment. "Awww...."* - Sun Nov  8 20:43:18 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: shlposh - Sun Nov  8 20:43:18 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: pew pew u ded chikyu - Sun Nov  8 20:43:18 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: pew pewp epwp ew - Sun Nov  8 20:43:18 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: pewwwwwww. - Sun Nov  8 20:45:00 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: pachow - Sun Nov  8 20:45:00 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: Oh.. - Sun Nov  8 20:45:00 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: pew pew pew - Sun Nov  8 20:45:00 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: vroooom. - Sun Nov  8 20:45:00 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Tets I need to speak with you if you havee time. - Sun Nov  8 20:45:52 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: vroooooom - Sun Nov  8 20:45:52 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: akakakak - Sun Nov  8 20:45:52 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: Well.. could you demonstrate it.. or perhaps give me a scroll on it? I can return the favor to you... - Sun Nov  8 20:46:43 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Koji..I think that guy is mentally ill. He needs a psyche check. - Sun Nov  8 20:46:43 2015
<br><br><font color=teal>*Lera(Bailey42) says: Anyway...would you care to follow me Yan? I'll teach you the basics now. - Sun Nov  8 20:46:43 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Can you have some guards get him and take him to the institution? - Sun Nov  8 20:46:43 2015
<br><br><font color=teal>*Lera(Bailey42) says: And uh...That other girl. Mizora right? - Sun Nov  8 20:46:43 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: nuk nuk nuk - Sun Nov  8 20:46:43 2015
<br><br><font color=teal>*Lera(Bailey42) says: I can teach you all three of those elements. - Sun Nov  8 20:46:43 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: Huh..? - Sun Nov  8 20:46:43 2015
<br><br><font color=teal>*Lera(Bailey42) says: If you're interested. - Sun Nov  8 20:47:34 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: vfffgfgfg - Sun Nov  8 20:47:34 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Well I'll take him to prison. We need a medic to diagnos him. - Sun Nov  8 20:47:34 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: Er... sorry.. uhm... - Sun Nov  8 20:48:25 2015
<br><br><font color=teal>*Lera(Bailey42) says: Then follow along. - Sun Nov  8 20:48:25 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: -@Kuro- - Sun Nov  8 20:48:25 2015
<br><br><font color=teal>*Lera(Bailey42) says: Not its fine Jiki. - Sun Nov  8 20:48:25 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: pew pew - Sun Nov  8 20:48:25 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Can't find her. - Mon Nov  9 02:40:00 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Marissa. - Mon Nov  9 02:40:51 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: There you go. - Mon Nov  9 02:40:51 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: You needed Paine? - Mon Nov  9 02:40:51 2015
<br><br><font color=teal>*Ryujin, Marrisa(Roxinea) says: Yes! - Mon Nov  9 02:40:51 2015
<br><br><font color=teal>*Ryujin, Marrisa(Roxinea) says: Thanks. .  - Mon Nov  9 02:40:51 2015
<br><br><font color=teal>*Ryujin, Marrisa(Roxinea) says: Lady Paine. .  - Mon Nov  9 02:40:51 2015
<br><br><font color=teal>*Dissida, Paine(TheSecretary) says: y-yes? - Mon Nov  9 02:40:51 2015
<br><br><font color=teal>*Ryujin, Marrisa(Roxinea) says: I wish to submit myself to you for a spar, of only Taijutsu!  - Mon Nov  9 02:40:51 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: O - Mon Nov  9 02:41:42 2015
<br><br><font color=teal>*Dissida, Paine(TheSecretary) says: u-uhh...umm...s-sure.. - Mon Nov  9 02:41:42 2015
<br><br><font color=teal>*Ryujin, Marrisa(Roxinea) says: I doub't I'll be as much of a match for you as Maloth was. .  - Mon Nov  9 02:41:42 2015
<br><br><font color=teal>*Ryujin, Marrisa(Roxinea) says: but I wish to learn from you! - Mon Nov  9 02:41:42 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) thinks: Oh wow, she wants to learn from her.... and shes the one who gave me all those jutsus. - Mon Nov  9 02:42:33 2015
<br><br><font color=teal>*Dissida, Paine(TheSecretary) says: oh....u-umm....i do not m-mind...but you will too g-go though two t-tests.... - Mon Nov  9 02:43:24 2015
<br><br><font color=teal>*Dissida, Paine(TheSecretary) says: o-one now.. - Mon Nov  9 02:43:24 2015
<br><br><font color=teal>*Ryujin, Marrisa(Roxinea) says: ok - Mon Nov  9 02:44:16 2015
<br><br><font color=teal>*Dissida, Paine(TheSecretary) says: and the o-other when i r-return.. - Mon Nov  9 02:44:16 2015
<br><br><font color=teal>*Ryujin, Marrisa(Roxinea) says: Lay it on me Lady Paine.  - Mon Nov  9 02:45:58 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) thinks: Ughhh.... I hate this. - Mon Nov  9 03:09:52 2015
<br><br><font color=teal>*Ryujin, Marrisa(Roxinea) says: good luck all. - Mon Nov  9 03:10:43 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Jiki! - Mon Nov  9 03:35:28 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: Hi there... and welcome back *@Marrisa* did you find your rock. - Mon Nov  9 03:37:10 2015
<br><br><font color=teal>*Ryujin, Marrisa(Roxinea) says: Not yet. . - Mon Nov  9 03:37:10 2015
<br><br><font color=teal>*Ryujin, Marrisa(Roxinea) says: I have to get permission to leave the village from Lord Hassan to even search for it - Mon Nov  9 03:38:01 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: Ahh! Then, what are you doing her- Oh...well thats awful. - Mon Nov  9 03:38:01 2015
<br><br><font color=teal>*Ryujin, Marrisa(Roxinea) says: It's the price I pay for being a Jounin of the Sand.  - Mon Nov  9 03:38:01 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Rock? - Mon Nov  9 03:38:52 2015
<br><br><font color=teal>*Ryujin, Marrisa(Roxinea) says: I'll see you all in a bit - Mon Nov  9 03:38:52 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: Shes gotta find a rock for a test. - Mon Nov  9 03:38:52 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Sounds like a boring test. - Mon Nov  9 03:38:52 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Sounds like a philosophical one. - Mon Nov  9 03:39:44 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Phil o soft cycle? - Mon Nov  9 03:40:35 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: What type of test is this! - Mon Nov  9 03:40:35 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: ...Philo...phi-whatever. She needs to find a rock with a cute face that was thrown. - Mon Nov  9 03:41:26 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Oh. - Mon Nov  9 03:41:26 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Huh. Interesting. Anyway.. - Mon Nov  9 03:41:26 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: Is that what a philo-..philo test is. - Mon Nov  9 03:41:26 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Would you accept my challenge? - Mon Nov  9 03:41:26 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: What challenge? - Mon Nov  9 03:41:26 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: And ... not so much, nevermind. That's wierd. - Mon Nov  9 03:41:26 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Hrm? I asked my fellow swordswoman if she'd like to spar. - Mon Nov  9 03:42:17 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Oh. - Mon Nov  9 03:42:17 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: I'll spar you. - Mon Nov  9 03:42:17 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: I could, but I'm pretty weak. Don't know if you be interested in fighting me. - Mon Nov  9 03:42:17 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: If you want. - Mon Nov  9 03:42:17 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Ah, I am but a Genin myself.. so I'm unsure.  - Mon Nov  9 03:42:17 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Either of you is fine, I suppose. - Mon Nov  9 03:42:17 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Whichever of you wants to fight more. - Mon Nov  9 03:43:08 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: I think, I've lost to almost everyone in the village except that attacker this morning. Hahaha! - Mon Nov  9 03:43:08 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: My, I see.. - Mon Nov  9 03:43:08 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Well. - Mon Nov  9 03:44:00 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: Hmmm... he seemed happy to spar, even though it was at me. So, I think hes far more excited. But, I can save a match for you next time we meet. - Mon Nov  9 03:44:00 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: The swordsman might need the exerience. - Mon Nov  9 03:44:51 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Nah, you got it. - Mon Nov  9 03:44:51 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Hrm.. How about this. - Mon Nov  9 03:46:33 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: I'll spar you, Miss.. - Mon Nov  9 03:46:33 2015
<br><br><font color=yellow>*Chikyu Kasanari(Crimson Cresent) walks away a few steps. "Well okay then... sorry if this ends quickly." She says holding up one hand in front of her, as if in a prayer bowing her head real quickly. The other reaches behind her head, grabbing the sword. She swings it back and forth in front of her with one hand seeing no issue with the weight of the steel at all. She then looks over ot Akimora to ready herself, or suprise attack. She was getting used to those things.* - Mon Nov  9 03:46:33 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: And if it goes as you said it would, I'll spar him after... for now, though. - Mon Nov  9 03:46:33 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Let's see whose steel is stronger. - Mon Nov  9 03:46:33 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: I am Mitsunara. Let us fight. - Mon Nov  9 03:47:24 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: Chikyu over here, again. Pleasure to meet. - Mon Nov  9 03:47:24 2015
<br><br><font color=yellow>*Chikyu Kasanari(Crimson Cresent) grabs the sword in front of her, as she takes a step. Her head tilts back and forth a moment, rolling her thoughts on how she should attack. Though after taking a glance at that light katana. The girl thought it be best to approach just like this. The girl then charged forward with the sword, before stopping about four feet from Mitsunara. While that was some distance, it was still good enough reach for that human tall sword of hers.

 She then began to thrust her blade forward like a spear. Using her length, just to give her some space from a pontential quick counter hit so she had time to react with her slow reflexes.* - Mon Nov  9 03:52:32 2015
<br><br><font color=teal>*Daishou(Simple.Sloth) says: ....What're you weirdos doin'? - Mon Nov  9 04:01:04 2015
<br><br><font color=yellow>*Chikyu Kasanari(Crimson Cresent) eyes light up, as she notes the inability to actually damage this person.  However this doesn't seem to bother her too much, as she lets go of the handle, as with one hand. Her body to forward in the attack to actually block the strike or pull out enough strength to knock her away. However, she had one move in mind which is why she kept at range to give her enough time to react.

The girl brought up the free'd arm. It then twisted outwards, armguard trying to strike the steel of the blade. Then using  the force of her rotating arm to deflect  the slash coming at her.* - Mon Nov  9 04:07:02 2015
<br><br><font color=yellow>*Chikyu Kasanari(Crimson Cresent) gets drag along as the kick connects to her. Her body having no defense at the moment, thanks to her being in mid-attack when hit. She was then sent flying to the side, landing on the dirt on her back. However, she quickly scurried back up on her feet.

