<br><font color=teal>*Ari, Hanai(KenichiMD) says: Y-Yes? - Sat Nov  7 01:21:29 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Except the shroud was tapped in after I defeated a Beast of flame.. - Sat Nov  7 06:48:19 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: The sharingan was with me since birth.. - Sat Nov  7 06:48:19 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Took me to hell and back to get this far...But I've managed through the stress ...Kept to my Lawful ways and good.. - Sat Nov  7 06:49:10 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Well. - Sat Nov  7 06:50:52 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: We can do that later. - Sat Nov  7 06:50:52 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: .... - Sat Nov  7 06:51:44 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: I'm no good with illusions and crap. - Sat Nov  7 06:51:44 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: I'd rather focus on the shroud for now. I've got cool ideas! - Sat Nov  7 06:51:44 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: Barf. - Mon Nov  9 00:33:42 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: We should have a spar too. - Mon Nov  9 00:33:42 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: He'll appreciate that alot! It is a great day haha. You won't believe this but Lera came by to see me today.  - Mon Nov  9 00:33:42 2015
<br><br><font color=teal>*Shirabafaru(Dragonfile) says: I tell you everyday day.. - Mon Nov  9 00:33:42 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: What are you guys doing? - Mon Nov  9 00:33:42 2015
<br><br><font color=teal>*Shirabafaru(Dragonfile) says: My name isn't Barf. - Mon Nov  9 00:33:42 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) says: Yeah I saw her yesterday, apparently she never left. - Mon Nov  9 00:33:42 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: Y-Yea.. - Mon Nov  9 00:33:42 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: Is that a yes? - Mon Nov  9 00:33:42 2015
<br><br><font color=teal>*Shirabafaru(Dragonfile) says: It's a no. - Mon Nov  9 00:34:33 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: G.. u...hhh.. - Mon Nov  9 00:34:33 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Wow, interesting I wonder what stopped her. - Mon Nov  9 00:34:33 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) says: Said she wasn't going to be ordered about by a new kage until she knows him better. - Mon Nov  9 00:35:24 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: New Kage? - Mon Nov  9 00:35:24 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: N-New kage? - Mon Nov  9 00:35:24 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) says: ...That's what she said? A new Mizukage? - Mon Nov  9 00:36:16 2015
<br><br><font color=teal>*Shirabafaru(Dragonfile) says: Sides, today is the day I sit back and do nothing.. I deserve it. - Mon Nov  9 00:36:16 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Oh, Mizukage. - Mon Nov  9 00:36:16 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: N-New mizukage..? - Mon Nov  9 00:36:16 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: W-What? - Mon Nov  9 00:36:16 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: . . . . - Mon Nov  9 00:37:07 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: . .  - Mon Nov  9 00:37:07 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: So none of you Kiri folks know the Mizukage? - Mon Nov  9 00:37:07 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: That's not raising a few eyebrows? - Mon Nov  9 00:37:07 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Kiri Folks? - Mon Nov  9 00:37:07 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Yeah. A bunch of refugees. - Mon Nov  9 00:37:07 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: They fled 'cause of the attacks. - Mon Nov  9 00:37:07 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: What the. - Mon Nov  9 00:37:58 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: So I win? - Mon Nov  9 00:37:58 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: His name isn't Barf, or so he says. - Mon Nov  9 00:37:58 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Don't be a mean guy. - Mon Nov  9 00:37:58 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: You used to call me on my radioooo~ - Mon Nov  9 00:38:49 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: Late night wheeeen youuu need meee~ - Mon Nov  9 00:38:49 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: Barf, notice my giantic fuma shuriken. - Mon Nov  9 00:39:40 2015
<br><br><font color=teal>*Shirabafaru(Dragonfile) says: No. - Mon Nov  9 00:39:40 2015
<br><br><font color=teal>*Shirabafaru(Dragonfile) says: ... - Mon Nov  9 00:39:40 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: How bout now/ - Mon Nov  9 00:39:40 2015
<br><br><font color=teal>*Shirabafaru(Dragonfile) says: No. - Mon Nov  9 00:39:40 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: Ookay. - Mon Nov  9 00:43:05 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Yo. - Mon Nov  9 00:44:48 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) thinks: Eh. I'll solve it myself. - Mon Nov  9 00:45:39 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: White hair guy! - Mon Nov  9 00:46:30 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: What? - Mon Nov  9 00:48:12 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Are you good at fire style? - Mon Nov  9 00:48:12 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Don't even have the affinity. - Mon Nov  9 00:49:04 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Try harrassing Fujitora or Maissa. - Mon Nov  9 00:49:04 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Marissa* - Mon Nov  9 00:49:04 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Anything else you might feel like passing on?! - Mon Nov  9 00:49:55 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: You're all fucking ugly. - Mon Nov  9 00:49:55 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: -omit- - Mon Nov  9 00:49:55 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: All my special techniques aren't elemental. I don't give those out. - Mon Nov  9 00:49:55 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Hi everyone. - Mon Nov  9 00:49:55 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Oh. - Mon Nov  9 00:50:46 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Mmkay. - Mon Nov  9 00:50:46 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: oh. - Mon Nov  9 00:50:46 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: Little-Sensei. - Mon Nov  9 00:50:46 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: What shall we do today? - Mon Nov  9 00:50:46 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: *squints* - Mon Nov  9 00:50:46 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Ivel, handle my lightweight. - Mon Nov  9 00:50:46 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: -omit- - Mon Nov  9 00:50:46 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Nothing.. - Mon Nov  9 00:51:37 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: Nothing? - Mon Nov  9 00:51:37 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: Is that some type of ancient secret justu? - Mon Nov  9 00:52:28 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: Does it turn someone into nothing?! - Mon Nov  9 00:52:28 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: Amazing. - Mon Nov  9 00:52:28 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: You've got disciples? - Mon Nov  9 00:53:20 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: Yep. - Mon Nov  9 00:53:20 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: That's pretty cool. - Mon Nov  9 00:53:20 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: I'm Shira. - Mon Nov  9 00:53:20 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Ivel. - Mon Nov  9 00:53:20 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: He's not my.. - Mon Nov  9 00:53:20 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: I'm not her enemy. - Mon Nov  9 00:54:11 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: I'm her student. Her favorite one! - Mon Nov  9 00:54:11 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Oh, do you not like him? - Mon Nov  9 00:54:11 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: Nope. She -loves- me as a student. - Mon Nov  9 00:55:02 2015
<br><br><font color=yellow>*Ryujin, Ivel(OmniKage) walks all up in this bitch.* - Mon Nov  9 01:13:48 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: There's no need to assault him. - Mon Nov  9 01:17:13 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: What is even happening? - Mon Nov  9 01:17:13 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: If you do seriously injure him you might go to jail. - Mon Nov  9 01:17:13 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Grandpa is strict... - Mon Nov  9 01:17:13 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: Was she trying to kill me, Sensei? - Mon Nov  9 01:18:56 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: I'm not your sensei for the last time. - Mon Nov  9 01:19:47 2015
<br><br><font color=yellow>*Ryujin, Ivel(OmniKage) Karate chopped the back of Mizora's head. 

"Baka~ You can't kill comrades!"* - Mon Nov  9 01:19:47 2015
<br><br><font color=yellow>*Ryujin, Ivel(OmniKage) hand got coiled and shit. 

"Don't harm comrades! We must all work together."* - Mon Nov  9 01:24:03 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: As you can see, Little-Sensei. She's a convict who constantly attacks, not trying to read the situation. - Mon Nov  9 01:24:03 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: As soon as she leaves, I'll tell you the secret. - Mon Nov  9 01:24:54 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: He's not a comrade. He's a creeper and a borderline pedophile in the making. - Mon Nov  9 01:24:54 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: She already told you that she isn't your teacher. - Mon Nov  9 01:24:54 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: She isn't. She's my master. - Mon Nov  9 01:25:45 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: Duh. - Mon Nov  9 01:25:45 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Everyone's a comrade if they represent Suna. - Mon Nov  9 01:25:45 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Gramps wouldn't like all this infighting.. - Mon Nov  9 01:25:45 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: He'll have all our hides tanned! So let's just be cool. - Mon Nov  9 01:26:36 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: *nods* - Mon Nov  9 01:26:36 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Let's just relax.. - Mon Nov  9 01:26:36 2015
<br><br><font color=yellow>*Ryujin, Ivel(OmniKage) noticed that this woman clearly wasn't going to take the high road, nor would she attempt to diffuse the situation but merely feed the flames. And as such, judgement would have to be swift! A step behind Mizora, Ivel would raise his right hand as a flame would suddenly usher itself forth, aiming to engulf the woman in a rather fierce blaze. 

While it would surely burn her, that wasn't his true intention. The force of the flame would send her flying, most likely over the coffee table, and her assault on Shira would end in an abrupt manner. 

If successful he'd stand erect, his hand raised to chest level with a small flame hovering within his palm. "We aren't going to do this, guys."* - Mon Nov  9 01:35:08 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: *chills* - Mon Nov  9 01:39:24 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: -omit- - Mon Nov  9 01:39:24 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: triggered once again - Mon Nov  9 01:54:46 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: -omit- - Mon Nov  9 01:54:46 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: ivel, just uh assume it went through, since tomk aint responding - Mon Nov  9 01:55:37 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: -omit- - Mon Nov  9 01:55:37 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Mmkay. Citizens arrest. - Mon Nov  9 02:11:50 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Put your hands behidn your back and this will be cool! - Mon Nov  9 02:11:50 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: .... - Mon Nov  9 02:11:50 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) thinks: Me, 2. The guy, 0. - Mon Nov  9 02:12:41 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Honestly.. - Mon Nov  9 02:13:32 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) thinks: I swear he's going to die doing rash things one day... - Mon Nov  9 02:13:32 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: .... - Mon Nov  9 02:13:32 2015
<br><br><font color=yellow>*Ryujin, Ivel(OmniKage) is whacked on the top of his head. "Ow man! What the heck did I do?"* - Mon Nov  9 02:14:24 2015
<br><br><font color=teal>*Shira(Osmanesanogo) thinks: Oh cool, trees! - Mon Nov  9 02:14:24 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: You could've injured her just as bad.~ - Mon Nov  9 02:14:24 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Man, I got it! - Mon Nov  9 02:15:15 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: So uh...guess we have to report this.. - Mon Nov  9 02:15:15 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Citizens arrest! - Mon Nov  9 02:16:06 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) thinks: I lost my cool again.. - Mon Nov  9 02:16:06 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: So yeah. - Mon Nov  9 02:17:48 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Come on, criminal! - Mon Nov  9 02:18:40 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: ... - Mon Nov  9 02:18:40 2015
<br><br><font color=yellow>*Ryujin, Ivel(OmniKage) wags his finger towards Mizora, a childish frown on his face. 

"You can't attack comrades cause they make you mad! I'd be in jail a few times if I did that, hahahha."* - Mon Nov  9 02:28:03 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: He's not injured at all. Some of his tenketsu may be sealed. - Mon Nov  9 02:30:36 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Check him just incase. - Mon Nov  9 02:30:36 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: That's besides the fact... I'm leaving.. - Mon Nov  9 02:30:36 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Mizora did you do this? - Mon Nov  9 02:30:36 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: Yeah.. they can explain. - Mon Nov  9 02:31:28 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Wait - Mon Nov  9 02:31:28 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: ...? - Mon Nov  9 02:31:28 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Why did you do it? I want to hear it from your point of view - Mon Nov  9 02:31:28 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: It all started in ooc...In a land far away. - Mon Nov  9 02:31:28 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: He's a witty creep... - Mon Nov  9 02:32:19 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: And you attacked him for that? - Mon Nov  9 02:32:19 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: I attacked him because of paranoia, and assumptions. - Mon Nov  9 02:34:52 2015
<br><br><font color=yellow>*Ryujin, Ivel(OmniKage) glanced towards Izanami. Her words were articulated incredbily well, something unseen in a seven year old girl. "What has she seen to grow up so fast..." he thought to himself, as he gazed upon her form. He soon began to feel bad, for as an older brother he should of been there to protect her from such things! At least until she could tie her shoes!* - Mon Nov  9 02:51:05 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: ...Uhh. - Mon Nov  9 02:51:05 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Whose house is this? - Mon Nov  9 02:51:56 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Yo. - Mon Nov  9 03:23:31 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: M-More customers... - Mon Nov  9 03:23:31 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: O-Okay. - Mon Nov  9 03:24:22 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: I-I'll get onto the meals. - Mon Nov  9 03:24:22 2015
<br><br><font color=teal>*Ryujin, Marrisa(Roxinea) says: Hi Ivel - Mon Nov  9 03:24:22 2015
<br><br><font color=teal>*Ryujin, Marrisa(Roxinea) says: and yea - Mon Nov  9 03:24:22 2015
<br><br><font color=teal>*Ryujin, Marrisa(Roxinea) says: Rice is fine - Mon Nov  9 03:24:22 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: T-Thank you.. - Mon Nov  9 03:25:13 2015
<br><br><font color=teal>*Ryujin, Marrisa(Roxinea) says: sure thing - Mon Nov  9 03:26:04 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Those guys work here? - Mon Nov  9 03:26:04 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: O-Oh yeah.. - Mon Nov  9 03:26:04 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Oh! Marrissa, I can do the thing! - Mon Nov  9 03:26:04 2015
<br><br><font color=teal>*Ryujin, Marrisa(Roxinea) says: Rock on! - Mon Nov  9 03:26:56 2015
<br><br><font color=teal>*Ryujin, Marrisa(Roxinea) says: Now we are siblings of the ember! - Mon Nov  9 03:26:56 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Word! - Mon Nov  9 03:27:47 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: I can do even more cool stuff with it! - Mon Nov  9 03:27:47 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: I'll show you later. - Mon Nov  9 03:27:47 2015
<br><br><font color=teal>*Ryujin, Marrisa(Roxinea) says: One of these days, you'll have to help me be golden too!  - Mon Nov  9 03:27:47 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: One day! - Mon Nov  9 03:27:47 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) thinks: O-Oh that.. - Mon Nov  9 03:27:47 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) thinks: I-It's so good.. - Mon Nov  9 03:27:47 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: . . . - Mon Nov  9 03:29:29 2015
<br><br><font color=teal>*Ryujin, Marrisa(Roxinea) says: This is amazing! I am glad I paied a thousand Yen for it! You guys have a gift! - Mon Nov  9 03:30:20 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: . . . - Mon Nov  9 03:30:20 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) thinks: One-thousand? Fuck that. - Mon Nov  9 03:30:20 2015
<br><br><font color=teal>*Ryujin, Marrisa(Roxinea) says: Anywho!  Thanks for the meal!  - Mon Nov  9 03:31:12 2015
<br><br><font color=teal>*Ryujin, Marrisa(Roxinea) says: I have to go report to Lord Hassan - Mon Nov  9 03:31:12 2015
<br><br><font color=teal>*Ryujin, Marrisa(Roxinea) says: Ivel. . You and I can train some later/ - Mon Nov  9 03:32:03 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: T-Tell hassan..I s-said hi. - Mon Nov  9 03:32:03 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: And t-that he should c-come here.. - Mon Nov  9 03:32:03 2015
<br><br><font color=teal>*Ryujin, Marrisa(Roxinea) says: Will do, - Mon Nov  9 03:32:03 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Alright.  - Mon Nov  9 03:32:03 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Jiki! - Mon Nov  9 03:35:28 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: Hi there... and welcome back *@Marrisa* did you find your rock. - Mon Nov  9 03:37:10 2015
<br><br><font color=teal>*Ryujin, Marrisa(Roxinea) says: Not yet. . - Mon Nov  9 03:37:10 2015
<br><br><font color=teal>*Ryujin, Marrisa(Roxinea) says: I have to get permission to leave the village from Lord Hassan to even search for it - Mon Nov  9 03:38:01 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: Ahh! Then, what are you doing her- Oh...well thats awful. - Mon Nov  9 03:38:01 2015
<br><br><font color=teal>*Ryujin, Marrisa(Roxinea) says: It's the price I pay for being a Jounin of the Sand.  - Mon Nov  9 03:38:01 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Rock? - Mon Nov  9 03:38:52 2015
<br><br><font color=teal>*Ryujin, Marrisa(Roxinea) says: I'll see you all in a bit - Mon Nov  9 03:38:52 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: Shes gotta find a rock for a test. - Mon Nov  9 03:38:52 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Sounds like a boring test. - Mon Nov  9 03:38:52 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Sounds like a philosophical one. - Mon Nov  9 03:39:44 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Phil o soft cycle? - Mon Nov  9 03:40:35 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: What type of test is this! - Mon Nov  9 03:40:35 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: ...Philo...phi-whatever. She needs to find a rock with a cute face that was thrown. - Mon Nov  9 03:41:26 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Oh. - Mon Nov  9 03:41:26 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Huh. Interesting. Anyway.. - Mon Nov  9 03:41:26 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: Is that what a philo-..philo test is. - Mon Nov  9 03:41:26 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Would you accept my challenge? - Mon Nov  9 03:41:26 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: What challenge? - Mon Nov  9 03:41:26 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: And ... not so much, nevermind. That's wierd. - Mon Nov  9 03:41:26 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Hrm? I asked my fellow swordswoman if she'd like to spar. - Mon Nov  9 03:42:17 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Oh. - Mon Nov  9 03:42:17 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: I'll spar you. - Mon Nov  9 03:42:17 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: I could, but I'm pretty weak. Don't know if you be interested in fighting me. - Mon Nov  9 03:42:17 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: If you want. - Mon Nov  9 03:42:17 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Ah, I am but a Genin myself.. so I'm unsure.  - Mon Nov  9 03:42:17 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Either of you is fine, I suppose. - Mon Nov  9 03:42:17 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Whichever of you wants to fight more. - Mon Nov  9 03:43:08 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: I think, I've lost to almost everyone in the village except that attacker this morning. Hahaha! - Mon Nov  9 03:43:08 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: My, I see.. - Mon Nov  9 03:43:08 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Well. - Mon Nov  9 03:44:00 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: Hmmm... he seemed happy to spar, even though it was at me. So, I think hes far more excited. But, I can save a match for you next time we meet. - Mon Nov  9 03:44:00 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: The swordsman might need the exerience. - Mon Nov  9 03:44:51 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Nah, you got it. - Mon Nov  9 03:44:51 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Hrm.. How about this. - Mon Nov  9 03:46:33 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: I'll spar you, Miss.. - Mon Nov  9 03:46:33 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: And if it goes as you said it would, I'll spar him after... for now, though. - Mon Nov  9 03:46:33 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Let's see whose steel is stronger. - Mon Nov  9 03:46:33 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: I am Mitsunara. Let us fight. - Mon Nov  9 03:47:24 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: Chikyu over here, again. Pleasure to meet. - Mon Nov  9 03:47:24 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Hello. - Mon Nov  9 06:17:36 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Hey Ivel. - Mon Nov  9 06:18:27 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Hi. - Mon Nov  9 06:19:18 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: *fgt* - Mon Nov  9 06:19:18 2015
