<br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Yo - Sat Oct  3 16:09:23 2015
<br><br><font color=teal>*Durn(Vysasi) says: If you need further proof. - Sat Oct  3 19:20:32 2015
<br><br><font color=teal>*Durn(Vysasi) says: Ride or die. - Sat Oct  3 19:20:32 2015
<br><br><font color=teal>*Lera(Bailey42) says: .... - Sat Oct  3 19:21:23 2015
<br><br><font color=teal>*Hideki(Assassin241) says: . . . . . . . . . . . . . . . . . . . - Sat Oct  3 19:21:23 2015
<br><br><font color=teal>*Lera(Bailey42) thinks: Ride or die... - Sat Oct  3 19:21:23 2015
<br><br><font color=yellow>*Kang Tetsu(Chaos Commander2015) Raising an eyebrow as he looked to Durn, and what he was doing, he would let a sigh escape his mouth. He wasn't used to being personally taught by someone, and was more used to simply learning things himself from a scroll, and thus, he would simply make sure that he did his best when watching, trying to pick up on anything that he could that could perhaps help him learn it faster. Not exactly picking up on anything, he would let one more sigh escape his mouth, though he wouldn't complain being that he was the one who had asked for this.

Though, thinking back to what he had said about hitting up chakra and transfering it to his hands, he would have a bit of a realization, it was a bit like how he used his fire run technique. Thinking this, he would take it a bit too far. Basically doing what he would do for his fire run technque, minus the hand seals. Starting up with building chakra, he would hold it there as long as he could, wrongly, still comparing it too much to the fire run technique. Though, continuing, he would finally send the chakra to his hand.

Having done this, and expecting it to work, he would be greatly disapointed when absolutely nothing happened at all. It would seem that he had done it too much with the technique he already had in mind, and thus he wasn't geared toward using this new technique, realizing this, he would once more, let a sigh escape his mouth. Realizing his mistake, he would quickly glance to Durn, hoping that perhaps he didn't realize that he had messed up, and that he thought he was just taking his time. Though, shaking this thought away, he would decide to try again, obviously.

Releasing the chakra that he had built up, he decided that he would try again from scratch. Taking a few good breathes and thing about what Durn had said, he would close his eyes to try and help with his focus. Once more taking the time to build up chakra, he would hold in just enough for what he assumed he would need in order to use this technique. Once he was sure that he had it, he would once more let it move up through his mody, and towards his right hand. Trying his best to will it there, he would open his eyes when he felt like he had done it correctly. Catching sight of only a tiny flame on one of his fingers, he would get a bit overjoyed, and thus, when he let that take over, the flame would instantly go away.

Nodding a bit to himself, happy that he had at least achieved a little bit of it so far. Taking a deep breathe once more, he would come to the conclusion that he would need to dump more chakra into it. Thinking this, he would again close his eyes. Getting back to the chakra building portion of the jutsu. Building up as much as he could, he would put more in that he ever had before, thinking that perhaps it just took more since the jutsu didn't use any hand seals. Thus, he would push the chakra through his body, and again to his palm. Though, feeling the heat a bit from it, he would open his eyes to see a massive amount of fire simply going wild on his hand and arm. Obviously having put too much chakra into it, he would quickly stop, and shake his arm, trying to force it to go away. Once it was out, he would simply shake his head. He hadn't had this much trouble learning something before.

Sighing -again- much sounding like a leaking tire at this point, he would mumble, "Too much chakra." saying such he would again go back to the start of the whole thing, chakra. Once more going back to the chakra building process, he would make sure to build about half of what he had built up before. Once he was sure this time around that he had about as much as he was going to need, he would once more go ahead and start to push it towards his hand. Once he had done this, he would once again open his eyes. Watching as the flame rose up in his hand, and stayed there, he would be a bit happy. Though, as he tried to throw it, it would basically stay attached to his hand. So, letting it die down, he would take a moment to think things over.

Realizing that he needed to cut it off from the actual flow from his body, and let it be its own gathering as he threw it. And upon realizing this, he would once more start to go through the process. From the chakra, to sending it up to his hand. Though, this time as he went to throw it, he would disconnect it from the flow of chakra he was using to substain it. And as it flew forward, a bit shakily, and hit the wall, it would leave a small burn mark, and knock a bit of dirt off of it. It would seem that he had learned how to do it, and that if he took the time to master it, after a bit it should come easier, and stronger. 

Nodding about this he would look around for Dur- Kilm. Not seeing him, he would assume that while he was working on this jutsu, he had to have walked off with that other man.* - Sat Oct  3 19:30:46 2015
<br><br><font color=teal>*Lera(Bailey42) says: Eh... - Sat Oct  3 19:33:20 2015
<br><br><font color=teal>*Lera(Bailey42) says: Not bad - Sat Oct  3 19:33:20 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: Heh. - Sat Oct  3 19:33:20 2015
<br><br><font color=teal>*Lera(Bailey42) says: I'm gonna head back. - Sat Oct  3 19:35:02 2015
<br><br><font color=yellow>*Kang Tetsu(Chaos Commander2015) Having walked into Kilm being attacked, and not being to react fast enough to get in on the action before it was all said and done, he would quickly walk over to him, making sure he was alright, and if need be, he would be there to help steady him, "We should probably get you to Ko. . .I almost had to help you out, again."* - Sat Oct  3 19:51:15 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: Sup? - Sat Oct  3 20:00:38 2015
<br><br><font color=teal>*Durn(Vysasi) says: Zenaki . . .  - Sat Oct  3 20:02:20 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: Eh? - Sat Oct  3 20:03:12 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: What happened? - Sat Oct  3 20:04:03 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) thinks: Wait, Hideki! - Sat Oct  3 20:04:03 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: Where's Hideki?! - Sat Oct  3 20:04:03 2015
<br><br><font color=teal>*Durn(Vysasi) says: Kilm . . . - Sat Oct  3 20:05:45 2015
<br><br><font color=teal>*Durn(Vysasi) says: You don't remember me? - Sat Oct  3 20:05:45 2015
<br><br><font color=teal>*Durn(Vysasi) says: . . . Reasons . . . I need some help . . . I almost died. - Sat Oct  3 20:07:28 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: As long as you don't die... It's fine. - Sat Oct  3 20:07:28 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: . .  Where did Hideki go? - Sat Oct  3 20:09:10 2015
<br><br><font color=teal>*Durn(Vysasi) says: Don't care. - Sat Oct  3 20:09:10 2015
<br><br><font color=teal>*Durn(Vysasi) says: He wants me dead. - Sat Oct  3 20:09:10 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Alright listen up. - Sat Oct  3 20:17:42 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) thinks: So danger is everywhere, shit. - Sat Oct  3 20:18:33 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: .. - Sat Oct  3 20:18:33 2015
<br><br><font color=teal>*Makaveli, Ichiro(DagonWarhead) says: What's going on? - Sat Oct  3 20:19:24 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Failed assassination attempts. - Sat Oct  3 20:19:24 2015
<br><br><font color=teal>*Makaveli, Ichiro(DagonWarhead) says: . . . . . - Sat Oct  3 20:19:24 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: .... - Sat Oct  3 20:21:07 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Thank you. - Sat Oct  3 20:21:07 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: -braket that- - Sat Oct  3 20:21:58 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Who did he try to kill? - Sat Oct  3 20:22:49 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Durn, Taiga... - Sat Oct  3 20:23:40 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Those two. - Sat Oct  3 20:23:40 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: .. - Sat Oct  3 20:25:23 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Oh man, time is ticking... - Sat Oct  3 20:27:56 2015
<br><br><font color=teal>*Makaveli, Ichiro(DagonWarhead) says: . . . . . - Sat Oct  3 20:28:48 2015
<br><br><font color=teal>*Makaveli, Ichiro(DagonWarhead) says: A buddy? - Sat Oct  3 20:28:48 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: A buddy. - Sat Oct  3 20:29:39 2015
<br><br><font color=teal>*Makaveli, Ichiro(DagonWarhead) says: ...... - Sat Oct  3 20:29:39 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: . .  Durn, be my buddy~. - Sat Oct  3 20:30:30 2015
<br><br><font color=teal>*Durn(Vysasi) says: I guess . . . - Sat Oct  3 20:30:30 2015
<br><br><font color=teal>*Makaveli, Ichiro(DagonWarhead) says: . . . . . . - Sat Oct  3 20:31:21 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: .. - Sat Oct  3 20:31:21 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Be carefull. You both. - Sat Oct  3 20:31:21 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: I wanted to participate in this arena... - Sat Oct  3 20:31:21 2015
<br><br><font color=teal>*Durn(Vysasi) says: Mhm. - Sat Oct  3 20:31:21 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) thinks: Too bad i have to look after everyone.. - Sat Oct  3 20:33:04 2015
<br><br><font color=teal>*Makaveli, Ichiro(DagonWarhead) says: Is it mandatory to have a buddy? - Sat Oct  3 20:35:37 2015
<br><br><font color=teal>*Makaveli, Ichiro(DagonWarhead) says: Because I ... don't think I'll be able to find one. - Sat Oct  3 20:35:37 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: You all look bored. - Sat Oct  3 20:49:16 2015
<br><br><font color=teal>*Durn(Vysasi) says: Mhm. - Sat Oct  3 20:50:08 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: Kind of true. - Sat Oct  3 20:50:08 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Why don't three of you run a mission for me. - Sat Oct  3 20:55:15 2015
<br><br><font color=teal>*Durn(Vysasi) says: Hm? - Sat Oct  3 20:55:15 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: Sounds possible. - Sat Oct  3 20:58:40 2015
<br><br><font color=teal>*Durn(Vysasi) says: What mission will it be - Sat Oct  3 20:58:40 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Mmmm.. - Sat Oct  3 21:01:13 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Guard duty. - Sat Oct  3 21:02:04 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: Sure, why not. - Sat Oct  3 21:02:56 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: Got to keep the place safe somehow. - Sat Oct  3 21:02:56 2015
<br><br><font color=yellow>*Kang Tetsu(Chaos Commander2015) Sighing as he managed to find his way away from all of the people, and towards a tree, he would sit underneath of it, realizing that he needed to get back to training. Thinking such, he would go about as he always had in the past. Slowly make the single hand seal needed, though he would pause on it of course to make sure that it was right, before starting to build up chakra inside of his body. Building it up the best he could, to what he thought would be the perfect amount of course.

Once he had built up the amount he needed, he would quickly open his mouth as he let the chakra come up and out, this time in the form of a large amount of mud. The mud, hitting the ground would stay resting for a moment, before suddenly starting to move and take shape. First, it would rise up higher and higher until it reach to be about his height. Then, it would begin to morph its shape around until it had the same figure as himself, before suddenly morphing color to match up one-hundred percent.

Happy with the looks of it, he would raise an eyebrow, getting a bit of an idea. Quickly making the single seal again, and building up the right amount of chakra once more, he would quickly spew out another good amount of mud as a second one would slowly rise beside the first. Deciding to test how mobile they were, he would start them fighting back and forth, or at least he would have if it wasn't for the fact that when they both went to turn a certain part of their body into mud to block each others attacks, they would just stick together.

Seeing this issue, he would let one of the clones drop back into mud. once he had done this, he would look over to the one remaining clone and decided that he would see how well it would be able to hold up under attack himself. So thinking such, he would quickly pull out a kunai and explosive tag, quickly throwing it at the clone and watching as it imbeded inside of it. After a few moments the explosion would sound off, and the mud would fly everywhere. Having expected this, he would watch to see how fast the clone could form back up, which it seemed to be in the process of doing.

Content with the time it had taken the clone to reform he would nod to it and speak as if it mattered, "Good job." and once he had said such, he would let the clone drop back into its original mud shape. Feeling as if he was done, he would quickly look around the area, making sure that he was safe after the recent assassination attempts. Concluding that no one was around, and that he was fine, he would start to walk back towards the plaza, hoping to have something fun to do now that he had gotten a bit of training done.* - Sat Oct  3 21:25:07 2015
<br><br><font color=teal>*Durn(Vysasi) says: Most would have to be. - Sat Oct  3 21:26:49 2015
<br><br><font color=teal>*Durn(Vysasi) says: But hey . . . I'd let you in too. - Sat Oct  3 21:27:40 2015
<br><br><font color=teal>*Durn(Vysasi) says: Did you make a promise to hassan to stay a sunagakure shinobi? - Sat Oct  3 21:28:32 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: I did. - Sat Oct  3 21:29:23 2015
<br><br><font color=teal>*Durn(Vysasi) says: Ah . . . I see. - Sat Oct  3 21:29:23 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: It was required to stay here. - Sat Oct  3 21:29:23 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: And to keep his protection. - Sat Oct  3 21:30:14 2015
<br><br><font color=teal>*Durn(Vysasi) says: Well . . . I won't force you. You could perhaps be a member while remaining a shinobi. - Sat Oct  3 21:30:14 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: That would be nice. - Sat Oct  3 21:30:14 2015
<br><br><font color=teal>*Durn(Vysasi) says: Hey Kang. - Sat Oct  3 21:30:14 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: Hm? - Sat Oct  3 21:30:14 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: You can just call up on me if I'm needed. - Sat Oct  3 21:30:14 2015
<br><br><font color=teal>*Durn(Vysasi) says: Are you a full sunagakure shinobi too Kang? - Sat Oct  3 21:30:14 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: Eh. - Sat Oct  3 21:31:05 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: Sorta? - Sat Oct  3 21:31:05 2015
<br><br><font color=teal>*Durn(Vysasi) says: Sorta? - Sat Oct  3 21:31:05 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: I didn't exactly promise him I'd stay forever, but he did say if I betrayed him, he'd kill me. - Sat Oct  3 21:31:05 2015
<br><br><font color=teal>*Durn(Vysasi) says: Alright. - Sat Oct  3 21:31:56 2015
<br><br><font color=teal>*Durn(Vysasi) says: I guess you two would be able to operate here if we do make the group. - Sat Oct  3 21:31:56 2015
<br><br><font color=teal>*Durn(Vysasi) says: I mean . . . Would be cool to have an elementalist group. - Sat Oct  3 21:31:56 2015
<br><br><font color=teal>*Durn(Vysasi) says: Mhm. - Sat Oct  3 21:42:11 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: Well, the guarding went well. .  Or more or less nothing happened. - Sat Oct  3 21:43:02 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Hassan. - Sat Oct  3 21:54:59 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: ... - Sat Oct  3 22:12:03 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Yo. - Sat Oct  3 22:28:16 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: ... - Sat Oct  3 22:28:16 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Yo. - Sat Oct  3 22:28:16 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: That crazy guy isn't around is he? - Sat Oct  3 22:28:16 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Which one? - Sat Oct  3 22:28:16 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: The one who liked Flexus. - Sat Oct  3 22:29:07 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Who killed him? - Sat Oct  3 22:29:07 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Killed who? - Sat Oct  3 22:29:58 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Who killed Flexus again? - Sat Oct  3 22:30:49 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: You tell me~ - Sat Oct  3 22:31:40 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: As if I know?  - Sat Oct  3 22:32:32 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: Erebus killed Flexus. - Sat Oct  3 22:32:32 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: Or so I was told. - Sat Oct  3 22:33:23 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: What? - Sat Oct  3 22:34:14 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: I did. - Sat Oct  3 22:34:14 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: I guess it wasn't publicized enough. - Sat Oct  3 22:34:14 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Meh. - Sat Oct  3 22:34:14 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Hmm - Sat Oct  3 22:39:21 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Baen. - Sat Oct  3 22:39:21 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Yo - Sat Oct  3 22:39:21 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Yo. - Sat Oct  3 22:39:21 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Is Taiga around? - Sat Oct  3 22:40:12 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: Nope. - Sat Oct  3 22:40:12 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) thinks: Don't know him, never saw him. - Sat Oct  3 22:41:04 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Interesting. - Sat Oct  3 22:42:46 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Liars all around. - Sat Oct  3 22:42:46 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) thinks: Eyes are a dead give away huh? - Sat Oct  3 22:43:37 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: . . . Alright then. - Sat Oct  3 22:45:20 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: Multiple questions. - Sat Oct  3 22:45:20 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: Fuck boy persona? - Sat Oct  3 22:45:20 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: And who're you. - Sat Oct  3 22:45:20 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: And what do you want? - Sat Oct  3 22:45:20 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Alot of things. - Sat Oct  3 22:46:11 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: Please describe what a 'fuck boy' is for me will you, I'm a bit confused. - Sat Oct  3 22:46:11 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: I'd prefer a murderer would stay away from me. - Sat Oct  3 22:46:11 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: So could you leave please? - Sat Oct  3 22:47:02 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: I need you. - Sat Oct  3 22:47:53 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: Why would somebody I don't know need me? - Sat Oct  3 22:47:53 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: You will deny my hand? - Sat Oct  3 22:47:53 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: My parents told me not to go with strangers. - Sat Oct  3 22:47:53 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) thinks: Somebody openly speaks of killing another and then tries to get all buddy buddy with me? I'm not trusting that, not even for a second. - Sat Oct  3 23:00:41 2015
<br><br><font color=yellow>*Kang Tetsu(Chaos Commander2015) Being that the man who was talking to Taiga, was begging to get really weird, and wayyyy too close for comfort, he would watch as Taiga moved back a good ways. "Taiga, you're doing it all wrong, you have to make them move." and with saying such he would turn back to Baen before saying, "Please back up a bit would you?"

Having said such, he wouldn't wait for a reply as he suddenly started up a few hand seals. Moving through them releatively fast, he would be at the same time building up chakra and releasing it into the air around him. Once he was content on the positioning of it, being right around him, and just close enough to baen where it would physically hit him, he would let the jutsu take hold, being that the area of the spread chakra would begin to spin at high speeds, acting as a literal spherical barrier of air, which would protect him if need be, and how it was taking effect, would collide with Baen, and hopefully either send him back, or make him want to step back.* - Sat Oct  3 23:04:06 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: This guy. - Sat Oct  3 23:12:38 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Seems familiar. - Sat Oct  3 23:12:38 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Have you killed anyone important recently? - Sat Oct  3 23:13:29 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Hi. - Sat Oct  3 23:19:28 2015
<br><br><font color=yellow>*Kang Tetsu(Chaos Commander2015) His technique, being avoided, would have already come to an end, and being that Baen and vanished, and he now heard Taiga talking behind him, he would quickly turn, seeing that Baen had appeared back beside him. 

Aggrivated, he would quickly start a new set of seals. Going through them quite easily, he would quickly transfer chakra through his body, and direct it towards his hands. Waiting just long enough to see if Taiga's sword would hit, he would go on to slam his hands into the ground, sending a line of fire heading towards Baen, after he had either dodged, or been hit by Taiga's attack, hoping to surround him with a ring of fire. 

This wasn't meant as a meaningful attack, simply a distraction really for Taiga to get in another hit, and for himself to think of what to do next.* - Sat Oct  3 23:23:44 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Hi Sanoke. - Sat Oct  3 23:25:26 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: S'up. - Sat Oct  3 23:27:08 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: What's happening here? - Sat Oct  3 23:28:00 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Someone came here and tried to kill someone earlier but failed. - Sat Oct  3 23:28:00 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Ah. . .Who was trying to be killed? - Sat Oct  3 23:28:51 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Hideki. - Sat Oct  3 23:28:51 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Err. Who was he trying to kill, rather. - Sat Oct  3 23:29:42 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Me. - Sat Oct  3 23:29:42 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: . . .Huh. - Sat Oct  3 23:30:33 2015
<br><br><font color=yellow>*Kang Tetsu(Chaos Commander2015) Being with the way everything was going, he would quickly go on to his next technique of choice, quickly knocking off what needed to be done for it, he would quickly force chakra up and out of his mouth, this time in the form of mud.

Once it was all out of his system, the pile would quickly form up to be an exact copy of himself, only made completely of mud. Both of these forms walking forward to stand next to Taiga he would speak out to Baen, "You know Taiga really does have a point, and I plan to back him up whenever he needs it." explaining why he had jumpped into this whole thing.* - Sat Oct  3 23:38:14 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: How nice. Are you brothers or something? - Sat Oct  3 23:41:39 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: Friends. - Sat Oct  3 23:41:39 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: So can I get some hits in, since you know. You tried to kill me~ - Sat Oct  3 23:41:39 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: How about no? Maybe it'd be best if you left me alone. Like I told you before I drew my blade. - Sat Oct  3 23:42:30 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: What if I say no. - Sat Oct  3 23:43:21 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) thinks: He still hasn't told me his name or anything else. - Sat Oct  3 23:43:21 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: You see, you being creepy like this and not answering my questions is what got you in this mess in the first place. - Sat Oct  3 23:44:12 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Meh. If I wanted you dead, you'd of died. - Sat Oct  3 23:44:12 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: Still haven't answered my questions. - Sat Oct  3 23:44:12 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: What questions. - Sat Oct  3 23:45:04 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: I literaly asked who you are, how you know me and what you want from me. - Sat Oct  3 23:45:04 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Did you? - Sat Oct  3 23:45:04 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: Yes. - Sat Oct  3 23:45:04 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Oh. - Sat Oct  3 23:45:04 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Well.  - Sat Oct  3 23:45:04 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: I'm Baen. - Sat Oct  3 23:45:55 2015
<br><br><font color=yellow>*Kang Tetsu(Chaos Commander2015) Does nothing yet.* - Sat Oct  3 23:49:20 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: . .  Right. - Sat Oct  3 23:53:36 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: So, why do you know me? - Sat Oct  3 23:53:36 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) thinks: Taiga, if you don't slap him for that joke, I might. - Sat Oct  3 23:53:36 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Certain people are looking for you. - Sat Oct  3 23:54:27 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: Yeah I know. - Sat Oct  3 23:55:18 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: And they aren't looking for me to give me a cake. - Sat Oct  3 23:55:18 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: And why're you looking for me? - Sat Oct  3 23:57:00 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: To see if it's worth it. - Sat Oct  3 23:57:52 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: To see if killing me is worth it? - Sat Oct  3 23:57:52 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Yes. - Sat Oct  3 23:57:52 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: I honestly don't even understand why I got a bounty, and I don't know who placed it either. - Sat Oct  3 23:57:52 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: But that clears things up, it was right of me to suspect you. And now you understand why I was being hostile. - Sat Oct  3 23:58:43 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: I guess. - Sun Oct  4 00:00:25 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Still debating. - Sun Oct  4 00:02:08 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: It's easy money. - Sun Oct  4 00:02:08 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: Well Taiga? - Sun Oct  4 00:02:59 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: Is it really worth it to kill an innocent kid over money? - Sun Oct  4 00:02:59 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Yes. It's alot of money. And reputation. - Sun Oct  4 00:02:59 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: I would kindly like to ask you, not to kill me. - Sun Oct  4 00:03:50 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: You know, being dead and all. Not fun. - Sun Oct  4 00:03:50 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: But may I ask, do you know who placed this bounty on my head? - Sun Oct  4 00:03:50 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Someone kindly asked me to kill you though. - Sun Oct  4 00:03:50 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: So who knows. - Sun Oct  4 00:03:50 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: I do. - Sun Oct  4 00:03:50 2015
