<br><font color=yellow>*Kurina, Abraxas(Chaos Commander2015) extends his hand anyway.* - Tue Dec  8 05:42:11 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: I kinda thought I could take her. - Wed Dec  9 20:55:40 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: *sigh*  Next time you want to test your strength, think about it first. - Wed Dec  9 20:56:32 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: I did think about it! - Wed Dec  9 20:56:32 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: I can't tell. - Wed Dec  9 20:56:32 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: I just happened to be wrong. - Wed Dec  9 20:56:32 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: I'm just glad you are alright. . .  - Wed Dec  9 20:56:32 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: This is also true.. I like to think sometimes a good spar relieves unecessary anger. - Wed Dec  9 20:56:32 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: But, you should be more carefu Mitsunara. - Wed Dec  9 20:57:23 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: I don't want anything to happen to you. - Wed Dec  9 20:57:23 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) thinks: That damn girl is going to drive me crazy. .  . . . - Wed Dec  9 20:59:05 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Hah. Not anytime soon. - Wed Dec  9 20:59:56 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Just be careful. - Wed Dec  9 20:59:56 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Alright? - Wed Dec  9 20:59:56 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: I always am! It just doesn't always work out... - Wed Dec  9 21:00:48 2015
<br><br><font color=teal>*Chikyu Kasanari(TempusKing) says: I was going to ask a spar that day...but you know. So, when you feeling one hundred percent, I'll give you a good spar with my real sword. - Wed Dec  9 21:00:48 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Heh.. A'right then, Chikyu... - Wed Dec  9 21:01:39 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Though, for now.. - Wed Dec  9 21:01:39 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: My Ribs hurt. - Wed Dec  9 21:01:39 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Of course they do. - Wed Dec  9 21:01:39 2015
<br><br><font color=teal>*Chikyu Kasanari(TempusKing) says: Yeah, I thought so. But knowing you, I was sure you could handle walking and standing around near death. - Wed Dec  9 21:01:39 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: I can! But... Kiyoko would literalyl /kill me/. - Wed Dec  9 21:02:30 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: If I fought with my ribs like this. - Wed Dec  9 21:02:30 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Wow, your thinking about something. - Wed Dec  9 21:02:30 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: -- Hiroshi. - Wed Dec  9 21:02:30 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Hmmm? - Wed Dec  9 21:02:30 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: I don't have to move my body to hurt you. - Wed Dec  9 21:02:30 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Just keep that in mind, okay?~ - Wed Dec  9 21:02:30 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: . . . . - Wed Dec  9 21:02:30 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) thinks: Now is my chance to disappear and train.. Dip. - Wed Dec  9 21:03:21 2015
<br><br><font color=teal>*Chikyu Kasanari(TempusKing) says: Oh lighten up, Mitsunara... hes happy your learning more about being careful~ - Wed Dec  9 21:03:21 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) thinks: I kinda want to know how she is going to do that. . .  - Wed Dec  9 21:03:21 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: I am lightened up!~ - Wed Dec  9 21:03:21 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Ummm how the hell are you going to do that Mitsu? - Wed Dec  9 21:03:21 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Magic. - Wed Dec  9 21:03:21 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Ohhhh are you a magician? - Wed Dec  9 21:03:21 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Pull a rabbit out of a hat!!! - Wed Dec  9 21:04:12 2015
<br><br><font color=teal>*Hiroshi(Marchie15) thinks: .... She's going to cut you bro - Wed Dec  9 21:04:12 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Awwww. - Wed Dec  9 21:04:12 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: See even Kyu is interested. - Wed Dec  9 21:05:04 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: ...Woman, you've known I was a Necromancer for /how long/..? - Wed Dec  9 21:05:04 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Your a what now? - Wed Dec  9 21:05:04 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: ...Ugh. I don't do any magic that isn't meant for a fight. I'll leave it at that. - Wed Dec  9 21:05:55 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Hmmmmm. - Wed Dec  9 21:05:55 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) thinks: But I want to see it sooo bad. . .  - Wed Dec  9 21:05:55 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) thinks: Horee shit.. - Wed Dec  9 21:05:55 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: For fucks sa- - Wed Dec  9 21:05:55 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Remember? The Spears thing? - Wed Dec  9 21:05:55 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: That I threw at Kinami? - Wed Dec  9 21:05:55 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Yea. - Wed Dec  9 21:06:46 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: That is what I am talking about. I don't have to move to do it. - Wed Dec  9 21:06:46 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: That's magic? - Wed Dec  9 21:06:46 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: I thought it was ninjutsu. - Wed Dec  9 21:06:46 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: .... What's the difference? - Wed Dec  9 21:06:46 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: I'm confused. - Wed Dec  9 21:07:37 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Ninjutsu is magic? - Wed Dec  9 21:07:37 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: ...My joking wit is wasted on you. - Wed Dec  9 21:07:37 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Whaaa? - Wed Dec  9 21:07:37 2015
<br><br><font color=teal>*Hiroshi(Marchie15) says: Heheh, burn - Wed Dec  9 21:07:37 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: So Ninjutsu isn't magic? - Wed Dec  9 21:08:28 2015
<br><br><font color=teal>*Chikyu Kasanari(TempusKing) says: Mitsu, you broke Hiroshi's mind. - Wed Dec  9 21:08:28 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Chill it yo. Just.. - Wed Dec  9 21:09:20 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Don't worry about it. - Wed Dec  9 21:09:20 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Wait. . . So am I a magician? - Wed Dec  9 21:09:20 2015
<br><br><font color=teal>*Chikyu Kasanari(TempusKing) says: ... - Wed Dec  9 21:09:20 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: No. - Wed Dec  9 21:10:11 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: ....Just.. I... - Wed Dec  9 21:10:11 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Holy shit, Hiroshi. - Wed Dec  9 21:10:11 2015
<br><br><font color=teal>*Hiroshi(Marchie15) says: *laughs* Oh now now you're going to be trying to do magic tricks. - Wed Dec  9 21:11:02 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: *laughs*  Maybe. - Wed Dec  9 21:11:02 2015
<br><br><font color=teal>*Chikyu Kasanari(TempusKing) says: If you get good at magic, maybe we can put you on as a magic act for a festivel. - Wed Dec  9 21:11:53 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Nothin! Just- don't worry about what I said, a'right>? - Wed Dec  9 21:13:36 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: *shurgs* Sure, whatever. - Wed Dec  9 21:13:36 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Have fun Mitsu!~ - Wed Dec  9 21:16:09 2015
<br><br><font color=teal>*Chikyu Kasanari(TempusKing) says: See you, later. - Wed Dec  9 21:16:09 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: But my training has been going pretty good Kyu. - Wed Dec  9 21:16:09 2015
<br><br><font color=teal>*Hiroshi(Marchie15) says: Mine has been fine. - Wed Dec  9 21:16:09 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: I still have a few things I need to work out though. - Wed Dec  9 21:16:09 2015
<br><br><font color=teal>*Hiroshi(Marchie15) says: My kenjutsu is still kinda bad but it's getting there. How has your training been, Kyu? - Wed Dec  9 21:17:52 2015
<br><br><font color=teal>*Chikyu Kasanari(TempusKing) says: Thats great to hear, can't wait to see how far you two've come along. - Wed Dec  9 21:17:52 2015
<br><br><font color=teal>*Chikyu Kasanari(TempusKing) says: Oh mine... well I've gotten used to the blade... A thought has appeared in my head because of it, but I'm not sure about saying it outloud til I try it. - Wed Dec  9 21:17:52 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: * smiles*  Heheheh you know technically I am you superior now Kyu. - Wed Dec  9 21:18:43 2015
<br><br><font color=teal>*Hiroshi(Marchie15) says: Uh, okay I guess? I hope it's cool. - Wed Dec  9 21:18:43 2015
<br><br><font color=teal>*Hiroshi(Marchie15) says: Wait what? You are? - Wed Dec  9 21:19:34 2015
<br><br><font color=teal>*Chikyu Kasanari(TempusKing) says: Hmmm? Is that so. - Wed Dec  9 21:19:34 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Yup yup, I am a Chuunin. - Wed Dec  9 21:20:25 2015
<br><br><font color=teal>***Concealed Figure**(TheSecretary) says: mm... - Wed Dec  9 21:20:25 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Your still a Genin right Kyu? - Wed Dec  9 21:20:25 2015
<br><br><font color=teal>*Chikyu Kasanari(TempusKing) says: Yep, though how did you get Chuunin. I thought you didn't even do the final part of the Chuunin exam. - Wed Dec  9 21:20:25 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Sanoke gave Iza and I a make up battle. - Wed Dec  9 21:21:16 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: He promoted both of us. - Wed Dec  9 21:21:16 2015
<br><br><font color=teal>*Chikyu Kasanari(TempusKing) says: Oh I see. - Wed Dec  9 21:21:16 2015
<br><br><font color=teal>*Ivel Ryujin(B V L G A R I) says: So what happened to Sanoke? - Thu Dec 10 02:24:12 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: He perished. - Thu Dec 10 02:24:12 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: In combat. - Thu Dec 10 02:24:12 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Oh Marco. - Thu Dec 10 02:25:04 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: How much would it cost to fix a broken Kitana? - Thu Dec 10 02:25:04 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: He went on to live a happy life with his wife and babies. - Thu Dec 10 02:25:04 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Hrm? You use kenjutsu Hiroshi...? - Thu Dec 10 02:25:04 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Nah. - Thu Dec 10 02:25:55 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: It's not for me. - Thu Dec 10 02:25:55 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Ah. - Thu Dec 10 02:25:55 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Nami? - Thu Dec 10 02:25:55 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Yup yup. - Thu Dec 10 02:25:55 2015
<br><br><font color=teal>*Hokuma, Otorius(OtoTheChannel) says: Kkooooojjjiiiii.... - Thu Dec 10 02:25:55 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Alrighty. - Thu Dec 10 02:25:55 2015
<br><br><font color=teal>*Hokuma, Otorius(OtoTheChannel) says: Don't ignore mmeeee.... - Thu Dec 10 02:25:55 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: Earth is the way to go yup yup. - Thu Dec 10 02:25:55 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: Tch. - Thu Dec 10 02:25:55 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Yo! - Thu Dec 10 02:26:46 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: Hey abra if you dont like the earth school rules so much my aunt lear can change them i doubt she will but go plead your case. - Thu Dec 10 02:26:46 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Eh? - Thu Dec 10 02:27:37 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Earth school? - Thu Dec 10 02:27:37 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Marcoooo. - Thu Dec 10 02:27:37 2015
<br><br><font color=teal>*Ivel Ryujin(B V L G A R I) says: Go fire. - Thu Dec 10 02:28:28 2015
<br><br><font color=teal>*Ivel Ryujin(B V L G A R I) says: Fire trumps all. - Thu Dec 10 02:28:28 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Except for water it seems. - Thu Dec 10 02:28:28 2015
<br><br><font color=teal>*Hokuma, Otorius(OtoTheChannel) says: I have no use for elements. - Thu Dec 10 02:28:28 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: Lighting is so better than fire. - Thu Dec 10 02:28:28 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: . . . - Thu Dec 10 02:28:28 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: I prefer Pandora's light actually... - Thu Dec 10 02:29:20 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: Tch. I just need an Earth and Wind teacher. - Thu Dec 10 02:29:20 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: Will help me out with my paricular release. - Thu Dec 10 02:29:20 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: Not a lot. - Thu Dec 10 02:29:20 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: I'd say thirty grand at the most. - Thu Dec 10 02:29:20 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: That light is pretty cool maybe I can learn it one day. - Thu Dec 10 02:29:20 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Alright, well I have something I want you to fix. - Thu Dec 10 02:29:20 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: I just have to go and get it. - Thu Dec 10 02:29:20 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Nami. - Thu Dec 10 02:30:11 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Come here. - Thu Dec 10 02:30:11 2015
<br><br><font color=teal>*Hokuma, Otorius(OtoTheChannel) says: Hiroshi. - Thu Dec 10 02:30:11 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: ...... - Thu Dec 10 02:30:11 2015
<br><br><font color=teal>*Hokuma, Otorius(OtoTheChannel) says: Let's go at another spar? - Thu Dec 10 02:31:02 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: I'll spar you... - Thu Dec 10 02:31:53 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: I need you to come here first Kinami. - Thu Dec 10 02:31:53 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Marco is right here. - Thu Dec 10 02:32:44 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: I don't want a repair, I'll wait for the money to get a better one. - Thu Dec 10 02:32:44 2015
<br><br><font color=teal>*Hiroshi(Marchie15) says: Hey uh sure I guess? - Thu Dec 10 02:32:44 2015
<br><br><font color=teal>*Hokuma, Otorius(OtoTheChannel) says: To the sparring area thingy...! - Thu Dec 10 02:32:44 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Alright then. . Nvermind Marco. - Thu Dec 10 02:33:36 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) thinks: Guess I'll go watch my bro spar. - Thu Dec 10 02:34:27 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: Tch. . .This teaching process is too slow. - Thu Dec 10 02:35:18 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: C'mon Trill! - Thu Dec 10 02:35:18 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: No. - Thu Dec 10 02:35:18 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: Your learing procces is to slow. - Thu Dec 10 02:35:18 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: . . .Tch. - Thu Dec 10 02:35:18 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: . . . . - Thu Dec 10 02:35:18 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: Touche. - Thu Dec 10 02:35:18 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: The quicker you become sklled with the justu the quicker we can move on. - Thu Dec 10 02:36:09 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: Its that simple. - Thu Dec 10 02:36:09 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: Orrrr you could stop being such a stickler. - Thu Dec 10 02:36:09 2015
<br><br><font color=yellow>*Kurina, Abraxas(Chaos Commander2015) pouts.* - Thu Dec 10 02:36:09 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: Aye again when my aunt changes the rules..... Ill do it but tel tehn go get better . - Thu Dec 10 02:37:52 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: ......... - Thu Dec 10 02:38:43 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: I don't get it.. - Thu Dec 10 02:38:43 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: What rules? - Thu Dec 10 02:38:43 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: Remeber whne you and Yan were teaching me earth justu. - Thu Dec 10 02:38:43 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Yeah...? - Thu Dec 10 02:38:43 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: An you guysdidnt show me something new untill i had a frim hold on the technique. - Thu Dec 10 02:39:34 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: That was Yans rule... - Thu Dec 10 02:39:34 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: I honestly don't care. - Thu Dec 10 02:39:34 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: . . . - Thu Dec 10 02:39:34 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: Well Trill!? - Thu Dec 10 02:39:34 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: I didn't learn this many jutsu - Thu Dec 10 02:39:34 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: Oh wow... - Thu Dec 10 02:39:34 2015
<br><br><font color=yellow>*Kurina, Abraxas(Chaos Commander2015) Seemed a bit happy.* - Thu Dec 10 02:39:34 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: By practicing one at a time. - Thu Dec 10 02:39:34 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: I practiced twenty at a time. - Thu Dec 10 02:39:34 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: See! - Thu Dec 10 02:40:25 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: This girl agrees! - Thu Dec 10 02:40:25 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: Well aunt lera can you do me solid tech him the basics for me. - Thu Dec 10 02:40:25 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: . . . - Thu Dec 10 02:40:25 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Not right now... - Thu Dec 10 02:40:25 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: Becuase like I have tons of like improtan stuff to do know. - Thu Dec 10 02:40:25 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: . . . - Thu Dec 10 02:40:25 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: Trill. . .you trying to get outta teaching me? - Thu Dec 10 02:41:16 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Eh, just teach him. - Thu Dec 10 02:41:16 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: I'll just disapear for another three month- - Thu Dec 10 02:41:16 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: . . .  - Thu Dec 10 02:41:16 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: What an ass. . . - Thu Dec 10 02:41:16 2015
<br><br><font color=yellow>*Kurina, Abraxas(Chaos Commander2015) Playfully pouts a bit more.* - Thu Dec 10 02:42:08 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) whispers: Yo, what is this? Looks sketchy. - Thu Dec 10 02:44:41 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) whispers: (Nah for real, teach me after this? I need to fill logs for TS.) - Thu Dec 10 02:45:32 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: Because I never said it. - Thu Dec 10 02:48:06 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: Indeed you did not you are  a sharp one indeed so like what is your name? - Thu Dec 10 02:48:57 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: ... - Thu Dec 10 02:48:57 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: My name is Gon. - Thu Dec 10 02:49:48 2015
<br><br><font color=teal>*Ryujin, Marrisa [Ghost](Roxas The Hokage) says: NO SHIT!? - Thu Dec 10 02:50:40 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: Aunt lera you say.. hmm Abra go retrive my hunt please. - Thu Dec 10 02:50:40 2015
<br><br><font color=teal>*Ryujin, Marrisa [Ghost](Roxas The Hokage) says: MY NAME IS KILLUA! - Thu Dec 10 02:50:40 2015
<br><br><font color=yellow>*Kurina, Abraxas(Chaos Commander2015) Le dips.* - Thu Dec 10 02:50:40 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: Yo, ah. . .Lera? - Thu Dec 10 02:51:31 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: Trill wants you at the gate for something. - Thu Dec 10 02:51:31 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Eh? Mmk.. - Thu Dec 10 02:52:22 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: Ah they are delviring fish. - Thu Dec 10 02:52:22 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Well, I know Yumiko anyway - Thu Dec 10 02:52:22 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Fish? - Thu Dec 10 02:53:13 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: Yes. - Thu Dec 10 02:53:13 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: The other guys says his name is gon. - Thu Dec 10 02:53:13 2015
<br><br><font color=teal>*Yumiko(Sekara) says: It's what we were told to do. - Thu Dec 10 02:53:13 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: IT'S A GHOST KILL IT *omit* - Thu Dec 10 02:53:13 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: You know. I don't exactly have the authority to let people in - Thu Dec 10 02:53:13 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: We're not asking for entry. - Thu Dec 10 02:53:13 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: You're the jounin Trill. - Thu Dec 10 02:53:13 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: Just trying to drop off the fish. - Thu Dec 10 02:53:13 2015
<br><br><font color=teal>*Yumiko(Sekara) says: Just as he said. - Thu Dec 10 02:54:04 2015
<br><br><font color=teal>*Ryujin, Marrisa [Ghost](Roxas The Hokage) says: IT"S A TRAP! - Thu Dec 10 02:54:04 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: Yeah Aunt lera I know I was just making shure their story checks out. - Thu Dec 10 02:54:04 2015
<br><br><font color=teal>*Ryujin, Marrisa [Ghost](Roxas The Hokage) says: THEY ARE HERE TO KILL YOU ALL! - Thu Dec 10 02:54:04 2015
<br><br><font color=teal>*Ryujin, Marrisa [Ghost](Roxas The Hokage) says: . . .  - Thu Dec 10 02:54:04 2015
<br><br><font color=teal>*Ryujin, Marrisa [Ghost](Roxas The Hokage) says: I hate being a ghost - Thu Dec 10 02:54:04 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: Eh abraxs Mind helping the hokuma bring the fish in. - Thu Dec 10 02:54:56 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Just a sec. - Thu Dec 10 02:54:56 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: .... - Thu Dec 10 02:55:47 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: . . . . - Thu Dec 10 02:56:38 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: It's fish...What did you expect? - Thu Dec 10 02:56:38 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: Whoa Whoa Whoa Trill. - Thu Dec 10 02:56:38 2015
