<br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: Eh. - Tue Oct  6 01:32:35 2015
<br><br><font color=yellow>*Kang Tetsu(Chaos Commander2015) Sighs a bit, "Taiga?"* - Tue Oct  6 18:42:33 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: Hm? What? - Tue Oct  6 18:42:33 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: . . . - Tue Oct  6 18:42:33 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: Sorry, zoned out for a minute there. - Tue Oct  6 18:43:24 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: Nevermind then. - Tue Oct  6 18:43:24 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: No, please explain. - Tue Oct  6 18:43:24 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: Well, it would appear I need to be hit. While I also need to get active again. - Tue Oct  6 18:44:16 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: Anyway. - Tue Oct  6 18:51:05 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: You up for it Taiga? - Tue Oct  6 18:51:05 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: Or maybe you are Sanoke? - Tue Oct  6 18:51:56 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: Anyone will do really. - Tue Oct  6 18:51:56 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Huh. .? - Tue Oct  6 18:53:39 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: Long story short, fight me. - Tue Oct  6 18:53:39 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: I can battle for a bit, I guess. Got something else on the agenda, though. - Tue Oct  6 18:54:30 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) thinks: Let's see how Tetsu performs with his injury. - Tue Oct  6 18:57:55 2015
<br><br><font color=yellow>*Kang Tetsu(Chaos Commander2015) Sighing a bit, he would position himself across from Sanoke. Rubbing his head for a moment, only a numb feeling left really. Shaking this off, he would state, "I guess I'll start first." upon saying such, he would quickly make a motion with his hands. Building up chakra inside of his body, he would quickly let it out, spewing from his mouth in the form of mud.

This mud would then form up to be an exact copy of himself,  it would be positioned infront of him, kneeled down.* - Tue Oct  6 18:59:37 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Hey, Yan. - Tue Oct  6 18:59:37 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Hm/ - Tue Oct  6 18:59:37 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Do you sell jutsu scrolls? - Tue Oct  6 18:59:37 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Do I sell jutsu scrolls...? - Tue Oct  6 19:00:28 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Like, for money. - Tue Oct  6 19:00:28 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: No. - Tue Oct  6 19:00:28 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: I see. - Tue Oct  6 19:00:28 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Didn't know people did that... - Tue Oct  6 19:00:28 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I don't have much need for money anyways; I have enough to be comfortable. - Tue Oct  6 19:00:28 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Some do. I wouldn't but I like to take advantage when other people do. - Tue Oct  6 19:00:28 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Yo, Yan . . . I think we can make a good deal if you follow me . . . I've considered that offer. - Tue Oct  6 19:01:20 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Want to discuss it privately. - Tue Oct  6 19:01:20 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Sure, sure. - Tue Oct  6 19:02:11 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) thinks: Wonder how this clone is going to be used. - Tue Oct  6 19:03:53 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) whispers: (Hrm. can reach 21.6 damaee total. Holding back to gauge how you respond - Tue Oct  6 19:05:36 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) whispers: (I'd say 17 damage? - Tue Oct  6 19:05:36 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) whispers: (10 attack speed - Tue Oct  6 19:06:27 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) whispers: Andddd Minor damage damage but considering my body condistion, GG.) - Tue Oct  6 19:06:27 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) whispers: *condition) - Tue Oct  6 19:07:18 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) whispers: Already done xD.) - Tue Oct  6 19:07:18 2015
<br><br><font color=teal>*Katsune(Shimizu3598) thinks: In a world of shinobi, strangers always ignore common sense and try to touch you randomly. I think I will lose my mind some day. - Tue Oct  6 19:08:09 2015
<br><br><font color=yellow>*Kang Tetsu(Chaos Commander2015) Being that he didn't have the ability to keep up, or even guess where Sanoke would stop, he would have no chance at what was going to come, so thus, he would be hit, almost going down instantly. Though, he must have had retained a bit of control as the clone basically dove at Sanoke, aiming to colide with his around head area.

If this worked, the clone would instantly turn back to mud, and aim to clog both his nose, and mouth. Though, in all likelyness, the clone would miss, and Kang would be left on the ground in pain.* - Tue Oct  6 19:10:43 2015
<br><br><font color=teal>*Kilm(Vysasi) thinks: Mmm . . . Work has been cut out for me now. - Tue Oct  6 19:15:50 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: He has a point. - Tue Oct  6 19:15:50 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: Hm, hold up. - Tue Oct  6 19:17:32 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: How about I help Tetsu to make it fair? - Tue Oct  6 19:17:32 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Which jutsu did I give you again? - Tue Oct  6 19:18:24 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: Stay out of it Taiga. - Tue Oct  6 19:18:24 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: You're wounded Tetsu. - Tue Oct  6 19:18:24 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: And? - Tue Oct  6 19:18:24 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: I asked for this purposely. - Tue Oct  6 19:18:24 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: Do you enjoy pain or something? - Tue Oct  6 19:18:24 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: Not really. - Tue Oct  6 19:18:24 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: Alright then. . - Tue Oct  6 19:19:15 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Earth Flash. - Tue Oct  6 19:19:15 2015
<br><br><font color=teal>*Kilm(Vysasi) says: What element jutsu would you like to learn right now? - Tue Oct  6 19:19:15 2015
<br><br><font color=yellow>*Kang Tetsu(Chaos Commander2015) Laying there, he would cringe, as the clone that had missed him would walk back over, helping him to his feet. "I was told I needed to be hit, obviously. Plus, I was curious." saying such he would let a few breathes be released. The clone, now holding him up. Forcing himself onward, he would attempt to go through a round of hand seals. 

Being a bit with his seals than his normal speed, if he somehow made it to the end without Sanoke attacking, he would quickly let the chakra out  he had been building up, obviously during the hand seals, in the form of a massive fireball, with decent speed, heading for Sanoke.* - Tue Oct  6 19:20:57 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Hmm do you have any more lightning if not earth willl do..Question what are all the elements you can use? - Tue Oct  6 19:20:57 2015
<br><br><font color=teal>*Kilm(Vysasi) says: No more lightning but I got earth jutsu. - Tue Oct  6 19:20:57 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Welp earth it is. - Tue Oct  6 19:21:48 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Subterranean Voyage good enough? - Tue Oct  6 19:21:48 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Never herd of it. - Tue Oct  6 19:25:13 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Well, Good time to learn it. - Tue Oct  6 19:25:13 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: After I learn it you'll teach me another right? - Tue Oct  6 19:26:56 2015
<br><br><font color=teal>*Kilm(Vysasi) says: We'll see. - Tue Oct  6 19:27:47 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Keep improving. - Tue Oct  6 19:27:47 2015
<br><br><font color=yellow>*Kang Tetsu(Chaos Commander2015) Sighing a bit as he saw his jutsu basically be Tanked by an ugly lizard in a shell, he would say, "I'm done, thanks though Sanoke."* - Tue Oct  6 19:30:20 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Wow! I hope that didn't intimidate you. - Tue Oct  6 19:30:20 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: I was trying to summon a shell. - Tue Oct  6 19:30:20 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Not that. - Tue Oct  6 19:30:20 2015
<br><br><font color=teal>*Kilm(Vysasi) thinks: I should make a bet of some kind on that turtle. - Tue Oct  6 19:31:12 2015
<br><br><font color=yellow>*Kang Tetsu(Chaos Commander2015) Not taking the conversation any further, he would walk off, in the direction of the gate, clone still supporting him.* - Tue Oct  6 19:31:12 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) thinks: Lamme. - Tue Oct  6 19:31:12 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: What's goin' on? - Tue Oct  6 19:31:12 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Who won? - Tue Oct  6 19:35:28 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Tetsu. - Tue Oct  6 19:35:28 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: You walkin' away like you are mad. - Tue Oct  6 19:35:28 2015
<br><br><font color=yellow>*Kang Tetsu(Chaos Commander2015) Raising an eyebrow he would say, "Not mad, I simply got what I asked for." saying such like Yan was stupid for suggesting he was mad.* - Tue Oct  6 19:36:19 2015
<br><br><font color=teal>*Katsune(Shimizu3598) thinks: Should I go on a killing spree before this scroll-spreading goes too far? - Tue Oct  6 19:37:10 2015
<br><br><font color=teal>*Katsune(Shimizu3598) thinks: Yes....? - Tue Oct  6 19:37:10 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Huh... - Tue Oct  6 19:37:10 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Alrighty. - Tue Oct  6 19:37:10 2015
<br><br><font color=teal>*Kilm(Vysasi) says: . . . Is it too late now? - Tue Oct  6 19:46:33 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: It was his decision really, he just left. - Tue Oct  6 19:47:24 2015
<br><br><font color=teal>*Kilm(Vysasi) says: . . . Alright. - Tue Oct  6 19:47:24 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: There's been any news on that spooky new group? - Tue Oct  6 19:48:16 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: What group? - Tue Oct  6 19:48:16 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: <*Fidgets glasses*> I wonder when they're going to come attack. I'unno. . . Some weird group I've heard rumors about. - Tue Oct  6 19:48:16 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Eh, nothing really. He's just strong physically. - Tue Oct  6 19:57:39 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Another taijutsu-user...my bread and butter. - Tue Oct  6 19:57:39 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Anywho. When we gonna get that Doton trainin' in? I need that versatility. - Tue Oct  6 20:24:57 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Huh, Tonight. - Tue Oct  6 20:25:48 2015
<br><br><font color=yellow>*Kang Tetsu(Chaos Commander2015) coughs a bit, "Taiga's a bitch." coughs a bit more. It was obvious he was bored shitless.* - Tue Oct  6 20:30:04 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: Takes a bitch to know a bitch. - Tue Oct  6 20:30:56 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: Oh? - Tue Oct  6 20:31:47 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: I'm fine with that. - Tue Oct  6 20:31:47 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: Okay then. - Tue Oct  6 20:31:47 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: Taiga. - Tue Oct  6 20:32:38 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: I got you a present. - Tue Oct  6 20:32:38 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: C'mere. - Tue Oct  6 20:33:29 2015
<br><br><font color=yellow>*Kang Tetsu(Chaos Commander2015) Drops three fish, cause fuck it, he didn't want them.* - Tue Oct  6 20:34:20 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: . . . - Tue Oct  6 20:36:03 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: Really? - Tue Oct  6 20:36:03 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: Yep. - Tue Oct  6 20:36:03 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Yo, Tetsu. Were you really annoyed that you lost to me? - Tue Oct  6 20:38:36 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: No, as I said before, I got what I wanted out of it. There was no need to continue. - Tue Oct  6 20:38:36 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: You walked away real angry. - Tue Oct  6 20:39:28 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: I thought I walked away the same way I walk everywhere? - Tue Oct  6 20:39:28 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: I suppose so. - Tue Oct  6 20:43:44 2015
<br><br><font color=teal>*Daishou(Simple.Sloth) says: U-uh. - Tue Oct  6 20:52:16 2015
<br><br><font color=teal>*Daishou(Simple.Sloth) says: Hi! - Tue Oct  6 20:52:16 2015
<br><br><font color=teal>*Daishou(Simple.Sloth) says: Am I in Sunagakure? - Tue Oct  6 20:52:16 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Hmph. Anyone else up for a spar? - Tue Oct  6 21:05:04 2015
<br><br><font color=teal>*Katsune(Shimizu3598) thinks: If not...it's about time I go and find real violence. - Tue Oct  6 21:05:55 2015
<br><br><font color=teal>*Daishou(Simple.Sloth) says: And theeeeen I went to this place called Konohagakure. - Tue Oct  6 21:11:53 2015
<br><br><font color=teal>*Daishou(Simple.Sloth) says: ...Same thing happened. - Tue Oct  6 21:11:53 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: You mean crater? - Tue Oct  6 21:11:53 2015
<br><br><font color=teal>*Daishou(Simple.Sloth) says: And now I'm here. - Tue Oct  6 21:11:53 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: . . .Uh. Pretty sure Konoha got destroyed. - Tue Oct  6 21:12:44 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: . . . - Tue Oct  6 21:12:44 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: And yeah, if you're a shinobi of a village, you shouldstay in one place. - Tue Oct  6 21:13:36 2015
<br><br><font color=teal>*Daishou(Simple.Sloth) says: How come? - Tue Oct  6 21:13:36 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Rules and regulations, my boy. - Tue Oct  6 21:16:09 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Well. Unless you're a special shinobi like me. - Tue Oct  6 21:16:09 2015
<br><br><font color=teal>*Daishou(Simple.Sloth) says: How do I know I'm special? - Tue Oct  6 21:17:00 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: What's so special about you Sanoke? - Tue Oct  6 21:17:52 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: I'unno. - Tue Oct  6 21:19:34 2015
<br><br><font color=teal>*Shin(Yaori) says: I'm hungry - Tue Oct  6 22:21:00 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: So, any of you pansies wanna fight? - Tue Oct  6 23:12:12 2015
<br><br><font color=yellow>*Kang Tetsu(Chaos Commander2015) Still had a bit of a head injury, and it seemed to be affecting him in the way that, he didn't realize how easily he could be killed, and didn't seem to care either, if anything he seemed, grumpy?* - Tue Oct  6 23:13:55 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: I know someone here is up for it. - Tue Oct  6 23:13:55 2015
<br><br><font color=yellow>*Kang Tetsu(Chaos Commander2015) Hearing him he would say, "Let's go then." stating such, he would quickly preform a set of hand seals as he turned to Shin, quickly building up chakra to the highest extent he could for the jutsu before letting it come flowing out of his mouth.

The chakra would come out in the form of a large fireball, headed directly for Shin. He wouldn't be holding back, and the fireball would be going at full speed. Quickly yelling after, "I hope you can fight!"* - Tue Oct  6 23:17:20 2015
<br><br><font color=yellow>*Kang Tetsu(Chaos Commander2015) being that his own fireball would be pushed back, before the both of them would explode in a ball of flame, he would flinch back a bit. Sighing, he would look ot the boy, "I see you can use fire style as well." upon saying such he would quickly form a seal, once more getting ready for a jutsu.

Once more building chakra inside of his body, he would again let it flow out of his mouth, this time in the form of mud as it dropped to the ground. Though, it would only be there for a moment before suddenly forming up and taking the shape of his own being. "How about Earth?"* - Tue Oct  6 23:27:34 2015
<br><br><font color=yellow>*Kang Tetsu(Chaos Commander2015) would note that Kang was already having difficulty physically.* - Tue Oct  6 23:29:16 2015
<br><br><font color=yellow>*Kang Tetsu(Chaos Commander2015) being that it seemed that clones would begin to show around the area, he would get slightly paniced. Eyes a bit wide, and sweat beginning to form on his brow, he would again ramble off another set of seals, doing his best to continue on with the fight.

Quickly slaming his hands onto the ground, he would send out two different lines of fire, one streaming a firey circle around himself as defense, and another attempting to circle all of the being that were coming at him, that is if they were close together to do so. It is to be noted that the mud clone was now having to help him stand.* - Tue Oct  6 23:36:06 2015
<br><br><font color=yellow>*Kang Tetsu(Chaos Commander2015) shook his head, in his mind, it may seem like a giant ball was coming down at him, but it wouldn't stop him. He didn't plan on giving up, even if he knew he couldn't stop the ball, so thus he would sputter out, "If I'm going to lose, it won't be to you." 

Having stated such, he would bring a hand to his head, it still obviously hurting greatly. Bringing his hand back down to his vest he would touch something inside of it. Letting a smirk cross his lips, as it seemed something had happened to him mentally as well when he had gotten injuried, even though for some time he had appeared normal.

Unless by some magic someone had seen what he had done, after a few more moments the mud clone holding him would drop back to regular mud to encase his body and restrict his movement. About a moment later the mud would expand and explode, flying everywhere as the explosive power of multiple tags that had been hidden on the inside of his vest would be enforced onto Kang inside of the mud, it would appear that the boy would be attempting, and probably end successful at taking his own life rather than dying to someone else's hand.* - Tue Oct  6 23:52:19 2015
<br><br><font color=yellow>*Kang Tetsu(Chaos Commander2015) shook his head, in his mind, it may seem like a giant ball was coming down at him, but it wouldn't stop him. He didn't plan on giving up, even if he knew he couldn't stop the ball, so thus he would sputter out, "If I'm going to lose, it won't be to you." 

Having stated such, he would bring a hand to his head, it still obviously hurting greatly. Bringing his hand back down to his vest he would touch something inside of it. Letting a smirk cross his lips, as it seemed something had happened to him mentally as well when he had gotten injuried, even though for some time he had appeared normal.

Unless by some magic someone had seen what he had done, after a few more moments the mud clone holding him would drop back to regular mud to encase his body and restrict his movement. About a moment later the mud would expand and explode, flying everywhere as the explosive power of multiple tags that had been hidden on the inside of his vest would be enforced onto Kang inside of the mud, it would appear that the boy would be attempting, and probably end successful at taking his own life rather than dying to someone else's hand.* - Wed Oct  7 00:09:23 2015
<br><br><font color=yellow>*Geralt(Chaos Commander2015) Alright Zeno, I found one I like, if this doesn't work, I'll just take a generic orc or something LOL.* - Wed Oct  7 02:42:59 2015
<br><br><font color=yellow>*Geralt(Chaos Commander2015) Mischat.* - Wed Oct  7 02:43:50 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: What's up. - Wed Oct  7 05:06:20 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: You scared or something? - Wed Oct  7 05:08:03 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: I have nothing against you Baen. All I'm saying is, I have no idea who you are and judging by the weapon on your back you like to be up close. - Wed Oct  7 05:08:54 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Nothing personal. - Wed Oct  7 05:08:54 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: I don't use this spar. It's a promise to a...friend of mine. - Wed Oct  7 05:10:36 2015
<br><br><font color=teal>*Katsune(Shimizu3598) thinks: His confidence is also 'slightly' intimidating. - Wed Oct  7 05:10:36 2015
<br><br><font color=yellow>*Geralt(Chaos Commander2015) Simply eyes the two different people, feeling like what ever squabble they were having, would be no gain to him. Thinking this, he would simply ignore the presence of the two, deciding instead to open a book, literally caring nothing for the two, while he leafed through the book.* - Wed Oct  7 05:11:28 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Heh. Are you still the "Hokage" - Wed Oct  7 05:19:08 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Mm. No. I'm not stupid you see. I knew I wasn't ready to be Hokage. - Wed Oct  7 05:19:08 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: I was pressured into that. Not intentionally pressured but. . . - Wed Oct  7 05:19:08 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Erebus was very intimidating. - Wed Oct  7 05:19:08 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Yeah, well he's nothing now. - Wed Oct  7 05:19:08 2015
<br><br><font color=yellow>*Geralt(Chaos Commander2015) Sighing a bit, all of the activity causing him to have a hard time focusing, "If you'd two like to dance, perhaps do it somewhere better fitted for it?" having said such, he had more said his thoughts, than actually be speaking to the two. 

Having thought outloud, he would calmly close his book, blank look on his face as he attempted to walk to the west, towards the empty walkway.* - Wed Oct  7 05:20:00 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: I'm glad he decided to leave after saying that. - Wed Oct  7 05:20:00 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Might of had to spark it on him. - Wed Oct  7 05:20:00 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Bwahahahahah~ - Wed Oct  7 05:20:51 2015
<br><br><font color=yellow>*Geralt(Chaos Commander2015) would be about sixty pages into his book, which he would like to note, isn't a normal, everyday, run of the mill book before looking up and catching sight of Kat.

Looking back down and reading the rest of the page, he would calmly finish it and bring the book shut, looking to her, a blank look resting on his face as he took in the sight infront of him.* - Wed Oct  7 05:53:16 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Hmph. - Wed Oct  7 05:57:32 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Former Konoha shinobi? - Wed Oct  7 05:57:32 2015
<br><br><font color=yellow>*Geralt(Chaos Commander2015) The blank look still on his face he would say in a monotone voice, "I guess you can say that."* - Wed Oct  7 05:57:32 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Why are you still here? - Wed Oct  7 05:58:24 2015
<br><br><font color=teal>*Geralt(Chaos Commander2015) says: Why not? It's peaceful. Everyone else is gone. - Wed Oct  7 05:59:15 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Buildings destroyed. No shops to purchase food.... - Wed Oct  7 05:59:15 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Must be lonely and hard. - Wed Oct  7 05:59:15 2015
<br><br><font color=teal>*Geralt(Chaos Commander2015) says: Lonely? I'm not exactly sure of the concept. I haven't exactly had the need of others. Though food is a bit hard to come by. - Wed Oct  7 06:00:06 2015
<br><br><font color=teal>*Geralt(Chaos Commander2015) thinks: Other humans at least. - Wed Oct  7 06:01:48 2015
<br><br><font color=teal>*Geralt(Chaos Commander2015) says: Well, I'm not exactly a visitor, just a leftover I guess you could say. As for the graveyard statement, I prefer it this way. - Wed Oct  7 06:05:13 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: -- Guess you could say I 'am' a visitor. - Wed Oct  7 06:05:13 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Came to see what was left. How hard and expensive it'd be to recover. - Wed Oct  7 06:05:13 2015
<br><br><font color=teal>*Geralt(Chaos Commander2015) says: Oh? You wouldn't be planning to fix it up would you? - Wed Oct  7 06:06:04 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Some day. - Wed Oct  7 06:06:04 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Maybe soon. Maybe not. - Wed Oct  7 06:06:04 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Been collecting money. Saving up. - Wed Oct  7 06:06:04 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Mercenary work here and there. - Wed Oct  7 06:06:04 2015
<br><br><font color=teal>*Geralt(Chaos Commander2015) says: Guess when you get around to it, I'll have to leave town then. - Wed Oct  7 06:06:56 2015
<br><br><font color=yellow>*Geralt(Chaos Commander2015) His blank face still holding for the time being he would say, "As I said, I prefer it a graveyard. -Good- people and myself don't get along so well." stating such, seeing that this might end up being a longer conversation than he thought, he would slip his book away into his robes.* - Wed Oct  7 06:08:38 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Funny. - Wed Oct  7 06:09:29 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: I know the feeling sometimes. - Wed Oct  7 06:09:29 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Come to think of it -- probably why I like spending time with a certain man so much. - Wed Oct  7 06:09:29 2015
<br><br><font color=teal>*Geralt(Chaos Commander2015) says: Hm? - Wed Oct  7 06:10:20 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Murderer. Like myself. - Wed Oct  7 06:10:20 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: No judgement when your hands are both equally bloody. - Wed Oct  7 06:10:20 2015
<br><br><font color=teal>*Geralt(Chaos Commander2015) says: I see. - Wed Oct  7 06:11:12 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Former murderer anyway. - Wed Oct  7 06:11:12 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Keep my hands clean these days. - Wed Oct  7 06:11:12 2015
<br><br><font color=teal>*Geralt(Chaos Commander2015) says: Oh? - Wed Oct  7 06:11:12 2015
<br><br><font color=teal>*Geralt(Chaos Commander2015) says: That must be terrible for you. - Wed Oct  7 06:12:03 2015
<br><br><font color=teal>*Geralt(Chaos Commander2015) says: No fun at all. - Wed Oct  7 06:12:03 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Na. I miss the fighting and the risk. - Wed Oct  7 06:12:03 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: That's all I miss though. - Wed Oct  7 06:12:03 2015
<br><br><font color=teal>*Geralt(Chaos Commander2015) says: Oh? - Wed Oct  7 06:12:03 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Mhmm. - Wed Oct  7 06:12:03 2015
<br><br><font color=teal>*Geralt(Chaos Commander2015) says: I see. - Wed Oct  7 06:12:03 2015
<br><br><font color=yellow>*Geralt(Chaos Commander2015) A small smirk breaking the corner of his mouth for a slight second before his blank face took over he would say, "I guess I wouldn't know that feeling. I only cause death, I never actually do the killing personally." saying such he would give a very small shrug as if he was talking about everyday activities.* - Wed Oct  7 06:13:45 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Why? Why cause death? - Wed Oct  7 06:13:45 2015
<br><br><font color=teal>*Geralt(Chaos Commander2015) says: Why not? It's always been a thing to keep my family entertained throughout the years, it's part of me. - Wed Oct  7 06:14:36 2015
