<br><font color=teal>*Kinami Hassan(Ninasky115) says: Is that it, Ai? - Mon Dec  7 03:35:28 2015
<br><br><font color=teal>*Tsukinomi(Original Ziare) says: He's really shy. - Mon Dec  7 19:55:05 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: .... - Mon Dec  7 19:55:05 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: ..... - Mon Dec  7 19:55:05 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Hi. - Mon Dec  7 20:01:04 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Yo.! - Mon Dec  7 20:01:04 2015
<br><br><font color=teal>*Tsukinomi(Original Ziare) says: Hello Lady Mirai, I hope you are having an exxellent day. - Mon Dec  7 20:01:04 2015
<br><br><font color=teal>*Tsukinomi(Original Ziare) says: Show me Koji, I wanna see your skills. - Mon Dec  7 20:01:55 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: I'm doing fine Tsuki. - Mon Dec  7 20:05:20 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: How are you doing? - Mon Dec  7 20:05:20 2015
<br><br><font color=teal>*Tsukinomi(Original Ziare) says: I am doing well, thank you for asking, Lady Mirai. - Mon Dec  7 20:07:53 2015
<br><br><font color=yellow>*Tsukinomi(Original Ziare) 's eyes widened with delight as she watched Koji seemingly turn his arms to blurs as he demonstrated a technique. she figured that she would never in a million years be able to replicate what he could do.* - Mon Dec  7 20:13:52 2015
<br><br><font color=yellow>*Tsukinomi(Original Ziare) watched with awe and wide eyes as she clapped for him and his display. As always she was his number one fan. Realizing the time she realized that she was late and had to get to work. "Oh no, I have t go Koji!" she said.* - Mon Dec  7 20:25:48 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: It's fine my Tsuki, next time you'll have to do this But have fun at work. - Mon Dec  7 20:28:22 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Also, don't overwork yourself. - Mon Dec  7 20:28:22 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Hi, Tsuki-chan. - Tue Dec  8 21:09:45 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Hm - Tue Dec  8 21:14:52 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Hrm?It's fine. - Tue Dec  8 21:21:42 2015
<br><br><font color=teal>*Watanabe, Fujiko(Lil Neicey) says: It's not fine. - Tue Dec  8 21:22:33 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: What's not fine?~ - Tue Dec  8 21:22:33 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) thinks: To think.. - Tue Dec  8 21:23:24 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) thinks: I could kill everyone here for no reason.. - Tue Dec  8 21:23:24 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) thinks: Hrm.. - Tue Dec  8 21:23:24 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Don't worry about it. - Tue Dec  8 21:24:16 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Whatever, I s'pose. - Tue Dec  8 21:25:07 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) thinks: Shit. .  - Tue Dec  8 21:25:58 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) thinks: Wish she had said no. - Tue Dec  8 21:26:49 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Decent. - Tue Dec  8 21:26:49 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: 's good. - Tue Dec  8 21:26:49 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: How about you, Priest-Chick/ - Tue Dec  8 21:26:49 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) thinks: . . Ring around the rosey. . A pocket full of--. . .What theh ell is the lyrics? - Tue Dec  8 21:29:23 2015
<br><br><font color=teal>*Watanabe, Fujiko(Lil Neicey) says: I don't speak to those who work for evil. - Tue Dec  8 21:31:05 2015
<br><br><font color=teal>*Watanabe, Fujiko(Lil Neicey) says: You are a necromancer. - Tue Dec  8 21:34:30 2015
<br><br><font color=teal>*Watanabe, Fujiko(Lil Neicey) says: Your are the epitome of evil. - Tue Dec  8 21:34:30 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: My, you feel even more strongly about this than Bryson does, don't you..? Mrm... - Tue Dec  8 21:35:21 2015
<br><br><font color=teal>*Watanabe, Fujiko(Lil Neicey) says: I wouldn't count him out if I were you. - Tue Dec  8 21:35:21 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: So regardless of what I've actually done, I'm the pinnacle of evil? Interesting point of view! Does that make you priests the pinnacle of goodness? - Tue Dec  8 21:35:21 2015
<br><br><font color=teal>*Watanabe, Fujiko(Lil Neicey) says: No. - Tue Dec  8 21:36:12 2015
<br><br><font color=teal>*Watanabe, Fujiko(Lil Neicey) says: I just don't speak to Necromancers. - Tue Dec  8 21:36:12 2015
<br><br><font color=teal>*Watanabe, Fujiko(Lil Neicey) says: I knew right away. - Tue Dec  8 21:37:55 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Ohoho.. I see. Keen senses, and a hateful mind.. Mrm, truly a credit towards Tenryu.. - Tue Dec  8 21:38:46 2015
<br><br><font color=teal>*Watanabe, Fujiko(Lil Neicey) says: I don't hate you. - Tue Dec  8 21:38:46 2015
<br><br><font color=teal>*Watanabe, Fujiko(Lil Neicey) says: If I did i'd vanquish you. - Tue Dec  8 21:38:46 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Mrm... That so..? Mrm... Hah. - Tue Dec  8 21:39:37 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Well, can I at least have a name? - Tue Dec  8 21:42:11 2015
<br><br><font color=teal>*Watanabe, Fujiko(Lil Neicey) says: Fujiko. - Tue Dec  8 21:42:11 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Mitsunara. - Tue Dec  8 21:43:53 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: I look forward.... to our inevitable battle, I suppose. Hopefully, it won't harm our home too badly when it comes to pass... Mrm. - Tue Dec  8 21:44:44 2015
<br><br><font color=teal>*Watanabe, Fujiko(Lil Neicey) says: We have no need to battle. - Tue Dec  8 21:44:44 2015
<br><br><font color=teal>*Watanabe, Fujiko(Lil Neicey) says: So long as you don't utilize your powers. - Tue Dec  8 21:44:44 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Mrm..? Ah.. but you are a priest, and I a necromancer. It is inevitable.. Hrm? - Tue Dec  8 21:44:44 2015
<br><br><font color=teal>*Watanabe, Fujiko(Lil Neicey) says: It's not. - Tue Dec  8 21:45:36 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Oh, that's quite impossible. Though, you'll find my powers far from escoteric. - Tue Dec  8 21:45:36 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: I conjure a sword and stab things, dear. - Tue Dec  8 21:45:36 2015
<br><br><font color=teal>*Watanabe, Fujiko(Lil Neicey) says: That's fine. - Tue Dec  8 21:45:36 2015
<br><br><font color=teal>*Watanabe, Fujiko(Lil Neicey) says: I meant stealing the souls of others. - Tue Dec  8 21:45:36 2015
<br><br><font color=teal>*Watanabe, Fujiko(Lil Neicey) says: Then I will be forced to stop you. - Tue Dec  8 21:47:18 2015
<br><br><font color=teal>*Watanabe, Fujiko(Lil Neicey) says: Once that day arrives. - Tue Dec  8 21:47:18 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Like I said... - Tue Dec  8 21:47:18 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: I'm looking forward to it.~ - Tue Dec  8 21:48:09 2015
<br><br><font color=teal>*Ari, Momura(JustCallMeGnar) says: H-Hello - Tue Dec  8 21:48:09 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Yo, Momura. How's the Pregnancy? - Tue Dec  8 21:49:00 2015
<br><br><font color=teal>*Ari, Momura(JustCallMeGnar) says: M-Mmhmm.. - Tue Dec  8 21:50:43 2015
<br><br><font color=teal>*Ari, Momura(JustCallMeGnar) says: M-Moment they can walk.. - Tue Dec  8 21:50:43 2015
<br><br><font color=teal>*Ari, Momura(JustCallMeGnar) says: T-They'll begin t-training! - Tue Dec  8 21:50:43 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Yeesh... - Tue Dec  8 21:51:34 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: And here I thought, my parents where harsh, eh? - Tue Dec  8 21:51:34 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Mrm... Heh, I'm sure they'll be as great in a fight as their mom. Maybe better, in time. - Tue Dec  8 21:52:25 2015
<br><br><font color=teal>*Ari, Momura(JustCallMeGnar) says: W-Well with the w-world being h-how it is..I-Izanami started at the a-age of four.. - Tue Dec  8 21:52:25 2015
<br><br><font color=teal>*Claudette(Kumaki) says: What brings me to Suna? Hm.. Just a little travel I guess?  - Tue Dec  8 22:00:57 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Ah, I see. Mrm, oh! - Tue Dec  8 22:00:57 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: What's with the adorable babies? - Tue Dec  8 22:00:57 2015
<br><br><font color=teal>*Claudette(Kumaki) says: They're my children.  - Tue Dec  8 22:00:57 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Ah, I see! - Tue Dec  8 22:01:48 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: What adorable little ones. - Tue Dec  8 22:01:48 2015
<br><br><font color=teal>*Claudette(Kumaki) says: Thank you.. - Tue Dec  8 22:01:48 2015
<br><br><font color=teal>*Claudette(Kumaki) thinks: If I say that.. Mmmh..  - Tue Dec  8 22:03:31 2015
<br><br><font color=teal>*Claudette(Kumaki) says: Uhm...  - Tue Dec  8 22:03:31 2015
<br><br><font color=teal>*Claudette(Kumaki) thinks: Can I say it...? - Tue Dec  8 22:04:22 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Ah, probably no one I'd know, anyway, right? - Tue Dec  8 22:04:22 2015
<br><br><font color=teal>*Claudette(Kumaki) thinks: Will she punish me..?  - Tue Dec  8 22:04:22 2015
<br><br><font color=teal>*Claudette(Kumaki) says: Ah... Uhm yes..  - Tue Dec  8 22:04:22 2015
<br><br><font color=teal>*Claudette(Kumaki) says: A.. Meal... Uhm.. No thanks..  - Tue Dec  8 22:11:12 2015
<br><br><font color=teal>*Claudette(Kumaki) says: I'm fine..  - Tue Dec  8 22:11:12 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Ah, a'right then. - Tue Dec  8 22:11:12 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: See you around, I s'pose, then. - Tue Dec  8 22:11:12 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Everything is fine I suppose. - Tue Dec  8 22:35:05 2015
<br><br><font color=teal>*Hokuma, Mizora(Dandere-chan) says: Mmm, that's good! - Tue Dec  8 22:35:56 2015
<br><br><font color=teal>*Hokuma, Mizora(Dandere-chan) says: Oh yeah, this is Ketsuki. I had her about.. ten months after the last time we saw eachother, I believe? - Tue Dec  8 22:36:48 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) thinks: Wow. . .She has a kid too. . .  - Tue Dec  8 22:43:37 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: She's cute. - Tue Dec  8 22:44:28 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: My kids are asleep. - Tue Dec  8 22:44:28 2015
<br><br><font color=teal>*Hokuma, Mizora(Dandere-chan) says: How many did you have? I'm probably sticking with only Ketsuki..~ - Tue Dec  8 22:45:20 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: I have twins. - Tue Dec  8 22:46:11 2015
<br><br><font color=teal>*Hokuma, Mizora(Dandere-chan) says: Mm. - Tue Dec  8 22:47:53 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: Hola all. - Tue Dec  8 22:48:44 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: ... - Tue Dec  8 22:49:36 2015
<br><br><font color=teal>*Hokuma, Mizora(Dandere-chan) says: Hi, Ai. - Tue Dec  8 22:49:36 2015
<br><br><font color=teal>*Claudette(Kumaki) thinks: I wanna talk with a lot of them badly... I wonder where -he- is.. Mmh.. Somewhere around.. Or on a mission as.. Usual...  - Tue Dec  8 23:00:41 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: Hows it going guys? - Tue Dec  8 23:04:06 2015
<br><br><font color=teal>*Hiroshi(Marchie15) thinks: Most the time... - Tue Dec  8 23:04:57 2015
<br><br><font color=teal>*Claudette(Kumaki) thinks: Ah.. Him again.. mmh.  - Tue Dec  8 23:04:57 2015
<br><br><font color=teal>*Hokuma, Mizora(Dandere-chan) says: -omit- - Tue Dec  8 23:04:57 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: How's it going Trill? - Tue Dec  8 23:04:57 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: Eh could be better so hows it going guys. - Tue Dec  8 23:07:31 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Eh, I have no complaints here. - Tue Dec  8 23:07:31 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: Hmmm you know our graduation is coming up right. - Tue Dec  8 23:08:22 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Yup yup. - Tue Dec  8 23:08:22 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: I have even been going to class man. - Tue Dec  8 23:08:22 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: We will finaly be free of school. - Tue Dec  8 23:08:22 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Hell yea. - Tue Dec  8 23:08:22 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: I'm so tired of it. - Tue Dec  8 23:08:22 2015
<br><br><font color=teal>*Ryutou, Ketsuki(SephirothRaged) says: Man... - Tue Dec  8 23:08:22 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: Well of course  if your not going to secondary school. - Tue Dec  8 23:08:22 2015
<br><br><font color=teal>*Hiroshi(Marchie15) thinks: Lucky - Tue Dec  8 23:09:13 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Ah.. too be young again. - Tue Dec  8 23:09:13 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Secondary school? - Tue Dec  8 23:09:13 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: What are you talking about? - Tue Dec  8 23:09:13 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) thinks: I swear if I have to go to school anymore. . . . - Tue Dec  8 23:09:13 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: Yeah its for everyone between the ages of 15 and 18. - Tue Dec  8 23:10:04 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: . . .  - Tue Dec  8 23:10:04 2015
<br><br><font color=teal>*Hokuma, Mizora(Dandere-chan) thinks: Hah! - Tue Dec  8 23:10:04 2015
<br><br><font color=teal>*Hokuma, Mizora(Dandere-chan) thinks: -omit- - Tue Dec  8 23:10:04 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: You serious? - Tue Dec  8 23:10:04 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: You can't be serious. - Tue Dec  8 23:10:04 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: Yup its not mandotory like primary though. - Tue Dec  8 23:10:04 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: It's not! - Tue Dec  8 23:10:04 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Pssshhh I am not going then. - Tue Dec  8 23:10:56 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: But I here they teach you some very cool stuff. - Tue Dec  8 23:10:56 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: I'll be ok. - Tue Dec  8 23:10:56 2015
<br><br><font color=teal>*Claudette(Kumaki) thinks: They even make them all go to school now aswell? Damn..  - Tue Dec  8 23:10:56 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: Like super advanced Ninja stuff. - Tue Dec  8 23:10:56 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) thinks: I'm done with this school shit. . . .  - Tue Dec  8 23:10:56 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Eh, I can learn it somewhere. - Tue Dec  8 23:10:56 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: I am done with school. - Tue Dec  8 23:10:56 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: Aww man...Well that sucks. - Tue Dec  8 23:12:38 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: You like school Trill? - Tue Dec  8 23:14:20 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: ? - Tue Dec  8 23:16:03 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: Eh its  all right plus other people do my owrk so yeah..  - Tue Dec  8 23:17:45 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: . . .  - Tue Dec  8 23:18:36 2015
<br><br><font color=teal>*Claudette(Kumaki) thinks: What does she want from Izanami... Mmh.. - Tue Dec  8 23:18:36 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: You have people doing your work? - Tue Dec  8 23:18:36 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Hrm? Well, it's worth testing, no? - Tue Dec  8 23:22:01 2015
<br><br><font color=teal>*Claudette(Kumaki) thinks: .. mmmhh.. Mitsu aswell.. Hm..  - Tue Dec  8 23:23:44 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: You're the Doctor, I'll trust you here. - Tue Dec  8 23:25:26 2015
<br><br><font color=teal>*Claudette(Kumaki) thinks: That bitch.. Taking my job.  - Tue Dec  8 23:26:17 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: Yes sweetie?~ - Tue Dec  8 23:33:07 2015
<br><br><font color=teal>*Hokuma, Mizora(Dandere-chan) says: Hm? - Tue Dec  8 23:33:07 2015
<br><br><font color=teal>*Ryutou, Ketsuki(SephirothRaged) says: Ahh... Mrm.. - Tue Dec  8 23:33:58 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Hi, Koji. - Tue Dec  8 23:36:32 2015
<br><br><font color=teal>*Claudette(Kumaki) thinks: Ah.. Hm... To bad that one had gone to waste now...  - Tue Dec  8 23:36:32 2015
<br><br><font color=teal>*Hokuma, Mizora(Dandere-chan) says: Sleepy? - Tue Dec  8 23:39:05 2015
<br><br><font color=teal>*Ryutou, Ketsuki(SephirothRaged) says: Nuh uh! - Tue Dec  8 23:39:56 2015
<br><br><font color=teal>*Claudette(Kumaki) thinks: I really wonder when they'll find out.. Heh...  - Tue Dec  8 23:40:48 2015
<br><br><font color=teal>*Hokuma, Mizora(Dandere-chan) says: Mmm, if you say so.~ - Tue Dec  8 23:42:30 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Be careful Koji. - Tue Dec  8 23:43:21 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: I'll do meh best. - Tue Dec  8 23:44:12 2015
<br><br><font color=teal>*Claudette(Kumaki) thinks: Just as quiet here.. As it is there... I'll.. Check out the hospital. - Tue Dec  8 23:52:44 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Cute baby Mizora. - Wed Dec  9 00:02:08 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: What's her name? - Wed Dec  9 00:02:08 2015
<br><br><font color=teal>*Ryutou, Mizora(Dandere-chan) says: Ketsuki. - Wed Dec  9 00:05:32 2015
<br><br><font color=teal>*Ryutou, Ketsuki(SephirothRaged) says: Ket-sukii! - Wed Dec  9 00:05:32 2015
<br><br><font color=teal>*Ryutou, Mizora(Dandere-chan) thinks: is my child a pokemon. - Wed Dec  9 00:06:24 2015
<br><br><font color=teal>*Ryutou, Mizora(Dandere-chan) thinks: -omit- - Wed Dec  9 00:06:24 2015
<br><br><font color=teal>*Ryutou, Ketsuki(SephirothRaged) says: Haha! Tank yuu! - Wed Dec  9 00:06:24 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: *laughs*  I can't wait until I get a little older and have a child of my own. - Wed Dec  9 00:08:06 2015
<br><br><font color=teal>*Ryutou, Mizora(Dandere-chan) says: Boy or girl? I personally wanted a daughter, and I got one, so... - Wed Dec  9 00:08:57 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: It doesn't matter to me. - Wed Dec  9 00:09:48 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: I'll be happy either way.~ - Wed Dec  9 00:09:48 2015
<br><br><font color=teal>*Tsukinomi(Original Ziare) says: Hello every! - Wed Dec  9 00:11:31 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Hey there Dr. Tsuki. - Wed Dec  9 00:12:22 2015
<br><br><font color=teal>*Tsukinomi(Original Ziare) says: That's Dr. Tsuki P.H.D - Wed Dec  9 00:12:22 2015
<br><br><font color=teal>*Tsukinomi(Original Ziare) says: Hahaha! - Wed Dec  9 00:12:22 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: *laughs*  I got it. - Wed Dec  9 00:12:22 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Hey there Dr. Tsuki P.H.D. - Wed Dec  9 00:13:13 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: How is that? - Wed Dec  9 00:13:13 2015
<br><br><font color=teal>*Ari, Momura(JustCallMeGnar) says: H-Hello hideo. - Wed Dec  9 00:14:04 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Hmm? - Wed Dec  9 00:14:04 2015
<br><br><font color=teal>*Tsukinomi(Original Ziare) says: Exellent! - Wed Dec  9 00:14:04 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Oh hey Momu. - Wed Dec  9 00:14:04 2015
<br><br><font color=yellow>*Tsukinomi(Original Ziare) gave him her over enthusiastic thumbs up as usual.* - Wed Dec  9 00:14:04 2015
<br><br><font color=teal>*Ari, Momura(JustCallMeGnar) says: N-Notice anything d-different? - Wed Dec  9 00:14:04 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) thinks: Whoa. . Can't miss that. - Wed Dec  9 00:15:47 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: You got fat? - Wed Dec  9 00:15:47 2015
<br><br><font color=teal>*Ari, Momura(JustCallMeGnar) says: ... - Wed Dec  9 00:15:47 2015
<br><br><font color=teal>*Tsukinomi(Original Ziare) says: No! - Wed Dec  9 00:15:47 2015
<br><br><font color=teal>*Tsukinomi(Original Ziare) says: She's pregnant. - Wed Dec  9 00:15:47 2015
<br><br><font color=teal>*Ryutou, Mizora(Dandere-chan) thinks: She's a little too young to be pregnant. - Wed Dec  9 00:15:47 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: So you are pregnant huh? - Wed Dec  9 00:15:47 2015
<br><br><font color=teal>*Ryutou, Mizora(Dandere-chan) thinks: I won't say anything. - Wed Dec  9 00:15:47 2015
<br><br><font color=teal>*Ryutou, Mizora(Dandere-chan) says: Ah... congratulations, Momura! - Wed Dec  9 00:15:47 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: Hmm. - Wed Dec  9 00:16:38 2015
<br><br><font color=teal>*Ari, Momura(JustCallMeGnar) says: Y-Yep.. - Wed Dec  9 00:16:38 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: Wow all the babies around here. - Wed Dec  9 00:16:38 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Congrats. . I think. - Wed Dec  9 00:16:38 2015
<br><br><font color=teal>*Ari, Momura(JustCallMeGnar) says: H-Hanai was like, "w-we should have a baby." - Wed Dec  9 00:16:38 2015
<br><br><font color=teal>*Ari, Momura(JustCallMeGnar) says: S-So I was like, "okay." - Wed Dec  9 00:16:38 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: So who is coming to gradution.' - Wed Dec  9 00:16:38 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: That's all the convincing you needed? - Wed Dec  9 00:17:29 2015
<br><br><font color=teal>*Ari, Momura(JustCallMeGnar) says: P-Pretty much. - Wed Dec  9 00:17:29 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: *laughs*  So you wanted a kid too.  Obviously. - Wed Dec  9 00:17:29 2015
<br><br><font color=teal>*Claudette(Kumaki) thinks: Everybody gets pregnant out of nowhere.. Just after I had had my kids..Mhm.... - Wed Dec  9 00:19:12 2015
<br><br><font color=teal>*Ari, Momura(JustCallMeGnar) says: T-Two. - Wed Dec  9 00:19:12 2015
<br><br><font color=teal>*Ari, Momura(JustCallMeGnar) says: O-One's a girl..O-One's a boy. - Wed Dec  9 00:19:12 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Whoa, twins huh? - Wed Dec  9 00:19:12 2015
<br><br><font color=teal>*Ari, Momura(JustCallMeGnar) says: I g-gotta get to t-training after I-I have the--..N-Nope. - Wed Dec  9 00:19:12 2015
<br><br><font color=teal>*Ari, Momura(JustCallMeGnar) says: T-They're just kinda t-there..I guess.. - Wed Dec  9 00:19:12 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Whaaaa? - Wed Dec  9 00:19:12 2015
<br><br><font color=teal>*Claudette(Kumaki) thinks: I wonder where Master is though... I.. Might ask them... But I'm not sure... Should I still call him master..? I don't know... - Wed Dec  9 00:20:03 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) thinks: How the hell does that work? - Wed Dec  9 00:20:03 2015
<br><br><font color=teal>*Claudette(Kumaki) thinks: I'll.. Ask them... Perhaps... Yes..  - Wed Dec  9 00:20:54 2015
<br><br><font color=teal>*Claudette(Kumaki) says: It doesn't matter. He knows me... Seen him?  - Wed Dec  9 00:24:19 2015
<br><br><font color=teal>*Claudette(Kumaki) thinks: As do all of you guys... Well, most..  - Wed Dec  9 00:24:19 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: I don't know where he is but you could have at least given me your name. - Wed Dec  9 00:24:19 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Hmm, I am Hiroshi. - Wed Dec  9 00:26:01 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Nice to finally get your name. - Wed Dec  9 00:26:01 2015
<br><br><font color=teal>*Claudette(Kumaki) says: Mhm.  - Wed Dec  9 00:26:01 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: What do you need Fuji-San for anyway? - Wed Dec  9 00:26:01 2015
<br><br><font color=teal>*Claudette(Kumaki) says: Just need a little talk with him.  - Wed Dec  9 00:26:01 2015
