<br><font color=teal>*Yukimura, Seisuke(Jjking218) says: And it'd be a secret. - Tue Sep 29 04:43:18 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) whispers: And to ask me and tell me this. - Tue Sep 29 21:46:27 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) whispers: You obviously want something. - Tue Sep 29 21:47:18 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Baen. - Tue Sep 29 21:47:18 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Baen. - Tue Sep 29 21:48:09 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Can I ask you a question. - Tue Sep 29 21:48:09 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Sure. - Tue Sep 29 21:48:09 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) whispers: I'd help. - Tue Sep 29 21:48:09 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) whispers: I'd just like some of your time in exchange. - Tue Sep 29 21:49:00 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Do you remeber anything about the people Kirigakure hunted with the white eyes? - Tue Sep 29 21:49:00 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) whispers: I've been looking for a swimming parthner. - Tue Sep 29 21:49:00 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: I don't swim, not with creeps like you. - Tue Sep 29 21:49:00 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) whispers: You know. - Tue Sep 29 21:49:00 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) whispers: I'm trying to be nice here. - Tue Sep 29 21:49:52 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Like Zhen? - Tue Sep 29 21:49:52 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Not really. I heard about it. - Tue Sep 29 21:49:52 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Zhen? - Tue Sep 29 21:49:52 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) whispers: Hm, I want your body. - Tue Sep 29 21:49:52 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: ... - Tue Sep 29 21:50:43 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) whispers: When you die. - Tue Sep 29 21:50:43 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Because now with the bounty of the pirple eyes im starting to wonder if there are any more people left when those types of eyes. - Tue Sep 29 21:50:43 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) whispers: Does it matter? You'll be dead. - Tue Sep 29 21:50:43 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: purple* - Tue Sep 29 21:50:43 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Oh yeah, I heard about that. - Tue Sep 29 21:51:34 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Yeah. - Tue Sep 29 21:51:34 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Do you know anyone with eyes like that? Should probably let em know if you haven't already. - Tue Sep 29 21:51:34 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Very nice cash reward but a hastle to say the least wouldn't you agree? - Tue Sep 29 21:52:25 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: According to violet there was a white haired kid that had them - Tue Sep 29 21:52:25 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: Please do. - Tue Sep 29 21:52:25 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: And someone named Ikarus. - Tue Sep 29 21:52:25 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) whispers: Well let's go. - Tue Sep 29 21:52:25 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: Mmm..I'd not like to go alone with you.. - Tue Sep 29 21:52:25 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: So. - Tue Sep 29 21:52:25 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Eh. - Tue Sep 29 21:53:16 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Kirie will kill me if I do anything. - Tue Sep 29 21:53:16 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: She's your best bet. - Tue Sep 29 21:53:16 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: Kirie, new guy. - Tue Sep 29 21:53:16 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: Come with us? - Tue Sep 29 21:53:16 2015
<br><br><font color=yellow>*Al-Saachez, Kirie(AxelFraire) looked over at Seisuke "Huh? Where are we going again?"* - Tue Sep 29 21:53:16 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: To see himura I gusss, where-ever he is hiding. - Tue Sep 29 21:54:08 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Oh.. - Tue Sep 29 21:54:08 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Totally - Tue Sep 29 21:54:08 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: That bounty is as good as mine. - Tue Sep 29 21:54:08 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Baen is probably busy. - Tue Sep 29 21:54:08 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Let's just go. - Tue Sep 29 21:54:08 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Ikarus? - Tue Sep 29 21:54:08 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: With the Hammer? - Tue Sep 29 21:54:08 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Interesting.  - Tue Sep 29 21:54:08 2015
<br><br><font color=yellow>*Al-Saachez, Kirie(AxelFraire) glanced over at Baen "Hopefully you can stay around loger this time. Yeah ask Violet she knows him I think."* - Tue Sep 29 21:54:08 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: Fine. - Tue Sep 29 21:54:59 2015
<br><br><font color=yellow>*Al-Saachez, Kirie(AxelFraire) followed after Seisuke.* - Tue Sep 29 21:54:59 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Oh, I hate Violet. - Tue Sep 29 21:54:59 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: But thanks though. - Tue Sep 29 21:54:59 2015
<br><br><font color=yellow>*Al-Saachez, Kirie(AxelFraire) looked at the water confused just like Kohaku "Did he escape through the waterway?"* - Tue Sep 29 21:56:41 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Yep, he used a technique to make a cavern underwater, I saw him enter earlier. - Tue Sep 29 21:56:41 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I don't know where it leads, but, *shrug* - Tue Sep 29 21:56:41 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: If you want to follow that's on you. - Tue Sep 29 21:56:41 2015
<br><br><font color=yellow>*Al-Saachez, Kirie(AxelFraire) executed the clone handseal and made a clone of herself "Oi go check it out." she told her clone and this one did what it was told and dove underwater "What was he wearing?" she would ask Seisuke as she waited for her clone to emerge.* - Tue Sep 29 21:57:32 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Chunnin Vest with black pants. - Tue Sep 29 21:57:32 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Kohaku. - Tue Sep 29 21:58:24 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: What was he last wearing when you saw him? - Tue Sep 29 21:58:24 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: His regular clothing. - Tue Sep 29 21:58:24 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: Ya'know, his every-day stuff. - Tue Sep 29 21:58:24 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: I never looked at him enough to know what his 'regular clothing' is. - Tue Sep 29 21:59:15 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: I think white hoodie. - Tue Sep 29 21:59:15 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: And black pants. - Tue Sep 29 21:59:15 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Hmm. - Tue Sep 29 21:59:15 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: I can already take guesses on why you want my body when I'm dead, Blondie. - Tue Sep 29 22:00:06 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Though, I'm a reasonable man. - Tue Sep 29 22:00:57 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I'll make you an alternative offer. - Tue Sep 29 22:00:57 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: No you can't have my body as I am now. - Tue Sep 29 22:00:57 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Cause since I've told you this much, I'm taking your body when you die. - Tue Sep 29 22:00:57 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: My offer is as stands. - Tue Sep 29 22:00:57 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: What's your alternative offer then? - Tue Sep 29 22:00:57 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Take off all your clothing and hop into the water, and I won't touch you when you're dead. And it stays a secret. - Tue Sep 29 22:01:48 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: *nod* - Tue Sep 29 22:01:48 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: You just wanna see me naked. - Tue Sep 29 22:01:48 2015
<br><br><font color=yellow>*Al-Saachez, Kirie(AxelFraire) looked around as her clone was still under the water "Hmmm." she would hum to herself as if thinking "Yeah this wont do." she muttered as she brought her hands up to execute the Tiger handseal and made three water clones of herself  using the nearby river as a source for the jutsu. She would look at each clone "Spread out." she would tell them "Do to the limit of your range to see if you see him, he might still be around." she told them.

One clone moved up, the other went down and the other one attempted to go over the wall.* - Tue Sep 29 22:01:48 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: That was definately my intention. - Tue Sep 29 22:01:48 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: What about kirie? - Tue Sep 29 22:02:40 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: She's got a more mature body then me. - Tue Sep 29 22:02:40 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: She can join you if she wants. - Tue Sep 29 22:02:40 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: But. - Tue Sep 29 22:02:40 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I have an interest in you. - Tue Sep 29 22:03:31 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: Don't you have a girlfriend? - Tue Sep 29 22:03:31 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: She doesn't have to know. - Tue Sep 29 22:03:31 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: ... - Tue Sep 29 22:03:31 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: Well, kirie. - Tue Sep 29 22:03:31 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: If you find him. - Tue Sep 29 22:03:31 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: Let me know. - Tue Sep 29 22:03:31 2015
<br><br><font color=yellow>*Al-Saachez, Kirie(AxelFraire) was still commanding her clones when she saw what was happening before her and sprung into action. She would dissolve her water clones as she would be moving forward and would be out of range out of two of the three clones she had created. Her shadow clone however would still be searching the water way with Kohakus clone. Approching the pinned Kohaku she would look at Seisuke with a smirk on her face since when she got close enough she would deliver a kick toward Kohakus head/face which ever was facing her at the moment.

"This is not how I pictured it but it is one way of doing it." she commented toward Seisuke who was pinning and sealing Kohaku up "What is the next step?" she would ask Seisuke as this was not the way she had planned things out in her head but things has still worked out in the end.* - Tue Sep 29 22:24:51 2015
<br><br><font color=yellow>*Al-Saachez, Kirie(AxelFraire) brought her right foot to step on Kohakus head "Like I said, you have been a pain in my ass just like Himura is. If you make a threat to someone you better follow through with it." She would then bring her foot up and stomped on the side of Kohaku's head/face which ever had been facing her due to the sturggle she was putting up "Oi Seisuke."* - Tue Sep 29 22:35:05 2015
<br><br><font color=yellow>*Al-Saachez, Kirie(AxelFraire) \\Kohaku forgets that Kirie had a shadow clone of herself underwater as well and would not have easily let the clone who was moving underwater which is difficult enough due to the water resistance. As soon as the clone saw Kohaku's clone go on the move she would move to intercept it but if that did not work and the clone somehow by the grace of whatever diety she believed in holy Kirie would heard the splashing of the water which caused her to turn toward the clone who would need to make handseals to shot out the Phoenix flower jutsu and simply did a barage of handseals herself as she molded and kneeded her chakra inside her stomatch then brought it out of her mouth as a stream of water that would intercept the fireballs.

Knowing the jutsus herself she would know that the fireballs could be controlled by the users chakra so she would be ready to move her head to where the fireballs would move.* - Tue Sep 29 22:46:11 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) thinks: Kenshin..will be..so..angry..with..me..Damn..it.. - Tue Sep 29 22:50:27 2015
<br><br><font color=yellow>*Al-Saachez, Kirie(AxelFraire) followed after Seisuke moving silently as she kept her sensing abilities trained on the area around her.* - Tue Sep 29 22:50:27 2015
<br><br><font color=yellow>*Al-Saachez, Kirie(AxelFraire) Before she followed she made sure THERE WERE NO WITNESSES as she did not want to be metagamed and had Kenshin go full on sanic on their ass. Once she made sure there wasn't any she would follow after Seisuke.
* - Tue Sep 29 22:52:09 2015
<br><br><font color=yellow>*Al-Saachez, Kirie(AxelFraire) pulls out some ninja wire from her backpouch and would throw it up in the air toward Kohaku. She would use chakra to control the ninja wire to wrap around Kohaku even though she was already binded and sealed up she wanted to be extra cautious about it. Once the wires had been secured tightly around her body she would then proceed to tie her to the cave wall as she kept her sensing abilities focused on Seisuke and Kohaku as a precautionary measure.* - Tue Sep 29 23:01:32 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Don't dismember her, or kill her. - Tue Sep 29 23:03:15 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I have a lot...I'd like to do first. - Tue Sep 29 23:03:15 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Don't worry the wire is not tight enough to cut into her skin. - Tue Sep 29 23:03:15 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Go for it. - Tue Sep 29 23:03:15 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: What do you have planned? - Tue Sep 29 23:03:15 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Hmm? - Tue Sep 29 23:04:57 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Harvest her DNA? - Tue Sep 29 23:04:57 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Honestly. - Tue Sep 29 23:04:57 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Uhuh.... - Tue Sep 29 23:05:48 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I'm contemplating sending her into. - Tue Sep 29 23:05:48 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Go on. - Tue Sep 29 23:05:48 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: The Gezo. - Tue Sep 29 23:05:48 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: hen again. - Tue Sep 29 23:05:48 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Then* - Tue Sep 29 23:05:48 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: You'll never get to see a Human being's reaction to fear. - Tue Sep 29 23:05:48 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Hmm. - Tue Sep 29 23:06:40 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: I know what fear is like. - Tue Sep 29 23:06:40 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: How would you torture her? - Tue Sep 29 23:06:40 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: But I would just like to remind you that we had a deal. - Tue Sep 29 23:06:40 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Without dismembering her? - Tue Sep 29 23:06:40 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: At first I would hesitte. - Tue Sep 29 23:06:40 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Hesitate* - Tue Sep 29 23:06:40 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: But then I would be more open to the idea. - Tue Sep 29 23:07:31 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: For now. - Tue Sep 29 23:07:31 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: She's yours to toy with. - Tue Sep 29 23:07:31 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: But don't inflict any permanent injuries on her person. - Tue Sep 29 23:07:31 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Hmm. - Tue Sep 29 23:08:22 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Fair enough. - Tue Sep 29 23:08:22 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Then again. - Tue Sep 29 23:10:04 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: She wouldn't fetch me a decent price. - Tue Sep 29 23:10:04 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Maybe I should sell her as a slave? - Tue Sep 29 23:10:56 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Keep her as your pet? - Tue Sep 29 23:10:56 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I have no need for pets. - Tue Sep 29 23:10:56 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I don't care much for slaves. - Tue Sep 29 23:10:56 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: The harvest her DNA and dispose of her. - Tue Sep 29 23:10:56 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: If I do that, I minds well as take my time then. - Tue Sep 29 23:11:47 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I'd rather have a medic here for taking her apart. - Tue Sep 29 23:11:47 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: ... - Tue Sep 29 23:11:47 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: You said Zenaki was good for that type of job. - Tue Sep 29 23:11:47 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: She is. - Tue Sep 29 23:12:38 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: The problem is getting to her. - Tue Sep 29 23:12:38 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Then again. - Tue Sep 29 23:12:38 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Why don't you give Kohaku here, a decision? - Tue Sep 29 23:12:38 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: She is most likely with Fujitor= - Tue Sep 29 23:12:38 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: She can be your pet, or get dismembered. - Tue Sep 29 23:12:38 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: That would be a wise decision actually. - Tue Sep 29 23:12:38 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Make a decision, Chibi-girl. - Tue Sep 29 23:12:38 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Kirie. - Tue Sep 29 23:23:44 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I'll let you have your fun with her. - Tue Sep 29 23:23:44 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Make sure not to damage her. - Tue Sep 29 23:23:44 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I'm not sure what a client would like to do to her, and I'd rather not have her soiled. - Tue Sep 29 23:24:35 2015
<br><br><font color=yellow>*Al-Saachez, Kirie(AxelFraire) watched as he walked off "... You must understand that given the situation I still do not trust yu fully Seisuke-" and the bird was sent off >Shit.< she thought to herself as she walked over to him and placed a hand on his shoulder "We need to speak." she simply told him as she removed her hand from his shoulder and waited for him to walk foward so that she could follow.* - Tue Sep 29 23:27:08 2015
<br><br><font color=yellow>*Al-Saachez, Kirie(AxelFraire) walked foward and turned around not giving her back toward him "Follow me." she told him as she focused her sensing abilities on him.* - Tue Sep 29 23:28:51 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) thinks: Kenshin'll..Come for me.. - Tue Sep 29 23:29:42 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) whispers: Forgive my paranoia but who was that message sent to? - Tue Sep 29 23:29:42 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) thinks: No need..to worry..He will race here..And punt these two.. - Tue Sep 29 23:29:42 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) whispers: She is Kenshins stuent - Tue Sep 29 23:29:42 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) whispers: An old pal, known as Erebus. - Tue Sep 29 23:29:42 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) whispers: The last thing I need if for him to be speeding his way over here - Tue Sep 29 23:29:42 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) whispers: He probably won't mind taking her eyes. - Tue Sep 29 23:29:42 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) whispers: He only needs her body. - Tue Sep 29 23:30:33 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) whispers: Hmmm. - Tue Sep 29 23:30:33 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) whispers: What do you want to do. - Tue Sep 29 23:30:33 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) whispers: Tell me the whole plan. - Tue Sep 29 23:30:33 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) whispers: I do not want to be left out. - Tue Sep 29 23:30:33 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) whispers: I'm going to sell her. - Tue Sep 29 23:31:24 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) whispers: And take out her eyes. - Tue Sep 29 23:31:24 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Whisper Is that it? - Tue Sep 29 23:31:24 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) whispers: Is that it? - Tue Sep 29 23:31:24 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) whispers: Did you really want to play with her that much~? - Tue Sep 29 23:31:24 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) whispers: I just want her eyes. - Tue Sep 29 23:32:16 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) whispers: And to kill her. - Tue Sep 29 23:32:16 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) whispers: SHe has been pissing me off more than Himura has. - Tue Sep 29 23:32:16 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) whispers: Killing her may not be possible. - Tue Sep 29 23:32:16 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) whispers: The eye yes. - Tue Sep 29 23:32:16 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) whispers: I would take the latter since her clan was hunted in the past before for a reason. - Tue Sep 29 23:33:07 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) whispers: I feel like I deserve a hug and a kiss, for being so helpful. - Tue Sep 29 23:33:07 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) whispers: The best you get at the moment is a pat in the back. - Tue Sep 29 23:33:07 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) whispers: At the moment~? - Tue Sep 29 23:33:58 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) whispers: We'll see what happens later on if things go smoothly. - Tue Sep 29 23:33:58 2015
<br><br><font color=yellow>*Al-Saachez, Kirie(AxelFraire) patted him on the back twice* - Tue Sep 29 23:33:58 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) whispers: One more thing. - Tue Sep 29 23:35:40 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) whispers: I would suggest moving her to Kumogaure. - Tue Sep 29 23:35:40 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) whispers: Or another village. - Tue Sep 29 23:36:32 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: ... - Tue Sep 29 23:36:32 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) whispers: A cave is too obvious - Tue Sep 29 23:36:32 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) whispers: We can knock her out again. - Tue Sep 29 23:36:32 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) whispers: transport her. - Tue Sep 29 23:36:32 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) whispers: and keep her inside of a house there. - Tue Sep 29 23:36:32 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) whispers: No this cave is cut off. - Tue Sep 29 23:37:23 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) whispers: I do not think- - Tue Sep 29 23:37:23 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) whispers: Humor me. - Tue Sep 29 23:37:23 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) whispers: Well it will be in a few days. - Tue Sep 29 23:37:23 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) whispers: It is kenshin we are talking about - Tue Sep 29 23:37:23 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I plan on setting up a barrier. - Tue Sep 29 23:37:23 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) whispers: I can set up a barrier around it. - Tue Sep 29 23:37:23 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) whispers: How so? - Tue Sep 29 23:37:23 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) whispers: Five seal barrier. - Tue Sep 29 23:37:23 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) whispers: But I do not think it would be enough to hold Kenshin off. - Tue Sep 29 23:38:14 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Could you teach me that technique? - Tue Sep 29 23:39:05 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) whispers: Sure. - Tue Sep 29 23:39:05 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) whispers: Just not at the moment. - Tue Sep 29 23:39:05 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) thinks: He's probably on his way now.. - Tue Sep 29 23:39:56 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) thinks: Coming..to save me. - Tue Sep 29 23:39:56 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) thinks: Yes.. - Tue Sep 29 23:39:56 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) whispers: Listen I end up losing if I betray you and you have nothing to lose as I am a nobody that will not be missed. - Tue Sep 29 23:39:56 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) thinks: They don't..stand a chance.. - Tue Sep 29 23:39:56 2015
