<br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: What? - Wed Oct  7 22:11:12 2015
<br><br><font color=teal>*ANBU Agent(X_Jake From State Farm_X) says: We care little about 'Seisuke'. - Thu Oct  8 00:19:12 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: He wore an orange mask. - Thu Oct  8 00:19:12 2015
<br><br><font color=teal>*ANBU Agent(X_Jake From State Farm_X) thinks: a pawn and nothing more. - Thu Oct  8 00:19:12 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: More imprortantly I came to be of service when ever you might need a sacrificial lamb. - Thu Oct  8 00:20:03 2015
<br><br><font color=teal>*ANBU Agent(X_Jake From State Farm_X) says: And what makes you so qualified or even desireable? - Thu Oct  8 00:20:03 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Hmm. - Thu Oct  8 00:20:03 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: I do not know. - Thu Oct  8 00:20:03 2015
<br><br><font color=teal>*ANBU Agent(X_Jake From State Farm_X) says: then your services aren't needed. - Thu Oct  8 00:20:54 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Before I leave. - Thu Oct  8 00:21:45 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: I can see that Kohaku is in that building you came out of. - Thu Oct  8 00:21:45 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: How is she doing? - Thu Oct  8 00:21:45 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: She still annoying as fuck? - Thu Oct  8 00:21:45 2015
<br><br><font color=teal>*ANBU Agent(X_Jake From State Farm_X) says: Yes. - Thu Oct  8 00:22:36 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Hmm. - Thu Oct  8 00:22:36 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: I see. - Thu Oct  8 00:22:36 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Shame. - Thu Oct  8 00:22:36 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Well if you ever need information on Sunagakure and Kumogakure I'll be around. - Thu Oct  8 00:23:28 2015
<br><br><font color=teal>*ANBU Agent(X_Jake From State Farm_X) says: Mmm... - Thu Oct  8 00:24:19 2015
<br><br><font color=teal>*ANBU Agent(X_Jake From State Farm_X) says: Probably not. - Thu Oct  8 00:24:19 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Very well. - Thu Oct  8 00:24:19 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Sorry to have bothered you from whatever you were doing to Kohaku. - Thu Oct  8 00:24:19 2015
<br><br><font color=yellow>*Al-Saachez, Kirie(AxelFraire) turns around and walks away while still keeping vision of whatever was happening behind her.* - Thu Oct  8 00:25:10 2015
<br><br><font color=yellow>*Al-Saachez, Kirie(AxelFraire) poofs into the area.* - Thu Oct  8 00:26:01 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: Don't believe I got your name? - Thu Oct  8 00:26:52 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Katsune. - Thu Oct  8 00:26:52 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Mhmm... - Thu Oct  8 00:26:52 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: It's a pleasure. - Thu Oct  8 00:26:52 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: So what is going on here? - Thu Oct  8 00:26:52 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Yo. - Thu Oct  8 00:28:35 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Guy. - Thu Oct  8 00:28:35 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) thinks: That other female...Tch... - Thu Oct  8 00:29:26 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: What is going on? - Thu Oct  8 00:29:26 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Mhmm? - Thu Oct  8 00:29:26 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Nothin'..Why? - Thu Oct  8 00:29:26 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Just asking. - Thu Oct  8 00:29:26 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Unusual to see guards here - Thu Oct  8 00:29:26 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Uh-huh. Not really, we have to protect the village. - Thu Oct  8 00:30:17 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: I see. - Thu Oct  8 00:30:17 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Do you think I could come it? - Thu Oct  8 00:30:17 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: In* - Thu Oct  8 00:30:17 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: I have to speak to Fujitora. - Thu Oct  8 00:31:08 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Negative, maybe after Hassan returns. - Thu Oct  8 00:31:08 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Hmm. - Thu Oct  8 00:31:08 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: For now, you may not. - Thu Oct  8 00:31:08 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Hassan is a sour puss. - Thu Oct  8 00:31:08 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Hehe. - Thu Oct  8 00:31:08 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Always so grumpy. - Thu Oct  8 00:31:08 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) thinks: That whore of a step father I tell you. - Thu Oct  8 00:32:00 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Hey mind doing a friendly spar to pass time? - Thu Oct  8 00:32:00 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: I do not think I want to spend my time standing here doing nothing. - Thu Oct  8 00:32:00 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: That'd be intresting..But I can't leave my post. - Thu Oct  8 00:32:00 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Its an order I have to follow. - Thu Oct  8 00:32:51 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Hmm. - Thu Oct  8 00:32:51 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: It seems that Hassan has passed on his sour pussnes onto you - Thu Oct  8 00:32:51 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: He wont know. - Thu Oct  8 00:32:51 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: I wont tell him. - Thu Oct  8 00:32:51 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: So be it, i'm fine with being a little sour. Guess it comes with how long i've lived among shinobi. - Thu Oct  8 00:33:42 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Hmm? - Thu Oct  8 00:33:42 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: How long has that been? - Thu Oct  8 00:33:42 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Years...ever since the first kazekage. - Thu Oct  8 00:34:33 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Hmm? - Thu Oct  8 00:34:33 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: I see. - Thu Oct  8 00:34:33 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: That is a long time. - Thu Oct  8 00:34:33 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: How old are you? - Thu Oct  8 00:34:33 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: *nod* - Thu Oct  8 00:34:33 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: How old do you think? - Thu Oct  8 00:35:24 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: *looks to be in his teens* - Thu Oct  8 00:35:24 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Dunno. - Thu Oct  8 00:36:16 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Sixteen? - Thu Oct  8 00:36:16 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Eh, near enough. You're good at this. - Thu Oct  8 00:37:07 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) thinks: I hate guard duty, what's even happening inside... - Thu Oct  8 00:37:07 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Mhmm? Ello sis, what's good? - Thu Oct  8 00:37:07 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Figured as much.. - Thu Oct  8 00:37:58 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) thinks: This sucks... - Thu Oct  8 00:37:58 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Hey kid. - Thu Oct  8 00:38:49 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: You are Fujitoras daughter arent you? - Thu Oct  8 00:38:49 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: .... - Thu Oct  8 00:41:23 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Seeya'. - Thu Oct  8 00:41:23 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: ...Be on your toes. - Thu Oct  8 00:41:23 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) thinks: ...Can't handle losing her as well. - Thu Oct  8 00:42:14 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: So. - Thu Oct  8 00:43:05 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Whats up? - Thu Oct  8 00:43:05 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Would you like to play a game of dice? - Thu Oct  8 00:43:56 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: ....No. - Thu Oct  8 00:43:56 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: I'm tired of you shinobi asking me that question. - Thu Oct  8 00:44:48 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Arent you a shinobi though? - Thu Oct  8 00:45:39 2015
<br><br><font color=teal>*Geralt(Chaos Commander2015) whispers: Eh. . .Are you sure you want to know? I don't want you to run away from me~ - Thu Oct  8 01:53:04 2015
<br><br><font color=teal>*Geralt(Chaos Commander2015) thinks: Most likely. - Thu Oct  8 01:56:28 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: It would seem like you two really hit it off. - Thu Oct  8 02:05:52 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Yo. - Thu Oct  8 02:14:24 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Would anyone like to spar? - Thu Oct  8 02:14:24 2015
<br><br><font color=teal>*Caillou(Reddestror2) says: ... - Thu Oct  8 02:14:24 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Very well then. - Thu Oct  8 02:16:06 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Would anyone like to spar? - Thu Oct  8 02:16:57 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Those two are about to spar. - Thu Oct  8 02:16:57 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Umm, I'm not that good, but if you're willing to spar a nine year old.... - Thu Oct  8 02:16:57 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: I need more of a challenge. - Thu Oct  8 02:18:40 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: So I'll pass. - Thu Oct  8 02:19:31 2015
<br><br><font color=teal>*Nina(Ninasky115) thinks: Didn't want to spar you anyway. - Thu Oct  8 02:19:31 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Yes a challenge. - Thu Oct  8 02:21:13 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: ..I think Hideki would be at the house if you want to spar him. - Thu Oct  8 02:23:47 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: I see. - Thu Oct  8 02:23:47 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Thanks kid. - Thu Oct  8 02:23:47 2015
<br><br><font color=teal>*Caillou(Reddestror2) says: I'm so bored. - Thu Oct  8 02:24:38 2015
<br><br><font color=teal>*Caillou(Reddestror2) says: ... Hows having hair? - Thu Oct  8 02:34:52 2015
<br><br><font color=teal>*Hideki(Assassin241) says: --- - Thu Oct  8 02:36:35 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Uh.... - Thu Oct  8 02:36:35 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Hi. - Thu Oct  8 02:36:35 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Hideki. - Thu Oct  8 02:36:35 2015
<br><br><font color=teal>*Caillou(Reddestror2) says: Aye. - Thu Oct  8 02:36:35 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Ho- - Thu Oct  8 02:36:35 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Yeah? - Thu Oct  8 02:36:35 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Pretty sure Suitengu is dead. - Thu Oct  8 02:37:26 2015
<br><br><font color=teal>*Hideki(Assassin241) says: ...... - Thu Oct  8 02:37:26 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Repeat? - Thu Oct  8 02:37:26 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Pretty sure Suitengu is dead. - Thu Oct  8 02:37:26 2015
<br><br><font color=teal>*Sabara, Izutora(Get Jazzy) says: You're gonna wake up and work hard at... - Thu Oct  8 02:37:26 2015
<br><br><font color=teal>*Hideki(Assassin241) says: ..... - Thu Oct  8 02:37:26 2015
<br><br><font color=teal>*Sabara, Izutora(Get Jazzy) says: -omit- - Thu Oct  8 02:37:26 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Who killed him. - Thu Oct  8 02:37:26 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Yan and Muhammed. Most likely. They went after him and the girl with Wings. - Thu Oct  8 02:38:17 2015
<br><br><font color=teal>*Hideki(Assassin241) says: ............. - Thu Oct  8 02:39:08 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: I escaped, they didn't seem like they were going to make it. - Thu Oct  8 02:39:08 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Is the girl with wings dead as well? - Thu Oct  8 02:39:08 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Tight.  - Thu Oct  8 02:40:00 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: You can't kill them, Hideki. - Thu Oct  8 02:40:00 2015
<br><br><font color=teal>*Hideki(Assassin241) says: I guess that will change. - Thu Oct  8 02:40:00 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: I was not able to enter the village. - Thu Oct  8 02:40:00 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Dont try. - Thu Oct  8 02:40:00 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: You'd be better off killing yourself. - Thu Oct  8 02:40:51 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: But, I won't stop you. - Thu Oct  8 02:40:51 2015
<br><br><font color=teal>*Hideki(Assassin241) says: I just don't understand it. - Thu Oct  8 02:40:51 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Why would they kill Suitengu. - Thu Oct  8 02:40:51 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Oh, he killed Taiga. - Thu Oct  8 02:41:42 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: In the middle of Suna it would seem like - Thu Oct  8 02:42:33 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Who was with him, besides you, Baen? - Thu Oct  8 02:42:33 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: The paper girl - Thu Oct  8 02:43:24 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: He just told ou. - Thu Oct  8 02:43:24 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: You* - Thu Oct  8 02:43:24 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Sorry, I'm clouded with rage right now. - Thu Oct  8 02:43:24 2015
<br><br><font color=teal>*Hideki(Assassin241) says: However, any idea where this paper girl went? - Thu Oct  8 02:44:16 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Not in the slightest - Thu Oct  8 02:45:07 2015
<br><br><font color=teal>*Hideki(Assassin241) says: I see... - Thu Oct  8 02:45:07 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: Then I will plan ahead of time. - Thu Oct  8 02:45:07 2015
<br><br><font color=teal>*Lyala(BoyFlareon) says: Alright. - Thu Oct  8 02:48:32 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: So anyone? - Thu Oct  8 02:50:14 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Spar? - Thu Oct  8 02:50:14 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Yes? No? - Thu Oct  8 02:50:14 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Maybe? - Thu Oct  8 02:50:14 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Not for me... - Thu Oct  8 02:51:05 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: Think Lyala nee' spar! Figh' Lyala. - Thu Oct  8 02:51:56 2015
<br><br><font color=teal>*Lyala(BoyFlareon) says: -- - Thu Oct  8 02:52:48 2015
<br><br><font color=teal>*Lyala(BoyFlareon) says: What? - Thu Oct  8 02:52:48 2015
<br><br><font color=teal>*Lyala(BoyFlareon) says: I'm not sparring. - Thu Oct  8 02:52:48 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: O'. . Hrm. Maloth woul' spar, but wan' do things. When we go. . . <*looks from side to side*> - Thu Oct  8 02:52:48 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: .. - Thu Oct  8 02:53:39 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: What? - Thu Oct  8 02:53:39 2015
<br><br><font color=teal>*Reguel(Airide) says: ... - Thu Oct  8 02:53:39 2015
<br><br><font color=teal>*Reguel(Airide) says: My thoughts exactly. - Thu Oct  8 02:53:39 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: It's just Misa and Sabo. - Thu Oct  8 02:53:39 2015
<br><br><font color=teal>*Reguel(Airide) says: From what I can translate, he doesn't want to spar. - Thu Oct  8 02:53:39 2015
<br><br><font color=teal>*Reguel(Airide) says: Why don't you find a sparring partner that's equal to you? - Thu Oct  8 02:54:30 2015
<br><br><font color=teal>*Hideki(Assassin241) says: A sparring partner? - Thu Oct  8 02:56:12 2015
<br><br><font color=teal>*Reguel(Airide) says: That's what I said. - Thu Oct  8 02:56:12 2015
<br><br><font color=teal>*Hideki(Assassin241) says: ^ - Thu Oct  8 02:57:04 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: .. - Thu Oct  8 02:59:37 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: You're acting like me and Sabo stay together forever. - Thu Oct  8 02:59:37 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: ....Right. - Thu Oct  8 02:59:37 2015
<br><br><font color=teal>*Hideki(Assassin241) says: You guys are usually together though, which is why I said that. - Thu Oct  8 02:59:37 2015
<br><br><font color=teal>*Caillou(Reddestror2) says: ... - Thu Oct  8 03:00:28 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: Are we? - Thu Oct  8 03:00:28 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Mhm. - Thu Oct  8 03:00:28 2015
<br><br><font color=teal>*Hideki(Assassin241) says: But follow me. - Thu Oct  8 03:00:28 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: ... - Thu Oct  8 03:03:02 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: So spar? - Thu Oct  8 03:03:02 2015
<br><br><font color=teal>*Reguel(Airide) says: I'm going to go finish tutoring this kid. - Thu Oct  8 03:03:53 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: What kind f spar. - Thu Oct  8 03:03:53 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Friendly one. - Thu Oct  8 03:05:36 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: I need someone near my level Baen. - Thu Oct  8 03:05:36 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Oh. - Thu Oct  8 03:05:36 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: I guess. - Thu Oct  8 03:05:36 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Yeah. - Thu Oct  8 03:09:00 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Heiwa. - Thu Oct  8 03:11:34 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Hm? - Thu Oct  8 03:11:34 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Come here boy. - Thu Oct  8 03:11:34 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: I will teach you a genjutsu technique. - Thu Oct  8 03:11:34 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Would you like ot learn one. - Thu Oct  8 03:11:34 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Lets go somewhere else. - Thu Oct  8 03:12:25 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: I wouldn't want other people caught up in it. - Thu Oct  8 03:12:25 2015
<br><br><font color=yellow>*Al-Saachez, Kirie(AxelFraire) began walking foward motioning for the child to follow her.* - Thu Oct  8 03:13:16 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: You're not going to touch me, right? - Thu Oct  8 03:13:16 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Dad said strange people might do that. - Thu Oct  8 03:13:16 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: No. - Thu Oct  8 03:13:16 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Its genjutsu. - Thu Oct  8 03:13:16 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: There is no need to touch you. - Thu Oct  8 03:13:16 2015
<br><br><font color=yellow>*Al-Saachez, Kirie(AxelFraire) takes out a scroll and hands it over to the kid "Here."* - Thu Oct  8 03:15:50 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: I do not know if you know it - Thu Oct  8 03:16:41 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: But it can be worth it. - Thu Oct  8 03:16:41 2015
<br><br><font color=yellow>*Al-Saachez, Kirie(AxelFraire) points out that no fuckshittery happened "Ah..is that so? That sucks."* - Thu Oct  8 03:20:06 2015
<br><br><font color=yellow>*Al-Saachez, Kirie(AxelFraire) took the scroll "Hmm maybe I could have something for you next time."
* - Thu Oct  8 03:22:40 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Mhm. Okay. You want to see one of my genjutsus? - Thu Oct  8 03:23:31 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: I'll pass kid. - Thu Oct  8 03:23:31 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Maybe next time. - Thu Oct  8 03:24:22 2015
<br><br><font color=yellow>*Al-Saachez, Kirie(AxelFraire) walked foward and ruffled the kids hair being carefull not to break his neck or skull in the process* - Thu Oct  8 03:25:13 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: ......... - Thu Oct  8 03:26:56 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Oi big guy. - Thu Oct  8 03:29:29 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Hassan, and Yan killed Suitengu. - Thu Oct  8 03:29:29 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Fight me. - Thu Oct  8 03:29:29 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: ...Hassan... - Thu Oct  8 03:29:29 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: Reason? - Thu Oct  8 03:29:29 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Tried killing Taiga. - Thu Oct  8 03:29:29 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: ....I see. - Thu Oct  8 03:29:29 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: He did kill him - Thu Oct  8 03:30:20 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: I apologize if I don't know what to do with this information... - Thu Oct  8 03:30:20 2015
<br><br><font color=teal>*Hideki(Assassin241) says: It's not like you could do anything about it. - Thu Oct  8 03:31:12 2015
<br><br><font color=teal>*Hideki(Assassin241) says: However... - Thu Oct  8 03:32:03 2015
<br><br><font color=teal>*Hideki(Assassin241) says: I want you to do me a solid, Niza. - Thu Oct  8 03:32:03 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: ...? - Thu Oct  8 03:32:03 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Protect Heiwa and Lyala.  - Thu Oct  8 03:32:03 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: ....You don't plan to do something reckless, do you Hideki? - Thu Oct  8 03:32:54 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Of course not. - Thu Oct  8 03:32:54 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Security is to tight for me to do anything. - Thu Oct  8 03:32:54 2015
<br><br><font color=teal>*Hideki(Assassin241) says: But I plan on going somewhere to train. - Thu Oct  8 03:32:54 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: I see. - Thu Oct  8 03:33:45 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: Train safely. - Thu Oct  8 03:33:45 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Thanks.. - Thu Oct  8 03:33:45 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: nigga we all know you gonna train on them niggas hassan and yan - Thu Oct  8 03:33:45 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: omit - Thu Oct  8 03:33:45 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: ..... - Thu Oct  8 03:34:36 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: Hrm. . - Thu Oct  8 03:36:19 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Pretty sure you're not the Raikage. - Thu Oct  8 04:01:55 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: You okay, Kaori? - Thu Oct  8 04:02:46 2015
