<br><font color=teal>*Max(Roxas The Hokage) thinks: hehe. .  works everytime - Fri Oct  9 09:14:40 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: I'll take you on then.. - Fri Oct  9 09:14:40 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Has anyone by the name of Edge been here before? - Fri Oct  9 16:30:43 2015
<br><br><font color=teal>*Azure(LordxPatrick) says: Edge... - Fri Oct  9 16:30:43 2015
<br><br><font color=teal>*Azure(LordxPatrick) says: Nope. Never heard of him. - Fri Oct  9 16:30:43 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Well... - Fri Oct  9 16:32:25 2015
<br><br><font color=teal>*Hideki(Assassin241) says: We'll be on our way then. - Fri Oct  9 16:32:25 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Thanks. - Fri Oct  9 16:32:25 2015
<br><br><font color=teal>*Azure(LordxPatrick) says: Yo. - Fri Oct  9 16:32:25 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Hm? - Fri Oct  9 16:32:25 2015
<br><br><font color=teal>*Azure(LordxPatrick) says: Where you going? - Fri Oct  9 16:32:25 2015
<br><br><font color=teal>*Nozumi(Dragonfile) says: u dead nigga. - Fri Oct  9 16:32:25 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Back ho- - Fri Oct  9 16:32:25 2015
<br><br><font color=teal>*Nozumi(Dragonfile) says: Thats what. - Fri Oct  9 16:32:25 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Well, we're going to be heading back home. - Fri Oct  9 16:33:16 2015
<br><br><font color=teal>*Azure(LordxPatrick) says: Where's home? - Fri Oct  9 16:33:16 2015
<br><br><font color=teal>*Azure(LordxPatrick) says: Sounds fun. - Fri Oct  9 16:34:08 2015
<br><br><font color=teal>*Azure(LordxPatrick) says: We leaving now? - Fri Oct  9 16:34:08 2015
<br><br><font color=teal>*Hideki(Assassin241) says: --- - Fri Oct  9 16:34:08 2015
<br><br><font color=teal>*Azure(LordxPatrick) says: We is a term used to describe a group... - Fri Oct  9 16:34:08 2015
<br><br><font color=teal>*Azure(LordxPatrick) says: So yeah. We. - Fri Oct  9 16:34:08 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Yes, I know. But I don't remember.. - Fri Oct  9 16:34:08 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Adding you to our group. - Fri Oct  9 16:34:08 2015
<br><br><font color=teal>*Azure(LordxPatrick) says: You didn't. I did. - Fri Oct  9 16:34:59 2015
<br><br><font color=teal>*Azure(LordxPatrick) says: I got snacks?~ - Fri Oct  9 16:34:59 2015
<br><br><font color=teal>*Hideki(Assassin241) says: You got to prove to me that your fit for our group however. - Fri Oct  9 16:34:59 2015
<br><br><font color=teal>*Azure(LordxPatrick) says: Oh? - Fri Oct  9 16:34:59 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Well.. - Fri Oct  9 16:35:50 2015
<br><br><font color=teal>*Hideki(Assassin241) says: We'll be on our way. - Fri Oct  9 16:35:50 2015
<br><br><font color=teal>*Nozumi(Dragonfile) says: Better pnk. - Fri Oct  9 16:36:41 2015
<br><br><font color=teal>*Azure(LordxPatrick) says: I'll make you a deal, eh? - Fri Oct  9 16:36:41 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: That was quick. - Fri Oct  9 16:43:31 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Yeah. - Fri Oct  9 17:01:26 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Hideki. - Fri Oct  9 17:08:16 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Hm? - Fri Oct  9 17:08:16 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: I know you're busy with being a Jounin...and now even more busy since what happened here. - Fri Oct  9 17:09:07 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Yeah.. - Fri Oct  9 17:09:07 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: But I was wondering if you'd train me? - Fri Oct  9 17:09:07 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Hm.. - Fri Oct  9 17:09:07 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Or at least teach me some stuff. - Fri Oct  9 17:09:07 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Take this chakra paper. - Fri Oct  9 17:09:58 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: .... - Fri Oct  9 17:10:49 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Chakra paper? - Fri Oct  9 17:10:49 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Why? - Fri Oct  9 17:10:49 2015
<br><br><font color=teal>*Hideki(Assassin241) says: So I can see your elements. - Fri Oct  9 17:10:49 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: I can use all five. - Fri Oct  9 17:10:49 2015
<br><br><font color=teal>*Hideki(Assassin241) says: ---- - Fri Oct  9 17:10:49 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: And am proficient in all five. - Fri Oct  9 17:10:49 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: So can I. - Fri Oct  9 17:10:49 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: omit - Fri Oct  9 17:10:49 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Hmm.. - Fri Oct  9 17:11:40 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: I'll learn anything you can give me. - Fri Oct  9 17:12:32 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Jutsu, skills, anything. - Fri Oct  9 17:12:32 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: Learn deez nuts, bitch. - Fri Oct  9 17:12:32 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Do you know how to flow chakra through your blade? - Fri Oct  9 17:12:32 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Or a kunai for that matter. - Fri Oct  9 17:12:32 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: --- - Fri Oct  9 17:13:23 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: No, But i've been meaning to learn that. - Fri Oct  9 17:13:23 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: I've seen multiple people accomplish that, It would be much appreciated if you could teach e. - Fri Oct  9 17:13:23 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Alright. - Fri Oct  9 17:13:23 2015
<br><br><font color=teal>*Hideki(Assassin241) says: We'll start now then. - Fri Oct  9 17:13:23 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: It's fine. - Fri Oct  9 17:15:05 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: .... - Fri Oct  9 17:15:05 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: .... - Fri Oct  9 17:20:12 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: I'm tired of the silence. I'm tired of the cowardice that this country holds.  - Fri Oct  9 17:48:22 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: My brother is dead. - Fri Oct  9 17:49:13 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: I'm not interested in a military rank, Hideki. I'm not strong, I'm not worthy of being the protector and guardian of this village. Everyone has forgtten of their previous rulers. - Fri Oct  9 17:56:03 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: forgotten*> - Fri Oct  9 17:56:03 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: Before this whole country was integrated into a system of espionage. - Fri Oct  9 17:56:03 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: and Ninja warfare. - Fri Oct  9 17:56:54 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: Before it was supported by Lightning Daimyos. - Fri Oct  9 17:56:54 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: The greed of people made this country suffer, when it was doing well in the past. - Fri Oct  9 17:56:54 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: My clan, my bloodline was the ruling dynasty of this country before the arts of recording history and written documents existed. - Fri Oct  9 17:57:45 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: WE were the ancient rulers. - Fri Oct  9 17:57:45 2015
<br><br><font color=yellow>*Ortho(DhatBoiNick) || "I'm growing impatient.."* - Fri Oct  9 17:58:36 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Second, Ortho. - Fri Oct  9 17:58:36 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Continue, Genesis. - Fri Oct  9 17:58:36 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) thinks: ...Ancient...rulers? - Fri Oct  9 17:58:36 2015
<br><br><font color=yellow>*Ortho(DhatBoiNick) looks over toward Genesis. "No one gives a damn.."* - Fri Oct  9 17:59:28 2015
<br><br><font color=teal>*Hideki(Assassin241) says: ---------- - Fri Oct  9 17:59:28 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: Oh no.. - Fri Oct  9 17:59:28 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: Only my bloodline has recorded every individual that has existed, and at least had a bit of power, they were the heads of the state for so long. From The First Yamanshi King, Fengsis. - Fri Oct  9 18:00:19 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: And to be overthrown by some petty - Fri Oct  9 18:01:10 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: Coup'detat - Fri Oct  9 18:02:01 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: Pitiful, disgusting. - Fri Oct  9 18:02:01 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: This is the reason why this country has succumbed to such low standings - Fri Oct  9 18:02:01 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: In the world. - Fri Oct  9 18:02:01 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: When it was so great. - Fri Oct  9 18:02:01 2015
<br><br><font color=teal>*Hideki(Assassin241) says: It's still a great country. - Fri Oct  9 18:02:01 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: A great country doesn't have single invaders blow up their mountains. - Fri Oct  9 18:02:52 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: and kill their leaders. - Fri Oct  9 18:02:52 2015
<br><br><font color=teal>*Hideki(Assassin241) says: However, from the way you're talking, you seem like you want the position of Raikage...However, if you do go for the position and get it.....I request one thing from you. - Fri Oct  9 18:02:52 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) thinks: ....This sounds like something beyond...Raikage... - Fri Oct  9 18:03:44 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: What is it that you request? - Fri Oct  9 18:03:44 2015
<br><br><font color=teal>*Hideki(Assassin241) says: I want control of the military, one hundred percent of it. - Fri Oct  9 18:04:35 2015
<br><br><font color=yellow>*Ortho(DhatBoiNick) (ADMIN HELP)(Roxas The Hokage)(Bloud, Emiko): Chakra, Chakra controll, MInd, Body, That's it, as high as possible please ^^* - Fri Oct  9 18:13:58 2015
<br><br><font color=yellow>*Ortho(DhatBoiNick) gropes tits and runs off.* - Fri Oct  9 18:30:11 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: I mean, As fine as I could be in my situation. - Fri Oct  9 18:39:34 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: Ah-- why are shinobi from Konohagakure in Kumogakure? I never obtained an answer for so. - Fri Oct  9 18:41:16 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Because our entire village - Fri Oct  9 18:41:16 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Was destroyed by Tetsumi. - Fri Oct  9 18:41:16 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Or his monster. - Fri Oct  9 18:41:16 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Or the monster he turns into. - Fri Oct  9 18:42:08 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Either way it was him. - Fri Oct  9 18:42:08 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: I see. - Fri Oct  9 18:42:08 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: Is Yukio still alive? - Fri Oct  9 18:42:59 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Who is Yukio? - Fri Oct  9 18:42:59 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: Orange hair. - Fri Oct  9 18:43:50 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: Usually wears cyan clothing. - Fri Oct  9 18:43:50 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: Hmm... what village do you come from? *He asks looking at Hideyoshi* - Fri Oct  9 18:44:41 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: I have no idea. - Fri Oct  9 18:44:41 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: I come from Konoha, Why? - Fri Oct  9 18:44:41 2015
<br><br><font color=yellow>*Ortho(DhatBoiNick) casually walks in, hands firmly tucked in his pockets and blunt resting at the right corner of his mouth.* - Fri Oct  9 18:45:32 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: ....... - Fri Oct  9 18:47:15 2015
<br><br><font color=yellow>*Ortho(DhatBoiNick) walked out. "Nah.."* - Fri Oct  9 18:48:06 2015
<br><br><font color=yellow>*Ortho(DhatBoiNick) remained stationary, slowly shaking his head and spectating the scenerio unfold.* - Fri Oct  9 18:50:40 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) thinks: fuck dis shit im out - Fri Oct  9 18:57:29 2015
<br><br><font color=yellow>*Ortho(DhatBoiNick) || Ambrocio's pivot forward was no less than amazing; that's something that had to be given in full due. In retaliation, however, Ortho took the stand and decided to break his usual noncaring stature and become a form of hero. The reasoning behind this was simple: he can't bear to see a female, of any age, harmed. That being said, with the altering of his blunt in the corner of his mouth, the Uchiha strung a series of handseals together. Upon doing so, even after trying to protect his blunt, a massive torrent of water rush forward. Its aim wasn't directly at Ambrocio, but the immediate front of the rampage figure. Naturally, if the male decided to continue his pursuit, he'd eventually get caught by the torrent of water and pushed back.

"Too many have died lately! Enough of this! I'm tired of watching my comrades' fall due to anger! CALM YOURSELF!"* - Fri Oct  9 19:14:33 2015
<br><br><font color=teal>*Ambrocio(XenoKuthric) says: --- .... - Fri Oct  9 19:21:23 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: ... - Fri Oct  9 19:23:05 2015
<br><br><font color=yellow>*Ortho(DhatBoiNick) 's onslaught of handseals continued. The fluency of them was divine and the speed was marvelous, both allied with the kneading of his chakra. Surely, by the look on Ortho's face, a damaging blow was not the intent; however, a nullifying affect was the goal. With the outpour of his chakra, from his arms and palms, came the pulsating presence of an electrical surge. The goal was to use the water spawned previously to stop Ambrocio in his tracks, hopefully before any form of physical contact could be made.

Upon hearing Hideki's words, however, if Ortho was lucky he'd be able to tag along as well. After all, he just wanted to stop the rampaging male, not be known as a backstabber.* - Fri Oct  9 19:25:39 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) thinks: What have I...Walked into..? - Fri Oct  9 19:38:27 2015
<br><br><font color=yellow>*Ortho(DhatBoiNick) supplied a nod, allowing the slithering creatures to wrap themselves around him. Upon doing so, he'd prepare his hands for anything he can see coming threatening wise.* - Fri Oct  9 19:51:15 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: Yo. - Fri Oct  9 20:24:32 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: ..... - Fri Oct  9 21:18:17 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: I'm seriously.. getting tired of doing that.. - Fri Oct  9 21:18:17 2015
<br><br><font color=teal>*Ambrocio(XenoKuthric) says: Hn. - Fri Oct  9 21:20:00 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Tired of what? Ortho. - Fri Oct  9 21:20:00 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Running.. - Fri Oct  9 21:20:00 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Well, to be honest. It's up to you if you want to continue to stay with us. - Fri Oct  9 21:20:51 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: ..That has nothing to do with the other. - Fri Oct  9 21:20:51 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: I only have three jutsus to fight with.. - Fri Oct  9 21:21:42 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: ..tch.. - Fri Oct  9 21:21:42 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Then nows a perfect time.. - Fri Oct  9 21:21:42 2015
<br><br><font color=teal>*Hideki(Assassin241) says: To teach you. - Fri Oct  9 21:21:42 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: ..... - Fri Oct  9 21:23:24 2015
<br><br><font color=yellow>*Ortho(DhatBoiNick) raised an eyebrow, looking toward Hideki.* - Fri Oct  9 21:23:24 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Every.. - Fri Oct  9 21:27:40 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Hm.. - Fri Oct  9 21:28:32 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Would you like to learn genjutsu? - Fri Oct  9 21:28:32 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: I'd like to learn any and every thing. - Fri Oct  9 21:31:05 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: Yass? - Fri Oct  9 21:37:04 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: Mind if I try as well? - Fri Oct  9 21:37:55 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Sure. - Fri Oct  9 21:38:46 2015
<br><br><font color=yellow>*Ortho(DhatBoiNick) was finally getting the lessons he so direly needed. The instructions given to him was relatively easily, but due to him knowing not a single thing about Genjutsu made it a tad bit challenging. Still, however, Ortho came at it head first. That being said, the young lad would centers his chakra within his stomach and string together the proper handseals. Upon doing so, in a quick burst of chakra, he'd make an attempt to form the illusions. This, however, was a complete fail due to the fact that a constant flow was provided.

With that in mind, Ortho would restart. He starts off with taking in a sleep breath and allowing his mind to fixate itself on the flow of chakra. Slowly, but surely, his chakra would begin to seep out his body and engulf the immediate area. Upon doing so, Ortho would string together necessary handseal whilst closing his eyes. Once they opened, he could see numerous illusions duplicates of himself. "..Hmm.."* - Fri Oct  9 21:50:43 2015
<br><br><font color=yellow>*Ortho(DhatBoiNick) rolled his eyes. "Right."* - Fri Oct  9 21:54:08 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: Ambrocio should be fine. - Fri Oct  9 21:54:08 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: I hope atleast. - Fri Oct  9 21:54:08 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: I'll go look for something to do.. - Fri Oct  9 21:54:08 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: Maybe gain some information. - Fri Oct  9 21:54:08 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Umm..... - Fri Oct  9 23:18:36 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) thinks: This better not come back to fuck me in the ass. - Fri Oct  9 23:23:44 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Oi. - Fri Oct  9 23:23:44 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: . . .? - Fri Oct  9 23:23:44 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: You are welcome to stay here if you like. - Fri Oct  9 23:24:35 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: As you can see we need the help. - Fri Oct  9 23:24:35 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: No. - Fri Oct  9 23:24:35 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Hideki.... - Fri Oct  9 23:24:35 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: I see. - Fri Oct  9 23:25:26 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Take care then. - Fri Oct  9 23:25:26 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: I'll be staying with someone I haven't seen for a few years. - Fri Oct  9 23:25:26 2015
<br><br><font color=teal>*Hideki(Assassin241) says: .... - Fri Oct  9 23:25:26 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: I see. - Fri Oct  9 23:25:26 2015
<br><br><font color=yellow>*Ortho(DhatBoiNick) Is this truly the world we live in? Where at the drop of a hat destruction rains down on the heads of the innocent? Where the youngest of lives are taken due to revenge and there are only a select few that can retaliate? Where the very same people with the power to put their guard up and punch back are too intimidating to advance forth? Where all you have after the smoke is cleared is the clothes on your pack, the loose change in your pockets and the intelligence you gathered from birth to this point? Where you have to question whether or not you too should have your life ended because you are not one of the selective that can do a damn thing about the destruction of your home? Is this truly the world we live in?

Is this truly the life that a shinobi must live? The life where death is nothing more than a common occurrence? The life where you don't know if the last time you'll see your loved one is when you two argue over a disagreement and both walked off with tension still thick? The life where you put on your armor, grasp your sword and know that even those two key elements may not be enough to allow you come back home to make up with your loved one? The life where you eat dinner with your loved one tonight, but sit a lonely table tomorrow? Is this truly the life that a shinobi must live?

"Within.. mere seconds. Within mere seconds the peaceful foundation of the Leaf, my village.. my home, destroyed. No remorse, no hesitation; simple child play in comparison to the strength of that damn beast. Its overwhelming power forcing us to refuge here, in this.. village, with nothing more than the items he had in our possession at the time. A mockery of our integrity, a mockery of our way of live, a mockery of.. us. The detached look his damn eyes, piercing through my wellbeing and destroying my soul.."

Ortho stood on the outskirts of Amegakure. His fists clenched as tight as can be and his head slightly lowered. Tears swell and poured from his eyes relentlessly, gravity taking effect and dragging the liquid to the ground. At the age of only fifteen, Ortho has experienced one of the hardest things a shinobi can go through; the instant decision to abandon his village to save his own hide and live on to see a tomorrow. The instant decision to exit the radius of destruction and watch a beat run rampant on the place you whole heartedly loved; evading your home and metaphorically spitting on your sense of privacy. This was all for what; revenge? The tears continued to pour down the teen's face.

"Now look where I am, a proud.. Leaf.. shinobi forced to live amongst outsiders for my own safety. I'm forced to make do with the little that I have compared to the plenty I had; all because of what? A rampant beast..? A beast that.. that cared little to none about my life..?! I've come this far in my shinobi career for what!? To be forced to leave behind my home!? My family!? FOR MY OWN S-"

Ortho couldn't continue that thought. Was he truly that selfish..? Should he have gone further into the village in an attempt to save as much people as he could? Did he even have the strength to do so-. Strength. Did he have strength..? Was he strong then? Is he strong now? What's the difference between a few days ago and now? Would it truly make a difference if went into the midst of danger to be a nobleman and tempt fate? What now, though? What should he do now? Stand here and cry? Allow his emotions to render him mentally incapable? But would there be a difference if he goes back and try to find survivors? He doesn't even know if the village is even there anymore. A beast that large could lay waste to any building it pleased, much less a human. Or was it that Ortho was, and still is, scared?

"I'm.. sorry. I should've- but I couldn-.. Please, forgive me-.. I know I didn't try my best but I'll aveng-.." Avenge? Is that the cement of the path her walk? Was the outcome of a, thus far, decade long shinobi career vengeance? Who, or what, was he going to avenge? On who, or what, was he going to exact vengeance on? Why was vengeance and avenge even an option at this point? Now, where Ortho stood physically, mentally and emotionally, he wasn't ready to do anything of the sorts. He wasn't able to step up to no man and strike the intimidation needed to send chills up and down another's spine. Hell, he wasn't even able to make a puppy whimper much less a true enemy. At this stage of his life, Ortho had to come to a decision.

"I.. refuse to stand idly by. No longer will I play victim, no longer will there be a stronger than I. No.. longer. I've come too far to allow anyone look down on me as if I am nothing.. I've come too far.. too far to let anyone tell me that I am lesser than them.." The tears that poured down Ortho's cheek became hot; similar to acid against paper. The feeling of helplessness ravishing the mind and heart of the lad, denying his mind the freedom to explore all routes; it was that of tunnel vision that led Ortho to succumb to this painful fate. It is tunnel vision and sheer anger that he isn't able to see a way out-. See, he can't see.. his way out. His eyes were open, but still his light was dimming as he backed away from the light and into the darkness. He just.. couldn't see.




This self-righteous path that everyone so desperately clings on to was nothing more than trickery. Treason to the true meaning of life and the denial of what's really happening before them, all of this was pure; a desperate attempt to disconnect themselves from reality and prevent their minds from succumbing to what fate has stored for them. Ortho stood by himself in this world, everyone he knew was dying and quite frankly he expected it. Reisen, a female that had made a big impact in Ortho's life thus far, died before his very eyes. There was nothing he could do, nor was there anything he wanted to do. His main concern was why her assassinator even existed. What could Reisen have possibly done to have someone go to such extreme extent to kill her?

It wasn't until Reisen's life was already snatched away when Ortho heard the truth. Reisen failed to safely evacuate Suitengu from Sunagakure, and the end result was the boy's death. Suitengu was young, yes, but that lad gave Ortho a meaning. That lad gave Ortho a path to walk on with a flashlight that had unlimited battery power. Where was Ortho supposed to go now? What was he supposed to do? He's lost and the only person that could lead him down the right path was gone. The only person that made things make sense was obliterated; what was he supposed to do..?

"N-No.. It's not.. true. He's not d-dead.. Injured, probably.. but not-.." Ortho's body pulsates, his emotions running rampant and the understanding he had of this world been shattered. His sanity add deep cracks in it and quite frankly, at any moment he's going to break. At any moment the quiet and standoff-ish Ortho was going to explode and the only thing that's going to be able to stop him is him. The only thing that's going to be able to make things make sense once again is him, and that's only after he finds jumps from the stone he's standing on and progress further into life. The only thing that remotely remained the same at this point was the fact that Ortho was, and still is, too weak to do anything.

Power and strength are two different things. You can have the power to get revenge and payback the debt of those that did you wrong, but that doesn't mean you have the strength to withstand sudden lose and move on. At this point, Ortho had neither. At this point and time, Ortho was a mere Genin, Konohagakure born, trying to scrape and claw for any form of power he can get in hopes that strength will follow close pursuit. At this point and time, Ortho was a mere boy trying to live the life of a man without any form of coach to tell him what it truly took to uphold that title. Ortho was simply a lost puppy.

Ortho stands by his lonesome in this dark room within Kumogakure. His eyes was suffering from a serious leakage for tears poured down relentlessly. His knees were tucked into his chest and his arms hugged his shins, the common pose for someone lost in the dark. He was scared, quite honestly. He was scared that the outside world would chew him up and spit him out with relative ease. He was scared that at this point, there was nothing more for him to do. He was scared that at his time, he should just roll over and die-.

"If you sit there too long, you'll end up missing the next training session with Hideki. I know you of all people wouldn't want that.." That voice- Could it be? Ortho's head snapped up and his eyes jolted to the right, settling on the semi-transparent frame of Suitengu. Ortho's jaw creeks open, the aspiration closing in on the bed Ortho was sitting on and simply stood there. "I know what you're thinking, Ortho. My death isn't the end of it all. If anything, haha, it should be fuel to your fire. At this point and time, Ortho, you control your destiny. Only you can change your fate and make the best out of yourself. Don't let these hurdles keep you down. If you trip, get up and keep hopping; that's.. what a true Powerful and Strong ninja would do."

Before Ortho could even rebuttal, Suitengu faded from his eye sight. The words echoes through his mind, hitting every bit of doubt unforgivingly and spawning something new; spawning something that made Ortho feel warm on the inside, as if the coldness of his heart was finally covered by a thick comforter. The tears that streamed down Ortho's face slowly subsided as he stared of into the same direction Suitengu briefly stood.

"S-Suitengu.. I-I.. I hear what you're saying, but- How am I supposed to-.. I don't see a point-.." Ortho's mind was conflicted and he knew it. He knew that Suitengu was right, but his own self-doubt rivaled this sense of reality of this all. The room became quiet fast; no words, no movements. Ortho simply stared off and allowed his mind to wander.

