<br><font color=teal>*Hei, Sogeki(DhatBoiNick) thinks: Bet. - Sun Dec  6 12:03:37 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ...Why? - Sun Dec  6 23:58:43 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: You shouldn't become a shinobi of this village unless you plan to stay.... - Sun Dec  6 23:59:34 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Permanently. - Sun Dec  6 23:59:34 2015
<br><br><font color=yellow>*Hei, Sogeki(DhatBoiNick) looks up at the guy in front of him.* - Mon Dec  7 00:04:41 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: You're probably right. - Mon Dec  7 00:06:24 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: But. - Mon Dec  7 00:06:24 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: I'm not sure how long my stay will be, But It feels good to 'belong', you know? - Mon Dec  7 00:06:24 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Yeah well he doesn't like people leaving after they become shinobi. - Mon Dec  7 00:08:06 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: test] - Mon Dec  7 00:12:22 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: He sealed me.... - Mon Dec  7 00:13:13 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: What.. - Mon Dec  7 00:13:13 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: Who.. - Mon Dec  7 00:13:13 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: Why..? - Mon Dec  7 00:13:13 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: I can't talk about Kumo with outsiders anymore..... - Mon Dec  7 00:13:13 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: He doesn't trust me... - Mon Dec  7 00:13:13 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: He said it was because he doesn't trust others...but he doesn't trust me. - Mon Dec  7 00:13:13 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: He tricked me into it.... - Mon Dec  7 00:14:04 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: Wait, hold on.. - Mon Dec  7 00:15:47 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: Let's.. not jump to conclu- - Mon Dec  7 00:15:47 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: Why would he even-.. - Mon Dec  7 00:15:47 2015
<br><br><font color=yellow>*Hei, Sogeki(DhatBoiNick) sighed.* - Mon Dec  7 00:15:47 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: He just asked to talk to me privately, I assumed for an update. He asked to take my hand, I offered it.. then he was asking about my mission... then he released my hand and I had been sealed. - Mon Dec  7 00:16:38 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: He told me it would be impossible to talk about kumo affairs with anyone outside of the village. - Mon Dec  7 00:16:38 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: I found out my elements, Takuma-san. - Mon Dec  7 00:18:20 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: You sure it's not for security purposes..? - Mon Dec  7 00:19:12 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: He said it was in case they try to question me...but I think he doesn't trust me. - Mon Dec  7 00:29:26 2015
<br><br><font color=yellow>*Hei, Sogeki(DhatBoiNick) 's expression immediately straightens. He glances down at the then hand then trails back up to Menma's face, slowly shaking his head. His left arm extends with a balled up fist at the end --- no way he's shaking a random's hand. "Uh huh."* - Mon Dec  7 00:29:26 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Name's Alberto. - Mon Dec  7 00:30:17 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Del. - Mon Dec  7 00:30:17 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Rio. - Mon Dec  7 00:30:17 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: Let's not jump to conclusions.. - Mon Dec  7 00:30:17 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: I mean.. I see his point, and I see yours.. - Mon Dec  7 00:30:17 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: But.. I don't know.. - Mon Dec  7 00:30:17 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: Information can be leaked without anyone trying to leak it.. - Mon Dec  7 00:31:08 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: He made it so that I can't even talk about small things, if they find me tripping up then I will be tortured and questioned.... - Mon Dec  7 00:31:08 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: Now I have to be careful... - Mon Dec  7 00:31:08 2015
<br><br><font color=yellow>*Hei, Sogeki(DhatBoiNick) 's eyes narrowed a bit as he looked at Menma.* - Mon Dec  7 00:32:00 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: Did you explain that to him..? - Mon Dec  7 00:32:00 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: Yeah... - Mon Dec  7 00:35:24 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: It won't be removed... - Mon Dec  7 00:35:24 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: I'm going to stay a few more days till I figure out how I'm going to hide this... - Mon Dec  7 00:36:16 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: They think I am no longer a shinobi... - Mon Dec  7 00:36:16 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: So it's hard to just say 'oh yeah I can't talk about my FORMER village'. - Mon Dec  7 00:37:07 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: This is stupid.. - Mon Dec  7 00:38:49 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: Yep... - Mon Dec  7 00:38:49 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: I feel like a tool now... - Mon Dec  7 00:38:49 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: What did he say when you told him that it makes things harder for you now? - Mon Dec  7 00:42:14 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: He just waited...then I updated him, he said 'I see' and walked off. - Mon Dec  7 00:42:14 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: Are you also a Shinobi? - Mon Dec  7 00:43:05 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: UR CHICKENS GO MEOW - Mon Dec  7 00:46:30 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: Stupid.. - Mon Dec  7 00:50:46 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: As.. - Mon Dec  7 00:50:46 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: Fuck. - Mon Dec  7 00:50:46 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: Just... let it go. - Mon Dec  7 00:51:37 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: I just needed to vent to someone. - Mon Dec  7 00:51:37 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: You were the only person I could talk to. - Mon Dec  7 00:51:37 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: (He can hear ur whispers now.) - Mon Dec  7 00:51:37 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: Right, right.. - Mon Dec  7 00:52:28 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: That's all I guess... - Mon Dec  7 00:52:28 2015
<br><br><font color=yellow>*Hei, Sogeki(DhatBoiNick) looks down.* - Mon Dec  7 00:53:20 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: Alright then.. - Mon Dec  7 00:53:20 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: I got Takuma to train you while I'm gone. - Mon Dec  7 00:55:53 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: You got him to? - Mon Dec  7 00:55:53 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: He was going to stop..? - Mon Dec  7 00:56:44 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: .... well I mean like -really- train you. - Mon Dec  7 00:56:44 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: ...Oh.. - Mon Dec  7 00:58:27 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: Ew.. - Mon Dec  7 00:58:27 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: Hey.. - Mon Dec  7 01:01:52 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: Look on the bright side.~ - Mon Dec  7 01:01:52 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: When you get back I'm sooo going to be able to beat your ass.~ - Mon Dec  7 01:02:43 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: No more of you winning by a landslide. - Mon Dec  7 01:02:43 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: .... - Mon Dec  7 01:02:43 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: Right. - Mon Dec  7 01:02:43 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: Scared? - Mon Dec  7 01:06:08 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: It's okay. - Mon Dec  7 01:06:08 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: I would be too.~ - Mon Dec  7 01:06:08 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: You aren't going to scare me... - Mon Dec  7 01:06:59 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: You shown me your worst. - Mon Dec  7 01:06:59 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: You think so? - Mon Dec  7 01:06:59 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: ...Was that not your worst the other night when I was paralyzed? - Mon Dec  7 01:07:50 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: I have yet to claim something. - Mon Dec  7 01:07:50 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: .... - Mon Dec  7 01:08:41 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: Hey... - Mon Dec  7 01:08:41 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: That's... - Mon Dec  7 01:08:41 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: Like... - Mon Dec  7 01:08:41 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: I don't know about all that. - Mon Dec  7 01:08:41 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: Besides.. now that I know you can tolerate.. things.. - Mon Dec  7 01:09:32 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: I won't take things slow. - Mon Dec  7 01:09:32 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: ....y-you won't? - Mon Dec  7 01:10:24 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: I mean.. we did all that but I didn't think we would be moving fast now? - Mon Dec  7 01:10:24 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: The only thing I'm waiting on is for you to give the okay.- - Mon Dec  7 01:10:24 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: Ehh, we'll work on your terms for the time being.~ - Mon Dec  7 01:11:15 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: .... thats just a little far isn't it? I mean that's -unnatural-...what you were doing to my behind at all... was unnatural. - Mon Dec  7 01:14:40 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: Wasn't a bad thing from my part.~ - Mon Dec  7 01:15:31 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: ....yeah because you just wanted to stuff something tight.... - Mon Dec  7 01:20:38 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: Can you blame me? - Mon Dec  7 01:22:20 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: ....I guess not...but that place is baka! - Mon Dec  7 01:26:36 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: You don't know how it tasted back there you.~ - Mon Dec  7 01:27:28 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: .....W-what... - Mon Dec  7 01:28:19 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: Our juices mixed together, a tight.. pucker. - Mon Dec  7 01:28:19 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: N-no... don't talk about that... - Mon Dec  7 01:28:19 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: Was pretty good. - Mon Dec  7 01:28:19 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: Nngngn.. - Mon Dec  7 01:28:19 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: So gross... - Mon Dec  7 01:28:19 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: ..... - Mon Dec  7 01:28:19 2015
<br><br><font color=yellow>*Hei, Sogeki(DhatBoiNick) raised his head and looked at her. It was clear he was in thought.* - Mon Dec  7 01:29:10 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: ...wh-what... - Mon Dec  7 01:34:17 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: S-sorry... - Mon Dec  7 01:34:17 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: I don't mean to say things like that about it... - Mon Dec  7 01:34:17 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: It's just hard to stomach...thinking about licking those things. - Mon Dec  7 01:34:17 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: Hmm? - Mon Dec  7 01:37:42 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: Oh.. no. It's fine. - Mon Dec  7 01:37:42 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: I just know what I want to do to you next.~ - Mon Dec  7 01:37:42 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: ....wh....what do you want to do next? - Mon Dec  7 01:41:07 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: I rather show you by putting it in your face than talk about it. - Mon Dec  7 01:41:58 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: So you'll see the next time you give the okay.~ - Mon Dec  7 01:41:58 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: .....putting what in my face.... - Mon Dec  7 01:43:40 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: I'm not tasting anything. - Mon Dec  7 01:43:40 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: Kissing you is my limit for taste right now... - Mon Dec  7 01:44:32 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: We'll see. - Mon Dec  7 01:47:56 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: Hmph... - Mon Dec  7 01:48:48 2015
<br><br><font color=yellow>*Hei, Sogeki(DhatBoiNick) reaches behind his back and takes out a laced arrow, toying with it a bit.* - Mon Dec  7 01:49:39 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: Makes me want to get things started right now. - Mon Dec  7 01:49:39 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: Buuuuut.~ - Mon Dec  7 01:50:30 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: I rather have some fun first. - Mon Dec  7 01:50:30 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: .... - Mon Dec  7 01:50:30 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: So.... we are depending on the arrows now? - Mon Dec  7 01:50:30 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: Ohh, you're ready to go to the next level? - Mon Dec  7 01:51:21 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: I just thought poison was still the trigger.~ - Mon Dec  7 01:52:12 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: ..... - Mon Dec  7 01:52:12 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: It's not... a -trigger-. - Mon Dec  7 01:52:12 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: Then what is it? - Mon Dec  7 01:53:04 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: .....something that makes it...interesting. - Mon Dec  7 01:54:46 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: And.... gives you control... - Mon Dec  7 01:54:46 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: ...Shows some trust.... - Mon Dec  7 01:54:46 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: Hmm.. - Mon Dec  7 01:55:37 2015
<br><br><font color=yellow>*Hei, Sogeki(DhatBoiNick) looks down at this arrow.* - Mon Dec  7 01:55:37 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: And the poison is the only way the last two will happen? - Mon Dec  7 01:55:37 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: .....I guess not...but I might be more hesitant.... - Mon Dec  7 01:59:53 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: Because I can be. - Mon Dec  7 01:59:53 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: Hesitant because it's something that's.. new..? - Mon Dec  7 02:01:36 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: Or hesitant because it's 'sex' is in general? - Mon Dec  7 02:01:36 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: Both... - Mon Dec  7 02:04:09 2015
<br><br><font color=yellow>*Hei, Sogeki(DhatBoiNick) provides a subtle nod and shrug, placing the arrow back in his quiver.* - Mon Dec  7 02:05:00 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: Alright. We'll see. - Mon Dec  7 02:05:00 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: ...I don't mind you using the poison.... it just.. i mean.. it -does- scare me. - Mon Dec  7 02:10:08 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: Why shouldn't it? - Mon Dec  7 02:10:08 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: It can kill me.. - Mon Dec  7 02:10:08 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: It gives you total control over me except for speaking that I have seen... - Mon Dec  7 02:10:08 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: I know you've said that you get a thrill from knowing the chances of you being killed.. - Mon Dec  7 02:10:59 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: What about me having complete control? - Mon Dec  7 02:10:59 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: How do you feel about that? - Mon Dec  7 02:10:59 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: ...that scares me too. - Mon Dec  7 02:12:41 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: ...A lot. - Mon Dec  7 02:12:41 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) thinks: How am I even supposed to take that..? - Mon Dec  7 02:14:24 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: And I'm guessing me having my way with you.. scares you too? - Mon Dec  7 02:14:24 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: ....the most. - Mon Dec  7 02:14:24 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: To the point it gives you nightmares? Or to the point where it gives that weird "must do it again sometime" feeling? - Mon Dec  7 02:16:06 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: .... not nightmares. - Mon Dec  7 02:16:57 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: I like the fear... the adrenaline... you know that. - Mon Dec  7 02:16:57 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: I know, I know.. Just thinking about something.. - Mon Dec  7 02:16:57 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: Kind've weird.. how I came to realize it.. and what I was doing -to- realize it. - Mon Dec  7 02:17:48 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: What do you mean? - Mon Dec  7 02:17:48 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: When I started having my way with you.. the very get go.. It was moreso straight lust and attraction.. - Mon Dec  7 02:18:40 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: Then the start of me having my way with you the second time.. It was moreso experimenting an doing what felt.. natural to me. - Mon Dec  7 02:19:31 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: But.. towards the end of the second time.. it wasn't experimental.. it wasn't all Lust and Attraction.. - Mon Dec  7 02:19:31 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: Felt different.. - Mon Dec  7 02:20:22 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: Don't know how to explain it. - Mon Dec  7 02:20:22 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: .... I don't really understand. - Mon Dec  7 02:20:22 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: Since my experience is based off things feeling good.. or not. - Mon Dec  7 02:20:22 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: And what scared me too much or didn't. - Mon Dec  7 02:21:13 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: It was all good on my part.. that's a given.. - Mon Dec  7 02:21:13 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: I'm trying to say.. uhh. - Mon Dec  7 02:21:13 2015
<br><br><font color=yellow>*Hei, Sogeki(DhatBoiNick) thought for a second..* - Mon Dec  7 02:21:13 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: I think more 'feelings' came in to play on my part than normal.. - Mon Dec  7 02:22:04 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: Oh. - Mon Dec  7 02:24:38 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: What is considered normal for feelings? - Mon Dec  7 02:25:29 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: I mean.. normal as in the basic.. I want you and I have to have you.. type thing.. - Mon Dec  7 02:25:29 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: Toward the end it was more like.. I need you and I don't want anyone else.. - Mon Dec  7 02:26:20 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: It was more about you.. than it was about my lust.. - Mon Dec  7 02:26:20 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: On.. my part.. - Mon Dec  7 02:27:12 2015
<br><br><font color=yellow>*Hei, Sogeki(DhatBoiNick) chews on his bottom lip and momentarily looks away, grumbling a bit as well.* - Mon Dec  7 02:31:28 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) thinks: ..Trying not.. to say that one word.. - Mon Dec  7 02:31:28 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) thinks: ..Can't say it.. - Mon Dec  7 02:31:28 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: Er.. - Mon Dec  7 02:36:35 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: Alright then. - Mon Dec  7 02:36:35 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: Umm. Yeah. - Mon Dec  7 02:37:26 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: ...what's wrong - Mon Dec  7 02:37:26 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: Coming to terms with my thoughts. - Mon Dec  7 02:38:17 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: Don't worry.~ - Mon Dec  7 02:38:17 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: Do you like... taking total control over me.. when I beat your ass all the time when I'm free? - Mon Dec  7 02:39:08 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: ------- - Mon Dec  7 02:39:08 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: ...... - Mon Dec  7 02:39:08 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: Har Har.. Har. - Mon Dec  7 02:39:08 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: I mean I'm honestly asking, wasn't trying to take a shot. - Mon Dec  7 02:40:00 2015
<br><br><font color=yellow>*Hei, Sogeki(DhatBoiNick) looked at her.* - Mon Dec  7 02:40:00 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: You beating me and me having control don't really relate.. - Mon Dec  7 02:40:00 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: They don't? - Mon Dec  7 02:40:00 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: I mean, yes the thought comes up.. but. - Mon Dec  7 02:40:00 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: I think I just love being in control, getting my ass handed to me beforehand is just a plus to the situation. - Mon Dec  7 02:40:51 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: You beat me fair and square, I claim your.. - Mon Dec  7 02:40:51 2015
<br><br><font color=yellow>*Hei, Sogeki(DhatBoiNick) scans over her body.* - Mon Dec  7 02:40:51 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: Almost.. everything. - Mon Dec  7 02:40:51 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: .....O-oh. - Mon Dec  7 02:43:24 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: Now... when you say... 'claim'... you keep saying that...what does that mean..that's not like 'own' or anything is it? - Mon Dec  7 02:44:16 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: Claim as in first I guess. - Mon Dec  7 02:44:16 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: Actually.. - Mon Dec  7 02:44:16 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: Kind've.. yes.. - Mon Dec  7 02:45:07 2015
