<br><font color=teal>*Ortho(DhatBoiNick) says: I've been funding for some repairs. - Fri Nov  6 04:15:08 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Is this one of your shinobi? - Fri Nov  6 05:54:59 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: Yes, he is. - Fri Nov  6 05:55:50 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: Fresh out. - Fri Nov  6 05:55:50 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Pathetic.... - Fri Nov  6 05:55:50 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: . . . - Fri Nov  6 05:55:50 2015
<br><br><font color=teal>*Ketsu(DhatBoiNick) says: EH!? - Fri Nov  6 05:55:50 2015
<br><br><font color=teal>*Ketsu(DhatBoiNick) says: ....... - Fri Nov  6 05:55:50 2015
<br><br><font color=teal>*Ketsu(DhatBoiNick) says: Grrrrr!!! - Fri Nov  6 05:55:50 2015
<br><br><font color=yellow>*Ketsu(DhatBoiNick) goes to take a step forward, but trips. He quickly picks himself up. "..Okay maybe I'm pathetic, but HEY!!"* - Fri Nov  6 05:56:41 2015
<br><br><font color=teal>*Mana(Mirandawashere) says: So... - Fri Nov  6 05:56:41 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: Ketsu. . . - Fri Nov  6 05:57:32 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: Chill out. - Fri Nov  6 05:57:32 2015
<br><br><font color=teal>*Ketsu(DhatBoiNick) says: ..Yes, sir. - Fri Nov  6 05:57:32 2015
<br><br><font color=teal>*Nina(Ninasky115) says: If he wants to fight me, let him. - Fri Nov  6 05:58:24 2015
<br><br><font color=teal>*Nina(Ninasky115) says: I need more practice anyway... - Fri Nov  6 05:58:24 2015
<br><br><font color=teal>*Ketsu(DhatBoiNick) says: Eh..!? - Fri Nov  6 05:58:24 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: I'd rather you didn't right now. - Fri Nov  6 05:58:24 2015
<br><br><font color=teal>*Ketsu(DhatBoiNick) says: YOU WANT TO FIGHT ME!? - Fri Nov  6 05:58:24 2015
<br><br><font color=teal>*Nina(Ninasky115) says: I need a target, so sure. - Fri Nov  6 05:58:24 2015
<br><br><font color=teal>*Ketsu(DhatBoiNick) says: ...... - Fri Nov  6 05:58:24 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: I need to get more things straight, and prepare for an influx of people coming back. - Fri Nov  6 05:58:24 2015
<br><br><font color=teal>*Ketsu(DhatBoiNick) says: Well... - Fri Nov  6 05:58:24 2015
<br><br><font color=teal>*Ketsu(DhatBoiNick) says: NO thank you. - Fri Nov  6 05:58:24 2015
<br><br><font color=yellow>*Ketsu(DhatBoiNick) nods.* - Fri Nov  6 05:58:24 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: Now, could I perhaps get both of your names? - Fri Nov  6 05:59:15 2015
<br><br><font color=teal>*Nina(Ninasky115) says: I don't have a name. - Fri Nov  6 05:59:15 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: Oh? - Fri Nov  6 05:59:15 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: I see. - Fri Nov  6 05:59:15 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Call me the dark knight. - Fri Nov  6 06:00:06 2015
<br><br><font color=teal>*Ketsu(DhatBoiNick) says: Bwahahahah! - Fri Nov  6 06:00:06 2015
<br><br><font color=teal>*Nina(Ninasky115) says: And when I get out of bed, say the Dark Knight Rises. - Fri Nov  6 06:00:06 2015
<br><br><font color=teal>*Ketsu(DhatBoiNick) says: Dark knight. - Fri Nov  6 06:00:06 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: I'll call you DK for short -omit- - Fri Nov  6 06:00:06 2015
<br><br><font color=teal>*Nina(Ninasky115) says: You can call me...... - Fri Nov  6 06:00:06 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Itachi - Fri Nov  6 06:00:06 2015
<br><br><font color=teal>*Mana(Mirandawashere) says: I'm Mana. - Fri Nov  6 06:00:57 2015
<br><br><font color=teal>*Nina(Ninasky115) says: So, when are you guys getting blacksmiths? - Fri Nov  6 06:01:48 2015
<br><br><font color=teal>*Ketsu(DhatBoiNick) says: When you shut the hell up. - Fri Nov  6 06:02:40 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: As soon as I can. . . - Fri Nov  6 06:02:40 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: - - Fri Nov  6 06:02:40 2015
<br><br><font color=yellow>*Ketsu(DhatBoiNick) runs behind the Mizukage.* - Fri Nov  6 06:02:40 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: Ketsu. - Fri Nov  6 06:02:40 2015
<br><br><font color=teal>*Ketsu(DhatBoiNick) says: KIDDING! - Fri Nov  6 06:02:40 2015
<br><br><font color=teal>*Ketsu(DhatBoiNick) says: KIDDING! - Fri Nov  6 06:02:40 2015
<br><br><font color=teal>*Ketsu(DhatBoiNick) says: AYE! - Fri Nov  6 06:02:40 2015
<br><br><font color=teal>*Ketsu(DhatBoiNick) says: I WAS KIDDING! - Fri Nov  6 06:02:40 2015
<br><br><font color=teal>*Ketsu(DhatBoiNick) says: .... - Fri Nov  6 06:02:40 2015
<br><br><font color=teal>*Ketsu(DhatBoiNick) thinks: I'm dead! - Fri Nov  6 06:02:40 2015
<br><br><font color=teal>*Ketsu(DhatBoiNick) thinks: Mama! FORGIVE ME! - Fri Nov  6 06:02:40 2015
<br><br><font color=teal>*Ketsu(DhatBoiNick) thinks: I NEVER CAME BACK FROM THE- - Fri Nov  6 06:02:40 2015
<br><br><font color=teal>*Ketsu(DhatBoiNick) says: .... - Fri Nov  6 06:02:40 2015
<br><br><font color=teal>*Ketsu(DhatBoiNick) thinks: Ha, thought so. - Fri Nov  6 06:02:40 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: As I was saying. . . - Fri Nov  6 06:03:31 2015
<br><br><font color=yellow>*Ketsu(DhatBoiNick) bulks up his chest.* - Fri Nov  6 06:03:31 2015
<br><br><font color=teal>*Ketsu(DhatBoiNick) thinks: She better not say nothing. - Fri Nov  6 06:03:31 2015
<br><br><font color=teal>*Ketsu(DhatBoiNick) thinks: Ol' skillet face ass. - Fri Nov  6 06:03:31 2015
<br><br><font color=teal>*Ketsu(DhatBoiNick) thinks: HAHA. - Fri Nov  6 06:03:31 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: I'm currently in the process of paying for them all to come back. - Fri Nov  6 06:03:31 2015
<br><br><font color=teal>*Ketsu(DhatBoiNick) thinks: Aye..... - Fri Nov  6 06:03:31 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: Which. - Fri Nov  6 06:03:31 2015
<br><br><font color=teal>*Ketsu(DhatBoiNick) thinks: Good thing I'm safe in my mind... - Fri Nov  6 06:03:31 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: I need to get back to paperwork. - Fri Nov  6 06:04:22 2015
<br><br><font color=yellow>*Ketsu(DhatBoiNick) nods to himself.* - Fri Nov  6 06:04:22 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: I'm putting a rather large amount of money down to restore the village. - Fri Nov  6 06:04:22 2015
<br><br><font color=yellow>*Ketsu(DhatBoiNick) peeks from behind the Mizukage, setting his gaze on Nina to see if she was looking.* - Fri Nov  6 06:04:22 2015
<br><br><font color=yellow>*Ketsu(DhatBoiNick) ducks the fuck back.* - Fri Nov  6 06:05:13 2015
<br><br><font color=teal>*Ketsu(DhatBoiNick) thinks: She's out to get me! - Fri Nov  6 06:05:13 2015
<br><br><font color=teal>*Nina(Ninasky115) says: I see.... - Fri Nov  6 06:05:13 2015
<br><br><font color=teal>*Nina(Ninasky115) says: So, what's your name, mister Mizukage. - Fri Nov  6 06:05:13 2015
<br><br><font color=teal>*Mana(Mirandawashere) says: So... - Fri Nov  6 06:05:13 2015
<br><br><font color=teal>*Ketsu(DhatBoiNick) says: Oi! - Fri Nov  6 06:05:13 2015
<br><br><font color=teal>*Ketsu(DhatBoiNick) says: THAT'S NONE OF YOUR BUSINESS! - Fri Nov  6 06:05:13 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) thinks: Shit. I di- - Fri Nov  6 06:06:04 2015
<br><br><font color=teal>*Nina(Ninasky115) says: .......Actually, better yet. - Fri Nov  6 06:06:04 2015
<br><br><font color=yellow>*Ketsu(DhatBoiNick) peers from behind the Mizukage, his chest bulked to the sky.* - Fri Nov  6 06:06:04 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Let me show you how to throw a shuriken at an angle. - Fri Nov  6 06:06:04 2015
<br><br><font color=teal>*Ketsu(DhatBoiNick) says: You want - - Fri Nov  6 06:06:04 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Mizukage, don't move. - Fri Nov  6 06:06:04 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: . . . - Fri Nov  6 06:06:04 2015
<br><br><font color=yellow>*Ketsu(DhatBoiNick) dips under the desk.* - Fri Nov  6 06:06:04 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: If you throw one in this room. - Fri Nov  6 06:06:04 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: I won't exactly be happy. - Fri Nov  6 06:06:04 2015
<br><br><font color=teal>*Ketsu(DhatBoiNick) says: Bet you can't get me from here! - Fri Nov  6 06:06:56 2015
<br><br><font color=teal>*Ketsu(DhatBoiNick) says: You big bully! - Fri Nov  6 06:07:47 2015
<br><br><font color=teal>*Ketsu(DhatBoiNick) says: Bwahahaha! - Fri Nov  6 06:07:47 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: Ketsu. - Fri Nov  6 06:07:47 2015
<br><br><font color=yellow>*Ketsu(DhatBoiNick) peeps his head up.* - Fri Nov  6 06:07:47 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: I swear to god. - Fri Nov  6 06:07:47 2015
<br><br><font color=teal>*Ketsu(DhatBoiNick) says: Eh? - Fri Nov  6 06:07:47 2015
<br><br><font color=teal>*Ketsu(DhatBoiNick) says: Wha- I do? - Fri Nov  6 06:07:47 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: I'm going to punt you through a wall. - Fri Nov  6 06:07:47 2015
<br><br><font color=teal>*Ketsu(DhatBoiNick) says: ...... - Fri Nov  6 06:07:47 2015
<br><br><font color=teal>*Ketsu(DhatBoiNick) says: You.. are.. a... BULLY! - Fri Nov  6 06:07:47 2015
<br><br><font color=teal>*Ketsu(DhatBoiNick) says: HELP! - Fri Nov  6 06:07:47 2015
<br><br><font color=yellow>*Ketsu(DhatBoiNick) dips back under the table.* - Fri Nov  6 06:07:47 2015
<br><br><font color=yellow>*Ketsu(DhatBoiNick) hauled the fuck away, barrel rolling out.* - Fri Nov  6 06:16:19 2015
<br><br><font color=teal>*Ketsu(DhatBoiNick) says: She's a killer! - Fri Nov  6 06:16:19 2015
<br><br><font color=teal>*Ketsu(DhatBoiNick) says: Help! - Fri Nov  6 06:16:19 2015
<br><br><font color=teal>*Ketsu(DhatBoiNick) says: Stranger danger! - Fri Nov  6 06:16:19 2015
<br><br><font color=teal>*Ketsu(DhatBoiNick) says: Help! - Fri Nov  6 06:16:19 2015
<br><br><font color=teal>*Ketsu(DhatBoiNick) says: He- to the fucking -lp! - Fri Nov  6 06:16:19 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: . . . - Fri Nov  6 06:16:19 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: Will both of you stop. - Fri Nov  6 06:17:10 2015
<br><br><font color=teal>*Ketsu(DhatBoiNick) whispers: Psst, Mizukage! - Fri Nov  6 06:17:10 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: . . . - Fri Nov  6 06:17:10 2015
<br><br><font color=teal>*Ketsu(DhatBoiNick) whispers: She is obvously the devil's daughter. - Fri Nov  6 06:17:10 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: Stop talking bad about others. - Fri Nov  6 06:18:01 2015
<br><br><font color=yellow>*Ketsu(DhatBoiNick) looks at the Mizukage as if he was a traitor. "Can.. you not whisper!? The devil's daughter-" he points to Nina, "-is right there!?"

Just as he shouted that, he'd bring both his hands to his mouth and covered it. "Oops.."* - Fri Nov  6 06:20:35 2015
<br><br><font color=yellow>*Ketsu(DhatBoiNick) attempts to walk out the door. He looks at Nina, then U-Turns to take the long way.* - Fri Nov  6 06:24:00 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: Before anyone does anything. - Fri Nov  6 06:24:51 2015
<br><br><font color=yellow>*Ketsu(DhatBoiNick) gives her a quick glance before momentarily looking away. He does a double take with widened eyes. "Oh.."* - Fri Nov  6 06:27:24 2015
<br><br><font color=teal>*Ajisai(TenaciousRiven) says: . - Fri Nov  6 06:29:58 2015
<br><br><font color=teal>*Ajisai(TenaciousRiven) says: . - Fri Nov  6 06:30:49 2015
<br><br><font color=teal>*Ajisai(TenaciousRiven) says: . - Fri Nov  6 06:30:49 2015
<br><br><font color=teal>*Ajisai(TenaciousRiven) says: . - Fri Nov  6 06:31:40 2015
<br><br><font color=teal>*Ajisai(TenaciousRiven) says: . - Fri Nov  6 06:31:40 2015
<br><br><font color=teal>*Ajisai(TenaciousRiven) says: . - Fri Nov  6 06:33:23 2015
<br><br><font color=yellow>*Ketsu(DhatBoiNick) blinks a few times. He examines Ajisai's frame, allowing his eyes to soak in what he saw. He skin was extremely pale, but everything else was pretty normal. For the most parth, the katana seemed familiar but nothing was said about it. "Ehh? Did you just graduate?"* - Fri Nov  6 06:35:05 2015
<br><br><font color=yellow>*Ketsu(DhatBoiNick) folds his arms across his chest, frowning as Ajisai spoke. "Ohh, she's a cocky one huh!?" he thought as he stepped closer. "So, Mrs NonShinobi! What's your name? Ehh!?"* - Fri Nov  6 06:42:46 2015
<br><br><font color=teal>*Ajisai(TenaciousRiven) thinks: Rude. - Fri Nov  6 06:42:46 2015
<br><br><font color=yellow>*Ketsu(DhatBoiNick) nodded his head in approval. When Nina reentered his peripherals, he'd back step. Nina once already tried to kill him, so there was no point in leaving himself open for another attack! Nevertheless, he'd puff is chest out to make himself look muscular, a taunt for Nina --- he made sure she couldn't see this. Once she was out of eyesight, he'd turn to Ajisai and gave another nod. "Alright, alright. So, I'm going to ask you this once and once only..! Do.. you like.. sake!?"* - Fri Nov  6 06:49:36 2015
<br><br><font color=yellow>*Ketsu(DhatBoiNick) 's frown thickens in response to Ajisai's comment. To make things worse, the Mizukage wanted him to go mingle with the death trap known as Nina --- no thank you!

"Fine.. Be like that..! But one of these days, you'll be forced to share a drink with me!"* - Fri Nov  6 07:12:38 2015
<br><br><font color=teal>*Ajisai(TenaciousRiven) says: Pft. - Fri Nov  6 07:13:29 2015
<br><br><font color=teal>*Ketsu(DhatBoiNick) says: ... - Fri Nov  6 07:17:45 2015
<br><br><font color=teal>*Ketsu(DhatBoiNick) thinks: She thought she could run.. - Fri Nov  6 07:17:45 2015
<br><br><font color=teal>*Ketsu(DhatBoiNick) says: ..... - Fri Nov  6 07:18:36 2015
<br><br><font color=yellow>*Ketsu(DhatBoiNick) sat down with authority!* - Fri Nov  6 07:19:28 2015
<br><br><font color=teal>*Ketsu(DhatBoiNick) says: You thought you could run, didn't you! - Fri Nov  6 07:19:28 2015
<br><br><font color=teal>*Ajisai(TenaciousRiven) says: I didn't run at all, I said I was going to get sake. - Fri Nov  6 07:20:19 2015
<br><br><font color=teal>*Ajisai(TenaciousRiven) thinks: This liquid is awful. - Fri Nov  6 07:20:19 2015
<br><br><font color=yellow>*Ketsu(DhatBoiNick) looks from left to right, checking to see if the coast was clear. His posture becomes more relaxed and his voice became more subtle. In his mind, by the tone of Ajisai's skin, Ketsu believed it was Ume. Even though he believed this, though, he had a hint of doubt due to her amazing acting skills. To assure himself, he'd keep his part of the disguise going.

"Having a drink with me will rock your world! I am Ketsu the Gets'Your Girl!"* - Fri Nov  6 07:24:35 2015
<br><br><font color=yellow>*Ketsu(DhatBoiNick) 's eyes widened a bit, but quickly narrowed back to normal. The mention of peace flipped a switch in him, and in turn he gave a nod of agreement.

"Ahh. So you.. samurai's.. want peace huh?" Ketsu's voice was lower than it previously was. His tone lacked the excitement and childishness; it was more.. serious.. with a hint of nonchalant.* - Fri Nov  6 07:29:42 2015
<br><br><font color=yellow>*Ketsu(DhatBoiNick) slowly shook his head. He leans forward a bit, once again looking from left to right. "Are all samurai females as.. you know.."* - Fri Nov  6 07:36:32 2015
<br><br><font color=yellow>*Ketsu(DhatBoiNick) lifted his arm and extends his finger to her. He wasn't pointing at a specific spot on her body, but her in general. "Are they like you? So.. plain?"* - Fri Nov  6 07:38:14 2015
<br><br><font color=yellow>*Ketsu(DhatBoiNick) ducked his head.* - Fri Nov  6 07:40:48 2015
<br><br><font color=teal>*Ketsu(DhatBoiNick) says: Oi.. - Fri Nov  6 07:40:48 2015
<br><br><font color=teal>*Ketsu(DhatBoiNick) says: I was joking.. - Fri Nov  6 07:40:48 2015
<br><br><font color=teal>*Ajisai(TenaciousRiven) says: Uhuh. - Fri Nov  6 07:41:39 2015
<br><br><font color=yellow>*Ketsu(DhatBoiNick) released a sigh. He scratches the back of his head. "Let's cut to the chase.. How many years you had to train to use that thing?" He gestures to the katana. Quite frankly, we was trying to see how far he can take this conversation before any hint of 'Ume' came up.* - Fri Nov  6 07:45:04 2015
<br><br><font color=teal>*Ajisai(TenaciousRiven) says: Two, I've only been a full samurai for a couple of years. Before that I helped around the temple. - Fri Nov  6 07:45:55 2015
<br><br><font color=teal>*Ketsu(DhatBoiNick) thinks: Quick reply.. - Fri Nov  6 07:45:55 2015
<br><br><font color=teal>*Ketsu(DhatBoiNick) says: Come over here.. - Fri Nov  6 07:45:55 2015
<br><br><font color=yellow>*Ketsu(DhatBoiNick) pats the cushion next to him.* - Fri Nov  6 07:45:55 2015
<br><br><font color=teal>*Ketsu(DhatBoiNick) says: Consider the chance to be on a diet.. - Fri Nov  6 07:46:46 2015
<br><br><font color=yellow>*Ketsu(DhatBoiNick) pats the cushion again.* - Fri Nov  6 07:46:46 2015
<br><br><font color=yellow>*Ketsu(DhatBoiNick) raised his arms in submission, locking his eyes with Ajisai's. For a few seconds he'd make no sudden movements, just subtly progressin one of his hands toward hers; the one that gripped the katana. The expression of his face was pretty much blank.* - Fri Nov  6 07:52:44 2015
<br><br><font color=yellow>*Ketsu(DhatBoiNick) clenches his jaw, slowly shaking his head in response to Ajisai's last question. His hand continues to inch closer slowly, attempting to gently rest it on hers. It was clear that he wasn't trying to disarm her by forcefull means, but to possibly ease the.. false?.. tension.* - Fri Nov  6 07:57:00 2015
<br><br><font color=yellow>*Ketsu(DhatBoiNick) took the sudden jerk of the katana as an opportunity. He leans his upper body back a bit, allowing the blade to momentarily swish through the air. With the same hand he used to inch closer to hers, Ketsu grips her wrist and pulls her closer. His eyes narrow, an attempt to make sheer eye contact with her. By now, the blade would be off to the side, still in her grip, with his own hand wrapped around her wrist. He says nothing to her, just kept the eye contact going.* - Fri Nov  6 08:02:08 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: Being that I have paid for the mansion to be fixed, I'll be there if you need me. - Fri Nov  6 08:02:59 2015
<br><br><font color=yellow>*Ketsu(DhatBoiNick) leans in close, keeping his eyes fixed on Ajisai in the process. He unclenches his jaw, parting his lips slightly and begin using that as his source of breathing; each intake and exhale of air being subtle. No words said.* - Fri Nov  6 08:14:04 2015
<br><br><font color=teal>*Ajisai(TenaciousRiven) whispers: Let go of me.... - Fri Nov  6 08:14:56 2015
<br><br><font color=yellow>*Ketsu(DhatBoiNick) slowly shook his head, keeping her in place.* - Fri Nov  6 08:18:20 2015
<br><br><font color=yellow>*Ketsu(DhatBoiNick) shook his head once again. He releases her wrist, saying nothing in the process.* - Fri Nov  6 08:24:19 2015
<br><br><font color=yellow>*Ketsu(DhatBoiNick) raised his opposing hand, the one that didn't previously have Aijsai's wrist gripped, and places a finger under her chin. He straightens her head and leans in some more, leaving only a inch between them before physical contact could be made by their lips.* - Fri Nov  6 08:27:44 2015
<br><br><font color=teal>*Ajisai(TenaciousRiven) thinks: How do I keep pretending, I don't want to deny him this. - Fri Nov  6 08:28:35 2015
<br><br><font color=yellow>*Ketsu(DhatBoiNick) leans in, but only to have his lips glide against hers. Rather than planting a full kiss on her, that subtle contact between their lips was made. He trails his arms down her body and wraps them around her waist, keeping them there for the time being. He pulls his head back and attempts to make eye contact with her. A look of curiosity forms on his visage. He still hasn't said anything.* - Fri Nov  6 08:36:16 2015
<br><br><font color=yellow>*Ketsu(DhatBoiNick) shook his head once again. "Nothing, nothing." He leans in, arching his head a bit and plants the kiss on her cheek. Once retracting his head, he'd loosen the grip he had on her body until she was eventually freed. He'd turn his body slightly and face the table once again. Both his hands raise to his head and rub through his hair, his fingers extend and retract every so often; giving him a good scratch of his skull.  "Pretty good disguise. I thought I did a decent job, but you topped me easily."* - Fri Nov  6 08:43:56 2015
<br><br><font color=yellow>*Ketsu(DhatBoiNick) glances at Ajisai, removes his hands from his hair and chuckling. "Weird how..? Uneasy or something?"* - Fri Nov  6 08:46:30 2015
<br><br><font color=teal>*Ajisai(TenaciousRiven) says: And it tasted terrible. - Fri Nov  6 08:47:21 2015
<br><br><font color=yellow>*Ketsu(DhatBoiNick) chuckles. "Yeah, it does that. You'll get used to the taste if you keep drinking. If."* - Fri Nov  6 08:52:28 2015
<br><br><font color=teal>*Ajisai(TenaciousRiven) says: I don't think I will.. - Fri Nov  6 08:52:28 2015
<br><br><font color=yellow>*Ketsu(DhatBoiNick) || A smirks creeps on his face as he gave a nod of approval. With a lack of modesty, he'd pan over her body with his eyes before looking at her. "Uh huh.~"* - Fri Nov  6 08:56:44 2015
<br><br><font color=yellow>*Ketsu(DhatBoiNick) didn't exactly know how to reply to that, so he nodded and gave a basic answer. "Alright, uhh. Are you talking about down.. there..?"* - Fri Nov  6 09:00:09 2015
<br><br><font color=yellow>*Ketsu(DhatBoiNick) || "Alright, alright. We probably shouldn't do this here. Go ahead and find a nearby house and I'll be right there." Ketsu stands to his feet, offers his hand for Ajisai to use as leverage to get up and sends her off. Meanwhile, he'd go over to the Bartender. He whispers back and forth before handing over yen in exchange for a few magazines/scroll/whatever. From there, he'd pace out the pub after Ajisai.* - Fri Nov  6 09:05:16 2015
<br><br><font color=yellow>*Ketsu(DhatBoiNick) enters the house with the magazines/scrolls in hand. He walks over the to table and sits next to Ajisai, places the picture books down and sighed.* - Fri Nov  6 09:09:32 2015
<br><br><font color=yellow>*Ketsu(DhatBoiNick) takes one up and shows her the cover. On it was a half naked female that only had a see-through night gown on. "It's.. how I'm going to help you."* - Fri Nov  6 09:11:15 2015
<br><br><font color=teal>*Ajisai(TenaciousRiven) says: Okay. - Fri Nov  6 09:12:06 2015
<br><br><font color=teal>*Ajisai(TenaciousRiven) thinks: Those clothing don't look very useful for warmth. - Fri Nov  6 09:12:06 2015
<br><br><font color=yellow>*Ketsu(DhatBoiNick) opens the magazine to the first page, showing it to Ajisai. The page had multiple females in similar clothing. Each stood facing the camera, and viewers of the page, with their breasts exposed. Their lower bodies only had thongs attached, and even then it didn't do much to hide the intentionally made cameltoes.* - Fri Nov  6 09:13:48 2015
<br><br><font color=teal>*Ketsu(DhatBoiNick) says: See.. something you know you don't have..? - Fri Nov  6 09:14:40 2015
<br><br><font color=yellow>*Ketsu(DhatBoiNick) takes a glance at the page then instinctively looks down at Ajisai's before returning back to the page. "Those are nipples. They harden when a female is aroused, cold and other stuff. They belong on your breasts." Ketsu would point to the number of nipples on the page then turn to look at Ketsu to see if she was able to comprehend just a little.* - Fri Nov  6 09:18:04 2015
<br><br><font color=yellow>*Ketsu(DhatBoiNick) blinks. He watched her go silent for a few moments before turning to him like nothing happened. He blinks a few more times, panning his eyes over her body out of curiosity to see if it really was that easy for her change. "Uhh, next is.." he flips the page and shows her a female sitting on a chair with her legs wide open and propped up. He mound was bare from any form of panties and pubic hair. She had two fingers separating her lips, giving the viewers a full show of what she had. "This is a vagina, the thing I told you about that females have."* - Fri Nov  6 09:24:03 2015
<br><br><font color=yellow>*Ketsu(DhatBoiNick) 's raised an eyebrow, watching as she leaned forward to get a better look. "Y-Yeah.. Uhh, apart from that I'm not exactly sure what else you're missing."* - Fri Nov  6 09:28:19 2015
<br><br><font color=yellow>*Ketsu(DhatBoiNick) 's eyes widened. He watched her going to that state of sheer concentration, remaining quiet to not break it. When she turns to look at him, he'd blink a few time before nodding. "Sure, sure. Just.. you know.. take off your clothes."* - Fri Nov  6 09:31:44 2015
<br><br><font color=teal>*Ajisai(TenaciousRiven) thinks: I meant check the book but.... - Fri Nov  6 09:31:44 2015
<br><br><font color=yellow>*Ketsu(DhatBoiNick) tried his best to excessively stare at her body as she disrobed. He kept his gaze on her, now smaller, breasts and trailed down to her bound. An audible sigh escaped Ketsu followed by a cough. He looks back at the magazine in his hand and flips through a few more pages. Each new page had something similar to the previous, but a difference was clear. "The rest of the stuff is just.. pre-fertilization stu-," he was cut off at a clear image of a man taking a female from the back. He knew something like this would be shown, but the placement of the image, after the previous page only showed something less vulgar, caught him off guard. "-Pre-firtilization stuff."* - Fri Nov  6 09:40:16 2015
<br><br><font color=yellow>*Ketsu(DhatBoiNick) nodded his head. Maturity made awkward moments easier to live through. "When it comes to this magazine, it is another hole a male put his.. tool.. into to help in this pre-fertilization process."* - Fri Nov  6 09:47:56 2015
<br><br><font color=teal>*Ajisai(TenaciousRiven) says: Why do you need another one? - Fri Nov  6 09:48:48 2015
<br><br><font color=teal>*Ketsu(DhatBoiNick) says: Pleasure. - Fri Nov  6 09:49:39 2015
<br><br><font color=teal>*Ketsu(DhatBoiNick) says: Some people like the feeling.. - Fri Nov  6 09:49:39 2015
<br><br><font color=teal>*Ajisai(TenaciousRiven) thinks: I can't feel pleasure... - Fri Nov  6 09:49:39 2015
<br><br><font color=yellow>*Ketsu(DhatBoiNick) continues to flip through the magazine, allowing her enough time to examine picture after picture. For the most part there wasn't anything missing, but for her curiosity he'd keep scrolling through. At one point in the magazine, a page was triple folded so he had to turn the book to its side and allow the page to fall to its full length. On the page was two different pictures that featured the same two females.

The top picture was of a female providing the male with oral favors while the second picture, below the first, was the end result.

Ketsu remained calm, but clances toward Ajisai before going to fold the page back up and continuing to flip through. "Uhh, uh.. No, I think that's it."* - Fri Nov  6 09:54:46 2015
<br><br><font color=yellow>*Ketsu(DhatBoiNick) closed the magazine and placed it back on the table. He releases a sigh and leans back first against the wall, entering his nonchalant posture. He glances at Ajisai, taking in the sight of her body. He quickly averts his eyes, biting down on his bottom lip a bit. "Y-Yeah.. That's was all."* - Fri Nov  6 09:59:53 2015
<br><br><font color=teal>*Ajisai(TenaciousRiven) thinks: Hm... he's acting like Index was. - Fri Nov  6 10:01:36 2015
<br><br><font color=yellow>*Ketsu(DhatBoiNick) gulped. Temptations were clouding his mind, but he did his best. He kept straightens his head and looks forward. "Uh-Uh.. So, um."* - Fri Nov  6 14:03:05 2015
<br><br><font color=teal>*Hogo, Ikaro(EvolutionMe) says: . . . Right. - Fri Nov  6 17:56:03 2015
<br><br><font color=teal>*Hogo, Ikaro(EvolutionMe) says: Do you want me to teach you anything or no? - - You seriously do send mixed signals. - Fri Nov  6 17:56:03 2015
<br><br><font color=teal>*Kana(Zoey-Lover) says: I don't like the idea of being 'taught' things, it makes me feel weak and helpless. - Fri Nov  6 17:57:45 2015
<br><br><font color=teal>*Kana(Zoey-Lover) says: Like the new Mizukage. - Fri Nov  6 17:57:45 2015
