<br><font color=teal>*Zetseun, Cypher(Jjking218) says: So you could make a pill to give me green eyes or something? - Wed Oct  7 15:44:38 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: I'll simply inform you to watch your words. - Wed Oct  7 21:01:13 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: Yo', bro. - Wed Oct  7 21:02:04 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: Should we go find Raikage man for the orders? - Wed Oct  7 21:02:04 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: Weirdos. - Wed Oct  7 21:02:56 2015
<br><br><font color=teal>*Reguel(Airide) says: It's not I'm saying something wrong, is it? - Wed Oct  7 21:02:56 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Ye. - Wed Oct  7 21:03:47 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Might as well. - Wed Oct  7 21:03:47 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: Work on your sentence structure. - Wed Oct  7 21:03:47 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: T- - Wed Oct  7 21:03:47 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Yo. - Wed Oct  7 21:03:47 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: It'll help. - Wed Oct  7 21:03:47 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Your money. - Wed Oct  7 21:03:47 2015
<br><br><font color=teal>*Reguel(Airide) says: I'll think about it. - Wed Oct  7 21:04:38 2015
<br><br><font color=teal>*Maloth(Gtgoku88) thinks: Is tal' funny. . . - Wed Oct  7 21:04:38 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: Lets go then. - Wed Oct  7 21:05:29 2015
<br><br><font color=teal>*Reguel(Airide) says: Then again I've probably been around Maloth too long if my sentences aren't making much sense. - Wed Oct  7 21:05:29 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Cmere. - Wed Oct  7 21:10:36 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: So Misa. - Wed Oct  7 21:31:05 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: Where shall the winds be taking you next? - Wed Oct  7 21:31:05 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: I don't have a clue. - Wed Oct  7 21:31:56 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: I see. - Wed Oct  7 21:31:56 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: I need to get super strong. - Wed Oct  7 21:31:56 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: As do I. - Wed Oct  7 21:31:56 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: I'm a mere child compared to these shinobi. - Wed Oct  7 21:31:56 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: I feel you!! - Wed Oct  7 21:31:56 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: I might have to train with you from now on. - Wed Oct  7 21:33:39 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: Maybe. - Wed Oct  7 21:33:39 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: No point in going. - Wed Oct  7 22:08:38 2015
<br><br><font color=teal>*Geralt(Chaos Commander2015) says: Oh? - Wed Oct  7 22:08:38 2015
<br><br><font color=teal>*Geralt(Chaos Commander2015) says: Why is that? - Wed Oct  7 22:08:38 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: You'll be dropped by their guards. - Wed Oct  7 22:08:38 2015
<br><br><font color=teal>*Geralt(Chaos Commander2015) says: Really? - Wed Oct  7 22:09:29 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: Yes. - Wed Oct  7 22:09:29 2015
<br><br><font color=teal>*Geralt(Chaos Commander2015) says: They won't even let a traveler in? - Wed Oct  7 22:09:29 2015
<br><br><font color=teal>*Geralt(Chaos Commander2015) says: Not associated with a village? - Wed Oct  7 22:09:29 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: Unlikely. - Wed Oct  7 22:09:29 2015
<br><br><font color=teal>*Geralt(Chaos Commander2015) says: Hmph. - Wed Oct  7 22:09:29 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: Where are we going? - Wed Oct  7 22:23:08 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: You sharing? - Wed Oct  7 22:57:16 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: .... - Wed Oct  7 22:57:16 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: ... - Wed Oct  7 22:57:16 2015
<br><br><font color=teal>*Geralt(Chaos Commander2015) says: Well, you people are. . . - Wed Oct  7 23:51:53 2015
<br><br><font color=teal>*Geralt(Chaos Commander2015) says: Interesting. - Wed Oct  7 23:51:53 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: Very quiet. - Wed Oct  7 23:51:53 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: Eh... - Wed Oct  7 23:52:44 2015
<br><br><font color=teal>*Geralt(Chaos Commander2015) says: Hm? - Wed Oct  7 23:52:44 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: Silence is bliss at times. - Wed Oct  7 23:53:36 2015
<br><br><font color=teal>*Geralt(Chaos Commander2015) says: Only at times? - Wed Oct  7 23:53:36 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: Yes. - Wed Oct  7 23:54:27 2015
<br><br><font color=teal>*Caillou(Reddestror2) says: ... Aye. - Wed Oct  7 23:54:27 2015
<br><br><font color=teal>*Caillou(Reddestror2) says: What's going on everyone? - Wed Oct  7 23:54:27 2015
<br><br><font color=teal>*Geralt(Chaos Commander2015) says: I'd prefer a world of silence. - Wed Oct  7 23:55:18 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: Huh? - Wed Oct  7 23:55:18 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: Silence only pains me when I meet my victims. - Wed Oct  7 23:55:18 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: At other times, it's perfectly fine however. - Wed Oct  7 23:56:09 2015
<br><br><font color=teal>*Caillou(Reddestror2) says: ... - Wed Oct  7 23:57:00 2015
<br><br><font color=teal>*Caillou(Reddestror2) says: Okayyyyy you guys must be fun at parties. - Wed Oct  7 23:57:00 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: Only when I do my sword trick. - Wed Oct  7 23:57:52 2015
<br><br><font color=teal>*Caillou(Reddestror2) says: Can you swallow it? - Wed Oct  7 23:57:52 2015
<br><br><font color=teal>*Caillou(Reddestror2) says: Or something? - Wed Oct  7 23:57:52 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: I can make it dance. - Wed Oct  7 23:58:43 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: I swallow.~ - Wed Oct  7 23:58:43 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: You don't. - Wed Oct  7 23:58:43 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: Yeah I do! - Wed Oct  7 23:58:43 2015
<br><br><font color=teal>*Geralt(Chaos Commander2015) says: . . . - Wed Oct  7 23:58:43 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: Last time I checked, you told me,  and I quote, 'I don't swallow.' - Wed Oct  7 23:59:34 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: ... - Wed Oct  7 23:59:34 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: I suck. - Wed Oct  7 23:59:34 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: I swallowed milk earlier. - Wed Oct  7 23:59:34 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: No, you don't suck. - Wed Oct  7 23:59:34 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: You're perfectly fine. - Thu Oct  8 00:00:25 2015
<br><br><font color=teal>*Geralt(Chaos Commander2015) says: . . .Anyone else turned on a bit? - Thu Oct  8 00:00:25 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: ..... - Thu Oct  8 00:00:25 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: What does she mean by swallow and suck? - Thu Oct  8 00:00:25 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: Such a filthy mind. - Thu Oct  8 00:00:25 2015
<br><br><font color=teal>*Caillou(Reddestror2) says: ... - Thu Oct  8 00:00:25 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: ... - Thu Oct  8 00:00:25 2015
<br><br><font color=teal>*Geralt(Chaos Commander2015) says: . . . - Thu Oct  8 00:00:25 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: You guys are perverts. - Thu Oct  8 00:00:25 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: Ewwww. - Thu Oct  8 00:00:25 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: Tsk.. - Thu Oct  8 00:00:25 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: Perverts. - Thu Oct  8 00:00:25 2015
<br><br><font color=teal>*Caillou(Reddestror2) thinks: HOly hell these people are just all out with their stuff. - Thu Oct  8 00:00:25 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: Disgusting. - Thu Oct  8 00:00:25 2015
<br><br><font color=teal>*Caillou(Reddestror2) thinks: Fucing people with hair are weird. - Thu Oct  8 00:01:16 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: ... - Thu Oct  8 00:01:16 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) thinks: They'll never know... - Thu Oct  8 00:01:16 2015
<br><br><font color=teal>*Caillou(Reddestror2) thinks: The hell is wrong with these turnip head ass. - Thu Oct  8 00:01:16 2015
<br><br><font color=yellow>*Ortho(DhatBoiNick) smacks Misa's right ass cheek to make it look like Sabo did it.* - Thu Oct  8 00:02:08 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: ... - Thu Oct  8 00:02:08 2015
<br><br><font color=teal>*Caillou(Reddestror2) says: ... - Thu Oct  8 00:02:08 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) thinks: First people didn't talk enough...now they talk to much... - Thu Oct  8 00:02:08 2015
<br><br><font color=teal>*Caillou(Reddestror2) says: Well, that was a fun conversation... I guess? - Thu Oct  8 00:02:59 2015
<br><br><font color=teal>*Pebble Lee(Get Jazzy) says: Bitch. - Thu Oct  8 00:03:50 2015
<br><br><font color=teal>*Pebble Lee(Get Jazzy) says: -omit saying bitch- - Thu Oct  8 00:04:41 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: BOOOOOOOOOOOOORING! - Thu Oct  8 00:11:31 2015
<br><br><font color=teal>*Caillou(Reddestror2) says: Sooooo what's all of your names? - Thu Oct  8 00:12:22 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: Hello! - Thu Oct  8 00:12:22 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: I'm Khalil. - Thu Oct  8 00:12:22 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: nah nigga, i dont want anything to do with you - Thu Oct  8 00:13:13 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: Hm... - Thu Oct  8 00:13:13 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: Misa. - Thu Oct  8 00:13:13 2015
<br><br><font color=teal>*Caillou(Reddestror2) says: M? - Thu Oct  8 00:13:13 2015
<br><br><font color=teal>*Caillou(Reddestror2) says: Me*? - Thu Oct  8 00:13:13 2015
<br><br><font color=yellow>*Ortho(DhatBoiNick) 's eyes wandered off to Misa, setting upon her marvelous frame. A slow shake of his head is given as he examined the specimen. "You just don't know," echoes through his mind.* - Thu Oct  8 00:13:13 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: I overheard someone speaking of titles before. - Thu Oct  8 00:13:13 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: Would you like to help me conjure a title for myself? - Thu Oct  8 00:14:04 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: titties* - Thu Oct  8 00:14:04 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: -omit- - Thu Oct  8 00:14:04 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: I dunno'. - Thu Oct  8 00:14:04 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Question, Misa.. - Thu Oct  8 00:14:56 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: Yeah?~ - Thu Oct  8 00:14:56 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Do you resemble your mother of father? - Thu Oct  8 00:14:56 2015
<br><br><font color=teal>*Caillou(Reddestror2) thinks: Must be her pimp.. - Thu Oct  8 00:14:56 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: Uhm.. - Thu Oct  8 00:16:38 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: ..... I don't actually know.. - Thu Oct  8 00:16:38 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: Probably mama, teehee.~ - Thu Oct  8 00:16:38 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: ... - Thu Oct  8 00:17:29 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) thinks: Ugh... - Thu Oct  8 00:17:29 2015
<br><br><font color=teal>*Sabara, Izutora(Get Jazzy) thinks: Her airhead stat is higher than her youth stat? What is this madness? - Thu Oct  8 00:17:29 2015
<br><br><font color=teal>*Geralt(Chaos Commander2015) thinks: What is wrong with people? And I thought I was messed up. - Thu Oct  8 00:18:20 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) thinks: He's stretching... - Thu Oct  8 00:18:20 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) thinks: If he makes any potential moves...His throat is mine... - Thu Oct  8 00:18:20 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) thinks: Same with the rest of these hooligans... - Thu Oct  8 00:19:12 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) thinks: Always making a ruckus amongst the soil. - Thu Oct  8 00:19:12 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: Why'd you ask, Orthy?~ - Thu Oct  8 00:19:12 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) thinks: I did make her a promise, and I must keep it. - Thu Oct  8 00:19:12 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: Done what long? - Thu Oct  8 00:20:54 2015
<br><br><font color=teal>*Caillou(Reddestror2) says: ...You know been in this...commensalistic relationship... - Thu Oct  8 00:21:45 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: .... - Thu Oct  8 00:22:36 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: It's a simple friendship, nothing more. - Thu Oct  8 00:22:36 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: ... - Thu Oct  8 00:23:28 2015
<br><br><font color=teal>*Caillou(Reddestror2) says: You seem very protecttive of your.. friend. - Thu Oct  8 00:23:28 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: I made a promise. - Thu Oct  8 00:23:28 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: Sabo don't break promises.~ - Thu Oct  8 00:23:28 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: Sabo's always too serious.~ - Thu Oct  8 00:26:01 2015
<br><br><font color=teal>*Caillou(Reddestror2) says: E-ehh, clothes I'm not trying to offend or mess with your business! I'm just trying to help... - Thu Oct  8 00:26:52 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: She's capable of purchasing her own clothes. I don't own her. - Thu Oct  8 00:26:52 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: .... - Thu Oct  8 00:27:44 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) thinks: Is this some kind of youth priest...? - Thu Oct  8 00:27:44 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) thinks: If so, I'll be killing it. - Thu Oct  8 00:28:35 2015
<br><br><font color=teal>*Caillou(Reddestror2) says: ... You can give it to her as a gift.. - Thu Oct  8 00:28:35 2015
<br><br><font color=teal>*Sabara, Izutora(Get Jazzy) says: Now! I must perform my daily mountain climbing! - Thu Oct  8 00:28:35 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: I've other things in mind for a gift. - Thu Oct  8 00:28:35 2015
<br><br><font color=teal>*Caillou(Reddestror2) says: ... - Thu Oct  8 00:30:17 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: .... - Thu Oct  8 00:31:08 2015
<br><br><font color=teal>*Caillou(Reddestror2) says: ... - Thu Oct  8 00:31:08 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: Sabo, I wouldn't mind if you killed him. - Thu Oct  8 00:31:08 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: Just putting that out now. - Thu Oct  8 00:31:08 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: Soooooooooooooooo.... - Thu Oct  8 00:36:16 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: I could have. - Thu Oct  8 00:36:16 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: But then you'd only have a split second to move before I removed your head from your shoulders. - Thu Oct  8 00:36:16 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: And that's unfair. - Thu Oct  8 00:36:16 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: Why is everyone so quiet. - Thu Oct  8 00:37:58 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: I don't know.. - Thu Oct  8 00:37:58 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: Let's party! - Thu Oct  8 00:37:58 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: Yeah! - Thu Oct  8 00:37:58 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: Lets get something to drink! - Thu Oct  8 00:37:58 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: I'll do my sword trick. - Thu Oct  8 00:37:58 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: Oh.. I don't wanna drink, sake. - Thu Oct  8 00:37:58 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: Too bad, I'm forcing you. - Thu Oct  8 00:38:49 2015
<br><br><font color=teal>*Caillou(Reddestror2) says: Wow you are a pretty rude guy. - Thu Oct  8 00:38:49 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Last time people went to eat and drink... - Thu Oct  8 00:38:49 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: The ramen shop...turned into a death arena... - Thu Oct  8 00:38:49 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) thinks: People nearly died. - Thu Oct  8 00:38:49 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: I don't wanna drink. - Thu Oct  8 00:38:49 2015
<br><br><font color=teal>*Storm(Sisbro55) thinks: ...That sounds Lit as fuck. - Thu Oct  8 00:38:49 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) thinks: Scary as shit. - Thu Oct  8 00:40:32 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: --- - Thu Oct  8 00:44:48 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) thinks: Stripper? Huh. - Thu Oct  8 00:44:48 2015
<br><br><font color=teal>*Caillou(Reddestror2) says: ... - Thu Oct  8 00:44:48 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: ---- - Thu Oct  8 00:44:48 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) thinks: When was this...? - Thu Oct  8 00:44:48 2015
<br><br><font color=teal>*Sabara, Izutora(Get Jazzy) thinks: What is a stripper? - Thu Oct  8 00:45:39 2015
<br><br><font color=teal>*Storm(Sisbro55) thinks: Stripper.. - Thu Oct  8 00:45:39 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: ... - Thu Oct  8 00:46:30 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: I quit you know.. I don't do those things anymore. - Thu Oct  8 00:46:30 2015
<br><br><font color=teal>*Caillou(Reddestror2) says: How much did you strip for? - Thu Oct  8 00:46:30 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: Why do you want to know? - Thu Oct  8 00:46:30 2015
<br><br><font color=teal>*Caillou(Reddestror2) says: Just cruiose My head is always bald, but i wonder how much you got for bareing all. - Thu Oct  8 00:47:21 2015
<br><br><font color=teal>*Caillou(Reddestror2) says: Respectfully. - Thu Oct  8 00:48:12 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: Sabo, relax. It was a joke. - Thu Oct  8 00:49:04 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: ... - Thu Oct  8 00:50:46 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: Tch... - Thu Oct  8 00:52:28 2015
<br><br><font color=teal>*Storm(Sisbro55) thinks: Someone tooted. - Thu Oct  8 00:55:53 2015
<br><br><font color=teal>*Storm(Sisbro55) says: He yo cuz_ - Thu Oct  8 00:57:36 2015
<br><br><font color=teal>*Storm(Sisbro55) says: omit - Thu Oct  8 00:57:36 2015
<br><br><font color=teal>*Aiyana(PrisonerOfWar) says: What was his name. - Thu Oct  8 01:01:52 2015
<br><br><font color=teal>*Aiyana(PrisonerOfWar) says: Ushinawa? - Thu Oct  8 01:01:52 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: That's my twin I can't find. - Thu Oct  8 01:01:52 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: Ironic. - Thu Oct  8 01:01:52 2015
<br><br><font color=teal>*Aiyana(PrisonerOfWar) says: .... - Thu Oct  8 01:01:52 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: We don't look nothing alike.~ - Thu Oct  8 01:01:52 2015
<br><br><font color=teal>*Aiyana(PrisonerOfWar) says: I can end your search right now. - Thu Oct  8 01:02:43 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: Huh, you know where he is? - Thu Oct  8 01:02:43 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: Thanks. Uh, Sabo I would bring you along but...  - Thu Oct  8 01:11:15 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: I understand. - Thu Oct  8 01:11:15 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: Sorry.. - Thu Oct  8 01:12:06 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: It's fine. - Thu Oct  8 01:12:06 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: Just be safe. - Thu Oct  8 01:12:06 2015
<br><br><font color=teal>*Aiyana(PrisonerOfWar) thinks: Was there a reason why Ushinawa never mentioned her. - Thu Oct  8 01:12:57 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: From the stories I've heard, I'm nowhere safe. - Thu Oct  8 01:12:57 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: .... - Thu Oct  8 01:16:22 2015
<br><br><font color=teal>*Caillou(Reddestror2) says: .. - Thu Oct  8 01:19:47 2015
<br><br><font color=teal>*Caillou(Reddestror2) thinks: Not when your dressed like that. - Thu Oct  8 01:19:47 2015
<br><br><font color=teal>*Sabara, Izutora(Get Jazzy) thinks: That hawk is more youthful than her... - Thu Oct  8 01:32:35 2015
<br><br><font color=teal>*Aiyana(PrisonerOfWar) says: ... - Thu Oct  8 01:35:08 2015
<br><br><font color=teal>*Aiyana(PrisonerOfWar) thinks: She is leaving? - Thu Oct  8 01:35:08 2015
<br><br><font color=teal>*Caillou(Reddestror2) says: So... - Thu Oct  8 01:41:07 2015
<br><br><font color=teal>*Caillou(Reddestror2) says: How's everyone? - Thu Oct  8 01:41:07 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: ... - Thu Oct  8 01:41:58 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) thinks: I really am the only black dude here. - Thu Oct  8 16:05:32 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) thinks: Chink bastards. - Thu Oct  8 16:05:32 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Ummm, hi everybody. - Thu Oct  8 16:07:15 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Yo. - Thu Oct  8 16:07:15 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: I like your style. - Thu Oct  8 16:07:15 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) thinks: Then again, only lesbians wear long coats. - Thu Oct  8 16:08:06 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Sup, sis. - Thu Oct  8 16:08:57 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: Hi. - Thu Oct  8 16:08:57 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: I wanted to congratulate you on making Head Medic. - Thu Oct  8 16:09:48 2015
<br><br><font color=yellow>*Ortho(DhatBoiNick) remained stationary and quiet. Whatever small talk the surrounding shinobi were having didn't taste right to him; the more one talks, the more they fuck themselves over. The subtle greetings began to rain down the area, but Ortho simply lowered his head slightly and momentarily closed his eyes while folding his arms across his chest. He leans back first against the mountain side and simply listened.* - Thu Oct  8 16:09:48 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: Thank you. - Thu Oct  8 16:10:40 2015
<br><br><font color=yellow>*Ortho(DhatBoiNick) 's current emotional standing wasn't in the area zone of sadness, but rather in the annoyance jurisdiction. However, the reasoning behind this was unknown --- Ortho was just easily annoyed. Nevertheless, the direct attention given to him by Nina forced him to reopen his eyes and raise his head enough to give her a good look at his blank expression. "I am fine, woman."* - Thu Oct  8 16:14:56 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) thinks: And that is why annoying people die first. - Thu Oct  8 16:18:20 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: Ortho. - Thu Oct  8 16:20:54 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: How are you. . . - Thu Oct  8 16:20:54 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) thinks: That name. - Thu Oct  8 16:20:54 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Damn.. Think Ima pay a visit to Suna. - Thu Oct  8 16:21:45 2015
<br><br><font color=yellow>*Ortho(DhatBoiNick) slowly shook his head, denying the offer trail Nina to any place else. For one, he refused to play with any little girl of any sort; he is a ninja within this shinobi world that can easily find grown vagina to fuck --- Nina was nowhere near being a candidate. Secondly, death only occurs when the unknowing finally realize that fate has no boundaries. "I am fine here, woman." With that being said, in a low tone so that only Nina and those in the immediate area can hear, Ortho turned his head slightly to meet Misa's gaze. "Misa."* - Thu Oct  8 16:25:10 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: Damn, he's confessing his love to his sister? - Thu Oct  8 16:27:44 2015
<br><br><font color=yellow>*Ortho(DhatBoiNick) slides into Kojiro's sister like "SWOOSH".* - Thu Oct  8 16:27:44 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: He admitted to masturbating to her when she slept - Thu Oct  8 16:27:44 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: Kojiro the type of nigga to think, "my little sister can't be this cute". - Thu Oct  8 16:27:44 2015
