<br><font color=teal>*Nari(Ej247) whispers: Wow these fish cakes are dry. - Mon Nov  9 03:49:58 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: D-Do you two wanna come w-watch? - Mon Nov  9 21:29:48 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: - - Mon Nov  9 21:29:48 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: How about it Nari? Wanna go watch? - Mon Nov  9 21:30:40 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: Nari seems to be zoned out. - Mon Nov  9 21:33:13 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: I'll come watch though. - Mon Nov  9 21:33:13 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: So, are you sure about this? - Mon Nov  9 21:34:56 2015
<br><br><font color=teal>*Nari(Ej247) whispers: couldn't wai tfor me? - Mon Nov  9 21:34:56 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: You zoned out. - Mon Nov  9 21:34:56 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: O-Oh yea.. - Mon Nov  9 21:34:56 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: S-Shall I go first? - Mon Nov  9 21:34:56 2015
<br><br><font color=teal>*Nari(Ej247) whispers: right I hope you enjoy the couch tonight. - Mon Nov  9 21:34:56 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: 0 - Mon Nov  9 21:35:47 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: -omit- - Mon Nov  9 21:35:47 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: I see how it is. - Mon Nov  9 21:35:47 2015
<br><br><font color=teal>*Nari(Ej247) whispers: I'm joking. - Mon Nov  9 21:35:47 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) thinks: Hopefully this fight isn't too good. . .I'll get too worked up. - Mon Nov  9 21:35:47 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) thinks: O-Oh a blade.. - Mon Nov  9 21:35:47 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) thinks: H-How to go about this.. - Mon Nov  9 21:36:38 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) whispers: Pfft, whatever. - Mon Nov  9 21:37:29 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) whispers: Sleep well? - Mon Nov  9 21:46:52 2015
<br><br><font color=teal>*Nari(Ej247) whispers: I was up just was smoking - Mon Nov  9 21:48:35 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) whispers: I see. - Mon Nov  9 21:48:35 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) whispers: Didn't even share? - Mon Nov  9 21:48:35 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) whispers: Selfish. - Mon Nov  9 21:48:35 2015
<br><br><font color=teal>*Nari(Ej247) whispers: Well you walked outside before I could tell you. - Mon Nov  9 21:50:17 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) whispers: Pfft, whatever. - Mon Nov  9 21:50:17 2015
<br><br><font color=teal>*Nari(Ej247) whispers: Well this isn't really all that fun. - Mon Nov  9 21:52:51 2015
<br><br><font color=teal>*Nari(Ej247) whispers: I'm head home and smoke some more. - Mon Nov  9 21:52:51 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) whispers: Shhh. . .one of them wanted to spar me. . . - Mon Nov  9 21:52:51 2015
<br><br><font color=teal>*Nari(Ej247) whispers: . . . - Mon Nov  9 21:52:51 2015
<br><br><font color=teal>*Nari(Ej247) whispers: Whay for? - Mon Nov  9 21:53:42 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) whispers: I'm curious if they could draw it out. . . - Mon Nov  9 21:53:42 2015
<br><br><font color=teal>*Nari(Ej247) whispers: (oh so Nari knows about it? - Mon Nov  9 21:53:42 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) whispers: I mean.) - Mon Nov  9 21:53:42 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) whispers: She's been with him for IC years right?) - Mon Nov  9 21:53:42 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) whispers: Juugo couldn't control it lol, why would I be able to.) - Mon Nov  9 21:53:42 2015
<br><br><font color=teal>*Nari(Ej247) whispers: (true - Mon Nov  9 21:54:33 2015
<br><br><font color=teal>*Nari(Ej247) whispers: Maybe you shouldn't be watching this then. - Mon Nov  9 21:54:33 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) whispers: I need to get 7+ intel.) - Mon Nov  9 21:54:33 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) whispers: More.) - Mon Nov  9 21:54:33 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) whispers: To be all good.) - Mon Nov  9 21:54:33 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) whispers: Nari. . .it's going to happen sooner or later. . .and it hasn't recently. - Mon Nov  9 21:54:33 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) thinks: T-This is annoying.. - Mon Nov  9 21:55:24 2015
<br><br><font color=teal>*Nari(Ej247) whispers: So. - Mon Nov  9 21:56:16 2015
<br><br><font color=teal>*Nari(Ej247) whispers: Why make it happen by doing something you know going to make your lose it. - Mon Nov  9 21:56:16 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) whispers: You're right. . too many people anyway. - Mon Nov  9 21:57:07 2015
<br><br><font color=teal>*Nari(Ej247) whispers: So want to head home? - Mon Nov  9 21:57:07 2015
<br><br><font color=teal>*Nari(Ej247) whispers: Or well want to go for a walk? - Mon Nov  9 21:57:58 2015
<br><br><font color=teal>*Nari(Ej247) whispers: Maybe see if we can get a pass to walk outside the village walls. - Mon Nov  9 21:57:58 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) whispers: Eh? Why do that? - Mon Nov  9 21:57:58 2015
<br><br><font color=teal>*Nari(Ej247) whispers: To get some fresh air outside of the walls. - Mon Nov  9 22:00:32 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) whispers: Are you sick of being in them? - Mon Nov  9 22:03:05 2015
<br><br><font color=teal>*Nari(Ej247) whispers: No not sick. - Mon Nov  9 22:04:48 2015
<br><br><font color=teal>*Nari(Ej247) whispers: Just want to explore I guess. - Mon Nov  9 22:04:48 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) whispers: I see, we could simply walk around the village for now. - Mon Nov  9 22:05:39 2015
<br><br><font color=teal>*Nari(Ej247) whispers: Well we can watch them fight I guess but after we can walk around.. - Mon Nov  9 22:06:30 2015
<br><br><font color=teal>*Nari(Ej247) whispers: Plus I'm really stoned right now.-smiles - Mon Nov  9 22:06:30 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) whispers: Of course. - Mon Nov  9 22:06:30 2015
<br><br><font color=yellow>*Nari(Ej247) wraps her arms around Azas and would move to elan her head on his shoulder.

* - Mon Nov  9 22:06:30 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) thinks: They're okay in level of strength. - Mon Nov  9 22:09:04 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) thinks: I don't think it'd be smart to fight them. . .they might not live. - Mon Nov  9 22:09:04 2015
<br><br><font color=teal>*Nari(Ej247) thinks: starving. - Mon Nov  9 22:09:04 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) whispers: Plus, I don't want you dead if I juugo) - Mon Nov  9 22:10:46 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) whispers: Yea I'm still somewhat upset.) - Mon Nov  9 22:11:37 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) whispers: And I do want you up.  . .) - Mon Nov  9 22:12:28 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) whispers: But you're tired.) - Mon Nov  9 22:12:28 2015
<br><br><font color=teal>*Nari(Ej247) whispers: (ik I did do u wrong - Mon Nov  9 22:12:28 2015
<br><br><font color=teal>*Nari(Ej247) whispers: (i regret it I'm sorry) - Mon Nov  9 22:12:28 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) whispers: *Shrug* It's fine. Shit happens.) - Mon Nov  9 22:13:20 2015
<br><br><font color=teal>*Nari(Ej247) whispers: My knees feel so heavey. - Mon Nov  9 22:17:36 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) whispers: How much did you smoke? - Mon Nov  9 22:18:27 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) thinks: I-I hope I hit the mark.. - Mon Nov  9 22:19:18 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) thinks: O-Or else hanai will b-be disappointed.. - Mon Nov  9 22:19:18 2015
<br><br><font color=teal>*Nari(Ej247) whispers: Well I did like half a bag I think. - Mon Nov  9 22:21:00 2015
<br><br><font color=teal>*Nari(Ej247) whispers: If I let go now I'll float away. - Mon Nov  9 22:21:00 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) whispers: You need to slow down. . . - Mon Nov  9 22:21:00 2015
<br><br><font color=yellow>*Nari(Ej247) tightens her grip on Aza arm.* - Mon Nov  9 22:21:00 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) whispers: Hanai is the ant sage, he shared it with Momura.) - Mon Nov  9 22:21:52 2015
<br><br><font color=teal>*Nari(Ej247) whispers: no, i'm floating.. - Mon Nov  9 22:23:34 2015
<br><br><font color=teal>*Nari(Ej247) says: NO! - Mon Nov  9 22:23:34 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) whispers: Nari. Chill. - Mon Nov  9 22:23:34 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: He'd run.0 - Mon Nov  9 22:24:25 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: -omit- - Mon Nov  9 22:24:25 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: Chicken._ - Mon Nov  9 22:24:25 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: -omit- - Mon Nov  9 22:24:25 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: So, are we done then? - Mon Nov  9 22:24:25 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: Y-Yea.. - Mon Nov  9 22:24:25 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Mrm. Do you need a medic? - Mon Nov  9 22:24:25 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: N-Noo..I'm..f-fine.. - Mon Nov  9 22:24:25 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: A Shame. . . - Mon Nov  9 22:25:16 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: So.... - Mon Nov  9 22:25:16 2015
<br><br><font color=teal>*Nari(Ej247) whispers: -chuckles- I really feel like I'm float away. - Mon Nov  9 22:25:16 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: I-I can keep going.. - Mon Nov  9 22:25:16 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: I-If you want.. - Mon Nov  9 22:25:16 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: I'd like to fight. . . - Mon Nov  9 22:25:16 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: ...? - Mon Nov  9 22:25:16 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: But too many people around. - Mon Nov  9 22:25:16 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: HRm? No, there is no need to go on until you are seriously injured, Momura.. Hrm? If you'd like to fight in private, I know a few places. - Mon Nov  9 22:25:16 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: Oh? - Mon Nov  9 22:26:59 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: Mind if I fight you...? - Mon Nov  9 22:26:59 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: -@Mitsunara- - Mon Nov  9 22:26:59 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Hrm? If you want to, sure. - Mon Nov  9 22:26:59 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: I suggest getting someon- - Mon Nov  9 22:26:59 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) thinks: N-Next time..I'll..a-activate my bankai.. - Mon Nov  9 22:26:59 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) thinks: Next time, I'll use my Shikai. - Mon Nov  9 22:27:50 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: Well then. - Mon Nov  9 22:27:50 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: Regardless. - Mon Nov  9 22:27:50 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: Let's go Nari. - Mon Nov  9 22:27:50 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Shall we, then? - Mon Nov  9 22:27:50 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: Ready when you are. - Mon Nov  9 22:27:50 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: H-Hey jiki.. - Mon Nov  9 22:28:41 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: I-I need to t-talk with you.. - Mon Nov  9 22:28:41 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: .... - Mon Nov  9 22:28:41 2015
<br><br><font color=yellow>*Nari(Ej247) siits down on one of floors pillows and smiles cheerfuly. Her eyes look all glocey and stuff she was really high..Even the table was covered in weed or well seeds and stems.Thers a few rolling papers and a bong on the table.* - Mon Nov  9 22:31:15 2015
<br><br><font color=teal>*Nari(Ej247) says: Oh I'm fine. - Mon Nov  9 22:37:13 2015
<br><br><font color=yellow>*Nari(Ej247) lays back putting her hands over her face.* - Mon Nov  9 22:37:13 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: . . . - Mon Nov  9 22:37:13 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: Why are you covering your face again? - Mon Nov  9 22:37:13 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: Hm? - Mon Nov  9 22:39:47 2015
<br><br><font color=teal>*Nari(Ej247) says: I don't know. - Mon Nov  9 22:42:20 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: Hiding your cute face from me isn't fair. - Mon Nov  9 22:42:20 2015
<br><br><font color=teal>*Nari(Ej247) says: Is to. - Mon Nov  9 22:45:45 2015
<br><br><font color=teal>*Nari(Ej247) says: It's to cute for you. - Mon Nov  9 22:47:28 2015
<br><br><font color=teal>*Nari(Ej247) says: You be stunned by my cute face. - Mon Nov  9 22:47:28 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: Pffft. - Mon Nov  9 22:49:10 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: That's not the only thing stunning about you. - Mon Nov  9 22:49:10 2015
<br><br><font color=teal>*Nari(Ej247) says: Oh, thanks. - Mon Nov  9 22:50:01 2015
<br><br><font color=teal>*Nari(Ej247) says: My knight in shining armor. - Mon Nov  9 22:50:01 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: - - Mon Nov  9 22:50:01 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: You know I'm nothing but that. - Mon Nov  9 22:50:01 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: I'm a monster. . . - Mon Nov  9 22:50:52 2015
<br><br><font color=teal>*Nari(Ej247) says: Even monsters can make a turn for good. - Mon Nov  9 22:52:35 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: Heh. . . - Mon Nov  9 22:58:33 2015
<br><br><font color=teal>*Nari(Ej247) says: I'm hot. - Mon Nov  9 23:03:40 2015
<br><br><font color=teal>*Nari(Ej247) says: Can we turn the a/c on. - Mon Nov  9 23:03:40 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: I know you're hot, no showing off. - Mon Nov  9 23:09:39 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: But sure, you can. - Mon Nov  9 23:10:30 2015
<br><br><font color=yellow>*Nari(Ej247) opens the door to her home to exit but seems form look of it every thing today was in some sort of hell.


"W-what going on? I know I'm not that stoned."she said.* - Tue Nov 10 23:40:48 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: .... - Tue Nov 10 23:43:21 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: .... - Tue Nov 10 23:46:46 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Your boyfreind went apeshit and attacked his psychiatrist. - Tue Nov 10 23:46:46 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: And is now being restrained. - Tue Nov 10 23:46:46 2015
<br><br><font color=teal>*Nari(Ej247) says: . . . - Tue Nov 10 23:46:46 2015
<br><br><font color=teal>*Nari(Ej247) thinks: Aza damn... - Tue Nov 10 23:47:37 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Shit.. - Tue Nov 10 23:47:37 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: JIki, you okay? - Tue Nov 10 23:47:37 2015
<br><br><font color=yellow>*Nari(Ej247) slowly follows behind the floating iron sand that Aza was trapped in.

"Aza are you okay?"She asked sounding really worried.* - Tue Nov 10 23:50:11 2015
<br><br><font color=yellow>*Nari(Ej247) Would follow byhind jiki.

"Aza, tell me what happened?"She asked.* - Tue Nov 10 23:56:09 2015
<br><br><font color=teal>*Nari(Ej247) thinks: He must have lost it agian - Tue Nov 10 23:56:09 2015
<br><br><font color=teal>*Mana(Mirandawashere) thinks: I've been here the whole time, but haven't contributed a single thing...hmm. That's annoying./ - Tue Nov 10 23:57:00 2015
<br><br><font color=teal>*Zenaki(OmniKage) says: Give the Girl to me... - Tue Nov 10 23:58:43 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: .... - Tue Nov 10 23:58:43 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) thinks: How much should I bet that she'll seek vengeance for me intervening? I don't doubt that her attack could've killed that guy.. - Tue Nov 10 23:59:34 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Where are you taking her? - Wed Nov 11 00:00:25 2015
<br><br><font color=teal>*Redrum, Ortho(DhatBoiNick) says: A shower. If I can't find a free house, I'll take her to the hospital and take care of the wounds. - Wed Nov 11 00:03:50 2015
<br><br><font color=teal>*Ryujin, Marrisa(Roxinea) says: Use mine Ortho - Wed Nov 11 00:03:50 2015
<br><br><font color=yellow>*Nari(Ej247) runs over to catch Aza in her hands holding him rtightly.

"Aza...I'm sorry I wasn't there."she said.* - Wed Nov 11 00:16:38 2015
<br><br><font color=yellow>*Nari(Ej247) moves a hand voer to Aza face stroking his cheek lightly.

"Aza, Aza, Aza, Aza!"she repeats over to see if he was goign to answer her.* - Wed Nov 11 00:20:54 2015
<br><br><font color=teal>*Nari(Ej247) says: Yes, I been awake for some time now. - Wed Nov 11 00:24:19 2015
<br><br><font color=teal>*Nari(Ej247) whispers: Aza it well happned again.. - Wed Nov 11 00:24:19 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: I-I'm sorry. - Wed Nov 11 00:24:19 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) whispers: T-This is the third time. . .y-you've been busy. . . - Wed Nov 11 00:25:10 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) thinks: He doesn't really remember anything? Heh... - Wed Nov 11 00:25:10 2015
<br><br><font color=teal>*Nari(Ej247) whispers: I know I'm so sorry. - Wed Nov 11 00:26:01 2015
<br><br><font color=teal>*Nari(Ej247) whispers:  Do you remember anything? - Wed Nov 11 00:26:01 2015
<br><br><font color=yellow>*Nari(Ej247) slowly stood up with him helping him get up..

"Aza, you cant remember a thing at all? and yes we should move..I'm not sure its safe for you or others...Maybe move to nice small village just outside of land of wind."she said in very low tone whispering to Aza* - Wed Nov 11 00:28:35 2015
<br><br><font color=teal>*Nari(Ej247) says: Please I knew what I getting my self into.. - Wed Nov 11 00:32:51 2015
<br><br><font color=teal>*Nari(Ej247) whispers: I'm just worreid for you. - Wed Nov 11 00:32:51 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: . . . - Wed Nov 11 00:33:42 2015
<br><br><font color=teal>*Nari(Ej247) whispers: If you keep losing it I don't know whats going to happen..... - Wed Nov 11 00:33:42 2015
<br><br><font color=teal>*Nari(Ej247) whispers: I can't lose you,Aza. - Wed Nov 11 00:33:42 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) whispers: J-just don't leave me alone anymore. - Wed Nov 11 00:33:42 2015
<br><br><font color=teal>*Nari(Ej247) whispers: I-i wont. - Wed Nov 11 00:33:42 2015
<br><br><font color=yellow>*Nari(Ej247) wraps her arms around Aza huging him.* - Wed Nov 11 00:34:33 2015
<br><br><font color=teal>*Nari(Ej247) whispers: Not sure if we can return home. - Wed Nov 11 00:37:07 2015
<br><br><font color=teal>*Nari(Ej247) whispers: Not sure if the group of people there have left. - Wed Nov 11 00:37:58 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: . . . - Wed Nov 11 00:37:58 2015
<br><br><font color=teal>*Nari(Ej247) whispers: But I guess we can try to head home. - Wed Nov 11 00:40:32 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: I'm unsure if that'll work. . . - Wed Nov 11 00:41:23 2015
<br><br><font color=teal>*Nari(Ej247) whispers: you henge into me and I'll henge into you... - Wed Nov 11 00:41:23 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: . . . - Wed Nov 11 00:41:23 2015
<br><br><font color=teal>*Nari(Ej247) whispers: Just incase.. - Wed Nov 11 00:41:23 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) whispers: No point. - Wed Nov 11 00:41:23 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) whispers: What will happen will happen. - Wed Nov 11 00:42:14 2015
<br><br><font color=teal>*Nari(Ej247) whispers: -sighs- fine. - Wed Nov 11 00:42:14 2015
<br><br><font color=teal>*Nari(Ej247) whispers: Just stay close to me I guess. - Wed Nov 11 00:42:14 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: . . . - Wed Nov 11 00:43:56 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: I'd rather see what this man has to say. - Wed Nov 11 00:43:56 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: He did let me go. . . - Wed Nov 11 00:44:48 2015
<br><br><font color=teal>*Nari(Ej247) whispers: ... Oh that is true I forgot he was there. - Wed Nov 11 00:44:48 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: . . . - Wed Nov 11 00:48:12 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: Why let me go? - Wed Nov 11 00:48:12 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Because, you'd die. - Wed Nov 11 00:48:12 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Or would've died. - Wed Nov 11 00:49:04 2015
<br><br><font color=teal>*Nari(Ej247) whispers: Do you think the other will calm down or? - Wed Nov 11 00:49:55 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Hmm? Who knows. - Wed Nov 11 00:50:46 2015
<br><br><font color=teal>*Nari(Ej247) whispers: Did you see what happned? I need to know.. - Wed Nov 11 00:51:37 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: I don't know what happened. - Wed Nov 11 00:51:37 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: But. - Wed Nov 11 00:51:37 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: If I hadn't done anything, he'd be dead. - Wed Nov 11 00:51:37 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: . . .I don't want to be punished for what I can't control. . . - Wed Nov 11 00:53:20 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: And that.. I understand. - Wed Nov 11 00:53:20 2015
<br><br><font color=teal>*Nari(Ej247) whispers: Well no one has came to tke you in so far so. - Wed Nov 11 00:53:20 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: I'm not aware if you'll be punished or not. - Wed Nov 11 00:54:11 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: Koji will. . . - Wed Nov 11 00:54:11 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: He warned me. . . - Wed Nov 11 00:54:11 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: I'll speak with him. - Wed Nov 11 00:54:11 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: He won't take it easy aga- - Wed Nov 11 00:55:02 2015
<br><br><font color=teal>*Nari(Ej247) whispers: I won't let him.. - Wed Nov 11 00:55:02 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: *turned towards Nari* Shut up. - Wed Nov 11 00:55:02 2015
<br><br><font color=teal>*Nari(Ej247) whispers: They don't understnd what's it like. - Wed Nov 11 00:55:02 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: If you do anything against an officer y- - Wed Nov 11 00:55:53 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: . . .Thank you. . .um. .your name? - Wed Nov 11 00:55:53 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: ..... - Wed Nov 11 00:55:53 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: Nari. . . - Wed Nov 11 00:55:53 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: Calm down. - Wed Nov 11 00:55:53 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: I'm going to kick your ass... If you don't... - Wed Nov 11 00:55:53 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: I'm trying to help him. - Wed Nov 11 00:55:53 2015
<br><br><font color=teal>*Nari(Ej247) says: Doesn't mean you have act like a jerk. - Wed Nov 11 00:56:44 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Lack of sleep does that to you. - Wed Nov 11 00:56:44 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: You just need to calm down. - Wed Nov 11 01:03:34 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: It's not that easy. . . - Wed Nov 11 01:03:34 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: I.. have a feeling it isn't. - Wed Nov 11 01:04:25 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: It's not just anger. . that simply quickens it. - Wed Nov 11 01:04:25 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: S-Sometimes it just happens. - Wed Nov 11 01:04:25 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: .... - Wed Nov 11 01:04:25 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Well. - Wed Nov 11 01:04:25 2015
<br><br><font color=yellow>*Nari(Ej247) reaches into her pocuh polling out a blunt. She places it in her mouth and uses a match to spark it up tking a few good puffs to get it started.
* - Wed Nov 11 01:04:25 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: LEARN TO CONTROL IT! - Wed Nov 11 01:04:25 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: . . . - Wed Nov 11 01:04:25 2015
<br><br><font color=teal>*Nari(Ej247) says: loud... - Wed Nov 11 01:05:16 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Don't leave it, make you less of a human. - Wed Nov 11 01:05:16 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: It's human. - Wed Nov 11 01:05:16 2015
