<br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: -omit- - Fri Nov  6 08:22:36 2015
<br><br><font color=yellow>*Ryujin, Izanami(Twerk_Tyrant) heaves a gentle sigh before pivoting around to face the mansion. Here, she strode forth towardas a bench and took a seat. * - Sat Nov  7 05:05:55 2015
<br><br><font color=teal>*Robin, Yukio(ShinraTenin) says: Certainly. - Sat Nov  7 05:06:46 2015
<br><br><font color=teal>*Robin, Yukio(ShinraTenin) says: I don't mind if you all come. - Sat Nov  7 05:07:37 2015
<br><br><font color=teal>*Sabara, Izutora(Get Jazzy) says: ... - Sat Nov  7 05:08:28 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Oh. Let her! You should join too. - Sat Nov  7 05:10:11 2015
<br><br><font color=teal>*Sabara, Izutora(Get Jazzy) says: I must train more. - Sat Nov  7 05:11:02 2015
<br><br><font color=teal>*Sabara, Izutora(Get Jazzy) says: I was only a few feet from death's door a day ago. I don't want to go back... - Sat Nov  7 05:11:02 2015
<br><br><font color=teal>*Sabara, Izutora(Get Jazzy) thinks: Where may I find the confidence that I've yet to reattain...!? - Sat Nov  7 05:12:44 2015
<br><br><font color=teal>*Sabara, Izutora(Get Jazzy) thinks: -mischan- - Sat Nov  7 05:13:36 2015
<br><br><font color=teal>*Sabara, Izutora(Get Jazzy) says: Where may I find the confidence that I've yet to reattain...!? - Sat Nov  7 05:13:36 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: You were? - Sat Nov  7 05:14:27 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Who nearly beat you? - Sat Nov  7 05:14:27 2015
<br><br><font color=teal>*Sabara, Izutora(Get Jazzy) says: The swordsman. - Sat Nov  7 05:15:18 2015
<br><br><font color=teal>*Sabara, Izutora(Get Jazzy) says: I had a week or so to live... however a medic helped me! - Sat Nov  7 05:15:18 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Oh! My fault on that again. - Sat Nov  7 05:15:18 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: I should have been there to deal with him. - Sat Nov  7 05:16:09 2015
<br><br><font color=teal>*Sabara, Izutora(Get Jazzy) says: No.. it was my own fault for not being strong enough. - Sat Nov  7 05:16:09 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: In anycase, don't be afraid. - Sat Nov  7 05:21:16 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: If Zephira's opponent is too dangerous, she'll step out. - Sat Nov  7 05:21:16 2015
<br><br><font color=teal>*Sabara, Izutora(Get Jazzy) says: That's not the type of person she is. - Sat Nov  7 05:21:16 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: And I doubt it'll have lethality. - Sat Nov  7 05:21:16 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: I would've joined but... - Sat Nov  7 05:22:08 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Can't right now. - Sat Nov  7 05:22:08 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: I'm joining. - Sat Nov  7 05:22:08 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Sad.. I wanted to fight you. - Sat Nov  7 05:22:08 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: We can always battle outside the tournament. . Although, it'll be less exciting. - Sat Nov  7 05:22:59 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: No stakes involved. - Sat Nov  7 05:22:59 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Mhmm... - Sat Nov  7 05:22:59 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Oh well. - Sat Nov  7 05:22:59 2015
<br><br><font color=teal>*Sabara, Izutora(Get Jazzy) says: Stakes..? - Sat Nov  7 05:23:50 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: TEN MILLIONS! Crazy, right? - Sat Nov  7 05:23:50 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: If I get that, Mirai and I will never have to work again. - Sat Nov  7 05:23:50 2015
<br><br><font color=teal>*Sabara, Izutora(Get Jazzy) says: I do not know what I'd use the money for. That is why I'm not joining. - Sat Nov  7 05:24:41 2015
<br><br><font color=teal>*Sabara, Izutora(Get Jazzy) says: I am also unable to train at my fullest for now... - Sat Nov  7 05:27:15 2015
<br><br><font color=teal>*Sabara, Izutora(Get Jazzy) says: I shall be back. I have an apology to go make. - Sat Nov  7 05:28:06 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: How much did ur control/nin go up by? - Sat Nov  7 05:28:57 2015
<br><br><font color=teal>*Rikuna(Osmanesanogo) says: Tsk tsk tsk. - Sat Nov  7 05:30:40 2015
<br><br><font color=teal>*Rikuna(Osmanesanogo) says: Doesn't that huge gourd weigh you down? - Sat Nov  7 05:31:31 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Mhmm?... No. - Sat Nov  7 05:31:31 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: I don't really feel a differance at times. - Sat Nov  7 05:32:22 2015
<br><br><font color=teal>*Rikuna(Osmanesanogo) says: Meee-- - Sat Nov  7 05:32:22 2015
<br><br><font color=teal>*Rikuna(Osmanesanogo) says: Gramps-San. - Sat Nov  7 05:32:22 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Hrm? - Sat Nov  7 05:33:13 2015
<br><br><font color=teal>*Rikuna(Osmanesanogo) says: Didn't you say you have to go somewhere? - Sat Nov  7 05:33:13 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Yeah. And I also didn't feel like training you at the time. I still need to go work on my special jutsu. - Sat Nov  7 05:33:13 2015
<br><br><font color=teal>*Rikuna(Osmanesanogo) says: Fair enough. - Sat Nov  7 05:34:04 2015
<br><br><font color=teal>*Rikuna(Osmanesanogo) says: Just don't be a liar, Gramps-San. - Sat Nov  7 05:34:04 2015
<br><br><font color=teal>*Rikuna(Osmanesanogo) says: Back to you. Wouldn't that weigh you down alot? - Sat Nov  7 05:34:04 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Mhmm? It would, but i'm used to the weight. - Sat Nov  7 05:34:04 2015
<br><br><font color=teal>*Zephira(Demon4626) says: ....Thank you.. - Sat Nov  7 05:35:47 2015
<br><br><font color=teal>*Zephira(Demon4626) says: That's all I wanted to hear... - Sat Nov  7 05:35:47 2015
<br><br><font color=teal>*Rikuna(Osmanesanogo) says: Mmm. - Sat Nov  7 05:36:38 2015
<br><br><font color=teal>*Rikuna(Osmanesanogo) says: You give me the same aura like Gramps. Maybe your as strong as him. I w-- - Sat Nov  7 05:36:38 2015
<br><br><font color=teal>*Rikuna(Osmanesanogo) says: You. - Sat Nov  7 05:36:38 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) thinks: Mhmm... He's a hyperactive one. - Sat Nov  7 05:38:20 2015
<br><br><font color=teal>*Rikuna(Osmanesanogo) says: .. - Sat Nov  7 05:38:20 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Goes damn.. - Sat Nov  7 05:46:01 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: God* - Sat Nov  7 05:46:01 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: You're deceptively strong, kiddo. - Sat Nov  7 05:46:01 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: --- - Sat Nov  7 05:46:52 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: S-Sorry. - Sat Nov  7 05:46:52 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: S-Sorry! - Sat Nov  7 05:46:52 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: I-I didn't mean it. - Sat Nov  7 05:47:44 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: S-Sorry. - Sat Nov  7 05:47:44 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: S-Sorry. - Sat Nov  7 05:47:44 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: U-Um... - Sat Nov  7 05:50:17 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: . . . . . - Sat Nov  7 05:52:51 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: I-I think I'll take a few more steps back. - Sat Nov  7 05:52:51 2015
<br><br><font color=teal>*Sabara, Izutora(Get Jazzy) says: Tired? - Sat Nov  7 05:57:07 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: U-Um! - Sat Nov  7 05:57:58 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: S-Should we get a medic for him? - Sat Nov  7 05:57:58 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: S-Shouldn't we?! - Sat Nov  7 05:57:58 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: I-Is he going to be okay? - Sat Nov  7 05:57:58 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: A medic for who? - Sat Nov  7 05:57:58 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: H-Him. - Sat Nov  7 05:58:49 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Why? - Sat Nov  7 05:58:49 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: U-Um, he's not m-moving. - Sat Nov  7 05:58:49 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Hm. - Sat Nov  7 06:00:32 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Let me see. - Sat Nov  7 06:00:32 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: I'll be right back. - Sat Nov  7 06:00:32 2015
<br><br><font color=yellow>*Ryujin, Izanami(Twerk_Tyrant) heads into the mansion * - Sat Nov  7 06:00:32 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Is Bryson in here? - Sat Nov  7 06:01:23 2015
<br><br><font color=yellow>*Ryujin, Izanami(Twerk_Tyrant) sighs and turns * - Sat Nov  7 06:02:14 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Hm? - Sat Nov  7 06:02:14 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Somone needs medical attention outside.~ - Sat Nov  7 06:02:14 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Damn...I'll be outside then.. - Sat Nov  7 06:02:14 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) thinks: The..Sharingan? - Sat Nov  7 06:03:05 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Hmm. - Sat Nov  7 06:03:05 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Who got hurt? - Sat Nov  7 06:03:05 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: You two... - Sat Nov  7 06:03:05 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: After I heal this person, meet at home.. - Sat Nov  7 06:03:56 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Alright. - Sat Nov  7 06:03:56 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I'll be taking my leave, sir. - Sat Nov  7 06:06:30 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Trilliam, I will come visit you. - Sat Nov  7 06:06:30 2015
<br><br><font color=yellow>*Ryujin, Izanami(Twerk_Tyrant) closed her eyes before adjusting her gaze towards Ivel. "What does he want to talk about?"* - Sat Nov  7 06:07:21 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Heritage. - Sat Nov  7 06:07:21 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: ... - Sat Nov  7 06:09:04 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Sounds interesting.~ - Sat Nov  7 06:09:04 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Very. - Sat Nov  7 06:09:55 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Uh... - Sat Nov  7 06:11:37 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Should we go? - Sat Nov  7 06:12:28 2015
<br><br><font color=yellow>*Ryujin, Izanami(Twerk_Tyrant) grabs afk ass ngr * - Sat Nov  7 06:13:20 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Is everything alright? - Sat Nov  7 06:14:11 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Oh right, yes...I think.. - Sat Nov  7 06:14:11 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Uh. - Sat Nov  7 06:14:11 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: You fine mate? *@Rikuna - Sat Nov  7 06:14:11 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: I guess i'll go home since there isn't anything else to do.~ - Sat Nov  7 06:14:11 2015
<br><br><font color=yellow>*Ryujin, Izanami(Twerk_Tyrant) drags ngrface Ivel along as she ambled on home * - Sat Nov  7 06:14:11 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Hm? - Sat Nov  7 06:19:18 2015
<br><br><font color=yellow>*Ryujin, Izanami(Twerk_Tyrant) allows her vision to swiftly shoot towards the door, catching both Tetsumi and Fujitoras arrival. 

"Don't forget to take off your shoes.~" she remarked * - Sat Nov  7 06:20:09 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: -omit- - Sat Nov  7 06:21:00 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Ah. - Sat Nov  7 06:26:59 2015
<br><br><font color=yellow>*Ryujin, Izanami(Twerk_Tyrant) leans back ever so slightly  as Fujitora first discusses the sharingan, something she hadn't been too educated about. "The mangekyou sharingan..?" she thinks, her face scrunching ever so slightly. 

"To think there were so many different levels of these eyes....I thought i'd known everything about them." she thought* - Sat Nov  7 06:29:32 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) thinks: Though... Sharingan? Ehh.. Isn't any concern to me. - Sat Nov  7 06:31:15 2015
<br><br><font color=yellow>*Ryujin, Izanami(Twerk_Tyrant) flahses her mangekyou sharingan like *wussup bitch* * - Sat Nov  7 06:33:48 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) thinks: Get to hang out with my older brother..I wonder if he'll show me how to pull all the bitches and give me my first beer. - Sat Nov  7 06:38:56 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Sharingan. - Sat Nov  7 06:44:54 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: What's the purpose of it? - Sat Nov  7 06:44:54 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: This is what a matured sharingan looks like.. - Sat Nov  7 06:45:45 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Three tomoes.. - Sat Nov  7 06:45:45 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: However a Genjutus can easily be casted from it.. - Sat Nov  7 06:45:45 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Just by looking into your eyes and yours to mine. - Sat Nov  7 06:45:45 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Hm.. - Sat Nov  7 06:45:45 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: You'll be trapped in my genjutsu however I see fit..To read your mind or show my memory.. - Sat Nov  7 06:46:36 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: So a single tomoe is the least matured... - Sat Nov  7 06:46:36 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Welp. I've got nothing. - Sat Nov  7 06:46:36 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Indeed. - Sat Nov  7 06:46:36 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Iza.. - Sat Nov  7 06:46:36 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Mind guiding your brother through it? - Sat Nov  7 06:47:28 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Hell nah - Sat Nov  7 06:47:28 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: -omit- - Sat Nov  7 06:47:28 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: The purpose of Sharingan is to bring out our inner potential...Much like the shroud.. - Sat Nov  7 06:47:28 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Except the shroud was tapped in after I defeated a Beast of flame.. - Sat Nov  7 06:48:19 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: The sharingan was with me since birth.. - Sat Nov  7 06:48:19 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Took me to hell and back to get this far...But I've managed through the stress ...Kept to my Lawful ways and good.. - Sat Nov  7 06:49:10 2015
<br><br><font color=yellow>*Ryujin, Izanami(Twerk_Tyrant) closes her eyes and concentrates a bit of chakra towards her chakra nodes within her ocular region. After opening her eyes, an immature sharingan bore itself in plain sight. 

"The process..it's a lot more simple than I thought it was..." she murmered before staring at Fujitora. She purses her lips slightly before glancing over at Ivel. "You want me to help him through it?" She inquired * - Sat Nov  7 06:50:01 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Well. - Sat Nov  7 06:50:52 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: We can do that later. - Sat Nov  7 06:50:52 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: .... - Sat Nov  7 06:51:44 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: I'm no good with illusions and crap. - Sat Nov  7 06:51:44 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: I'd rather focus on the shroud for now. I've got cool ideas! - Sat Nov  7 06:51:44 2015
<br><br><font color=teal>*Hamura(Ryanwolf123) says: Hmm.. - Sat Nov  7 15:51:02 2015
<br><br><font color=teal>*Hamura(Ryanwolf123) says: Is that a random little girl...? - Sat Nov  7 15:51:53 2015
<br><br><font color=teal>*Test(Booty Eater) says: I'm going to eat everyone's ass - Sun Nov  8 02:50:40 2015
<br><br><font color=teal>*Test(Booty Eater) says: With the Eternal Tsukiyomi in my hands. - Sun Nov  8 02:50:40 2015
<br><br><font color=teal>*Test(Booty Eater) says: That ass is mine. - Sun Nov  8 02:50:40 2015
<br><br><font color=yellow>*Ryujin, Izanami(Twerk_Tyrant) breaks Yans ankles * - Sun Nov  8 02:58:20 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Hello everyone. - Sun Nov  8 02:59:12 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Hi Iza - Sun Nov  8 02:59:12 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: HOw is everyone? - Sun Nov  8 03:01:45 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Pretty good - Sun Nov  8 03:01:45 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I appreciate this, Sanoke. - Sun Nov  8 03:01:45 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: And I appreciate your loyalty to Sand Village. - Sun Nov  8 03:01:45 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: ---<*Spots a Fuji*> - Sun Nov  8 03:19:40 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Yo, Fuji. Whatever happened to that kid that won your competition? - Sun Nov  8 03:19:40 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Index?.. Hm, well he's around...About.. - Sun Nov  8 03:20:32 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: What competition? - Sun Nov  8 03:20:32 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Hit me up when he's around. I want to see how overpowered you've made him. - Sun Nov  8 03:20:32 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Long ago, Fuji had a competition to take on a student. - Sun Nov  8 03:21:23 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: The Index kid came in first. - Sun Nov  8 03:21:23 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Yo - Sun Nov  8 03:21:23 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: fuji got like - Sun Nov  8 03:21:23 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: 8 students - Sun Nov  8 03:21:23 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: -omit- - Sun Nov  8 03:21:23 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: M'kay? - Sun Nov  8 03:22:14 2015
<br><br><font color=teal>*Shokutsu(King Scrub) says: So, is anyone available to help me out? - Sun Nov  8 03:23:56 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: With what, bud? - Sun Nov  8 03:23:56 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Hm..I wouldn't say Over powered...There's just some abilities I can not teach people outside the family..Noriko was the only one to have obtained such from me..But I've taughtIndex other things.. - Sun Nov  8 03:24:48 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Seems legit. -- Oh, you and I should have a battle later too. I still want to see how much you've grown. - Sun Nov  8 03:24:48 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Yes haha..I'll just have to go for now.. - Sun Nov  8 03:26:30 2015
<br><br><font color=teal>*Shokutsu(King Scrub) says: Just some general fighting tips. - Sun Nov  8 03:28:12 2015
<br><br><font color=teal>*Shokutsu(King Scrub) says: For now, at least. - Sun Nov  8 03:28:12 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Well, we can spar. - Sun Nov  8 03:29:04 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I'm not that great at teaching, but if you study my way of fighting, maybe you can get something out of it. - Sun Nov  8 03:29:04 2015
<br><br><font color=teal>*Shokutsu(King Scrub) says: Errr. - Sun Nov  8 03:31:37 2015
<br><br><font color=teal>*Shokutsu(King Scrub) says: Ok, I guess. - Sun Nov  8 03:31:37 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: *whistle* - Sun Nov  8 03:32:28 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Cool. Lead the way. - Sun Nov  8 03:33:20 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: Hi... Mirai. - Sun Nov  8 03:36:44 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Evening. What is with the tone? - Sun Nov  8 03:37:36 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: Tone..?? - Sun Nov  8 03:37:36 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Uh. Yousound disgruntled. - Sun Nov  8 03:38:27 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: I guess you could say that I'm a little disgruntled. I'm a little stressed, is all.. - Sun Nov  8 03:39:18 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: For what? - Sun Nov  8 03:39:18 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: It.. it doesn't matter. It's not something I can't handle... - Sun Nov  8 03:40:09 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: I've already told one person.. well.. they learned of it... and I didn't want them to.. - Sun Nov  8 03:41:00 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: I don't want to unsettle you, either.. - Sun Nov  8 03:41:52 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: It is fine. - Sun Nov  8 03:42:43 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: She eats ass - Sun Nov  8 03:42:43 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: secrets out - Sun Nov  8 03:42:43 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: -omit- - Sun Nov  8 03:42:43 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: I don't see why you'd want to hide your troubles from me. - Sun Nov  8 03:44:25 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: It's difficult to explain... - Sun Nov  8 03:46:08 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: I'll give you time. In anycase, how goes your training? - Sun Nov  8 03:46:08 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: I've made progress with a few things... but not much in terms of our clan's techniques.. - Sun Nov  8 03:49:32 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: I'm.. not sure. - Sun Nov  8 03:50:24 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: i sense a disturbance in the wind.. - Sun Nov  8 03:51:15 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: -omit- - Sun Nov  8 03:51:15 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: <*Sighs*> And you should cheer up, really. Want to go grab a bite to eat first? WE can talk. - Sun Nov  8 03:51:15 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: We* - Sun Nov  8 03:51:15 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: Well... - Sun Nov  8 03:52:57 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: Sure.. - Sun Nov  8 03:52:57 2015
<br><br><font color=teal>*Shishigami, Toudou(RhapsodyManiac) says: --- - Sun Nov  8 03:59:47 2015
<br><br><font color=teal>*Shishigami, Toudou(RhapsodyManiac) says: Oh, Mai! - Sun Nov  8 03:59:47 2015
<br><br><font color=teal>*Shishigami, Toudou(RhapsodyManiac) says: What's up? - Sun Nov  8 03:59:47 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) thinks: He's.... seemingly untouched by the terrors of a shinobi life...how is that possible? - Sun Nov  8 04:01:29 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) thinks: I need friends. - Sun Nov  8 04:14:17 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) thinks: Stop breaking ankles then Flexus would be ashamed.. - Sun Nov  8 04:16:00 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) thinks: -omit- - Sun Nov  8 04:16:00 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) thinks: Seems we got a new face here... they probuly been here for awhile though... The guards wouldnt let anyone in - Sun Nov  8 04:22:49 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: How did it go? - Sun Nov  8 04:27:05 2015
<br><br><font color=teal>*Ryomen(Punkamainia) says: ..? - Sun Nov  8 04:27:05 2015
<br><br><font color=yellow>*Ryujin, Izanami(Twerk_Tyrant) glances at Yan * - Sun Nov  8 04:27:56 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: ....... - Sun Nov  8 04:33:04 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) thinks: Note: don't mess with her. - Sun Nov  8 04:33:04 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Erhm. - Sun Nov  8 04:33:04 2015
